Orthogroup	Desulfotalea psychrophila LSv54	Desulfocapsa_13_biocide
OG0000040	WP_041277819.1	Utg859098_48, Utg860006_147
OG0000040	WP_011187281.1	Utg857046_175
OG0000041	WP_011188937.1	Utg859098_368
OG0000041	WP_011190076.1	Utg857046_101
OG0000041	WP_041277450.1	Utg857682_137
OG0000042	WP_011187375.1	Utg857152_116
OG0000043	WP_228130175.1	Utg859236_121, Utg860814_118
OG0000043	WP_011187331.1	Utg859750_58
OG0000047	WP_011190450.1	Utg858432_158, Utg857046_163
OG0000048	WP_011188265.1	Utg857682_54
OG0000048	WP_228130155.1	Utg857046_28
OG0000049	WP_011187473.1, WP_049785016.1	Utg857152_93
OG0000050	WP_011188967.1	Utg860006_110
OG0000050	WP_011189772.1	Utg859076_1
OG0000050	WP_041277820.1	Utg860006_111
OG0000050	WP_041277480.1	Utg859076_8
OG0000051	WP_011188254.1	Utg857152_166
OG0000052	WP_011188194.1, WP_041277630.1, WP_011188193.1	Utg859982_225, Utg857076_61
OG0000052	WP_041277548.1, WP_041277545.1	Utg857682_28, Utg857046_241, Utg857994_129, Utg857152_135
OG0000055	WP_011189432.1	Utg859098_163
OG0000057	WP_011189027.1	Utg859098_394, Utg859982_23, Utg859098_431, Utg864866_2
OG0000058	WP_011190338.1	Utg860814_210
OG0000059	WP_011189102.1, WP_011189104.1	Utg859098_365
OG0000060	WP_011187768.1	Utg859388_118, Utg857300_57, Utg866558_9
OG0000060	WP_011189467.1	Utg860006_140, Utg860006_141
OG0000061	WP_011188264.1	Utg857682_55
OG0000061	WP_011189049.1	Utg859076_31
OG0000063	WP_041277748.1	Utg857992_35
OG0000063	WP_011190024.1	Utg859388_77
OG0000064	WP_011188922.1	Utg860006_63
OG0000064	WP_011190321.1	Utg859750_77
OG0000065	WP_041277642.1	Utg859750_21
OG0000069	WP_041278071.1	Utg857076_29
OG0000071	WP_011188512.1	Utg860814_115
OG0000072	WP_011188511.1	Utg860814_114
OG0000075	WP_041277654.1	Utg857152_236
OG0000075	WP_265588547.1	Utg857994_104
OG0000076	WP_011189884.1	Utg859076_57, Utg860814_43, Utg859098_152
OG0000079	WP_041278114.1	Utg861744_10, Utg859750_81
OG0000082	WP_011189907.1	Utg859098_98
OG0000084	WP_011188741.1	Utg859236_68
OG0000085	WP_011188000.1	Utg860814_319, Utg860814_167
OG0000086	WP_011188968.1, WP_041277821.1, WP_228130156.1	Utg860006_109
OG0000087	WP_011190071.1	Utg859982_51
OG0000088	WP_041278034.1	Utg859076_58, Utg859098_154, Utg859098_153
OG0000091	WP_011189088.1	Utg860814_64
OG0000091	WP_265588615.1	Utg859388_68
OG0000092	WP_041277704.1	Utg860814_99
OG0000093	WP_011187627.1, WP_041277722.1	Utg859750_86
OG0000095	WP_011187326.1	Utg857152_143
OG0000095	WP_011189875.1	Utg860006_150
OG0000097	WP_011190072.1	Utg859982_50, Utg859982_49
OG0000098	WP_011188510.1	Utg860814_113
OG0000098	WP_011189729.1	Utg859076_14
OG0000101	WP_011187560.1	Utg859750_57
OG0000102	WP_011190131.1	Utg858432_73
OG0000103	WP_041277624.1	Utg857046_198
OG0000104	WP_011189410.1	Utg857994_15
OG0000105	WP_011190029.1	Utg859388_70
OG0000105	WP_041277849.1	Utg860814_77
OG0000106	WP_011189715.1	Utg857076_51, Utg857300_18
OG0000106	WP_011188105.1	Utg857046_214
OG0000107	WP_011189658.1	Utg857682_17, Utg857682_16
OG0000108	WP_011189642.1	Utg858498_15
OG0000108	WP_011188953.1	Utg860814_242
OG0000110	WP_011189886.1	Utg859076_54, Utg859098_150
OG0000111	WP_011188752.1	Utg859236_65
OG0000111	WP_041277690.1	Utg857682_166
OG0000112	WP_011188067.1	Utg857152_85
OG0000113	WP_041277425.1	Utg857046_73
OG0000114	WP_011188364.1	Utg858494_132
OG0000114	WP_011187252.1	Utg863716_30
OG0000117	WP_011188472.1	Utg857046_88
OG0000117	WP_011189124.1	Utg864866_33
OG0000118	WP_011189123.1	Utg864866_34
OG0000118	WP_011188471.1	Utg857046_89
OG0000121	WP_011187278.1	Utg857994_195
OG0000122	WP_228130180.1	Utg859982_24
OG0000122	WP_011188940.1	Utg860814_103
OG0000123	WP_011189885.1	Utg859098_151
OG0000123	WP_011189032.1	Utg859236_117
OG0000124	WP_011190234.1, WP_011187713.1, WP_011189499.1, WP_049784968.1, WP_049784989.1, WP_011187740.1, WP_011188230.1, WP_011188228.1, WP_041278040.1, WP_011188206.1, WP_011188205.1, WP_011188517.1, WP_011187537.1, WP_011189140.1, WP_049785065.1, WP_011189139.1, WP_041277858.1, WP_049785064.1	Utg860814_41, Utg860814_178
OG0000125	WP_011189064.1	Utg857046_44
OG0000125	WP_011190268.1	Utg859982_62
OG0000126	WP_011190020.1	Utg859388_82
OG0000127	WP_011188334.1, WP_011188335.1	Utg857490_17
OG0000128	WP_011190249.1	Utg863716_100
OG0000128	WP_041278021.1	Utg859098_212
OG0000131	WP_011189957.1	Utg857994_138
OG0000131	WP_011187291.1	Utg859236_14
OG0000132	WP_156792284.1	Utg859098_255
OG0000133	WP_049785062.1	Utg864866_36
OG0000133	WP_011188470.1	Utg857046_90
OG0000134	WP_011188144.1	Utg864866_54
OG0000134	WP_011189428.1	Utg859098_168
OG0000136	WP_011189843.1	Utg859098_181
OG0000136	WP_156792292.1	Utg858498_14
OG0000137	WP_011188473.1	Utg857046_87
OG0000138	WP_041277553.1, WP_198408700.1	Utg859388_169
OG0000142	WP_156792321.1	Utg860814_204
OG0000142	WP_041277814.1	Utg861448_10, Utg861448_11
OG0000143	WP_011190324.1	Utg859750_71
OG0000144	WP_011189528.1	Utg859388_58
OG0000145	WP_156792207.1	Utg860814_101
OG0000147	WP_011190023.1	Utg859388_78
OG0000148	WP_011190200.1	Utg859236_120
OG0000150	WP_156792302.1	Utg859982_197
OG0000150	WP_011188038.1	Utg857152_38
OG0000151	WP_156792391.1	Utg860814_299, Utg857046_167
OG0000152	WP_011188507.1	Utg860814_109
OG0000152	WP_011188513.1	Utg860814_116
OG0000154	WP_011188535.1	Utg865370_5
OG0000155	WP_011189442.1	Utg859098_381
OG0000155	WP_011189443.1	Utg859098_382
OG0000156	WP_041278107.1	Utg859982_64
OG0000160	WP_228130154.1	Utg863716_47
OG0000161	WP_265588605.1, WP_265588604.1	Utg859236_62
OG0000162	WP_011187311.1	Utg857046_72
OG0000163	WP_049784999.1	Utg861744_18
OG0000163	WP_011190105.1	Utg857076_25
OG0000164	WP_011187437.1	Utg857300_2
OG0000165	WP_011187672.1	Utg859432_36
OG0000166	WP_041278008.1	Utg858432_139
OG0000167	WP_011189983.1	Utg864866_73, Utg859982_154
OG0000169	WP_041278049.1	Utg859982_43
OG0000170	WP_228130166.1	Utg857152_75
OG0000170	WP_228130165.1	Utg857152_74
OG0000171	WP_049785111.1	Utg859982_151
OG0000172	WP_011188712.1	Utg860006_25
OG0000173	WP_011187845.1	Utg861744_119
OG0000174	WP_011188522.1	Utg860814_189
OG0000176	WP_011187404.1	Utg859982_112
OG0000176	WP_011187820.1	Utg861744_133, Utg857046_232
OG0000180	WP_041278377.1	Utg859236_79
OG0000181	WP_049785176.1	Utg857046_168, Utg860814_302
OG0000183	WP_041277717.1	Utg862138_16
OG0000184	WP_011189110.1	Utg859236_54
OG0000185	WP_162096651.1	Utg859098_331
OG0000186	WP_011188095.1	Utg859236_122
OG0000187	WP_011188352.1, WP_011188365.1	Utg858494_144, Utg858494_131
OG0000188	WP_011188912.1	Utg857152_35
OG0000190	WP_041277447.1	Utg864866_78
OG0000191	WP_011188792.1	Utg857152_179
OG0000193	WP_011188238.1	Utg859750_20
OG0000194	WP_011187954.1	Utg861744_41
OG0000195	WP_011189858.1	Utg859098_286, Utg860814_283
OG0000196	WP_011188559.1	Utg862138_14
OG0000197	WP_011188331.1	Utg857490_20
OG0000198	WP_156792257.1	Utg859098_241
OG0000199	WP_041277873.1	Utg859098_216
OG0000201	WP_011188242.1	Utg859750_26
OG0000202	WP_011189106.1	Utg857682_175
OG0000203	WP_011189716.1	Utg857076_50, Utg857300_19
OG0000203	WP_041277494.1	Utg857076_65
OG0000206	WP_011188252.1	Utg857152_170, Utg857152_169
OG0000207	WP_011188263.1	Utg857682_58
OG0000208	WP_011188262.1	Utg857682_59
OG0000209	WP_011189657.1	Utg857046_253
OG0000210	WP_011188475.1, WP_011187438.1	Utg857300_1
OG0000211	WP_011190201.1	Utg859432_43
OG0000212	WP_011187826.1	Utg857046_231, Utg861744_127
OG0000214	WP_041277773.1, WP_011188783.1	Utg862138_34
OG0000215	WP_041278351.1	Utg861744_111
OG0000217	WP_041278087.1	Utg859236_44
OG0000218	WP_011188935.1	Utg861448_5
OG0000219	WP_011187520.1	Utg857152_18
OG0000221	WP_011188482.1	Utg860814_94
OG0000222	WP_041277470.1, WP_011190100.1	Utg857076_18
OG0000223	WP_041277805.1	Utg859388_18
OG0000225	WP_011190357.1	Utg859982_121
OG0000226	WP_041277609.1	Utg857152_57
OG0000227	WP_011188872.1	Utg857992_19
OG0000228	WP_228130150.1	Utg857994_154
OG0000232	WP_162096624.1	Utg859982_75, Utg859982_74, Utg859982_73
OG0000234	WP_011188725.1	Utg860006_56
OG0000235	WP_011189740.1	Utg863716_45
OG0000235	WP_011188066.1	Utg857152_83
OG0000237	WP_011187837.1	Utg861744_115
OG0000237	WP_041277465.1	Utg857682_142
OG0000238	WP_011190078.1	Utg857046_99
OG0000239	WP_156792203.1	Utg865370_16
OG0000239	WP_011189492.1	Utg859236_56
OG0000240	WP_041277651.1	Utg859098_373, Utg860814_39
OG0000241	WP_011188682.1	Utg859236_55, Utg859236_102
OG0000243	WP_041277879.1	Utg857682_39, Utg859236_70
OG0000244	WP_011187903.1	Utg859982_52
OG0000245	WP_156792261.1	Utg859098_51, Utg858494_9
OG0000246	WP_156792390.1	Utg861448_26, Utg857994_14, Utg857152_262
OG0000248	WP_011187684.1	Utg859432_49
OG0000250	WP_041278036.1	Utg859098_87
OG0000252	WP_011188558.1	Utg862138_13
OG0000253	WP_041278077.1	Utg858432_42
OG0000254	WP_011190405.1	Utg859076_2
OG0000256	WP_193763857.1	Utg862138_36
OG0000259	WP_011189470.1	Utg860006_137
OG0000260	WP_011187671.1	Utg859432_35
OG0000261	WP_041278096.1	Utg857682_145
OG0000261	WP_011187462.1	Utg860006_76
OG0000262	WP_011188941.1, WP_041277999.1	Utg859098_276
OG0000263	WP_011190212.1	Utg857682_148
OG0000264	WP_011188079.1	Utg857152_109
OG0000265	WP_011188077.1	Utg857152_107
OG0000266	WP_011188060.1	Utg857152_69
OG0000267	WP_011187616.1	Utg857046_62, Utg857046_61
OG0000268	WP_011189056.1	Utg860814_179
OG0000270	WP_011189127.1	Utg864866_30
OG0000271	WP_011187803.1	Utg857682_56
OG0000273	WP_011188597.1, WP_011188167.1	Utg861448_18
OG0000277	WP_011188116.1	Utg860006_51
OG0000278	WP_011188554.1	Utg862138_9
OG0000280	WP_011189891.1	Utg859098_116, Utg859098_117, Utg859098_115
OG0000283	WP_011187819.1	Utg861744_134
OG0000284	WP_156792243.1	Utg857300_22
OG0000285	WP_041278086.1	Utg859236_43
OG0000286	WP_041277467.1	Utg860006_77
OG0000290	WP_011189438.1	Utg860006_88
OG0000292	WP_011188332.1	Utg857490_19
OG0000293	WP_011188562.1	Utg862138_17
OG0000294	WP_011190213.1	Utg859750_51
OG0000295	WP_011188719.1	Utg860006_49
OG0000295	WP_011189959.1	Utg857994_140
OG0000296	WP_041277610.1	Utg857152_73
OG0000297	WP_041277578.1	Utg861744_20
OG0000299	WP_228130178.1	Utg862138_30
OG0000300	WP_011187827.1	Utg861744_126
OG0000301	WP_011188387.1	Utg858494_110
OG0000303	WP_011188699.1	Utg860006_19, Utg860006_14
OG0000304	WP_011189335.1, WP_011190399.1	Utg861744_77
OG0000307	WP_011188550.1	Utg862138_5
OG0000308	WP_011188557.1	Utg859982_217, Utg862138_12
OG0000309	WP_041277735.1, WP_011187371.1	Utg858494_46
OG0000312	WP_011190120.1	Utg858432_93
OG0000313	WP_162096644.1	Utg859982_66
OG0000314	WP_011188555.1	Utg862138_10
OG0000316	WP_011190257.1	Utg863716_86
OG0000317	WP_041277994.1	Utg857152_229, Utg859098_266, Utg857152_175
OG0000320	WP_011187789.1, WP_011187785.1	Utg857152_126, Utg857152_127
OG0000321	WP_011189150.1	Utg859982_133
OG0000322	WP_156792160.1	Utg857994_214
OG0000323	WP_041278448.1	Utg857994_24, Utg858494_38
OG0000324	WP_011189814.1	Utg859236_88
OG0000326	WP_041277799.1	Utg859236_22
OG0000331	WP_011189375.1	Utg857994_45
OG0000332	WP_011188671.1	Utg857992_26
OG0000336	WP_011189471.1	Utg860006_136
OG0000337	WP_011188684.1	Utg862138_52
OG0000338	WP_011188054.1	Utg857152_64
OG0000339	WP_011187987.1	Utg859982_81
OG0000342	WP_265588616.1	Utg859750_7
OG0000343	WP_041277972.1, WP_041278078.1	Utg858432_41
OG0000349	WP_011187460.1	Utg860006_78
OG0000350	WP_011188163.1	Utg857682_131
OG0000351	WP_162096620.1	Utg857046_63
OG0000352	WP_011188037.1	Utg857152_37
OG0000353	WP_011188201.1, WP_011187388.1	Utg859982_181
OG0000355	WP_011188481.1	Utg860814_93
OG0000356	WP_011189820.1	Utg859098_215
OG0000357	WP_011187686.1	Utg859432_51
OG0000358	WP_011188159.1	Utg857152_203
OG0000359	WP_011187804.1	Utg857682_57
OG0000360	WP_041277667.1	Utg857490_30
OG0000361	WP_011190034.1	Utg859388_64
OG0000363	WP_041277943.1	Utg858432_4
OG0000366	WP_041278090.1	Utg857152_194
OG0000367	WP_011187535.1	Utg864866_81, Utg864866_80
OG0000371	WP_011190222.1	Utg857682_144, Utg859750_43, Utg860814_217, Utg860814_218
OG0000372	WP_011187969.1	Utg857046_248
OG0000373	WP_011187968.1	Utg857046_230
OG0000374	WP_041278286.1	Utg859982_53
OG0000380	WP_011189781.1	Utg858498_7
OG0000381	WP_011188623.1	Utg858432_57
OG0000382	WP_011189906.1	Utg859098_99
OG0000384	WP_011187586.1	Utg858432_115, Utg859098_420
OG0000385	WP_011188700.1	Utg860006_15, Utg860006_20
OG0000388	WP_011190030.1	Utg859388_69
OG0000390	WP_011189231.1	Utg859098_259
OG0000391	WP_011190429.1, WP_011187259.1	Utg859388_80
OG0000392	WP_011187683.1	Utg859432_48
OG0000393	WP_011189713.1	Utg859388_122
OG0000396	WP_011189462.1	Utg857046_205
OG0000397	WP_041277793.1	Utg859098_263
OG0000398	WP_173362835.1, WP_011190427.1	Utg859388_138, Utg857046_187
OG0000399	WP_041277921.1	Utg857994_19
OG0000400	WP_011189966.1	Utg857994_148
OG0000401	WP_011189767.1	Utg857490_22, Utg859098_281
OG0000403	WP_011189529.1	Utg859388_57
OG0000404	WP_162096667.1	Utg858432_29
OG0000406	WP_011188036.1	Utg858432_101
OG0000408	WP_011189463.1	Utg857046_206
OG0000409	WP_173362847.1	Utg859098_197, Utg859098_196
OG0000410	WP_011190337.1	Utg860814_207
OG0000413	WP_011189040.1	Utg862138_42
OG0000414	WP_011189125.1	Utg864866_32
OG0000418	WP_011189597.1, WP_011188565.1	Utg862138_20
OG0000419	WP_011189440.1	Utg860006_86
OG0000420	WP_011189525.1	Utg859388_60
OG0000422	WP_011190167.1	Utg857046_203
OG0000423	WP_041278794.1	Utg859098_157
OG0000425	WP_041278082.1	Utg858494_44, Utg858432_11
OG0000426	WP_011188860.1	Utg859098_264
OG0000427	WP_011188346.1	Utg857490_6
OG0000428	WP_041277939.1	Utg859388_59
OG0000429	WP_011187772.1	Utg866558_37
OG0000433	WP_011189706.1	Utg857046_260
OG0000434	WP_011187316.1	Utg857046_132
OG0000437	WP_011188093.1	Utg859236_103
OG0000438	WP_011187699.1	Utg859982_174
OG0000439	WP_011187387.1, WP_011188202.1	Utg859982_185
OG0000440	WP_041277623.1	Utg859982_195
OG0000443	WP_041278382.1	Utg861744_142
OG0000444	WP_228130145.1	Utg859098_354
OG0000445	WP_156792310.1	Utg859098_121
OG0000446	WP_011189905.1	Utg859098_101
OG0000447	WP_011189512.1	Utg859388_92
OG0000458	WP_011190050.1	Utg866558_25
OG0000459	WP_011189199.1	Utg859098_217
OG0000460	WP_011189785.1	Utg858432_142
OG0000461	WP_011188884.1	Utg860814_196
OG0000462	WP_041277938.1	Utg859388_61
OG0000463	WP_011189177.1	Utg859982_12
OG0000466	WP_041277422.1	Utg857046_29
OG0000467	WP_011187824.1	Utg861744_129
OG0000468	WP_011189509.1	Utg859982_19
OG0000469	WP_011188053.1	Utg857152_63
OG0000470	WP_011190065.1	Utg858432_109
OG0000471	WP_011188128.1	Utg859750_61
OG0000472	WP_011189474.1	Utg860006_132
OG0000473	WP_011187823.1	Utg861744_130
OG0000474	WP_011189845.1	Utg859098_439, Utg858498_4
OG0000476	WP_041277668.1	Utg857490_27
OG0000477	WP_011188156.1	Utg857046_213
OG0000479	WP_011189651.1	Utg859098_352
OG0000480	WP_041278396.1	Utg858494_109
OG0000482	WP_011189018.1	Utg857300_27
OG0000485	WP_011189650.1	Utg859098_351
OG0000486	WP_011189991.1	Utg859982_148, Utg859982_149
OG0000487	WP_041278024.1	Utg859098_195
OG0000488	WP_011187960.1	Utg861744_54
OG0000489	WP_011188276.1	Utg859388_187, Utg858498_21
OG0000490	WP_162096643.1	Utg860814_326
OG0000491	WP_041278044.1	Utg857994_162
OG0000492	WP_011190160.1	Utg857152_223
OG0000493	WP_011188045.1	Utg857152_45
OG0000495	WP_011189170.1	Utg859098_239, Utg859098_238
OG0000496	WP_049785040.1	Utg862138_40
OG0000497	WP_011189797.1	Utg858432_129
OG0000498	WP_011189796.1	Utg858432_130
OG0000500	WP_011188406.1	Utg858494_89
OG0000501	WP_041277540.1	Utg859388_178
OG0000502	WP_011189198.1	Utg859098_218
OG0000504	WP_041278120.1	Utg860814_205
OG0000506	WP_049785112.1	Utg859982_40
OG0000507	WP_228130170.1	Utg859750_83
OG0000508	WP_011187508.1	Utg860006_116, Utg859076_17
OG0000509	WP_011187888.1	Utg861744_21
OG0000510	WP_011189093.1	Utg860814_70
OG0000511	WP_011188090.1	Utg857046_259
OG0000512	WP_011189412.1	Utg857994_18
OG0000514	WP_041278089.1	Utg858432_18
OG0000515	WP_011189178.1	Utg859982_11
OG0000516	WP_041277801.1	Utg860814_197
OG0000520	WP_041278621.1	Utg859388_149
OG0000521	WP_011188856.1	Utg859098_269
OG0000522	WP_011189825.1	Utg859098_204
OG0000523	WP_011189941.1	Utg859388_10
OG0000524	WP_011187894.1	Utg861744_33
OG0000525	WP_041277510.1	Utg861448_15
OG0000526	WP_011190256.1	Utg863716_87
OG0000527	WP_011189472.1	Utg860006_135
OG0000530	WP_049785116.1	Utg858432_105
OG0000531	WP_228130141.1	Utg860006_87
OG0000532	WP_011188723.1	Utg860006_54
OG0000533	WP_011188031.1	Utg857152_27, Utg857152_26
OG0000535	WP_011190194.1	Utg857152_185
OG0000537	WP_011189840.1	Utg859098_185
OG0000539	WP_011188585.1	Utg857152_159
OG0000540	WP_011189704.1	Utg859236_26
OG0000542	WP_041277608.1	Utg857152_50
OG0000543	WP_041278539.1	Utg859098_262
OG0000544	WP_011187828.1	Utg861744_125
OG0000545	WP_011188974.1	Utg859750_15
OG0000546	WP_011187675.1	Utg859432_39
OG0000547	WP_041277944.1	Utg860814_120
OG0000549	WP_011189640.1	Utg858498_13
OG0000550	WP_011188945.1	Utg861448_9
OG0000551	WP_011189864.1	Utg860814_267
OG0000553	WP_011187439.1	Utg857682_87
OG0000555	WP_011188911.1	Utg857152_177, Utg857152_176
OG0000556	WP_041278827.1	Utg859982_140
OG0000558	WP_011188479.1	Utg859236_71
OG0000559	WP_041277917.1	Utg861448_61
OG0000561	WP_011188001.1	Utg865370_11
OG0000562	WP_011187743.1	Utg861744_43
OG0000563	WP_011187488.1	Utg857682_124
OG0000564	WP_041278003.1, WP_041277731.1	Utg859750_48
OG0000566	WP_011189759.1, WP_011188209.1	Utg857152_97
OG0000568	WP_011188858.1	Utg859388_45, Utg859098_267
OG0000569	WP_265588590.1, WP_011187919.1	Utg857992_12
OG0000570	WP_011188250.1, WP_011190423.1, WP_011187271.1	Utg857046_194
OG0000571	WP_083818934.1	Utg857300_49
OG0000572	WP_011188021.1	Utg859982_161
OG0000575	WP_011187685.1	Utg859432_50
OG0000576	WP_156792204.1	Utg865370_28
OG0000577	WP_041277922.1	Utg857994_20
OG0000578	WP_265588588.1	Utg861744_32
OG0000579	WP_041277577.1	Utg861744_19
OG0000580	WP_011189859.1	Utg860814_282
OG0000581	WP_011188354.1	Utg858494_143
OG0000582	WP_011188971.1	Utg859750_11
OG0000583	WP_041277672.1	Utg857490_11
OG0000584	WP_011188100.1	Utg857046_225
OG0000585	WP_083818932.1	Utg857046_226
OG0000586	WP_041277613.1	Utg857046_228
OG0000587	WP_011189426.1	Utg859098_170
OG0000588	WP_011188096.1	Utg857046_250
OG0000589	WP_011189180.1	Utg859982_4
OG0000590	WP_011188172.1	Utg857046_196
OG0000591	WP_041277520.1	Utg859432_41
OG0000592	WP_011189429.1	Utg859098_167
OG0000593	WP_041278079.1	Utg858432_36
OG0000594	WP_162096625.1	Utg857152_39
OG0000595	WP_011188721.1	Utg860006_52
OG0000596	WP_011189197.1	Utg859098_222
OG0000597	WP_011189171.1	Utg859098_240
OG0000598	WP_011190145.1	Utg858432_39
OG0000599	WP_011189837.1	Utg859098_188
OG0000600	WP_041278909.1	Utg863716_90
OG0000601	WP_011187681.1	Utg859432_46
OG0000603	WP_011189475.1	Utg860006_130
OG0000604	WP_041278118.1	Utg859750_70
OG0000605	WP_156792331.1	Utg863716_99
OG0000606	WP_011188166.1	Utg865370_35
OG0000607	WP_011187525.1	Utg857152_11
OG0000608	WP_011188883.1	Utg860814_195
OG0000609	WP_049785044.1	Utg857994_166
OG0000610	WP_011188404.1	Utg858494_91
OG0000611	WP_011189430.1	Utg859098_165
OG0000612	WP_011190047.1	Utg866558_22
OG0000613	WP_011190046.1	Utg866558_21
OG0000615	WP_011188395.1	Utg858494_101
OG0000616	WP_228130172.1	Utg858494_99
OG0000617	WP_011188368.1	Utg858494_129
OG0000618	WP_011188370.1	Utg858494_127
OG0000619	WP_011188371.1	Utg858494_126
OG0000620	WP_011188372.1	Utg858494_125
OG0000621	WP_011188373.1	Utg858494_124
OG0000622	WP_041278063.1	Utg859236_96
OG0000623	WP_011189965.1	Utg857994_147
OG0000624	WP_011189832.1	Utg859098_193
OG0000625	WP_011189833.1	Utg859098_192
OG0000626	WP_011187844.1	Utg861744_118
OG0000627	WP_011188405.1	Utg858494_90
OG0000628	WP_011189052.1	Utg859076_34
OG0000630	WP_011188034.1	Utg857152_31
OG0000631	WP_011188032.1	Utg857152_28
OG0000632	WP_011190021.1	Utg859388_81
OG0000634	WP_011189407.1	Utg857994_128
OG0000635	WP_011188882.1	Utg859236_17
OG0000637	WP_011190035.1	Utg859388_63
OG0000638	WP_011190101.1	Utg857076_19
OG0000639	WP_011189179.1	Utg859982_5
OG0000640	WP_011189473.1	Utg860006_133
OG0000641	WP_011189464.1	Utg858432_119
OG0000642	WP_011189005.1	Utg857046_24
OG0000643	WP_011189974.1	Utg857994_157
OG0000644	WP_011188027.1	Utg857152_22
OG0000645	WP_011187303.1	Utg857046_27
OG0000646	WP_011190137.1	Utg858432_47
OG0000647	WP_011190138.1	Utg858432_46
OG0000648	WP_011190141.1	Utg858432_43
OG0000649	WP_011189975.1	Utg857994_158
OG0000650	WP_011188871.1	Utg857992_20
OG0000651	WP_011188863.1	Utg859098_261
OG0000652	WP_011189939.1	Utg859388_12
OG0000653	WP_011189434.1	Utg859098_160
OG0000654	WP_011188972.1	Utg859750_12, Utg859750_13
OG0000655	WP_011188330.1	Utg857490_21
OG0000656	WP_011189856.1	Utg860814_287
OG0000657	WP_011189855.1	Utg860814_288
OG0000658	WP_011189851.1	Utg860814_293
OG0000659	WP_011189850.1	Utg860814_294
