Orthogroup	Desulfotalea psychrophila LSv54	Desulfocapsa_06_corrosive
OG0000052	WP_011188194.1, WP_041277630.1, WP_011188193.1	Utg323262_71
OG0000052	WP_041277548.1, WP_041277545.1	Utg323152_537, Utg323074_111, Utg323300_411
OG0000054	WP_228130174.1, WP_011188415.1, WP_011187605.1	Utg323316_271, Utg323316_253
OG0000054	WP_265588549.1	Utg323316_275
OG0000054	WP_041278585.1, WP_011189292.1	Utg323990_236
OG0000055	WP_011189432.1	Utg323152_253
OG0000055	WP_011187273.1	Utg323074_215
OG0000056	WP_011189187.1	Utg323180_501
OG0000057	WP_011189027.1	Utg323300_441, Utg323632_324, Utg323392_16, Utg323140_160
OG0000058	WP_011190338.1	Utg323180_619
OG0000060	WP_011187768.1	Utg323300_75, Utg323632_306
OG0000060	WP_011189467.1	Utg323990_72
OG0000061	WP_011188264.1	Utg323266_110
OG0000061	WP_011189049.1	Utg323180_315
OG0000063	WP_041277748.1	Utg323632_334
OG0000063	WP_011190024.1	Utg323392_142
OG0000064	WP_011188922.1	Utg323990_139
OG0000064	WP_011190321.1	Utg323180_38
OG0000065	WP_041277642.1	Utg323140_2, Utg323180_2
OG0000068	WP_011188845.1	Utg325220_60
OG0000069	WP_041278071.1	Utg323262_103
OG0000071	WP_011188512.1	Utg323180_522
OG0000072	WP_011188511.1	Utg323180_521
OG0000074	WP_011188124.1	Utg323180_421
OG0000076	WP_011189884.1	Utg323180_458, Utg323152_263
OG0000079	WP_041278114.1	Utg323160_93, Utg323180_41
OG0000080	WP_011187758.1	Utg323140_241
OG0000082	WP_011189907.1	Utg323152_318
OG0000085	WP_011188000.1	Utg323180_592
OG0000086	WP_011187364.1	Utg323180_528
OG0000087	WP_011190071.1	Utg323152_497
OG0000088	WP_041278034.1	Utg323180_457, Utg323152_262
OG0000091	WP_011189088.1	Utg323180_478
OG0000091	WP_265588615.1	Utg323392_150
OG0000092	WP_041277704.1	Utg323180_509
OG0000093	WP_011187627.1, WP_041277722.1	Utg323180_45
OG0000095	WP_011187326.1	Utg323300_425
OG0000095	WP_011189875.1	Utg323990_63
OG0000097	WP_011190072.1	Utg323152_498
OG0000097	WP_011189603.1	Utg323266_3, Utg323160_123
OG0000098	WP_011188510.1	Utg323180_520
OG0000100	WP_011188994.1	Utg323316_117
OG0000101	WP_011187560.1	Utg323180_20
OG0000102	WP_011190131.1	Utg323632_122
OG0000103	WP_041277624.1	Utg323316_301
OG0000104	WP_011189410.1	Utg323074_23
OG0000105	WP_011190029.1	Utg323392_148
OG0000105	WP_041277849.1	Utg323180_490
OG0000106	WP_011189715.1	Utg323300_138
OG0000106	WP_011188105.1	Utg323300_125, Utg323316_317
OG0000107	WP_011189658.1	Utg323266_55
OG0000108	WP_011189642.1	Utg323392_40
OG0000108	WP_011188953.1	Utg323180_650
OG0000110	WP_041277836.1	Utg323140_35
OG0000110	WP_011189886.1	Utg323152_265
OG0000112	WP_011188067.1	Utg323300_361
OG0000113	WP_041277425.1	Utg323316_179
OG0000114	WP_011188364.1	Utg323448_59
OG0000114	WP_011187252.1	Utg323180_193
OG0000117	WP_011188472.1	Utg323316_188
OG0000117	WP_011189124.1	Utg323140_129
OG0000118	WP_011189123.1	Utg323140_128
OG0000118	WP_011188471.1	Utg323316_189
OG0000121	WP_011187278.1	Utg323074_180
OG0000122	WP_011188940.1	Utg323180_512
OG0000123	WP_011189885.1	Utg323152_264
OG0000123	WP_011189032.1	Utg325220_102
OG0000124	WP_011190234.1, WP_011187713.1, WP_011189499.1, WP_049784968.1, WP_049784989.1, WP_011187740.1, WP_011188230.1, WP_011188228.1, WP_041278040.1, WP_011188206.1, WP_011188205.1, WP_011188517.1, WP_011187537.1, WP_011189140.1, WP_049785065.1, WP_011189139.1, WP_041277858.1, WP_049785064.1	Utg323180_456
OG0000125	WP_011189064.1	Utg323316_156
OG0000126	WP_011190020.1	Utg323392_137
OG0000127	WP_011188334.1, WP_011188335.1	Utg323448_31
OG0000128	WP_011190249.1	Utg323180_277
OG0000128	WP_041278021.1	Utg323152_202
OG0000131	WP_011189957.1	Utg323074_120
OG0000131	WP_011187291.1	Utg323990_32
OG0000133	WP_049785062.1	Utg323140_126
OG0000133	WP_011188470.1	Utg323316_190
OG0000134	WP_011188144.1	Utg323140_101
OG0000134	WP_011189428.1	Utg323152_247
OG0000135	WP_011190396.1, WP_011189338.1	Utg323300_234
OG0000136	WP_011189843.1	Utg323152_230
OG0000136	WP_156792292.1	Utg323392_39
OG0000137	WP_011188473.1	Utg323316_187
OG0000138	WP_041277553.1, WP_198408700.1	Utg323392_64
OG0000142	WP_156792321.1	Utg323180_616
OG0000142	WP_041277814.1	Utg323392_262
OG0000143	WP_011190324.1	Utg323180_33
OG0000144	WP_011189528.1	Utg323392_160
OG0000145	WP_156792207.1	Utg323180_511
OG0000145	WP_011188174.1	Utg323074_35, Utg323074_36
OG0000147	WP_011190023.1	Utg323392_141
OG0000150	WP_156792302.1	Utg323152_400
OG0000150	WP_011188038.1	Utg323300_310
OG0000151	WP_156792391.1	Utg323316_242
OG0000152	WP_011188507.1	Utg323180_516
OG0000152	WP_011188513.1	Utg323180_523
OG0000153	WP_041278081.1	Utg323180_413
OG0000154	WP_011188535.1	Utg323160_129, Utg323266_10
OG0000156	WP_041278107.1, WP_011189065.1	Utg323316_158
OG0000160	WP_228130154.1	Utg323180_213
OG0000162	WP_011187311.1	Utg323316_178
OG0000163	WP_049784999.1	Utg323160_83
OG0000163	WP_011190105.1	Utg323262_107
OG0000164	WP_011187437.1	Utg323300_166
OG0000165	WP_011187672.1	Utg323140_175
OG0000166	WP_041278008.1	Utg323632_248
OG0000167	WP_011189983.1	Utg323140_81, Utg323152_436
OG0000169	WP_041278049.1	Utg323152_503
OG0000170	WP_228130166.1	Utg323300_350
OG0000171	WP_049785111.1	Utg323152_438
OG0000172	WP_011188712.1	Utg323990_178
OG0000173	WP_011187845.1	Utg324810_59
OG0000174	WP_011188522.1	Utg323180_604
OG0000176	WP_011187820.1	Utg324810_46
OG0000177	WP_228130183.1	Utg323300_73
OG0000180	WP_041278377.1	Utg323262_181, Utg323262_184
OG0000181	WP_049785176.1	Utg323316_243
OG0000183	WP_041277717.1	Utg323632_25
OG0000184	WP_011189110.1	Utg324548_16
OG0000185	WP_162096651.1	Utg323152_69
OG0000185	WP_041277828.1	Utg323316_113
OG0000187	WP_011188352.1, WP_011188365.1	Utg323448_60, Utg323448_47
OG0000188	WP_011188912.1	Utg323300_307
OG0000190	WP_041277447.1	Utg323140_75
OG0000191	WP_011188792.1	Utg323180_105
OG0000192	WP_049785055.1	Utg323180_399
OG0000193	WP_011188238.1	Utg323140_4, Utg323180_1
OG0000194	WP_011187954.1	Utg323160_58, Utg323316_1
OG0000195	WP_011189858.1	Utg323152_119, Utg323180_690
OG0000196	WP_011188559.1	Utg323632_23
OG0000197	WP_011188331.1	Utg323448_28
OG0000198	WP_156792257.1	Utg323152_174
OG0000199	WP_041277873.1	Utg323152_198
OG0000201	WP_011188242.1	Utg323180_6
OG0000202	WP_011189106.1	Utg325220_64, Utg323140_270
OG0000203	WP_011189716.1	Utg323262_83, Utg323300_137
OG0000203	WP_041277494.1	Utg323262_67
OG0000206	WP_011188252.1	Utg323180_81, Utg323180_80
OG0000207	WP_011188263.1	Utg323266_113
OG0000208	WP_011188262.1	Utg323266_114
OG0000209	WP_011189657.1	Utg323316_339
OG0000210	WP_011188475.1, WP_011187438.1	Utg323300_167
OG0000211	WP_011190201.1	Utg323140_182
OG0000212	WP_011187826.1	Utg324810_52
OG0000214	WP_041277773.1, WP_011188783.1	Utg323632_45
OG0000215	WP_041278351.1	Utg324810_67
OG0000217	WP_041278087.1	Utg324548_25
OG0000218	WP_011188935.1	Utg323632_371
OG0000219	WP_011187520.1	Utg323300_291
OG0000221	WP_011188482.1	Utg323180_504
OG0000222	WP_041277470.1, WP_011190100.1	Utg323262_114
OG0000223	WP_041277805.1	Utg323392_219
OG0000225	WP_011190357.1	Utg323152_460
OG0000226	WP_041277609.1	Utg323300_329
OG0000227	WP_011188872.1	Utg323632_351
OG0000228	WP_228130150.1	Utg323074_134
OG0000232	WP_162096624.1	Utg323152_484, Utg323152_485
OG0000234	WP_011188725.1	Utg323990_146
OG0000235	WP_011189740.1	Utg323180_210
OG0000235	WP_011188066.1	Utg323300_358
OG0000237	WP_011187837.1	Utg324810_62
OG0000237	WP_041277465.1	Utg323300_24
OG0000238	WP_011190078.1	Utg323316_194
OG0000239	WP_156792203.1	Utg323266_22
OG0000239	WP_011189492.1	Utg324548_14
OG0000240	WP_041277651.1	Utg323152_13, Utg323180_454
OG0000241	WP_011188682.1	Utg324548_15, Utg323262_144
OG0000243	WP_041277879.1	Utg323180_67, Utg323266_94, Utg323160_100, Utg323160_101
OG0000244	WP_011187903.1	Utg323152_496
OG0000245	WP_156792261.1	Utg323316_355
OG0000246	WP_156792390.1	Utg323180_624
OG0000248	WP_011187684.1	Utg323140_188
OG0000249	WP_011187440.1	Utg323632_328
OG0000250	WP_041278036.1	Utg323152_330
OG0000252	WP_011188558.1	Utg323632_22
OG0000253	WP_041278077.1	Utg323632_102
OG0000256	WP_193763857.1	Utg323632_47
OG0000257	WP_011187938.1	Utg324810_19
OG0000259	WP_011189470.1	Utg323990_75
OG0000260	WP_011187671.1	Utg323140_174
OG0000261	WP_041278096.1	Utg323300_415
OG0000261	WP_011187462.1	Utg323990_127
OG0000262	WP_011188941.1, WP_041277999.1	Utg323152_138, Utg323152_139
OG0000263	WP_011190212.1	Utg323300_416
OG0000264	WP_011188079.1	Utg323300_385
OG0000265	WP_011188077.1	Utg323300_383
OG0000266	WP_011188060.1	Utg323300_345
OG0000267	WP_011187616.1	Utg323316_169
OG0000268	WP_011189056.1	Utg323180_596
OG0000270	WP_011189127.1	Utg323140_132
OG0000271	WP_011187803.1	Utg323266_111
OG0000273	WP_011188597.1, WP_011188167.1	Utg323392_256
OG0000274	WP_011187334.1	Utg323160_113
OG0000276	WP_011187910.1	Utg323632_198
OG0000277	WP_011188116.1	Utg323990_152
OG0000278	WP_011188554.1	Utg323632_18
OG0000280	WP_011189891.1	Utg323152_299, Utg323152_300
OG0000283	WP_011187819.1	Utg324810_45
OG0000284	WP_156792243.1	Utg323300_134
OG0000285	WP_041278086.1	Utg324548_26
OG0000286	WP_041277467.1	Utg323990_126
OG0000290	WP_011189438.1	Utg323990_110
OG0000291	WP_011188846.1	Utg323152_390
OG0000292	WP_011188332.1	Utg323448_29
OG0000293	WP_011188562.1	Utg323632_26
OG0000295	WP_011188719.1	Utg323990_154
OG0000295	WP_011189959.1	Utg323074_122
OG0000296	WP_041277610.1	Utg323300_349
OG0000297	WP_041277578.1	Utg323160_80, Utg323160_79
OG0000298	WP_011187865.1	Utg323316_112
OG0000299	WP_228130178.1	Utg323632_41
OG0000300	WP_011188258.1	Utg323180_71
OG0000300	WP_011187827.1	Utg324810_53
OG0000301	WP_011188387.1	Utg323448_82
OG0000303	WP_011188699.1	Utg323990_183, Utg323990_188
OG0000307	WP_011188550.1	Utg323632_13
OG0000308	WP_011188557.1	Utg323632_21
OG0000309	WP_011187371.1	Utg323300_194
OG0000311	WP_011189408.1	Utg323152_590
OG0000312	WP_011190120.1	Utg323632_140, Utg323632_141
OG0000313	WP_162096635.1	Utg323316_67
OG0000314	WP_011188555.1	Utg323632_19
OG0000316	WP_011190257.1	Utg323180_263
OG0000317	WP_041277994.1	Utg323180_167, Utg323152_149, Utg323180_102
OG0000319	WP_011187880.1	Utg323140_236
OG0000320	WP_011187789.1, WP_011187785.1	Utg323300_402
OG0000321	WP_011189150.1	Utg323316_81
OG0000322	WP_156792160.1	Utg323074_213
OG0000323	WP_011189109.1	Utg323392_252
OG0000323	WP_041278448.1	Utg323074_32
OG0000324	WP_011189814.1	Utg323262_158
OG0000326	WP_041277799.1	Utg323990_210
OG0000328	WP_049785093.1, WP_011189663.1, WP_011189812.1	Utg323074_89
OG0000331	WP_011189375.1	Utg323074_59
OG0000332	WP_011188671.1	Utg323632_343
OG0000336	WP_011189471.1	Utg323990_76
OG0000337	WP_011188684.1	Utg323632_59
OG0000338	WP_011188054.1	Utg323300_340
OG0000339	WP_011187987.1	Utg323152_478
OG0000340	WP_011187352.1	Utg323140_255
OG0000341	WP_011190455.1	Utg325220_86
OG0000342	WP_265588616.1	Utg324548_2
OG0000343	WP_041277972.1, WP_041278078.1	Utg323632_101
OG0000345	WP_011187347.1	Utg323140_249
OG0000348	WP_011187350.1	Utg323140_253
OG0000349	WP_011187460.1	Utg323990_125
OG0000350	WP_011188163.1	Utg323266_68, Utg323392_31
OG0000351	WP_162096620.1	Utg323316_170
OG0000352	WP_011188037.1	Utg323300_309
OG0000353	WP_011188201.1, WP_011187388.1	Utg323152_411
OG0000354	WP_011187759.1	Utg323140_240
OG0000355	WP_011188481.1	Utg323180_503
OG0000356	WP_011189820.1	Utg325220_24, Utg323152_199
OG0000357	WP_011187686.1	Utg323140_190
OG0000358	WP_011188159.1	Utg323180_133
OG0000359	WP_011187804.1	Utg323266_112
OG0000360	WP_041277667.1	Utg323448_18
OG0000361	WP_011190034.1	Utg323392_154
OG0000362	WP_011188275.1	Utg323074_50
OG0000363	WP_041277943.1	Utg323632_65, Utg323266_83
OG0000366	WP_041278090.1	Utg323180_120
OG0000367	WP_011187535.1	Utg323140_73
OG0000371	WP_011190222.1	Utg323300_419, Utg323180_627
OG0000372	WP_011187969.1	Utg323316_334
OG0000373	WP_011187968.1	Utg323316_333
OG0000374	WP_041278286.1	Utg323152_495
OG0000380	WP_011189781.1	Utg323392_22
OG0000381	WP_011188623.1	Utg323266_59, Utg323262_166
OG0000382	WP_011189906.1	Utg323152_317
OG0000384	WP_011187586.1	Utg323632_224, Utg323392_7
OG0000385	WP_011188700.1	Utg323990_182, Utg323990_189
OG0000388	WP_011190030.1	Utg323392_149
OG0000389	WP_011187991.1	Utg325220_115
OG0000390	WP_011189231.1	Utg323152_156
OG0000391	WP_011190429.1, WP_011187259.1	Utg323392_139
OG0000392	WP_011187683.1	Utg323140_187
OG0000393	WP_011189713.1	Utg323392_115
OG0000396	WP_011189462.1	Utg323316_308
OG0000397	WP_041277793.1	Utg323152_152
OG0000398	WP_173362835.1, WP_011190427.1	Utg323316_283
OG0000399	WP_041277921.1	Utg323074_27
OG0000400	WP_011189966.1	Utg323074_129
OG0000401	WP_011189767.1	Utg323448_26, Utg323152_132
OG0000403	WP_011189529.1	Utg323392_161
OG0000404	WP_162096667.1	Utg323632_90
OG0000406	WP_011188036.1	Utg323300_304, Utg323632_208
OG0000407	WP_011187531.1	Utg323300_231
OG0000408	WP_011189463.1	Utg323316_309
OG0000409	WP_173362847.1	Utg323152_214, Utg323152_215
OG0000410	WP_011190337.1	Utg323180_618
OG0000411	WP_041277604.1	Utg323180_184
OG0000413	WP_011189040.1	Utg323632_56
OG0000414	WP_011189125.1	Utg323140_130
OG0000418	WP_011189597.1, WP_011188565.1	Utg323632_29
OG0000419	WP_011189440.1	Utg323990_112
OG0000420	WP_011189525.1	Utg323392_158
OG0000421	WP_011188876.1	Utg323300_89
OG0000422	WP_011190167.1	Utg323316_306
OG0000423	WP_041278794.1	Utg323152_259
OG0000425	WP_041278082.1	Utg323632_72
OG0000426	WP_011188860.1	Utg323152_151
OG0000427	WP_011188346.1	Utg323448_41
OG0000428	WP_041277939.1	Utg323392_159
OG0000429	WP_011187772.1	Utg323632_282
OG0000433	WP_011189706.1	Utg323316_347
OG0000434	WP_011187316.1	Utg323316_227
OG0000437	WP_011188093.1	Utg323262_143
OG0000438	WP_011187699.1	Utg323152_420
OG0000439	WP_011187387.1, WP_011188202.1	Utg323152_408
OG0000440	WP_041277623.1	Utg323152_402
OG0000441	WP_011188848.1	Utg323152_388
OG0000443	WP_041278382.1	Utg324810_34
OG0000444	WP_228130145.1	Utg323152_45
OG0000445	WP_156792310.1	Utg323152_295
OG0000447	WP_011189512.1	Utg323392_129
OG0000449	WP_265588553.1	Utg323152_593
OG0000458	WP_011190050.1	Utg323632_292
OG0000459	WP_011189199.1	Utg323152_197
OG0000460	WP_011189785.1	Utg323632_251
OG0000461	WP_011188884.1	Utg323266_1, Utg323180_610
OG0000462	WP_041277938.1	Utg323392_157
OG0000463	WP_011189177.1	Utg323152_557
OG0000466	WP_041277422.1	Utg323316_143
OG0000467	WP_011187824.1	Utg324810_50
OG0000468	WP_011189509.1	Utg323152_550
OG0000469	WP_011188053.1	Utg323300_339
OG0000470	WP_011190065.1	Utg323632_217
OG0000471	WP_011188128.1	Utg323180_23
OG0000472	WP_011189474.1	Utg323990_82
OG0000473	WP_011187823.1	Utg324810_49
OG0000474	WP_011189845.1	Utg323392_19
OG0000475	WP_011188169.1	Utg323300_262
OG0000476	WP_041277668.1	Utg323448_21
OG0000477	WP_011188156.1	Utg323316_316
OG0000479	WP_011189651.1	Utg323152_47
OG0000480	WP_041278396.1	Utg323448_83
OG0000482	WP_011189018.1	Utg323300_126
OG0000484	WP_011187369.1	Utg323300_196
OG0000485	WP_011189650.1	Utg323152_48
OG0000486	WP_011189991.1	Utg323152_439
OG0000487	WP_041278024.1	Utg323152_216
OG0000488	WP_011187960.1	Utg323160_29
OG0000489	WP_011188276.1	Utg323392_46
OG0000490	WP_162096643.1	Utg323180_708
OG0000491	WP_041278044.1	Utg323074_142
OG0000492	WP_011190160.1	Utg323180_163
OG0000493	WP_011188045.1	Utg323300_317
OG0000495	WP_011189170.1	Utg323152_176
OG0000496	WP_049785040.1	Utg323632_52
OG0000497	WP_011189797.1	Utg323632_236
OG0000498	WP_011189796.1	Utg323632_237
OG0000500	WP_011188406.1	Utg323448_101
OG0000501	WP_041277540.1	Utg323392_55
OG0000502	WP_011189198.1	Utg323152_196
OG0000504	WP_041278120.1	Utg323180_617
OG0000505	WP_041277824.1	Utg323316_99
OG0000506	WP_049785112.1	Utg323152_506
OG0000507	WP_228130170.1	Utg323180_43
OG0000508	WP_011187508.1	Utg323300_12
OG0000509	WP_011187888.1	Utg323160_78
OG0000510	WP_011189093.1	Utg323180_484
OG0000511	WP_011188090.1	Utg323316_346
OG0000512	WP_011189412.1	Utg323074_26
OG0000513	WP_011188168.1	Utg323300_263
OG0000514	WP_041278089.1	Utg323632_76
OG0000515	WP_011189178.1	Utg323152_558
OG0000516	WP_041277801.1	Utg323180_611, Utg323266_2
OG0000520	WP_041278621.1	Utg323392_86
OG0000521	WP_011188856.1	Utg323152_146
OG0000522	WP_011189825.1	Utg323152_209
OG0000523	WP_011189941.1	Utg323392_227
OG0000524	WP_011187894.1	Utg323160_66
OG0000526	WP_011190256.1	Utg323180_264
OG0000527	WP_011189472.1	Utg323990_77
OG0000530	WP_049785116.1	Utg323632_212
OG0000531	WP_228130141.1	Utg323990_111
OG0000532	WP_011188723.1	Utg323990_149
OG0000533	WP_011188031.1	Utg323300_299
OG0000535	WP_011190194.1	Utg323180_111
OG0000537	WP_011189840.1	Utg323152_226
OG0000538	WP_011187361.1	Utg323140_264, Utg325220_1
OG0000539	WP_011188585.1	Utg323180_65
OG0000540	WP_011189704.1	Utg323990_215, Utg323990_214
OG0000542	WP_041277608.1	Utg323300_321
OG0000543	WP_041278539.1	Utg323152_153
OG0000544	WP_011187828.1	Utg324810_54
OG0000545	WP_011188974.1	Utg323140_9
OG0000546	WP_011187675.1	Utg323140_178
OG0000547	WP_041277944.1	Utg323180_527
OG0000548	WP_011187345.1	Utg323140_246
OG0000549	WP_011189640.1	Utg323392_28
OG0000550	WP_011188945.1	Utg323632_387, Utg323392_263
OG0000551	WP_011189864.1	Utg323180_674
OG0000553	WP_011187439.1	Utg323300_184, Utg325220_97
OG0000555	WP_011188911.1	Utg323180_103
OG0000556	WP_041278827.1	Utg323152_446
OG0000558	WP_011188479.1	Utg323152_97
OG0000559	WP_041277917.1	Utg323300_249, Utg323632_385, Utg323074_34
OG0000561	WP_011188001.1	Utg323266_17
OG0000562	WP_011187743.1	Utg323160_42
OG0000563	WP_011187488.1	Utg323262_167, Utg323266_71
OG0000564	WP_041278003.1	Utg323392_207
OG0000565	WP_041278002.1	Utg323392_208
OG0000566	WP_011189759.1, WP_011188209.1	Utg323300_374
OG0000568	WP_011188858.1	Utg323392_178, Utg323152_148
OG0000569	WP_265588590.1, WP_011187919.1	Utg323632_362
OG0000570	WP_011188250.1, WP_011190423.1, WP_011187271.1	Utg323316_297
OG0000571	WP_083818934.1	Utg323300_101
OG0000572	WP_011188021.1	Utg323152_431
OG0000575	WP_011187685.1	Utg323140_189
OG0000576	WP_156792204.1	Utg323266_35
OG0000577	WP_041277922.1	Utg323074_28
OG0000578	WP_265588588.1	Utg323160_67
OG0000579	WP_041277577.1	Utg323160_81
OG0000580	WP_011189859.1	Utg323180_689
OG0000581	WP_011188354.1	Utg323448_49
OG0000582	WP_011188971.1	Utg323140_12
OG0000583	WP_041277672.1	Utg323448_37
OG0000584	WP_011188100.1	Utg323316_328
OG0000585	WP_083818932.1	Utg323316_329
OG0000586	WP_041277613.1	Utg323316_331
OG0000587	WP_011189426.1	Utg323152_245
OG0000588	WP_011188096.1	Utg323316_336
OG0000589	WP_011189180.1	Utg323152_565
OG0000590	WP_011188172.1	Utg323316_300
OG0000591	WP_041277520.1	Utg323140_180
OG0000592	WP_011189429.1	Utg323152_248
OG0000593	WP_041278079.1	Utg323632_96
OG0000594	WP_162096625.1	Utg323300_311
OG0000595	WP_011188721.1	Utg323990_151
OG0000596	WP_011189197.1	Utg323152_192
OG0000597	WP_011189171.1	Utg323152_175
OG0000598	WP_011190145.1	Utg323632_99
OG0000599	WP_011189837.1	Utg323152_223
OG0000600	WP_041278909.1	Utg323180_267
OG0000601	WP_011187681.1	Utg323140_185
OG0000603	WP_011189475.1	Utg323990_83
OG0000604	WP_041278118.1	Utg323180_32
OG0000605	WP_156792331.1	Utg323180_276
OG0000606	WP_011188166.1	Utg323266_43
OG0000607	WP_011187525.1	Utg323300_283
OG0000608	WP_011188883.1	Utg323180_609
OG0000609	WP_049785044.1	Utg323074_152
OG0000610	WP_011188404.1	Utg323448_99
OG0000611	WP_011189430.1	Utg323152_250
OG0000612	WP_011190047.1	Utg323632_295
OG0000613	WP_011190046.1	Utg323632_296
OG0000614	WP_011187529.1	Utg323300_233
OG0000615	WP_011188395.1	Utg323448_90
OG0000616	WP_228130172.1	Utg323448_92
OG0000617	WP_011188368.1	Utg323448_63
OG0000618	WP_011188370.1	Utg323448_65
OG0000619	WP_011188371.1	Utg323448_66
OG0000620	WP_011188372.1	Utg323448_67
OG0000621	WP_011188373.1	Utg323448_68
OG0000622	WP_041278063.1	Utg323262_150
OG0000623	WP_011189965.1	Utg323074_128
OG0000624	WP_011189832.1	Utg323152_218
OG0000625	WP_011189833.1	Utg323152_219
OG0000626	WP_011187844.1	Utg324810_60
OG0000627	WP_011188405.1	Utg323448_100
OG0000628	WP_011189052.1	Utg323180_312
OG0000629	WP_011188979.1	Utg323632_1, Utg323316_98
OG0000630	WP_011188034.1	Utg323300_302
OG0000631	WP_011188032.1	Utg323300_300
OG0000632	WP_011190021.1	Utg323392_138
OG0000634	WP_011189407.1	Utg323074_110
OG0000635	WP_011188882.1	Utg323990_206
