Orthogroup	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5
OG0000042	WP_011189777.1	WP_126377521.1
OG0000043	WP_228130175.1	WP_126380936.1
OG0000043	WP_041277539.1	WP_126378951.1
OG0000043	WP_011189535.1	WP_126380012.1
OG0000045	WP_011190203.1	WP_232034928.1
OG0000045	WP_011188148.1	WP_126379890.1
OG0000047	WP_011190450.1	WP_172961741.1
OG0000048	WP_011188265.1	WP_126381030.1
OG0000048	WP_041277948.1	WP_232034796.1
OG0000048	WP_228130155.1	WP_126379303.1
OG0000049	WP_049785016.1	WP_172961615.1
OG0000051	WP_011188254.1	WP_126379995.1
OG0000052	WP_041277548.1, WP_041277545.1	WP_126380843.1
OG0000055	WP_011189432.1	WP_126379655.1
OG0000055	WP_011187273.1	WP_126380209.1
OG0000056	WP_011189187.1	WP_172961756.1, WP_126375921.1, WP_126380842.1
OG0000058	WP_011190338.1	WP_126375819.1
OG0000059	WP_011189102.1, WP_011189104.1	WP_232034798.1
OG0000060	WP_011187768.1	WP_126379040.1, WP_232034744.1
OG0000061	WP_011188264.1	WP_126381032.1
OG0000062	WP_011187393.1	WP_126379963.1, WP_126379859.1
OG0000063	WP_011190024.1	WP_126380494.1
OG0000064	WP_011188922.1, WP_011190321.1	WP_126377057.1
OG0000065	WP_041277642.1	WP_126379160.1
OG0000066	WP_011189565.1	WP_172961713.1
OG0000067	WP_011187394.1	WP_126379961.1, WP_126379861.1
OG0000067	WP_011188448.1	WP_126380869.1
OG0000068	WP_011188845.1	WP_172961792.1
OG0000069	WP_041278071.1	WP_126379705.1
OG0000071	WP_041277992.1	WP_126379791.1, WP_126376680.1
OG0000071	WP_011188512.1	WP_126381068.1
OG0000072	WP_011188511.1, WP_011189728.1	WP_126381070.1
OG0000074	WP_011187327.1	WP_126379593.1
OG0000075	WP_041277654.1	WP_126380626.1
OG0000075	WP_265588547.1	WP_126376787.1, WP_126376781.1
OG0000076	WP_011189884.1	WP_172961659.1
OG0000079	WP_041278114.1	WP_232034839.1
OG0000081	WP_011189028.1	WP_126380364.1
OG0000082	WP_011189907.1	WP_232034762.1, WP_126379022.1, WP_126377927.1, WP_126380332.1, WP_126380330.1
OG0000084	WP_011189588.1, WP_049785027.1	WP_172961782.1
OG0000084	WP_011188741.1	WP_126379819.1
OG0000085	WP_049784979.1	WP_172961786.1
OG0000085	WP_011188000.1	WP_126381273.1
OG0000086	WP_011188968.1, WP_041277821.1, WP_228130156.1	WP_126375833.1
OG0000086	WP_011187364.1	WP_126375563.1
OG0000087	WP_041278432.1	WP_126376666.1
OG0000088	WP_041278034.1	WP_126376259.1
OG0000091	WP_265588615.1	WP_126379497.1
OG0000092	WP_011189765.1, WP_041277704.1	WP_126378232.1
OG0000093	WP_011187627.1, WP_041277722.1	WP_126377889.1, WP_126380751.1
OG0000095	WP_011189875.1	WP_232034876.1
OG0000097	WP_011189603.1	WP_126380356.1
OG0000098	WP_011188510.1	WP_126381073.1
OG0000098	WP_011189729.1	WP_126378399.1
OG0000100	WP_011188994.1	WP_126380829.1, WP_232034760.1
OG0000101	WP_011188468.1, WP_011187560.1	WP_126380553.1, WP_126376877.1
OG0000102	WP_011187795.1	WP_126375587.1
OG0000103	WP_041277624.1, WP_011187572.1	WP_126375876.1
OG0000105	WP_011190029.1, WP_041277849.1	WP_126379501.1
OG0000106	WP_011190231.1, WP_011189715.1, WP_011188105.1	WP_126380444.1
OG0000110	WP_041277836.1, WP_011189886.1	WP_126379985.1, WP_126376245.1
OG0000111	WP_041277690.1	WP_126379900.1
OG0000112	WP_011188067.1	WP_126377306.1, WP_126379449.1
OG0000114	WP_011188364.1	WP_126377356.1
OG0000114	WP_011187252.1	WP_126376037.1
OG0000116	WP_011187877.1	WP_126376215.1
OG0000117	WP_011189124.1	WP_126380925.1
OG0000118	WP_011189123.1	WP_126381543.1
OG0000119	WP_011187701.1	WP_126378138.1
OG0000119	WP_011188592.1, WP_011187807.1	WP_126377868.1
OG0000120	WP_011187392.1	WP_126379965.1, WP_126379857.1
OG0000122	WP_011188940.1	WP_172961804.1
OG0000126	WP_011190020.1	WP_126379210.1
OG0000127	WP_011188334.1	WP_126379366.1
OG0000127	WP_011188335.1	WP_126379368.1
OG0000128	WP_011190249.1, WP_041278021.1	WP_232034755.1
OG0000131	WP_011189957.1	WP_126380299.1
OG0000131	WP_011187291.1	WP_232034794.1
OG0000132	WP_156792284.1	WP_126378656.1
OG0000133	WP_049785062.1	WP_232034812.1
OG0000134	WP_011189428.1	WP_126377750.1
OG0000135	WP_011190396.1, WP_011189338.1	WP_126379924.1
OG0000136	WP_011189843.1	WP_126377707.1
OG0000138	WP_041277553.1, WP_198408700.1	WP_232034766.1
OG0000142	WP_156792321.1	WP_126377727.1
OG0000143	WP_011190324.1	WP_126376543.1, WP_126377487.1, WP_126375622.1
OG0000144	WP_011189528.1	WP_126379267.1
OG0000145	WP_156792207.1	WP_126376563.1
OG0000148	WP_011190200.1	WP_126375591.1
OG0000150	WP_156792302.1, WP_011188038.1	WP_126377334.1
OG0000152	WP_011188507.1	WP_126377470.1
OG0000152	WP_011188513.1	WP_126381066.1
OG0000153	WP_041278081.1	WP_126377256.1
OG0000154	WP_011188535.1	WP_126380855.1
OG0000155	WP_011189442.1	WP_126378376.1, WP_126377489.1
OG0000160	WP_228130154.1	WP_126379093.1
OG0000161	WP_011189119.1	WP_232034768.1, WP_126378650.1
OG0000162	WP_011187311.1	WP_126375857.1, WP_172961809.1
OG0000163	WP_049784999.1, WP_011190105.1	WP_126378343.1
OG0000164	WP_041277432.1	WP_126378223.1
OG0000164	WP_011187437.1	WP_126377539.1
OG0000166	WP_041278008.1	WP_126377850.1
OG0000167	WP_011189983.1	WP_126380541.1
OG0000169	WP_041278049.1	WP_126376755.1
OG0000170	WP_011187704.1, WP_228130166.1, WP_228130165.1	WP_126377170.1
OG0000172	WP_011188712.1	WP_232034792.1
OG0000174	WP_011188522.1	WP_126378921.1
OG0000176	WP_011187404.1	WP_126377398.1
OG0000180	WP_083818964.1, WP_041278377.1	WP_126376686.1, WP_126376684.1
OG0000181	WP_011190443.1	WP_126380072.1, WP_172961740.1
OG0000183	WP_041277717.1	WP_126375665.1
OG0000185	WP_041277828.1	WP_126378072.1
OG0000186	WP_011188095.1	WP_126376620.1
OG0000187	WP_011188352.1, WP_011188365.1	WP_126376003.1
OG0000190	WP_041277447.1	WP_126377864.1
OG0000192	WP_049785055.1	WP_232034818.1, WP_126379340.1
OG0000193	WP_011188238.1	WP_126377830.1
OG0000194	WP_011187954.1	WP_126375723.1
OG0000195	WP_011189858.1	WP_126381648.1, WP_126380634.1
OG0000196	WP_011188559.1	WP_126375667.1
OG0000199	WP_041277873.1	WP_126375709.1
OG0000201	WP_011188242.1	WP_126377684.1
OG0000202	WP_011189106.1	WP_126376358.1
OG0000203	WP_011189716.1	WP_126380446.1
OG0000203	WP_041277494.1	WP_126376516.1
OG0000205	WP_011188851.1	WP_126378759.1
OG0000206	WP_011188252.1	WP_126378269.1
OG0000207	WP_011190248.1	WP_126380263.1
OG0000207	WP_011188263.1	WP_126381038.1
OG0000208	WP_011188262.1	WP_126381041.1
OG0000208	WP_011190247.1	WP_126380261.1
OG0000209	WP_011189657.1	WP_126378432.1
OG0000210	WP_011188475.1, WP_011187438.1	WP_126379481.1
OG0000215	WP_041278351.1	WP_126379387.1
OG0000216	WP_011190303.1	WP_126381405.1
OG0000217	WP_041278087.1	WP_126377388.1
OG0000218	WP_011188935.1	WP_126377380.1
OG0000219	WP_011187520.1	WP_126377392.1
OG0000221	WP_011188482.1	WP_232034814.1
OG0000222	WP_041277470.1	WP_126377752.1, WP_126380413.1
OG0000223	WP_041277805.1	WP_126379433.1
OG0000225	WP_011190357.1	WP_126381110.1
OG0000227	WP_011188872.1	WP_126380765.1
OG0000227	WP_011190190.1	WP_126380781.1
OG0000228	WP_228130150.1	WP_126378318.1
OG0000229	WP_041277488.1	WP_126378283.1
OG0000230	WP_011189365.1	WP_126376561.1
OG0000232	WP_162096624.1	WP_126376907.1, WP_197723452.1
OG0000233	WP_041277996.1	WP_126379699.1
OG0000234	WP_011188725.1	WP_126375880.1, WP_172961661.1, WP_126375783.1
OG0000235	WP_011189740.1	WP_126379765.1
OG0000235	WP_011188066.1	WP_126375707.1
OG0000237	WP_011187837.1, WP_041277465.1	WP_126377266.1, WP_126377794.1
OG0000238	WP_011190078.1	WP_232034849.1
OG0000239	WP_011189492.1	WP_126380937.1
OG0000240	WP_041277651.1	WP_126381024.1
OG0000241	WP_011188682.1	WP_197723440.1
OG0000243	WP_041277879.1	WP_152034911.1
OG0000244	WP_011187903.1	WP_126379395.1
OG0000248	WP_011187684.1	WP_126376690.1
OG0000249	WP_011187440.1	WP_126376424.1
OG0000250	WP_041278036.1	WP_126377694.1, WP_126381114.1, WP_126376970.1
OG0000252	WP_011188558.1	WP_126375668.1
OG0000253	WP_041278077.1	WP_232034747.1
OG0000254	WP_011190405.1	WP_126379617.1
OG0000257	WP_011187938.1	WP_126377805.1
OG0000259	WP_011189470.1	WP_126380949.1
OG0000260	WP_011187671.1	WP_126377383.1
OG0000261	WP_011187462.1	WP_232034914.1
OG0000263	WP_011190212.1	WP_172961789.1
OG0000264	WP_011188079.1	WP_126380686.1
OG0000265	WP_011188077.1	WP_126380688.1
OG0000266	WP_011188060.1	WP_126380663.1
OG0000267	WP_011187616.1	WP_126380945.1
OG0000270	WP_011189127.1	WP_126380933.1
OG0000271	WP_011187803.1	WP_126381034.1
OG0000273	WP_011188597.1, WP_011188167.1	WP_126380880.1
OG0000274	WP_041277639.1	WP_126376851.1
OG0000274	WP_011187334.1	WP_126379464.1
OG0000277	WP_011188116.1	WP_232034831.1
OG0000278	WP_011188554.1	WP_126375672.1
OG0000280	WP_011189891.1	WP_126379987.1, WP_232034773.1, WP_126376296.1
OG0000285	WP_041278086.1	WP_126380954.1
OG0000286	WP_041277467.1	WP_232034878.1
OG0000289	WP_156792179.1	WP_126378287.1
OG0000289	WP_011189628.1	WP_126375897.1
OG0000290	WP_011189438.1	WP_126381196.1
OG0000291	WP_011188846.1	WP_126377018.1
OG0000292	WP_011188332.1	WP_126378090.1
OG0000293	WP_011188562.1	WP_126375664.1
OG0000295	WP_011189959.1	WP_232034907.1
OG0000296	WP_041277610.1	WP_126376968.1
OG0000297	WP_041277578.1	WP_172961716.1, WP_126380746.1
OG0000298	WP_011187865.1	WP_172961668.1
OG0000299	WP_228130178.1	WP_232034802.1
OG0000300	WP_011188258.1, WP_011187827.1	WP_126376664.1
OG0000301	WP_011189481.1, WP_011188387.1	WP_126376077.1
OG0000307	WP_011188550.1	WP_232034834.1
OG0000308	WP_011188557.1	WP_126375669.1
OG0000309	WP_041277735.1, WP_011187371.1	WP_126379200.1
OG0000312	WP_011190120.1	WP_126380979.1
OG0000313	WP_011188296.1, WP_162096644.1, WP_162096635.1	WP_126375836.1
OG0000314	WP_011188555.1	WP_126375671.1
OG0000316	WP_011190257.1	WP_126375979.1
OG0000320	WP_011187789.1, WP_011187785.1	WP_126380370.1
OG0000323	WP_041278448.1	WP_172961568.1, WP_172961580.1
OG0000324	WP_011189814.1	WP_172961599.1
OG0000324	WP_011188245.1	WP_172961787.1
OG0000326	WP_041278066.1, WP_041277799.1	WP_126375696.1
OG0000327	WP_011189731.1	WP_126379184.1
OG0000332	WP_011188672.1, WP_011188671.1	WP_126377537.1
OG0000333	WP_011190299.1	WP_126380825.1
OG0000336	WP_011189471.1	WP_126380948.1
OG0000339	WP_011187987.1	WP_126375542.1
OG0000340	WP_011187352.1	WP_126379916.1
OG0000343	WP_041277972.1, WP_041278078.1	WP_126378734.1
OG0000344	WP_011190302.1	WP_126379008.1
OG0000345	WP_011187347.1	WP_172961637.1
OG0000348	WP_011187350.1	WP_232034790.1
OG0000349	WP_011187460.1	WP_126377264.1
OG0000350	WP_011188163.1	WP_126380698.1
OG0000351	WP_162096620.1	WP_126380946.1
OG0000352	WP_011188037.1	WP_126377336.1
OG0000353	WP_011188201.1, WP_011187388.1	WP_126378808.1, WP_126381186.1
OG0000354	WP_041277911.1, WP_011187759.1	WP_126375853.1
OG0000355	WP_011188481.1	WP_126381547.1
OG0000356	WP_011189820.1	WP_126377915.1
OG0000357	WP_011187686.1	WP_126376942.1
OG0000358	WP_011188159.1	WP_126377529.1
OG0000359	WP_011187804.1	WP_126381036.1
OG0000360	WP_041277667.1	WP_126380696.1
OG0000361	WP_011190034.1	WP_126379495.1
OG0000363	WP_041277943.1	WP_126379097.1, WP_126377101.1
OG0000366	WP_041278090.1	WP_126376476.1, WP_126376478.1
OG0000367	WP_011187535.1	WP_126379291.1
OG0000372	WP_011187969.1	WP_126376919.1
OG0000373	WP_011187968.1	WP_126377043.1, WP_126376917.1
OG0000376	WP_011187926.1	WP_126375867.1, WP_126377201.1
OG0000380	WP_011189781.1	WP_126377282.1
OG0000381	WP_011188623.1	WP_126376913.1
OG0000382	WP_011189906.1	WP_126379417.1, WP_126377929.1, WP_126380334.1, WP_126379024.1
OG0000383	WP_011187989.1	WP_126378000.1
OG0000384	WP_011187586.1	WP_126379878.1
OG0000388	WP_011190030.1	WP_126379499.1
OG0000389	WP_011187991.1	WP_126380280.1
OG0000390	WP_011189231.1	WP_126380496.1
OG0000391	WP_011190429.1, WP_011187259.1	WP_126377020.1
OG0000392	WP_011187683.1	WP_126377803.1
OG0000393	WP_011189713.1	WP_126377464.1
OG0000394	WP_041278134.1	WP_126376132.1
OG0000396	WP_011189462.1	WP_126380788.1
OG0000398	WP_173362835.1, WP_011190427.1	WP_126375829.1
OG0000399	WP_041277921.1	WP_126376541.1
OG0000400	WP_011189966.1	WP_126375999.1
OG0000401	WP_011189767.1	WP_126377286.1
OG0000403	WP_011189529.1	WP_232034756.1
OG0000404	WP_162096667.1	WP_232034883.1
OG0000405	WP_011189762.1	WP_126379002.1
OG0000405	WP_041277937.1	WP_232034904.1
OG0000406	WP_011188036.1	WP_126380117.1
OG0000407	WP_011187531.1	WP_126375697.1
OG0000408	WP_011189463.1	WP_126376130.1
OG0000409	WP_173362847.1	WP_126375727.1
OG0000410	WP_011190337.1	WP_126375949.1
OG0000411	WP_041277604.1	WP_126380543.1
OG0000413	WP_011189040.1	WP_126379336.1
OG0000414	WP_011189125.1	WP_126380931.1
OG0000415	WP_011187702.1	WP_126378136.1
OG0000418	WP_011189597.1, WP_011188565.1	WP_126380654.1
OG0000419	WP_011189440.1	WP_232034936.1, WP_126376652.1
OG0000421	WP_011188876.1	WP_126380975.1, WP_126380183.1, WP_126377166.1, WP_126375708.1
OG0000422	WP_011190167.1	WP_126380163.1
OG0000423	WP_041278794.1	WP_126380506.1
OG0000425	WP_041278082.1	WP_126380914.1
OG0000427	WP_011188346.1	WP_126377181.1
OG0000428	WP_041277939.1	WP_126379265.1
OG0000429	WP_011187772.1	WP_126379605.1
OG0000433	WP_011189706.1	WP_126380900.1
OG0000434	WP_011187316.1	WP_126378271.1
OG0000438	WP_011187699.1	WP_197723444.1, WP_126375743.1
OG0000439	WP_011187387.1, WP_011188202.1	WP_126378807.1, WP_126381188.1
OG0000440	WP_041277623.1	WP_126380955.1
OG0000441	WP_011188848.1	WP_126378080.1
OG0000444	WP_228130145.1	WP_126378345.1
OG0000446	WP_011189905.1	WP_126377113.1, WP_126379389.1, WP_126379406.1
OG0000448	WP_011189730.1	WP_126379786.1
OG0000458	WP_011190050.1	WP_126379457.1
OG0000459	WP_011189199.1	WP_126378236.1
OG0000460	WP_011189785.1	WP_197723457.1
OG0000461	WP_011188884.1	WP_126376122.1
OG0000463	WP_011189177.1	WP_126378471.1, WP_126378644.1
OG0000466	WP_041277422.1	WP_126377342.1
OG0000467	WP_011187824.1	WP_126377723.1
OG0000468	WP_011189509.1	WP_126379910.1
OG0000469	WP_011188053.1	WP_126377360.1
OG0000470	WP_011190065.1	WP_126378919.1
OG0000471	WP_011188128.1	WP_126380492.1
OG0000472	WP_011189474.1	WP_126378642.1, WP_126377824.1
OG0000473	WP_011187823.1	WP_126377396.1
OG0000475	WP_011188169.1	WP_126380674.1
OG0000476	WP_041277668.1	WP_126380693.1
OG0000477	WP_011188156.1	WP_126379238.1
OG0000478	WP_011190301.1	WP_126379010.1
OG0000479	WP_011189651.1	WP_126378348.1
OG0000480	WP_041278396.1	WP_126375801.1
OG0000482	WP_011189018.1	WP_126376547.1
OG0000484	WP_011187369.1	WP_126380284.1
OG0000485	WP_011189650.1	WP_126378350.1
OG0000486	WP_011189991.1	WP_126379287.1
OG0000487	WP_041278024.1	WP_126380961.1
OG0000488	WP_011187960.1	WP_126379525.1
OG0000489	WP_011188276.1	WP_126377067.1
OG0000490	WP_162096643.1	WP_172961760.1
OG0000491	WP_041278044.1	WP_126379485.1
OG0000492	WP_011190160.1	WP_126377713.1
OG0000493	WP_011188045.1	WP_126377410.1
OG0000495	WP_011189170.1	WP_126376099.1
OG0000496	WP_049785040.1	WP_126375923.1
OG0000497	WP_011189797.1	WP_126377812.1
OG0000498	WP_011189796.1	WP_172961654.1
OG0000500	WP_011188406.1	WP_126377826.1
OG0000501	WP_041277540.1	WP_172961582.1
OG0000502	WP_011189198.1	WP_126378238.1
OG0000503	WP_041277961.1	WP_126377195.1
OG0000504	WP_041278120.1	WP_126377731.1
OG0000506	WP_049785112.1	WP_126378242.1
OG0000507	WP_228130170.1	WP_126376835.1
OG0000509	WP_011187888.1	WP_126376116.1
OG0000510	WP_011189093.1	WP_126380646.1
OG0000511	WP_011188090.1	WP_126377183.1
OG0000512	WP_011189412.1	WP_126380757.1
OG0000513	WP_011188168.1	WP_126380673.1
OG0000514	WP_041278089.1	WP_126375935.1
OG0000515	WP_011189178.1	WP_232034909.1
OG0000516	WP_041277801.1	WP_126378465.1
OG0000520	WP_041278621.1	WP_126379338.1
OG0000521	WP_011188856.1	WP_126380820.1
OG0000522	WP_011189825.1	WP_126377013.1
OG0000523	WP_011189941.1	WP_126376393.1
OG0000524	WP_011187894.1	WP_126380396.1
OG0000526	WP_011190256.1	WP_126375981.1
OG0000530	WP_049785116.1	WP_232034793.1
OG0000531	WP_228130141.1	WP_126375893.1
OG0000532	WP_011188723.1	WP_126377676.1
OG0000533	WP_011188031.1	WP_126375945.1
OG0000534	WP_011187873.1	WP_126377444.1
OG0000535	WP_011190194.1	WP_126379224.1
OG0000536	WP_011187628.1	WP_126379271.1
OG0000538	WP_011187361.1	WP_126380854.1
OG0000539	WP_011188585.1	WP_126376287.1, WP_172961816.1
OG0000540	WP_011189704.1	WP_126375989.1
OG0000542	WP_041277608.1	WP_126375953.1
OG0000543	WP_041278539.1	WP_126380762.1
OG0000544	WP_011187828.1	WP_126376662.1
OG0000545	WP_011188974.1	WP_126377049.1
OG0000546	WP_011187675.1	WP_126377155.1
OG0000547	WP_041277944.1	WP_126379146.1, WP_126379018.1
OG0000548	WP_011187345.1	WP_126377086.1
OG0000549	WP_011189640.1	WP_126379236.1
OG0000550	WP_011188945.1	WP_126378469.1
OG0000551	WP_011189864.1	WP_126377300.1
OG0000553	WP_011187439.1	WP_126380678.1
OG0000555	WP_011188911.1	WP_126377511.1
OG0000556	WP_041278827.1	WP_126380804.1
OG0000558	WP_011188479.1	WP_232034822.1
OG0000561	WP_011188001.1	WP_126377792.1
OG0000562	WP_011187743.1	WP_126375568.1
OG0000564	WP_041278003.1	WP_126379555.1
OG0000565	WP_041278002.1	WP_126381437.1
OG0000566	WP_011189759.1, WP_011188209.1	WP_126380739.1
OG0000568	WP_011188858.1	WP_126381234.1
OG0000569	WP_265588590.1, WP_011187919.1	WP_126378372.1
OG0000570	WP_011188250.1, WP_011190423.1, WP_011187271.1	WP_126377743.1
OG0000571	WP_083818934.1	WP_126376091.1
OG0000572	WP_011188021.1	WP_172961619.1
OG0000575	WP_011187685.1	WP_126376941.1
OG0000576	WP_156792204.1	WP_126376937.1
OG0000577	WP_041277922.1	WP_126377364.1
OG0000578	WP_265588588.1	WP_126380394.1
OG0000579	WP_041277577.1	WP_126380745.1
OG0000580	WP_011189859.1	WP_232034916.1
OG0000581	WP_011188354.1	WP_126376006.1
OG0000582	WP_011188971.1	WP_126375633.1
OG0000583	WP_041277672.1	WP_126379507.1
OG0000584	WP_011188100.1	WP_126379759.1
OG0000585	WP_083818932.1	WP_126379757.1
OG0000586	WP_041277613.1	WP_126381445.1
OG0000587	WP_011189426.1	WP_126376883.1
OG0000588	WP_011188096.1	WP_126379697.1
OG0000589	WP_011189180.1	WP_126376001.1
OG0000590	WP_011188172.1	WP_126375878.1
OG0000591	WP_041277520.1	WP_126376962.1
OG0000592	WP_011189429.1	WP_126380852.1
OG0000593	WP_041278079.1	WP_126379359.1
OG0000594	WP_162096625.1	WP_126376270.1
OG0000595	WP_011188721.1	WP_126380213.1
OG0000596	WP_011189197.1	WP_232034872.1
OG0000597	WP_011189171.1	WP_126377437.1
OG0000598	WP_011190145.1	WP_126378738.1
OG0000599	WP_011189837.1	WP_126377651.1
OG0000600	WP_041278909.1	WP_232034783.1
OG0000601	WP_011187681.1	WP_126375798.1
OG0000603	WP_011189475.1	WP_172961647.1
OG0000604	WP_041278118.1	WP_172961633.1
OG0000605	WP_156792331.1	WP_172961652.1
OG0000607	WP_011187525.1	WP_126380956.1
OG0000608	WP_011188883.1	WP_126376126.1
OG0000609	WP_049785044.1	WP_126379577.1
OG0000610	WP_011188404.1	WP_126376379.1
OG0000611	WP_011189430.1	WP_126379531.1
OG0000612	WP_011190047.1	WP_126379314.1
OG0000613	WP_011190046.1	WP_126379316.1
OG0000615	WP_011188395.1	WP_126378874.1
OG0000616	WP_228130172.1	WP_126378878.1
OG0000617	WP_011188368.1	WP_126376041.1
OG0000618	WP_011188370.1	WP_126376046.1
OG0000619	WP_011188371.1	WP_126376048.1
OG0000620	WP_011188372.1	WP_126376050.1
OG0000621	WP_011188373.1	WP_126376052.1
OG0000622	WP_041278063.1	WP_126380448.1
OG0000623	WP_011189965.1	WP_126378477.1
OG0000624	WP_011189832.1	WP_126380959.1
OG0000625	WP_011189833.1	WP_126380958.1
OG0000626	WP_011187844.1	WP_126376462.1
OG0000627	WP_011188405.1	WP_126376381.1
OG0000628	WP_011189052.1	WP_126376976.1
OG0000629	WP_011188979.1	WP_126378083.1
OG0000630	WP_011188034.1	WP_126376751.1
OG0000631	WP_011188032.1	WP_126376746.1
OG0000632	WP_011190021.1	WP_126380336.1
OG0000634	WP_011189407.1	WP_126377709.1
OG0000635	WP_011188882.1	WP_126375827.1
OG0000637	WP_011190035.1	WP_126379493.1
OG0000638	WP_011190101.1	WP_126376107.1
OG0000639	WP_011189179.1	WP_126379579.1
OG0000640	WP_011189473.1	WP_126379219.1
OG0000641	WP_011189464.1	WP_126379074.1
OG0000642	WP_011189005.1	WP_126380125.1
OG0000643	WP_011189974.1	WP_126376704.1
OG0000644	WP_011188027.1	WP_126380824.1
OG0000645	WP_011187303.1	WP_126377725.1
OG0000646	WP_011190137.1	WP_126378721.1
OG0000647	WP_011190138.1	WP_126378723.1
OG0000648	WP_011190141.1	WP_126378730.1
OG0000649	WP_011189975.1	WP_126376706.1
OG0000650	WP_011188871.1	WP_126380766.1
OG0000651	WP_011188863.1	WP_126380763.1
OG0000652	WP_011189939.1	WP_126376389.1
OG0000653	WP_011189434.1	WP_126379918.1
OG0000654	WP_011188972.1	WP_126375634.1
OG0000655	WP_011188330.1	WP_126380776.1
OG0000656	WP_011189856.1	WP_126377580.1
OG0000657	WP_011189855.1	WP_126377582.1
OG0000658	WP_011189851.1	WP_126377595.1
OG0000659	WP_011189850.1	WP_126377597.1
OG0000660	WP_011188567.1	WP_126378777.1
OG0000661	WP_011188568.1	WP_126378775.1
OG0000662	WP_011190083.1	WP_126376545.1
OG0000663	WP_198408692.1	WP_232034830.1
OG0000664	WP_011188724.1	WP_126377673.1
OG0000665	WP_011188975.1	WP_126380819.1
OG0000666	WP_011190230.1	WP_126377885.1
OG0000667	WP_011187436.1	WP_126380844.1
OG0000670	WP_011190149.1	WP_126375751.1
OG0000671	WP_041277812.1	WP_126379487.1
OG0000672	WP_041277607.1	WP_126381098.1
OG0000673	WP_049785113.1	WP_126377442.1
OG0000674	WP_041278088.1	WP_126380965.1
OG0000675	WP_011189795.1	WP_126380265.1
OG0000676	WP_011189433.1	WP_126377491.1
OG0000677	WP_011188391.1	WP_126376083.1
