Orthogroup	Desulfotalea psychrophila LSv54	Desulforhopalus vacuolatus DSM 9700
OG0000024	WP_011189217.1	WP_205218703.1
OG0000026	WP_041278328.1	WP_240192012.1
OG0000026	WP_041277628.1	WP_240191995.1
OG0000027	WP_011189010.1, WP_011190227.1, WP_011187927.1, WP_011187726.1	WP_240192067.1
OG0000028	WP_041277631.1	WP_205218835.1
OG0000028	WP_162096634.1	WP_205218475.1
OG0000029	WP_265588603.1	WP_205219870.1
OG0000030	WP_011188233.1	WP_205220225.1
OG0000030	WP_011187333.1	WP_205218797.1
OG0000030	WP_041277653.1	WP_205217848.1
OG0000031	WP_041277675.1	WP_205217958.1
OG0000033	WP_041277486.1	WP_205218725.1
OG0000033	WP_011187749.1	WP_205219469.1
OG0000034	WP_011188938.1	WP_205218628.1
OG0000036	WP_011190296.1, WP_083819006.1	WP_205220093.1
OG0000037	WP_228130148.1, WP_011190364.1	WP_275889032.1
OG0000038	WP_083818947.1	WP_205218672.1
OG0000038	WP_011189861.1	WP_205219654.1
OG0000038	WP_011189862.1	WP_205219655.1
OG0000039	WP_011188738.1	WP_205217786.1, WP_205219425.1
OG0000040	WP_011187264.1, WP_041277819.1	WP_205219588.1
OG0000041	WP_011188937.1	WP_205218629.1
OG0000041	WP_011189362.1	WP_205218050.1
OG0000041	WP_011190076.1	WP_205217528.1, WP_205219357.1
OG0000041	WP_041277450.1	WP_205218333.1
OG0000042	WP_011187375.1	WP_205217331.1
OG0000042	WP_011189777.1	WP_205218976.1
OG0000043	WP_228130175.1, WP_041277539.1, WP_011187331.1	WP_205218478.1
OG0000045	WP_011188148.1	WP_205218812.1
OG0000047	WP_011187275.1	WP_205220001.1
OG0000048	WP_011188265.1	WP_205220104.1
OG0000048	WP_041277948.1	WP_205217850.1
OG0000050	WP_011189772.1, WP_041277820.1, WP_011190307.1	WP_275888963.1
OG0000050	WP_041277480.1	WP_205218211.1, WP_205218832.1
OG0000052	WP_011188194.1, WP_041277630.1, WP_011188193.1	WP_205218833.1
OG0000054	WP_228130174.1, WP_011188415.1, WP_011187605.1	WP_205217416.1
OG0000054	WP_041278585.1	WP_205217689.1
OG0000054	WP_011189292.1	WP_205219669.1
OG0000055	WP_011189432.1	WP_205219062.1
OG0000055	WP_011187273.1	WP_205220003.1
OG0000058	WP_011190338.1	WP_205217357.1
OG0000059	WP_011189102.1, WP_011189104.1	WP_205218630.1
OG0000060	WP_011187768.1	WP_205219391.1
OG0000060	WP_011189467.1	WP_205218162.1
OG0000061	WP_011188264.1	WP_205220106.1
OG0000061	WP_011189049.1	WP_205218219.1
OG0000062	WP_011188420.1	WP_205218096.1
OG0000062	WP_011187393.1	WP_205218468.1
OG0000063	WP_041277748.1	WP_205218947.1
OG0000063	WP_011190024.1	WP_205217751.1
OG0000064	WP_011188922.1	WP_205218680.1
OG0000064	WP_011190321.1	WP_205219039.1
OG0000065	WP_041277642.1	WP_205217454.1
OG0000067	WP_011187394.1	WP_205218467.1
OG0000069	WP_041278071.1	WP_240192079.1
OG0000074	WP_011187327.1	WP_205218276.1
OG0000074	WP_011188124.1	WP_205217575.1
OG0000075	WP_041277654.1	WP_205217847.1
OG0000079	WP_041278114.1	WP_205217405.1
OG0000084	WP_011189588.1, WP_049785027.1, WP_011188741.1	WP_205217368.1
OG0000085	WP_049784979.1	WP_205217395.1
OG0000086	WP_011187364.1	WP_205217406.1
OG0000087	WP_041278432.1	WP_205219845.1
OG0000087	WP_011190071.1	WP_205217731.1
OG0000091	WP_011189088.1	WP_205218848.1
OG0000091	WP_265588615.1	WP_205217745.1
OG0000092	WP_011189765.1, WP_041277704.1	WP_205218658.1
OG0000093	WP_011187627.1, WP_041277722.1	WP_240191946.1
OG0000095	WP_011187326.1	WP_205218407.1
OG0000095	WP_011189875.1	WP_205218965.1
OG0000097	WP_011190072.1	WP_205217730.1
OG0000097	WP_011189603.1	WP_240191918.1
OG0000101	WP_011187560.1	WP_205219783.1
OG0000102	WP_011187795.1, WP_011190131.1	WP_205217638.1
OG0000103	WP_011187572.1	WP_205218404.1
OG0000104	WP_011189410.1	WP_205219195.1
OG0000105	WP_011190029.1	WP_240191944.1
OG0000105	WP_041277849.1	WP_240192046.1
OG0000106	WP_011188105.1	WP_205218448.1
OG0000108	WP_011189642.1	WP_205220065.1, WP_205220063.1, WP_205220062.1
OG0000108	WP_011188953.1	WP_205217815.1
OG0000110	WP_041277836.1	WP_205220030.1
OG0000112	WP_011188067.1	WP_205218422.1
OG0000113	WP_041277425.1	WP_205219581.1
OG0000114	WP_011188364.1	WP_205217943.1
OG0000114	WP_011187252.1	WP_205217401.1
OG0000116	WP_011187877.1	WP_205218587.1
OG0000117	WP_011188472.1	WP_205219085.1
OG0000117	WP_011189124.1	WP_205217876.1
OG0000118	WP_011189123.1	WP_240191957.1
OG0000118	WP_011188471.1	WP_275888991.1
OG0000119	WP_011187701.1, WP_156792185.1	WP_205220204.1
OG0000120	WP_011187392.1	WP_275888970.1
OG0000121	WP_011187278.1	WP_275888929.1
OG0000123	WP_011189032.1	WP_205220031.1
OG0000125	WP_011187861.1	WP_240192143.1
OG0000125	WP_011190268.1	WP_205220097.1
OG0000126	WP_011190020.1	WP_205219649.1
OG0000127	WP_011188334.1	WP_205219440.1
OG0000127	WP_011188335.1	WP_205219441.1
OG0000128	WP_011190249.1	WP_205219057.1
OG0000128	WP_041278021.1	WP_205218118.1
OG0000131	WP_011189957.1	WP_240192135.1
OG0000132	WP_156792284.1	WP_205218326.1
OG0000133	WP_049785062.1	WP_205217878.1
OG0000133	WP_011188470.1	WP_205219087.1
OG0000134	WP_011188144.1	WP_205218809.1
OG0000134	WP_011189428.1	WP_205219067.1
OG0000135	WP_011190396.1, WP_011189338.1	WP_205219271.1
OG0000136	WP_011189843.1	WP_240191980.1
OG0000136	WP_156792292.1	WP_205220066.1
OG0000137	WP_011188473.1	WP_205219084.1
OG0000141	WP_011190215.1	WP_205219915.1
OG0000142	WP_156792321.1	WP_205219982.1
OG0000142	WP_041277814.1	WP_205218882.1
OG0000143	WP_011190324.1	WP_205219037.1
OG0000144	WP_011189528.1	WP_205217734.1
OG0000145	WP_156792207.1	WP_205218440.1
OG0000147	WP_011190023.1	WP_205217752.1
OG0000148	WP_011190200.1	WP_205219628.1
OG0000150	WP_156792302.1	WP_240192129.1
OG0000151	WP_156792391.1	WP_205219293.1, WP_240192019.1
OG0000152	WP_011188507.1	WP_205219848.1
OG0000152	WP_011188513.1	WP_205219850.1
OG0000153	WP_041278081.1	WP_205219644.1
OG0000154	WP_011188535.1	WP_205217327.1
OG0000155	WP_011189442.1	WP_240192148.1
OG0000155	WP_011189443.1	WP_205219521.1
OG0000156	WP_041278107.1	WP_205220095.1
OG0000160	WP_228130154.1	WP_240191992.1, WP_205217391.1
OG0000161	WP_011189119.1	WP_205218217.1
OG0000162	WP_011187311.1	WP_205218379.1
OG0000163	WP_049784999.1	WP_205218549.1
OG0000163	WP_011190105.1	WP_205219249.1
OG0000164	WP_041277432.1	WP_205218897.1
OG0000164	WP_011187437.1	WP_205218605.1
OG0000165	WP_011187672.1	WP_240192087.1
OG0000166	WP_041278008.1	WP_205219180.1
OG0000167	WP_011189983.1	WP_205219005.1
OG0000169	WP_041278049.1	WP_205220075.1
OG0000170	WP_228130166.1, WP_228130165.1	WP_205218419.1
OG0000171	WP_011188224.1	WP_205220364.1
OG0000171	WP_049785111.1	WP_205219366.1
OG0000172	WP_011188712.1	WP_205217862.1
OG0000173	WP_011187845.1	WP_205219412.1
OG0000174	WP_011188522.1	WP_205217656.1
OG0000176	WP_011187820.1	WP_205219026.1
OG0000180	WP_083818964.1, WP_041278377.1	WP_205220263.1, WP_205220264.1
OG0000181	WP_049785176.1	WP_205218461.1
OG0000181	WP_011190443.1	WP_205219295.1
OG0000183	WP_041277717.1	WP_240191953.1
OG0000184	WP_011189110.1	WP_205218375.1
OG0000185	WP_162096651.1	WP_205218077.1
OG0000185	WP_041277828.1	WP_205218823.1
OG0000186	WP_011188095.1	WP_205217642.1
OG0000187	WP_011188352.1, WP_011188365.1	WP_205217955.1, WP_205217942.1
OG0000188	WP_011188912.1	WP_205217562.1
OG0000190	WP_041277447.1	WP_205218562.1
OG0000191	WP_011188792.1	WP_205220111.1
OG0000192	WP_049785055.1	WP_205220299.1
OG0000192	WP_011189154.1	WP_205219236.1, WP_205219235.1
OG0000193	WP_011188238.1	WP_240191910.1
OG0000194	WP_011187954.1	WP_205218538.1
OG0000195	WP_011189858.1	WP_205219651.1
OG0000196	WP_011188559.1	WP_205217764.1
OG0000197	WP_011187639.1	WP_205218369.1
OG0000198	WP_156792257.1	WP_240192026.1, WP_275888971.1
OG0000198	WP_011189478.1	WP_205218731.1
OG0000199	WP_041277873.1	WP_205218113.1
OG0000201	WP_011188242.1	WP_205217441.1
OG0000202	WP_011189106.1	WP_205219316.1
OG0000207	WP_011190248.1	WP_205218036.1, WP_205219126.1
OG0000207	WP_011188263.1	WP_205218366.1
OG0000208	WP_011188262.1	WP_205218367.1
OG0000208	WP_011190247.1	WP_205218037.1, WP_205219125.1
OG0000209	WP_011189657.1	WP_205219630.1
OG0000210	WP_011188475.1	WP_205220183.1
OG0000210	WP_011187438.1	WP_205218604.1
OG0000211	WP_011190201.1	WP_205219629.1
OG0000212	WP_011187826.1	WP_205219027.1
OG0000214	WP_041277773.1	WP_205220148.1
OG0000214	WP_011188783.1	WP_205218051.1, WP_205220149.1
OG0000215	WP_041278351.1	WP_240192049.1
OG0000216	WP_011190303.1	WP_205218263.1
OG0000217	WP_041278087.1	WP_205218771.1
OG0000218	WP_011188935.1	WP_205218878.1
OG0000219	WP_011187520.1	WP_240191915.1
OG0000221	WP_011188482.1	WP_205218650.1
OG0000222	WP_041277470.1, WP_011190100.1	WP_205219254.1
OG0000223	WP_041277805.1	WP_205218711.1
OG0000225	WP_011190357.1	WP_205217392.1
OG0000226	WP_041277609.1	WP_205217492.1
OG0000227	WP_011188872.1	WP_205219130.1
OG0000227	WP_011190190.1	WP_205217886.1
OG0000228	WP_228130150.1	WP_205219809.1
OG0000232	WP_162096624.1	WP_205218345.1
OG0000233	WP_041277996.1	WP_240192116.1
OG0000234	WP_011188725.1	WP_205218677.1
OG0000235	WP_011189740.1	WP_240192153.1
OG0000237	WP_011187837.1	WP_205218378.1
OG0000237	WP_041277465.1	WP_205217881.1
OG0000238	WP_011190078.1	WP_205219359.1, WP_205217607.1
OG0000239	WP_156792203.1	WP_240192164.1
OG0000239	WP_011189492.1	WP_205218936.1
OG0000243	WP_041277879.1	WP_240192155.1
OG0000245	WP_156792261.1	WP_205217699.1, WP_240191912.1, WP_205219832.1, WP_240191911.1, WP_240192063.1
OG0000248	WP_011187684.1	WP_205219321.1
OG0000252	WP_011188558.1	WP_205217763.1
OG0000253	WP_041278077.1	WP_205217628.1
OG0000256	WP_193763857.1	WP_205220146.1
OG0000257	WP_011187938.1	WP_205218346.1
OG0000259	WP_011189470.1	WP_205218163.1
OG0000261	WP_011187462.1	WP_205219746.1
OG0000262	WP_011188941.1	WP_205218569.1
OG0000264	WP_011188079.1	WP_205218431.1
OG0000265	WP_011188077.1	WP_205218429.1
OG0000266	WP_011188060.1	WP_205217485.1
OG0000268	WP_011189056.1	WP_205220292.1
OG0000270	WP_011189127.1	WP_205217873.1
OG0000271	WP_011187803.1	WP_205217707.1
OG0000274	WP_041277639.1	WP_205220226.1
OG0000274	WP_011187334.1	WP_205218796.1
OG0000276	WP_011187910.1	WP_205219386.1
OG0000277	WP_011188116.1	WP_205220291.1
OG0000278	WP_011188554.1	WP_205217759.1
OG0000283	WP_011187819.1	WP_275888985.1
OG0000285	WP_041278086.1	WP_205218739.1
OG0000286	WP_041277467.1	WP_205219747.1
OG0000286	WP_049785127.1	WP_205219922.1
OG0000290	WP_011189438.1	WP_205219839.1
OG0000291	WP_011188846.1	WP_205218886.1
OG0000292	WP_011188332.1	WP_240192117.1
OG0000293	WP_011188562.1	WP_240191945.1
OG0000294	WP_011190213.1	WP_205219913.1
OG0000295	WP_011188719.1	WP_240192031.1
OG0000296	WP_041277610.1	WP_205218418.1
OG0000297	WP_041277578.1	WP_205218547.1
OG0000299	WP_228130178.1	WP_205217776.1
OG0000300	WP_011187827.1	WP_205218591.1
OG0000303	WP_011188699.1	WP_205220325.1
OG0000307	WP_011188550.1	WP_205217755.1
OG0000308	WP_011188557.1	WP_205218580.1, WP_205217762.1
OG0000309	WP_011187371.1	WP_205217461.1
OG0000311	WP_011189408.1	WP_205219196.1
OG0000312	WP_011190120.1	WP_205217647.1
OG0000313	WP_162096644.1	WP_205219525.1
OG0000314	WP_011188555.1	WP_205217760.1
OG0000316	WP_011190257.1	WP_205220128.1
OG0000317	WP_041277994.1	WP_205220116.1
OG0000319	WP_011187880.1	WP_205218517.1
OG0000320	WP_011187789.1, WP_011187785.1	WP_205217581.1
OG0000321	WP_011189150.1	WP_205220266.1
OG0000322	WP_156792160.1	WP_205220004.1
OG0000326	WP_041278066.1	WP_205217341.1
OG0000327	WP_011189731.1	WP_205219777.1
OG0000328	WP_049785093.1	WP_205219902.1
OG0000328	WP_011189663.1	WP_205219089.1, WP_205219094.1, WP_205219092.1, WP_275888965.1, WP_205218329.1, WP_205218553.1
OG0000328	WP_011189812.1	WP_205218530.1
OG0000331	WP_011189375.1	WP_240192075.1
OG0000332	WP_011188672.1, WP_011188671.1	WP_205219138.1
OG0000333	WP_011190299.1	WP_205217404.1
OG0000336	WP_011189471.1	WP_205218164.1
OG0000337	WP_011188684.1	WP_205217681.1
OG0000338	WP_011188054.1	WP_205217490.1
OG0000339	WP_011187987.1	WP_205220081.1
OG0000340	WP_011187352.1	WP_205218789.1
OG0000343	WP_041277972.1, WP_041278078.1	WP_205217627.1
OG0000344	WP_011190302.1	WP_205218262.1
OG0000345	WP_011187347.1	WP_205217480.1
OG0000348	WP_011187350.1	WP_205218791.1
OG0000349	WP_011187460.1	WP_205219748.1
OG0000352	WP_011188037.1	WP_205217504.1
OG0000353	WP_011188201.1, WP_011187388.1	WP_205218764.1, WP_205219735.1
OG0000354	WP_041277911.1	WP_205220253.1
OG0000355	WP_011188481.1	WP_205218649.1
OG0000356	WP_011189820.1	WP_205218114.1
OG0000357	WP_011187686.1	WP_205219318.1
OG0000358	WP_011188159.1	WP_205218079.1
OG0000359	WP_011187804.1	WP_205218171.1
OG0000360	WP_041277667.1	WP_205217452.1
OG0000361	WP_011190034.1	WP_205217741.1
OG0000362	WP_011188275.1	WP_205217652.1
OG0000363	WP_041277943.1	WP_205217706.1
OG0000366	WP_041278090.1	WP_275888945.1
OG0000367	WP_011187535.1	WP_240191917.1
OG0000371	WP_011190222.1	WP_205219934.1
OG0000372	WP_011187969.1	WP_205218561.1
OG0000373	WP_011187968.1	WP_205218559.1
OG0000376	WP_011187926.1	WP_240192120.1
OG0000380	WP_011189781.1	WP_205220206.1
OG0000381	WP_011188623.1	WP_205217576.1
OG0000383	WP_011187989.1	WP_205219427.1
OG0000384	WP_011187586.1	WP_205218413.1
OG0000385	WP_011188700.1	WP_205220324.1
OG0000387	WP_011189949.1	WP_275888961.1
OG0000388	WP_011190030.1	WP_205217746.1
OG0000389	WP_011187991.1	WP_205217531.1
OG0000390	WP_011189231.1	WP_240192167.1
OG0000391	WP_011190429.1, WP_011187259.1	WP_205219766.1
OG0000392	WP_011187683.1	WP_275889000.1, WP_205218215.1
OG0000393	WP_011189713.1	WP_205218954.1
OG0000394	WP_041278134.1	WP_205218909.1
OG0000396	WP_011189462.1	WP_205218452.1
OG0000397	WP_041277793.1	WP_205220277.1
OG0000398	WP_173362835.1, WP_011190427.1	WP_205219765.1
OG0000399	WP_041277921.1	WP_240192074.1
OG0000400	WP_011189966.1	WP_205219816.1
OG0000401	WP_011189767.1	WP_205219368.1
OG0000403	WP_011189529.1	WP_205217733.1
OG0000404	WP_162096667.1	WP_205217616.1
OG0000406	WP_011188036.1	WP_205217506.1
OG0000407	WP_011187531.1	WP_205217713.1
OG0000408	WP_011189463.1	WP_205218451.1
OG0000409	WP_173362847.1	WP_205218129.1
OG0000410	WP_011190337.1	WP_205217356.1
OG0000411	WP_041277604.1	WP_240192044.1
OG0000413	WP_011189040.1	WP_205217469.1
OG0000414	WP_011189125.1	WP_205217875.1
OG0000418	WP_011189597.1, WP_011188565.1	WP_205217768.1
OG0000419	WP_011189440.1	WP_205219837.1
OG0000420	WP_011187900.1	WP_240191999.1
OG0000420	WP_011189525.1	WP_205217661.1
OG0000422	WP_011190167.1	WP_205218454.1
OG0000423	WP_041278794.1	WP_205218959.1
OG0000425	WP_041278082.1	WP_205220198.1
OG0000426	WP_011188860.1	WP_205220276.1
OG0000427	WP_011188346.1	WP_240191961.1
OG0000428	WP_041277939.1	WP_205217735.1
OG0000429	WP_011187772.1	WP_205218395.1
OG0000433	WP_011189706.1	WP_205219208.1
OG0000435	WP_011187397.1	WP_205220182.1
OG0000438	WP_011187699.1	WP_205219696.1
OG0000439	WP_011187387.1, WP_011188202.1	WP_205219736.1
OG0000440	WP_041277623.1	WP_205218572.1
OG0000441	WP_011188848.1	WP_205218891.1
OG0000443	WP_041278382.1	WP_205217439.1
OG0000444	WP_228130145.1	WP_240192150.1
OG0000445	WP_156792310.1	WP_205219058.1
OG0000447	WP_011189512.1	WP_205218746.1
OG0000458	WP_011190050.1	WP_205218916.1
OG0000459	WP_011189199.1	WP_205218112.1
OG0000460	WP_011189785.1	WP_205219183.1
OG0000461	WP_011188884.1	WP_205217709.1
OG0000462	WP_041277938.1	WP_205217736.1
OG0000463	WP_011189177.1	WP_205219782.1
OG0000466	WP_041277422.1	WP_205219574.1
OG0000467	WP_011187824.1	WP_275888973.1
OG0000468	WP_011189509.1	WP_205218748.1
OG0000469	WP_011188053.1	WP_205217491.1
OG0000470	WP_011190065.1	WP_205218902.1
OG0000471	WP_011188128.1	WP_205218800.1
OG0000472	WP_011189474.1	WP_205218167.1
OG0000473	WP_011187823.1	WP_205218594.1
OG0000474	WP_011189845.1	WP_240192159.1
OG0000475	WP_011188169.1	WP_240191922.1
OG0000476	WP_041277668.1	WP_205217449.1
OG0000477	WP_011188156.1	WP_205218449.1
OG0000478	WP_011190301.1	WP_205218261.1
OG0000479	WP_011189651.1	WP_275889017.1
OG0000480	WP_041278396.1	WP_205217922.1
OG0000484	WP_011187369.1	WP_205217459.1
OG0000485	WP_011189650.1	WP_240192151.1
OG0000486	WP_011189991.1	WP_240192058.1
OG0000487	WP_041278024.1	WP_205218131.1
OG0000488	WP_011187960.1	WP_205218506.1
OG0000489	WP_011188276.1	WP_205219267.1
OG0000490	WP_162096643.1	WP_205219099.1
OG0000491	WP_041278044.1	WP_205219120.1
OG0000492	WP_011190160.1	WP_205219754.1
OG0000493	WP_011188045.1	WP_205217497.1
OG0000495	WP_011189170.1	WP_205218729.1
OG0000496	WP_049785040.1	WP_205217666.1
OG0000497	WP_011189797.1	WP_240192032.1
OG0000498	WP_011189796.1	WP_205218691.1
OG0000500	WP_011188406.1	WP_205217905.1
OG0000501	WP_041277540.1	WP_240192165.1
OG0000502	WP_011189198.1	WP_205218110.1
OG0000503	WP_041277961.1	WP_205220151.1
OG0000504	WP_041278120.1	WP_205217355.1
OG0000505	WP_041277824.1	WP_205219666.1
OG0000507	WP_228130170.1	WP_205217438.1
OG0000508	WP_011187508.1	WP_205218825.1
OG0000509	WP_011187888.1	WP_205218546.1
OG0000510	WP_011189093.1	WP_205218853.1
OG0000511	WP_011188090.1	WP_205218437.1
OG0000512	WP_011189412.1	WP_205219193.1
OG0000513	WP_011188168.1	WP_205217560.1
OG0000514	WP_041278089.1	WP_205218175.1
OG0000515	WP_011189178.1	WP_205219781.1
OG0000516	WP_041277801.1	WP_205217710.1
OG0000520	WP_041278621.1	WP_205220133.1
OG0000521	WP_011188856.1	WP_205219612.1
OG0000522	WP_011189825.1	WP_205218124.1
OG0000523	WP_011189941.1	WP_205219825.1
OG0000525	WP_041277510.1	WP_205218361.1
OG0000526	WP_011190256.1	WP_205220125.1
OG0000527	WP_011189472.1	WP_205218165.1
OG0000530	WP_049785116.1	WP_205218899.1
OG0000531	WP_228130141.1	WP_205219838.1
OG0000532	WP_011188723.1	WP_205218675.1
OG0000533	WP_011188031.1	WP_205217510.1
OG0000534	WP_011187873.1	WP_205219402.1
OG0000535	WP_011190194.1	WP_205219617.1
OG0000536	WP_011187628.1	WP_240191994.1
OG0000537	WP_011189840.1	WP_205218142.1
OG0000538	WP_011187361.1	WP_205218780.1
OG0000539	WP_011188585.1	WP_205217783.1
OG0000540	WP_011189704.1	WP_205219210.1
OG0000542	WP_041277608.1	WP_205217495.1
OG0000543	WP_041278539.1	WP_205220278.1
OG0000544	WP_011187828.1	WP_205218590.1
OG0000545	WP_011188974.1	WP_205217421.1
OG0000546	WP_011187675.1	WP_205219329.1
OG0000547	WP_041277944.1	WP_205219929.1
OG0000548	WP_011187345.1	WP_205217478.1
OG0000549	WP_011189640.1	WP_205220069.1
OG0000550	WP_011188945.1	WP_240192054.1
OG0000555	WP_011188911.1	WP_205219625.1
OG0000558	WP_011188479.1	WP_205219892.1
OG0000561	WP_011188001.1	WP_205219465.1
OG0000562	WP_011187743.1	WP_205217553.1
OG0000564	WP_041278003.1	WP_205218994.1
OG0000565	WP_041278002.1	WP_205218993.1
OG0000568	WP_011188858.1	WP_205219610.1
OG0000569	WP_265588590.1, WP_011187919.1	WP_205219985.1
OG0000570	WP_011188250.1, WP_011190423.1, WP_011187271.1	WP_205217437.1
OG0000571	WP_083818934.1	WP_205217567.1
OG0000575	WP_011187685.1	WP_205219319.1
OG0000576	WP_156792204.1	WP_205220238.1
OG0000577	WP_041277922.1	WP_205219226.1
OG0000578	WP_265588588.1	WP_205218542.1
OG0000579	WP_041277577.1	WP_205218548.1
OG0000580	WP_011189859.1	WP_205219652.1
OG0000581	WP_011188354.1	WP_205217953.1
OG0000582	WP_011188971.1	WP_205217424.1
OG0000584	WP_011188100.1	WP_205218446.1
OG0000585	WP_083818932.1	WP_205218445.1
OG0000586	WP_041277613.1	WP_205218444.1
OG0000587	WP_011189426.1	WP_205219068.1
OG0000588	WP_011188096.1	WP_205218441.1
OG0000589	WP_011189180.1	WP_205219775.1
OG0000590	WP_011188172.1	WP_205218457.1
OG0000591	WP_041277520.1	WP_205219327.1
OG0000592	WP_011189429.1	WP_205219066.1
OG0000593	WP_041278079.1	WP_205218486.1
OG0000594	WP_162096625.1	WP_205217503.1
OG0000595	WP_011188721.1	WP_205218673.1
OG0000596	WP_011189197.1	WP_205218108.1
OG0000597	WP_011189171.1	WP_205218730.1
OG0000598	WP_011190145.1	WP_205217625.1
OG0000599	WP_011189837.1	WP_205218140.1
OG0000600	WP_041278909.1	WP_205217588.1
OG0000601	WP_011187681.1	WP_205219323.1
OG0000603	WP_011189475.1	WP_240191991.1
OG0000604	WP_041278118.1	WP_205219036.1
OG0000605	WP_156792331.1	WP_205219056.1
OG0000606	WP_011188166.1	WP_240192025.1
OG0000607	WP_011187525.1	WP_240191928.1
OG0000608	WP_011188883.1	WP_205217708.1
OG0000609	WP_049785044.1	WP_240192100.1
OG0000610	WP_011188404.1	WP_205217907.1
OG0000611	WP_011189430.1	WP_205219064.1
OG0000612	WP_011190047.1	WP_205218918.1
OG0000613	WP_011190046.1	WP_205218919.1
OG0000614	WP_011187529.1	WP_205217712.1
OG0000615	WP_011188395.1	WP_205217915.1
OG0000616	WP_228130172.1	WP_205217914.1
OG0000617	WP_011188368.1	WP_205217940.1
OG0000618	WP_011188370.1	WP_205217938.1
OG0000619	WP_011188371.1	WP_205217937.1
OG0000620	WP_011188372.1	WP_205217936.1
OG0000621	WP_011188373.1	WP_205217935.1
OG0000622	WP_041278063.1	WP_205219259.1
OG0000623	WP_011189965.1	WP_205219817.1
OG0000624	WP_011189832.1	WP_205218135.1
OG0000625	WP_011189833.1	WP_205218136.1
OG0000626	WP_011187844.1	WP_205219413.1
OG0000627	WP_011188405.1	WP_205217906.1
OG0000628	WP_011189052.1	WP_240191905.1
OG0000629	WP_011188979.1	WP_205219678.1, WP_205219665.1
OG0000630	WP_011188034.1	WP_205217508.1
OG0000631	WP_011188032.1	WP_205217509.1
OG0000632	WP_011190021.1	WP_205219650.1
OG0000634	WP_011189407.1	WP_205219197.1
OG0000635	WP_011188882.1	WP_205219807.1
OG0000637	WP_011190035.1	WP_205217740.1
OG0000638	WP_011190101.1	WP_205219253.1
OG0000639	WP_011189179.1	WP_205219776.1
OG0000640	WP_011189473.1	WP_205218166.1
OG0000641	WP_011189464.1	WP_205218910.1
OG0000642	WP_011189005.1	WP_205219556.1
OG0000643	WP_011189974.1	WP_205219124.1
OG0000644	WP_011188027.1	WP_205220191.1
OG0000645	WP_011187303.1	WP_205219573.1
OG0000646	WP_011190137.1	WP_205217633.1
OG0000647	WP_011190138.1	WP_240191938.1
OG0000648	WP_011190141.1	WP_205217629.1
OG0000649	WP_011189975.1	WP_205219123.1
OG0000650	WP_011188871.1	WP_205219129.1
OG0000651	WP_011188863.1	WP_205220279.1
OG0000652	WP_011189939.1	WP_205219827.1
