Orthogroup	Desulforhopalus vacuolatus DSM 9700	Desulfocapsa_13_biocide
OG0000109	WP_275889033.1, WP_205220419.1, WP_240192190.1, WP_205217993.1, WP_205217997.1, WP_205218000.1, WP_205218978.1, WP_205219309.1, WP_205218981.1, WP_205220422.1, WP_205218867.1, WP_205220387.1, WP_205220248.1	Utg861448_27
OG0000111	WP_205217361.1	Utg857046_17
OG0000112	WP_205218422.1	Utg857152_85
OG0000113	WP_205219581.1	Utg857046_73
OG0000114	WP_205217943.1	Utg858494_132
OG0000114	WP_205217401.1	Utg863716_30
OG0000115	WP_205217489.1	Utg857152_65
OG0000115	WP_205219679.1	Utg860006_127
OG0000117	WP_205219085.1	Utg857046_88
OG0000117	WP_205217876.1	Utg864866_33
OG0000118	WP_240191957.1	Utg864866_34
OG0000118	WP_275888991.1	Utg857046_89
OG0000121	WP_275888929.1	Utg857994_195
OG0000122	WP_205220332.1	Utg857076_48
OG0000123	WP_205220031.1	Utg859236_117
OG0000125	WP_205220097.1	Utg859982_62
OG0000126	WP_205219649.1	Utg859388_82
OG0000127	WP_205219440.1, WP_205219441.1	Utg857490_17
OG0000128	WP_205219057.1	Utg863716_100
OG0000128	WP_205218118.1	Utg859098_212
OG0000129	WP_205218969.1	Utg860814_286
OG0000129	WP_205220177.1	Utg857682_35
OG0000131	WP_240192135.1	Utg857994_138
OG0000132	WP_205218326.1	Utg859098_255
OG0000133	WP_205217878.1	Utg864866_36
OG0000133	WP_205219087.1	Utg857046_90
OG0000134	WP_205218809.1	Utg864866_54
OG0000134	WP_205219067.1	Utg859098_168
OG0000136	WP_240191980.1	Utg859098_181
OG0000136	WP_205220066.1	Utg858498_14
OG0000137	WP_205219084.1	Utg857046_87
OG0000142	WP_205219982.1	Utg860814_204
OG0000142	WP_205218882.1	Utg861448_10, Utg861448_11
OG0000143	WP_205219037.1	Utg859750_71
OG0000144	WP_205217734.1	Utg859388_58
OG0000145	WP_205218440.1	Utg860814_102, Utg860814_101
OG0000147	WP_205217752.1	Utg859388_78
OG0000148	WP_205218212.1, WP_205219628.1	Utg859236_120
OG0000150	WP_240192129.1	Utg859982_197
OG0000151	WP_240192019.1	Utg857046_167
OG0000152	WP_205219848.1	Utg860814_109
OG0000152	WP_205219850.1	Utg860814_116
OG0000154	WP_205217327.1	Utg865370_5
OG0000155	WP_240192148.1	Utg859098_381
OG0000155	WP_205219521.1	Utg859098_382
OG0000156	WP_205220095.1	Utg859982_64
OG0000160	WP_240191992.1, WP_205217391.1	Utg863716_47
OG0000162	WP_205218379.1	Utg857046_72
OG0000163	WP_205218549.1	Utg861744_18
OG0000163	WP_205219249.1	Utg857076_25
OG0000164	WP_205218605.1	Utg857300_2
OG0000165	WP_240192087.1	Utg859432_36
OG0000166	WP_205219180.1	Utg858432_139
OG0000167	WP_205219005.1	Utg859982_154
OG0000169	WP_205220075.1	Utg859982_43
OG0000170	WP_205218419.1	Utg857152_75, Utg857152_74
OG0000171	WP_205219366.1	Utg859982_151
OG0000172	WP_205217862.1	Utg860006_25
OG0000173	WP_205219412.1	Utg861744_119
OG0000174	WP_205217656.1	Utg860814_189
OG0000176	WP_205219026.1	Utg861744_133, Utg857046_232
OG0000180	WP_205220263.1, WP_205220264.1	Utg859236_79
OG0000181	WP_205218461.1	Utg857046_168
OG0000182	WP_205217742.1	Utg859388_65
OG0000183	WP_205218585.1	Utg859982_223
OG0000183	WP_240191953.1	Utg862138_16
OG0000184	WP_205219494.1	Utg859388_167
OG0000184	WP_205218375.1	Utg859236_54
OG0000185	WP_205218077.1	Utg859098_331
OG0000186	WP_205217642.1	Utg859236_122
OG0000187	WP_205217955.1, WP_205217942.1	Utg858494_144, Utg858494_131
OG0000188	WP_205217562.1	Utg857152_35
OG0000190	WP_205218562.1	Utg864866_78
OG0000191	WP_205220111.1	Utg857152_179
OG0000193	WP_240191910.1	Utg859750_20
OG0000194	WP_240191899.1	Utg861744_61
OG0000194	WP_205218538.1	Utg861744_41
OG0000195	WP_205219651.1	Utg859098_286, Utg860814_283
OG0000196	WP_205217764.1	Utg862138_14
OG0000196	WP_205218584.1	Utg859982_222
OG0000198	WP_240192026.1, WP_275888971.1	Utg859098_241
OG0000199	WP_205218113.1	Utg859098_216
OG0000201	WP_205217441.1	Utg859750_26
OG0000202	WP_205219316.1	Utg857682_175
OG0000202	WP_205220037.1	Utg857300_47
OG0000204	WP_240191983.1	Utg857152_212
OG0000204	WP_205218304.1	Utg860814_30
OG0000207	WP_205218366.1	Utg857682_58
OG0000208	WP_205218367.1	Utg857682_59
OG0000209	WP_205219630.1	Utg857046_253
OG0000210	WP_205220183.1, WP_205218604.1	Utg857300_1
OG0000211	WP_205219629.1, WP_205219339.1	Utg859432_43
OG0000212	WP_205219475.1	Utg859982_111
OG0000212	WP_205219027.1	Utg857046_231, Utg861744_127
OG0000214	WP_205220148.1, WP_205218051.1, WP_205220149.1	Utg862138_34
OG0000215	WP_240192049.1	Utg861744_111
OG0000217	WP_205218771.1	Utg859236_44
OG0000218	WP_205218878.1	Utg861448_5
OG0000219	WP_240191915.1	Utg857152_18
OG0000221	WP_205218650.1	Utg860814_94
OG0000222	WP_205219254.1	Utg857076_18
OG0000223	WP_205218711.1	Utg859388_18
OG0000225	WP_205217392.1	Utg859982_121
OG0000226	WP_205217492.1	Utg857152_57
OG0000227	WP_205219130.1	Utg857992_19
OG0000228	WP_205219809.1	Utg857994_154
OG0000229	WP_205217476.1	Utg857682_96
OG0000230	WP_205219065.1	Utg859098_371, Utg859098_166
OG0000232	WP_205218345.1	Utg859982_75, Utg859982_74, Utg859982_73
OG0000234	WP_205218677.1	Utg860006_56
OG0000235	WP_240192153.1	Utg863716_45
OG0000237	WP_205218378.1	Utg861744_115
OG0000237	WP_205217881.1	Utg857682_142
OG0000238	WP_205219359.1, WP_205217607.1	Utg857046_99
OG0000239	WP_240192164.1	Utg865370_16
OG0000239	WP_205218936.1	Utg859236_56
OG0000243	WP_240192155.1	Utg857682_39, Utg859236_70
OG0000245	WP_205217699.1, WP_240191912.1, WP_205219832.1, WP_240191911.1, WP_240192063.1	Utg859098_51, Utg858494_9
OG0000248	WP_205219321.1	Utg859432_49
OG0000252	WP_205218581.1	Utg859982_218
OG0000252	WP_205217763.1	Utg862138_13
OG0000253	WP_205217628.1	Utg858432_42
OG0000256	WP_205220146.1	Utg862138_36
OG0000258	WP_205219185.1	Utg859236_13
OG0000258	WP_205219289.1	Utg860814_310, Utg857994_234
OG0000259	WP_205218163.1	Utg860006_137
OG0000261	WP_205219746.1	Utg860006_76
OG0000262	WP_205218569.1	Utg859098_276
OG0000263	WP_205219912.1	Utg859750_52
OG0000264	WP_205218431.1	Utg857152_109
OG0000265	WP_205218429.1	Utg857152_107
OG0000266	WP_205217485.1	Utg857152_69
OG0000268	WP_205220292.1	Utg860814_179
OG0000268	WP_205219054.1	Utg863716_97
OG0000269	WP_205217898.1	Utg858494_54
OG0000269	WP_205217899.1	Utg858494_55
OG0000270	WP_205217873.1	Utg864866_30
OG0000271	WP_205217707.1	Utg857682_56
OG0000273	WP_205218287.1	Utg858494_83
OG0000275	WP_205218614.1	Utg857994_229, Utg857994_230, Utg857994_231
OG0000276	WP_205219963.1	Utg859098_22, Utg861448_32, Utg861448_44
OG0000277	WP_205220291.1	Utg860006_51
OG0000278	WP_205217759.1	Utg862138_9
OG0000279	WP_205217882.1	Utg859098_135, Utg866558_49, Utg859098_146
OG0000283	WP_275888985.1	Utg861744_134
OG0000285	WP_205218739.1	Utg859236_43
OG0000286	WP_205219747.1	Utg860006_77
OG0000288	WP_205217354.1	Utg859098_256
OG0000290	WP_205219839.1	Utg860006_88
OG0000292	WP_240192117.1	Utg857490_19
OG0000293	WP_205218586.1	Utg859982_224
OG0000293	WP_240191945.1	Utg862138_17
OG0000294	WP_205219913.1	Utg859750_51
OG0000295	WP_240192031.1	Utg860006_49
OG0000296	WP_205218418.1	Utg857152_73
OG0000297	WP_205218547.1	Utg861744_20
OG0000299	WP_205217776.1	Utg862138_30
OG0000300	WP_205218591.1	Utg861744_126
OG0000302	WP_205219478.1	Utg863716_14, Utg857076_54, Utg865370_24
OG0000303	WP_205220325.1	Utg860006_19, Utg860006_14
OG0000307	WP_205217755.1	Utg862138_5
OG0000307	WP_205218575.1	Utg859982_212
OG0000308	WP_205218580.1	Utg859982_217
OG0000308	WP_205217762.1	Utg862138_12
OG0000309	WP_205217461.1	Utg858494_46
OG0000310	WP_205218613.1	Utg857994_232
OG0000312	WP_205217647.1	Utg858432_93
OG0000313	WP_205219525.1	Utg859982_66
OG0000314	WP_205218578.1	Utg859982_215
OG0000314	WP_205217760.1	Utg862138_10
OG0000316	WP_205220128.1	Utg863716_86
OG0000317	WP_205220116.1	Utg857152_229, Utg859098_266, Utg857152_175
OG0000320	WP_205217581.1	Utg857152_126, Utg857152_127
OG0000321	WP_205220266.1, WP_205219893.1, WP_205218968.1	Utg859982_133
OG0000322	WP_205219598.1	Utg859098_38
OG0000322	WP_205220004.1	Utg857994_214
OG0000325	WP_205219843.1	Utg864866_68, Utg857992_24, Utg866558_36
OG0000326	WP_240192136.1	Utg859236_21
OG0000327	WP_205219777.1	Utg859982_6
OG0000331	WP_240192075.1	Utg857994_45
OG0000332	WP_205219138.1	Utg857992_25, Utg857992_26
OG0000335	WP_240192018.1	Utg857152_112
OG0000336	WP_205218164.1	Utg860006_136
OG0000337	WP_205217681.1	Utg862138_52
OG0000338	WP_205217490.1	Utg857152_64
OG0000339	WP_205220081.1	Utg859982_81
OG0000343	WP_205217627.1	Utg858432_41
OG0000349	WP_205219748.1	Utg860006_78
OG0000352	WP_205217504.1	Utg857152_37
OG0000353	WP_205218764.1	Utg859982_181
OG0000355	WP_205218649.1	Utg860814_93
OG0000356	WP_205218114.1	Utg859098_215
OG0000357	WP_205219318.1	Utg859432_51
OG0000358	WP_205218079.1	Utg859098_231, Utg857152_203
OG0000359	WP_205218171.1	Utg857682_57
OG0000360	WP_205217452.1	Utg857490_30
OG0000361	WP_205217741.1	Utg859388_64
OG0000362	WP_205218942.1	Utg857992_13
OG0000364	WP_205219523.1	Utg858494_57, Utg863716_12, Utg863716_13
OG0000365	WP_205218267.1	Utg857152_129
OG0000366	WP_275888945.1	Utg857152_194
OG0000367	WP_240191917.1	Utg864866_81, Utg864866_80
OG0000370	WP_205217374.1	Utg857994_37
OG0000371	WP_205219934.1	Utg857682_144
OG0000372	WP_205218561.1	Utg857046_248
OG0000373	WP_205218559.1	Utg857046_230
OG0000374	WP_205217711.1	Utg857994_113
OG0000380	WP_205220206.1	Utg858498_7
OG0000381	WP_205217576.1	Utg858432_57
OG0000383	WP_240191982.1	Utg857994_131
OG0000384	WP_205218413.1	Utg858432_115, Utg859098_420
OG0000385	WP_205220324.1	Utg860006_15
OG0000386	WP_205218041.1	Utg859982_125
OG0000388	WP_205217746.1	Utg859388_69
OG0000390	WP_240192167.1	Utg859098_259
OG0000391	WP_205219766.1	Utg859388_80
OG0000392	WP_275889000.1	Utg859432_48
OG0000393	WP_205218954.1	Utg859388_122
OG0000394	WP_205218909.1	Utg858432_118
OG0000395	WP_205218155.1	Utg859388_134
OG0000396	WP_205218452.1	Utg857046_205
OG0000397	WP_205220277.1	Utg859098_263
OG0000398	WP_205219765.1	Utg859388_138, Utg857046_187
OG0000399	WP_240192074.1	Utg857994_19
OG0000400	WP_205219816.1	Utg857994_148
OG0000401	WP_205219368.1	Utg857490_22
OG0000403	WP_205217733.1	Utg859388_57
OG0000404	WP_205217616.1	Utg858432_29
OG0000406	WP_205217506.1	Utg858432_101
OG0000408	WP_205218451.1	Utg857046_206
OG0000409	WP_205218129.1	Utg859098_197, Utg859098_196
OG0000410	WP_205217356.1	Utg860814_206, Utg860814_207
OG0000413	WP_205217469.1	Utg862138_42
OG0000414	WP_205217875.1	Utg864866_32
OG0000418	WP_205217768.1	Utg862138_20
OG0000419	WP_205219837.1	Utg860006_86
OG0000420	WP_205217661.1	Utg859388_60
OG0000422	WP_205218454.1	Utg857046_203
OG0000423	WP_205218959.1	Utg859098_157
OG0000424	WP_205218567.1	Utg860814_75
OG0000425	WP_205220198.1	Utg858494_44, Utg858432_11
OG0000426	WP_205220276.1	Utg859098_264
OG0000427	WP_240191961.1	Utg857490_6
OG0000428	WP_205217735.1	Utg859388_59
OG0000429	WP_205218395.1	Utg866558_37
OG0000430	WP_205217883.1	Utg859098_145, Utg859098_134
OG0000433	WP_205219208.1	Utg857046_260
OG0000439	WP_205219736.1	Utg859982_185
OG0000440	WP_205218572.1	Utg859982_195
OG0000443	WP_205217439.1	Utg861744_142
OG0000444	WP_240192150.1	Utg859098_354
OG0000445	WP_205219058.1	Utg859098_121
OG0000447	WP_205218746.1	Utg859388_92
OG0000448	WP_205219778.1	Utg859982_7
OG0000451	WP_205218646.1	Utg857994_40, Utg865370_18
OG0000457	WP_240192041.1	Utg864866_63
OG0000458	WP_205218916.1	Utg866558_25
OG0000459	WP_205218112.1	Utg859098_217
OG0000460	WP_205219183.1	Utg858432_142
OG0000461	WP_205217709.1	Utg860814_196
OG0000462	WP_205217736.1	Utg859388_61
OG0000463	WP_205219782.1	Utg859982_12
OG0000464	WP_205220375.1	Utg858494_63
OG0000465	WP_205219553.1	Utg857046_20
OG0000466	WP_205219574.1	Utg857046_29
OG0000467	WP_275888973.1	Utg861744_129
OG0000468	WP_205218748.1	Utg859982_19
OG0000469	WP_205217491.1	Utg857152_63
OG0000470	WP_205218902.1	Utg858432_109
OG0000471	WP_205218800.1	Utg859750_61
OG0000472	WP_205218167.1	Utg860006_132
OG0000473	WP_205218594.1	Utg861744_130
OG0000474	WP_240192159.1	Utg859098_439, Utg858498_4
OG0000476	WP_205217449.1	Utg857490_27
OG0000477	WP_205218449.1	Utg857046_213
OG0000479	WP_275889017.1	Utg859098_352
OG0000480	WP_205217922.1	Utg858494_109
OG0000485	WP_240192151.1	Utg859098_351
OG0000486	WP_240192058.1	Utg859982_149
OG0000487	WP_205218131.1	Utg859098_195
OG0000488	WP_205218506.1	Utg861744_54
OG0000489	WP_205219267.1	Utg859388_187, Utg858498_21
OG0000490	WP_205219099.1	Utg860814_326
OG0000491	WP_205219120.1	Utg857994_162
OG0000492	WP_205219754.1	Utg857152_223
OG0000493	WP_205217497.1	Utg857152_45
OG0000494	WP_205218563.1	Utg857152_20
OG0000495	WP_205218729.1	Utg859098_239, Utg859098_238
OG0000496	WP_205217666.1	Utg862138_40
OG0000497	WP_240192032.1	Utg858432_129
OG0000498	WP_205218691.1	Utg858432_130
OG0000499	WP_205218654.1	Utg860814_96
OG0000500	WP_205217905.1	Utg858494_89
OG0000501	WP_240192165.1	Utg859388_178
OG0000502	WP_205218110.1	Utg859098_218
OG0000504	WP_205217355.1	Utg860814_205
OG0000505	WP_205219666.1	Utg857994_68
OG0000507	WP_205217438.1	Utg859750_83
OG0000508	WP_205218825.1	Utg860006_116, Utg859076_17
OG0000509	WP_205218546.1	Utg861744_21
OG0000510	WP_205218853.1	Utg860814_70
OG0000511	WP_205218437.1	Utg857046_259
OG0000512	WP_205219193.1	Utg857994_18
OG0000514	WP_205218175.1	Utg858432_18
OG0000515	WP_205219781.1	Utg859982_11
OG0000516	WP_205217710.1	Utg860814_197
OG0000517	WP_205220396.1	Utg857076_26
OG0000520	WP_205220133.1	Utg859388_149
OG0000521	WP_205219612.1	Utg859098_269
OG0000522	WP_205218124.1	Utg859098_204
OG0000523	WP_205219825.1	Utg859388_10
OG0000525	WP_205218361.1	Utg861448_15
OG0000526	WP_205220125.1	Utg863716_87
OG0000527	WP_205218165.1	Utg860006_135
OG0000528	WP_205217332.1	Utg857046_75
OG0000529	WP_205218420.1	Utg857152_77, Utg857152_76
OG0000530	WP_205218899.1	Utg858432_105
OG0000531	WP_205219838.1	Utg860006_87
OG0000532	WP_205218675.1	Utg860006_54
OG0000533	WP_205217510.1	Utg857152_27, Utg857152_26
OG0000535	WP_205219617.1	Utg857152_185
OG0000537	WP_205218142.1	Utg859098_185
OG0000539	WP_205217783.1	Utg857152_159
OG0000540	WP_205219210.1	Utg859236_26
OG0000542	WP_205217495.1	Utg857152_50
OG0000543	WP_205220278.1	Utg859098_262
OG0000544	WP_205218590.1	Utg861744_125
OG0000545	WP_205217421.1	Utg859750_15
OG0000546	WP_205219329.1	Utg859432_39
OG0000547	WP_205219929.1	Utg860814_120
OG0000549	WP_205220069.1	Utg858498_13
OG0000550	WP_240192054.1	Utg861448_9
OG0000555	WP_205219625.1	Utg857152_177, Utg857152_176
OG0000560	WP_205217349.1	Utg857994_198
OG0000561	WP_205219465.1	Utg865370_11
OG0000562	WP_205217553.1	Utg861744_43
OG0000564	WP_205218994.1	Utg859750_48
OG0000568	WP_205219610.1	Utg859388_45, Utg859098_267
OG0000569	WP_205219985.1	Utg857992_12
OG0000570	WP_205217437.1	Utg857046_194
OG0000571	WP_205217567.1	Utg857300_49
OG0000575	WP_205219319.1	Utg859432_50
OG0000576	WP_205220238.1	Utg865370_28
OG0000577	WP_205219226.1	Utg857994_20
OG0000578	WP_205218542.1	Utg861744_32
OG0000579	WP_205218548.1	Utg861744_19
OG0000580	WP_205219652.1	Utg860814_282
OG0000581	WP_205217953.1	Utg858494_143
OG0000582	WP_205217424.1	Utg859750_11
OG0000584	WP_205218446.1	Utg857046_225
OG0000585	WP_205218445.1	Utg857046_226
OG0000586	WP_205218444.1	Utg857046_228
OG0000587	WP_205219068.1	Utg859098_170
OG0000588	WP_205218441.1	Utg857046_250
OG0000589	WP_205219775.1	Utg859982_4
OG0000590	WP_205218457.1	Utg857046_196
OG0000591	WP_205219327.1	Utg859432_41
OG0000592	WP_205219066.1	Utg859098_167
OG0000593	WP_205218486.1	Utg858432_36
OG0000594	WP_205217503.1	Utg857152_39
OG0000595	WP_205218673.1	Utg860006_52
OG0000596	WP_205218108.1	Utg859098_222
OG0000597	WP_205218730.1	Utg859098_240
OG0000598	WP_205217625.1	Utg858432_39
OG0000599	WP_205218140.1	Utg859098_188
OG0000600	WP_205217588.1	Utg863716_90
OG0000601	WP_205219323.1	Utg859432_46
OG0000603	WP_240191991.1	Utg860006_130
OG0000604	WP_205219036.1	Utg859750_70
OG0000605	WP_205219056.1	Utg863716_99
OG0000606	WP_240192025.1	Utg865370_35
OG0000607	WP_240191928.1	Utg857152_11
OG0000608	WP_205217708.1	Utg860814_195
OG0000609	WP_240192100.1	Utg857994_166
OG0000610	WP_205217907.1	Utg858494_91
OG0000611	WP_205219064.1	Utg859098_165
OG0000612	WP_205218918.1	Utg866558_22
OG0000613	WP_205218919.1	Utg866558_21
OG0000615	WP_205217915.1	Utg858494_101
OG0000616	WP_205217914.1	Utg858494_99
OG0000617	WP_205217940.1	Utg858494_129
OG0000618	WP_205217938.1	Utg858494_127
OG0000619	WP_205217937.1	Utg858494_126
OG0000620	WP_205217936.1	Utg858494_125
OG0000621	WP_205217935.1	Utg858494_124
OG0000622	WP_205219259.1	Utg859236_96
OG0000623	WP_205219817.1	Utg857994_147
OG0000624	WP_205218135.1	Utg859098_193
OG0000625	WP_205218136.1	Utg859098_192
OG0000626	WP_205219413.1	Utg861744_118
OG0000627	WP_205217906.1	Utg858494_90
OG0000628	WP_240191905.1	Utg859076_34
OG0000630	WP_205217508.1	Utg857152_31
OG0000631	WP_205217509.1	Utg857152_28
OG0000632	WP_205219650.1	Utg859388_81
OG0000633	WP_205218065.1	Utg860814_165
OG0000634	WP_205219197.1	Utg857994_128
OG0000635	WP_205219807.1	Utg859236_17
OG0000636	WP_205218583.1	Utg859982_221
OG0000637	WP_205217740.1	Utg859388_63
OG0000638	WP_205219253.1	Utg857076_19
OG0000639	WP_205219776.1	Utg859982_5
OG0000640	WP_205218166.1	Utg860006_133
OG0000641	WP_205218910.1	Utg858432_119
OG0000642	WP_205219556.1	Utg857046_24
OG0000643	WP_205219124.1	Utg857994_157
OG0000644	WP_205220191.1	Utg857152_22
OG0000645	WP_205219573.1	Utg857046_27
OG0000646	WP_205217633.1	Utg858432_47
OG0000647	WP_240191938.1	Utg858432_46
OG0000648	WP_205217629.1	Utg858432_43
OG0000649	WP_205219123.1	Utg857994_158
OG0000650	WP_205219129.1	Utg857992_20
OG0000651	WP_205220279.1	Utg859098_261
OG0000652	WP_205219827.1	Utg859388_12
OG0000653	WP_205219060.1	Utg859098_160
OG0000654	WP_205217423.1	Utg859750_12, Utg859750_13
OG0000655	WP_205217444.1	Utg857490_21
OG0000656	WP_205217793.1	Utg860814_287
