Orthogroup	Desulforhopalus vacuolatus DSM 9700	Acidithiobacillus ferrooxidans YNTRS-40
OG0000047	WP_205220001.1, WP_205219188.1	WP_257246645.1, WP_225487355.1, WP_252725196.1
OG0000048	WP_205220104.1	WP_012536680.1
OG0000048	WP_205217850.1	WP_009566815.1
OG0000050	WP_275888963.1	WP_012536374.1, WP_012536347.1
OG0000053	WP_205219828.1	WP_009565974.1
OG0000053	WP_205219575.1	WP_009564595.1
OG0000054	WP_205217416.1	WP_009567105.1, WP_009566737.1, WP_054609109.1, WP_009567310.1
OG0000054	WP_205217689.1, WP_205219669.1	WP_009566294.1
OG0000055	WP_205219062.1	WP_012536534.1
OG0000055	WP_205218241.1	WP_012536590.1
OG0000058	WP_205217357.1, WP_205219380.1	WP_009564125.1
OG0000061	WP_205220106.1	WP_012536678.1
OG0000062	WP_205218096.1	WP_012537528.1
OG0000063	WP_205217751.1	WP_009560828.1, WP_151528215.1, WP_180830446.1, WP_151528213.1, WP_054608640.1, WP_257257267.1, WP_054608824.1, WP_012537288.1
OG0000064	WP_205218680.1	WP_009566490.1
OG0000065	WP_205217314.1	WP_012536179.1
OG0000065	WP_205217454.1	WP_012536434.1
OG0000069	WP_240192079.1	WP_009567370.1
OG0000077	WP_205219095.1, WP_205219018.1	WP_009562388.1
OG0000079	WP_205217405.1	WP_012536378.1, WP_229129778.1, WP_012536377.1
OG0000079	WP_205219237.1	WP_012537609.1
OG0000086	WP_205217406.1	WP_054608841.1
OG0000091	WP_205218848.1	WP_012536362.1
OG0000091	WP_205217745.1	WP_009561353.1
OG0000093	WP_240191946.1, WP_205219233.1	WP_009564668.1
OG0000094	WP_275888993.1	WP_012536031.1
OG0000095	WP_205219361.1, WP_205218407.1	WP_226834132.1
OG0000095	WP_205218965.1	WP_012536481.1
OG0000096	WP_240191921.1	WP_012536996.1
OG0000097	WP_205217730.1, WP_240191918.1	WP_012607461.1
OG0000101	WP_240192163.1, WP_205219783.1	WP_009560846.1, WP_012537491.1
OG0000103	WP_205218404.1, WP_205218456.1	WP_009566205.1, WP_054608900.1, WP_009567505.1
OG0000105	WP_240191944.1	WP_012536834.1
OG0000106	WP_205218448.1	WP_012536953.1
OG0000112	WP_205218422.1	WP_009567621.1
OG0000115	WP_205217489.1	WP_012536267.1
OG0000115	WP_205219679.1	WP_012537150.1
OG0000116	WP_205219082.1, WP_205217409.1	WP_012536314.1
OG0000116	WP_205218587.1	WP_225487351.1
OG0000117	WP_205219976.1, WP_205219085.1	WP_012536516.1, WP_012536851.1
OG0000118	WP_205219975.1	WP_012536852.1, WP_012536517.1
OG0000120	WP_275888970.1, WP_205217586.1	WP_012537529.1, WP_012607593.1
OG0000126	WP_205219649.1	WP_009561865.1
OG0000126	WP_205218524.1	WP_009562220.1
OG0000127	WP_205219440.1	WP_009562383.1
OG0000127	WP_205219441.1	WP_012536821.1
OG0000128	WP_205219057.1	WP_012537059.1
OG0000128	WP_205218118.1	WP_009562675.1
OG0000129	WP_205218969.1	WP_012537381.1
OG0000129	WP_205220177.1	WP_009563104.1
OG0000131	WP_240192135.1	WP_012536872.1, WP_012536232.1
OG0000132	WP_205218326.1, WP_205219939.1, WP_205218314.1	WP_012536482.1
OG0000133	WP_205219087.1	WP_012536518.1
OG0000134	WP_205218809.1	WP_012536758.1
OG0000134	WP_205219067.1	WP_012536689.1, WP_012537087.1
OG0000135	WP_205219271.1	WP_012536874.1
OG0000136	WP_205220066.1	WP_226833862.1
OG0000141	WP_205219914.1, WP_205219915.1	WP_012536164.1
OG0000142	WP_205219982.1	WP_009565767.1
OG0000143	WP_205219037.1	WP_012535762.1
OG0000144	WP_205217734.1	WP_012535990.1
OG0000145	WP_205218440.1	WP_012536065.1
OG0000146	WP_205218266.1	WP_012536158.1
OG0000147	WP_205217752.1	WP_012536474.1
OG0000150	WP_240192129.1	WP_012537129.1
OG0000151	WP_205219293.1, WP_240192019.1	WP_012537514.1
OG0000160	WP_240191992.1, WP_205217391.1	WP_009562607.1
OG0000162	WP_205218379.1	WP_009566069.1
OG0000163	WP_205218549.1, WP_205219249.1	WP_009567122.1
OG0000164	WP_205218897.1	WP_012536835.1
OG0000164	WP_205218605.1	WP_009567465.1
OG0000165	WP_240192087.1	WP_012536010.1
OG0000166	WP_205219180.1	WP_012536041.1
OG0000167	WP_205217846.1, WP_205218645.1	WP_012536060.1
OG0000167	WP_205219005.1	WP_012536954.1
OG0000169	WP_205220075.1	WP_012536327.1
OG0000171	WP_205220364.1, WP_205219366.1	WP_012536824.1
OG0000172	WP_205217862.1	WP_054608868.1, WP_012537382.1, WP_012536912.1, WP_054609094.1
OG0000174	WP_205217656.1	WP_012536983.1
OG0000183	WP_205218585.1, WP_240191953.1	WP_009566651.1, WP_009561179.1
OG0000184	WP_205218375.1	WP_009562054.1
OG0000185	WP_205218823.1	WP_009562658.1
OG0000187	WP_205217955.1, WP_205217942.1	WP_009566505.1
OG0000188	WP_205217562.1	WP_054608791.1, WP_012536043.1
OG0000190	WP_205218562.1	WP_012536152.1
OG0000191	WP_205220111.1	WP_012536198.1
OG0000192	WP_205220299.1	WP_012536361.1
OG0000193	WP_205219213.1, WP_240191910.1	WP_012536453.1
OG0000194	WP_240191899.1, WP_205218538.1	WP_012536581.1
OG0000195	WP_205219651.1	WP_012536731.1, WP_055448950.1, WP_054608711.1
OG0000196	WP_205217764.1	WP_012537302.1
OG0000198	WP_240192026.1, WP_275888971.1, WP_205218731.1	WP_012537705.1
OG0000199	WP_205218113.1, WP_205217464.1	WP_012537596.1
OG0000209	WP_205219630.1	WP_009560794.1
OG0000210	WP_205220183.1, WP_205218604.1	WP_012536485.1, WP_009560819.1
OG0000212	WP_205219475.1	WP_009560877.1
OG0000213	WP_205219979.1	WP_012537665.1, WP_009566393.1, WP_009560966.1, WP_009560967.1
OG0000214	WP_205220148.1	WP_009562639.1
OG0000214	WP_205218051.1, WP_205220149.1	WP_012537439.1
OG0000215	WP_240192049.1	WP_009567346.1
OG0000216	WP_205218263.1	WP_012606601.1, WP_009567592.1
OG0000217	WP_205218771.1	WP_009567626.1
OG0000218	WP_205218878.1	WP_012536052.1
OG0000219	WP_240191915.1	WP_012536999.1, WP_012536156.1
OG0000220	WP_205219103.1	WP_012536180.1
OG0000222	WP_205219254.1	WP_012536488.1
OG0000223	WP_205218711.1	WP_012536535.1
OG0000224	WP_205218600.1	WP_012536669.1
OG0000225	WP_205217392.1	WP_012537676.1
OG0000226	WP_205217492.1	WP_012536937.1
OG0000227	WP_205219130.1, WP_205217886.1	WP_012536947.1
OG0000228	WP_205220231.1	WP_012537058.1
OG0000228	WP_205219809.1	WP_012606556.1
OG0000229	WP_205217476.1	WP_233459570.1
OG0000230	WP_205219065.1	WP_054608848.1
OG0000231	WP_275888948.1, WP_205219596.1, WP_205220378.1, WP_205218002.1, WP_205219147.1, WP_205219959.1, WP_205219488.1	WP_054608914.1
OG0000232	WP_205218345.1	WP_054609073.1
OG0000233	WP_240192116.1	WP_180830512.1
OG0000234	WP_205218677.1	WP_225487654.1
OG0000248	WP_205219321.1	WP_012536050.1
OG0000252	WP_205217763.1	WP_009565424.1
OG0000253	WP_205217628.1	WP_012536020.1
OG0000256	WP_205218053.1	WP_012535787.1
OG0000256	WP_205220146.1	WP_012537437.1
OG0000257	WP_205218346.1	WP_012536012.1
OG0000258	WP_205219185.1, WP_205219289.1	WP_012536034.1
OG0000259	WP_205218163.1	WP_012607080.1
OG0000261	WP_205219746.1	WP_012536559.1, WP_157293185.1
OG0000262	WP_205218569.1	WP_012536942.1
OG0000263	WP_205219912.1	WP_012537110.1
OG0000264	WP_275888954.1, WP_205218431.1	WP_012537655.1
OG0000265	WP_205218056.1, WP_205218429.1	WP_012537657.1
OG0000266	WP_205218059.1, WP_205217485.1	WP_012537658.1
OG0000268	WP_205219054.1	WP_041646068.1
OG0000269	WP_205217555.1, WP_205217337.1, WP_205220167.1, WP_205217898.1, WP_205217899.1	WP_054609063.1
OG0000270	WP_205217873.1	WP_229129792.1
OG0000283	WP_275888985.1	WP_009560879.1
OG0000285	WP_205218739.1	WP_009567365.1, WP_009561385.1, WP_009565301.1, WP_054608740.1, WP_009565762.1
OG0000286	WP_205219922.1	WP_009562005.1
OG0000290	WP_205219839.1	WP_215905594.1, WP_229129783.1, WP_009566370.1, WP_229129815.1
OG0000291	WP_205218886.1	WP_009566445.1
OG0000292	WP_240192117.1, WP_205218080.1	WP_009566482.1
OG0000293	WP_240191945.1	WP_009566650.1
OG0000294	WP_205219913.1	WP_009566880.1
OG0000295	WP_240192031.1	WP_009566924.1
OG0000296	WP_205218418.1	WP_009567461.1
OG0000297	WP_205220467.1	WP_012537564.1
OG0000297	WP_205218547.1	WP_009567888.1
OG0000298	WP_205219296.1	WP_012536032.1
OG0000299	WP_205219229.1, WP_205217776.1	WP_012536067.1
OG0000300	WP_205218591.1	WP_012537695.1, WP_012536306.1
OG0000301	WP_275888940.1	WP_012536440.1
OG0000302	WP_205219478.1	WP_012536450.1
OG0000303	WP_205220325.1	WP_012536471.1
OG0000307	WP_205217755.1	WP_012537295.1
OG0000308	WP_205218580.1, WP_205217762.1	WP_012537299.1
OG0000309	WP_205217461.1	WP_012537406.1
OG0000310	WP_205218613.1	WP_012537505.1
OG0000311	WP_205219196.1	WP_012537568.1
OG0000312	WP_205217647.1	WP_012537595.1
OG0000314	WP_205217760.1	WP_012607483.1
OG0000331	WP_240192075.1	WP_009564442.1, WP_009561007.1
OG0000332	WP_205219138.1	WP_009561368.1
OG0000333	WP_205217404.1	WP_009562239.1
OG0000335	WP_240192018.1	WP_009562964.1
OG0000336	WP_205218164.1	WP_009564610.1
OG0000337	WP_205217681.1	WP_009564760.1
OG0000338	WP_205217490.1	WP_009566072.1
OG0000339	WP_205220081.1	WP_009566369.1, WP_267903947.1
OG0000340	WP_205218789.1	WP_009567235.1
OG0000343	WP_205217627.1	WP_012537004.1, WP_012536021.1, WP_012537460.1
OG0000344	WP_205218262.1	WP_012536229.1
OG0000345	WP_205217480.1	WP_012537234.1
OG0000347	WP_205219623.1, WP_205219230.1, WP_205219468.1	WP_012536483.1
OG0000348	WP_205218791.1	WP_012537571.1
OG0000349	WP_205219748.1	WP_012536555.1, WP_012536560.1
OG0000352	WP_205217504.1	WP_012537130.1
OG0000353	WP_205218764.1	WP_012537240.1
OG0000356	WP_205218114.1	WP_012537427.1, WP_054609053.1
OG0000357	WP_205219318.1	WP_012537553.1
OG0000358	WP_205218079.1	WP_012537707.1
OG0000360	WP_205217452.1	WP_041647474.1
OG0000387	WP_275888961.1	WP_012536014.1
OG0000388	WP_205217746.1	WP_054608986.1, WP_054608972.1, WP_009561355.1
OG0000389	WP_205217531.1	WP_009566266.1, WP_009562205.1
OG0000390	WP_240192167.1	WP_012537476.1, WP_009562421.1
OG0000391	WP_205219766.1	WP_012607056.1
OG0000392	WP_275889000.1, WP_205218215.1	WP_009562813.1
OG0000393	WP_205218954.1	WP_012536777.1, WP_009563800.1
OG0000394	WP_205218909.1	WP_009566268.1
OG0000395	WP_205218155.1, WP_205219981.1	WP_009566884.1
OG0000396	WP_205218452.1	WP_009566949.1
OG0000397	WP_205220277.1	WP_009567142.1
OG0000398	WP_205219765.1	WP_009567323.1
OG0000399	WP_240192074.1	WP_009567484.1
OG0000400	WP_205219816.1	WP_012536000.1, WP_009567581.1
OG0000401	WP_205219368.1	WP_012535766.1
OG0000403	WP_205217733.1	WP_012535991.1
OG0000406	WP_205217506.1	WP_012536078.1
OG0000407	WP_205217713.1	WP_012536131.1
OG0000409	WP_205218129.1	WP_012536144.1
OG0000410	WP_205217356.1	WP_012536254.1
OG0000411	WP_240192044.1	WP_012536280.1
OG0000413	WP_205217469.1	WP_012536392.1
OG0000414	WP_205217875.1	WP_012536519.1
OG0000415	WP_205220192.1	WP_012536558.1
OG0000416	WP_205219432.1	WP_012536683.1
OG0000418	WP_205217768.1	WP_012536949.1
OG0000419	WP_205219837.1	WP_012536955.1
OG0000420	WP_240191999.1, WP_205217661.1	WP_012536981.1
OG0000422	WP_205218454.1	WP_012537502.1
OG0000423	WP_205218959.1	WP_012537562.1
OG0000424	WP_205218567.1	WP_180830455.1, WP_012537590.1
OG0000425	WP_205220198.1	WP_012537653.1
OG0000426	WP_205220276.1	WP_012537674.1
OG0000427	WP_240191961.1	WP_041838681.1
OG0000428	WP_205217735.1	WP_054608948.1
OG0000429	WP_205218395.1	WP_233459592.1
OG0000457	WP_240192041.1	WP_009560820.1
OG0000458	WP_205218916.1	WP_009561363.1
OG0000459	WP_205218112.1	WP_009562654.1
OG0000460	WP_205219183.1	WP_012536691.1, WP_009563102.1
OG0000461	WP_205217709.1	WP_009563301.1
OG0000462	WP_205217736.1	WP_012536982.1, WP_012536787.1, WP_009563461.1
OG0000463	WP_205219782.1	WP_009564129.1
OG0000464	WP_205218619.1	WP_009564443.1
OG0000465	WP_205219553.1	WP_009564605.1
OG0000466	WP_205219574.1	WP_009564692.1
OG0000467	WP_275888973.1	WP_009564855.1, WP_009569804.1
OG0000468	WP_205218748.1	WP_009565783.1, WP_074874161.1
OG0000469	WP_205217491.1	WP_009566207.1
OG0000470	WP_205218902.1	WP_009566477.1
OG0000471	WP_205218800.1	WP_009566480.1
OG0000472	WP_205218167.1	WP_009566574.1
OG0000473	WP_205218594.1	WP_012537697.1
OG0000474	WP_240192159.1	WP_009567190.1
OG0000475	WP_240191922.1	WP_009567364.1
OG0000476	WP_205217449.1	WP_009567490.1
OG0000477	WP_205218449.1	WP_012536151.1, WP_009567582.1
OG0000478	WP_205218261.1	WP_009567595.1
OG0000479	WP_275889017.1	WP_009567656.1
OG0000480	WP_205217922.1	WP_009568282.1
OG0000483	WP_205218016.1	WP_225487666.1, WP_054608809.1, WP_012606678.1, WP_054608884.1, WP_180830411.1, WP_054608629.1, WP_009569877.1
OG0000484	WP_205217459.1	WP_012535750.1
OG0000485	WP_240192151.1	WP_012535768.1
OG0000486	WP_240192058.1	WP_012536028.1
OG0000487	WP_205218131.1	WP_012536755.1, WP_012536063.1
OG0000488	WP_205218506.1	WP_012536103.1
OG0000489	WP_205219267.1	WP_012536116.1
OG0000490	WP_205219099.1	WP_012536127.1
OG0000491	WP_205219120.1, WP_240192193.1	WP_012536128.1
OG0000492	WP_205219754.1	WP_012536132.1
OG0000493	WP_205217497.1	WP_012536143.1
OG0000494	WP_205218563.1	WP_012536155.1
OG0000495	WP_205218729.1	WP_012536160.1
OG0000496	WP_205217666.1	WP_012536161.1
OG0000497	WP_240192032.1	WP_012536181.1
OG0000498	WP_205218691.1	WP_012536182.1
OG0000499	WP_205218654.1	WP_012536183.1
OG0000501	WP_240192165.1, WP_205217895.1	WP_012536214.1
OG0000502	WP_205218110.1	WP_012536243.1
OG0000503	WP_205220151.1	WP_012536253.1
OG0000504	WP_205217355.1	WP_012536255.1
OG0000505	WP_205219666.1	WP_012536257.1
OG0000507	WP_205217438.1	WP_012536336.1
OG0000508	WP_205218825.1	WP_012536351.1
OG0000509	WP_205218546.1	WP_012536979.1, WP_012536352.1
OG0000510	WP_205218853.1	WP_012536360.1
OG0000511	WP_205218437.1	WP_012536394.1
OG0000512	WP_205219193.1	WP_012536421.1
OG0000513	WP_205217560.1	WP_012536460.1
OG0000514	WP_205218175.1	WP_012536532.1
OG0000515	WP_205219781.1	WP_012536533.1
OG0000516	WP_205217710.1	WP_012536759.1
OG0000517	WP_205220396.1	WP_012536767.1
OG0000518	WP_205218820.1	WP_012537237.1, WP_012536786.1
OG0000520	WP_205220133.1	WP_012536816.1
OG0000521	WP_205219612.1	WP_233459598.1, WP_012536827.1
OG0000522	WP_205218124.1, WP_205219455.1	WP_012536840.1
OG0000523	WP_205219825.1	WP_012536878.1
OG0000526	WP_205220125.1	WP_012537089.1
OG0000527	WP_205218165.1	WP_012537123.1
OG0000528	WP_205217332.1	WP_012537142.1, WP_012537261.1, WP_012607567.1
OG0000529	WP_205218420.1	WP_012537162.1
OG0000530	WP_205218899.1	WP_012537306.1
OG0000531	WP_205219838.1	WP_012537317.1
OG0000532	WP_205218675.1	WP_012537323.1
OG0000533	WP_205217510.1	WP_012537326.1
OG0000534	WP_205219402.1	WP_012537330.1
OG0000535	WP_205219617.1	WP_012537356.1
OG0000536	WP_240191994.1	WP_012606641.1
OG0000537	WP_205218142.1	WP_012537410.1
OG0000538	WP_205218780.1	WP_012537428.1
OG0000539	WP_205217783.1	WP_012537483.1
OG0000540	WP_205219210.1	WP_012537544.1
OG0000541	WP_205219886.1	WP_012537546.1
OG0000542	WP_205217495.1	WP_012537556.1
OG0000543	WP_205220278.1	WP_012537673.1
OG0000544	WP_205218590.1	WP_229129766.1, WP_012537696.1
OG0000545	WP_205217421.1	WP_012606542.1
OG0000548	WP_205217478.1	WP_215905524.1
OG0000549	WP_205220069.1	WP_225487409.1
OG0000550	WP_240192054.1	WP_230456331.1
OG0000575	WP_205219319.1	WP_009560683.1
OG0000576	WP_205220238.1	WP_009560685.1
OG0000577	WP_205219226.1	WP_009560747.1
OG0000578	WP_205218542.1	WP_009560802.1
OG0000579	WP_205218548.1	WP_009560813.1
OG0000580	WP_205219652.1	WP_009560843.1
OG0000581	WP_205217953.1	WP_009560851.1
OG0000582	WP_205217424.1	WP_009560861.1
OG0000584	WP_205218446.1	WP_009560912.1
OG0000585	WP_205218445.1	WP_009560913.1
OG0000586	WP_205218444.1	WP_009560916.1
OG0000587	WP_205219068.1	WP_009560917.1
OG0000588	WP_205218441.1	WP_009561052.1
OG0000589	WP_205219775.1	WP_009561081.1
OG0000590	WP_205218457.1	WP_009561185.1
OG0000591	WP_205219327.1	WP_009561191.1
OG0000592	WP_205219066.1	WP_009561285.1
OG0000593	WP_205218486.1	WP_009561698.1
OG0000594	WP_205217503.1	WP_009562201.1
OG0000595	WP_205218673.1	WP_009562382.1
OG0000596	WP_205218108.1	WP_009562410.1
OG0000597	WP_205218730.1	WP_009562411.1
OG0000598	WP_205217625.1	WP_009562424.1
OG0000599	WP_205218140.1	WP_009562432.1
OG0000600	WP_205217588.1	WP_009562611.1
OG0000601	WP_205219323.1	WP_009562807.1
OG0000603	WP_240191991.1	WP_009562818.1
OG0000604	WP_205219036.1	WP_009562823.1
OG0000605	WP_205219056.1	WP_009562824.1
OG0000606	WP_240192025.1	WP_009562995.1
OG0000607	WP_240191928.1	WP_009563107.1
OG0000608	WP_205217708.1	WP_009563302.1
OG0000609	WP_240192100.1	WP_229129790.1, WP_009563706.1
OG0000610	WP_205217907.1	WP_009564018.1
OG0000611	WP_205219064.1	WP_009564109.1
OG0000612	WP_205218918.1	WP_009564128.1
OG0000613	WP_205218919.1	WP_009564594.1
OG0000614	WP_205217712.1	WP_009564695.1
OG0000615	WP_205217915.1	WP_009564727.1
OG0000616	WP_205217914.1	WP_009564729.1
OG0000617	WP_205217940.1	WP_009565432.1
OG0000618	WP_205217938.1	WP_009565434.1
OG0000619	WP_205217937.1	WP_009565435.1
OG0000620	WP_205217936.1	WP_009565436.1
OG0000621	WP_205217935.1	WP_009565437.1
OG0000622	WP_205219259.1	WP_009565541.1
OG0000623	WP_205219817.1	WP_009565749.1
OG0000624	WP_205218135.1	WP_009565803.1
OG0000625	WP_205218136.1	WP_009565805.1
OG0000626	WP_205219413.1	WP_009566208.1
OG0000627	WP_205217906.1	WP_009566247.1
OG0000628	WP_240191905.1	WP_009566444.1
OG0000629	WP_205219678.1, WP_205219665.1	WP_009566467.1
OG0000630	WP_205217508.1	WP_009566572.1
OG0000631	WP_205217509.1	WP_009566573.1
OG0000632	WP_205219650.1	WP_009566576.1
OG0000633	WP_205218065.1	WP_009566620.1
OG0000634	WP_205219197.1	WP_009566635.1
OG0000635	WP_205219807.1	WP_009566647.1
OG0000636	WP_205218583.1	WP_009566653.1
OG0000637	WP_205217740.1	WP_009566798.1
OG0000638	WP_205219253.1	WP_009566813.1
OG0000639	WP_205219776.1	WP_009566882.1
OG0000640	WP_205218166.1	WP_009566883.1
OG0000641	WP_205218910.1	WP_009566950.1
OG0000642	WP_205219556.1	WP_009566960.1
OG0000643	WP_205219124.1	WP_009567014.1
OG0000644	WP_205220191.1	WP_009567059.1
OG0000645	WP_205219573.1	WP_009567097.1
OG0000646	WP_205217633.1	WP_009567098.1
OG0000647	WP_240191938.1	WP_009567099.1
OG0000648	WP_205217629.1	WP_009567102.1
OG0000649	WP_205219123.1	WP_009567132.1
OG0000650	WP_205219129.1	WP_009567136.1
OG0000651	WP_205220279.1	WP_009567143.1
OG0000652	WP_205219827.1	WP_009567229.1
OG0000653	WP_205219060.1	WP_009567236.1
OG0000654	WP_205217423.1	WP_009567244.1
OG0000655	WP_205217444.1	WP_009567300.1
OG0000656	WP_205217793.1	WP_009567336.1
OG0000657	WP_205217794.1	WP_009567337.1
OG0000658	WP_205217799.1	WP_009567340.1
OG0000659	WP_205217800.1	WP_009567341.1
OG0000660	WP_205217770.1	WP_009567384.1
OG0000661	WP_205217771.1	WP_009567386.1
OG0000662	WP_205219263.1	WP_009567445.1
OG0000663	WP_205218622.1	WP_012536312.1, WP_009567477.1
OG0000664	WP_205218676.1	WP_009567486.1
OG0000665	WP_275888932.1	WP_009567513.1
OG0000666	WP_205219657.1	WP_009567572.1
OG0000667	WP_205218606.1	WP_009567579.1
OG0000669	WP_240191924.1	WP_009567649.1, WP_203602227.1
OG0000670	WP_205217618.1	WP_009567690.1
OG0000671	WP_205218683.1	WP_009567983.1
OG0000672	WP_205217501.1	WP_009568056.1
OG0000673	WP_240192152.1	WP_009568262.1
OG0000674	WP_205218740.1	WP_009568264.1
OG0000675	WP_205218692.1	WP_009568267.1
OG0000676	WP_205219061.1	WP_009568268.1
OG0000677	WP_205217919.1	WP_009568279.1
OG0000678	WP_205217920.1	WP_009568280.1
OG0000679	WP_205218924.1	WP_009568284.1
OG0000680	WP_205217962.1	WP_009568607.1
OG0000681	WP_205217948.1	WP_009568779.1
OG0000682	WP_205217949.1	WP_009568780.1
OG0000684	WP_205218432.1	WP_009569104.1
OG0000685	WP_205217925.1	WP_009569276.1
OG0000686	WP_205217901.1	WP_009569543.1
OG0000687	WP_205217930.1	WP_009569556.1
OG0000688	WP_205217932.1	WP_009569558.1
OG0000689	WP_205217933.1	WP_009569559.1
OG0000690	WP_205219394.1	WP_009569795.1
OG0000691	WP_205217945.1	WP_010641426.1
OG0000692	WP_205217519.1	WP_012535739.1
OG0000693	WP_205217532.1	WP_012535749.1
OG0000694	WP_240192014.1	WP_012535756.1
OG0000695	WP_205220187.1	WP_012535765.1
OG0000696	WP_205218821.1	WP_012535802.1
OG0000697	WP_205217482.1	WP_012535804.1
OG0000698	WP_205218917.1	WP_012535974.1
OG0000699	WP_205218967.1	WP_012535976.1
OG0000700	WP_205219191.1	WP_012535994.1
OG0000701	WP_205218997.1	WP_012535997.1
OG0000702	WP_205219051.1	WP_012536008.1
OG0000704	WP_205217636.1	WP_012536016.1
OG0000705	WP_205217635.1	WP_012536017.1
OG0000706	WP_205217634.1	WP_012536018.1
OG0000707	WP_205217631.1	WP_012536019.1
OG0000708	WP_205217624.1	WP_012536023.1
OG0000709	WP_205218732.1	WP_012536040.1
OG0000710	WP_240192073.1	WP_012536051.1
OG0000711	WP_205219390.1	WP_012536059.1
OG0000712	WP_205218133.1	WP_012536064.1
OG0000713	WP_205219117.1	WP_012536070.1
OG0000714	WP_205217749.1	WP_012536072.1
OG0000715	WP_205217963.1	WP_012536073.1
OG0000716	WP_205217961.1	WP_012536074.1
OG0000717	WP_205217952.1	WP_012536079.1
OG0000718	WP_205217951.1	WP_012536080.1
OG0000719	WP_205217950.1	WP_012536081.1
OG0000720	WP_205217947.1	WP_012536082.1
OG0000721	WP_205217944.1	WP_012536084.1
OG0000722	WP_240191960.1	WP_012536086.1
OG0000723	WP_205217939.1	WP_012536087.1
OG0000724	WP_205217934.1	WP_012536088.1
OG0000725	WP_205217931.1	WP_012536089.1
OG0000726	WP_205217929.1	WP_012536090.1
OG0000727	WP_205218008.1	WP_012536093.1
OG0000728	WP_205217924.1	WP_012536094.1
OG0000729	WP_240191959.1	WP_012536095.1
OG0000730	WP_205217923.1	WP_012536096.1
OG0000731	WP_205217918.1	WP_012536098.1
OG0000732	WP_205217917.1	WP_012536099.1
OG0000733	WP_205217916.1	WP_012536100.1
OG0000734	WP_205219096.1	WP_012536101.1
OG0000735	WP_205219189.1	WP_012536102.1
OG0000736	WP_205220122.1	WP_012536109.1
