Orthogroup	Desulforhopalus vacuolatus DSM 9700	Desulfocapsa_06_corrosive
OG0000030	WP_205218797.1	Utg323160_112
OG0000031	WP_205217958.1	Utg323448_44
OG0000033	WP_205219469.1	Utg323140_147, Utg323140_146
OG0000037	WP_275889032.1	Utg323160_55, Utg323160_54, Utg323180_53, Utg323180_177
OG0000037	WP_240192185.1	Utg323180_533
OG0000038	WP_205218672.1	Utg323990_153
OG0000038	WP_205219654.1	Utg323180_685
OG0000038	WP_205219655.1	Utg323180_684
OG0000039	WP_205217373.1	Utg323316_349
OG0000040	WP_240192119.1	Utg323074_178
OG0000040	WP_205219588.1	Utg323990_200, Utg323990_66
OG0000041	WP_205218050.1	Utg323632_79, Utg323300_84
OG0000041	WP_205217528.1, WP_205219357.1	Utg323316_196
OG0000042	WP_240192126.1	Utg323180_126
OG0000042	WP_205217331.1	Utg323300_393
OG0000042	WP_205218976.1	Utg323152_383
OG0000043	WP_205218478.1	Utg323262_134, Utg323140_196, Utg323990_243, Utg323160_116, Utg323180_525, Utg323180_599
OG0000044	WP_205219513.1	Utg323316_69
OG0000045	WP_205219978.1	Utg323180_405
OG0000045	WP_205218812.1	Utg323300_218
OG0000047	WP_205220001.1	Utg323074_218
OG0000047	WP_205219188.1	Utg323074_155
OG0000048	WP_205220104.1	Utg323266_109
OG0000052	WP_205218833.1	Utg323262_71
OG0000053	WP_205219828.1	Utg323392_224
OG0000053	WP_205219575.1	Utg323316_144
OG0000054	WP_205217416.1	Utg323316_271, Utg323316_253
OG0000054	WP_205217689.1, WP_205219669.1	Utg323990_236
OG0000055	WP_205219062.1	Utg323152_253
OG0000055	WP_205218241.1	Utg323990_203, Utg323152_348, Utg323152_241
OG0000055	WP_205220003.1	Utg323074_215
OG0000057	WP_205217536.1	Utg323266_75
OG0000057	WP_205218283.1	Utg323152_465
OG0000058	WP_205217357.1	Utg323180_619
OG0000058	WP_205219380.1	Utg323152_288, Utg323632_274, Utg323152_273, Utg323180_393
OG0000060	WP_205219391.1	Utg323300_75
OG0000060	WP_205218162.1	Utg323990_72
OG0000061	WP_205220106.1	Utg323266_110
OG0000061	WP_205218219.1	Utg323180_315
OG0000063	WP_205218947.1	Utg323632_334
OG0000063	WP_205217751.1	Utg323392_142
OG0000064	WP_205218680.1	Utg323990_139
OG0000064	WP_205219039.1	Utg323180_38
OG0000065	WP_205217314.1	Utg323160_21
OG0000065	WP_205217454.1	Utg323140_2, Utg323180_2
OG0000067	WP_205218467.1	Utg323392_165
OG0000069	WP_240192079.1	Utg325220_94, Utg323300_182, Utg323262_103
OG0000070	WP_240192170.1	Utg323990_69
OG0000071	WP_205219780.1	Utg323152_559
OG0000072	WP_205219779.1	Utg323152_560
OG0000073	WP_205218014.1	Utg323180_197, Utg323632_357
OG0000074	WP_205217575.1	Utg323180_421
OG0000078	WP_205219761.1	Utg323152_397
OG0000079	WP_205217405.1	Utg323160_93, Utg323180_41
OG0000079	WP_205219237.1	Utg323392_205
OG0000086	WP_205217406.1	Utg323180_528
OG0000087	WP_205217731.1	Utg323152_497
OG0000089	WP_205217537.1	Utg324548_40
OG0000089	WP_205220139.1, WP_205219346.1, WP_205220284.1, WP_240192176.1, WP_205219946.1, WP_205219636.1, WP_205217559.1	Utg323140_37
OG0000091	WP_205218848.1	Utg323180_478
OG0000091	WP_205217745.1	Utg323392_150
OG0000092	WP_205218658.1	Utg323152_94, Utg323180_509
OG0000093	WP_240191946.1	Utg323180_45
OG0000094	WP_205218242.1	Utg323152_240
OG0000094	WP_275888993.1	Utg323074_170
OG0000095	WP_205219361.1, WP_205218407.1	Utg323300_425
OG0000095	WP_205218965.1	Utg323990_63
OG0000097	WP_205217730.1	Utg323152_498
OG0000097	WP_240191918.1	Utg323160_75, Utg323266_3, Utg323160_123
OG0000098	WP_240192130.1	Utg323152_561
OG0000101	WP_240192163.1	Utg323266_38
OG0000101	WP_205219783.1	Utg323180_20
OG0000102	WP_205217638.1	Utg323632_122
OG0000103	WP_205218456.1	Utg323180_100
OG0000104	WP_205219195.1	Utg323074_23
OG0000105	WP_240191944.1	Utg323392_148
OG0000105	WP_240192046.1	Utg323180_490
OG0000106	WP_205218448.1	Utg323300_125, Utg323316_317
OG0000107	WP_275889021.1	Utg323180_669
OG0000108	WP_205220065.1, WP_205220063.1, WP_205220062.1	Utg323392_40
OG0000108	WP_205217815.1	Utg323180_650
OG0000110	WP_205220030.1	Utg323140_35
OG0000112	WP_205218422.1	Utg323300_361
OG0000113	WP_205219581.1	Utg323316_179
OG0000114	WP_205217943.1	Utg323448_59
OG0000114	WP_205217401.1	Utg323180_193
OG0000115	WP_205217489.1	Utg323300_341
OG0000115	WP_205219679.1	Utg323990_86
OG0000116	WP_205217409.1	Utg323300_39
OG0000117	WP_205219085.1	Utg323316_188
OG0000117	WP_205217876.1	Utg323140_129
OG0000118	WP_240191957.1	Utg323140_128
OG0000118	WP_275888991.1	Utg323316_189
OG0000119	WP_205220193.1	Utg323180_425
OG0000120	WP_205217586.1	Utg323140_117
OG0000121	WP_275888929.1	Utg323074_180
OG0000122	WP_205220332.1	Utg323300_431, Utg323262_85
OG0000123	WP_205220031.1	Utg325220_102
OG0000126	WP_205219649.1	Utg323392_137
OG0000126	WP_205218524.1	Utg323140_162
OG0000127	WP_205219440.1, WP_205219441.1	Utg323448_31
OG0000128	WP_205219057.1	Utg323180_277
OG0000128	WP_205218118.1	Utg323152_202
OG0000129	WP_205218969.1	Utg323180_691
OG0000131	WP_240192135.1	Utg323074_120
OG0000133	WP_205217878.1	Utg323140_126
OG0000133	WP_205219087.1	Utg323316_190
OG0000134	WP_205218809.1	Utg323140_101
OG0000134	WP_205219067.1	Utg323152_247
OG0000136	WP_240191980.1	Utg323152_230
OG0000136	WP_205220066.1	Utg323392_39
OG0000137	WP_205219084.1	Utg323316_187
OG0000142	WP_205219982.1	Utg323180_616
OG0000142	WP_205218882.1	Utg323392_262
OG0000143	WP_205219037.1	Utg323180_33
OG0000144	WP_205217734.1	Utg323392_160
OG0000145	WP_205218440.1	Utg323180_144, Utg323180_511
OG0000147	WP_205217752.1	Utg323392_141
OG0000150	WP_240192129.1	Utg323152_400
OG0000151	WP_240192019.1	Utg323316_242
OG0000152	WP_205219848.1	Utg323180_516
OG0000152	WP_205219850.1	Utg323180_523
OG0000153	WP_205219644.1	Utg323180_413
OG0000153	WP_275888937.1	Utg323300_187
OG0000154	WP_205217327.1	Utg323160_129, Utg323266_10
OG0000156	WP_205220095.1	Utg323316_158
OG0000160	WP_240191992.1, WP_205217391.1	Utg323180_213
OG0000162	WP_205218379.1	Utg323316_178
OG0000163	WP_205218549.1	Utg323160_83
OG0000163	WP_205219249.1	Utg323262_107
OG0000164	WP_205218605.1	Utg323300_166
OG0000165	WP_240192087.1	Utg323140_175
OG0000166	WP_205219180.1	Utg323632_248
OG0000167	WP_205219005.1	Utg323152_436
OG0000169	WP_205220075.1	Utg323152_503
OG0000170	WP_205218419.1	Utg323300_350
OG0000171	WP_205219366.1	Utg323152_438
OG0000172	WP_205217862.1	Utg323990_178
OG0000173	WP_205219412.1	Utg324810_59
OG0000174	WP_205217656.1	Utg323180_604
OG0000176	WP_205219026.1	Utg324810_46
OG0000180	WP_205220263.1, WP_205220264.1	Utg323262_181, Utg323262_184
OG0000181	WP_205218461.1	Utg323316_243
OG0000182	WP_205217742.1	Utg323392_153
OG0000183	WP_240191953.1	Utg323632_25
OG0000184	WP_205219494.1	Utg323392_66
OG0000184	WP_205218375.1	Utg324548_16
OG0000185	WP_205218077.1	Utg323152_69
OG0000185	WP_205218823.1	Utg323316_113
OG0000187	WP_205217955.1, WP_205217942.1	Utg323448_60, Utg323448_47
OG0000188	WP_205217562.1	Utg323300_307
OG0000190	WP_205218562.1	Utg323140_75
OG0000191	WP_205220111.1	Utg323180_105
OG0000192	WP_205220299.1	Utg323180_399
OG0000193	WP_240191910.1	Utg323140_4, Utg323180_1
OG0000194	WP_240191899.1	Utg323160_22
OG0000194	WP_205218538.1	Utg323160_58, Utg323316_1
OG0000195	WP_205219651.1	Utg323152_119, Utg323180_690
OG0000196	WP_205217764.1	Utg323632_23
OG0000198	WP_240192026.1, WP_275888971.1	Utg323152_174
OG0000199	WP_205218113.1	Utg323152_198
OG0000201	WP_205217441.1	Utg323180_6
OG0000202	WP_205219316.1	Utg325220_64, Utg323140_270
OG0000202	WP_205220037.1	Utg323300_104
OG0000204	WP_240191983.1	Utg323180_154
OG0000204	WP_205218304.1	Utg323180_449
OG0000207	WP_205218366.1	Utg323266_113
OG0000208	WP_205218367.1	Utg323266_114
OG0000209	WP_205219630.1	Utg323316_339
OG0000210	WP_205220183.1, WP_205218604.1	Utg323300_167
OG0000211	WP_205219629.1, WP_205219339.1	Utg323140_182
OG0000212	WP_205219027.1	Utg324810_52
OG0000214	WP_205220148.1, WP_205218051.1, WP_205220149.1	Utg323632_45
OG0000215	WP_240192049.1	Utg324810_67
OG0000217	WP_205218771.1	Utg324548_25
OG0000218	WP_205218878.1	Utg323632_371
OG0000219	WP_240191915.1	Utg323300_291
OG0000221	WP_205218650.1	Utg323180_504
OG0000222	WP_205219254.1	Utg323262_114
OG0000223	WP_205218711.1	Utg323392_219
OG0000225	WP_205217392.1	Utg323152_460
OG0000226	WP_205217492.1	Utg323300_329
OG0000227	WP_205219130.1	Utg323632_351
OG0000228	WP_205219809.1	Utg323074_134
OG0000229	WP_205217476.1	Utg325220_87
OG0000230	WP_205219065.1	Utg323152_249
OG0000231	WP_275888948.1, WP_205219596.1, WP_205220378.1, WP_205218002.1, WP_205219147.1, WP_205219959.1, WP_205219488.1	Utg323152_458
OG0000232	WP_205218345.1	Utg323152_484, Utg323152_485
OG0000234	WP_205218677.1	Utg323990_146
OG0000235	WP_240192153.1	Utg323180_210
OG0000237	WP_205218378.1	Utg324810_62
OG0000237	WP_205217881.1	Utg323300_24
OG0000238	WP_205219359.1, WP_205217607.1	Utg323316_194
OG0000239	WP_240192164.1	Utg323266_22
OG0000239	WP_205218936.1	Utg324548_14
OG0000243	WP_240192155.1	Utg323180_67, Utg323266_94, Utg323160_100, Utg323160_101
OG0000245	WP_205217699.1, WP_240191912.1, WP_205219832.1, WP_240191911.1, WP_240192063.1	Utg323316_355
OG0000248	WP_205219321.1	Utg323140_188
OG0000252	WP_205217763.1	Utg323632_22
OG0000253	WP_205217628.1	Utg323632_102
OG0000256	WP_205220146.1	Utg323632_47
OG0000257	WP_205218346.1	Utg324810_19
OG0000258	WP_205219185.1	Utg323074_207, Utg323074_198
OG0000258	WP_205219289.1	Utg323074_197, Utg323316_263
OG0000259	WP_205218163.1	Utg323990_75
OG0000261	WP_205219746.1	Utg323990_127
OG0000262	WP_205218569.1	Utg323152_138, Utg323152_139
OG0000264	WP_275888954.1	Utg323262_53
OG0000264	WP_205218431.1	Utg323300_385
OG0000265	WP_205218056.1	Utg323262_60
OG0000265	WP_205218429.1	Utg323300_383
OG0000266	WP_205218059.1	Utg323262_57
OG0000266	WP_205217485.1	Utg323300_345
OG0000268	WP_205220292.1	Utg323180_596
OG0000268	WP_205219054.1	Utg323180_274
OG0000269	WP_205217898.1	Utg323448_118
OG0000269	WP_205217899.1	Utg323448_117
OG0000270	WP_205217873.1	Utg323140_132
OG0000271	WP_205217707.1	Utg323266_111
OG0000273	WP_205218287.1	Utg323448_108
OG0000274	WP_205218796.1	Utg323160_113
OG0000276	WP_205219963.1	Utg323152_607, Utg323316_369, Utg323140_3
OG0000276	WP_205219386.1	Utg323632_198
OG0000277	WP_205220291.1	Utg323990_152
OG0000278	WP_205217759.1	Utg323632_18
OG0000279	WP_205217882.1	Utg323152_280, Utg323632_270, Utg323152_269
OG0000283	WP_275888985.1	Utg324810_45
OG0000285	WP_205218739.1	Utg324548_26
OG0000286	WP_205219747.1	Utg323990_126
OG0000288	WP_205217354.1	Utg323152_159
OG0000290	WP_205219839.1	Utg323990_110
OG0000291	WP_205218886.1	Utg323152_390
OG0000292	WP_240192117.1	Utg323448_29
OG0000293	WP_240191945.1	Utg323632_26
OG0000295	WP_240192031.1	Utg323990_154
OG0000296	WP_205218418.1	Utg323180_360, Utg323140_32, Utg323300_349
OG0000297	WP_205218547.1	Utg323160_80, Utg323160_79
OG0000299	WP_205219229.1	Utg323392_237
OG0000299	WP_205217776.1	Utg323632_41
OG0000300	WP_205218591.1	Utg324810_53
OG0000302	WP_205219478.1	Utg323180_186, Utg323262_78, Utg323266_31
OG0000303	WP_205220325.1	Utg323990_183, Utg323990_188
OG0000307	WP_205217755.1	Utg323632_13
OG0000308	WP_205217762.1	Utg323632_21
OG0000309	WP_205217461.1	Utg323300_194
OG0000310	WP_205218613.1	Utg323074_211
OG0000311	WP_205219196.1	Utg323152_590, Utg323074_222, Utg323990_2
OG0000312	WP_205217647.1	Utg323632_140, Utg323632_141
OG0000314	WP_205217760.1	Utg323632_19
OG0000315	WP_205219334.1	Utg323180_180, Utg323300_449, Utg323300_159, Utg323152_459, Utg323160_49, Utg323262_194
OG0000316	WP_205220128.1	Utg323180_263
OG0000317	WP_205220116.1	Utg323180_167, Utg323152_149, Utg323180_102
OG0000319	WP_205218517.1	Utg323140_236
OG0000320	WP_205217581.1	Utg323300_402
OG0000321	WP_205220266.1	Utg323316_81
OG0000322	WP_205220004.1	Utg323074_213
OG0000325	WP_205219843.1	Utg323140_86, Utg323632_345, Utg323632_283
OG0000327	WP_205219777.1	Utg323152_563
OG0000328	WP_205219902.1, WP_205219089.1, WP_205219094.1, WP_205219092.1, WP_275888965.1, WP_205218329.1, WP_205218553.1, WP_205218530.1	Utg323074_89
OG0000329	WP_205217971.1	Utg323160_39
OG0000331	WP_240192075.1	Utg323074_59
OG0000332	WP_205219138.1	Utg323632_344, Utg323632_343
OG0000335	WP_240192018.1	Utg323300_388, Utg323300_389
OG0000336	WP_205218164.1	Utg323990_76
OG0000337	WP_205217681.1	Utg323632_59
OG0000338	WP_205217490.1	Utg323300_340
OG0000339	WP_205220081.1	Utg323152_478
OG0000340	WP_205218789.1	Utg323140_255
OG0000343	WP_205217627.1	Utg323632_101
OG0000345	WP_205217480.1	Utg323140_249
OG0000347	WP_205219623.1	Utg323300_185
OG0000348	WP_205218791.1	Utg323140_253
OG0000349	WP_205219748.1	Utg323990_125
OG0000352	WP_205217504.1	Utg323300_309
OG0000353	WP_205218764.1	Utg323152_411
OG0000355	WP_205218649.1	Utg323180_503
OG0000356	WP_205218114.1	Utg325220_24, Utg323152_199
OG0000357	WP_205219318.1	Utg323140_190
OG0000358	WP_205218079.1	Utg323152_183, Utg323180_133
OG0000359	WP_205218171.1	Utg323266_112
OG0000360	WP_205217452.1	Utg323448_18
OG0000361	WP_205217741.1	Utg323392_154
OG0000362	WP_205217652.1	Utg323074_50
OG0000362	WP_205218942.1	Utg323632_361
OG0000363	WP_205217706.1	Utg323266_83
OG0000364	WP_205219523.1	Utg323448_115, Utg324810_20, Utg323180_185
OG0000365	WP_205218267.1	Utg323300_405
OG0000366	WP_275888945.1	Utg323180_120
OG0000367	WP_240191917.1	Utg323140_73
OG0000370	WP_205217374.1	Utg323074_44
OG0000372	WP_205218561.1	Utg323316_334
OG0000373	WP_205218559.1	Utg323316_333
OG0000378	WP_205217714.1	Utg323300_225
OG0000380	WP_205220206.1	Utg323392_22
OG0000381	WP_205217576.1	Utg323266_59, Utg323262_166
OG0000383	WP_240191982.1	Utg323074_113
OG0000384	WP_205218413.1	Utg323632_224, Utg323392_7
OG0000385	WP_205220324.1	Utg323990_182
OG0000388	WP_205217746.1	Utg323392_149
OG0000389	WP_205217531.1	Utg325220_115
OG0000390	WP_240192167.1	Utg323152_156
OG0000391	WP_205219766.1	Utg323392_139
OG0000392	WP_275889000.1	Utg323140_187
OG0000393	WP_205218954.1	Utg323392_115
OG0000394	WP_205218909.1	Utg323632_227
OG0000395	WP_205218155.1	Utg323392_102
OG0000396	WP_205218452.1	Utg323316_308
OG0000397	WP_205220277.1	Utg323152_152
OG0000398	WP_205219765.1	Utg323316_283
OG0000399	WP_240192074.1	Utg323074_27
OG0000400	WP_205219816.1	Utg323074_129
OG0000401	WP_205219368.1	Utg323448_26
OG0000403	WP_205217733.1	Utg323392_161
OG0000404	WP_205217616.1	Utg323632_90
OG0000406	WP_205217506.1	Utg323300_304, Utg323632_208
OG0000407	WP_205217713.1	Utg323300_231
OG0000408	WP_205218451.1	Utg323316_309
OG0000409	WP_205218129.1	Utg323152_214, Utg323152_215
OG0000410	WP_205217356.1	Utg323180_618
OG0000411	WP_240192044.1	Utg323180_184
OG0000413	WP_205217469.1	Utg323632_56
OG0000414	WP_205217875.1	Utg323140_130
OG0000415	WP_205220192.1	Utg323180_424
OG0000418	WP_205217768.1	Utg323632_29
OG0000419	WP_205219837.1	Utg323990_112
OG0000420	WP_205217661.1	Utg323392_158
OG0000422	WP_205218454.1	Utg323316_306
OG0000423	WP_205218959.1	Utg323152_259
OG0000424	WP_205218567.1	Utg323180_488
OG0000425	WP_205220198.1	Utg323632_72
OG0000426	WP_205220276.1	Utg323152_151
OG0000427	WP_240191961.1	Utg323448_41
OG0000428	WP_205217735.1	Utg323392_159
OG0000429	WP_205218395.1	Utg323632_282
OG0000430	WP_205217883.1	Utg323152_270, Utg323152_281
OG0000433	WP_205219208.1	Utg323316_347
OG0000435	WP_205217363.1	Utg323316_84
OG0000439	WP_205219736.1	Utg323152_408
OG0000440	WP_205218572.1	Utg323152_402
OG0000441	WP_205218891.1	Utg323152_388
OG0000443	WP_205217439.1	Utg324810_34
OG0000444	WP_240192150.1	Utg323152_45
OG0000445	WP_205219058.1	Utg323152_295
OG0000447	WP_205220334.1	Utg323180_327, Utg323990_241
OG0000447	WP_205218746.1	Utg323392_129
OG0000448	WP_205219778.1	Utg323152_562
OG0000449	WP_205219769.1, WP_205220150.1	Utg323152_593
OG0000451	WP_205218646.1	Utg323074_46, Utg323266_24
OG0000457	WP_240192041.1	Utg323140_93
OG0000458	WP_205218916.1	Utg323632_292
OG0000459	WP_205218112.1	Utg323152_197
OG0000460	WP_205219183.1	Utg323632_251
OG0000461	WP_205217709.1	Utg323266_1, Utg323180_610
OG0000462	WP_205217736.1	Utg323392_157
OG0000463	WP_205219782.1	Utg323152_557
OG0000464	WP_205220375.1	Utg323266_64
OG0000465	WP_205219553.1	Utg323316_131
OG0000466	WP_205219574.1	Utg323316_143
OG0000467	WP_275888973.1	Utg324810_50
OG0000468	WP_205218748.1	Utg323152_550
OG0000469	WP_205217491.1	Utg323300_339
OG0000470	WP_205218902.1	Utg323632_217
OG0000471	WP_205218800.1	Utg323180_23
OG0000472	WP_205218167.1	Utg323990_82
OG0000473	WP_205218594.1	Utg324810_49
OG0000474	WP_240192159.1	Utg323392_19
OG0000475	WP_240191922.1	Utg323300_262
OG0000476	WP_205217449.1	Utg323448_21
OG0000477	WP_205218449.1	Utg323316_316
OG0000479	WP_275889017.1	Utg323152_47
OG0000480	WP_205217922.1	Utg323448_83
OG0000484	WP_205217459.1	Utg323300_196
OG0000485	WP_240192151.1	Utg323152_48
OG0000486	WP_240192058.1	Utg323152_439
OG0000487	WP_205218131.1	Utg323152_216
OG0000488	WP_205218506.1	Utg323160_29
OG0000489	WP_205219267.1	Utg323392_46
OG0000490	WP_205219099.1	Utg323180_708
OG0000491	WP_205219120.1	Utg323074_142
OG0000492	WP_205219754.1	Utg323180_163
OG0000493	WP_205217497.1	Utg323300_317
OG0000494	WP_205218563.1	Utg323300_293
OG0000495	WP_205218729.1	Utg323152_176
OG0000496	WP_205217666.1	Utg323632_52
OG0000497	WP_240192032.1	Utg323632_236
OG0000498	WP_205218691.1	Utg323632_237
OG0000499	WP_205218654.1	Utg323300_95, Utg323180_506
OG0000500	WP_205217905.1	Utg323448_101
OG0000501	WP_240192165.1	Utg323392_55
OG0000502	WP_205218110.1	Utg323152_196
OG0000504	WP_205217355.1	Utg323180_617
OG0000505	WP_205219666.1	Utg323316_99, Utg323266_72
OG0000507	WP_205217438.1	Utg323180_43
OG0000508	WP_205218825.1	Utg323300_12
OG0000509	WP_205218546.1	Utg323160_78
OG0000510	WP_205218853.1	Utg323180_484
OG0000511	WP_205218437.1	Utg323316_346
OG0000512	WP_205219193.1	Utg323074_26
OG0000513	WP_205217560.1	Utg323300_263
OG0000514	WP_205218175.1	Utg323632_76
OG0000515	WP_205219781.1	Utg323152_558
OG0000516	WP_205217710.1	Utg323180_611, Utg323266_2
OG0000517	WP_205220396.1	Utg323262_106
OG0000518	WP_205218820.1	Utg323180_544
OG0000520	WP_205220133.1	Utg323392_86
OG0000521	WP_205219612.1	Utg323152_146
OG0000522	WP_205218124.1	Utg323152_209
OG0000523	WP_205219825.1	Utg323392_227
OG0000526	WP_205220125.1	Utg323180_264
OG0000527	WP_205218165.1	Utg323990_77
OG0000528	WP_205217332.1	Utg323316_180
OG0000529	WP_205218420.1	Utg323300_351
OG0000530	WP_205218899.1	Utg323632_211, Utg323632_212
OG0000531	WP_205219838.1	Utg323990_111
OG0000532	WP_205218675.1	Utg323990_149
OG0000533	WP_205217510.1	Utg323300_299
OG0000535	WP_205219617.1	Utg323180_111
OG0000537	WP_205218142.1	Utg323152_226
OG0000538	WP_205218780.1	Utg323140_264, Utg325220_1
OG0000539	WP_205217783.1	Utg323180_65
OG0000540	WP_205219210.1	Utg323990_215, Utg323990_214
OG0000542	WP_205217495.1	Utg323300_321
OG0000543	WP_205220278.1	Utg323152_153
OG0000544	WP_205218590.1	Utg324810_54
OG0000545	WP_205217421.1	Utg323140_9
OG0000546	WP_205219329.1	Utg323140_178
OG0000547	WP_205219929.1	Utg323180_527
OG0000548	WP_205217478.1	Utg323140_246
OG0000549	WP_205220069.1	Utg323392_28
OG0000550	WP_240192054.1	Utg323632_387, Utg323392_263
OG0000555	WP_205219625.1	Utg323180_103
OG0000558	WP_205219892.1	Utg323152_97
OG0000560	WP_205217349.1	Utg323074_183
OG0000561	WP_205219465.1	Utg323266_17
OG0000562	WP_205217553.1	Utg323160_42
OG0000564	WP_205218994.1	Utg323392_207
OG0000565	WP_205218993.1	Utg323392_208
OG0000568	WP_205219610.1	Utg323392_178, Utg323152_148
OG0000569	WP_205219985.1	Utg323632_362
OG0000570	WP_205217437.1	Utg323316_297
OG0000571	WP_205217567.1	Utg323300_101
OG0000575	WP_205219319.1	Utg323140_189
OG0000576	WP_205220238.1	Utg323266_35
OG0000577	WP_205219226.1	Utg323074_28
OG0000578	WP_205218542.1	Utg323160_67
OG0000579	WP_205218548.1	Utg323160_81
OG0000580	WP_205219652.1	Utg323180_689
OG0000581	WP_205217953.1	Utg323448_49
OG0000582	WP_205217424.1	Utg323140_12
OG0000584	WP_205218446.1	Utg323316_328
OG0000585	WP_205218445.1	Utg323316_329
OG0000586	WP_205218444.1	Utg323316_331
OG0000587	WP_205219068.1	Utg323152_245
OG0000588	WP_205218441.1	Utg323316_336
OG0000589	WP_205219775.1	Utg323152_565
OG0000590	WP_205218457.1	Utg323316_300
OG0000591	WP_205219327.1	Utg323140_180
OG0000592	WP_205219066.1	Utg323152_248
OG0000593	WP_205218486.1	Utg323632_96
OG0000594	WP_205217503.1	Utg323300_311
OG0000595	WP_205218673.1	Utg323990_151
OG0000596	WP_205218108.1	Utg323152_192
OG0000597	WP_205218730.1	Utg323152_175
OG0000598	WP_205217625.1	Utg323632_99
OG0000599	WP_205218140.1	Utg323152_223
OG0000600	WP_205217588.1	Utg323180_267
OG0000601	WP_205219323.1	Utg323140_185
OG0000603	WP_240191991.1	Utg323990_83
OG0000604	WP_205219036.1	Utg323180_32
OG0000605	WP_205219056.1	Utg323180_276
OG0000606	WP_240192025.1	Utg323266_43
OG0000607	WP_240191928.1	Utg323300_283
OG0000608	WP_205217708.1	Utg323180_609
OG0000609	WP_240192100.1	Utg323074_152
OG0000610	WP_205217907.1	Utg323448_99
OG0000611	WP_205219064.1	Utg323152_250
OG0000612	WP_205218918.1	Utg323632_295
OG0000613	WP_205218919.1	Utg323632_296
OG0000614	WP_205217712.1	Utg323300_233
OG0000615	WP_205217915.1	Utg323448_90
OG0000616	WP_205217914.1	Utg323448_92
OG0000617	WP_205217940.1	Utg323448_63
OG0000618	WP_205217938.1	Utg323448_65
OG0000619	WP_205217937.1	Utg323448_66
OG0000620	WP_205217936.1	Utg323448_67
OG0000621	WP_205217935.1	Utg323448_68
OG0000622	WP_205219259.1	Utg323262_150
OG0000623	WP_205219817.1	Utg323074_128
