Orthogroup	Desulfovibrio ferrophilus IS5	Desulfocapsa sulfexigens DSM 10523
OG0000042	WP_126377521.1	WP_015404992.1
OG0000043	WP_126380936.1	WP_015402371.1
OG0000045	WP_126378830.1	WP_015402879.1
OG0000045	WP_232034928.1	WP_015404579.1
OG0000045	WP_126379890.1	WP_228130035.1
OG0000046	WP_126379445.1	WP_015402438.1
OG0000046	WP_126375663.1	WP_015404864.1
OG0000047	WP_172961741.1	WP_015405593.1
OG0000048	WP_126379303.1	WP_015404100.1
OG0000049	WP_172961615.1	WP_015404873.1
OG0000051	WP_126379995.1	WP_015404005.1, WP_015403310.1, WP_153304915.1
OG0000052	WP_126380843.1	WP_015405485.1
OG0000053	WP_126381249.1	WP_015404739.1
OG0000053	WP_126377151.1	WP_228130071.1
OG0000055	WP_126379655.1	WP_015405217.1
OG0000056	WP_172961636.1	WP_015402552.1
OG0000057	WP_172961733.1	WP_015403643.1
OG0000058	WP_126375819.1	WP_015402352.1
OG0000059	WP_232034798.1	WP_015403273.1
OG0000060	WP_126379040.1, WP_232034744.1	WP_015403496.1
OG0000063	WP_126380494.1	WP_015404799.1
OG0000064	WP_126377057.1	WP_015405262.1, WP_015404547.1, WP_015402710.1
OG0000065	WP_126379932.1	WP_015402775.1, WP_015402615.1
OG0000065	WP_126379160.1	WP_015402731.1
OG0000069	WP_126379705.1	WP_015403151.1, WP_015402608.1, WP_015403747.1, WP_015404352.1
OG0000070	WP_126378422.1, WP_232034886.1	WP_015405051.1
OG0000071	WP_126379188.1	WP_015405451.1
OG0000071	WP_126381068.1	WP_015402375.1
OG0000072	WP_126378397.1	WP_015405452.1
OG0000072	WP_126381070.1	WP_015402376.1
OG0000075	WP_126375865.1	WP_015403341.1
OG0000076	WP_172961659.1	WP_015405226.1
OG0000077	WP_126379711.1, WP_172961772.1	WP_015404654.1
OG0000077	WP_126377449.1	WP_015404715.1, WP_015404669.1
OG0000078	WP_172961764.1	WP_015404958.1
OG0000078	WP_126376995.1, WP_126376997.1	WP_015402312.1, WP_015403864.1
OG0000079	WP_232034839.1	WP_015402977.1, WP_015405417.1
OG0000080	WP_172961669.1	WP_015402686.1
OG0000081	WP_172961767.1	WP_153304848.1
OG0000081	WP_126380364.1	WP_015402793.1
OG0000082	WP_172961569.1	WP_015404747.1
OG0000082	WP_232034762.1, WP_126379022.1, WP_126377927.1, WP_126380332.1, WP_126380330.1	WP_015405296.1
OG0000085	WP_172961786.1	WP_015403009.1, WP_015404908.1, WP_167320721.1
OG0000085	WP_126381273.1	WP_153304855.1
OG0000086	WP_126375833.1	WP_015403683.1
OG0000086	WP_126375563.1	WP_265588649.1
OG0000087	WP_126379228.1	WP_015405668.1
OG0000088	WP_126376259.1	WP_015405225.1
OG0000091	WP_126379497.1	WP_015404791.1
OG0000092	WP_126378232.1	WP_015403008.1, WP_015402386.1
OG0000093	WP_126377889.1, WP_126380751.1	WP_015402704.1
OG0000095	WP_232034876.1	WP_265588636.1
OG0000097	WP_126379277.1	WP_015402395.1
OG0000097	WP_126380356.1	WP_015403348.1, WP_015403223.1
OG0000098	WP_126381073.1	WP_015402377.1
OG0000098	WP_126381415.1	WP_015405453.1
OG0000100	WP_126380829.1, WP_232034760.1	WP_015404401.1, WP_167320752.1, WP_015404701.1, WP_015404229.1, WP_015404121.1
OG0000101	WP_126380553.1, WP_126376877.1	WP_228130039.1, WP_015403666.1
OG0000103	WP_126375876.1	WP_015404021.1, WP_015402491.1
OG0000104	WP_126377346.1, WP_126377988.1	WP_015403990.1
OG0000105	WP_126379501.1	WP_015404793.1, WP_015402408.1, WP_015404215.1
OG0000106	WP_126380444.1	WP_015403625.1, WP_015404007.1
OG0000107	WP_126375961.1	WP_052326938.1
OG0000110	WP_126379985.1, WP_126376245.1	WP_015405228.1
OG0000112	WP_126377306.1, WP_126379449.1	WP_015403936.1
OG0000114	WP_126377356.1	WP_015404279.1
OG0000114	WP_126376037.1	WP_015402582.1
OG0000115	WP_126377362.1	WP_015403910.1
OG0000115	WP_126376861.1	WP_015404572.1
OG0000117	WP_126380925.1	WP_015403283.1, WP_015403159.1
OG0000118	WP_126381543.1	WP_015403282.1, WP_015403158.1
OG0000126	WP_126379210.1	WP_015404803.1
OG0000127	WP_126379366.1	WP_015404182.1
OG0000127	WP_126379368.1	WP_015404183.1
OG0000128	WP_232034755.1	WP_015402505.1, WP_015405039.1
OG0000130	WP_172961687.1, WP_126380098.1, WP_126379042.1	WP_015402762.1
OG0000131	WP_126380299.1	WP_153304997.1
OG0000131	WP_232034794.1	WP_015404061.1
OG0000132	WP_126378656.1	WP_153305005.1
OG0000133	WP_232034812.1	WP_015403281.1, WP_228130062.1
OG0000134	WP_126377750.1	WP_015405212.1
OG0000135	WP_126380248.1	WP_015403944.1
OG0000135	WP_126379924.1	WP_015403834.1
OG0000136	WP_126377707.1	WP_015405013.1
OG0000137	WP_126376304.1	WP_015403527.1
OG0000142	WP_126377727.1	WP_015404601.1
OG0000143	WP_126376543.1, WP_126377487.1, WP_126375622.1	WP_015402714.1
OG0000144	WP_126379267.1	WP_015404779.1
OG0000145	WP_126376563.1	WP_015404615.1, WP_015402384.1
OG0000149	WP_126379665.1, WP_126380618.1	WP_015404202.1
OG0000150	WP_126377334.1	WP_015404955.1, WP_015404102.1, WP_015403878.1
OG0000152	WP_126377470.1	WP_015402381.1
OG0000152	WP_126381066.1	WP_015402374.1
OG0000153	WP_126377256.1	WP_015404425.1
OG0000153	WP_126379795.1	WP_015402914.1
OG0000154	WP_126380855.1	WP_015403217.1
OG0000155	WP_126378376.1, WP_126377489.1	WP_015404997.1
OG0000158	WP_126379801.1, WP_126378159.1	WP_015403712.1
OG0000159	WP_126381351.1	WP_015403779.1
OG0000159	WP_126380841.1	WP_015405738.1
OG0000160	WP_126379093.1	WP_015402570.1
OG0000161	WP_232034768.1, WP_126378650.1	WP_015403558.1
OG0000162	WP_126375857.1, WP_172961809.1	WP_041916377.1
OG0000163	WP_126378343.1	WP_015403342.1, WP_015404356.1
OG0000164	WP_126377539.1	WP_015403628.1
OG0000166	WP_126377850.1	WP_015405604.1
OG0000166	WP_126376718.1	WP_015404252.1
OG0000167	WP_126380541.1	WP_015404889.1
OG0000168	WP_126381182.1, WP_126381180.1, WP_126375657.1, WP_126375553.1	WP_015403840.1
OG0000169	WP_126376755.1	WP_015404816.1
OG0000170	WP_126377170.1	WP_015403919.1
OG0000172	WP_232034792.1	WP_015404511.1
OG0000174	WP_126378921.1	WP_015402361.1
OG0000174	WP_126378915.1	WP_015403695.1
OG0000178	WP_172961806.1	WP_015403012.1
OG0000178	WP_126376909.1, WP_126376611.1	WP_167320722.1
OG0000178	WP_126378990.1, WP_126376895.1, WP_126378189.1, WP_126377162.1	WP_015404763.1
OG0000179	WP_126379401.1, WP_126379755.1, WP_126377123.1, WP_126377121.1, WP_126378894.1, WP_126375971.1, WP_126379261.1	WP_015403164.1
OG0000180	WP_126376686.1, WP_126376684.1	WP_052326988.1, WP_015403309.1
OG0000181	WP_126380072.1	WP_015405574.1
OG0000182	WP_126377328.1	WP_015404788.1
OG0000183	WP_126375665.1	WP_208598531.1
OG0000184	WP_126380301.1	WP_015403677.1
OG0000185	WP_126378072.1	WP_015404124.1
OG0000186	WP_126376620.1	WP_015403116.1, WP_015403686.1
OG0000187	WP_126376003.1	WP_015404268.1
OG0000188	WP_126380802.1	WP_015403875.1
OG0000189	WP_126379679.1	WP_015404553.1
OG0000191	WP_172961744.1	WP_015402923.1, WP_015403618.1
OG0000193	WP_126377830.1	WP_015402732.1
OG0000194	WP_126378106.1	WP_015402613.1
OG0000194	WP_126375723.1	WP_015403363.1
OG0000195	WP_126381648.1, WP_126380634.1	WP_167320713.1, WP_015402308.1
OG0000196	WP_126375667.1	WP_015405758.1
OG0000199	WP_126375709.1	WP_015403925.1, WP_015405043.1
OG0000200	WP_126381637.1	WP_015405573.1
OG0000201	WP_126377684.1	WP_015402726.1
OG0000202	WP_126376358.1	WP_015403041.1
OG0000202	WP_126375680.1	WP_015403516.1
OG0000203	WP_126380446.1	WP_015403624.1
OG0000203	WP_126376516.1	WP_015405501.1
OG0000204	WP_172961790.1	WP_167320750.1, WP_041916292.1
OG0000205	WP_172961692.1, WP_126380899.1	WP_052326952.1
OG0000209	WP_126378432.1	WP_015403972.1
OG0000210	WP_126379481.1	WP_153304845.1
OG0000211	WP_126378828.1, WP_197723434.1, WP_126377139.1	WP_015402955.1
OG0000213	WP_126379561.1	WP_015402864.1, WP_015404619.1
OG0000215	WP_126379387.1	WP_015403395.1
OG0000216	WP_126381405.1	WP_015403304.1
OG0000216	WP_126380832.1	WP_015404094.1
OG0000217	WP_126377388.1	WP_015404433.1
OG0000218	WP_126377380.1	WP_015405521.1
OG0000219	WP_126377392.1	WP_015403862.1
OG0000221	WP_232034814.1	WP_015402390.1
OG0000222	WP_126377752.1, WP_126380413.1	WP_015404363.1
OG0000223	WP_126379433.1	WP_015404744.1
OG0000224	WP_126375687.1	WP_015403713.1
OG0000225	WP_126381110.1	WP_228130059.1, WP_015402983.1, WP_153304792.1
OG0000226	WP_232034915.1	WP_015403895.1
OG0000227	WP_126380765.1	WP_015405532.1
OG0000228	WP_126378318.1	WP_015404722.1
OG0000229	WP_126378283.1	WP_015405258.1
OG0000230	WP_126376561.1	WP_015405214.1
OG0000232	WP_126376907.1	WP_015404828.1
OG0000232	WP_197723452.1	WP_228130015.1
OG0000233	WP_126379699.1	WP_015405001.1
OG0000234	WP_126375880.1, WP_172961661.1, WP_126375783.1	WP_015404541.1
OG0000235	WP_126379765.1	WP_015402571.1
OG0000235	WP_126375707.1	WP_015403933.1
OG0000236	WP_126381003.1	WP_015405047.1
OG0000237	WP_126377266.1, WP_126377794.1	WP_015403027.1, WP_015403550.1
OG0000238	WP_197723431.1	WP_015403087.1
OG0000238	WP_232034849.1	WP_015403615.1
OG0000240	WP_126381024.1, WP_126379988.1, WP_126381060.1	WP_015404338.1
OG0000241	WP_197723440.1	WP_015404417.1, WP_015404839.1
OG0000242	WP_172961595.1	WP_015405234.1, WP_015404444.1, WP_015405245.1
OG0000243	WP_152034911.1	WP_015404772.1
OG0000244	WP_126379395.1	WP_015404822.1
OG0000248	WP_126376690.1	WP_015402961.1
OG0000250	WP_126377694.1, WP_126381114.1, WP_126376970.1	WP_015405307.1
OG0000252	WP_126375668.1	WP_015405759.1
OG0000253	WP_232034747.1, WP_126378732.1	WP_015405687.1
OG0000257	WP_126377805.1	WP_015404474.1, WP_015403400.1
OG0000259	WP_126380949.1	WP_015404586.1
OG0000260	WP_126376736.1	WP_167320763.1
OG0000260	WP_126377383.1	WP_015402947.1
OG0000261	WP_232034914.1	WP_015404558.1
OG0000263	WP_172961789.1	WP_015403031.1
OG0000264	WP_126380686.1	WP_015403248.1, WP_015403956.1
OG0000265	WP_126380688.1	WP_015403241.1, WP_015403954.1
OG0000266	WP_126380663.1	WP_015403244.1, WP_015403914.1
OG0000270	WP_126380933.1	WP_015403162.1
OG0000271	WP_126381034.1	WP_015402792.1
OG0000272	WP_126379423.1	WP_015403141.1, WP_015403406.1, WP_015404095.1, WP_015403606.1
OG0000273	WP_126380880.1	WP_015403232.1
OG0000273	WP_126376722.1	WP_015404326.1
OG0000274	WP_126379464.1	WP_015403324.1
OG0000275	WP_126380161.1, WP_232034933.1	WP_015404217.1
OG0000277	WP_232034831.1	WP_015404536.1
OG0000278	WP_126375672.1	WP_015405763.1
OG0000278	WP_126377776.1	WP_015405123.1
OG0000280	WP_126379987.1, WP_232034773.1, WP_126376296.1	WP_015405279.1, WP_015405280.1
OG0000284	WP_232034785.1	WP_015403619.1
OG0000285	WP_126380954.1	WP_015404434.1
OG0000286	WP_232034878.1	WP_015404559.1
OG0000287	WP_126379943.1	WP_015402629.1
OG0000288	WP_126377408.1	WP_015405114.1
OG0000290	WP_126381196.1	WP_015404568.1
OG0000291	WP_126377018.1	WP_015404986.1
OG0000292	WP_126378090.1	WP_228130008.1
OG0000293	WP_126375664.1	WP_015405755.1
OG0000296	WP_126376968.1	WP_015403918.1
OG0000297	WP_172961716.1, WP_126380746.1	WP_015403344.1
OG0000298	WP_172961668.1	WP_015404125.1
OG0000299	WP_232034802.1	WP_015403320.1, WP_015405743.1
OG0000300	WP_126376664.1	WP_015403426.1
OG0000301	WP_126376077.1	WP_228130009.1
OG0000301	WP_232034778.1	WP_015403119.1
OG0000302	WP_126376779.1	WP_015402586.1
OG0000302	WP_126381011.1	WP_015403592.1
OG0000307	WP_232034834.1	WP_015405767.1
OG0000308	WP_126375669.1	WP_015405760.1
OG0000309	WP_126379200.1	WP_015403758.1
OG0000311	WP_126380177.1	WP_208598473.1
OG0000312	WP_126380979.1	WP_015405651.1
OG0000313	WP_126375836.1	WP_015404163.1
OG0000314	WP_126375671.1	WP_015405762.1
OG0000316	WP_126375979.1	WP_015402519.1
OG0000320	WP_126380370.1	WP_015403444.1
OG0000322	WP_126380602.1, WP_126380599.1	WP_015404641.1
OG0000323	WP_172961568.1	WP_015404848.1
OG0000324	WP_172961599.1	WP_015404907.1
OG0000325	WP_172961723.1, WP_126376600.1	WP_041916275.1, WP_015405569.1
OG0000326	WP_126375696.1	WP_041916402.1
OG0000327	WP_126379184.1	WP_228130085.1
OG0000332	WP_126377537.1	WP_015405537.1
OG0000333	WP_126380825.1	WP_015403733.1, WP_015403934.1
OG0000334	WP_126378606.1	WP_015403351.1
OG0000335	WP_126380917.1	WP_015403959.1
OG0000336	WP_126380948.1	WP_015404585.1
OG0000339	WP_126375542.1	WP_015403039.1, WP_015405469.1
OG0000340	WP_126379916.1	WP_015403067.1
OG0000343	WP_126378734.1	WP_015405688.1
OG0000344	WP_126379008.1	WP_015404093.1, WP_015403303.1
OG0000345	WP_172961637.1	WP_015403061.1
OG0000346	WP_126381013.1	WP_015403591.1
OG0000347	WP_126380129.1	WP_228130011.1
OG0000348	WP_232034790.1	WP_015403564.1, WP_015403065.1
OG0000349	WP_126377264.1	WP_015404560.1
OG0000352	WP_126377336.1	WP_015405787.1, WP_015403877.1
OG0000353	WP_126378808.1, WP_126381186.1	WP_015404899.1
OG0000354	WP_126375853.1	WP_015402685.1, WP_015405718.1, WP_208598493.1
OG0000355	WP_126381547.1	WP_015402391.1
OG0000356	WP_126377915.1	WP_015405042.1
OG0000357	WP_126376942.1	WP_015402963.1, WP_015404499.1
OG0000358	WP_126377529.1	WP_015405066.1, WP_015403098.1
OG0000360	WP_126380696.1	WP_015404165.1
OG0000361	WP_126379495.1	WP_015404787.1
OG0000363	WP_126379097.1	WP_228130024.1
OG0000364	WP_232034851.1	WP_015404331.1, WP_015403401.1, WP_015402587.1
OG0000365	WP_126379797.1	WP_015402606.1, WP_015402769.1
OG0000366	WP_126376476.1, WP_126376478.1	WP_015402662.1
OG0000367	WP_126379291.1	WP_015402768.1
OG0000369	WP_126379783.1	WP_015402969.1
OG0000370	WP_126380722.1	WP_015402991.1
OG0000372	WP_126376919.1	WP_015403993.1
OG0000372	WP_172961812.1	WP_015403238.1
OG0000372	WP_126381285.1	WP_015403313.1
OG0000373	WP_126377043.1, WP_126376917.1	WP_015403994.1
OG0000375	WP_172961745.1	WP_015403480.1
OG0000375	WP_126381106.1	WP_015403509.1
OG0000376	WP_126375867.1, WP_126377201.1	WP_015405664.1
OG0000379	WP_126378328.1, WP_126378217.1	WP_015404447.1
OG0000380	WP_126377282.1	WP_041916449.1, WP_015404622.1
OG0000382	WP_126379417.1, WP_126377929.1, WP_126380334.1, WP_126379024.1	WP_015405295.1
OG0000383	WP_126376204.1	WP_015405487.1
OG0000384	WP_126379878.1	WP_015405623.1
OG0000388	WP_126379499.1	WP_015404792.1
OG0000389	WP_126380280.1	WP_015403093.1
OG0000390	WP_126380496.1	WP_015405129.1
OG0000391	WP_126377020.1	WP_015405595.1
OG0000392	WP_126377803.1	WP_015402960.1, WP_015403130.1
OG0000393	WP_126377464.1	WP_015405397.1
OG0000394	WP_126376132.1	WP_015405620.1
OG0000395	WP_126377729.1	WP_015404600.1
OG0000396	WP_126380788.1	WP_015404016.1
OG0000397	WP_126380761.1	WP_153305021.1
OG0000398	WP_126375829.1	WP_015404034.1
OG0000399	WP_126376541.1	WP_015404853.1
OG0000400	WP_126375999.1	WP_015404727.1
OG0000401	WP_126377286.1	WP_015404176.1
OG0000403	WP_232034756.1	WP_015404778.1
OG0000404	WP_232034883.1	WP_015405699.1
OG0000406	WP_126380117.1	WP_228130050.1, WP_015403479.1
OG0000407	WP_126375697.1	WP_015403831.1
OG0000408	WP_126376130.1	WP_015404015.1
OG0000409	WP_126375727.1	WP_015405028.1
OG0000410	WP_126375949.1	WP_015405264.1, WP_015402353.1
OG0000413	WP_126379336.1	WP_015403446.1
OG0000414	WP_126380931.1	WP_015403280.1, WP_015403160.1
OG0000417	WP_126380786.1	WP_015402701.1
OG0000418	WP_126380654.1	WP_015405752.1
OG0000419	WP_232034936.1, WP_126376652.1	WP_015404566.1
OG0000422	WP_126380163.1, WP_126379072.1	WP_015404018.1
OG0000423	WP_126380506.1	WP_015405222.1
OG0000424	WP_232034868.1	WP_015404172.1
OG0000425	WP_126380914.1	WP_015405708.1
OG0000427	WP_126377181.1	WP_015404262.1, WP_015402929.1
OG0000428	WP_126379265.1	WP_015404780.1
OG0000431	WP_126380348.1	WP_015403546.1
OG0000433	WP_232034808.1, WP_126380900.1	WP_015403967.1
OG0000434	WP_126378271.1	WP_015404078.1
OG0000436	WP_126377737.1	WP_015404648.1
OG0000438	WP_126375743.1	WP_015404896.1
OG0000439	WP_126378807.1, WP_126381188.1	WP_015404902.1
OG0000440	WP_126380955.1	WP_015404953.1
OG0000441	WP_126378080.1	WP_015404988.1
OG0000443	WP_126380919.1	WP_015405092.1
OG0000444	WP_126378345.1	WP_015405195.1
OG0000446	WP_126377113.1, WP_126379389.1, WP_126379406.1	WP_015405294.1
OG0000448	WP_126379186.1	WP_015405454.1
OG0000457	WP_126380273.1	WP_208598499.1
OG0000458	WP_126379457.1	WP_015405560.1
OG0000459	WP_126378236.1	WP_015405044.1
OG0000460	WP_197723457.1	WP_015405601.1
OG0000461	WP_126376122.1	WP_015402359.1
OG0000463	WP_126378471.1, WP_126378644.1	WP_015405449.1
OG0000465	WP_126379779.1	WP_015404108.1
OG0000466	WP_126377342.1	WP_015404099.1
OG0000467	WP_126377723.1	WP_015403423.1
OG0000468	WP_126379910.1	WP_015405442.1
OG0000469	WP_126377360.1	WP_015403908.1
OG0000470	WP_126378919.1	WP_015405629.1
OG0000471	WP_126380492.1	WP_015402724.1
OG0000472	WP_126378642.1, WP_126377824.1	WP_015404576.1
OG0000473	WP_126377396.1	WP_265588642.1
OG0000475	WP_126380674.1	WP_015403842.1
OG0000476	WP_126380693.1	WP_015404168.1
OG0000477	WP_126379238.1	WP_015404008.1
OG0000478	WP_126379010.1	WP_015404092.1, WP_015403302.1
OG0000479	WP_126378348.1	WP_015405193.1
OG0000480	WP_126375801.1	WP_015404302.1
OG0000481	WP_126378435.1	WP_015404083.1
OG0000482	WP_126376547.1	WP_015403548.1
OG0000484	WP_126380284.1	WP_015403760.1
OG0000485	WP_126378350.1	WP_015405192.1
OG0000486	WP_126379287.1	WP_015404881.1
OG0000487	WP_126380961.1	WP_015405027.1
OG0000488	WP_126379525.1	WP_015403375.1
OG0000489	WP_126377067.1	WP_228130021.1
OG0000490	WP_172961760.1	WP_015402294.1
OG0000491	WP_126379485.1	WP_015404713.1
OG0000492	WP_126377713.1	WP_041916554.1
OG0000493	WP_126377410.1	WP_015403885.1
OG0000495	WP_126376099.1	WP_015405099.1
OG0000496	WP_126375923.1	WP_015405733.1
OG0000497	WP_126377812.1	WP_015405614.1
OG0000498	WP_172961654.1	WP_015405613.1
OG0000500	WP_126377826.1	WP_015404321.1
OG0000501	WP_172961582.1	WP_015403989.1
OG0000502	WP_126378238.1	WP_015405045.1
OG0000503	WP_126377195.1	WP_015403102.1
OG0000504	WP_126377731.1	WP_015405265.1, WP_015402354.1
OG0000506	WP_126378242.1	WP_153305003.1, WP_015404813.1
OG0000507	WP_126376835.1	WP_015402706.1
OG0000509	WP_126376116.1	WP_015403345.1
OG0000510	WP_126380646.1	WP_015402412.1
OG0000511	WP_126377183.1	WP_015403968.1
OG0000512	WP_126380757.1	WP_015404854.1
OG0000513	WP_126380673.1	WP_015403843.1
OG0000514	WP_126375935.1	WP_015405704.1
OG0000515	WP_232034909.1	WP_015404672.1, WP_015405450.1
OG0000516	WP_126378465.1	WP_015402358.1
OG0000517	WP_126377799.1	WP_015403261.1, WP_015404355.1
OG0000519	WP_232034888.1	WP_015405014.1
OG0000520	WP_126379338.1	WP_015405376.1
OG0000521	WP_126380820.1	WP_015405139.1
OG0000522	WP_126377013.1	WP_015405032.1
OG0000523	WP_126376393.1	WP_015404736.1
OG0000524	WP_126380396.1	WP_015403357.1
OG0000526	WP_126375981.1	WP_015402518.1
OG0000529	WP_126378081.1	WP_015403920.1
OG0000530	WP_232034793.1	WP_015405633.1
OG0000531	WP_126375893.1	WP_015404567.1
OG0000532	WP_126377676.1	WP_015404539.1
OG0000533	WP_126375945.1	WP_015403868.1
OG0000534	WP_126377444.1	WP_015402863.1, WP_015405596.1
OG0000535	WP_126379224.1	WP_015402664.1
OG0000536	WP_126379271.1	WP_015403275.1
OG0000538	WP_126380854.1	WP_015403076.1
OG0000539	WP_126376287.1, WP_172961816.1	WP_015402679.1
OG0000540	WP_126375989.1	WP_015404471.1
OG0000542	WP_126375953.1	WP_015403888.1
OG0000543	WP_126380762.1	WP_015405132.1
OG0000544	WP_126376662.1	WP_015403427.1
OG0000545	WP_126377049.1	WP_015404963.1, WP_015402736.1
OG0000546	WP_126377155.1	WP_015402951.1
OG0000547	WP_126379146.1, WP_126379018.1	WP_228130060.1
OG0000548	WP_126377086.1	WP_015403059.1
OG0000549	WP_126379236.1	WP_015405349.1
OG0000550	WP_126378469.1	WP_015405518.1
OG0000551	WP_126377300.1	WP_015402319.1
OG0000553	WP_126380678.1	WP_015403748.1, WP_015402607.1, WP_015403152.1
OG0000554	WP_126377635.1	WP_015402643.1
OG0000555	WP_126377511.1	WP_015402671.1
OG0000556	WP_126380804.1	WP_015405411.1, WP_015404875.1
OG0000558	WP_232034822.1	WP_015402992.1
OG0000561	WP_126377792.1	WP_015403206.1
OG0000562	WP_126375568.1	WP_015405527.1, WP_015403366.1, WP_041916336.1, WP_052326966.1
OG0000564	WP_126379555.1	WP_015403905.1
OG0000565	WP_126381437.1	WP_015403906.1
OG0000566	WP_126380739.1	WP_015403945.1
OG0000568	WP_126381234.1	WP_041916977.1, WP_015405137.1
OG0000569	WP_126378372.1	WP_015405528.1
OG0000570	WP_126377743.1	WP_015405597.1
OG0000571	WP_126376091.1	WP_083907217.1
OG0000575	WP_126376941.1	WP_015404467.1, WP_015402962.1
OG0000576	WP_126376937.1	WP_015403169.1
OG0000577	WP_126377364.1	WP_041916988.1
OG0000578	WP_126380394.1	WP_015403356.1
OG0000579	WP_126380745.1	WP_015403343.1
OG0000580	WP_232034916.1	WP_015402309.1
OG0000581	WP_126376006.1	WP_015404269.1
OG0000582	WP_126375633.1	WP_015402739.1
OG0000583	WP_126379507.1	WP_015404258.1
OG0000584	WP_126379759.1	WP_015403998.1
OG0000585	WP_126379757.1	WP_015403997.1
OG0000586	WP_126381445.1	WP_083907252.1
OG0000587	WP_126376883.1	WP_015405003.1
OG0000588	WP_126379697.1	WP_015403991.1
OG0000589	WP_126376001.1	WP_015405457.1
OG0000590	WP_126375878.1	WP_015404022.1
OG0000591	WP_126376962.1	WP_015402953.1
OG0000592	WP_126380852.1	WP_015405213.1
OG0000593	WP_126379359.1	WP_015405693.1
