Orthogroup	Desulfovibrio ferrophilus IS5	Desulforhopalus vacuolatus DSM 9700
OG0000086	WP_126375563.1	WP_205217406.1
OG0000087	WP_126376666.1	WP_205219845.1
OG0000091	WP_126379497.1	WP_205217745.1
OG0000092	WP_126378232.1	WP_205218658.1
OG0000093	WP_126377889.1, WP_126380751.1	WP_240191946.1
OG0000094	WP_126379747.1	WP_205218401.1
OG0000095	WP_232034876.1	WP_205218965.1
OG0000096	WP_126381088.1	WP_240191921.1
OG0000097	WP_126380356.1	WP_240191918.1
OG0000098	WP_126381415.1	WP_240192130.1
OG0000101	WP_126380553.1, WP_126376877.1	WP_240192163.1, WP_205219783.1
OG0000102	WP_126375587.1	WP_205217638.1
OG0000103	WP_126375876.1	WP_205218404.1, WP_205218456.1
OG0000105	WP_126379501.1	WP_240191944.1, WP_240192046.1
OG0000106	WP_126380444.1	WP_205218448.1
OG0000107	WP_126375961.1	WP_275889021.1
OG0000110	WP_126379985.1, WP_126376245.1	WP_205220030.1
OG0000111	WP_126380792.1	WP_205217301.1
OG0000112	WP_126377306.1, WP_126379449.1	WP_205218422.1
OG0000114	WP_126377356.1	WP_205217943.1
OG0000114	WP_126376037.1	WP_205217401.1
OG0000115	WP_126377362.1	WP_205217489.1
OG0000115	WP_126376861.1	WP_205219679.1
OG0000116	WP_126376215.1	WP_205218587.1
OG0000117	WP_126380925.1	WP_205217876.1
OG0000118	WP_126381543.1	WP_240191957.1
OG0000119	WP_126378138.1	WP_205220204.1
OG0000120	WP_126379965.1, WP_126379857.1	WP_275888970.1
OG0000120	WP_126377828.1	WP_205217586.1
OG0000126	WP_126379210.1	WP_205219649.1
OG0000127	WP_126379366.1	WP_205219440.1
OG0000127	WP_126379368.1	WP_205219441.1
OG0000128	WP_232034755.1	WP_205219057.1, WP_205218118.1
OG0000129	WP_126376839.1	WP_205220177.1
OG0000131	WP_126380299.1	WP_240192135.1
OG0000132	WP_126378656.1	WP_205218326.1
OG0000132	WP_126375702.1	WP_205219939.1, WP_205218314.1
OG0000133	WP_232034812.1	WP_205217878.1
OG0000134	WP_126377750.1	WP_205219067.1
OG0000135	WP_126379924.1	WP_205219271.1
OG0000136	WP_126377707.1	WP_240191980.1
OG0000142	WP_126377727.1	WP_205219982.1
OG0000143	WP_126376543.1, WP_126377487.1, WP_126375622.1	WP_205219037.1
OG0000144	WP_126379267.1	WP_205217734.1
OG0000145	WP_126376563.1	WP_205218440.1
OG0000146	WP_126377153.1, WP_126375637.1	WP_205218266.1
OG0000146	WP_126375706.1	WP_205220184.1
OG0000146	WP_126380631.1	WP_205217851.1
OG0000148	WP_126375591.1	WP_205218212.1, WP_205219628.1
OG0000150	WP_126377334.1	WP_240192129.1
OG0000152	WP_126377470.1	WP_205219848.1
OG0000152	WP_126381066.1	WP_205219850.1
OG0000153	WP_126377256.1	WP_205219644.1
OG0000153	WP_126379795.1	WP_275888937.1
OG0000154	WP_126380855.1	WP_205217327.1
OG0000155	WP_126378376.1, WP_126377489.1	WP_240192148.1
OG0000160	WP_126379093.1	WP_240191992.1, WP_205217391.1
OG0000161	WP_232034768.1, WP_126378650.1	WP_205218217.1
OG0000162	WP_126375857.1, WP_172961809.1	WP_205218379.1
OG0000163	WP_126378343.1	WP_205218549.1, WP_205219249.1
OG0000164	WP_126378223.1	WP_205218897.1
OG0000164	WP_126377539.1	WP_205218605.1
OG0000166	WP_126377850.1	WP_205219180.1
OG0000167	WP_126380541.1	WP_205219005.1
OG0000169	WP_126376755.1	WP_205220075.1
OG0000170	WP_126377170.1	WP_205218419.1
OG0000172	WP_232034792.1	WP_205217862.1
OG0000174	WP_126378921.1	WP_205217656.1
OG0000180	WP_126376686.1, WP_126376684.1	WP_205220263.1, WP_205220264.1
OG0000181	WP_126380072.1	WP_205219295.1
OG0000182	WP_126377328.1	WP_205217742.1
OG0000183	WP_126375665.1	WP_240191953.1
OG0000184	WP_126380301.1	WP_205219494.1
OG0000185	WP_126378072.1	WP_205218823.1
OG0000186	WP_126376620.1	WP_205217642.1
OG0000187	WP_126376003.1	WP_205217955.1, WP_205217942.1
OG0000190	WP_126377864.1	WP_205218562.1
OG0000192	WP_232034818.1, WP_126379340.1	WP_205220299.1
OG0000193	WP_126377830.1	WP_240191910.1
OG0000194	WP_126378106.1	WP_240191899.1
OG0000194	WP_126375723.1	WP_205218538.1
OG0000195	WP_126381648.1, WP_126380634.1	WP_205219651.1
OG0000196	WP_126375667.1	WP_205217764.1
OG0000199	WP_126375709.1	WP_205218113.1, WP_205217464.1
OG0000201	WP_126377684.1	WP_205217441.1
OG0000202	WP_126376358.1	WP_205219316.1
OG0000202	WP_126375680.1	WP_205220037.1
OG0000204	WP_172961790.1	WP_240191983.1
OG0000204	WP_172961728.1, WP_126378027.1	WP_205218304.1
OG0000207	WP_126380263.1	WP_205218036.1, WP_205219126.1
OG0000207	WP_126381038.1	WP_205218366.1
OG0000208	WP_126381041.1	WP_205218367.1
OG0000208	WP_126380261.1	WP_205218037.1, WP_205219125.1
OG0000209	WP_126378432.1	WP_205219630.1
OG0000210	WP_126379481.1	WP_205220183.1, WP_205218604.1
OG0000211	WP_197723434.1	WP_205219339.1
OG0000215	WP_126379387.1	WP_240192049.1
OG0000216	WP_126381405.1	WP_205218263.1
OG0000217	WP_126377388.1	WP_205218771.1
OG0000218	WP_126377380.1	WP_205218878.1
OG0000219	WP_126377392.1	WP_240191915.1
OG0000220	WP_126377954.1	WP_205219103.1
OG0000221	WP_232034814.1	WP_205218650.1, WP_205219290.1, WP_275888997.1
OG0000222	WP_126377752.1, WP_126380413.1	WP_205219254.1
OG0000223	WP_126379433.1	WP_205218711.1
OG0000224	WP_126375687.1	WP_205218600.1
OG0000225	WP_126381110.1	WP_205217392.1
OG0000227	WP_126380765.1	WP_205219130.1
OG0000227	WP_126380781.1	WP_205217886.1
OG0000228	WP_126380386.1	WP_205220231.1
OG0000228	WP_126378318.1	WP_205219809.1
OG0000230	WP_126376561.1	WP_205219065.1
OG0000232	WP_126376907.1, WP_197723452.1	WP_205218345.1
OG0000233	WP_126379699.1	WP_240192116.1
OG0000234	WP_126375880.1, WP_172961661.1, WP_126375783.1	WP_205218677.1
OG0000235	WP_126379765.1	WP_240192153.1
OG0000237	WP_126377266.1, WP_126377794.1	WP_205218378.1, WP_205217881.1
OG0000238	WP_232034849.1	WP_205219359.1, WP_205217607.1
OG0000239	WP_126380937.1	WP_205218936.1
OG0000243	WP_152034911.1	WP_240192155.1
OG0000248	WP_126376690.1	WP_205219321.1
OG0000252	WP_126375668.1	WP_205218581.1, WP_205217763.1
OG0000253	WP_232034747.1	WP_205217628.1
OG0000257	WP_126377805.1	WP_205218346.1
OG0000259	WP_126380949.1	WP_205218163.1
OG0000261	WP_232034914.1	WP_205219746.1
OG0000264	WP_126380686.1	WP_275888954.1, WP_205218431.1
OG0000265	WP_126380688.1	WP_205218056.1, WP_205218429.1
OG0000266	WP_126380663.1	WP_205218059.1, WP_205217485.1
OG0000270	WP_126380933.1	WP_205217873.1
OG0000271	WP_126381034.1	WP_205217707.1
OG0000272	WP_126379423.1	WP_205219285.1, WP_205219287.1
OG0000273	WP_126376722.1	WP_205218287.1
OG0000274	WP_126376851.1	WP_205220226.1
OG0000274	WP_126379464.1	WP_205218796.1
OG0000275	WP_126380161.1, WP_232034933.1	WP_205218614.1
OG0000277	WP_232034831.1	WP_205220291.1
OG0000278	WP_126375672.1	WP_205217759.1
OG0000282	WP_126375738.1	WP_205219859.1
OG0000283	WP_126377400.1	WP_275888985.1
OG0000285	WP_126380954.1	WP_205218739.1
OG0000286	WP_232034878.1	WP_205219747.1
OG0000288	WP_126377408.1	WP_205217354.1
OG0000290	WP_126381196.1	WP_205219839.1
OG0000291	WP_126377018.1	WP_205218886.1
OG0000292	WP_126378090.1	WP_240192117.1
OG0000293	WP_126375664.1	WP_205218586.1, WP_240191945.1
OG0000296	WP_126376968.1	WP_205218418.1
OG0000297	WP_172961716.1, WP_126380746.1	WP_205220467.1, WP_205218547.1
OG0000299	WP_232034802.1	WP_205219229.1, WP_205217776.1
OG0000300	WP_126376664.1	WP_205218591.1
OG0000301	WP_232034778.1	WP_275888940.1
OG0000302	WP_126376779.1, WP_126381011.1	WP_205219478.1
OG0000307	WP_232034834.1	WP_205217755.1
OG0000308	WP_126375669.1	WP_205218580.1, WP_205217762.1
OG0000309	WP_126379200.1	WP_205217461.1
OG0000311	WP_126377668.1, WP_126380177.1	WP_205219196.1
OG0000312	WP_126380979.1	WP_205217647.1
OG0000313	WP_126375836.1	WP_205219525.1
OG0000314	WP_126375671.1	WP_205218578.1, WP_205217760.1
OG0000316	WP_126376218.1	WP_205218588.1
OG0000316	WP_126375979.1	WP_205220128.1
OG0000320	WP_126380370.1	WP_205217581.1
OG0000321	WP_232034945.1	WP_205219893.1
OG0000322	WP_126380599.1	WP_205219598.1
OG0000325	WP_172961723.1, WP_126376600.1	WP_205219843.1
OG0000326	WP_126375696.1	WP_205217341.1, WP_240192136.1
OG0000327	WP_126379184.1	WP_205219777.1
OG0000332	WP_126377537.1	WP_205219138.1
OG0000333	WP_126380825.1	WP_205217404.1
OG0000335	WP_126380917.1	WP_240192018.1
OG0000336	WP_126380948.1	WP_205218164.1
OG0000338	WP_126379709.1	WP_205217490.1
OG0000339	WP_126375542.1	WP_205220081.1
OG0000340	WP_126379916.1	WP_205218789.1
OG0000343	WP_126378734.1	WP_205217627.1
OG0000344	WP_126379008.1	WP_205218262.1
OG0000345	WP_172961637.1	WP_205217480.1
OG0000347	WP_126380129.1	WP_205219230.1
OG0000348	WP_232034790.1	WP_205218791.1
OG0000349	WP_126377264.1	WP_205219748.1
OG0000352	WP_126377336.1	WP_205217504.1
OG0000353	WP_126378808.1, WP_126381186.1	WP_205218764.1
OG0000354	WP_126375853.1	WP_205220253.1
OG0000355	WP_126381547.1	WP_205218649.1
OG0000356	WP_126377915.1	WP_205218114.1
OG0000357	WP_126376942.1	WP_205219318.1, WP_205217812.1
OG0000358	WP_126377529.1	WP_205218079.1
OG0000359	WP_126381036.1	WP_205218171.1
OG0000360	WP_126380696.1	WP_205217452.1
OG0000361	WP_126379495.1	WP_205217741.1
OG0000363	WP_126377101.1	WP_205217706.1
OG0000364	WP_232034851.1	WP_205219523.1
OG0000365	WP_126379797.1	WP_205218267.1
OG0000366	WP_126376476.1, WP_126376478.1	WP_275888945.1
OG0000367	WP_126379291.1	WP_240191917.1
OG0000369	WP_126379783.1	WP_205218202.1, WP_205218200.1, WP_205218199.1, WP_205218201.1
OG0000370	WP_126380722.1	WP_240192102.1, WP_205217374.1
OG0000372	WP_126376919.1	WP_205218561.1
OG0000372	WP_172961812.1, WP_126381285.1	WP_205217324.1
OG0000373	WP_126377043.1, WP_126376917.1	WP_205218559.1
OG0000376	WP_126375867.1, WP_126377201.1	WP_240192120.1
OG0000380	WP_126377282.1	WP_205220206.1
OG0000381	WP_126376913.1	WP_205217576.1
OG0000383	WP_126376204.1	WP_240191982.1
OG0000383	WP_126375889.1	WP_205219660.1
OG0000383	WP_126378000.1	WP_205219427.1
OG0000384	WP_126379878.1	WP_205218413.1
OG0000386	WP_126379713.1	WP_205219719.1, WP_205218041.1
OG0000388	WP_126379499.1	WP_205217746.1
OG0000389	WP_126380280.1	WP_205217531.1
OG0000390	WP_126380496.1	WP_240192167.1
OG0000391	WP_126377020.1	WP_205219766.1
OG0000392	WP_126377803.1	WP_275889000.1, WP_205218215.1
OG0000393	WP_126377464.1	WP_205218954.1
OG0000394	WP_126376132.1	WP_205218909.1
OG0000395	WP_126377729.1	WP_205219981.1
OG0000396	WP_126380788.1	WP_205218452.1
OG0000398	WP_126375829.1	WP_205219765.1
OG0000399	WP_126376541.1	WP_240192074.1
OG0000400	WP_126375999.1	WP_205219816.1
OG0000401	WP_126377286.1	WP_205219368.1
OG0000403	WP_232034756.1	WP_205217733.1
OG0000404	WP_232034883.1	WP_205217616.1
OG0000406	WP_126380117.1	WP_205217506.1
OG0000407	WP_126375697.1	WP_205217713.1
OG0000408	WP_126376130.1	WP_205218451.1
OG0000409	WP_126375727.1	WP_205218129.1
OG0000410	WP_126375949.1	WP_205217356.1
OG0000411	WP_126380543.1	WP_240192044.1
OG0000413	WP_126379336.1	WP_205217469.1
OG0000414	WP_126380931.1	WP_205217875.1
OG0000418	WP_126380654.1	WP_205217768.1
OG0000419	WP_232034936.1, WP_126376652.1	WP_205219837.1
OG0000422	WP_126380163.1, WP_126379072.1	WP_205218454.1
OG0000423	WP_126380506.1	WP_205218959.1
OG0000424	WP_232034868.1	WP_205218567.1
OG0000425	WP_126380914.1	WP_205220198.1
OG0000427	WP_126377181.1	WP_240191961.1
OG0000428	WP_126379265.1	WP_205217735.1
OG0000433	WP_126380900.1	WP_205219208.1
OG0000435	WP_126381045.1	WP_205217363.1
OG0000438	WP_197723444.1	WP_205219696.1
OG0000439	WP_126378807.1, WP_126381188.1	WP_205219736.1
OG0000440	WP_126380955.1	WP_205218572.1
OG0000441	WP_126378080.1	WP_205218891.1
OG0000444	WP_126378345.1	WP_240192150.1
OG0000447	WP_126379793.1	WP_205220334.1
OG0000448	WP_126379186.1	WP_205219778.1
OG0000451	WP_172961703.1	WP_205219345.1
OG0000457	WP_126380273.1	WP_240192041.1
OG0000458	WP_126379457.1	WP_205218916.1
OG0000459	WP_126378236.1	WP_205218112.1
OG0000460	WP_197723457.1	WP_205219183.1
OG0000461	WP_126376122.1	WP_205217709.1
OG0000463	WP_126378471.1, WP_126378644.1	WP_205219782.1
OG0000464	WP_172961791.1	WP_205220375.1
OG0000464	WP_126380647.1	WP_205218619.1
OG0000465	WP_126379779.1	WP_205219553.1
OG0000466	WP_126377342.1	WP_205219574.1
OG0000467	WP_126377723.1	WP_275888973.1
OG0000468	WP_126379910.1	WP_205218748.1
OG0000469	WP_126377360.1	WP_205217491.1
OG0000470	WP_126378919.1	WP_205218902.1
OG0000471	WP_126380492.1	WP_205218800.1
OG0000472	WP_126378642.1, WP_126377824.1	WP_205218167.1
OG0000473	WP_126377396.1	WP_205218594.1
OG0000475	WP_126380674.1	WP_240191922.1
OG0000476	WP_126380693.1	WP_205217449.1
OG0000477	WP_126379238.1	WP_205218449.1
OG0000478	WP_126379010.1	WP_205218261.1
OG0000479	WP_126378348.1	WP_275889017.1
OG0000480	WP_126375801.1	WP_205217922.1
OG0000483	WP_126379810.1	WP_205218016.1
OG0000484	WP_126380284.1	WP_205217459.1
OG0000485	WP_126378350.1	WP_240192151.1
OG0000486	WP_126379287.1	WP_240192058.1
OG0000487	WP_126380961.1	WP_205218131.1
OG0000488	WP_126379525.1	WP_205218506.1
OG0000489	WP_126377067.1	WP_205219267.1
OG0000490	WP_172961760.1	WP_205219099.1
OG0000491	WP_126379485.1	WP_205219120.1
OG0000492	WP_126377713.1	WP_205219754.1
OG0000493	WP_126377410.1	WP_205217497.1
OG0000494	WP_172961673.1	WP_205218563.1
OG0000495	WP_126376099.1	WP_205218729.1
OG0000496	WP_126375923.1	WP_205217666.1
OG0000497	WP_126377812.1	WP_240192032.1
OG0000498	WP_172961654.1	WP_205218691.1
OG0000500	WP_126377826.1	WP_205217905.1
OG0000501	WP_172961582.1	WP_240192165.1
OG0000502	WP_126378238.1	WP_205218110.1
OG0000503	WP_126377195.1	WP_205220151.1
OG0000504	WP_126377731.1	WP_205217355.1
OG0000505	WP_126378085.1	WP_205219666.1
OG0000507	WP_126376835.1	WP_205217438.1
OG0000509	WP_126376116.1	WP_205218546.1
OG0000510	WP_126380646.1	WP_205218853.1
OG0000511	WP_126377183.1	WP_205218437.1
OG0000512	WP_126380757.1	WP_205219193.1
OG0000513	WP_126380673.1	WP_205217560.1
OG0000514	WP_126375935.1	WP_205218175.1
OG0000515	WP_232034909.1	WP_205219781.1
OG0000516	WP_126378465.1	WP_205217710.1
OG0000517	WP_126377799.1	WP_205220396.1
OG0000520	WP_126379338.1	WP_205220133.1
OG0000521	WP_126380820.1	WP_205219612.1
OG0000522	WP_126377013.1	WP_205218124.1
OG0000523	WP_126376393.1	WP_205219825.1
OG0000526	WP_126375981.1	WP_205220125.1
OG0000529	WP_126378081.1	WP_205218420.1
OG0000530	WP_232034793.1	WP_205218899.1
OG0000531	WP_126375893.1	WP_205219838.1
OG0000532	WP_126377676.1	WP_205218675.1
OG0000533	WP_126375945.1	WP_205217510.1
OG0000534	WP_126377444.1	WP_205219402.1
OG0000535	WP_126379224.1	WP_205219617.1
OG0000536	WP_126379271.1	WP_240191994.1
OG0000538	WP_126380854.1	WP_205218780.1
OG0000539	WP_126376287.1, WP_172961816.1	WP_205217783.1
OG0000540	WP_126375989.1	WP_205219210.1
OG0000541	WP_126379308.1	WP_205219886.1
OG0000542	WP_126375953.1	WP_205217495.1
OG0000543	WP_126380762.1	WP_205220278.1
OG0000544	WP_126376662.1	WP_205218590.1
OG0000545	WP_126377049.1	WP_205217421.1
OG0000546	WP_126377155.1	WP_205219329.1
OG0000547	WP_126379018.1	WP_205219929.1
OG0000548	WP_126377086.1	WP_205217478.1
OG0000549	WP_126379236.1	WP_205220069.1
OG0000550	WP_126378469.1	WP_240192054.1
OG0000555	WP_126377511.1	WP_205219625.1
OG0000558	WP_232034822.1	WP_205219892.1
OG0000561	WP_126377792.1	WP_205219465.1
OG0000562	WP_126375568.1	WP_205217553.1
OG0000564	WP_126379555.1	WP_205218994.1
OG0000565	WP_126381437.1	WP_205218993.1
OG0000568	WP_126381234.1	WP_205219610.1
OG0000569	WP_126378372.1	WP_205219985.1
OG0000570	WP_126377743.1	WP_205217437.1
OG0000571	WP_126376091.1	WP_205217567.1
OG0000573	WP_126377199.1, WP_126376885.1, WP_126378211.1, WP_126376234.1, WP_126375560.1	WP_205220024.1
OG0000575	WP_126376941.1	WP_205219319.1
OG0000576	WP_126376937.1	WP_205220238.1
OG0000577	WP_126377364.1	WP_205219226.1
OG0000578	WP_126380394.1	WP_205218542.1
OG0000579	WP_126380745.1	WP_205218548.1
OG0000580	WP_232034916.1	WP_205219652.1
OG0000581	WP_126376006.1	WP_205217953.1
OG0000582	WP_126375633.1	WP_205217424.1
OG0000584	WP_126379759.1	WP_205218446.1
OG0000585	WP_126379757.1	WP_205218445.1
OG0000586	WP_126381445.1	WP_205218444.1
OG0000587	WP_126376883.1	WP_205219068.1
OG0000588	WP_126379697.1	WP_205218441.1
OG0000589	WP_126376001.1	WP_205219775.1
OG0000590	WP_126375878.1	WP_205218457.1
OG0000591	WP_126376962.1	WP_205219327.1
OG0000592	WP_126380852.1	WP_205219066.1
OG0000593	WP_126379359.1	WP_205218486.1
OG0000594	WP_126376270.1	WP_205217503.1
OG0000595	WP_126380213.1	WP_205218673.1
OG0000596	WP_232034872.1	WP_205218108.1
OG0000597	WP_126377437.1	WP_205218730.1
OG0000598	WP_126378738.1	WP_205217625.1
OG0000599	WP_126377651.1	WP_205218140.1
OG0000600	WP_232034783.1	WP_205217588.1
OG0000601	WP_126375798.1	WP_205219323.1
OG0000603	WP_172961647.1	WP_240191991.1
OG0000604	WP_172961633.1	WP_205219036.1
OG0000605	WP_172961652.1	WP_205219056.1
OG0000607	WP_126380956.1	WP_240191928.1
OG0000608	WP_126376126.1	WP_205217708.1
OG0000609	WP_126379577.1	WP_240192100.1
OG0000610	WP_126376379.1	WP_205217907.1
OG0000611	WP_126379531.1	WP_205219064.1
OG0000612	WP_126379314.1	WP_205218918.1
OG0000613	WP_126379316.1	WP_205218919.1
OG0000615	WP_126378874.1	WP_205217915.1
OG0000616	WP_126378878.1	WP_205217914.1
OG0000617	WP_126376041.1	WP_205217940.1
OG0000618	WP_126376046.1	WP_205217938.1
OG0000619	WP_126376048.1	WP_205217937.1
OG0000620	WP_126376050.1	WP_205217936.1
OG0000621	WP_126376052.1	WP_205217935.1
OG0000622	WP_126380448.1	WP_205219259.1
OG0000623	WP_126378477.1	WP_205219817.1
OG0000624	WP_126380959.1	WP_205218135.1
OG0000625	WP_126380958.1	WP_205218136.1
OG0000626	WP_126376462.1	WP_205219413.1
OG0000627	WP_126376381.1	WP_205217906.1
OG0000628	WP_126376976.1	WP_240191905.1
OG0000629	WP_126378083.1	WP_205219678.1, WP_205219665.1
OG0000630	WP_126376751.1	WP_205217508.1
OG0000631	WP_126376746.1	WP_205217509.1
OG0000632	WP_126380336.1	WP_205219650.1
OG0000633	WP_126378790.1	WP_205218065.1
OG0000634	WP_126377709.1	WP_205219197.1
OG0000635	WP_126375827.1	WP_205219807.1
OG0000637	WP_126379493.1	WP_205217740.1
OG0000638	WP_126376107.1	WP_205219253.1
OG0000639	WP_126379579.1	WP_205219776.1
OG0000640	WP_126379219.1	WP_205218166.1
OG0000641	WP_126379074.1	WP_205218910.1
OG0000642	WP_126380125.1	WP_205219556.1
OG0000643	WP_126376704.1	WP_205219124.1
OG0000644	WP_126380824.1	WP_205220191.1
OG0000645	WP_126377725.1	WP_205219573.1
OG0000646	WP_126378721.1	WP_205217633.1
OG0000647	WP_126378723.1	WP_240191938.1
OG0000648	WP_126378730.1	WP_205217629.1
OG0000649	WP_126376706.1	WP_205219123.1
OG0000650	WP_126380766.1	WP_205219129.1
OG0000651	WP_126380763.1	WP_205220279.1
OG0000652	WP_126376389.1	WP_205219827.1
OG0000653	WP_126379918.1	WP_205219060.1
OG0000654	WP_126375634.1	WP_205217423.1
OG0000655	WP_126380776.1	WP_205217444.1
OG0000656	WP_126377580.1	WP_205217793.1
OG0000657	WP_126377582.1	WP_205217794.1
OG0000658	WP_126377595.1	WP_205217799.1
OG0000659	WP_126377597.1	WP_205217800.1
OG0000660	WP_126378777.1	WP_205217770.1
OG0000661	WP_126378775.1	WP_205217771.1
OG0000662	WP_126376545.1	WP_205219263.1
OG0000663	WP_232034830.1	WP_205218622.1
OG0000664	WP_126377673.1	WP_205218676.1
OG0000665	WP_126380819.1	WP_275888932.1
OG0000667	WP_126380844.1	WP_205218606.1
OG0000669	WP_126378115.1	WP_240191924.1
OG0000670	WP_126375751.1	WP_205217618.1
OG0000671	WP_126379487.1	WP_205218683.1
OG0000672	WP_126381098.1	WP_205217501.1
OG0000673	WP_126377442.1	WP_240192152.1
OG0000674	WP_126380965.1	WP_205218740.1
OG0000675	WP_126380265.1	WP_205218692.1
OG0000676	WP_126377491.1	WP_205219061.1
OG0000677	WP_126376083.1	WP_205217919.1
OG0000678	WP_126376081.1	WP_205217920.1
OG0000679	WP_126379325.1	WP_205218924.1
OG0000680	WP_126379512.1	WP_205217962.1
OG0000681	WP_126376017.1	WP_205217948.1
