Orthogroup	Desulfovibrio ferrophilus IS5	Desulfocapsa_13_biocide
OG0000027	WP_126376537.1, WP_126377878.1	Utg863716_17, Utg857300_35, Utg857300_34, Utg857046_152, Utg857046_153
OG0000028	WP_126381116.1	Utg864866_101, Utg860006_30, Utg864866_102
OG0000028	WP_126378035.1, WP_126379735.1, WP_126378025.1	Utg860814_34
OG0000029	WP_126380700.1	Utg859750_95
OG0000029	WP_172961565.1	Utg859982_26
OG0000030	WP_126375863.1	Utg861744_16
OG0000030	WP_126376783.1	Utg857994_103
OG0000030	WP_126380627.1	Utg857152_237
OG0000031	WP_126379174.1	Utg857490_1
OG0000031	WP_126376771.1	Utg857076_58
OG0000031	WP_126380000.1	Utg857152_167, Utg859388_158
OG0000033	WP_126380666.1	Utg860814_171
OG0000035	WP_232034774.1, WP_126381133.1, WP_172961635.1, WP_126376101.1	Utg857152_33
OG0000036	WP_126379902.1	Utg857682_165
OG0000038	WP_232034908.1	Utg860006_50
OG0000038	WP_126376738.1	Utg860814_278
OG0000039	WP_126379639.1	Utg857046_262, Utg859098_367
OG0000040	WP_126380168.1	Utg860814_311
OG0000041	WP_172961587.1	Utg857046_101
OG0000042	WP_126379529.1	Utg857152_197
OG0000043	WP_126380768.1	Utg857300_6
OG0000043	WP_126380936.1	Utg859236_121
OG0000046	WP_126379445.1	Utg860006_158
OG0000046	WP_126375663.1	Utg857152_215
OG0000047	WP_172961741.1	Utg858432_158, Utg857046_163
OG0000048	WP_126381030.1	Utg857682_54
OG0000048	WP_126379303.1	Utg857046_28
OG0000049	WP_172961615.1	Utg857152_93
OG0000051	WP_126376773.1	Utg857076_57
OG0000051	WP_126379995.1	Utg857046_216, Utg857152_166, Utg859388_159, Utg859388_160
OG0000052	WP_126380843.1	Utg857682_28, Utg857046_241, Utg857994_129, Utg857152_135
OG0000053	WP_126381249.1	Utg859388_13
OG0000053	WP_126377151.1	Utg857046_30
OG0000055	WP_126379655.1	Utg859098_163
OG0000056	WP_126380518.1	Utg859098_380
OG0000058	WP_126375819.1	Utg860814_210
OG0000059	WP_232034798.1	Utg859098_365
OG0000060	WP_126379040.1, WP_232034744.1	Utg859388_118, Utg857300_57, Utg866558_9
OG0000061	WP_126381032.1	Utg857682_55
OG0000063	WP_126380494.1	Utg859388_77
OG0000064	WP_126377057.1	Utg860006_63, Utg859750_77
OG0000065	WP_126379932.1	Utg864866_69
OG0000065	WP_126379160.1	Utg859750_21
OG0000069	WP_126379705.1	Utg857682_89, Utg857076_29
OG0000070	WP_126378422.1, WP_232034886.1	Utg859098_224
OG0000071	WP_126379791.1, WP_126376680.1	Utg857046_242, Utg859076_12
OG0000071	WP_126379188.1	Utg859982_10
OG0000071	WP_126381068.1	Utg860814_115
OG0000072	WP_126376668.1	Utg857046_243
OG0000072	WP_126378397.1	Utg859982_9
OG0000072	WP_126381070.1	Utg860814_114
OG0000075	WP_126375865.1	Utg861744_17
OG0000075	WP_126380626.1	Utg857152_236
OG0000075	WP_126376787.1, WP_126376781.1	Utg857994_104
OG0000076	WP_126375693.1, WP_126381049.1	Utg861744_5
OG0000076	WP_172961659.1	Utg859076_57, Utg860814_43, Utg859098_152
OG0000077	WP_126377449.1	Utg857994_161
OG0000078	WP_172961764.1	Utg859982_201, Utg859982_200
OG0000078	WP_126376995.1, WP_126376997.1	Utg860814_279, Utg857152_21
OG0000079	WP_232034839.1	Utg861744_10, Utg859750_81
OG0000082	WP_172961569.1	Utg859388_21
OG0000082	WP_232034762.1, WP_126379022.1, WP_126377927.1, WP_126380332.1, WP_126380330.1	Utg859098_98
OG0000084	WP_126379819.1	Utg859236_68
OG0000085	WP_126381273.1	Utg860814_319, Utg860814_167
OG0000086	WP_126375833.1	Utg860006_109
OG0000087	WP_126379228.1	Utg858432_79
OG0000088	WP_126376259.1	Utg859236_115, Utg859236_116, Utg859076_58, Utg859098_154, Utg859098_153
OG0000091	WP_126379497.1	Utg859388_68
OG0000092	WP_126378232.1	Utg860814_99
OG0000093	WP_126377889.1, WP_126380751.1	Utg859750_86
OG0000094	WP_126379747.1	Utg858494_66
OG0000095	WP_232034876.1	Utg860006_150
OG0000097	WP_126380356.1	Utg861744_24
OG0000098	WP_126381073.1	Utg860814_113
OG0000098	WP_126381415.1	Utg859982_8
OG0000098	WP_126378399.1	Utg859076_14
OG0000101	WP_126380553.1, WP_126376877.1	Utg865370_31, Utg859750_57
OG0000103	WP_126375876.1	Utg857046_198, Utg857152_173
OG0000104	WP_126377346.1, WP_126377988.1	Utg857046_251
OG0000105	WP_126379501.1	Utg859388_70, Utg860814_77
OG0000106	WP_126380444.1	Utg857076_51, Utg857300_18, Utg857046_214
OG0000107	WP_126375961.1	Utg860814_263, Utg860814_264
OG0000110	WP_232034912.1	Utg861744_6
OG0000110	WP_126379985.1, WP_126376245.1	Utg859076_54, Utg859098_150
OG0000111	WP_126379900.1	Utg857682_166
OG0000112	WP_126377306.1, WP_126379449.1	Utg857152_85, Utg857682_172
OG0000114	WP_126377356.1	Utg858494_132
OG0000114	WP_126376037.1	Utg863716_30
OG0000115	WP_126377362.1	Utg857152_65
OG0000115	WP_126376861.1	Utg860006_127
OG0000117	WP_126380925.1	Utg864866_33
OG0000118	WP_126381543.1	Utg864866_34
OG0000122	WP_172961804.1	Utg860814_103
OG0000123	WP_126376807.1	Utg861744_8
OG0000126	WP_126379210.1	Utg859388_82
OG0000127	WP_126379366.1, WP_126379368.1	Utg857490_17
OG0000128	WP_232034755.1	Utg863716_100, Utg859098_212
OG0000129	WP_126376839.1	Utg857682_35
OG0000130	WP_172961687.1, WP_126380098.1, WP_126379042.1	Utg864866_91, Utg857992_39
OG0000131	WP_126380299.1	Utg857994_138
OG0000131	WP_232034794.1	Utg859236_14
OG0000132	WP_126378656.1	Utg859098_255
OG0000133	WP_232034812.1	Utg864866_36
OG0000134	WP_126377750.1	Utg859098_168
OG0000135	WP_126380248.1	Utg857152_96
OG0000136	WP_126377707.1	Utg859098_181
OG0000137	WP_126376304.1	Utg860814_175, Utg858432_69, Utg857994_122, Utg860814_174, Utg859982_120
OG0000138	WP_232034766.1	Utg859388_169
OG0000142	WP_126377727.1	Utg860814_204
OG0000143	WP_126376543.1, WP_126377487.1, WP_126375622.1	Utg859750_71
OG0000144	WP_126379267.1	Utg859388_58
OG0000145	WP_126376563.1	Utg860814_102, Utg860814_101
OG0000147	WP_126378684.1	Utg859388_119
OG0000148	WP_126380856.1, WP_126375591.1	Utg859236_120
OG0000150	WP_126377334.1	Utg859982_197, Utg857046_26, Utg857152_38
OG0000152	WP_126377470.1	Utg860814_109
OG0000152	WP_126381066.1	Utg860814_116
OG0000154	WP_126380855.1	Utg865370_5
OG0000155	WP_126378376.1, WP_126377489.1	Utg859098_381
OG0000158	WP_126379801.1, WP_126378159.1	Utg859098_391
OG0000158	WP_126376027.1	Utg863716_72
OG0000159	WP_126381351.1, WP_126380841.1	Utg857994_88
OG0000160	WP_126379093.1	Utg863716_47
OG0000162	WP_126375857.1, WP_172961809.1	Utg857046_72
OG0000163	WP_126378343.1	Utg861744_18, Utg857076_25
OG0000164	WP_126377539.1	Utg857300_2
OG0000166	WP_126377850.1	Utg858432_139
OG0000166	WP_126376718.1	Utg861744_93
OG0000167	WP_126380541.1	Utg864866_73, Utg859982_154
OG0000169	WP_126376755.1	Utg859982_43
OG0000169	WP_126376344.1	Utg859098_429
OG0000170	WP_126377170.1	Utg857152_75, Utg857152_74
OG0000172	WP_232034792.1	Utg860006_25
OG0000174	WP_126378921.1	Utg860814_189
OG0000176	WP_126377398.1	Utg859982_112
OG0000178	WP_172961806.1	Utg857046_4
OG0000178	WP_126376909.1, WP_126376611.1	Utg861744_102
OG0000179	WP_126379401.1, WP_126379755.1, WP_126377123.1, WP_126377121.1, WP_126378894.1, WP_126375971.1, WP_126379261.1	Utg859098_69, Utg859098_70
OG0000180	WP_126376686.1, WP_126376684.1	Utg859236_79
OG0000182	WP_126377328.1	Utg859388_65
OG0000183	WP_126375665.1	Utg862138_16
OG0000184	WP_126380301.1	Utg859388_167
OG0000186	WP_126376620.1	Utg859236_122, Utg857994_70
OG0000187	WP_126376003.1	Utg858494_144, Utg858494_131
OG0000188	WP_126380802.1	Utg857152_35
OG0000189	WP_126379679.1	Utg860006_69
OG0000190	WP_126377864.1	Utg864866_78
OG0000193	WP_126377830.1	Utg859750_20
OG0000194	WP_126378106.1	Utg861744_61
OG0000194	WP_126375723.1	Utg861744_41
OG0000195	WP_126381648.1, WP_126380634.1	Utg859098_286, Utg860814_283
OG0000196	WP_126375667.1	Utg862138_14
OG0000199	WP_126375709.1	Utg857152_82, Utg859098_216
OG0000201	WP_126377684.1	Utg859750_26
OG0000202	WP_126376358.1	Utg857682_175
OG0000202	WP_126375680.1	Utg857300_47
OG0000203	WP_126380446.1	Utg857076_50, Utg857300_19
OG0000203	WP_126376516.1	Utg857076_65
OG0000204	WP_172961790.1	Utg857152_212
OG0000204	WP_172961728.1, WP_126378027.1	Utg860814_30
OG0000205	WP_172961692.1, WP_126380899.1	Utg857682_46
OG0000206	WP_126378269.1	Utg857152_170, Utg857152_169
OG0000207	WP_126381038.1	Utg857682_58
OG0000208	WP_126381041.1	Utg857682_59
OG0000209	WP_126378432.1	Utg857046_253
OG0000210	WP_126379481.1	Utg857300_1
OG0000211	WP_126378828.1, WP_197723434.1, WP_126377139.1	Utg859432_43
OG0000215	WP_126379387.1	Utg861744_111
OG0000216	WP_126380832.1	Utg857046_32
OG0000217	WP_126377388.1	Utg859236_44
OG0000218	WP_126377380.1	Utg861448_5
OG0000219	WP_126377392.1	Utg859098_413, Utg860814_128, Utg857152_18
OG0000221	WP_232034814.1	Utg860814_94
OG0000222	WP_126377752.1, WP_126380413.1	Utg857076_18
OG0000223	WP_126379433.1	Utg859388_18
OG0000224	WP_126375687.1	Utg859982_58, Utg857682_161
OG0000225	WP_126381110.1	Utg859982_121, Utg864866_44
OG0000226	WP_232034915.1	Utg857152_57
OG0000227	WP_126380765.1	Utg857992_19
OG0000228	WP_126378318.1	Utg857994_154
OG0000230	WP_126376561.1	Utg859098_371, Utg859098_166
OG0000232	WP_126376907.1	Utg859982_75, Utg859982_74
OG0000232	WP_197723452.1	Utg859982_73
OG0000233	WP_126379699.1	Utg859098_376
OG0000234	WP_126375880.1, WP_172961661.1, WP_126375783.1	Utg860006_56
OG0000235	WP_126379765.1	Utg863716_45
OG0000235	WP_126375707.1	Utg857152_83
OG0000236	WP_126377990.1, WP_172961753.1, WP_126381003.1	Utg859098_221
OG0000237	WP_126377266.1, WP_126377794.1	Utg861744_115, Utg857682_142
OG0000238	WP_197723431.1	Utg857682_83
OG0000238	WP_232034849.1	Utg857046_99, Utg857682_139
OG0000239	WP_126380937.1	Utg859236_56
OG0000240	WP_126381024.1, WP_126379988.1, WP_126381060.1	Utg859098_373, Utg860814_39
OG0000241	WP_197723440.1	Utg859236_55, Utg859236_102
OG0000242	WP_172961595.1	Utg859098_136, Utg866558_40, Utg859098_132
OG0000243	WP_152034911.1	Utg857682_39, Utg859236_70
OG0000244	WP_126379395.1	Utg859982_52
OG0000246	WP_126378633.1	Utg859098_58
OG0000248	WP_126376690.1	Utg859432_49
OG0000250	WP_126377694.1, WP_126381114.1, WP_126376970.1	Utg859098_87
OG0000252	WP_126375668.1	Utg859982_218, Utg862138_13
OG0000253	WP_232034747.1, WP_126378732.1	Utg858432_42
OG0000254	WP_126379613.1, WP_126379617.1	Utg859076_2
OG0000255	WP_126376715.1	Utg861744_84
OG0000257	WP_126377805.1	Utg859236_23
OG0000259	WP_126380949.1	Utg860006_137
OG0000260	WP_126376736.1	Utg860814_156
OG0000260	WP_126377383.1	Utg859432_35
OG0000261	WP_232034914.1	Utg860006_76
OG0000263	WP_172961789.1	Utg857682_148
OG0000264	WP_126380686.1	Utg857152_109
OG0000265	WP_126380688.1	Utg857152_107
OG0000266	WP_126380663.1	Utg857152_69
OG0000267	WP_126380945.1	Utg857046_62, Utg857046_61
OG0000270	WP_126380933.1	Utg864866_30
OG0000271	WP_126381034.1	Utg857682_56
OG0000272	WP_126379423.1	Utg859098_1, Utg859098_2
OG0000273	WP_126380880.1	Utg861448_18
OG0000273	WP_126376722.1	Utg858494_83
OG0000275	WP_126380161.1, WP_232034933.1	Utg857994_229, Utg857994_230, Utg857994_231
OG0000277	WP_232034831.1	Utg860006_51
OG0000278	WP_126375672.1	Utg862138_9
OG0000278	WP_126377776.1	Utg860006_100
OG0000280	WP_126379987.1, WP_232034773.1, WP_126376296.1	Utg859098_116, Utg859098_117, Utg859098_115
OG0000284	WP_232034785.1	Utg857300_22
OG0000285	WP_126380954.1	Utg859236_43
OG0000286	WP_232034878.1	Utg860006_77
OG0000288	WP_126377408.1	Utg859098_256
OG0000290	WP_126381196.1	Utg860006_88
OG0000292	WP_126378090.1	Utg857490_19
OG0000293	WP_126375664.1	Utg859982_224, Utg862138_17
OG0000295	WP_232034907.1	Utg857994_140
OG0000296	WP_126376968.1	Utg857152_73
OG0000297	WP_172961716.1, WP_126380746.1	Utg861744_20
OG0000299	WP_232034802.1	Utg862138_30
OG0000300	WP_126376664.1	Utg861744_126
OG0000301	WP_126376077.1	Utg858494_110
OG0000302	WP_126376779.1	Utg857076_54
OG0000302	WP_126381011.1	Utg865370_24
OG0000307	WP_232034834.1	Utg862138_5
OG0000308	WP_126375669.1	Utg859982_217, Utg862138_12
OG0000309	WP_126379200.1	Utg858494_46
OG0000312	WP_126380979.1	Utg858432_93
OG0000313	WP_126375836.1	Utg859982_66
OG0000314	WP_126375671.1	Utg859982_215, Utg862138_10
OG0000316	WP_126375979.1	Utg863716_86
OG0000318	WP_126376184.1	Utg857046_111
OG0000320	WP_126380370.1	Utg857152_126, Utg857152_127
OG0000321	WP_232034945.1	Utg859982_133
OG0000322	WP_126380599.1	Utg859098_38
OG0000323	WP_172961568.1	Utg857994_24
OG0000323	WP_172961580.1	Utg858494_38
OG0000324	WP_172961599.1	Utg859236_88
OG0000325	WP_172961723.1, WP_126376600.1	Utg864866_68, Utg857992_24, Utg866558_36
OG0000326	WP_126375696.1	Utg859236_22, Utg859236_21
OG0000327	WP_126378401.1	Utg859076_16
OG0000327	WP_126379184.1	Utg859982_6
OG0000332	WP_126377537.1	Utg857992_25, Utg857992_26
OG0000333	WP_126380825.1	Utg857152_84
OG0000334	WP_126378606.1	Utg857994_81, Utg861744_27
OG0000335	WP_126376726.1	Utg857046_39
OG0000335	WP_126380917.1	Utg857152_112
OG0000336	WP_126380948.1	Utg860006_136
OG0000339	WP_126375542.1	Utg859982_81
OG0000343	WP_126378734.1	Utg858432_41
OG0000344	WP_126379008.1	Utg857046_33
OG0000346	WP_126381013.1	Utg865370_23
OG0000346	WP_126376777.1	Utg857076_55
OG0000348	WP_232034790.1	Utg859076_6
OG0000349	WP_126377264.1	Utg860006_78
OG0000350	WP_126380698.1	Utg857682_131
OG0000351	WP_126380946.1	Utg857046_63
OG0000352	WP_126377336.1	Utg857152_37
OG0000353	WP_126378808.1, WP_126381186.1	Utg859982_181
OG0000355	WP_126381547.1	Utg860814_93
OG0000356	WP_126377915.1	Utg859098_215
OG0000357	WP_126376942.1	Utg859432_51
OG0000358	WP_126377529.1	Utg859098_231, Utg857152_203
OG0000359	WP_126381036.1	Utg857682_57
OG0000360	WP_126380696.1	Utg857490_30
OG0000361	WP_126379495.1	Utg859388_64
OG0000363	WP_126379097.1	Utg858432_4
OG0000364	WP_232034851.1	Utg858494_57, Utg863716_12, Utg863716_13
OG0000365	WP_126379797.1	Utg857152_129, Utg864866_79
OG0000366	WP_126376476.1, WP_126376478.1	Utg857152_194
OG0000367	WP_126379291.1	Utg864866_81, Utg864866_80
OG0000370	WP_126380722.1	Utg857994_37
OG0000372	WP_126376919.1	Utg857046_248
OG0000373	WP_126377043.1, WP_126376917.1	Utg857046_230
OG0000375	WP_126381106.1	Utg857152_124
OG0000379	WP_126378328.1, WP_126378217.1	Utg859076_60
OG0000380	WP_126377282.1	Utg858498_7
OG0000381	WP_126376913.1	Utg858432_57
OG0000382	WP_126379417.1, WP_126377929.1, WP_126380334.1, WP_126379024.1	Utg859098_99
OG0000383	WP_126376204.1	Utg857994_131
OG0000384	WP_126379878.1	Utg858432_115, Utg859098_420
OG0000386	WP_126379713.1	Utg859982_125
OG0000388	WP_126379499.1	Utg859388_69
OG0000390	WP_126380496.1	Utg859098_259
OG0000391	WP_126377020.1	Utg859388_80
OG0000392	WP_126377803.1	Utg859432_48
OG0000393	WP_126377464.1	Utg859388_122
OG0000394	WP_126376132.1	Utg858432_118
OG0000396	WP_126380788.1	Utg857046_205
OG0000398	WP_126375829.1	Utg859388_138, Utg857046_187
OG0000399	WP_126376541.1	Utg857994_19
OG0000400	WP_126375999.1	Utg857994_148
OG0000401	WP_126377286.1	Utg857490_22
OG0000403	WP_232034756.1	Utg859388_57
OG0000404	WP_232034883.1	Utg858432_29
OG0000406	WP_126380117.1	Utg858432_101
OG0000408	WP_126376130.1	Utg857046_206
OG0000409	WP_126375727.1	Utg859098_197, Utg859098_196
OG0000410	WP_126375949.1	Utg860814_206, Utg860814_207
OG0000412	WP_126379030.1	Utg866558_8
OG0000412	WP_172961686.1	Utg859388_117
OG0000413	WP_126379336.1	Utg862138_42
OG0000414	WP_126380931.1	Utg864866_32
OG0000417	WP_126380786.1	Utg857994_91
OG0000418	WP_126380654.1	Utg862138_20
OG0000419	WP_232034936.1, WP_126376652.1	Utg860006_86
OG0000422	WP_126380163.1, WP_126379072.1	Utg857046_203
OG0000423	WP_126380506.1	Utg859098_157
OG0000424	WP_232034868.1	Utg860814_75
OG0000425	WP_126380914.1	Utg858494_44, Utg858432_11
OG0000427	WP_126377181.1	Utg857490_6
OG0000428	WP_126379265.1	Utg859388_59
OG0000433	WP_232034808.1, WP_126380900.1	Utg857046_260
OG0000434	WP_126378271.1	Utg857046_132, Utg860814_138
OG0000438	WP_126375743.1	Utg859982_174
OG0000439	WP_126378807.1, WP_126381188.1	Utg859982_185
OG0000440	WP_126380955.1	Utg859982_195
OG0000441	WP_126378080.1	Utg864866_104
OG0000442	WP_126379906.1	Utg859076_63, Utg859236_124, Utg859098_171
OG0000444	WP_126378345.1	Utg859098_354
OG0000446	WP_126377113.1, WP_126379389.1, WP_126379406.1	Utg859098_101, Utg859098_100, Utg859076_48
OG0000448	WP_126379186.1	Utg859982_7
OG0000453	WP_172961603.1	Utg857152_117
OG0000454	WP_126380902.1	Utg859076_56
OG0000457	WP_126380273.1	Utg864866_63
OG0000458	WP_126379457.1	Utg866558_25
OG0000459	WP_126378236.1	Utg859098_217
OG0000460	WP_197723457.1	Utg858432_142
OG0000461	WP_126376122.1	Utg860814_196
OG0000463	WP_126378471.1, WP_126378644.1	Utg859982_12
OG0000464	WP_172961777.1, WP_172961791.1	Utg858494_63
OG0000465	WP_126379779.1	Utg857046_20
OG0000466	WP_126377342.1	Utg857046_29
OG0000467	WP_126377723.1	Utg861744_129
OG0000468	WP_126379910.1	Utg859982_19
OG0000469	WP_126377360.1	Utg857152_63
OG0000470	WP_126378919.1	Utg858432_109
OG0000471	WP_126380492.1	Utg859750_61
OG0000472	WP_126378642.1, WP_126377824.1	Utg860006_132
OG0000473	WP_126377396.1	Utg861744_130
OG0000476	WP_126380693.1	Utg857490_27
OG0000477	WP_126379238.1	Utg857046_213
OG0000478	WP_126379010.1	Utg857046_34
OG0000479	WP_126378348.1	Utg859098_352
OG0000480	WP_126375801.1	Utg858494_109
OG0000481	WP_126378435.1	Utg857046_84
OG0000482	WP_126376547.1	Utg857300_27
OG0000485	WP_126378350.1	Utg859098_351
OG0000486	WP_126379287.1	Utg859982_148, Utg859982_149
OG0000487	WP_126380961.1	Utg859098_195
OG0000488	WP_126379525.1	Utg861744_54
OG0000489	WP_126377067.1	Utg859388_187, Utg858498_21
OG0000490	WP_172961760.1	Utg860814_326
OG0000491	WP_126379485.1	Utg857994_162
OG0000492	WP_126377713.1	Utg857152_223
OG0000493	WP_126377410.1	Utg857152_45
OG0000494	WP_172961673.1, WP_126379453.1	Utg857152_20
OG0000495	WP_126376099.1	Utg859098_239, Utg859098_238
OG0000496	WP_126375923.1	Utg862138_40
OG0000497	WP_126377812.1	Utg858432_129
OG0000498	WP_172961654.1	Utg858432_130
OG0000500	WP_126377826.1	Utg858494_89
OG0000501	WP_172961582.1	Utg859388_178
OG0000502	WP_126378238.1	Utg859098_218
OG0000504	WP_126377731.1	Utg860814_205
OG0000505	WP_126378085.1	Utg857994_68
OG0000506	WP_126378242.1	Utg859982_40
OG0000507	WP_126376835.1	Utg859750_83
OG0000509	WP_126376116.1	Utg861744_21
OG0000510	WP_126380646.1	Utg860814_70
OG0000511	WP_126377183.1	Utg857046_259
OG0000512	WP_126380757.1	Utg857994_18
OG0000514	WP_126375935.1	Utg858432_18
OG0000515	WP_232034909.1	Utg859982_11
OG0000516	WP_126378465.1	Utg860814_197
OG0000517	WP_126377799.1	Utg857076_26
OG0000519	WP_232034888.1	Utg859098_182
OG0000520	WP_126379338.1	Utg859388_149
OG0000521	WP_126380820.1	Utg859098_269
OG0000522	WP_126377013.1	Utg859098_204
OG0000523	WP_126376393.1	Utg859388_10
OG0000524	WP_126380396.1	Utg861744_33
OG0000526	WP_126375981.1	Utg863716_87
OG0000529	WP_126378081.1	Utg857152_77, Utg857152_76
OG0000530	WP_232034793.1	Utg858432_105
OG0000531	WP_126375893.1	Utg860006_87
OG0000532	WP_126377676.1	Utg860006_54
OG0000533	WP_126375945.1	Utg857152_27, Utg857152_26
OG0000535	WP_126379224.1	Utg857152_185
OG0000539	WP_126376287.1, WP_172961816.1	Utg857152_159
OG0000540	WP_126375989.1	Utg859236_26
OG0000542	WP_126375953.1	Utg857152_50
OG0000543	WP_126380762.1	Utg859098_262
OG0000544	WP_126376662.1	Utg861744_125
OG0000545	WP_126377049.1	Utg859750_15
OG0000546	WP_126377155.1	Utg859432_39
OG0000547	WP_126379146.1, WP_126379018.1	Utg860814_120
OG0000549	WP_126379236.1	Utg858498_13
OG0000550	WP_126378469.1	Utg861448_9
OG0000551	WP_126377300.1	Utg860814_267
OG0000553	WP_126380678.1	Utg857682_87
OG0000554	WP_126377635.1	Utg857152_4
OG0000555	WP_126377511.1	Utg857152_177, Utg857152_176
OG0000556	WP_126380804.1	Utg859982_140
OG0000558	WP_232034822.1	Utg859236_71
OG0000561	WP_126377792.1	Utg865370_11
OG0000562	WP_126375568.1	Utg861744_43
OG0000564	WP_126379555.1	Utg859750_48
OG0000566	WP_126380739.1	Utg857152_97
OG0000567	WP_126379908.1	Utg859076_62
OG0000568	WP_126381234.1	Utg859388_45, Utg859098_267
OG0000569	WP_126378372.1	Utg857992_12
OG0000570	WP_126377743.1	Utg857046_194
OG0000571	WP_126376091.1	Utg857300_49
OG0000572	WP_172961619.1	Utg859982_161
OG0000575	WP_126376941.1	Utg859432_50
OG0000576	WP_126376937.1	Utg865370_28
OG0000577	WP_126377364.1	Utg857994_20
OG0000578	WP_126380394.1	Utg861744_32
OG0000579	WP_126380745.1	Utg861744_19
OG0000580	WP_232034916.1	Utg860814_282
OG0000581	WP_126376006.1	Utg858494_143
OG0000582	WP_126375633.1	Utg859750_11
OG0000583	WP_126379507.1	Utg857490_11
OG0000584	WP_126379759.1	Utg857046_225
OG0000585	WP_126379757.1	Utg857046_226
OG0000586	WP_126381445.1	Utg857046_228
OG0000587	WP_126376883.1	Utg859098_170
OG0000588	WP_126379697.1	Utg857046_250
OG0000589	WP_126376001.1	Utg859982_4
OG0000590	WP_126375878.1	Utg857046_196
OG0000591	WP_126376962.1	Utg859432_41
OG0000592	WP_126380852.1	Utg859098_167
OG0000593	WP_126379359.1	Utg858432_36
OG0000594	WP_126376270.1	Utg857152_39
OG0000595	WP_126380213.1	Utg860006_52
OG0000596	WP_232034872.1	Utg859098_222
OG0000597	WP_126377437.1	Utg859098_240
OG0000598	WP_126378738.1	Utg858432_39
OG0000599	WP_126377651.1	Utg859098_188
OG0000600	WP_232034783.1	Utg863716_90
OG0000601	WP_126375798.1	Utg859432_46
OG0000602	WP_126377009.1	Utg859098_243
OG0000603	WP_172961647.1	Utg860006_130
OG0000604	WP_172961633.1	Utg859750_70
OG0000605	WP_172961652.1	Utg863716_99
OG0000607	WP_126380956.1	Utg857152_11
OG0000608	WP_126376126.1	Utg860814_195
OG0000609	WP_126379577.1	Utg857994_166
OG0000610	WP_126376379.1	Utg858494_91
OG0000611	WP_126379531.1	Utg859098_165
OG0000612	WP_126379314.1	Utg866558_22
OG0000613	WP_126379316.1	Utg866558_21
OG0000615	WP_126378874.1	Utg858494_101
OG0000616	WP_126378878.1	Utg858494_99
OG0000617	WP_126376041.1	Utg858494_129
OG0000618	WP_126376046.1	Utg858494_127
OG0000619	WP_126376048.1	Utg858494_126
