Orthogroup	Desulfovibrio ferrophilus IS5	Desulfocapsa_06_corrosive
OG0000051	WP_126379995.1	Utg323316_319, Utg323180_77, Utg323392_76, Utg323262_180, Utg323392_75
OG0000052	WP_126380843.1	Utg323152_537, Utg323074_111, Utg323300_411
OG0000053	WP_126381249.1	Utg323392_224
OG0000053	WP_126377151.1	Utg323316_144
OG0000055	WP_126379655.1	Utg323152_253
OG0000055	WP_126380209.1	Utg323074_215
OG0000056	WP_126376520.1, WP_126381184.1, WP_126378782.1, WP_126379928.1, WP_126380518.1, WP_172961756.1, WP_126375921.1, WP_126380842.1, WP_126379293.1, WP_172961636.1	Utg323180_501
OG0000057	WP_172961733.1	Utg323152_465
OG0000058	WP_126375819.1	Utg323180_619
OG0000060	WP_126379040.1, WP_232034744.1	Utg323300_75, Utg323632_306
OG0000061	WP_126381032.1	Utg323266_110
OG0000063	WP_126380494.1	Utg323392_142
OG0000064	WP_126377057.1	Utg323990_139, Utg323180_38
OG0000065	WP_126379932.1	Utg323140_85, Utg323160_21
OG0000065	WP_126379160.1	Utg323140_2, Utg323180_2
OG0000067	WP_126380869.1	Utg323140_119
OG0000068	WP_126378496.1	Utg323180_344
OG0000068	WP_172961792.1	Utg325220_60
OG0000069	WP_126379705.1	Utg325220_94, Utg323300_182, Utg323262_103
OG0000070	WP_126378422.1, WP_232034886.1	Utg323152_189
OG0000071	WP_126379791.1, WP_126376680.1	Utg323152_536
OG0000071	WP_126379188.1	Utg323152_559
OG0000071	WP_126381068.1	Utg323180_522
OG0000072	WP_126376668.1	Utg323152_535
OG0000072	WP_126378397.1	Utg323152_560
OG0000072	WP_126381070.1	Utg323180_521
OG0000075	WP_126375865.1	Utg323160_84
OG0000076	WP_172961659.1	Utg323180_458, Utg323152_263
OG0000077	WP_126377449.1	Utg323074_141
OG0000078	WP_172961764.1	Utg323152_397
OG0000078	WP_126376995.1, WP_126376997.1	Utg323180_686, Utg323300_294
OG0000079	WP_232034839.1	Utg323160_93, Utg323180_41
OG0000079	WP_172961766.1	Utg323392_205
OG0000080	WP_172961669.1	Utg323152_20
OG0000081	WP_126376632.1	Utg323180_392
OG0000081	WP_126380364.1	Utg323266_79
OG0000082	WP_172961569.1	Utg323392_216
OG0000082	WP_232034762.1, WP_126379022.1, WP_126377927.1, WP_126380332.1, WP_126380330.1	Utg323152_318
OG0000085	WP_126381273.1	Utg323180_592
OG0000086	WP_126376484.1	Utg323392_34
OG0000086	WP_126375563.1	Utg323180_528
OG0000087	WP_126379228.1	Utg323632_128
OG0000088	WP_126376259.1	Utg325220_103, Utg323180_457, Utg323152_262
OG0000091	WP_126379497.1	Utg323392_150
OG0000092	WP_126378232.1	Utg323152_94, Utg323180_509
OG0000093	WP_126377889.1, WP_126380751.1	Utg323180_45
OG0000095	WP_232034876.1	Utg323990_63
OG0000097	WP_126380356.1	Utg323160_75, Utg323266_3, Utg323160_123
OG0000098	WP_126381073.1	Utg323180_520
OG0000098	WP_126381415.1	Utg323152_561
OG0000100	WP_126380829.1, WP_232034760.1	Utg323316_117, Utg323632_82
OG0000101	WP_126380553.1, WP_126376877.1	Utg323266_38, Utg323180_20
OG0000103	WP_126375876.1	Utg323316_301, Utg323180_100
OG0000104	WP_126377346.1, WP_126377988.1	Utg323316_337
OG0000105	WP_126379501.1	Utg323392_148, Utg323180_490
OG0000106	WP_126380444.1	Utg323300_138, Utg323300_125, Utg323316_317
OG0000107	WP_126375961.1	Utg323180_669
OG0000110	WP_126379985.1, WP_126376245.1	Utg323140_35, Utg323152_265
OG0000112	WP_126377306.1, WP_126379449.1	Utg323300_361
OG0000114	WP_126377356.1	Utg323448_59
OG0000114	WP_126376037.1	Utg323180_193
OG0000115	WP_126377362.1	Utg323300_341
OG0000115	WP_126376861.1	Utg323990_86
OG0000117	WP_126380925.1	Utg323140_129
OG0000118	WP_126381543.1	Utg323140_128
OG0000120	WP_126377828.1	Utg323140_117
OG0000122	WP_172961804.1	Utg323180_512
OG0000126	WP_126379210.1	Utg323392_137
OG0000127	WP_126379366.1, WP_126379368.1	Utg323448_31
OG0000128	WP_232034755.1	Utg323180_277, Utg323152_202
OG0000130	WP_172961687.1, WP_126380098.1, WP_126379042.1	Utg323140_62, Utg323632_319
OG0000131	WP_126380299.1	Utg323074_120
OG0000131	WP_232034794.1	Utg323990_32
OG0000133	WP_232034812.1	Utg323140_126
OG0000134	WP_126377750.1	Utg323152_247
OG0000135	WP_126380248.1	Utg323300_373
OG0000135	WP_126379924.1	Utg323300_234
OG0000136	WP_126377707.1	Utg323152_230
OG0000137	WP_126376304.1	Utg323632_120, Utg323074_21, Utg323300_15
OG0000138	WP_232034766.1	Utg323392_64
OG0000142	WP_126377727.1	Utg323180_616
OG0000143	WP_126376543.1, WP_126377487.1, WP_126375622.1	Utg323180_33
OG0000144	WP_126379267.1	Utg323392_160
OG0000145	WP_126376563.1	Utg323180_144, Utg323180_511
OG0000149	WP_126380618.1	Utg323152_363
OG0000150	WP_126377334.1	Utg323152_400, Utg323316_140, Utg323300_310
OG0000152	WP_126377470.1	Utg323180_516
OG0000152	WP_126381066.1	Utg323180_523
OG0000153	WP_126377256.1	Utg323180_413
OG0000153	WP_126379795.1	Utg323300_187
OG0000154	WP_126380855.1	Utg323160_129, Utg323266_10
OG0000158	WP_126376027.1	Utg323180_251
OG0000159	WP_126380841.1	Utg323180_417
OG0000160	WP_126379093.1	Utg323180_213
OG0000162	WP_126375857.1, WP_172961809.1	Utg323316_178
OG0000163	WP_126378343.1	Utg323160_83, Utg323262_107
OG0000164	WP_126377539.1	Utg323300_166
OG0000166	WP_126377850.1	Utg323632_248
OG0000166	WP_126376718.1	Utg324810_90
OG0000167	WP_126380541.1	Utg323140_81, Utg323152_436
OG0000168	WP_126381182.1, WP_126381180.1, WP_126375657.1, WP_126375553.1	Utg323300_260
OG0000169	WP_126376755.1	Utg323152_503
OG0000169	WP_126376344.1	Utg323392_14
OG0000170	WP_126377170.1	Utg323300_350
OG0000172	WP_232034792.1	Utg323990_178
OG0000174	WP_126378921.1	Utg323180_604
OG0000174	WP_126378915.1	Utg323266_90
OG0000178	WP_172961806.1	Utg323316_122
OG0000178	WP_126376909.1, WP_126376611.1	Utg324810_77
OG0000179	WP_126379401.1, WP_126379755.1, WP_126377123.1, WP_126377121.1, WP_126378894.1, WP_126375971.1, WP_126379261.1	Utg323152_376
OG0000180	WP_126376686.1, WP_126376684.1	Utg323262_181, Utg323262_184
OG0000182	WP_126377328.1	Utg323392_153
OG0000183	WP_126375665.1	Utg323632_25
OG0000184	WP_126380301.1	Utg323392_66
OG0000185	WP_126378072.1	Utg323316_113
OG0000186	WP_126376620.1	Utg323392_251
OG0000187	WP_126376003.1	Utg323448_60, Utg323448_47
OG0000188	WP_126380802.1	Utg323300_307
OG0000189	WP_126379679.1	Utg323990_133
OG0000190	WP_126377864.1	Utg323140_75
OG0000191	WP_172961744.1	Utg323266_48
OG0000192	WP_232034818.1	Utg323180_399
OG0000193	WP_126377830.1	Utg323140_4, Utg323180_1
OG0000194	WP_126378106.1	Utg323160_22
OG0000194	WP_126375723.1	Utg323160_58, Utg323316_1
OG0000195	WP_126381648.1, WP_126380634.1	Utg323152_119, Utg323180_690
OG0000196	WP_126375667.1	Utg323632_23
OG0000199	WP_126375709.1	Utg323300_357, Utg323152_198
OG0000201	WP_126377684.1	Utg323180_6
OG0000202	WP_126376358.1	Utg325220_64, Utg323140_270
OG0000202	WP_126375680.1	Utg323300_104
OG0000203	WP_126380446.1	Utg323262_83, Utg323300_137
OG0000203	WP_126376516.1	Utg323262_67
OG0000204	WP_172961790.1	Utg323180_154
OG0000204	WP_172961728.1, WP_126378027.1	Utg323180_449
OG0000205	WP_172961692.1, WP_126380899.1	Utg323266_99
OG0000206	WP_126378269.1	Utg323180_81, Utg323180_80
OG0000207	WP_126381038.1	Utg323266_113
OG0000208	WP_126381041.1	Utg323266_114
OG0000209	WP_126378432.1	Utg323316_339
OG0000210	WP_126379481.1	Utg323300_167
OG0000211	WP_126378828.1, WP_197723434.1, WP_126377139.1	Utg323140_182
OG0000213	WP_126379561.1	Utg323180_404
OG0000215	WP_126379387.1	Utg324810_67
OG0000216	WP_126380832.1	Utg323316_146
OG0000217	WP_126377388.1	Utg324548_25
OG0000217	WP_126376654.1	Utg323262_16
OG0000218	WP_126377380.1	Utg323632_371
OG0000219	WP_126377392.1	Utg323180_543, Utg323300_291
OG0000221	WP_232034814.1	Utg323180_504
OG0000222	WP_126377752.1, WP_126380413.1	Utg323262_114
OG0000223	WP_126379433.1	Utg323392_219
OG0000224	WP_126375687.1	Utg323152_490
OG0000225	WP_126381110.1	Utg323152_460, Utg323140_111
OG0000226	WP_232034915.1	Utg323300_329
OG0000227	WP_126380765.1	Utg323632_351
OG0000228	WP_126378318.1	Utg323074_134
OG0000230	WP_126376561.1	Utg323152_249
OG0000232	WP_126376907.1	Utg323152_484
OG0000232	WP_197723452.1	Utg323152_485
OG0000233	WP_126379699.1	Utg323152_10
OG0000234	WP_126375880.1, WP_172961661.1, WP_126375783.1	Utg323990_146
OG0000235	WP_126379765.1	Utg323180_210
OG0000235	WP_126375707.1	Utg323300_358
OG0000236	WP_126377990.1, WP_172961753.1, WP_126381003.1	Utg323152_193
OG0000237	WP_126377266.1, WP_126377794.1	Utg324810_62, Utg323300_24
OG0000238	WP_197723431.1	Utg325220_109
OG0000238	WP_232034849.1	Utg323316_194
OG0000239	WP_126380937.1	Utg324548_14
OG0000240	WP_126381024.1, WP_126379988.1, WP_126381060.1	Utg323152_13, Utg323180_454
OG0000241	WP_197723440.1	Utg324548_15, Utg323262_144
OG0000242	WP_172961595.1	Utg323152_279, Utg323632_279, Utg323152_284
OG0000243	WP_152034911.1	Utg323180_67, Utg323266_94, Utg323160_100, Utg323160_101
OG0000244	WP_126379395.1	Utg323152_496
OG0000244	WP_126378654.1	Utg323180_143
OG0000246	WP_126378633.1	Utg323180_115, Utg323180_52
OG0000248	WP_126376690.1	Utg323140_188
OG0000249	WP_126376424.1	Utg323632_328
OG0000250	WP_126377694.1, WP_126381114.1, WP_126376970.1	Utg323152_330
OG0000252	WP_126375668.1	Utg323632_22
OG0000253	WP_232034747.1, WP_126378732.1	Utg323632_102
OG0000257	WP_126377805.1	Utg323990_211, Utg324810_19
OG0000259	WP_126380949.1	Utg323990_75
OG0000260	WP_126376736.1	Utg323180_575
OG0000260	WP_126377383.1	Utg323140_174
OG0000261	WP_232034914.1	Utg323990_127
OG0000263	WP_172961789.1	Utg323300_416
OG0000264	WP_126380686.1	Utg323262_53, Utg323300_385
OG0000265	WP_126380688.1	Utg323262_60, Utg323300_383
OG0000266	WP_126380663.1	Utg323262_57, Utg323300_345
OG0000267	WP_126380945.1	Utg323316_169
OG0000270	WP_126380933.1	Utg323140_132
OG0000271	WP_126381034.1	Utg323266_111
OG0000272	WP_126379423.1	Utg324810_29, Utg323152_381
OG0000273	WP_126380880.1	Utg323392_256
OG0000273	WP_126376722.1	Utg323448_108
OG0000274	WP_126379464.1	Utg323160_113
OG0000277	WP_232034831.1	Utg323990_152
OG0000278	WP_126375672.1	Utg323632_18
OG0000278	WP_126377776.1	Utg323990_104
OG0000280	WP_126379987.1, WP_232034773.1, WP_126376296.1	Utg323152_299, Utg323152_300
OG0000284	WP_232034785.1	Utg323300_134
OG0000285	WP_126380954.1	Utg324548_26
OG0000286	WP_232034878.1	Utg323990_126
OG0000288	WP_126377408.1	Utg323152_159
OG0000290	WP_126381196.1	Utg323990_110
OG0000291	WP_126377018.1	Utg323152_390
OG0000292	WP_126378090.1	Utg323448_29
OG0000293	WP_126375664.1	Utg323632_26
OG0000295	WP_232034907.1	Utg323074_122
OG0000296	WP_126376968.1	Utg323180_360, Utg323140_32, Utg323300_349
OG0000297	WP_172961716.1, WP_126380746.1	Utg323160_80, Utg323160_79
OG0000298	WP_172961668.1	Utg323316_112
OG0000299	WP_232034802.1	Utg323392_237, Utg323632_41
OG0000300	WP_126376664.1	Utg323180_71, Utg324810_53
OG0000301	WP_126376077.1	Utg323448_82
OG0000302	WP_126376779.1	Utg323262_78
OG0000302	WP_126381011.1	Utg323266_31
OG0000307	WP_232034834.1	Utg323632_13
OG0000308	WP_126375669.1	Utg323632_21
OG0000309	WP_126379200.1	Utg323300_194
OG0000312	WP_126380979.1	Utg323632_140, Utg323632_141
OG0000313	WP_126375836.1	Utg323316_67
OG0000314	WP_126375671.1	Utg323632_19
OG0000316	WP_126375979.1	Utg323180_263
OG0000318	WP_126376184.1	Utg323316_207
OG0000320	WP_126380370.1	Utg323300_402
OG0000322	WP_126380602.1	Utg323990_34
OG0000323	WP_172961568.1	Utg323074_32
OG0000324	WP_172961599.1	Utg323262_158
OG0000325	WP_172961723.1, WP_126376600.1	Utg323140_86, Utg323632_345, Utg323632_283
OG0000326	WP_126375696.1	Utg323990_210
OG0000327	WP_126379184.1	Utg323152_563
OG0000332	WP_126377537.1	Utg323632_344, Utg323632_343
OG0000333	WP_126380825.1	Utg323300_359
OG0000334	WP_126378606.1	Utg323392_248, Utg323160_72
OG0000335	WP_126376726.1	Utg323316_153
OG0000335	WP_126380917.1	Utg323300_388, Utg323300_389
OG0000336	WP_126380948.1	Utg323990_76
OG0000339	WP_126375542.1	Utg323152_478
OG0000340	WP_126379916.1	Utg323140_255
OG0000343	WP_126378734.1	Utg323632_101
OG0000344	WP_126379008.1	Utg323316_147
OG0000345	WP_172961637.1	Utg323140_249
OG0000346	WP_126381013.1	Utg323266_30
OG0000346	WP_126376777.1	Utg323262_77
OG0000348	WP_232034790.1	Utg323140_253
OG0000349	WP_126377264.1	Utg323300_414, Utg323990_125
OG0000350	WP_126380698.1	Utg323266_68, Utg323392_31
OG0000351	WP_126380946.1	Utg323316_170
OG0000352	WP_126377336.1	Utg323300_309
OG0000353	WP_126378808.1, WP_126381186.1	Utg323152_411
OG0000354	WP_126375853.1	Utg323140_240
OG0000355	WP_126381547.1	Utg323180_503
OG0000356	WP_126377915.1	Utg325220_24, Utg323152_199
OG0000357	WP_126376942.1	Utg323140_190
OG0000358	WP_126377529.1	Utg323152_183, Utg323180_133
OG0000359	WP_126381036.1	Utg323266_112
OG0000360	WP_126380696.1	Utg323448_18
OG0000361	WP_126379495.1	Utg323392_154
OG0000363	WP_126379097.1	Utg323632_65
OG0000363	WP_126377101.1	Utg323266_83
OG0000364	WP_232034851.1	Utg323448_115, Utg324810_20, Utg323180_185
OG0000365	WP_126379797.1	Utg323300_405, Utg323140_74
OG0000366	WP_126376476.1, WP_126376478.1	Utg323180_120
OG0000367	WP_126379291.1	Utg323140_73
OG0000370	WP_126380722.1	Utg323074_44
OG0000372	WP_126376919.1	Utg323316_334
OG0000373	WP_126377043.1, WP_126376917.1	Utg323316_333
OG0000375	WP_126381106.1	Utg323300_400
OG0000379	WP_126378328.1, WP_126378217.1	Utg324548_30
OG0000380	WP_126377282.1	Utg323392_22
OG0000381	WP_126376913.1	Utg323262_166
OG0000382	WP_126379417.1, WP_126377929.1, WP_126380334.1, WP_126379024.1	Utg323152_317
OG0000383	WP_126376204.1	Utg323074_113
OG0000384	WP_126379878.1	Utg323632_224, Utg323392_7
OG0000388	WP_126379499.1	Utg323392_149
OG0000389	WP_126380280.1	Utg325220_115
OG0000390	WP_126380496.1	Utg323152_156
OG0000391	WP_126377020.1	Utg323392_139
OG0000392	WP_126377803.1	Utg323140_187
OG0000393	WP_126377464.1	Utg323392_115
OG0000394	WP_126376132.1	Utg323632_227
OG0000396	WP_126380788.1	Utg323316_308
OG0000398	WP_126375829.1	Utg323316_283
OG0000399	WP_126376541.1	Utg323074_27
OG0000400	WP_126375999.1	Utg323074_129
OG0000401	WP_126377286.1	Utg323448_26
OG0000403	WP_232034756.1	Utg323392_161
OG0000404	WP_232034883.1	Utg323632_90
OG0000406	WP_126380117.1	Utg323300_304, Utg323632_208
OG0000407	WP_126375697.1	Utg323300_231
OG0000408	WP_126376130.1	Utg323316_309
OG0000409	WP_126375727.1	Utg323152_214, Utg323152_215
OG0000410	WP_126375949.1	Utg323180_618
OG0000411	WP_126380543.1	Utg323180_184
OG0000412	WP_126379030.1	Utg323632_307
OG0000413	WP_126379336.1	Utg323632_56
OG0000414	WP_126380931.1	Utg323140_130
OG0000418	WP_126380654.1	Utg323632_29
OG0000419	WP_232034936.1, WP_126376652.1	Utg323990_112
OG0000421	WP_126380975.1, WP_126380183.1, WP_126377166.1, WP_126375708.1	Utg323300_89
OG0000422	WP_126380163.1, WP_126379072.1	Utg323316_306
OG0000423	WP_126380506.1	Utg323152_258, Utg323152_259
OG0000424	WP_232034868.1	Utg323180_488
OG0000425	WP_126380914.1	Utg323632_72
OG0000427	WP_126377181.1	Utg323448_41
OG0000428	WP_126379265.1	Utg323392_159
OG0000431	WP_126380348.1	Utg323140_38
OG0000433	WP_232034808.1, WP_126380900.1	Utg323316_347
OG0000434	WP_126378271.1	Utg323316_227, Utg323180_553
OG0000435	WP_126381045.1	Utg323316_84
OG0000436	WP_126380186.1, WP_172961771.1, WP_126380205.1, WP_126377737.1	Utg323152_368
OG0000438	WP_126375743.1	Utg323152_420
OG0000439	WP_126378807.1, WP_126381188.1	Utg323152_408
OG0000440	WP_126380955.1	Utg323152_402
OG0000441	WP_126378080.1	Utg323152_387, Utg323140_50, Utg323152_388
OG0000444	WP_126378345.1	Utg323152_45
OG0000446	WP_126377113.1, WP_126379389.1, WP_126379406.1	Utg323152_316
OG0000447	WP_126379793.1	Utg323180_327, Utg323990_241
OG0000448	WP_126379186.1	Utg323152_562
OG0000452	WP_126376762.1	Utg323300_444, Utg323152_543
OG0000453	WP_172961603.1	Utg323300_394
OG0000457	WP_126380273.1	Utg323140_93
OG0000458	WP_126379457.1	Utg323632_292
OG0000459	WP_126378236.1	Utg323152_197
OG0000460	WP_197723457.1	Utg323632_251
OG0000461	WP_126376122.1	Utg323266_1, Utg323180_610
OG0000463	WP_126378471.1, WP_126378644.1	Utg323152_557
OG0000464	WP_172961791.1	Utg323266_64
OG0000465	WP_126379779.1	Utg323316_131
OG0000466	WP_126377342.1	Utg323316_143
OG0000467	WP_126377723.1	Utg324810_50
OG0000468	WP_126379910.1	Utg323152_550
OG0000469	WP_126377360.1	Utg323300_339
OG0000470	WP_126378919.1	Utg323632_217
OG0000471	WP_126380492.1	Utg323180_23
OG0000472	WP_126378642.1, WP_126377824.1	Utg323990_82
OG0000473	WP_126377396.1	Utg324810_49
OG0000475	WP_126380674.1	Utg323300_262
OG0000476	WP_126380693.1	Utg323448_21
OG0000477	WP_126379238.1	Utg323316_316
OG0000478	WP_126379010.1	Utg323316_148
OG0000479	WP_126378348.1	Utg323152_47
OG0000480	WP_126375801.1	Utg323448_83
OG0000481	WP_126378435.1	Utg323316_184
OG0000482	WP_126376547.1	Utg323300_126
OG0000484	WP_126380284.1	Utg323300_196
OG0000485	WP_126378350.1	Utg323152_48
OG0000486	WP_126379287.1	Utg323152_439
OG0000487	WP_126380961.1	Utg323152_216
OG0000488	WP_126379525.1	Utg323160_29
OG0000489	WP_126377067.1	Utg323392_46
OG0000490	WP_172961760.1	Utg323180_708
OG0000491	WP_126379485.1	Utg323074_142
OG0000492	WP_126377713.1	Utg323180_163
OG0000493	WP_126377410.1	Utg323300_317
OG0000494	WP_172961673.1, WP_126379453.1	Utg323300_293
OG0000495	WP_126376099.1	Utg323152_176
OG0000496	WP_126375923.1	Utg323632_52
OG0000497	WP_126377812.1	Utg323632_236
OG0000498	WP_172961654.1	Utg323632_237
OG0000500	WP_126377826.1	Utg323448_101
OG0000501	WP_172961582.1	Utg323392_55
OG0000502	WP_126378238.1	Utg323152_196
OG0000504	WP_126377731.1	Utg323180_617
OG0000505	WP_126378085.1	Utg323266_72
OG0000506	WP_126378242.1	Utg323262_175, Utg323152_506
OG0000507	WP_126376835.1	Utg323180_43
OG0000509	WP_126376116.1	Utg323160_78
OG0000510	WP_126380646.1	Utg323180_484
OG0000511	WP_126377183.1	Utg323316_346
OG0000512	WP_126380757.1	Utg323074_26
OG0000513	WP_126380673.1	Utg323300_263
OG0000514	WP_126375935.1	Utg323632_76
OG0000515	WP_232034909.1	Utg323152_558
OG0000516	WP_126378465.1	Utg323180_611, Utg323266_2
OG0000517	WP_126377799.1	Utg323262_106
OG0000519	WP_232034888.1	Utg323152_229
OG0000520	WP_126379338.1	Utg323392_86
OG0000521	WP_126380820.1	Utg323152_146
OG0000522	WP_126377013.1	Utg323152_209
OG0000523	WP_126376393.1	Utg323392_227
OG0000524	WP_126380396.1	Utg323160_66
OG0000526	WP_126375981.1	Utg323180_264
OG0000529	WP_126378081.1	Utg323300_351
OG0000530	WP_232034793.1	Utg323632_211, Utg323632_212
OG0000531	WP_126375893.1	Utg323990_111
OG0000532	WP_126377676.1	Utg323990_149
OG0000533	WP_126375945.1	Utg323300_299
OG0000535	WP_126379224.1	Utg323180_111
OG0000538	WP_126380854.1	Utg323140_264, Utg325220_1
OG0000539	WP_126376287.1, WP_172961816.1	Utg323180_65
OG0000540	WP_126375989.1	Utg323990_215
OG0000542	WP_126375953.1	Utg323300_321
OG0000543	WP_126380762.1	Utg323152_153
OG0000544	WP_126376662.1	Utg324810_54
OG0000545	WP_126377049.1	Utg323140_9
OG0000546	WP_126377155.1	Utg323140_178
OG0000547	WP_126379146.1, WP_126379018.1	Utg323180_527
OG0000548	WP_126377086.1	Utg323140_246
OG0000549	WP_126379236.1	Utg323392_28
OG0000550	WP_126378469.1	Utg323632_387, Utg323392_263
OG0000551	WP_126377300.1	Utg323180_674
OG0000553	WP_126380678.1	Utg323300_184, Utg325220_97
OG0000554	WP_126377635.1	Utg323300_276
OG0000555	WP_126377511.1	Utg323180_103
OG0000556	WP_126380804.1	Utg323152_446
OG0000558	WP_232034822.1	Utg323152_97
OG0000561	WP_126377792.1	Utg323266_17
OG0000562	WP_126375568.1	Utg323160_42
OG0000564	WP_126379555.1	Utg323392_207
OG0000565	WP_126381437.1	Utg323392_208
OG0000566	WP_126380739.1	Utg323300_374
OG0000568	WP_126381234.1	Utg323392_178, Utg323152_148
OG0000569	WP_126378372.1	Utg323632_362
OG0000570	WP_126377743.1	Utg323316_297
OG0000571	WP_126376091.1	Utg323300_101
OG0000572	WP_172961619.1	Utg323152_431
OG0000575	WP_126376941.1	Utg323140_189
OG0000576	WP_126376937.1	Utg323266_35
OG0000577	WP_126377364.1	Utg323074_28
OG0000578	WP_126380394.1	Utg323160_67
OG0000579	WP_126380745.1	Utg323160_81
OG0000580	WP_232034916.1	Utg323180_689
OG0000581	WP_126376006.1	Utg323448_49
OG0000582	WP_126375633.1	Utg323140_12
OG0000583	WP_126379507.1	Utg323448_37
OG0000584	WP_126379759.1	Utg323316_328
OG0000585	WP_126379757.1	Utg323316_329
OG0000586	WP_126381445.1	Utg323316_331
OG0000587	WP_126376883.1	Utg323152_245
OG0000588	WP_126379697.1	Utg323316_336
