Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa_13_biocide
OG0000227	WP_012536947.1	Utg857992_19
OG0000228	WP_012606556.1	Utg857994_154
OG0000229	WP_233459570.1	Utg857682_96
OG0000230	WP_054608848.1	Utg859098_371, Utg859098_166
OG0000232	WP_054609073.1	Utg859982_75, Utg859982_74, Utg859982_73
OG0000233	WP_180830512.1	Utg859098_376, Utg857682_51
OG0000234	WP_225487654.1	Utg860006_56
OG0000248	WP_012536050.1	Utg859432_49
OG0000250	WP_009562194.1	Utg859098_87
OG0000252	WP_009565424.1	Utg862138_13
OG0000253	WP_012536020.1, WP_009566305.1	Utg858432_42
OG0000254	WP_009567060.1	Utg859076_2
OG0000255	WP_012536293.1	Utg861744_84
OG0000255	WP_009567251.1, WP_009567700.1	Utg859432_74
OG0000256	WP_012537437.1	Utg862138_36
OG0000257	WP_012536012.1	Utg859236_23
OG0000258	WP_012536034.1	Utg859236_13, Utg860814_310, Utg857994_234
OG0000259	WP_012607080.1	Utg860006_137
OG0000260	WP_233459567.1, WP_012536828.1	Utg860814_156
OG0000260	WP_012536397.1	Utg859432_35
OG0000261	WP_012536559.1, WP_157293185.1	Utg860006_76
OG0000262	WP_012536942.1	Utg859098_276
OG0000263	WP_225487436.1	Utg857682_148
OG0000263	WP_012537110.1	Utg859750_52
OG0000264	WP_012537655.1	Utg857152_109
OG0000265	WP_012537657.1	Utg857152_107
OG0000266	WP_012537658.1	Utg857152_69
OG0000267	WP_012607294.1, WP_054608871.1, WP_061046412.1	Utg857046_62, Utg857046_61
OG0000268	WP_041646068.1	Utg863716_97
OG0000269	WP_054609063.1	Utg858494_54, Utg858494_55
OG0000270	WP_229129792.1	Utg860814_173, Utg864866_30
OG0000283	WP_009560879.1	Utg861744_134
OG0000284	WP_009560923.1	Utg857300_22
OG0000285	WP_009567365.1, WP_009561385.1, WP_009565301.1, WP_054608740.1, WP_009565762.1	Utg859236_43
OG0000289	WP_009565770.1	Utg859388_8, Utg859388_7
OG0000290	WP_215905594.1, WP_229129783.1, WP_009566370.1, WP_229129815.1	Utg860006_88
OG0000292	WP_009566482.1	Utg857490_19
OG0000293	WP_009566650.1	Utg862138_17
OG0000294	WP_009566880.1	Utg859750_51
OG0000294	WP_151528220.1, WP_012537092.1, WP_012536342.1, WP_012537537.1, WP_012537109.1, WP_012536551.1	Utg857682_147
OG0000295	WP_009566924.1	Utg860006_49, Utg857994_140
OG0000296	WP_009567461.1	Utg857152_73
OG0000297	WP_009567888.1	Utg861744_20
OG0000299	WP_012536067.1	Utg862138_30
OG0000300	WP_012537695.1, WP_012536306.1	Utg861744_126
OG0000301	WP_012536440.1	Utg858494_110
OG0000302	WP_012536450.1	Utg863716_14, Utg857076_54, Utg865370_24
OG0000303	WP_012536471.1	Utg860006_19, Utg860006_14
OG0000304	WP_012536774.1	Utg861744_77
OG0000306	WP_012536970.1, WP_226833838.1	Utg859098_129
OG0000307	WP_012537295.1	Utg862138_5
OG0000308	WP_012537299.1	Utg859982_217, Utg862138_12
OG0000309	WP_012537406.1	Utg858494_46
OG0000310	WP_012537505.1	Utg857994_232, Utg857994_206
OG0000312	WP_012537595.1	Utg858432_93
OG0000314	WP_012607483.1	Utg862138_10
OG0000331	WP_009564442.1, WP_009561007.1	Utg857994_45
OG0000332	WP_009561368.1	Utg857992_25, Utg857992_26
OG0000333	WP_009562239.1	Utg857152_84
OG0000334	WP_009562307.1	Utg857994_81, Utg861744_27
OG0000335	WP_009562964.1	Utg857046_39, Utg857152_112
OG0000336	WP_009564610.1	Utg860006_136
OG0000336	WP_009566457.1	Utg861448_55
OG0000337	WP_009564760.1	Utg862138_52
OG0000338	WP_009566072.1	Utg857152_64
OG0000339	WP_009566369.1, WP_267903947.1	Utg859982_81
OG0000340	WP_009567235.1	Utg857300_40
OG0000342	WP_180830442.1, WP_012535935.1, WP_180830452.1, WP_012536649.1	Utg859750_7, Utg858494_15
OG0000343	WP_012537004.1, WP_012536021.1, WP_012537460.1	Utg858432_41
OG0000344	WP_012536229.1	Utg857046_33
OG0000346	WP_012536451.1	Utg865370_23, Utg863716_15, Utg857076_55
OG0000348	WP_012536538.1	Utg859076_6
OG0000349	WP_012536555.1, WP_012536560.1	Utg860006_78
OG0000350	WP_012607533.1, WP_012536601.1	Utg857682_131
OG0000351	WP_054608863.1, WP_012536857.1	Utg857046_63
OG0000352	WP_012537130.1	Utg857152_37
OG0000353	WP_012537240.1	Utg859982_181
OG0000355	WP_012537418.1	Utg857046_161
OG0000356	WP_012537427.1, WP_054609053.1	Utg859098_215
OG0000357	WP_012537553.1	Utg859432_51
OG0000358	WP_012537707.1	Utg859098_231, Utg857152_203
OG0000359	WP_012607242.1	Utg864866_45
OG0000360	WP_041647474.1	Utg857490_30
OG0000387	WP_009560939.1	Utg857046_158
OG0000388	WP_054608986.1, WP_054608972.1, WP_009561355.1	Utg859388_69
OG0000390	WP_012537476.1, WP_009562421.1	Utg859098_259
OG0000391	WP_009562662.1, WP_012607056.1	Utg859388_80
OG0000392	WP_009562813.1	Utg859432_48
OG0000393	WP_012536777.1, WP_009563800.1	Utg859388_122
OG0000394	WP_009566268.1	Utg858432_118
OG0000395	WP_009566884.1	Utg859388_134
OG0000396	WP_009566949.1	Utg857046_205
OG0000397	WP_009567142.1	Utg859098_263
OG0000398	WP_009567323.1	Utg859388_138, Utg857046_187
OG0000399	WP_009567484.1	Utg857994_19
OG0000400	WP_012536000.1, WP_009567581.1	Utg857994_148
OG0000401	WP_012535766.1	Utg857490_22
OG0000403	WP_012535991.1	Utg859388_57
OG0000406	WP_012536078.1	Utg858432_101
OG0000409	WP_012536144.1	Utg859098_197, Utg859098_196
OG0000410	WP_012536254.1	Utg860814_206, Utg860814_207
OG0000412	WP_012536319.1	Utg859388_117
OG0000413	WP_012536392.1	Utg862138_42
OG0000414	WP_012536519.1	Utg864866_32
OG0000418	WP_012536949.1	Utg862138_20
OG0000419	WP_012536955.1	Utg860006_86
OG0000420	WP_012536981.1	Utg859388_60
OG0000422	WP_012537502.1	Utg857046_203
OG0000423	WP_012537562.1	Utg859098_157
OG0000424	WP_180830455.1, WP_012537590.1	Utg860814_75, Utg859236_20
OG0000425	WP_012537653.1	Utg858494_44, Utg858432_11
OG0000426	WP_012537674.1	Utg859098_264
OG0000427	WP_041838681.1	Utg857490_6
OG0000428	WP_054608948.1	Utg859388_59
OG0000429	WP_233459592.1	Utg866558_37
OG0000457	WP_009560820.1	Utg864866_63
OG0000458	WP_009561363.1	Utg866558_25
OG0000459	WP_009562654.1	Utg859098_217
OG0000460	WP_012536691.1, WP_009563102.1	Utg858432_142
OG0000461	WP_009563301.1	Utg860814_196
OG0000462	WP_012536982.1, WP_012536787.1, WP_009563461.1	Utg859388_61
OG0000463	WP_009564129.1	Utg859982_12
OG0000465	WP_009564605.1	Utg857046_20
OG0000466	WP_009564692.1	Utg857046_29
OG0000467	WP_009564855.1, WP_009569804.1	Utg861744_129
OG0000468	WP_009565783.1, WP_074874161.1	Utg859982_19
OG0000469	WP_009566207.1	Utg857152_63
OG0000470	WP_009566477.1	Utg858432_109
OG0000471	WP_009566480.1	Utg859750_61
OG0000472	WP_009566574.1	Utg860006_132
OG0000473	WP_012537697.1	Utg861744_130
OG0000474	WP_009567190.1	Utg859098_439, Utg858498_4
OG0000476	WP_009567490.1	Utg857490_27
OG0000477	WP_012536151.1, WP_009567582.1	Utg857046_213
OG0000478	WP_009567595.1	Utg857046_34
OG0000479	WP_009567656.1	Utg859098_352
OG0000480	WP_009568282.1	Utg858494_109
OG0000481	WP_054609023.1, WP_009568876.1	Utg857046_84
OG0000485	WP_012535768.1	Utg859098_351
OG0000486	WP_012536028.1	Utg859982_148, Utg859982_149
OG0000487	WP_012536755.1, WP_012536063.1	Utg859098_195
OG0000488	WP_012536103.1	Utg861744_54
OG0000489	WP_012536116.1	Utg859388_187, Utg858498_21
OG0000490	WP_012536127.1	Utg860814_326
OG0000491	WP_012536128.1	Utg857994_162
OG0000492	WP_012536132.1	Utg857152_223
OG0000493	WP_012536143.1	Utg857152_45
OG0000494	WP_012536155.1	Utg857152_20
OG0000495	WP_012536160.1	Utg859098_239, Utg859098_238
OG0000496	WP_012536161.1	Utg862138_40
OG0000497	WP_012536181.1	Utg858432_129
OG0000498	WP_012536182.1	Utg858432_130
OG0000499	WP_012536183.1	Utg860814_96
OG0000501	WP_012536214.1	Utg859388_178
OG0000502	WP_012536243.1	Utg859098_218
OG0000503	WP_012536253.1	Utg859750_73
OG0000504	WP_012536255.1	Utg860814_205
OG0000505	WP_012536257.1	Utg857994_68
OG0000506	WP_012536330.1	Utg859982_40
OG0000507	WP_012536336.1	Utg859750_83
OG0000508	WP_012536351.1	Utg860006_116, Utg859076_17
OG0000509	WP_012536979.1, WP_012536352.1	Utg861744_21
OG0000510	WP_012536360.1	Utg860814_70
OG0000511	WP_012536394.1	Utg857046_259
OG0000512	WP_012536421.1	Utg857994_18
OG0000514	WP_012536532.1	Utg858432_18
OG0000515	WP_012536533.1	Utg859982_11
OG0000516	WP_012536759.1	Utg860814_197
OG0000517	WP_012536767.1	Utg857076_26
OG0000519	WP_054608908.1, WP_012536797.1	Utg859098_182
OG0000520	WP_012536816.1	Utg859388_149
OG0000521	WP_233459598.1, WP_012536827.1	Utg859098_269
OG0000522	WP_012536840.1	Utg859098_204
OG0000523	WP_012536878.1	Utg859388_10
OG0000524	WP_012606471.1, WP_012536920.1	Utg861744_33
OG0000525	WP_012537043.1	Utg863716_65
OG0000526	WP_012537089.1	Utg863716_87
OG0000527	WP_012537123.1	Utg860006_135
OG0000529	WP_012537162.1	Utg857152_77, Utg857152_76
OG0000530	WP_012537306.1	Utg858432_105
OG0000531	WP_012537317.1	Utg860006_87
OG0000532	WP_012537323.1	Utg860006_54
OG0000533	WP_012537326.1	Utg857152_27, Utg857152_26
OG0000535	WP_012537356.1	Utg857152_185
OG0000537	WP_012537410.1	Utg859098_185
OG0000539	WP_012537483.1	Utg857152_159
OG0000540	WP_012537544.1	Utg859236_26
OG0000542	WP_012537556.1	Utg857152_50
OG0000543	WP_012537673.1	Utg859098_262
OG0000544	WP_229129766.1, WP_012537696.1	Utg861744_125
OG0000545	WP_012606542.1	Utg859750_15
OG0000547	WP_180830382.1	Utg860814_120
OG0000549	WP_225487409.1	Utg858498_13
OG0000550	WP_230456331.1	Utg861448_9
OG0000575	WP_009560683.1	Utg859432_50
OG0000576	WP_009560685.1	Utg865370_28
OG0000577	WP_009560747.1	Utg857994_20
OG0000578	WP_009560802.1	Utg861744_32
OG0000579	WP_009560813.1	Utg861744_19
OG0000580	WP_009560843.1	Utg860814_282
OG0000581	WP_009560851.1	Utg858494_143
OG0000582	WP_009560861.1	Utg859750_11
OG0000583	WP_009560911.1	Utg857490_11
OG0000584	WP_009560912.1	Utg857046_225
OG0000585	WP_009560913.1	Utg857046_226
OG0000586	WP_009560916.1	Utg857046_228
OG0000587	WP_009560917.1	Utg859098_170
OG0000588	WP_009561052.1	Utg857046_250
OG0000589	WP_009561081.1	Utg859982_4
OG0000590	WP_009561185.1	Utg857046_196
OG0000591	WP_009561191.1	Utg859432_41
OG0000592	WP_009561285.1	Utg859098_167
OG0000593	WP_009561698.1	Utg858432_36
OG0000594	WP_009562201.1	Utg857152_39
OG0000595	WP_009562382.1	Utg860006_52
OG0000596	WP_009562410.1	Utg859098_222
OG0000597	WP_009562411.1	Utg859098_240
OG0000598	WP_009562424.1	Utg858432_39
OG0000599	WP_009562432.1	Utg859098_188
OG0000600	WP_009562611.1	Utg863716_90
OG0000601	WP_009562807.1	Utg859432_46
OG0000602	WP_009562815.1	Utg859098_243
OG0000603	WP_009562818.1	Utg860006_130
OG0000604	WP_009562823.1	Utg859750_70
OG0000605	WP_009562824.1	Utg863716_99
OG0000606	WP_009562995.1	Utg865370_35
OG0000607	WP_009563107.1	Utg857152_11
OG0000608	WP_009563302.1	Utg860814_195
OG0000609	WP_229129790.1, WP_009563706.1	Utg857994_166
OG0000610	WP_009564018.1	Utg858494_91
OG0000611	WP_009564109.1	Utg859098_165
OG0000612	WP_009564128.1	Utg866558_22
OG0000613	WP_009564594.1	Utg866558_21
OG0000615	WP_009564727.1	Utg858494_101
OG0000616	WP_009564729.1	Utg858494_99
OG0000617	WP_009565432.1	Utg858494_129
OG0000618	WP_009565434.1	Utg858494_127
OG0000619	WP_009565435.1	Utg858494_126
OG0000620	WP_009565436.1	Utg858494_125
OG0000621	WP_009565437.1	Utg858494_124
OG0000622	WP_009565541.1	Utg859236_96
OG0000623	WP_009565749.1	Utg857994_147
OG0000624	WP_009565803.1	Utg859098_193
OG0000625	WP_009565805.1	Utg859098_192
OG0000626	WP_009566208.1	Utg861744_118
OG0000627	WP_009566247.1	Utg858494_90
OG0000628	WP_009566444.1	Utg859076_34
OG0000630	WP_009566572.1	Utg857152_31
OG0000631	WP_009566573.1	Utg857152_28
OG0000632	WP_009566576.1	Utg859388_81
OG0000633	WP_009566620.1	Utg861448_58, Utg861448_57, Utg860814_165
OG0000634	WP_009566635.1	Utg857994_128
OG0000635	WP_009566647.1	Utg859236_17
OG0000636	WP_009566653.1	Utg859982_221
OG0000637	WP_009566798.1	Utg859388_63
OG0000638	WP_009566813.1	Utg857076_19
OG0000639	WP_009566882.1	Utg859982_5
OG0000640	WP_009566883.1	Utg860006_133
OG0000641	WP_009566950.1	Utg858432_119
OG0000642	WP_009566960.1	Utg857046_24
OG0000643	WP_009567014.1	Utg857994_157
OG0000644	WP_009567059.1	Utg857152_22
OG0000645	WP_009567097.1	Utg857046_27
OG0000646	WP_009567098.1	Utg858432_47
OG0000647	WP_009567099.1	Utg858432_46
OG0000648	WP_009567102.1	Utg858432_43
OG0000649	WP_009567132.1	Utg857994_158
OG0000650	WP_009567136.1	Utg857992_20
OG0000651	WP_009567143.1	Utg859098_261
OG0000652	WP_009567229.1	Utg859388_12
OG0000653	WP_009567236.1	Utg859098_160
OG0000654	WP_009567244.1	Utg859750_12, Utg859750_13
OG0000655	WP_009567300.1	Utg857490_21
OG0000656	WP_009567336.1	Utg860814_287
OG0000657	WP_009567337.1	Utg860814_288
OG0000658	WP_009567340.1	Utg860814_293
OG0000659	WP_009567341.1	Utg860814_294
OG0000660	WP_009567384.1	Utg862138_23
OG0000661	WP_009567386.1	Utg862138_24
OG0000662	WP_009567445.1	Utg859236_80
OG0000664	WP_009567486.1	Utg860006_55
OG0000665	WP_009567513.1	Utg859750_18
OG0000667	WP_009567579.1	Utg857300_3
OG0000668	WP_009567636.1, WP_012536721.1, WP_198293661.1	Utg861448_16
OG0000669	WP_009567649.1, WP_203602227.1	Utg861744_69
OG0000670	WP_009567690.1	Utg858432_31
OG0000671	WP_009567983.1	Utg860006_65
OG0000672	WP_009568056.1	Utg857152_41
OG0000673	WP_009568262.1	Utg859982_38
OG0000674	WP_009568264.1	Utg859236_45
OG0000675	WP_009568267.1	Utg858432_131
OG0000676	WP_009568268.1	Utg859098_162
OG0000677	WP_009568279.1	Utg858494_106
OG0000678	WP_009568280.1	Utg858494_107
OG0000679	WP_009568284.1	Utg866558_16
OG0000680	WP_009568607.1	Utg857490_9
OG0000681	WP_009568779.1	Utg858494_138
OG0000682	WP_009568780.1	Utg858494_139
OG0000683	WP_054609092.1, WP_009568883.1, WP_054609085.1	Utg860006_24
OG0000684	WP_009569104.1	Utg857152_110
OG0000685	WP_009569276.1	Utg858494_115
OG0000686	WP_009569543.1	Utg858494_58
OG0000687	WP_009569556.1	Utg858494_119
OG0000688	WP_009569558.1	Utg858494_121
OG0000689	WP_009569559.1	Utg858494_122
OG0000690	WP_009569795.1	Utg857300_51
OG0000691	WP_010641426.1	Utg858494_135
OG0000692	WP_012535739.1	Utg857152_13
OG0000693	WP_012535749.1	Utg857682_77
OG0000694	WP_012535756.1	Utg857046_223
OG0000695	WP_012535765.1	Utg861744_138
OG0000696	WP_012535802.1	Utg857682_78
OG0000697	WP_012535804.1	Utg857152_72
OG0000698	WP_012535974.1	Utg866558_23
OG0000699	WP_012535976.1	Utg857992_14
OG0000700	WP_012535994.1	Utg857994_23
OG0000701	WP_012535997.1	Utg859982_145
OG0000702	WP_012536008.1	Utg863716_85
OG0000704	WP_012536016.1	Utg858432_50
OG0000705	WP_012536017.1	Utg858432_49
OG0000706	WP_012536018.1	Utg858432_48
OG0000707	WP_012536019.1	Utg858432_45
OG0000708	WP_012536023.1	Utg858432_38
OG0000709	WP_012536040.1	Utg859098_244
OG0000710	WP_012536051.1	Utg858432_137
OG0000711	WP_012536059.1	Utg857300_58
OG0000712	WP_012536064.1	Utg859098_194
OG0000713	WP_012536070.1	Utg859388_72
OG0000714	WP_012536072.1	Utg859388_74
OG0000715	WP_012536073.1	Utg857490_10
OG0000716	WP_012536074.1	Utg857490_8
OG0000717	WP_012536079.1	Utg858494_142
OG0000718	WP_012536080.1	Utg858494_141
OG0000719	WP_012536081.1	Utg858494_140
OG0000720	WP_012536082.1	Utg858494_137
OG0000721	WP_012536084.1	Utg858494_134
OG0000722	WP_012536086.1	Utg858494_130
OG0000723	WP_012536087.1	Utg858494_128
OG0000724	WP_012536088.1	Utg858494_123
OG0000725	WP_012536089.1	Utg858494_120
OG0000726	WP_012536090.1	Utg858494_118
OG0000727	WP_012536093.1	Utg858494_114
OG0000728	WP_012536094.1	Utg858494_113
OG0000729	WP_012536095.1	Utg858494_112
OG0000730	WP_012536096.1	Utg858494_111
OG0000731	WP_012536098.1	Utg858494_105
OG0000732	WP_012536099.1	Utg858494_104
OG0000733	WP_012536100.1	Utg858494_103
OG0000734	WP_012536101.1	Utg860814_296
OG0000735	WP_012536102.1	Utg857994_165
OG0000736	WP_012536109.1	Utg860814_280
OG0000737	WP_012536117.1	Utg860814_290
OG0000738	WP_012536126.1	Utg859432_37
OG0000739	WP_012536147.1	Utg859098_184
OG0000740	WP_012536153.1	Utg857046_195
OG0000741	WP_012536187.1	Utg857152_47
OG0000742	WP_012536192.1, WP_012537512.1	Utg857046_188
