Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523
OG0000077	WP_009562388.1	WP_015404654.1
OG0000077	WP_012536420.1	WP_015404715.1
OG0000078	WP_009567307.1	WP_208598488.1
OG0000078	WP_012536784.1	WP_015402312.1, WP_015403864.1
OG0000079	WP_012536378.1, WP_229129778.1, WP_012536377.1	WP_015402977.1, WP_015405417.1, WP_015404623.1
OG0000080	WP_012537336.1, WP_012537023.1	WP_015402686.1
OG0000080	WP_012537522.1	WP_015404671.1
OG0000085	WP_054609046.1, WP_012537430.1, WP_230456338.1	WP_153304855.1
OG0000086	WP_054608841.1	WP_015403683.1, WP_265588649.1
OG0000091	WP_012536362.1, WP_012537064.1, WP_225487639.1	WP_015402418.1
OG0000091	WP_009561353.1	WP_015404791.1
OG0000092	WP_009562486.1	WP_015403796.1
OG0000093	WP_009564668.1	WP_015402704.1
OG0000094	WP_012607230.1	WP_015404230.1
OG0000094	WP_012536031.1	WP_015404703.1
OG0000095	WP_226834132.1	WP_015403025.1
OG0000095	WP_012536481.1	WP_265588636.1
OG0000096	WP_012536595.1	WP_015405356.1
OG0000097	WP_012607461.1	WP_015402395.1, WP_015404820.1, WP_015403348.1, WP_015403223.1
OG0000101	WP_009560846.1, WP_012537491.1	WP_228130039.1, WP_015403666.1
OG0000103	WP_009566205.1, WP_054608900.1, WP_009567505.1	WP_015404021.1, WP_015402491.1
OG0000104	WP_054608783.1, WP_012536624.1	WP_015403990.1
OG0000105	WP_012536834.1	WP_015404793.1
OG0000106	WP_012536953.1	WP_015403625.1, WP_015404007.1
OG0000112	WP_009567621.1	WP_015403936.1, WP_015404001.1
OG0000115	WP_012536267.1	WP_015403910.1
OG0000115	WP_012537150.1	WP_015404572.1
OG0000116	WP_012536314.1	WP_015402490.1
OG0000117	WP_012536516.1, WP_012536851.1	WP_015403805.1
OG0000126	WP_009561865.1	WP_015404803.1
OG0000126	WP_009562220.1	WP_015402913.1
OG0000127	WP_009562383.1	WP_015404182.1
OG0000127	WP_012536821.1	WP_015404183.1
OG0000128	WP_012537059.1	WP_015402505.1
OG0000128	WP_009562675.1	WP_015405039.1
OG0000129	WP_012537381.1	WP_015402307.1
OG0000130	WP_012535980.1	WP_015402762.1
OG0000131	WP_012536872.1, WP_012536232.1	WP_153304997.1
OG0000132	WP_012536482.1	WP_153305005.1
OG0000133	WP_012536518.1	WP_228130048.1
OG0000134	WP_012536758.1	WP_015402789.1
OG0000134	WP_012536689.1, WP_012537087.1	WP_015405212.1
OG0000135	WP_012536874.1	WP_015403944.1, WP_015403834.1
OG0000136	WP_226833862.1	WP_015405352.1
OG0000141	WP_151528219.1, WP_012537095.1, WP_009564717.1, WP_009569278.1, WP_009566566.1, WP_012537108.1, WP_012536550.1	WP_228130036.1
OG0000142	WP_009565767.1	WP_015404601.1
OG0000143	WP_012535762.1	WP_015402714.1
OG0000144	WP_012536261.1	WP_015404757.1
OG0000144	WP_012535990.1	WP_015404779.1
OG0000145	WP_012536065.1	WP_015404615.1, WP_015402384.1
OG0000147	WP_012536474.1	WP_015404800.1
OG0000149	WP_012536987.1	WP_015404246.1, WP_015404202.1, WP_015404242.1
OG0000150	WP_012537129.1	WP_015404955.1, WP_015404102.1, WP_015403878.1
OG0000151	WP_012537514.1	WP_015404064.1
OG0000158	WP_054609079.1	WP_015403712.1
OG0000159	WP_009562226.1	WP_208598504.1, WP_015404336.1, WP_015403472.1, WP_015403779.1, WP_015405738.1
OG0000160	WP_009562607.1	WP_015402570.1
OG0000162	WP_009566069.1	WP_041916377.1
OG0000163	WP_009567122.1	WP_015403342.1, WP_015404356.1
OG0000164	WP_009567465.1	WP_015403628.1
OG0000165	WP_012536010.1	WP_015402948.1
OG0000166	WP_012536041.1	WP_015405604.1
OG0000166	WP_226833941.1	WP_015404252.1
OG0000167	WP_012536060.1	WP_015403235.1
OG0000167	WP_012536954.1	WP_015404889.1
OG0000168	WP_012537672.1, WP_229129812.1	WP_015403840.1
OG0000169	WP_012536327.1	WP_015404816.1
OG0000171	WP_012536824.1	WP_015402771.1, WP_015404886.1, WP_015404887.1
OG0000172	WP_012536912.1, WP_054609094.1	WP_015404511.1
OG0000173	WP_012536922.1	WP_015403640.1
OG0000174	WP_012536983.1	WP_015402361.1, WP_015403695.1
OG0000175	WP_087455007.1	WP_208598472.1
OG0000183	WP_009566651.1, WP_009561179.1	WP_208598531.1
OG0000184	WP_009562054.1	WP_015404418.1
OG0000185	WP_009562658.1	WP_015404124.1
OG0000187	WP_009566505.1	WP_015404268.1
OG0000188	WP_054608791.1, WP_012536043.1, WP_009567117.1	WP_015403875.1
OG0000190	WP_180830499.1	WP_015404901.1
OG0000191	WP_012536198.1	WP_228130031.1
OG0000191	WP_225487193.1	WP_015403618.1
OG0000193	WP_012536453.1	WP_015402732.1
OG0000194	WP_012536581.1	WP_015402613.1, WP_015403363.1
OG0000195	WP_012536731.1, WP_055448950.1, WP_054608711.1	WP_167320713.1, WP_015402308.1
OG0000196	WP_012537302.1	WP_015405758.1
OG0000197	WP_012537576.1	WP_015402858.1
OG0000198	WP_012537594.1	WP_015404032.1
OG0000198	WP_012537705.1	WP_015405101.1
OG0000199	WP_012537596.1	WP_015403925.1, WP_015405043.1
OG0000200	WP_012537660.1	WP_015405573.1, WP_015403368.1
OG0000209	WP_009560794.1	WP_015403972.1
OG0000210	WP_012536485.1, WP_009560819.1	WP_153304845.1
OG0000211	WP_009560875.1	WP_015402955.1
OG0000214	WP_009562639.1, WP_012537439.1	WP_015403656.1
OG0000215	WP_031572872.1	WP_015405467.1
OG0000215	WP_009567346.1	WP_015403395.1
OG0000216	WP_012606601.1, WP_009567592.1	WP_015403304.1, WP_015404094.1
OG0000217	WP_009567626.1	WP_015404433.1
OG0000218	WP_012536052.1	WP_015405521.1, WP_015403719.1, WP_015403718.1
OG0000219	WP_012536999.1, WP_012536156.1	WP_015403862.1
OG0000222	WP_012536488.1	WP_015404363.1
OG0000223	WP_012536535.1	WP_015404744.1
OG0000223	WP_180830504.1	WP_041916376.1
OG0000224	WP_012536669.1	WP_015403713.1
OG0000225	WP_012537676.1	WP_228130059.1, WP_015402983.1
OG0000225	WP_012536768.1	WP_153304792.1
OG0000226	WP_012536936.1, WP_012536937.1	WP_015403895.1
OG0000227	WP_012536947.1	WP_015405532.1
OG0000228	WP_012606556.1	WP_015404722.1
OG0000229	WP_233459570.1	WP_015403080.1, WP_015405258.1
OG0000229	WP_012537489.1, WP_012537586.1, WP_012537124.1	WP_015403531.1
OG0000230	WP_054608848.1	WP_015405214.1
OG0000232	WP_054609073.1	WP_015404828.1, WP_228130015.1
OG0000233	WP_180830512.1	WP_015405001.1, WP_015403097.1
OG0000234	WP_225487654.1	WP_015404541.1
OG0000248	WP_012536050.1	WP_015402961.1
OG0000250	WP_009562194.1	WP_015405307.1
OG0000252	WP_009565424.1	WP_015405759.1
OG0000253	WP_012536020.1, WP_009566305.1	WP_015405687.1
OG0000256	WP_012537437.1	WP_015403654.1
OG0000257	WP_012536012.1	WP_015404474.1, WP_015403400.1
OG0000258	WP_012536034.1	WP_052327002.1, WP_041916466.1
OG0000259	WP_012607080.1	WP_015404586.1
OG0000260	WP_233459567.1, WP_012536828.1	WP_167320763.1
OG0000260	WP_012536397.1	WP_015402947.1
OG0000261	WP_012536559.1, WP_157293185.1	WP_015404558.1
OG0000262	WP_012536942.1	WP_015405634.1
OG0000263	WP_225487436.1	WP_015403031.1
OG0000264	WP_012537655.1	WP_015403248.1, WP_015403956.1
OG0000265	WP_012537657.1	WP_015403241.1, WP_015403954.1
OG0000266	WP_012537658.1	WP_015403244.1, WP_015403914.1
OG0000268	WP_041646068.1	WP_015402508.1
OG0000269	WP_054609063.1	WP_015404334.1, WP_015404333.1
OG0000270	WP_229129792.1	WP_015403162.1
OG0000283	WP_009560879.1	WP_015403418.1
OG0000284	WP_009560923.1	WP_015403619.1
OG0000285	WP_009567365.1, WP_009561385.1, WP_009565301.1, WP_054608740.1, WP_009565762.1	WP_015404434.1
OG0000287	WP_009566245.1, WP_009562362.1	WP_015402629.1
OG0000290	WP_215905594.1, WP_229129783.1, WP_009566370.1, WP_229129815.1	WP_015404568.1
OG0000291	WP_009566445.1	WP_015404986.1
OG0000292	WP_009566482.1	WP_228130008.1
OG0000293	WP_009566650.1	WP_015405755.1
OG0000294	WP_151528220.1, WP_012537092.1, WP_012536342.1, WP_012537537.1, WP_012537109.1, WP_012536551.1	WP_015403030.1
OG0000295	WP_009566924.1	WP_015404534.1
OG0000296	WP_009567461.1	WP_015403918.1
OG0000297	WP_009567888.1	WP_015403344.1
OG0000298	WP_012536508.1	WP_015404125.1
OG0000299	WP_012536067.1	WP_015403320.1, WP_015405743.1
OG0000300	WP_012537695.1, WP_012536306.1	WP_015403426.1
OG0000301	WP_012536440.1	WP_228130009.1, WP_015403119.1
OG0000302	WP_012536450.1	WP_015402586.1, WP_015403592.1
OG0000305	WP_012536826.1, WP_054608850.1	WP_015403709.1
OG0000306	WP_012536970.1, WP_226833838.1	WP_015405248.1
OG0000307	WP_012537295.1	WP_015405767.1
OG0000308	WP_012537299.1	WP_015405760.1
OG0000309	WP_012537406.1	WP_015403758.1
OG0000310	WP_012537505.1	WP_015404633.1, WP_015404219.1, WP_015404235.1
OG0000311	WP_012537568.1	WP_208598473.1
OG0000312	WP_012537595.1	WP_015405651.1
OG0000313	WP_012607392.1	WP_015404163.1
OG0000314	WP_012607483.1	WP_015405762.1
OG0000331	WP_009564442.1, WP_009561007.1	WP_015405475.1
OG0000332	WP_009561368.1	WP_015405537.1
OG0000333	WP_009562239.1	WP_015403733.1, WP_015403934.1
OG0000334	WP_009562307.1	WP_015403351.1
OG0000335	WP_009562964.1	WP_015403959.1
OG0000336	WP_009564610.1	WP_015404585.1
OG0000337	WP_009564760.1	WP_015405731.1
OG0000338	WP_009566072.1	WP_015403909.1
OG0000339	WP_009566369.1, WP_267903947.1	WP_015403039.1, WP_015405469.1
OG0000340	WP_009567235.1	WP_015403067.1
OG0000341	WP_009568735.1	WP_015405804.1
OG0000343	WP_012537004.1, WP_012536021.1, WP_012537460.1	WP_015405688.1
OG0000344	WP_012536229.1	WP_015404093.1, WP_015403303.1
OG0000345	WP_012537234.1	WP_015403061.1
OG0000346	WP_012536451.1	WP_015403591.1, WP_015402585.1
OG0000347	WP_012536483.1	WP_041916354.1, WP_228130011.1
OG0000348	WP_012536538.1	WP_015403564.1
OG0000348	WP_012537571.1	WP_015403065.1
OG0000349	WP_012536555.1, WP_012536560.1	WP_015404560.1
OG0000352	WP_012537130.1	WP_015405787.1, WP_015403877.1
OG0000353	WP_012537240.1	WP_015404899.1
OG0000354	WP_012537335.1	WP_015402685.1
OG0000356	WP_012537427.1, WP_054609053.1	WP_015405042.1
OG0000357	WP_012537553.1	WP_015402963.1
OG0000358	WP_012537707.1	WP_015405066.1, WP_015403098.1
OG0000359	WP_012607242.1	WP_015402603.1
OG0000360	WP_041647474.1	WP_015404165.1
OG0000388	WP_054608986.1, WP_054608972.1, WP_009561355.1	WP_015404792.1
OG0000389	WP_009566266.1, WP_009562205.1	WP_015403093.1
OG0000390	WP_012537476.1, WP_009562421.1	WP_015405129.1
OG0000391	WP_009562662.1, WP_012607056.1	WP_015405595.1
OG0000392	WP_009562813.1	WP_015402960.1, WP_015403130.1
OG0000393	WP_012536777.1, WP_009563800.1	WP_015405397.1
OG0000394	WP_009566268.1	WP_015405620.1
OG0000395	WP_009566884.1	WP_015405385.1, WP_015404600.1
OG0000396	WP_009566949.1	WP_015404016.1
OG0000397	WP_009567142.1	WP_015405133.1
OG0000398	WP_009567323.1	WP_015404034.1
OG0000399	WP_009567484.1	WP_015404853.1
OG0000400	WP_012536000.1, WP_009567581.1	WP_015404727.1
OG0000401	WP_012535766.1	WP_015404176.1
OG0000402	WP_012535777.1	WP_015404651.1
OG0000403	WP_012535991.1	WP_015404778.1
OG0000406	WP_012536078.1	WP_228130050.1, WP_015403479.1
OG0000407	WP_012536131.1	WP_015403831.1
OG0000409	WP_012536144.1	WP_015405028.1
OG0000410	WP_012536254.1	WP_015405264.1, WP_015402353.1
OG0000413	WP_012536392.1	WP_015403446.1
OG0000414	WP_012536519.1	WP_015403280.1, WP_015403160.1
OG0000415	WP_012536558.1	WP_015402809.1, WP_015402798.1
OG0000417	WP_012536902.1	WP_015403699.1
OG0000418	WP_012536949.1	WP_015405752.1
OG0000419	WP_012536955.1	WP_015404566.1
OG0000420	WP_012536981.1	WP_167320749.1
OG0000422	WP_012537502.1	WP_015404018.1
OG0000423	WP_012537562.1	WP_015405222.1
OG0000424	WP_180830455.1, WP_012537590.1	WP_015404172.1
OG0000425	WP_012537653.1	WP_015405708.1
OG0000426	WP_012537674.1	WP_015405134.1
OG0000427	WP_041838681.1	WP_015404262.1, WP_015402929.1
OG0000428	WP_054608948.1	WP_015404780.1
OG0000429	WP_233459592.1	WP_015405570.1
OG0000457	WP_009560820.1	WP_208598499.1
OG0000458	WP_009561363.1	WP_015405560.1
OG0000459	WP_009562654.1	WP_015405044.1
OG0000460	WP_012536691.1, WP_009563102.1	WP_015405601.1
OG0000461	WP_009563301.1	WP_015402359.1
OG0000462	WP_012536982.1, WP_012536787.1, WP_009563461.1	WP_015404782.1
OG0000463	WP_009564129.1	WP_015405449.1
OG0000465	WP_009564605.1	WP_015404108.1
OG0000466	WP_009564692.1	WP_015404099.1
OG0000467	WP_009564855.1, WP_009569804.1	WP_015403423.1
OG0000468	WP_009565783.1, WP_074874161.1	WP_015405442.1
OG0000469	WP_009566207.1	WP_015403908.1
OG0000470	WP_009566477.1	WP_015405629.1
OG0000471	WP_009566480.1	WP_015402724.1
OG0000472	WP_009566574.1	WP_015404576.1
OG0000473	WP_012537697.1	WP_265588642.1
OG0000474	WP_009567190.1	WP_015405340.1
OG0000475	WP_009567364.1	WP_015403842.1
OG0000476	WP_009567490.1	WP_015404168.1
OG0000477	WP_012536151.1, WP_009567582.1	WP_015404008.1
OG0000478	WP_009567595.1	WP_015404092.1, WP_015403302.1
OG0000479	WP_009567656.1	WP_015405193.1
OG0000480	WP_009568282.1	WP_015404302.1
OG0000481	WP_054609023.1, WP_009568876.1	WP_015404083.1
OG0000484	WP_012535750.1	WP_015403760.1
OG0000485	WP_012535768.1	WP_015405192.1
OG0000486	WP_012536028.1	WP_015404881.1
OG0000487	WP_012536755.1, WP_012536063.1	WP_015405027.1
OG0000488	WP_012536103.1	WP_015403375.1
OG0000489	WP_012536116.1	WP_228130021.1
OG0000490	WP_012536127.1	WP_015402294.1
OG0000491	WP_012536128.1	WP_015404713.1
OG0000492	WP_012536132.1	WP_041916554.1
OG0000493	WP_012536143.1	WP_015403885.1
OG0000494	WP_012536155.1	WP_015403661.1
OG0000495	WP_012536160.1	WP_015405099.1
OG0000496	WP_012536161.1	WP_015405733.1
OG0000497	WP_012536181.1	WP_015405614.1
OG0000498	WP_012536182.1	WP_015405613.1
OG0000499	WP_012536183.1	WP_015402600.1, WP_015405505.1
OG0000501	WP_012536214.1	WP_015403989.1, WP_015402683.1
OG0000502	WP_012536243.1	WP_015405045.1
OG0000503	WP_012536253.1	WP_015403102.1
OG0000504	WP_012536255.1	WP_015405265.1, WP_015402354.1
OG0000505	WP_012536257.1	WP_015404141.1
OG0000506	WP_012536330.1	WP_153305003.1, WP_015404813.1
OG0000507	WP_012536336.1	WP_015402706.1
OG0000508	WP_012536351.1	WP_015403578.1, WP_015403440.1
OG0000509	WP_012536979.1, WP_012536352.1	WP_015403345.1
OG0000510	WP_012536360.1	WP_015402412.1
OG0000511	WP_012536394.1	WP_015403968.1
OG0000512	WP_012536421.1	WP_015404854.1
OG0000513	WP_012536460.1	WP_015403843.1
OG0000514	WP_012536532.1	WP_015405704.1
OG0000515	WP_012536533.1	WP_015404672.1, WP_015405450.1
OG0000516	WP_012536759.1	WP_015402358.1
OG0000517	WP_012536767.1	WP_015403261.1, WP_015404355.1
OG0000518	WP_012537237.1, WP_012536786.1	WP_015402512.1
OG0000519	WP_054608908.1, WP_012536797.1	WP_015405014.1
OG0000520	WP_012536816.1	WP_015405376.1
OG0000521	WP_233459598.1, WP_012536827.1	WP_015405139.1
OG0000522	WP_012536840.1	WP_015405032.1
OG0000523	WP_012536878.1	WP_015404736.1
OG0000524	WP_012606471.1, WP_012536920.1	WP_015403357.1
OG0000526	WP_012537089.1	WP_015402518.1
OG0000527	WP_012537123.1	WP_228130012.1
OG0000528	WP_012537142.1, WP_012537261.1, WP_012607567.1	WP_167320734.1
OG0000529	WP_012537162.1	WP_015403920.1
OG0000530	WP_012537306.1	WP_015405633.1
OG0000531	WP_012537317.1	WP_015404567.1
OG0000532	WP_012537323.1	WP_015404539.1
OG0000533	WP_012537326.1	WP_015403868.1
OG0000534	WP_012537330.1	WP_015402863.1, WP_015405596.1
OG0000535	WP_012537356.1	WP_015402664.1
OG0000536	WP_012606641.1	WP_015403275.1
OG0000537	WP_012537410.1	WP_015405017.1
OG0000538	WP_012537428.1	WP_015403076.1
OG0000539	WP_012537483.1	WP_015402679.1
OG0000540	WP_012537544.1	WP_015404471.1
OG0000542	WP_012537556.1	WP_015403888.1
OG0000543	WP_012537673.1	WP_015405132.1
OG0000544	WP_229129766.1, WP_012537696.1	WP_015403427.1
OG0000545	WP_012606542.1	WP_015404963.1, WP_015402736.1
OG0000547	WP_180830382.1	WP_228130060.1
OG0000548	WP_215905524.1	WP_015403059.1
OG0000549	WP_225487409.1	WP_015405349.1
OG0000550	WP_230456331.1	WP_015405518.1
OG0000575	WP_009560683.1	WP_015404467.1, WP_015402962.1
OG0000576	WP_009560685.1	WP_015403169.1
OG0000577	WP_009560747.1	WP_041916988.1
OG0000578	WP_009560802.1	WP_015403356.1
OG0000579	WP_009560813.1	WP_015403343.1
OG0000580	WP_009560843.1	WP_015402309.1
OG0000581	WP_009560851.1	WP_015404269.1
OG0000582	WP_009560861.1	WP_015402739.1
OG0000583	WP_009560911.1	WP_015404258.1
OG0000584	WP_009560912.1	WP_015403998.1
OG0000585	WP_009560913.1	WP_015403997.1
OG0000586	WP_009560916.1	WP_083907252.1
OG0000587	WP_009560917.1	WP_015405003.1
OG0000588	WP_009561052.1	WP_015403991.1
OG0000589	WP_009561081.1	WP_015405457.1
OG0000590	WP_009561185.1	WP_015404022.1
OG0000591	WP_009561191.1	WP_015402953.1
OG0000592	WP_009561285.1	WP_015405213.1
OG0000593	WP_009561698.1	WP_015405693.1
OG0000594	WP_009562201.1	WP_015403879.1
OG0000595	WP_009562382.1	WP_015404537.1
OG0000596	WP_009562410.1	WP_015405048.1
OG0000597	WP_009562411.1	WP_015405100.1
OG0000598	WP_009562424.1	WP_015405690.1
OG0000599	WP_009562432.1	WP_015405020.1
OG0000600	WP_009562611.1	WP_015402515.1
OG0000601	WP_009562807.1	WP_015402958.1
OG0000602	WP_009562815.1	WP_015405103.1
OG0000603	WP_009562818.1	WP_015404575.1
OG0000604	WP_009562823.1	WP_015402715.1
OG0000605	WP_009562824.1	WP_083907155.1
OG0000606	WP_009562995.1	WP_228130038.1
OG0000607	WP_009563107.1	WP_167320733.1
OG0000608	WP_009563302.1	WP_228130026.1
OG0000609	WP_229129790.1, WP_009563706.1	WP_228130078.1
OG0000610	WP_009564018.1	WP_015404319.1
OG0000611	WP_009564109.1	WP_015405215.1
OG0000612	WP_009564128.1	WP_015405558.1
OG0000613	WP_009564594.1	WP_015405557.1
OG0000614	WP_009564695.1	WP_015403833.1
OG0000615	WP_009564727.1	WP_015404310.1
OG0000616	WP_009564729.1	WP_015404312.1
OG0000617	WP_009565432.1	WP_015404282.1
OG0000618	WP_009565434.1	WP_015404284.1
OG0000619	WP_009565435.1	WP_015404285.1
OG0000620	WP_009565436.1	WP_015404286.1
OG0000621	WP_009565437.1	WP_015404287.1
OG0000622	WP_009565541.1	WP_015404375.1
OG0000623	WP_009565749.1	WP_015404728.1
OG0000624	WP_009565803.1	WP_015405025.1
OG0000625	WP_009565805.1	WP_015405024.1
OG0000626	WP_009566208.1	WP_015403434.1
OG0000627	WP_009566247.1	WP_015404320.1
OG0000628	WP_009566444.1	WP_015402471.1
OG0000629	WP_009566467.1	WP_015404142.1
OG0000630	WP_009566572.1	WP_015403871.1
OG0000631	WP_009566573.1	WP_015403869.1
OG0000632	WP_009566576.1	WP_015404802.1
OG0000633	WP_009566620.1	WP_015404414.1
OG0000634	WP_009566635.1	WP_015405484.1
OG0000635	WP_009566647.1	WP_015404478.1
OG0000637	WP_009566798.1	WP_015404786.1
OG0000638	WP_009566813.1	WP_015404362.1
OG0000639	WP_009566882.1	WP_015405456.1
OG0000640	WP_009566883.1	WP_015404578.1
OG0000641	WP_009566950.1	WP_015405619.1
OG0000642	WP_009566960.1	WP_015404104.1
OG0000643	WP_009567014.1	WP_015404719.1
OG0000644	WP_009567059.1	WP_015403865.1
OG0000645	WP_009567097.1	WP_153304871.1
OG0000646	WP_009567098.1	WP_015405682.1
OG0000647	WP_009567099.1	WP_015405683.1
OG0000648	WP_009567102.1	WP_015405686.1
OG0000649	WP_009567132.1	WP_015404718.1
OG0000650	WP_009567136.1	WP_015405533.1
OG0000651	WP_009567143.1	WP_015405131.1
OG0000652	WP_009567229.1	WP_015404738.1
OG0000653	WP_009567236.1	WP_041917055.1
OG0000654	WP_009567244.1	WP_015402738.1
OG0000655	WP_009567300.1	WP_015404177.1
OG0000656	WP_009567336.1	WP_015402306.1
OG0000657	WP_009567337.1	WP_015402305.1
OG0000658	WP_009567340.1	WP_015402301.1
OG0000659	WP_009567341.1	WP_015402300.1
OG0000660	WP_009567384.1	WP_015405750.1
OG0000661	WP_009567386.1	WP_015405749.1
OG0000662	WP_009567445.1	WP_015404379.1
OG0000663	WP_012536312.1, WP_009567477.1	WP_015403013.1
OG0000664	WP_009567486.1	WP_015404540.1
OG0000665	WP_009567513.1	WP_015402733.1
OG0000666	WP_009567572.1	WP_015402799.1, WP_015403904.1
OG0000667	WP_009567579.1	WP_015403629.1
OG0000668	WP_009567636.1, WP_012536721.1, WP_198293661.1	WP_015403715.1
OG0000669	WP_009567649.1, WP_203602227.1	WP_015402625.1
OG0000670	WP_009567690.1	WP_015405697.1
OG0000671	WP_009567983.1	WP_015404549.1
OG0000672	WP_009568056.1	WP_015403881.1
OG0000673	WP_009568262.1	WP_015404811.1
OG0000674	WP_009568264.1	WP_015404432.1
OG0000675	WP_009568267.1	WP_015405612.1
OG0000676	WP_009568268.1	WP_015405218.1
OG0000677	WP_009568279.1	WP_015404305.1
OG0000678	WP_009568280.1	WP_015404304.1
OG0000679	WP_009568284.1	WP_015405552.1
OG0000680	WP_009568607.1	WP_015404260.1
OG0000681	WP_009568779.1	WP_208598517.1
OG0000682	WP_009568780.1	WP_015404273.1
OG0000683	WP_054609092.1, WP_009568883.1, WP_054609085.1	WP_015404510.1
OG0000684	WP_009569104.1	WP_015403957.1
OG0000685	WP_009569276.1	WP_015404296.1
OG0000686	WP_009569543.1	WP_015404330.1
OG0000687	WP_009569556.1	WP_015404292.1
OG0000688	WP_009569558.1	WP_015404290.1
OG0000689	WP_009569559.1	WP_015404289.1
OG0000690	WP_009569795.1	WP_015403507.1
OG0000691	WP_010641426.1	WP_015404277.1
OG0000692	WP_012535739.1	WP_015403857.1
OG0000693	WP_012535749.1	WP_015403094.1
OG0000694	WP_012535756.1	WP_015404000.1
OG0000695	WP_012535765.1	WP_153304833.1
OG0000696	WP_012535802.1	WP_015403092.1
OG0000697	WP_012535804.1	WP_015403917.1
OG0000698	WP_012535974.1	WP_228130088.1
OG0000699	WP_012535976.1	WP_015405529.1
OG0000700	WP_012535994.1	WP_015404849.1
OG0000701	WP_012535997.1	WP_015404878.1
