Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfotalea psychrophila LSv54
OG0000119	WP_012537040.1	WP_011188592.1, WP_011187807.1
OG0000120	WP_012537529.1, WP_012607593.1	WP_011187392.1
OG0000126	WP_009561865.1	WP_011190020.1
OG0000127	WP_009562383.1	WP_011188334.1
OG0000127	WP_012536821.1	WP_011188335.1
OG0000128	WP_012537059.1	WP_011190249.1
OG0000128	WP_009562675.1	WP_041278021.1
OG0000131	WP_012536872.1, WP_012536232.1	WP_011189957.1
OG0000132	WP_012536482.1	WP_156792284.1
OG0000133	WP_012536518.1	WP_011188470.1
OG0000134	WP_012536758.1	WP_011188144.1
OG0000134	WP_012536689.1, WP_012537087.1	WP_011189428.1
OG0000135	WP_012536874.1	WP_011190396.1, WP_011189338.1
OG0000136	WP_226833862.1	WP_156792292.1
OG0000141	WP_012536164.1	WP_011190214.1, WP_011190215.1
OG0000142	WP_009565767.1	WP_156792321.1
OG0000143	WP_012535762.1	WP_011190324.1
OG0000144	WP_012535990.1	WP_011189528.1
OG0000145	WP_012536065.1	WP_156792207.1, WP_011188174.1
OG0000147	WP_012536474.1	WP_011190023.1
OG0000150	WP_012537129.1	WP_156792302.1, WP_011188038.1
OG0000151	WP_012537514.1	WP_156792391.1
OG0000160	WP_009562607.1	WP_228130154.1
OG0000162	WP_009566069.1	WP_011187311.1
OG0000163	WP_009567122.1	WP_049784999.1, WP_011190105.1
OG0000164	WP_012536835.1	WP_041277432.1
OG0000164	WP_009567465.1	WP_011187437.1
OG0000165	WP_012536010.1	WP_011187672.1
OG0000166	WP_012536041.1	WP_041278008.1
OG0000167	WP_012536954.1	WP_011189983.1
OG0000169	WP_012536327.1	WP_041278049.1
OG0000170	WP_012607389.1, WP_012607334.1	WP_011187704.1
OG0000171	WP_012536824.1	WP_011188224.1, WP_049785111.1
OG0000172	WP_012536912.1, WP_054609094.1	WP_011188712.1
OG0000174	WP_012536983.1	WP_011188522.1
OG0000176	WP_012537694.1	WP_011187404.1
OG0000183	WP_009566651.1, WP_009561179.1	WP_041277717.1
OG0000184	WP_009562054.1	WP_011189110.1
OG0000185	WP_009562658.1	WP_041277828.1
OG0000186	WP_009562903.1	WP_041277626.1
OG0000187	WP_009566505.1	WP_011188352.1, WP_011188365.1
OG0000188	WP_054608791.1, WP_012536043.1	WP_011188912.1
OG0000190	WP_012536152.1	WP_041277447.1
OG0000191	WP_012536198.1	WP_011188792.1
OG0000192	WP_012536361.1	WP_049785055.1
OG0000193	WP_012536453.1	WP_011188238.1
OG0000194	WP_012536581.1	WP_011187954.1
OG0000195	WP_012536731.1, WP_055448950.1, WP_054608711.1	WP_011189858.1
OG0000196	WP_012537302.1	WP_011188559.1
OG0000198	WP_012537705.1	WP_156792257.1, WP_011189478.1
OG0000199	WP_012537596.1	WP_041277873.1
OG0000209	WP_009560794.1	WP_011189657.1
OG0000210	WP_012536485.1, WP_009560819.1	WP_011188475.1, WP_011187438.1
OG0000214	WP_009562639.1	WP_041277773.1
OG0000214	WP_012537439.1	WP_011188783.1
OG0000215	WP_009567346.1	WP_041278351.1
OG0000216	WP_012606601.1, WP_009567592.1	WP_011190303.1
OG0000217	WP_009567626.1	WP_041278087.1
OG0000218	WP_012536052.1	WP_011188935.1
OG0000219	WP_012536999.1, WP_012536156.1	WP_011187520.1
OG0000222	WP_012536488.1	WP_041277470.1, WP_011190100.1
OG0000223	WP_012536535.1	WP_041277805.1
OG0000225	WP_012537676.1	WP_011190357.1
OG0000226	WP_012536937.1	WP_041277609.1
OG0000227	WP_012536947.1	WP_011188872.1, WP_011190190.1
OG0000228	WP_012606556.1	WP_228130150.1
OG0000229	WP_233459570.1	WP_041277488.1
OG0000232	WP_054609073.1	WP_162096624.1
OG0000233	WP_180830512.1	WP_041277996.1
OG0000234	WP_225487654.1	WP_011188725.1
OG0000248	WP_012536050.1	WP_011187684.1
OG0000249	WP_012536114.1, WP_229129773.1, WP_009561020.1, WP_054608738.1	WP_011187440.1
OG0000250	WP_009562194.1	WP_041278036.1, WP_011187912.1
OG0000252	WP_009565424.1	WP_011188558.1
OG0000253	WP_012536020.1	WP_041278077.1
OG0000254	WP_009567060.1	WP_011190405.1
OG0000256	WP_012537437.1	WP_193763857.1
OG0000257	WP_012536012.1	WP_011187938.1
OG0000259	WP_012607080.1	WP_011189470.1
OG0000260	WP_012536397.1	WP_011187671.1
OG0000261	WP_012536559.1, WP_157293185.1	WP_011187462.1
OG0000262	WP_012536942.1	WP_011188941.1, WP_041277999.1
OG0000263	WP_225487436.1	WP_011190212.1
OG0000264	WP_012537655.1	WP_011188079.1
OG0000265	WP_012537657.1	WP_011188077.1
OG0000266	WP_012537658.1	WP_011188060.1
OG0000267	WP_012607294.1, WP_054608871.1, WP_061046412.1	WP_011187616.1
OG0000270	WP_229129792.1	WP_011189127.1
OG0000283	WP_009560879.1	WP_011187819.1
OG0000284	WP_009560923.1	WP_156792243.1
OG0000285	WP_009567365.1, WP_009561385.1, WP_009565301.1, WP_054608740.1, WP_009565762.1	WP_041278086.1
OG0000286	WP_009562005.1	WP_049785127.1
OG0000289	WP_009565770.1	WP_156792179.1, WP_011189628.1
OG0000290	WP_215905594.1, WP_229129783.1, WP_009566370.1, WP_229129815.1	WP_011189438.1
OG0000291	WP_009566445.1	WP_011188846.1
OG0000292	WP_009566482.1	WP_011188332.1
OG0000293	WP_009566650.1	WP_011188562.1
OG0000294	WP_009566880.1	WP_011190213.1
OG0000295	WP_009566924.1	WP_011188719.1, WP_011189959.1
OG0000296	WP_009567461.1	WP_041277610.1
OG0000297	WP_009567888.1	WP_041277578.1
OG0000298	WP_012536508.1	WP_011187865.1
OG0000299	WP_012536067.1	WP_228130178.1
OG0000300	WP_012537695.1, WP_012536306.1	WP_011188258.1, WP_011187827.1
OG0000301	WP_012536440.1	WP_011189481.1, WP_011188387.1
OG0000303	WP_012536471.1	WP_011188699.1
OG0000304	WP_012536774.1	WP_011189335.1, WP_011190399.1
OG0000307	WP_012537295.1	WP_011188550.1
OG0000308	WP_012537299.1	WP_011188557.1
OG0000309	WP_012537406.1	WP_041277735.1, WP_011187371.1
OG0000312	WP_012537595.1	WP_011190120.1
OG0000313	WP_012607392.1	WP_162096635.1
OG0000314	WP_012607483.1	WP_011188555.1
OG0000331	WP_009565185.1	WP_011189709.1
OG0000331	WP_009564442.1, WP_009561007.1	WP_011189375.1
OG0000332	WP_009561368.1	WP_011188672.1, WP_011188671.1
OG0000333	WP_009562239.1	WP_011190299.1
OG0000336	WP_009564610.1	WP_011189471.1
OG0000337	WP_009564760.1	WP_011188684.1
OG0000338	WP_009566072.1	WP_011188054.1
OG0000339	WP_009566369.1, WP_267903947.1	WP_011187987.1
OG0000340	WP_009567235.1	WP_011187352.1
OG0000341	WP_009568735.1	WP_011190455.1, WP_041277512.1
OG0000342	WP_180830442.1, WP_012535935.1, WP_180830452.1, WP_012536649.1	WP_265588616.1
OG0000343	WP_012537004.1, WP_012536021.1, WP_012537460.1	WP_041277972.1, WP_041278078.1
OG0000344	WP_012536229.1	WP_011190302.1
OG0000345	WP_012537234.1	WP_011187347.1
OG0000348	WP_012537571.1	WP_011187350.1
OG0000349	WP_012536555.1, WP_012536560.1	WP_011187460.1, WP_011190220.1
OG0000350	WP_012607533.1, WP_012536601.1	WP_011188163.1
OG0000351	WP_054608863.1, WP_012536857.1	WP_162096620.1
OG0000352	WP_012537130.1	WP_011188037.1
OG0000353	WP_012537240.1	WP_011188201.1, WP_011187388.1
OG0000356	WP_012537427.1, WP_054609053.1	WP_011189820.1
OG0000357	WP_012537553.1	WP_011187686.1
OG0000358	WP_012537707.1	WP_011188159.1
OG0000360	WP_041647474.1	WP_041277667.1
OG0000387	WP_012536014.1	WP_011189949.1
OG0000388	WP_054608986.1, WP_054608972.1, WP_009561355.1	WP_011190030.1
OG0000389	WP_009566266.1, WP_009562205.1	WP_011187991.1
OG0000390	WP_012537476.1, WP_009562421.1	WP_011189231.1
OG0000391	WP_012607056.1	WP_011190429.1, WP_011187259.1
OG0000392	WP_009562813.1	WP_011187683.1
OG0000393	WP_012536777.1, WP_009563800.1	WP_011189713.1
OG0000394	WP_009566268.1	WP_041278134.1
OG0000396	WP_009566949.1	WP_011189462.1
OG0000397	WP_009567142.1	WP_041277793.1
OG0000398	WP_009567323.1	WP_173362835.1, WP_011190427.1
OG0000399	WP_009567484.1	WP_041277921.1, WP_011190232.1
OG0000400	WP_012536000.1, WP_009567581.1	WP_011189966.1
OG0000401	WP_012535766.1	WP_011189767.1
OG0000403	WP_012535991.1	WP_011189529.1
OG0000405	WP_012536030.1	WP_041277937.1
OG0000406	WP_012536078.1	WP_011188036.1
OG0000407	WP_012536131.1	WP_011187531.1
OG0000408	WP_012536140.1	WP_011189463.1
OG0000409	WP_012536144.1	WP_173362847.1
OG0000410	WP_012536254.1	WP_011190337.1
OG0000411	WP_012536280.1	WP_041277604.1
OG0000413	WP_012536392.1	WP_011189040.1
OG0000414	WP_012536519.1	WP_011189125.1
OG0000415	WP_012536558.1	WP_011187702.1
OG0000418	WP_012536949.1	WP_011189597.1, WP_011188565.1
OG0000419	WP_012536955.1	WP_011189440.1
OG0000420	WP_012536981.1	WP_011187900.1, WP_011189525.1
OG0000421	WP_012537025.1, WP_049756713.1	WP_011188876.1
OG0000422	WP_012537502.1	WP_011190167.1
OG0000423	WP_012537562.1	WP_041278794.1
OG0000425	WP_012537653.1	WP_041278082.1
OG0000426	WP_012537674.1	WP_011188860.1
OG0000427	WP_041838681.1	WP_011188346.1
OG0000428	WP_054608948.1	WP_041277939.1
OG0000429	WP_233459592.1, WP_233459593.1	WP_011187772.1
OG0000458	WP_009561363.1	WP_011190050.1
OG0000459	WP_009562654.1	WP_011189199.1
OG0000460	WP_012536691.1, WP_009563102.1	WP_011189785.1
OG0000461	WP_009563301.1	WP_011188884.1
OG0000462	WP_012536982.1, WP_012536787.1, WP_009563461.1	WP_041277938.1
OG0000463	WP_009564129.1	WP_011189177.1
OG0000466	WP_009564692.1	WP_041277422.1
OG0000467	WP_009564855.1, WP_009569804.1	WP_011187824.1
OG0000468	WP_009565783.1, WP_074874161.1	WP_011189509.1
OG0000469	WP_009566207.1	WP_011188053.1
OG0000470	WP_009566477.1	WP_011190065.1
OG0000471	WP_009566480.1	WP_011188128.1
OG0000472	WP_009566574.1	WP_011189474.1
OG0000473	WP_012537697.1	WP_011187823.1
OG0000474	WP_009567190.1	WP_011189845.1
OG0000475	WP_009567364.1	WP_011188169.1
OG0000476	WP_009567490.1	WP_041277668.1
OG0000477	WP_012536151.1, WP_009567582.1	WP_011188156.1
OG0000478	WP_009567595.1	WP_011190301.1
OG0000479	WP_009567656.1	WP_011189651.1
OG0000480	WP_009568282.1	WP_041278396.1
OG0000484	WP_012535750.1	WP_011187369.1
OG0000485	WP_012535768.1	WP_011189650.1
OG0000486	WP_012536028.1	WP_011189991.1
OG0000487	WP_012536755.1, WP_012536063.1	WP_041278024.1
OG0000488	WP_012536103.1	WP_011187960.1
OG0000489	WP_012536116.1	WP_011188276.1
OG0000490	WP_012536127.1	WP_162096643.1
OG0000491	WP_012536128.1	WP_041278044.1
OG0000492	WP_012536132.1	WP_011190160.1
OG0000493	WP_012536143.1	WP_011188045.1
OG0000495	WP_012536160.1	WP_011189170.1
OG0000496	WP_012536161.1	WP_049785040.1
OG0000497	WP_012536181.1	WP_011189797.1
OG0000498	WP_012536182.1	WP_011189796.1
OG0000501	WP_012536214.1	WP_041277540.1
OG0000502	WP_012536243.1	WP_011189198.1
OG0000503	WP_012536253.1	WP_041277961.1
OG0000504	WP_012536255.1	WP_041278120.1
OG0000505	WP_012536257.1	WP_041277824.1
OG0000506	WP_012536330.1	WP_049785112.1
OG0000507	WP_012536336.1	WP_228130170.1
OG0000508	WP_012536351.1	WP_011187508.1
OG0000509	WP_012536979.1, WP_012536352.1	WP_011187888.1
OG0000510	WP_012536360.1	WP_011189093.1
OG0000511	WP_012536394.1	WP_011188090.1
OG0000512	WP_012536421.1	WP_011189412.1
OG0000513	WP_012536460.1	WP_011188168.1
OG0000514	WP_012536532.1	WP_041278089.1
OG0000515	WP_012536533.1	WP_011189178.1
OG0000516	WP_012536759.1	WP_041277801.1
OG0000520	WP_012536816.1	WP_041278621.1
OG0000521	WP_233459598.1, WP_012536827.1	WP_011188856.1
OG0000522	WP_012536840.1	WP_011189825.1
OG0000523	WP_012536878.1	WP_011189941.1
OG0000524	WP_012606471.1, WP_012536920.1	WP_011187894.1
OG0000526	WP_012537089.1	WP_011190256.1
OG0000527	WP_012537123.1	WP_011189472.1
OG0000530	WP_012537306.1	WP_049785116.1
OG0000531	WP_012537317.1	WP_228130141.1
OG0000532	WP_012537323.1	WP_011188723.1
OG0000533	WP_012537326.1	WP_011188031.1
OG0000534	WP_012537330.1	WP_011187873.1
OG0000535	WP_012537356.1	WP_011190194.1
OG0000536	WP_012606641.1	WP_011187628.1
OG0000537	WP_012537410.1	WP_011189840.1
OG0000538	WP_012537428.1	WP_011187361.1
OG0000539	WP_012537483.1	WP_011188585.1
OG0000540	WP_012537544.1	WP_011189704.1
OG0000542	WP_012537556.1	WP_041277608.1
OG0000543	WP_012537673.1	WP_041278539.1
OG0000544	WP_229129766.1, WP_012537696.1	WP_011187828.1
OG0000545	WP_012606542.1	WP_011188974.1
OG0000547	WP_180830382.1	WP_041277944.1
OG0000548	WP_215905524.1	WP_011187345.1
OG0000549	WP_225487409.1	WP_011189640.1
OG0000550	WP_230456331.1	WP_011188945.1
OG0000575	WP_009560683.1	WP_011187685.1
OG0000576	WP_009560685.1	WP_156792204.1
OG0000577	WP_009560747.1	WP_041277922.1
OG0000578	WP_009560802.1	WP_265588588.1
OG0000579	WP_009560813.1	WP_041277577.1
OG0000580	WP_009560843.1	WP_011189859.1
OG0000581	WP_009560851.1	WP_011188354.1
OG0000582	WP_009560861.1	WP_011188971.1
OG0000583	WP_009560911.1	WP_041277672.1
OG0000584	WP_009560912.1	WP_011188100.1
OG0000585	WP_009560913.1	WP_083818932.1
OG0000586	WP_009560916.1	WP_041277613.1
OG0000587	WP_009560917.1	WP_011189426.1
OG0000588	WP_009561052.1	WP_011188096.1
OG0000589	WP_009561081.1	WP_011189180.1
OG0000590	WP_009561185.1	WP_011188172.1
OG0000591	WP_009561191.1	WP_041277520.1
OG0000592	WP_009561285.1	WP_011189429.1
OG0000593	WP_009561698.1	WP_041278079.1
OG0000594	WP_009562201.1	WP_162096625.1
OG0000595	WP_009562382.1	WP_011188721.1
OG0000596	WP_009562410.1	WP_011189197.1
OG0000597	WP_009562411.1	WP_011189171.1
OG0000598	WP_009562424.1	WP_011190145.1
OG0000599	WP_009562432.1	WP_011189837.1
OG0000600	WP_009562611.1	WP_041278909.1
OG0000601	WP_009562807.1	WP_011187681.1
OG0000603	WP_009562818.1	WP_011189475.1
OG0000604	WP_009562823.1	WP_041278118.1
OG0000605	WP_009562824.1	WP_156792331.1
OG0000606	WP_009562995.1	WP_011188166.1, WP_011188270.1
OG0000607	WP_009563107.1	WP_011187525.1
OG0000608	WP_009563302.1	WP_011188883.1
OG0000609	WP_229129790.1, WP_009563706.1	WP_049785044.1
OG0000610	WP_009564018.1	WP_011188404.1
OG0000611	WP_009564109.1	WP_011189430.1
OG0000612	WP_009564128.1	WP_011190047.1
OG0000613	WP_009564594.1	WP_011190046.1
OG0000614	WP_009564695.1	WP_011187529.1
OG0000615	WP_009564727.1	WP_011188395.1
OG0000616	WP_009564729.1	WP_228130172.1
OG0000617	WP_009565432.1	WP_011188368.1
OG0000618	WP_009565434.1	WP_011188370.1
OG0000619	WP_009565435.1	WP_011188371.1
OG0000620	WP_009565436.1	WP_011188372.1
OG0000621	WP_009565437.1	WP_011188373.1
OG0000622	WP_009565541.1	WP_041278063.1
OG0000623	WP_009565749.1	WP_011189965.1
OG0000624	WP_009565803.1	WP_011189832.1
OG0000625	WP_009565805.1	WP_011189833.1
OG0000626	WP_009566208.1	WP_011187844.1
OG0000627	WP_009566247.1	WP_011188405.1
OG0000628	WP_009566444.1	WP_011189052.1
OG0000629	WP_009566467.1	WP_011188979.1
OG0000630	WP_009566572.1	WP_011188034.1
OG0000631	WP_009566573.1	WP_011188032.1
OG0000632	WP_009566576.1	WP_011190021.1
OG0000634	WP_009566635.1	WP_011189407.1
OG0000635	WP_009566647.1	WP_011188882.1
OG0000637	WP_009566798.1	WP_011190035.1
OG0000638	WP_009566813.1	WP_011190101.1
OG0000639	WP_009566882.1	WP_011189179.1
OG0000640	WP_009566883.1	WP_011189473.1
OG0000641	WP_009566950.1	WP_011189464.1
OG0000642	WP_009566960.1	WP_011189005.1
OG0000643	WP_009567014.1	WP_011189974.1
OG0000644	WP_009567059.1	WP_011188027.1
OG0000645	WP_009567097.1	WP_011187303.1
OG0000646	WP_009567098.1	WP_011190137.1
OG0000647	WP_009567099.1	WP_011190138.1
OG0000648	WP_009567102.1	WP_011190141.1
OG0000649	WP_009567132.1	WP_011189975.1
OG0000650	WP_009567136.1	WP_011188871.1
OG0000651	WP_009567143.1	WP_011188863.1
OG0000652	WP_009567229.1	WP_011189939.1
OG0000653	WP_009567236.1	WP_011189434.1
OG0000654	WP_009567244.1	WP_011188972.1
OG0000655	WP_009567300.1	WP_011188330.1
OG0000656	WP_009567336.1	WP_011189856.1
OG0000657	WP_009567337.1	WP_011189855.1
OG0000658	WP_009567340.1	WP_011189851.1
OG0000659	WP_009567341.1	WP_011189850.1
OG0000660	WP_009567384.1	WP_011188567.1
OG0000661	WP_009567386.1	WP_011188568.1
OG0000662	WP_009567445.1	WP_011190083.1
OG0000663	WP_012536312.1, WP_009567477.1	WP_198408692.1
OG0000664	WP_009567486.1	WP_011188724.1
OG0000665	WP_009567513.1	WP_011188975.1
OG0000666	WP_009567572.1	WP_011190230.1
OG0000667	WP_009567579.1	WP_011187436.1
OG0000670	WP_009567690.1	WP_011190149.1
OG0000671	WP_009567983.1	WP_041277812.1
OG0000672	WP_009568056.1	WP_041277607.1
OG0000673	WP_009568262.1	WP_049785113.1
OG0000674	WP_009568264.1	WP_041278088.1
OG0000675	WP_009568267.1	WP_011189795.1
OG0000676	WP_009568268.1	WP_011189433.1
OG0000677	WP_009568279.1	WP_011188391.1
OG0000678	WP_009568280.1	WP_011188390.1
OG0000679	WP_009568284.1	WP_011190041.1
OG0000680	WP_009568607.1	WP_011188344.1
OG0000681	WP_009568779.1	WP_011188359.1
OG0000682	WP_009568780.1	WP_011188358.1
OG0000683	WP_054609092.1, WP_009568883.1, WP_054609085.1	WP_011188711.1
OG0000684	WP_009569104.1	WP_011188080.1
OG0000685	WP_009569276.1	WP_011188382.1
OG0000686	WP_009569543.1	WP_011188410.1
OG0000687	WP_009569556.1	WP_011188378.1
OG0000688	WP_009569558.1	WP_011188376.1
OG0000689	WP_009569559.1	WP_041277678.1
OG0000690	WP_009569795.1	WP_041278170.1
OG0000691	WP_010641426.1	WP_011188362.1
OG0000692	WP_012535739.1	WP_228130157.1
OG0000693	WP_012535749.1	WP_011187992.1
OG0000694	WP_012535756.1	WP_228130169.1
OG0000695	WP_012535765.1	WP_041277557.1
OG0000696	WP_012535802.1	WP_011187783.1
OG0000697	WP_012535804.1	WP_011188062.1
OG0000698	WP_012535974.1	WP_011190048.1
OG0000699	WP_012535976.1	WP_011188875.1
OG0000700	WP_012535994.1	WP_011189416.1
OG0000701	WP_012535997.1	WP_011189993.1
OG0000702	WP_012536008.1	WP_011190258.1
OG0000704	WP_012536016.1	WP_011190134.1
OG0000705	WP_012536017.1	WP_228130152.1
OG0000706	WP_012536018.1	WP_041278076.1
OG0000707	WP_012536019.1	WP_011190139.1
OG0000708	WP_012536023.1	WP_011190146.1
OG0000709	WP_012536040.1	WP_011189173.1
OG0000710	WP_012536051.1	WP_228130149.1
OG0000711	WP_012536059.1	WP_011187767.1
OG0000712	WP_012536064.1	WP_011189831.1
OG0000713	WP_012536070.1	WP_041277854.1
OG0000714	WP_012536072.1	WP_041278052.1
OG0000715	WP_012536073.1	WP_041277673.1
OG0000716	WP_012536074.1	WP_011188345.1
OG0000717	WP_012536079.1	WP_011188355.1
OG0000718	WP_012536080.1	WP_011188356.1
OG0000719	WP_012536081.1	WP_011188357.1
OG0000720	WP_012536082.1	WP_011188360.1
OG0000721	WP_012536084.1	WP_011188363.1
OG0000722	WP_012536086.1	WP_173362840.1
OG0000723	WP_012536087.1	WP_011188369.1
OG0000724	WP_012536088.1	WP_011188374.1
OG0000725	WP_012536089.1	WP_011188377.1
OG0000726	WP_012536090.1	WP_011188379.1
OG0000727	WP_012536093.1	WP_011188383.1
OG0000728	WP_012536094.1	WP_011188384.1
OG0000729	WP_012536095.1	WP_041277681.1
OG0000730	WP_012536096.1	WP_011188386.1
OG0000731	WP_012536098.1	WP_011188392.1
OG0000732	WP_012536099.1	WP_011188393.1
OG0000733	WP_012536100.1	WP_011188394.1
OG0000734	WP_012536101.1	WP_011189848.1
OG0000735	WP_012536102.1	WP_011188914.1
OG0000737	WP_012536117.1	WP_011189854.1
OG0000738	WP_012536126.1	WP_011187673.1
OG0000739	WP_012536147.1	WP_011189841.1
OG0000740	WP_012536153.1	WP_011188173.1
OG0000741	WP_012536187.1	WP_011188046.1
OG0000742	WP_012536192.1	WP_011189351.1
OG0000743	WP_012536204.1	WP_011188337.1
OG0000744	WP_012536208.1	WP_041277765.1
OG0000745	WP_012536222.1	WP_041278703.1
OG0000746	WP_012536225.1	WP_011189168.1
OG0000747	WP_012536268.1	WP_011189969.1
OG0000748	WP_012536269.1	WP_011189968.1
OG0000749	WP_012536279.1	WP_011190196.1
OG0000750	WP_012536303.1	WP_011187822.1
OG0000751	WP_012536305.1	WP_041277561.1
OG0000753	WP_012536389.1	WP_041278830.1
OG0000754	WP_012536390.1	WP_011188011.1
OG0000755	WP_012536391.1	WP_011188010.1
OG0000756	WP_012536396.1	WP_041277989.1
OG0000758	WP_012536418.1	WP_011187895.1
OG0000759	WP_012536424.1	WP_041278102.1
OG0000760	WP_012536425.1	WP_228130188.1
OG0000761	WP_012536427.1	WP_011187967.1
OG0000762	WP_012536445.1	WP_011190198.1
OG0000763	WP_012536446.1	WP_011190199.1
OG0000764	WP_012536447.1	WP_011188073.1
OG0000765	WP_012536465.1	WP_011187322.1, WP_011189819.1
OG0000766	WP_012536494.1	WP_011187956.1
OG0000767	WP_012536497.1	WP_011188486.1
OG0000768	WP_012536498.1	WP_011188930.1
OG0000769	WP_012536522.1	WP_011188396.1
OG0000770	WP_012536523.1	WP_011188398.1
