Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfovibrio vulgaris DP4
OG0000038	WP_012537610.1, WP_009566921.1, WP_009566923.1	WP_010939721.1, WP_010938341.1, WP_010938662.1
OG0000039	WP_051984662.1, WP_180830451.1	WP_010940169.1, WP_010940065.1
OG0000039	WP_012537038.1	WP_011793158.1
OG0000041	WP_009564623.1, WP_009565495.1	WP_011791655.1, WP_011793159.1, WP_011791420.1
OG0000042	WP_012536408.1	WP_011792510.1, WP_011791387.1
OG0000042	WP_012536431.1	WP_011792450.1
OG0000045	WP_225487636.1	WP_011792363.1
OG0000046	WP_012537032.1	WP_011792325.1, WP_081428943.1
OG0000047	WP_257246645.1, WP_225487355.1, WP_252725196.1	WP_223294624.1
OG0000048	WP_012536680.1	WP_010940286.1
OG0000048	WP_009566815.1	WP_011792918.1
OG0000049	WP_009567000.1, WP_009567335.1	WP_011792396.1
OG0000053	WP_009565974.1	WP_011792107.1
OG0000053	WP_009564595.1	WP_011792251.1
OG0000054	WP_009566294.1	WP_011792972.1
OG0000055	WP_012536590.1	WP_011791568.1
OG0000058	WP_009564125.1	WP_010938574.1
OG0000061	WP_012536678.1	WP_011791554.1
OG0000063	WP_009560828.1, WP_151528215.1, WP_180830446.1, WP_151528213.1, WP_054608640.1, WP_257257267.1, WP_054608824.1, WP_012537288.1	WP_010937703.1
OG0000064	WP_009566490.1	WP_011792376.1
OG0000065	WP_012536179.1	WP_010938763.1
OG0000065	WP_012536434.1	WP_010938364.1
OG0000066	WP_012537102.1	WP_011791664.1
OG0000067	WP_012537527.1	WP_010939732.1
OG0000068	WP_229129785.1, WP_054608627.1, WP_012536413.1, WP_229129798.1, WP_061046414.1, WP_229129726.1, WP_031572380.1	WP_190275043.1, WP_150100246.1, WP_011792000.1
OG0000069	WP_009567370.1	WP_010940354.1
OG0000069	WP_012536062.1	WP_010938241.1
OG0000070	WP_012535972.1	WP_011792560.1, WP_011792594.1
OG0000070	WP_012536036.1	WP_223294581.1
OG0000077	WP_009562388.1	WP_010938705.1
OG0000077	WP_012536420.1	WP_011792992.1
OG0000078	WP_012536784.1	WP_011792202.1
OG0000079	WP_012536378.1, WP_229129778.1, WP_012536377.1	WP_011792883.1
OG0000085	WP_054609046.1, WP_012537430.1, WP_230456338.1	WP_011792371.1
OG0000086	WP_054608841.1	WP_011792617.1, WP_011792094.1, WP_011792911.1
OG0000091	WP_009561353.1	WP_043629736.1
OG0000093	WP_009564668.1	WP_010938329.1, WP_011787300.1
OG0000094	WP_012536031.1	WP_011791565.1
OG0000095	WP_012536481.1	WP_011792244.1
OG0000097	WP_012607461.1	WP_011792054.1
OG0000101	WP_009560846.1	WP_010939270.1
OG0000101	WP_012537491.1	WP_011792822.1
OG0000102	WP_009564795.1, WP_009568931.1	WP_010940470.1
OG0000103	WP_009566205.1, WP_054608900.1, WP_009567505.1	WP_010938528.1
OG0000104	WP_054608783.1, WP_012536624.1	WP_010939083.1, WP_014524275.1
OG0000105	WP_012536834.1	WP_010938500.1
OG0000106	WP_012536953.1	WP_011792615.1
OG0000112	WP_009567621.1	WP_011792830.1, WP_011792050.1
OG0000115	WP_012536267.1	WP_010939125.1
OG0000116	WP_225487351.1	WP_011791823.1
OG0000117	WP_012536516.1, WP_012536851.1	WP_011791710.1
OG0000120	WP_012537529.1, WP_012607593.1	WP_011793100.1, WP_010939361.1
OG0000126	WP_009561865.1	WP_010940460.1
OG0000127	WP_009562383.1	WP_010937986.1
OG0000127	WP_012536821.1	WP_181409358.1
OG0000128	WP_012537059.1, WP_009562675.1	WP_011791538.1
OG0000129	WP_009563104.1	WP_010937945.1
OG0000130	WP_012535980.1	WP_011176619.1
OG0000131	WP_012536872.1, WP_012536232.1	WP_011791342.1
OG0000132	WP_012536482.1	WP_010940606.1, WP_010939230.1
OG0000133	WP_012536518.1	WP_011791712.1
OG0000134	WP_012536689.1, WP_012537087.1	WP_010938551.1
OG0000135	WP_012536874.1	WP_011791597.1, WP_011792726.1
OG0000136	WP_226833862.1	WP_223294604.1
OG0000141	WP_151528219.1, WP_012537095.1, WP_009564717.1, WP_009569278.1, WP_009566566.1, WP_012537108.1, WP_012536550.1, WP_012536164.1	WP_011791661.1
OG0000142	WP_009565767.1	WP_011792996.1
OG0000143	WP_012535762.1	WP_011792337.1
OG0000144	WP_012536261.1	WP_011792804.1, WP_010938541.1
OG0000145	WP_012536065.1	WP_043629618.1
OG0000146	WP_012536158.1	WP_011792250.1, WP_010938190.1
OG0000149	WP_012536987.1	WP_011791559.1
OG0000150	WP_012537129.1	WP_010939076.1
OG0000151	WP_012537514.1	WP_011787325.1
OG0000159	WP_009562226.1	WP_010939223.1, WP_011793043.1
OG0000160	WP_009562607.1	WP_010939839.1
OG0000161	WP_009562648.1	WP_010937923.1
OG0000162	WP_009566069.1	WP_010938840.1, WP_011792479.1, WP_011791513.1
OG0000163	WP_009567122.1	WP_010940363.1
OG0000164	WP_012536835.1	WP_011791543.1
OG0000164	WP_009567465.1	WP_011791450.1
OG0000165	WP_012536452.1, WP_055448958.1	WP_011787399.1, WP_010938560.1
OG0000166	WP_012536041.1	WP_011791768.1
OG0000167	WP_012536954.1	WP_010937731.1
OG0000168	WP_012537672.1, WP_229129812.1, WP_012536275.1	WP_010937578.1, WP_010937835.1, WP_010939250.1, WP_010939253.1
OG0000169	WP_012536327.1	WP_011792420.1
OG0000170	WP_012536762.1, WP_012607389.1, WP_012607334.1	WP_011792245.1
OG0000172	WP_054608868.1	WP_011791666.1
OG0000172	WP_012536912.1, WP_054609094.1	WP_011791937.1
OG0000173	WP_012536922.1	WP_010939858.1
OG0000174	WP_012536983.1	WP_011792674.1, WP_010938157.1, WP_011791560.1
OG0000176	WP_012537694.1	WP_011791793.1, WP_011792152.1, WP_010939204.1
OG0000183	WP_009566651.1, WP_009561179.1	WP_010937739.1, WP_011791957.1
OG0000185	WP_009562658.1	WP_011791484.1
OG0000186	WP_009562903.1	WP_011792222.1
OG0000187	WP_009566505.1	WP_010940180.1
OG0000190	WP_012536152.1	WP_010939066.1, WP_011793101.1
OG0000191	WP_225487193.1	WP_010938461.1
OG0000193	WP_012536453.1	WP_011793185.1, WP_010939362.1
OG0000194	WP_012536581.1	WP_011787414.1, WP_010939235.1
OG0000195	WP_012536731.1, WP_055448950.1, WP_054608711.1	WP_011791944.1
OG0000196	WP_012537302.1	WP_010937737.1, WP_011791954.1
OG0000199	WP_012537596.1	WP_011792175.1
OG0000200	WP_012537660.1	WP_010939353.1, WP_011176580.1, WP_011791341.1
OG0000209	WP_009560794.1	WP_011792598.1
OG0000209	WP_012536001.1	WP_011791412.1
OG0000210	WP_012536485.1, WP_009560819.1	WP_010937439.1, WP_014524330.1
OG0000212	WP_009560877.1	WP_011792153.1
OG0000213	WP_012537665.1, WP_009566393.1, WP_009560966.1, WP_009560967.1	WP_010939854.1
OG0000214	WP_009562639.1	WP_011793117.1
OG0000214	WP_012537439.1	WP_011793116.1
OG0000215	WP_009567346.1	WP_010937992.1
OG0000216	WP_012606601.1, WP_009567592.1	WP_010938636.1, WP_011793129.1
OG0000217	WP_009567626.1	WP_010939133.1, WP_010939603.1, WP_223294665.1
OG0000218	WP_012536052.1	WP_010938558.1
OG0000219	WP_012536999.1, WP_012536156.1	WP_014524381.1
OG0000221	WP_225487655.1, WP_012536274.1	WP_011792772.1
OG0000222	WP_012536488.1	WP_011791920.1, WP_223294689.1
OG0000223	WP_012536535.1	WP_010938648.1
OG0000225	WP_012537676.1, WP_012536768.1	WP_010939784.1
OG0000226	WP_012536936.1	WP_010939105.1
OG0000226	WP_012536937.1	WP_010939106.1
OG0000227	WP_012536947.1	WP_011792871.1, WP_011793143.1
OG0000228	WP_012537058.1	WP_011791456.1
OG0000228	WP_012606556.1	WP_011792579.1
OG0000229	WP_233459570.1	WP_011792120.1
OG0000230	WP_054608848.1	WP_010939852.1
OG0000232	WP_054609073.1	WP_011791500.1, WP_011791499.1
OG0000233	WP_180830512.1	WP_010938704.1
OG0000234	WP_225487654.1	WP_014524184.1, WP_010939427.1
OG0000248	WP_012536050.1	WP_010938759.1
OG0000250	WP_009562194.1	WP_011791427.1, WP_010939149.1
OG0000253	WP_012536020.1	WP_011791802.1
OG0000253	WP_009566305.1	WP_011791801.1
OG0000254	WP_009567060.1	WP_010939526.1, WP_010940325.1
OG0000256	WP_012535787.1	WP_011787314.1
OG0000256	WP_012537437.1	WP_011793118.1
OG0000257	WP_012536012.1	WP_011791929.1
OG0000258	WP_012536034.1	WP_010939337.1
OG0000259	WP_012607080.1	WP_011792770.1
OG0000260	WP_012536397.1	WP_010939132.1
OG0000261	WP_012536559.1, WP_157293185.1	WP_011792785.1
OG0000263	WP_225487436.1	WP_223294628.1
OG0000263	WP_012537110.1	WP_011791860.1
OG0000264	WP_012537655.1	WP_010938076.1
OG0000265	WP_012537657.1	WP_010938078.1
OG0000266	WP_012537658.1	WP_010938217.1
OG0000268	WP_041646068.1	WP_011792764.1
OG0000270	WP_229129792.1	WP_011791353.1, WP_010937324.1
OG0000283	WP_009560879.1	WP_011791794.1, WP_010939207.1
OG0000284	WP_009560923.1	WP_011792788.1
OG0000285	WP_009567365.1, WP_009561385.1, WP_009565301.1, WP_054608740.1, WP_009565762.1	WP_010940031.1
OG0000287	WP_009566245.1, WP_009562362.1	WP_010937317.1, WP_043629761.1, WP_011792648.1
OG0000289	WP_009565770.1	WP_011792229.1, WP_011792179.1, WP_011793145.1
OG0000290	WP_215905594.1, WP_229129783.1, WP_009566370.1, WP_229129815.1	WP_011791783.1
OG0000291	WP_009566445.1	WP_010939194.1
OG0000291	WP_012536500.1	WP_011792170.1
OG0000292	WP_009566482.1	WP_011792092.1, WP_011791915.1
OG0000294	WP_151528220.1, WP_012537092.1, WP_012536342.1, WP_012537537.1, WP_012537109.1, WP_012536551.1	WP_011791660.1
OG0000295	WP_009566924.1	WP_223294586.1
OG0000296	WP_009567461.1	WP_010940232.1, WP_010939150.1
OG0000297	WP_012537564.1, WP_009567888.1	WP_011792575.1
OG0000298	WP_225487432.1	WP_011793137.1
OG0000299	WP_012536067.1	WP_011791465.1
OG0000300	WP_012537695.1, WP_012536306.1	WP_010939567.1, WP_010939601.1
OG0000301	WP_012536440.1	WP_011792454.1
OG0000302	WP_012536450.1	WP_011791854.1
OG0000309	WP_012537406.1	WP_010937603.1
OG0000310	WP_012537505.1	WP_011787359.1, WP_011792945.1
OG0000311	WP_012537568.1	WP_010937595.1
OG0000312	WP_012537595.1	WP_011793105.1
OG0000331	WP_009564442.1, WP_009561007.1	WP_043629609.1
OG0000332	WP_009561368.1	WP_011791449.1
OG0000333	WP_009562239.1	WP_011792647.1
OG0000335	WP_009562964.1	WP_011791909.1
OG0000336	WP_009564610.1	WP_010937968.1
OG0000338	WP_009566072.1	WP_010939124.1
OG0000339	WP_009566369.1, WP_267903947.1	WP_011791786.1
OG0000340	WP_009567235.1	WP_010938005.1
OG0000341	WP_009568735.1	WP_011791904.1
OG0000343	WP_012537004.1, WP_012536021.1, WP_012537460.1	WP_011791800.1
OG0000344	WP_012536229.1	WP_011792447.1
OG0000345	WP_012537234.1	WP_010938967.1
OG0000346	WP_012536451.1	WP_011791853.1
OG0000347	WP_012536483.1	WP_010939522.1
OG0000348	WP_012536538.1, WP_012537571.1	WP_011791623.1
OG0000349	WP_012536555.1, WP_012536560.1	WP_011792783.1
OG0000350	WP_012607533.1, WP_012536601.1	WP_010938092.1
OG0000352	WP_012537130.1	WP_010939077.1
OG0000353	WP_012537240.1	WP_010939841.1
OG0000354	WP_012537335.1	WP_010938317.1
OG0000356	WP_012537427.1, WP_054609053.1	WP_010939497.1
OG0000357	WP_012537553.1	WP_011792314.1
OG0000358	WP_012537707.1	WP_011792626.1
OG0000359	WP_012607242.1	WP_011791553.1
OG0000360	WP_041647474.1	WP_010938090.1, WP_010938970.1
OG0000387	WP_012536014.1	WP_010939695.1
OG0000388	WP_054608986.1, WP_054608972.1, WP_009561355.1	WP_010938501.1
OG0000389	WP_009562205.1	WP_010940621.1
OG0000390	WP_012537476.1, WP_009562421.1	WP_010937704.1, WP_010937714.1
OG0000391	WP_009562662.1, WP_012607056.1	WP_010939193.1
OG0000392	WP_009562813.1	WP_011791927.1
OG0000393	WP_012536777.1, WP_009563800.1	WP_011792321.1
OG0000394	WP_009566268.1	WP_011792428.1
OG0000395	WP_009566884.1	WP_011791505.1
OG0000396	WP_009566949.1	WP_011792627.1
OG0000398	WP_009567323.1	WP_011792462.1
OG0000399	WP_009567484.1	WP_010937883.1
OG0000400	WP_012536000.1, WP_009567581.1	WP_011791616.1
OG0000401	WP_012535766.1	WP_010939095.1
OG0000402	WP_012535777.1	WP_011791561.1
OG0000403	WP_012535991.1	WP_011792485.1
OG0000404	WP_012536024.1	WP_010940163.1
OG0000405	WP_012536030.1	WP_010940310.1
OG0000407	WP_012536131.1	WP_011792056.1
OG0000408	WP_012536140.1	WP_011792429.1
OG0000409	WP_012536144.1	WP_011792140.1
OG0000410	WP_012536254.1	WP_010937473.1
OG0000412	WP_012536319.1	WP_011792467.1
OG0000413	WP_012536392.1	WP_010937629.1
OG0000414	WP_012536519.1	WP_010938768.1, WP_011792538.1
OG0000415	WP_012536558.1	WP_011793093.1
OG0000418	WP_012536949.1	WP_011792638.1
OG0000419	WP_012536955.1	WP_011791482.1
OG0000420	WP_012536981.1	WP_011791475.1, WP_011792487.1
OG0000421	WP_012537025.1, WP_049756713.1	WP_011792174.1
OG0000422	WP_012537502.1	WP_011792752.1
OG0000423	WP_012537562.1	WP_011793124.1
OG0000424	WP_180830455.1, WP_012537590.1	WP_011792329.1
OG0000425	WP_012537653.1	WP_010940414.1
OG0000426	WP_012606589.1	WP_011792875.1
OG0000427	WP_041838681.1	WP_258312758.1
OG0000428	WP_054608948.1	WP_010938540.1
OG0000429	WP_233459593.1	WP_011793152.1
OG0000457	WP_009560820.1, WP_225981995.1	WP_011791333.1
OG0000458	WP_009561363.1	WP_011792053.1
OG0000459	WP_009562654.1	WP_010940242.1
OG0000460	WP_012536691.1, WP_009563102.1	WP_043629230.1
OG0000461	WP_009563301.1	WP_010938112.1
OG0000462	WP_012536982.1, WP_012536787.1, WP_009563461.1	WP_011792486.1
OG0000463	WP_009564129.1	WP_011792431.1
OG0000464	WP_009564443.1	WP_223294644.1
OG0000465	WP_009564605.1	WP_010938458.1, WP_011792597.1, WP_014524374.1
OG0000466	WP_009564692.1	WP_010939080.1
OG0000467	WP_009564855.1, WP_009569804.1	WP_010937632.1
OG0000468	WP_074874161.1	WP_011792746.1
OG0000469	WP_009566207.1	WP_011792195.1
OG0000470	WP_009566477.1	WP_011792673.1
OG0000471	WP_009566480.1	WP_010937702.1
OG0000472	WP_009566574.1	WP_011791932.1
OG0000473	WP_012537697.1, WP_009566904.1	WP_010939210.1
OG0000475	WP_009567364.1	WP_011791402.1
OG0000476	WP_009567490.1	WP_011792707.1
OG0000477	WP_012536151.1	WP_011791415.1
OG0000478	WP_009567595.1	WP_011792446.1
OG0000479	WP_009567656.1	WP_011791861.1, WP_010940359.1
OG0000480	WP_009568282.1	WP_010937325.1, WP_010939491.1
OG0000481	WP_054609023.1	WP_219995814.1
OG0000482	WP_012536288.1, WP_009569191.1	WP_010937881.1
OG0000484	WP_012535750.1	WP_011791338.1
OG0000485	WP_012535768.1	WP_011791862.1, WP_010940358.1
OG0000486	WP_012536028.1	WP_011792689.1
OG0000487	WP_012536755.1, WP_012536063.1	WP_010938229.1
OG0000488	WP_012536103.1	WP_010938489.1
OG0000489	WP_012536116.1	WP_010938975.1
OG0000490	WP_012536127.1	WP_010937352.1
OG0000491	WP_012536128.1	WP_011791780.1
OG0000492	WP_012536132.1	WP_011792326.1
OG0000493	WP_012536143.1	WP_011791776.1, WP_011792197.1
OG0000494	WP_012536155.1	WP_011792051.1
OG0000495	WP_012536160.1	WP_043629742.1
OG0000496	WP_012536161.1	WP_011791907.1
OG0000497	WP_012536181.1	WP_011791930.1
OG0000498	WP_012536182.1	WP_223294660.1
OG0000500	WP_012536209.1	WP_011792097.1
OG0000501	WP_012536214.1	WP_010938312.1
OG0000502	WP_012536243.1	WP_011791592.1
OG0000503	WP_012536253.1	WP_011792249.1
OG0000504	WP_012536255.1	WP_010940372.1
OG0000505	WP_012536257.1	WP_011792089.1
OG0000506	WP_012536330.1	WP_010940239.1
OG0000507	WP_012536336.1	WP_011792008.1, WP_011792327.1
OG0000508	WP_012536351.1	WP_011792359.1
OG0000509	WP_012536979.1, WP_012536352.1	WP_011792698.1
OG0000510	WP_012536360.1	WP_011787353.1
OG0000511	WP_012536394.1	WP_010938955.1
OG0000512	WP_012536421.1	WP_010937769.1
OG0000513	WP_012536460.1	WP_011791403.1
OG0000514	WP_012536532.1	WP_011791911.1
OG0000516	WP_012536759.1	WP_011793110.1
OG0000517	WP_012536767.1	WP_010939622.1
OG0000518	WP_012537237.1, WP_012536786.1	WP_223294635.1, WP_014524349.1
OG0000519	WP_012537678.1	WP_011791791.1
OG0000520	WP_012536816.1	WP_010937630.1
OG0000521	WP_233459598.1, WP_012536827.1	WP_010938037.1
OG0000522	WP_012536840.1	WP_011792155.1
OG0000523	WP_012536878.1	WP_010938645.1
OG0000524	WP_012606471.1, WP_012536920.1	WP_010937314.1
OG0000526	WP_012537089.1	WP_011791368.1
OG0000527	WP_012537123.1	WP_011792393.1
OG0000528	WP_012537142.1, WP_012537261.1, WP_012607567.1	WP_011791718.1
OG0000529	WP_012537162.1	WP_011791940.1
OG0000530	WP_012537306.1	WP_164561900.1
OG0000531	WP_012537317.1	WP_011793151.1
OG0000532	WP_012537323.1	WP_010940501.1
OG0000533	WP_012537326.1	WP_011792113.1
OG0000534	WP_012537330.1	WP_010938822.1
OG0000535	WP_012537356.1	WP_011792779.1
OG0000536	WP_012606641.1	WP_010940049.1
OG0000536	WP_012537380.1	WP_010940217.1
OG0000537	WP_012537410.1	WP_010938258.1
OG0000538	WP_012537428.1	WP_010939273.1
OG0000539	WP_012537483.1	WP_011792109.1
OG0000540	WP_012537544.1	WP_043629788.1
OG0000541	WP_012537546.1	WP_011792686.1
OG0000542	WP_012537556.1	WP_011793103.1, WP_011792943.1
OG0000543	WP_012537673.1	WP_011792874.1
OG0000544	WP_229129766.1, WP_012537696.1	WP_010939602.1
OG0000545	WP_012606542.1	WP_010939218.1
OG0000546	WP_088775915.1	WP_081428870.1
OG0000548	WP_215905524.1	WP_010938966.1
OG0000549	WP_225487409.1	WP_011792519.1, WP_223294639.1
OG0000550	WP_230456331.1	WP_011791414.1
OG0000575	WP_009560683.1	WP_011792315.1
OG0000576	WP_009560685.1	WP_010938916.1
OG0000577	WP_009560747.1	WP_010939126.1
OG0000578	WP_009560802.1	WP_011791317.1
OG0000579	WP_009560813.1	WP_011792576.1
OG0000580	WP_009560843.1	WP_010938909.1
OG0000581	WP_009560851.1	WP_010940182.1
OG0000582	WP_009560861.1	WP_010938185.1
OG0000583	WP_009560911.1	WP_011792506.1
OG0000584	WP_009560912.1	WP_010938376.1
OG0000585	WP_009560913.1	WP_010938375.1
OG0000586	WP_009560916.1	WP_010938373.1
OG0000587	WP_009560917.1	WP_011791757.1
OG0000588	WP_009561052.1	WP_011793193.1
OG0000589	WP_009561081.1	WP_010940177.1
OG0000590	WP_009561185.1	WP_011792493.1
OG0000591	WP_009561191.1	WP_010939154.1
OG0000592	WP_009561285.1	WP_010937795.1
OG0000593	WP_009561698.1	WP_010939717.1
OG0000594	WP_009562201.1	WP_011792105.1
OG0000595	WP_009562382.1	WP_043629095.1
OG0000596	WP_009562410.1	WP_010939198.1
OG0000597	WP_009562411.1	WP_010938825.1
OG0000598	WP_009562424.1	WP_010939782.1
OG0000599	WP_009562432.1	WP_010938256.1
OG0000600	WP_009562611.1	WP_011793123.1
OG0000601	WP_009562807.1	WP_011792532.1
OG0000602	WP_009562815.1	WP_010939199.1
OG0000603	WP_009562818.1	WP_010939174.1
OG0000604	WP_009562823.1	WP_223294672.1
OG0000605	WP_009562824.1	WP_011792614.1
OG0000606	WP_009562995.1	WP_010938095.1
OG0000607	WP_009563107.1	WP_043629197.1
OG0000608	WP_009563302.1	WP_010938113.1
OG0000609	WP_229129790.1, WP_009563706.1	WP_010939740.1
OG0000610	WP_009564018.1	WP_043629734.1
OG0000611	WP_009564109.1	WP_010940503.1
OG0000612	WP_009564128.1	WP_011792682.1
OG0000613	WP_009564594.1	WP_010938136.1
OG0000615	WP_009564727.1	WP_010938173.1
OG0000616	WP_009564729.1	WP_010938170.1
OG0000617	WP_009565432.1	WP_010938599.1
OG0000618	WP_009565434.1	WP_010938601.1
OG0000619	WP_009565435.1	WP_010938602.1
OG0000620	WP_009565436.1	WP_010938603.1
OG0000621	WP_009565437.1	WP_010938604.1
OG0000622	WP_009565541.1	WP_010940201.1
OG0000623	WP_009565749.1	WP_011791413.1
OG0000624	WP_009565803.1	WP_010938227.1
OG0000625	WP_009565805.1	WP_010938226.1
OG0000626	WP_009566208.1	WP_011792978.1
OG0000627	WP_009566247.1	WP_011792444.1
OG0000628	WP_009566444.1	WP_011792199.1
OG0000629	WP_009566467.1	WP_011792088.1
OG0000630	WP_009566572.1	WP_010938669.1
OG0000631	WP_009566573.1	WP_010938667.1
OG0000632	WP_009566576.1	WP_010937362.1
OG0000633	WP_009566620.1	WP_181409338.1
OG0000634	WP_009566635.1	WP_011793164.1
OG0000635	WP_009566647.1	WP_010938578.1
OG0000637	WP_009566798.1	WP_010938504.1
OG0000638	WP_009566813.1	WP_010938199.1
OG0000639	WP_009566882.1	WP_043629256.1
OG0000640	WP_009566883.1	WP_010937959.1
OG0000641	WP_009566950.1	WP_010938000.1
OG0000642	WP_009566960.1	WP_011793050.1
OG0000643	WP_009567014.1	WP_010938865.1
OG0000644	WP_009567059.1	WP_011792392.1
OG0000645	WP_009567097.1	WP_011792997.1
OG0000646	WP_009567098.1	WP_011791805.1
OG0000647	WP_009567099.1	WP_010939773.1
OG0000648	WP_009567102.1	WP_010939777.1
OG0000649	WP_009567132.1	WP_010938866.1
OG0000650	WP_009567136.1	WP_011792870.1
OG0000651	WP_009567143.1	WP_011792873.1
OG0000652	WP_009567229.1	WP_010938643.1
OG0000653	WP_009567236.1	WP_043629518.1
OG0000654	WP_009567244.1	WP_011792650.1
OG0000655	WP_009567300.1	WP_011792855.1
OG0000656	WP_009567336.1	WP_010937817.1
OG0000657	WP_009567337.1	WP_010937816.1
OG0000658	WP_009567340.1	WP_011792851.1
OG0000659	WP_009567341.1	WP_181409373.1
OG0000660	WP_009567384.1	WP_010939789.1
OG0000661	WP_009567386.1	WP_010939788.1
OG0000662	WP_009567445.1	WP_011792821.1
OG0000663	WP_012536312.1, WP_009567477.1	WP_010938977.1
OG0000664	WP_009567486.1	WP_223294688.1
OG0000665	WP_009567513.1	WP_010938035.1
OG0000666	WP_009567572.1	WP_010938853.1, WP_014524388.1
OG0000667	WP_009567579.1	WP_010939263.1
OG0000670	WP_009567690.1	WP_011791970.1
OG0000671	WP_009567983.1	WP_010938507.1
OG0000672	WP_009568056.1	WP_011791432.1
OG0000673	WP_009568262.1	WP_010938823.1
OG0000674	WP_009568264.1	WP_011791534.1
OG0000675	WP_009568267.1	WP_011791332.1
OG0000676	WP_009568268.1	WP_010938875.1
OG0000677	WP_009568279.1	WP_010938622.1
OG0000678	WP_009568280.1	WP_010938621.1
OG0000679	WP_009568284.1	WP_010938140.1
OG0000680	WP_009568607.1	WP_010938494.1
OG0000681	WP_009568779.1	WP_010940187.1
OG0000682	WP_009568780.1	WP_043629159.1
OG0000683	WP_054609092.1, WP_009568883.1, WP_054609085.1	WP_010939599.1
OG0000684	WP_009569104.1	WP_010938075.1
OG0000685	WP_009569276.1	WP_010938614.1
OG0000686	WP_009569543.1	WP_010938890.1
OG0000687	WP_009569556.1	WP_010938609.1
OG0000688	WP_009569558.1	WP_010938607.1
OG0000689	WP_009569559.1	WP_010938606.1
OG0000690	WP_009569795.1	WP_010938747.1
OG0000691	WP_010641426.1	WP_010938593.1
OG0000692	WP_012535739.1	WP_049758104.1
OG0000693	WP_012535749.1	WP_011791337.1
OG0000694	WP_012535756.1	WP_011792542.1
OG0000695	WP_012535765.1	WP_011791336.1
OG0000696	WP_012535802.1	WP_011791441.1
OG0000697	WP_012535804.1	WP_011791481.1
OG0000698	WP_012535974.1	WP_010938134.1
OG0000699	WP_012535976.1	WP_011792683.1
OG0000700	WP_012535994.1	WP_011792217.1
OG0000701	WP_012535997.1	WP_011792484.1
OG0000702	WP_012536008.1	WP_011792477.1
OG0000704	WP_012536016.1	WP_010939769.1
OG0000705	WP_012536017.1	WP_010939770.1
OG0000706	WP_012536018.1	WP_223294677.1
OG0000707	WP_012536019.1	WP_011791804.1
OG0000708	WP_012536023.1	WP_010939783.1
OG0000709	WP_012536040.1	WP_043629306.1
OG0000710	WP_012536051.1	WP_011791775.1
OG0000711	WP_012536059.1	WP_010938129.1
OG0000712	WP_012536064.1	WP_010938228.1
OG0000713	WP_012536070.1	WP_010938499.1
OG0000714	WP_012536072.1	WP_011792505.1
OG0000715	WP_012536073.1	WP_010938495.1
OG0000716	WP_012536074.1	WP_010938493.1
OG0000717	WP_012536079.1	WP_010940183.1
OG0000718	WP_012536080.1	WP_010940184.1
