Orthogroup	Desulfocapsa_13_biocide	Desulfocapsa_06_corrosive
OG0000005	Utg859982_207	Utg323152_391
OG0000005	Utg858432_84	Utg323632_133
OG0000005	Utg857076_41	Utg323262_94
OG0000005	Utg859388_141	Utg323392_93
OG0000005	Utg857152_2	Utg323300_274
OG0000005	Utg859388_48	Utg323392_174
OG0000006	Utg860006_155	Utg323990_58
OG0000006	Utg863716_8	Utg323632_356
OG0000006	Utg859388_140	Utg323392_94
OG0000006	Utg863716_22	Utg323160_106
OG0000006	Utg858432_72	Utg323392_72
OG0000006	Utg859982_107, Utg863716_120	Utg323180_218, Utg323180_148
OG0000007	Utg858432_132	Utg323632_239
OG0000007	Utg859750_38	Utg323180_86
OG0000007	Utg862138_39	Utg323632_51
OG0000007	Utg857076_16	Utg323262_116
OG0000007	Utg857152_200	Utg323180_130
OG0000008	Utg861744_12	Utg323160_91
OG0000008	Utg857076_45	Utg323262_89
OG0000008	Utg857152_123	Utg323300_399
OG0000008	Utg859388_41	Utg323392_185
OG0000009	Utg860006_74	Utg323990_129
OG0000009	Utg858432_86	Utg323632_134
OG0000009	Utg864866_20	Utg323140_138
OG0000009	Utg860814_199, Utg860814_198	Utg323180_612
OG0000010	Utg857046_180	Utg323316_272, Utg323316_267
OG0000011	Utg860814_134	Utg323180_549
OG0000012	Utg859388_126	Utg323392_111
OG0000012	Utg864866_48	Utg323140_106
OG0000012	Utg857046_67	Utg323316_174
OG0000012	Utg858432_54	Utg323632_113
OG0000013	Utg864866_75	Utg323140_78
OG0000013	Utg860814_26	Utg323180_446
OG0000013	Utg860814_31	Utg323180_450
OG0000014	Utg859076_41, Utg857994_28	Utg323392_110
OG0000014	Utg857682_136	Utg323262_128
OG0000014	Utg861744_121, Utg861744_120	Utg324810_58
OG0000015	Utg859388_25	Utg323392_212
OG0000015	Utg862138_18	Utg323632_27
OG0000015	Utg864866_65	Utg323140_90
OG0000016	Utg859098_114	Utg323152_301
OG0000016	Utg857152_131	Utg323300_407
OG0000017	Utg860006_13	Utg323990_184
OG0000017	Utg860006_11	Utg323990_193
OG0000018	Utg859098_213	Utg323152_201
OG0000019	Utg864866_31	Utg323140_131
OG0000019	Utg859076_49	Utg323262_129
OG0000019	Utg857682_135	Utg323262_127
OG0000020	Utg857682_69	Utg323266_116
OG0000020	Utg859098_133	Utg323152_283
OG0000020	Utg866558_48	Utg323632_271
OG0000020	Utg859098_147	Utg323152_268
OG0000020	Utg857152_214	Utg323180_155
OG0000020	Utg857300_36	Utg323300_116
OG0000021	Utg859098_363	Utg323152_38
OG0000022	Utg859098_220	Utg323152_194
OG0000022	Utg863716_101	Utg323180_278
OG0000022	Utg859388_124	Utg323392_113
OG0000023	Utg860814_168	Utg323180_594
OG0000023	Utg860814_169	Utg323180_595
OG0000023	Utg859388_168	Utg323392_65, Utg323180_593
OG0000024	Utg863716_104	Utg323180_286
OG0000024	Utg859098_279	Utg323152_134
OG0000025	Utg857300_39	Utg323300_113
OG0000025	Utg860814_248	Utg323140_34
OG0000025	Utg857046_69, Utg857046_70	Utg323316_176
OG0000025	Utg860814_224	Utg323180_632
OG0000025	Utg859098_275	Utg323152_140
OG0000025	Utg864866_19	Utg323140_139
OG0000025	Utg857046_255	Utg323392_180, Utg323316_342, Utg323316_341
OG0000025	Utg860814_14	Utg323180_435
OG0000025	Utg857994_30	Utg323632_121
OG0000025	Utg858432_70	Utg323392_70
OG0000026	Utg864866_112	Utg323140_43
OG0000026	Utg857152_94	Utg323300_371
OG0000027	Utg863716_17	Utg323180_189
OG0000027	Utg857300_35	Utg323300_117
OG0000027	Utg857300_34	Utg323300_118
OG0000027	Utg859388_156	Utg323392_79
OG0000027	Utg863716_16	Utg323180_188
OG0000028	Utg857076_67	Utg323262_65
OG0000028	Utg860006_30	Utg323990_173
OG0000028	Utg864866_102	Utg323140_52
OG0000028	Utg860814_34	Utg323180_452
OG0000030	Utg861744_16	Utg323160_85
OG0000031	Utg857490_1	Utg323448_44
OG0000031	Utg857076_58	Utg323262_74
OG0000031	Utg857152_167	Utg323180_78
OG0000031	Utg859388_158	Utg323392_77
OG0000032	Utg857046_252	Utg323316_338
OG0000032	Utg857300_30	Utg323300_122
OG0000033	Utg860814_171	Utg323140_146
OG0000034	Utg859388_40	Utg323392_186
OG0000034	Utg859388_39	Utg323392_187
OG0000035	Utg863716_35	Utg323180_199
OG0000035	Utg857076_40	Utg323262_95
OG0000035	Utg857152_33	Utg323300_305
OG0000037	Utg858494_23	Utg323180_533
OG0000038	Utg860006_50	Utg323990_153
OG0000038	Utg860814_278	Utg323180_685
OG0000038	Utg860814_277	Utg323180_684
OG0000039	Utg857046_262	Utg323316_349
OG0000040	Utg857994_193	Utg323074_178
OG0000040	Utg860006_147	Utg323990_66
OG0000041	Utg857046_101	Utg323316_196
OG0000042	Utg857152_197	Utg323180_126
OG0000042	Utg857152_116	Utg323300_393
OG0000042	Utg859236_105	Utg323262_141
OG0000043	Utg857300_6	Utg323262_134
OG0000043	Utg859236_121	Utg323140_196
OG0000043	Utg860814_118	Utg323180_525
OG0000043	Utg860814_180	Utg323180_599
OG0000046	Utg857994_85, Utg857994_86, Utg860006_158	Utg324810_8
OG0000046	Utg859098_176	Utg323152_235
OG0000046	Utg857152_215	Utg323180_156
OG0000047	Utg857046_163	Utg323316_238
OG0000047	Utg857994_168	Utg323074_155
OG0000048	Utg857682_54	Utg323266_109
OG0000048	Utg857046_28	Utg323316_142
OG0000049	Utg857152_93	Utg323300_370
OG0000051	Utg857076_57	Utg323262_75
OG0000051	Utg857046_216	Utg323316_319
OG0000051	Utg857152_166	Utg323180_77
OG0000051	Utg859388_159	Utg323392_76
OG0000051	Utg859388_160	Utg323392_75
OG0000052	Utg859982_225, Utg857076_61	Utg323262_71
OG0000052	Utg857046_241	Utg323152_537
OG0000052	Utg857994_129	Utg323074_111
OG0000052	Utg857152_135	Utg323300_411
OG0000053	Utg859388_13	Utg323392_224
OG0000053	Utg859432_19	Utg323180_371, Utg323316_65
OG0000053	Utg857046_30	Utg323316_144
OG0000055	Utg859098_163	Utg323152_253
OG0000056	Utg859098_380	Utg323180_501
OG0000057	Utg857682_24	Utg323266_75
OG0000057	Utg859982_23	Utg323300_441
OG0000057	Utg859098_431	Utg323632_324, Utg323392_16
OG0000057	Utg864866_2	Utg323140_160
OG0000058	Utg860814_210	Utg323180_619
OG0000058	Utg859098_128	Utg323152_288
OG0000058	Utg866558_45	Utg323632_274
OG0000058	Utg859098_142	Utg323152_273
OG0000058	Utg860814_129	Utg323180_545
OG0000059	Utg857682_3	Utg323300_36
OG0000060	Utg857300_57	Utg323300_75
OG0000060	Utg866558_9	Utg323632_306
OG0000060	Utg860006_140, Utg860006_141	Utg323990_72
OG0000061	Utg857682_55	Utg323266_110
OG0000061	Utg859076_31	Utg323180_315
OG0000062	Utg859388_55	Utg323392_166
OG0000063	Utg857992_35	Utg323632_334
OG0000063	Utg859388_77	Utg323392_142
OG0000064	Utg860006_63	Utg323990_139
OG0000064	Utg859750_77	Utg323180_38
OG0000065	Utg864866_69	Utg323140_85
OG0000065	Utg859750_21	Utg323140_2, Utg323180_2
OG0000066	Utg857682_52	Utg323266_106
OG0000067	Utg859388_56	Utg323392_165
OG0000069	Utg857682_89	Utg325220_94
OG0000069	Utg857076_29	Utg323262_103
OG0000070	Utg859098_224	Utg323152_189
OG0000070	Utg860006_144	Utg323990_69
OG0000071	Utg857046_242	Utg323152_536
OG0000071	Utg859982_10	Utg323152_559
OG0000071	Utg860814_115	Utg323180_522
OG0000072	Utg857046_243	Utg323152_535
OG0000072	Utg859982_9	Utg323152_560
OG0000072	Utg860814_114	Utg323180_521
OG0000073	Utg861744_37	Utg323160_62
OG0000073	Utg863716_115	Utg323180_298
OG0000073	Utg860814_62	Utg323180_233
OG0000073	Utg864866_41	Utg324548_6, Utg323140_124
OG0000075	Utg861744_17	Utg323160_84
OG0000076	Utg860814_43	Utg323180_458
OG0000076	Utg859098_152	Utg323152_263
OG0000077	Utg857994_161	Utg323074_141
OG0000078	Utg859982_201, Utg859982_200	Utg323152_397
OG0000078	Utg860814_279	Utg323180_686
OG0000078	Utg857152_21	Utg323300_294
OG0000079	Utg861744_10	Utg323160_93
OG0000079	Utg859750_81	Utg323180_41
OG0000079	Utg860006_159	Utg323990_42
OG0000082	Utg859388_21	Utg323392_216
OG0000082	Utg859098_98	Utg323152_318
OG0000085	Utg860814_167	Utg323180_592
OG0000087	Utg864866_67	Utg323140_87
OG0000087	Utg859982_51	Utg323152_497
OG0000087	Utg858432_79	Utg323632_128
OG0000088	Utg859236_115, Utg859236_116	Utg325220_103
OG0000088	Utg859098_153	Utg323152_262
OG0000091	Utg860814_64	Utg323180_478
OG0000091	Utg859388_68	Utg323392_150
OG0000092	Utg860814_99	Utg323180_509
OG0000093	Utg859750_86	Utg323180_45
OG0000094	Utg858494_66	Utg323152_240, Utg323990_23
OG0000094	Utg857994_186	Utg323074_170
OG0000095	Utg857152_143	Utg323300_425
OG0000095	Utg860006_150	Utg323990_63
OG0000096	Utg858498_18	Utg323392_43
OG0000097	Utg859982_50, Utg859982_49	Utg323152_498
OG0000097	Utg861744_24	Utg323160_75
OG0000098	Utg860814_113	Utg323180_520
OG0000098	Utg859982_8	Utg323152_561
OG0000099	Utg860006_97	Utg323990_106
OG0000099	Utg860814_91	Utg323180_500
OG0000099	Utg860814_85	Utg323074_101, Utg323074_64
OG0000101	Utg865370_31	Utg323266_38
OG0000101	Utg859750_57	Utg323180_20
OG0000102	Utg858432_73	Utg323632_122
OG0000103	Utg857046_198	Utg323316_301
OG0000103	Utg857152_173	Utg323180_100
OG0000104	Utg857994_15	Utg323074_23
OG0000104	Utg857046_251	Utg323316_337
OG0000105	Utg859388_70	Utg323392_148
OG0000105	Utg860814_77	Utg323180_490
OG0000106	Utg857076_51, Utg857300_18	Utg323300_138
OG0000106	Utg857046_214	Utg323316_317
OG0000107	Utg857682_17, Utg857682_16	Utg323266_55
OG0000107	Utg860814_263, Utg860814_264	Utg323180_669
OG0000108	Utg863716_66	Utg323180_244
OG0000108	Utg858498_15	Utg323392_40
OG0000108	Utg860814_243	Utg323180_651
OG0000108	Utg860814_242	Utg323180_650
OG0000110	Utg859098_150	Utg323152_265
OG0000112	Utg857152_85	Utg323300_361
OG0000113	Utg860814_145	Utg323180_560
OG0000113	Utg857046_73	Utg323316_179
OG0000114	Utg858494_132	Utg323448_59
OG0000114	Utg863716_30	Utg323180_193
OG0000115	Utg857152_65	Utg323300_341
OG0000115	Utg860006_127	Utg323990_86
OG0000116	Utg857152_111	Utg323300_387
OG0000117	Utg857046_88	Utg323316_188
OG0000117	Utg864866_33	Utg323140_129
OG0000118	Utg864866_34	Utg323140_128
OG0000118	Utg857046_89	Utg323316_189
OG0000121	Utg857994_106	Utg323316_251, Utg323316_295, Utg323316_290
OG0000121	Utg857994_195	Utg323074_180
OG0000122	Utg860814_103	Utg323180_512
OG0000122	Utg857076_48	Utg323300_431, Utg323262_85
OG0000123	Utg859098_151	Utg323152_264
OG0000123	Utg859236_117	Utg325220_102
OG0000124	Utg860814_41, Utg860814_178	Utg323180_456
OG0000125	Utg857046_44	Utg323316_156
OG0000126	Utg859388_82	Utg323392_137
OG0000127	Utg857490_17	Utg323448_31
OG0000128	Utg863716_100	Utg323180_277
OG0000128	Utg859098_212	Utg323152_202
OG0000129	Utg860814_286	Utg323180_691
OG0000130	Utg864866_91	Utg323140_62
OG0000130	Utg857992_39	Utg323632_319
OG0000131	Utg857994_138	Utg323074_120
OG0000131	Utg859236_14	Utg323990_32
OG0000133	Utg864866_36	Utg323140_126
OG0000133	Utg857046_90	Utg323316_190
OG0000134	Utg864866_54	Utg323140_101
OG0000134	Utg859098_168	Utg323152_247
OG0000135	Utg857152_96	Utg323300_373
OG0000136	Utg859098_181	Utg323152_230
OG0000136	Utg858498_14	Utg323392_39
OG0000137	Utg857046_87	Utg323316_187
OG0000137	Utg858432_69	Utg323632_120
OG0000137	Utg857994_122	Utg323074_21
OG0000137	Utg859982_120	Utg323300_15
OG0000138	Utg859388_169	Utg323392_64
OG0000141	Utg857682_146	Utg323300_418
OG0000142	Utg860814_204	Utg323180_616
OG0000142	Utg861448_10, Utg861448_11	Utg323392_262
OG0000143	Utg864866_105	Utg323140_49
OG0000143	Utg859750_71	Utg323180_33
OG0000144	Utg859388_32	Utg323392_195
OG0000144	Utg859388_58	Utg323392_160
OG0000145	Utg860814_101	Utg323180_511
OG0000147	Utg859388_78	Utg323392_141
OG0000147	Utg857992_40	Utg323632_318
OG0000149	Utg857300_12	Utg323300_144
OG0000150	Utg859982_197	Utg323152_400
OG0000150	Utg857046_26	Utg323316_140
OG0000150	Utg857152_38	Utg323300_310
OG0000151	Utg857046_167	Utg323316_242
OG0000152	Utg860814_109	Utg323180_516
OG0000152	Utg860814_116	Utg323180_523
OG0000154	Utg865370_5	Utg323160_129, Utg323266_10
OG0000156	Utg859982_64, Utg857046_46	Utg323316_158
OG0000158	Utg863716_72	Utg323180_251
OG0000159	Utg857994_88	Utg324810_14, Utg323180_417
OG0000160	Utg863716_47	Utg323180_213
OG0000162	Utg857046_72	Utg323316_178
OG0000163	Utg861744_18	Utg323160_83
OG0000163	Utg857076_25	Utg323262_107
OG0000164	Utg857300_2	Utg323300_166
OG0000165	Utg859432_36	Utg323140_175
OG0000166	Utg858432_139	Utg323632_248
OG0000166	Utg861744_93	Utg324810_90
OG0000167	Utg864866_73	Utg323140_81
OG0000167	Utg859982_154	Utg323152_436
OG0000169	Utg859982_43	Utg323152_503
OG0000169	Utg859098_429	Utg323392_14
OG0000170	Utg857152_75	Utg323300_350
OG0000171	Utg859982_151	Utg323152_438
OG0000171	Utg859982_152	Utg323152_437
OG0000172	Utg860006_25	Utg323990_178
OG0000173	Utg861744_119	Utg324810_59
OG0000174	Utg860814_189	Utg323180_604
OG0000175	Utg857994_220	Utg323160_23, Utg325220_73, Utg323392_235, Utg323300_462
OG0000176	Utg861744_133	Utg324810_46
OG0000178	Utg857046_4	Utg323316_122
OG0000178	Utg861744_102	Utg324810_77
OG0000179	Utg859098_69, Utg859098_70	Utg323152_376
OG0000180	Utg859236_79	Utg323262_181, Utg323262_184
OG0000181	Utg857046_168	Utg323316_243
OG0000182	Utg859388_65	Utg323392_153
OG0000183	Utg862138_16	Utg323632_25
OG0000184	Utg859388_167	Utg323392_66
OG0000184	Utg859236_54	Utg324548_16
OG0000185	Utg859098_331	Utg323152_69
OG0000186	Utg857994_70	Utg323392_251
OG0000187	Utg858494_144, Utg858494_131	Utg323448_60, Utg323448_47
OG0000188	Utg857152_35	Utg323300_307
OG0000189	Utg860006_69	Utg323990_133
OG0000190	Utg859982_184	Utg323152_409
OG0000190	Utg864866_78	Utg323140_75
OG0000191	Utg857152_179	Utg323180_105
OG0000193	Utg859388_6, Utg861448_64, Utg859388_5	Utg323392_230
OG0000193	Utg859750_20	Utg323140_4, Utg323180_1
OG0000194	Utg861744_61	Utg323160_22
OG0000194	Utg861744_41	Utg323160_58, Utg323316_1
OG0000195	Utg859098_286	Utg323152_119
OG0000195	Utg860814_283	Utg323180_690
OG0000196	Utg862138_14	Utg323632_23
OG0000197	Utg857490_20	Utg323448_28
OG0000198	Utg857046_189	Utg323316_285
OG0000198	Utg859098_241	Utg323152_174
OG0000199	Utg857152_82	Utg323300_357
OG0000199	Utg859098_216	Utg323152_198
OG0000200	Utg861744_45	Utg323160_40
OG0000201	Utg859750_26	Utg323180_6
OG0000202	Utg857682_175	Utg325220_64, Utg323140_270
OG0000202	Utg857300_47	Utg323300_104
OG0000203	Utg857076_50	Utg323262_83
OG0000203	Utg857300_19	Utg323300_137
OG0000203	Utg857076_65	Utg323262_67
OG0000204	Utg857152_212	Utg323180_154
OG0000204	Utg860814_30	Utg323180_449
OG0000205	Utg857682_46	Utg323266_99
OG0000206	Utg857152_170	Utg323180_81
OG0000206	Utg857152_169	Utg323180_80
OG0000207	Utg857682_58	Utg323266_113
OG0000208	Utg857682_59	Utg323266_114
OG0000209	Utg857046_253	Utg323316_339
OG0000210	Utg857300_1	Utg323300_167
OG0000211	Utg859432_43	Utg323140_182
OG0000212	Utg857046_231, Utg861744_127	Utg324810_52
OG0000214	Utg862138_34	Utg323632_45
OG0000215	Utg859982_83	Utg323152_476
OG0000215	Utg861744_111	Utg324810_67
OG0000216	Utg857046_32	Utg323316_146
OG0000217	Utg859236_44	Utg324548_25
OG0000218	Utg861448_5	Utg323632_371
OG0000218	Utg857682_32	Utg323266_87
OG0000218	Utg857682_33	Utg323266_88
OG0000219	Utg860814_128	Utg323180_543
OG0000219	Utg857152_18	Utg323300_291
OG0000220	Utg860814_140	Utg323180_556
OG0000221	Utg860814_94	Utg323180_504
OG0000222	Utg857076_18	Utg323262_114
OG0000223	Utg859388_18	Utg323392_219
OG0000223	Utg857046_78	Utg323316_181
OG0000224	Utg859982_58	Utg323152_490
OG0000225	Utg859982_121	Utg323152_460
OG0000225	Utg864866_44	Utg323140_111
OG0000226	Utg857152_57	Utg323300_329
OG0000227	Utg857992_19	Utg323632_351
OG0000228	Utg857994_154	Utg323074_134
OG0000229	Utg857682_96	Utg325220_87
OG0000230	Utg859098_166	Utg323152_249
OG0000232	Utg859982_75, Utg859982_74	Utg323152_484
OG0000232	Utg859982_73	Utg323152_485
OG0000233	Utg859098_376	Utg323152_10
OG0000233	Utg857682_51	Utg323266_103
OG0000234	Utg860006_56	Utg323990_146
OG0000235	Utg863716_45	Utg323180_210
OG0000235	Utg857152_83	Utg323300_358
OG0000236	Utg859098_221	Utg323152_193
OG0000237	Utg861744_115	Utg324810_62
OG0000237	Utg857682_142	Utg323300_24
OG0000238	Utg857682_83	Utg325220_109
OG0000238	Utg857046_99	Utg323316_194
OG0000239	Utg865370_16	Utg323266_22
OG0000239	Utg859236_56	Utg324548_14
OG0000240	Utg859098_373	Utg323152_13
OG0000240	Utg860814_39	Utg323180_454
OG0000241	Utg859236_55	Utg324548_15
OG0000241	Utg859236_102	Utg323262_144
OG0000242	Utg859098_136	Utg323152_279
OG0000242	Utg866558_40	Utg323632_279
OG0000242	Utg859098_132	Utg323152_284
OG0000243	Utg857682_39	Utg323266_94
OG0000243	Utg859236_70	Utg323160_100, Utg323160_101
OG0000244	Utg859982_52	Utg323152_496
OG0000245	Utg859098_51, Utg858494_9	Utg323316_355
OG0000246	Utg859098_58	Utg323180_115, Utg323180_52
OG0000246	Utg861448_26, Utg857994_14, Utg857152_262	Utg323180_624
OG0000248	Utg859432_49	Utg323140_188
OG0000250	Utg859098_87	Utg323152_330
OG0000252	Utg862138_13	Utg323632_22
OG0000253	Utg858432_42	Utg323632_102
OG0000255	Utg859432_74	Utg323140_209
OG0000256	Utg862138_36	Utg323632_47
OG0000257	Utg859236_23	Utg323990_211
OG0000258	Utg859236_13	Utg323074_207, Utg323074_198
OG0000258	Utg860814_310	Utg323074_197
OG0000258	Utg857994_234	Utg323316_263
OG0000259	Utg860006_137	Utg323990_75
OG0000260	Utg860814_156	Utg323180_575
OG0000260	Utg859432_35	Utg323140_174
OG0000261	Utg857682_145	Utg323300_415
OG0000261	Utg860006_76	Utg323990_127
OG0000262	Utg859098_276	Utg323152_139
OG0000263	Utg857682_148	Utg323300_416
OG0000264	Utg857152_109	Utg323300_385
OG0000265	Utg857152_107	Utg323300_383
OG0000266	Utg857152_69	Utg323300_345
OG0000267	Utg857046_62, Utg857046_61	Utg323316_169
OG0000268	Utg860814_179	Utg323180_596
OG0000268	Utg863716_97	Utg323180_274
OG0000269	Utg858494_54	Utg323448_118
OG0000269	Utg858494_55	Utg323448_117
OG0000270	Utg864866_30	Utg323140_132
OG0000271	Utg857682_56	Utg323266_111
OG0000271	Utg864866_46	Utg323140_109
OG0000272	Utg859098_1	Utg324810_29
OG0000272	Utg859098_2	Utg323152_381
OG0000273	Utg861448_18	Utg323392_256
OG0000273	Utg858494_83	Utg323448_108
OG0000275	Utg857994_171	Utg323074_158
OG0000276	Utg859098_22, Utg861448_32	Utg323152_607, Utg323316_369, Utg323140_3
OG0000277	Utg860006_51	Utg323990_152
OG0000277	Utg860006_41	Utg323990_162
OG0000278	Utg862138_9	Utg323632_18
OG0000278	Utg860006_100	Utg323990_104
OG0000279	Utg859098_135	Utg323152_280
OG0000279	Utg866558_49	Utg323632_270
OG0000279	Utg859098_146	Utg323152_269
OG0000280	Utg859098_117	Utg323152_299
OG0000280	Utg859098_115	Utg323152_300
OG0000281	Utg859388_151	Utg323392_84
OG0000282	Utg859236_92	Utg323262_154
OG0000283	Utg861744_134	Utg324810_45
OG0000284	Utg857300_22	Utg323300_134
OG0000285	Utg859236_43	Utg324548_26
OG0000286	Utg860006_77	Utg323990_126
OG0000288	Utg859098_256	Utg323152_159
OG0000289	Utg859388_8, Utg859388_7	Utg323392_229
OG0000290	Utg860006_88	Utg323990_110
OG0000292	Utg857490_19	Utg323448_29
OG0000293	Utg862138_17	Utg323632_26
OG0000294	Utg857682_147	Utg323300_417
OG0000295	Utg860006_49	Utg323990_154
OG0000295	Utg857994_140	Utg323074_122
OG0000296	Utg857152_73	Utg323300_349
OG0000297	Utg861744_20	Utg323160_80, Utg323160_79
OG0000299	Utg862138_30	Utg323632_41
OG0000300	Utg861744_126	Utg324810_53
OG0000301	Utg858494_110	Utg323448_82
OG0000302	Utg863716_14	Utg323180_186
OG0000302	Utg857076_54	Utg323262_78
OG0000302	Utg865370_24	Utg323266_31
OG0000303	Utg860006_19	Utg323990_183
OG0000303	Utg860006_14	Utg323990_188
OG0000306	Utg859098_129	Utg323152_287
OG0000307	Utg862138_5	Utg323632_13
OG0000308	Utg862138_12	Utg323632_21
OG0000309	Utg858494_46	Utg323300_194
OG0000310	Utg857994_232	Utg323074_211
OG0000310	Utg857994_206	Utg323074_190
OG0000312	Utg858432_93	Utg323632_141
OG0000314	Utg862138_10	Utg323632_19
OG0000316	Utg863716_86	Utg323180_263
OG0000317	Utg857152_229	Utg323180_167
OG0000317	Utg859098_266	Utg323152_149
OG0000317	Utg857152_175	Utg323180_102
OG0000318	Utg857046_118	Utg323316_214
OG0000318	Utg857046_111	Utg323316_207
OG0000319	Utg860814_194	Utg323180_608
OG0000320	Utg857152_126, Utg857152_127	Utg323300_402
OG0000321	Utg859982_133	Utg323316_81
OG0000322	Utg857994_214	Utg323074_213
OG0000323	Utg857994_24	Utg323074_32
OG0000324	Utg859236_88	Utg323262_158
OG0000325	Utg864866_68	Utg323140_86
OG0000325	Utg857992_24	Utg323632_345
OG0000325	Utg866558_36	Utg323632_283
OG0000326	Utg859236_22	Utg323990_210
OG0000327	Utg859982_6	Utg323152_563
OG0000331	Utg857994_45	Utg323074_59
OG0000332	Utg857992_25	Utg323632_344
OG0000332	Utg857992_26	Utg323632_343
OG0000333	Utg857152_84	Utg323300_359
OG0000334	Utg857994_81	Utg323392_248
OG0000334	Utg861744_27	Utg323160_72
OG0000335	Utg857046_39	Utg323316_153
OG0000335	Utg857152_112	Utg323300_389
OG0000336	Utg860006_136	Utg323990_76
OG0000337	Utg862138_52	Utg323632_59
OG0000338	Utg857152_64	Utg323300_340
OG0000339	Utg859982_81	Utg323152_478
OG0000340	Utg857300_40	Utg323300_112
OG0000342	Utg859750_7	Utg324548_2
OG0000343	Utg858432_41	Utg323632_101
OG0000344	Utg857046_33	Utg323316_147
OG0000346	Utg865370_23	Utg323266_30
OG0000346	Utg863716_15	Utg323180_187
OG0000346	Utg857076_55	Utg323262_77
OG0000349	Utg860006_78	Utg323990_125
OG0000350	Utg857682_131	Utg323266_68, Utg323392_31
OG0000351	Utg857046_63	Utg323316_170
OG0000352	Utg857152_37	Utg323300_309
OG0000353	Utg859982_181	Utg323152_411
OG0000355	Utg860814_93	Utg323180_503
OG0000356	Utg859098_215	Utg325220_24, Utg323152_199
OG0000357	Utg859432_51	Utg323140_190
OG0000358	Utg859098_231	Utg323152_183
OG0000358	Utg857152_203	Utg323180_133
OG0000359	Utg857682_57	Utg323266_112
OG0000359	Utg864866_45	Utg323140_110
OG0000360	Utg857490_30	Utg323448_18
OG0000361	Utg859388_64	Utg323392_154
OG0000362	Utg859098_403	Utg323152_544
OG0000362	Utg857992_13	Utg323632_361
OG0000363	Utg858432_4	Utg323632_65
OG0000364	Utg858494_57	Utg323448_115
OG0000364	Utg863716_12, Utg863716_13	Utg323180_185
OG0000365	Utg857152_129	Utg323300_405
OG0000365	Utg864866_79	Utg323140_74
OG0000366	Utg857152_194	Utg323180_120
OG0000367	Utg864866_81, Utg864866_80	Utg323140_73
OG0000368	Utg857152_91	Utg323300_368
OG0000368	Utg857152_90	Utg323300_367
OG0000370	Utg857994_37	Utg323074_44
OG0000371	Utg860814_217, Utg860814_218	Utg323180_627
OG0000372	Utg857046_248	Utg323316_334
OG0000373	Utg857046_230	Utg323316_333
OG0000374	Utg859982_53	Utg323152_495
OG0000375	Utg857152_124	Utg323300_400
OG0000379	Utg859076_60	Utg324548_30
OG0000380	Utg858498_7	Utg323392_22
OG0000381	Utg858432_57	Utg323262_166
OG0000382	Utg859098_99	Utg323152_317
OG0000383	Utg857994_131	Utg323074_113
OG0000384	Utg858432_115	Utg323632_224
OG0000384	Utg859098_420	Utg323392_7
OG0000385	Utg860006_15	Utg323990_182
OG0000388	Utg859388_69	Utg323392_149
OG0000390	Utg859098_259	Utg323152_156
