Orthogroup	Desulfocapsa_13_biocide	Desulfotalea psychrophila LSv54
OG0000173	Utg861744_119	WP_011187845.1
OG0000174	Utg860814_189	WP_011188522.1
OG0000176	Utg859982_112	WP_011187404.1
OG0000176	Utg861744_133, Utg857046_232	WP_011187820.1
OG0000180	Utg859236_79	WP_041278377.1
OG0000181	Utg857046_168, Utg860814_302	WP_049785176.1
OG0000183	Utg862138_16	WP_041277717.1
OG0000184	Utg859236_54	WP_011189110.1
OG0000185	Utg859098_331	WP_162096651.1
OG0000186	Utg859236_122	WP_011188095.1
OG0000187	Utg858494_144, Utg858494_131	WP_011188352.1, WP_011188365.1
OG0000188	Utg857152_35	WP_011188912.1
OG0000190	Utg864866_78	WP_041277447.1
OG0000191	Utg857152_179	WP_011188792.1
OG0000193	Utg859750_20	WP_011188238.1
OG0000194	Utg861744_41	WP_011187954.1
OG0000195	Utg859098_286, Utg860814_283	WP_011189858.1
OG0000196	Utg862138_14	WP_011188559.1
OG0000197	Utg857490_20	WP_011188331.1
OG0000198	Utg859098_241	WP_156792257.1
OG0000199	Utg859098_216	WP_041277873.1
OG0000201	Utg859750_26	WP_011188242.1
OG0000202	Utg857682_175	WP_011189106.1
OG0000203	Utg857076_50, Utg857300_19	WP_011189716.1
OG0000203	Utg857076_65	WP_041277494.1
OG0000206	Utg857152_170, Utg857152_169	WP_011188252.1
OG0000207	Utg857682_58	WP_011188263.1
OG0000208	Utg857682_59	WP_011188262.1
OG0000209	Utg857046_253	WP_011189657.1
OG0000210	Utg857300_1	WP_011188475.1, WP_011187438.1
OG0000211	Utg859432_43	WP_011190201.1
OG0000212	Utg857046_231, Utg861744_127	WP_011187826.1
OG0000214	Utg862138_34	WP_041277773.1, WP_011188783.1
OG0000215	Utg861744_111	WP_041278351.1
OG0000217	Utg859236_44	WP_041278087.1
OG0000218	Utg861448_5	WP_011188935.1
OG0000219	Utg857152_18	WP_011187520.1
OG0000221	Utg860814_94	WP_011188482.1
OG0000222	Utg857076_18	WP_041277470.1, WP_011190100.1
OG0000223	Utg859388_18	WP_041277805.1
OG0000225	Utg859982_121	WP_011190357.1
OG0000226	Utg857152_57	WP_041277609.1
OG0000227	Utg857992_19	WP_011188872.1
OG0000228	Utg857994_154	WP_228130150.1
OG0000232	Utg859982_75, Utg859982_74, Utg859982_73	WP_162096624.1
OG0000234	Utg860006_56	WP_011188725.1
OG0000235	Utg863716_45	WP_011189740.1
OG0000235	Utg857152_83	WP_011188066.1
OG0000237	Utg861744_115	WP_011187837.1
OG0000237	Utg857682_142	WP_041277465.1
OG0000238	Utg857046_99	WP_011190078.1
OG0000239	Utg865370_16	WP_156792203.1
OG0000239	Utg859236_56	WP_011189492.1
OG0000240	Utg859098_373, Utg860814_39	WP_041277651.1
OG0000241	Utg859236_55, Utg859236_102	WP_011188682.1
OG0000243	Utg857682_39, Utg859236_70	WP_041277879.1
OG0000244	Utg859982_52	WP_011187903.1
OG0000245	Utg859098_51, Utg858494_9	WP_156792261.1
OG0000246	Utg861448_26, Utg857994_14, Utg857152_262	WP_156792390.1
OG0000248	Utg859432_49	WP_011187684.1
OG0000250	Utg859098_87	WP_041278036.1
OG0000252	Utg862138_13	WP_011188558.1
OG0000253	Utg858432_42	WP_041278077.1
OG0000254	Utg859076_2	WP_011190405.1
OG0000256	Utg862138_36	WP_193763857.1
OG0000259	Utg860006_137	WP_011189470.1
OG0000260	Utg859432_35	WP_011187671.1
OG0000261	Utg857682_145	WP_041278096.1
OG0000261	Utg860006_76	WP_011187462.1
OG0000262	Utg859098_276	WP_011188941.1, WP_041277999.1
OG0000263	Utg857682_148	WP_011190212.1
OG0000264	Utg857152_109	WP_011188079.1
OG0000265	Utg857152_107	WP_011188077.1
OG0000266	Utg857152_69	WP_011188060.1
OG0000267	Utg857046_62, Utg857046_61	WP_011187616.1
OG0000268	Utg860814_179	WP_011189056.1
OG0000270	Utg864866_30	WP_011189127.1
OG0000271	Utg857682_56	WP_011187803.1
OG0000273	Utg861448_18	WP_011188597.1, WP_011188167.1
OG0000277	Utg860006_51	WP_011188116.1
OG0000278	Utg862138_9	WP_011188554.1
OG0000280	Utg859098_116, Utg859098_117, Utg859098_115	WP_011189891.1
OG0000283	Utg861744_134	WP_011187819.1
OG0000284	Utg857300_22	WP_156792243.1
OG0000285	Utg859236_43	WP_041278086.1
OG0000286	Utg860006_77	WP_041277467.1
OG0000290	Utg860006_88	WP_011189438.1
OG0000292	Utg857490_19	WP_011188332.1
OG0000293	Utg862138_17	WP_011188562.1
OG0000294	Utg859750_51	WP_011190213.1
OG0000295	Utg860006_49	WP_011188719.1
OG0000295	Utg857994_140	WP_011189959.1
OG0000296	Utg857152_73	WP_041277610.1
OG0000297	Utg861744_20	WP_041277578.1
OG0000299	Utg862138_30	WP_228130178.1
OG0000300	Utg861744_126	WP_011187827.1
OG0000301	Utg858494_110	WP_011188387.1
OG0000303	Utg860006_19, Utg860006_14	WP_011188699.1
OG0000304	Utg861744_77	WP_011189335.1, WP_011190399.1
OG0000307	Utg862138_5	WP_011188550.1
OG0000308	Utg859982_217, Utg862138_12	WP_011188557.1
OG0000309	Utg858494_46	WP_041277735.1, WP_011187371.1
OG0000312	Utg858432_93	WP_011190120.1
OG0000313	Utg859982_66	WP_162096644.1
OG0000314	Utg862138_10	WP_011188555.1
OG0000316	Utg863716_86	WP_011190257.1
OG0000317	Utg857152_229, Utg859098_266, Utg857152_175	WP_041277994.1
OG0000320	Utg857152_126, Utg857152_127	WP_011187789.1, WP_011187785.1
OG0000321	Utg859982_133	WP_011189150.1
OG0000322	Utg857994_214	WP_156792160.1
OG0000323	Utg857994_24, Utg858494_38	WP_041278448.1
OG0000324	Utg859236_88	WP_011189814.1
OG0000326	Utg859236_22	WP_041277799.1
OG0000331	Utg857994_45	WP_011189375.1
OG0000332	Utg857992_26	WP_011188671.1
OG0000336	Utg860006_136	WP_011189471.1
OG0000337	Utg862138_52	WP_011188684.1
OG0000338	Utg857152_64	WP_011188054.1
OG0000339	Utg859982_81	WP_011187987.1
OG0000342	Utg859750_7	WP_265588616.1
OG0000343	Utg858432_41	WP_041277972.1, WP_041278078.1
OG0000349	Utg860006_78	WP_011187460.1
OG0000350	Utg857682_131	WP_011188163.1
OG0000351	Utg857046_63	WP_162096620.1
OG0000352	Utg857152_37	WP_011188037.1
OG0000353	Utg859982_181	WP_011188201.1, WP_011187388.1
OG0000355	Utg860814_93	WP_011188481.1
OG0000356	Utg859098_215	WP_011189820.1
OG0000357	Utg859432_51	WP_011187686.1
OG0000358	Utg857152_203	WP_011188159.1
OG0000359	Utg857682_57	WP_011187804.1
OG0000360	Utg857490_30	WP_041277667.1
OG0000361	Utg859388_64	WP_011190034.1
OG0000363	Utg858432_4	WP_041277943.1
OG0000366	Utg857152_194	WP_041278090.1
OG0000367	Utg864866_81, Utg864866_80	WP_011187535.1
OG0000371	Utg857682_144, Utg859750_43, Utg860814_217, Utg860814_218	WP_011190222.1
OG0000372	Utg857046_248	WP_011187969.1
OG0000373	Utg857046_230	WP_011187968.1
OG0000374	Utg859982_53	WP_041278286.1
OG0000380	Utg858498_7	WP_011189781.1
OG0000381	Utg858432_57	WP_011188623.1
OG0000382	Utg859098_99	WP_011189906.1
OG0000384	Utg858432_115, Utg859098_420	WP_011187586.1
OG0000385	Utg860006_15, Utg860006_20	WP_011188700.1
OG0000388	Utg859388_69	WP_011190030.1
OG0000390	Utg859098_259	WP_011189231.1
OG0000391	Utg859388_80	WP_011190429.1, WP_011187259.1
OG0000392	Utg859432_48	WP_011187683.1
OG0000393	Utg859388_122	WP_011189713.1
OG0000396	Utg857046_205	WP_011189462.1
OG0000397	Utg859098_263	WP_041277793.1
OG0000398	Utg859388_138, Utg857046_187	WP_173362835.1, WP_011190427.1
OG0000399	Utg857994_19	WP_041277921.1
OG0000400	Utg857994_148	WP_011189966.1
OG0000401	Utg857490_22, Utg859098_281	WP_011189767.1
OG0000403	Utg859388_57	WP_011189529.1
OG0000404	Utg858432_29	WP_162096667.1
OG0000406	Utg858432_101	WP_011188036.1
OG0000408	Utg857046_206	WP_011189463.1
OG0000409	Utg859098_197, Utg859098_196	WP_173362847.1
OG0000410	Utg860814_207	WP_011190337.1
OG0000413	Utg862138_42	WP_011189040.1
OG0000414	Utg864866_32	WP_011189125.1
OG0000418	Utg862138_20	WP_011189597.1, WP_011188565.1
OG0000419	Utg860006_86	WP_011189440.1
OG0000420	Utg859388_60	WP_011189525.1
OG0000422	Utg857046_203	WP_011190167.1
OG0000423	Utg859098_157	WP_041278794.1
OG0000425	Utg858494_44, Utg858432_11	WP_041278082.1
OG0000426	Utg859098_264	WP_011188860.1
OG0000427	Utg857490_6	WP_011188346.1
OG0000428	Utg859388_59	WP_041277939.1
OG0000429	Utg866558_37	WP_011187772.1
OG0000433	Utg857046_260	WP_011189706.1
OG0000434	Utg857046_132	WP_011187316.1
OG0000437	Utg859236_103	WP_011188093.1
OG0000438	Utg859982_174	WP_011187699.1
OG0000439	Utg859982_185	WP_011187387.1, WP_011188202.1
OG0000440	Utg859982_195	WP_041277623.1
OG0000443	Utg861744_142	WP_041278382.1
OG0000444	Utg859098_354	WP_228130145.1
OG0000445	Utg859098_121	WP_156792310.1
OG0000446	Utg859098_101	WP_011189905.1
OG0000447	Utg859388_92	WP_011189512.1
OG0000458	Utg866558_25	WP_011190050.1
OG0000459	Utg859098_217	WP_011189199.1
OG0000460	Utg858432_142	WP_011189785.1
OG0000461	Utg860814_196	WP_011188884.1
OG0000462	Utg859388_61	WP_041277938.1
OG0000463	Utg859982_12	WP_011189177.1
OG0000466	Utg857046_29	WP_041277422.1
OG0000467	Utg861744_129	WP_011187824.1
OG0000468	Utg859982_19	WP_011189509.1
OG0000469	Utg857152_63	WP_011188053.1
OG0000470	Utg858432_109	WP_011190065.1
OG0000471	Utg859750_61	WP_011188128.1
OG0000472	Utg860006_132	WP_011189474.1
OG0000473	Utg861744_130	WP_011187823.1
OG0000474	Utg859098_439, Utg858498_4	WP_011189845.1
OG0000476	Utg857490_27	WP_041277668.1
OG0000477	Utg857046_213	WP_011188156.1
OG0000479	Utg859098_352	WP_011189651.1
OG0000480	Utg858494_109	WP_041278396.1
OG0000482	Utg857300_27	WP_011189018.1
OG0000485	Utg859098_351	WP_011189650.1
OG0000486	Utg859982_148, Utg859982_149	WP_011189991.1
OG0000487	Utg859098_195	WP_041278024.1
OG0000488	Utg861744_54	WP_011187960.1
OG0000489	Utg859388_187, Utg858498_21	WP_011188276.1
OG0000490	Utg860814_326	WP_162096643.1
OG0000491	Utg857994_162	WP_041278044.1
OG0000492	Utg857152_223	WP_011190160.1
OG0000493	Utg857152_45	WP_011188045.1
OG0000495	Utg859098_239, Utg859098_238	WP_011189170.1
OG0000496	Utg862138_40	WP_049785040.1
OG0000497	Utg858432_129	WP_011189797.1
OG0000498	Utg858432_130	WP_011189796.1
OG0000500	Utg858494_89	WP_011188406.1
OG0000501	Utg859388_178	WP_041277540.1
OG0000502	Utg859098_218	WP_011189198.1
OG0000504	Utg860814_205	WP_041278120.1
OG0000506	Utg859982_40	WP_049785112.1
OG0000507	Utg859750_83	WP_228130170.1
OG0000508	Utg860006_116, Utg859076_17	WP_011187508.1
OG0000509	Utg861744_21	WP_011187888.1
OG0000510	Utg860814_70	WP_011189093.1
OG0000511	Utg857046_259	WP_011188090.1
OG0000512	Utg857994_18	WP_011189412.1
OG0000514	Utg858432_18	WP_041278089.1
OG0000515	Utg859982_11	WP_011189178.1
OG0000516	Utg860814_197	WP_041277801.1
OG0000520	Utg859388_149	WP_041278621.1
OG0000521	Utg859098_269	WP_011188856.1
OG0000522	Utg859098_204	WP_011189825.1
OG0000523	Utg859388_10	WP_011189941.1
OG0000524	Utg861744_33	WP_011187894.1
OG0000525	Utg861448_15	WP_041277510.1
OG0000526	Utg863716_87	WP_011190256.1
OG0000527	Utg860006_135	WP_011189472.1
OG0000530	Utg858432_105	WP_049785116.1
OG0000531	Utg860006_87	WP_228130141.1
OG0000532	Utg860006_54	WP_011188723.1
OG0000533	Utg857152_27, Utg857152_26	WP_011188031.1
OG0000535	Utg857152_185	WP_011190194.1
OG0000537	Utg859098_185	WP_011189840.1
OG0000539	Utg857152_159	WP_011188585.1
OG0000540	Utg859236_26	WP_011189704.1
OG0000542	Utg857152_50	WP_041277608.1
OG0000543	Utg859098_262	WP_041278539.1
OG0000544	Utg861744_125	WP_011187828.1
OG0000545	Utg859750_15	WP_011188974.1
OG0000546	Utg859432_39	WP_011187675.1
OG0000547	Utg860814_120	WP_041277944.1
OG0000549	Utg858498_13	WP_011189640.1
OG0000550	Utg861448_9	WP_011188945.1
OG0000551	Utg860814_267	WP_011189864.1
OG0000553	Utg857682_87	WP_011187439.1
OG0000555	Utg857152_177, Utg857152_176	WP_011188911.1
OG0000556	Utg859982_140	WP_041278827.1
OG0000558	Utg859236_71	WP_011188479.1
OG0000559	Utg861448_61	WP_041277917.1
OG0000561	Utg865370_11	WP_011188001.1
OG0000562	Utg861744_43	WP_011187743.1
OG0000563	Utg857682_124	WP_011187488.1
OG0000564	Utg859750_48	WP_041278003.1, WP_041277731.1
OG0000566	Utg857152_97	WP_011189759.1, WP_011188209.1
OG0000568	Utg859388_45, Utg859098_267	WP_011188858.1
OG0000569	Utg857992_12	WP_265588590.1, WP_011187919.1
OG0000570	Utg857046_194	WP_011188250.1, WP_011190423.1, WP_011187271.1
OG0000571	Utg857300_49	WP_083818934.1
OG0000572	Utg859982_161	WP_011188021.1
OG0000575	Utg859432_50	WP_011187685.1
OG0000576	Utg865370_28	WP_156792204.1
OG0000577	Utg857994_20	WP_041277922.1
OG0000578	Utg861744_32	WP_265588588.1
OG0000579	Utg861744_19	WP_041277577.1
OG0000580	Utg860814_282	WP_011189859.1
OG0000581	Utg858494_143	WP_011188354.1
OG0000582	Utg859750_11	WP_011188971.1
OG0000583	Utg857490_11	WP_041277672.1
OG0000584	Utg857046_225	WP_011188100.1
OG0000585	Utg857046_226	WP_083818932.1
OG0000586	Utg857046_228	WP_041277613.1
OG0000587	Utg859098_170	WP_011189426.1
OG0000588	Utg857046_250	WP_011188096.1
OG0000589	Utg859982_4	WP_011189180.1
OG0000590	Utg857046_196	WP_011188172.1
OG0000591	Utg859432_41	WP_041277520.1
OG0000592	Utg859098_167	WP_011189429.1
OG0000593	Utg858432_36	WP_041278079.1
OG0000594	Utg857152_39	WP_162096625.1
OG0000595	Utg860006_52	WP_011188721.1
OG0000596	Utg859098_222	WP_011189197.1
OG0000597	Utg859098_240	WP_011189171.1
OG0000598	Utg858432_39	WP_011190145.1
OG0000599	Utg859098_188	WP_011189837.1
OG0000600	Utg863716_90	WP_041278909.1
OG0000601	Utg859432_46	WP_011187681.1
OG0000603	Utg860006_130	WP_011189475.1
OG0000604	Utg859750_70	WP_041278118.1
OG0000605	Utg863716_99	WP_156792331.1
OG0000606	Utg865370_35	WP_011188166.1
OG0000607	Utg857152_11	WP_011187525.1
OG0000608	Utg860814_195	WP_011188883.1
OG0000609	Utg857994_166	WP_049785044.1
OG0000610	Utg858494_91	WP_011188404.1
OG0000611	Utg859098_165	WP_011189430.1
OG0000612	Utg866558_22	WP_011190047.1
OG0000613	Utg866558_21	WP_011190046.1
OG0000615	Utg858494_101	WP_011188395.1
OG0000616	Utg858494_99	WP_228130172.1
OG0000617	Utg858494_129	WP_011188368.1
OG0000618	Utg858494_127	WP_011188370.1
OG0000619	Utg858494_126	WP_011188371.1
OG0000620	Utg858494_125	WP_011188372.1
OG0000621	Utg858494_124	WP_011188373.1
OG0000622	Utg859236_96	WP_041278063.1
OG0000623	Utg857994_147	WP_011189965.1
OG0000624	Utg859098_193	WP_011189832.1
OG0000625	Utg859098_192	WP_011189833.1
OG0000626	Utg861744_118	WP_011187844.1
OG0000627	Utg858494_90	WP_011188405.1
OG0000628	Utg859076_34	WP_011189052.1
OG0000630	Utg857152_31	WP_011188034.1
OG0000631	Utg857152_28	WP_011188032.1
OG0000632	Utg859388_81	WP_011190021.1
OG0000634	Utg857994_128	WP_011189407.1
OG0000635	Utg859236_17	WP_011188882.1
OG0000637	Utg859388_63	WP_011190035.1
OG0000638	Utg857076_19	WP_011190101.1
OG0000639	Utg859982_5	WP_011189179.1
OG0000640	Utg860006_133	WP_011189473.1
OG0000641	Utg858432_119	WP_011189464.1
OG0000642	Utg857046_24	WP_011189005.1
OG0000643	Utg857994_157	WP_011189974.1
OG0000644	Utg857152_22	WP_011188027.1
OG0000645	Utg857046_27	WP_011187303.1
OG0000646	Utg858432_47	WP_011190137.1
OG0000647	Utg858432_46	WP_011190138.1
OG0000648	Utg858432_43	WP_011190141.1
OG0000649	Utg857994_158	WP_011189975.1
OG0000650	Utg857992_20	WP_011188871.1
OG0000651	Utg859098_261	WP_011188863.1
OG0000652	Utg859388_12	WP_011189939.1
OG0000653	Utg859098_160	WP_011189434.1
OG0000654	Utg859750_12, Utg859750_13	WP_011188972.1
OG0000655	Utg857490_21	WP_011188330.1
OG0000656	Utg860814_287	WP_011189856.1
OG0000657	Utg860814_288	WP_011189855.1
OG0000658	Utg860814_293	WP_011189851.1
OG0000659	Utg860814_294	WP_011189850.1
