Orthogroup	Desulfocapsa_13_biocide	Acidithiobacillus ferrooxidans YNTRS-40
OG0000302	Utg863716_14, Utg857076_54, Utg865370_24	WP_012536450.1
OG0000303	Utg860006_19, Utg860006_14	WP_012536471.1
OG0000304	Utg861744_77	WP_012536774.1
OG0000306	Utg859098_129	WP_012536970.1, WP_226833838.1
OG0000307	Utg862138_5	WP_012537295.1
OG0000308	Utg859982_217, Utg862138_12	WP_012537299.1
OG0000309	Utg858494_46	WP_012537406.1
OG0000310	Utg857994_232, Utg857994_206	WP_012537505.1
OG0000312	Utg858432_93	WP_012537595.1
OG0000314	Utg862138_10	WP_012607483.1
OG0000331	Utg857994_45	WP_009564442.1, WP_009561007.1
OG0000332	Utg857992_25, Utg857992_26	WP_009561368.1
OG0000333	Utg857152_84	WP_009562239.1
OG0000334	Utg857994_81, Utg861744_27	WP_009562307.1
OG0000335	Utg857046_39, Utg857152_112	WP_009562964.1
OG0000336	Utg860006_136	WP_009564610.1
OG0000336	Utg861448_55	WP_009566457.1
OG0000337	Utg862138_52	WP_009564760.1
OG0000338	Utg857152_64	WP_009566072.1
OG0000339	Utg859982_81	WP_009566369.1, WP_267903947.1
OG0000340	Utg857300_40	WP_009567235.1
OG0000342	Utg859750_7, Utg858494_15	WP_180830442.1, WP_012535935.1, WP_180830452.1, WP_012536649.1
OG0000343	Utg858432_41	WP_012537004.1, WP_012536021.1, WP_012537460.1
OG0000344	Utg857046_33	WP_012536229.1
OG0000346	Utg865370_23, Utg863716_15, Utg857076_55	WP_012536451.1
OG0000348	Utg859076_6	WP_012536538.1
OG0000349	Utg860006_78	WP_012536555.1, WP_012536560.1
OG0000350	Utg857682_131	WP_012607533.1, WP_012536601.1
OG0000351	Utg857046_63	WP_054608863.1, WP_012536857.1
OG0000352	Utg857152_37	WP_012537130.1
OG0000353	Utg859982_181	WP_012537240.1
OG0000355	Utg857046_161	WP_012537418.1
OG0000356	Utg859098_215	WP_012537427.1, WP_054609053.1
OG0000357	Utg859432_51	WP_012537553.1
OG0000358	Utg859098_231, Utg857152_203	WP_012537707.1
OG0000359	Utg864866_45	WP_012607242.1
OG0000360	Utg857490_30	WP_041647474.1
OG0000387	Utg857046_158	WP_009560939.1
OG0000388	Utg859388_69	WP_054608986.1, WP_054608972.1, WP_009561355.1
OG0000390	Utg859098_259	WP_012537476.1, WP_009562421.1
OG0000391	Utg859388_80	WP_009562662.1, WP_012607056.1
OG0000392	Utg859432_48	WP_009562813.1
OG0000393	Utg859388_122	WP_012536777.1, WP_009563800.1
OG0000394	Utg858432_118	WP_009566268.1
OG0000395	Utg859388_134	WP_009566884.1
OG0000396	Utg857046_205	WP_009566949.1
OG0000397	Utg859098_263	WP_009567142.1
OG0000398	Utg859388_138, Utg857046_187	WP_009567323.1
OG0000399	Utg857994_19	WP_009567484.1
OG0000400	Utg857994_148	WP_012536000.1, WP_009567581.1
OG0000401	Utg857490_22	WP_012535766.1
OG0000403	Utg859388_57	WP_012535991.1
OG0000406	Utg858432_101	WP_012536078.1
OG0000409	Utg859098_197, Utg859098_196	WP_012536144.1
OG0000410	Utg860814_206, Utg860814_207	WP_012536254.1
OG0000412	Utg859388_117	WP_012536319.1
OG0000413	Utg862138_42	WP_012536392.1
OG0000414	Utg864866_32	WP_012536519.1
OG0000418	Utg862138_20	WP_012536949.1
OG0000419	Utg860006_86	WP_012536955.1
OG0000420	Utg859388_60	WP_012536981.1
OG0000422	Utg857046_203	WP_012537502.1
OG0000423	Utg859098_157	WP_012537562.1
OG0000424	Utg860814_75, Utg859236_20	WP_180830455.1, WP_012537590.1
OG0000425	Utg858494_44, Utg858432_11	WP_012537653.1
OG0000426	Utg859098_264	WP_012537674.1
OG0000427	Utg857490_6	WP_041838681.1
OG0000428	Utg859388_59	WP_054608948.1
OG0000429	Utg866558_37	WP_233459592.1
OG0000457	Utg864866_63	WP_009560820.1
OG0000458	Utg866558_25	WP_009561363.1
OG0000459	Utg859098_217	WP_009562654.1
OG0000460	Utg858432_142	WP_012536691.1, WP_009563102.1
OG0000461	Utg860814_196	WP_009563301.1
OG0000462	Utg859388_61	WP_012536982.1, WP_012536787.1, WP_009563461.1
OG0000463	Utg859982_12	WP_009564129.1
OG0000465	Utg857046_20	WP_009564605.1
OG0000466	Utg857046_29	WP_009564692.1
OG0000467	Utg861744_129	WP_009564855.1, WP_009569804.1
OG0000468	Utg859982_19	WP_009565783.1, WP_074874161.1
OG0000469	Utg857152_63	WP_009566207.1
OG0000470	Utg858432_109	WP_009566477.1
OG0000471	Utg859750_61	WP_009566480.1
OG0000472	Utg860006_132	WP_009566574.1
OG0000473	Utg861744_130	WP_012537697.1
OG0000474	Utg859098_439, Utg858498_4	WP_009567190.1
OG0000476	Utg857490_27	WP_009567490.1
OG0000477	Utg857046_213	WP_012536151.1, WP_009567582.1
OG0000478	Utg857046_34	WP_009567595.1
OG0000479	Utg859098_352	WP_009567656.1
OG0000480	Utg858494_109	WP_009568282.1
OG0000481	Utg857046_84	WP_054609023.1, WP_009568876.1
OG0000485	Utg859098_351	WP_012535768.1
OG0000486	Utg859982_148, Utg859982_149	WP_012536028.1
OG0000487	Utg859098_195	WP_012536755.1, WP_012536063.1
OG0000488	Utg861744_54	WP_012536103.1
OG0000489	Utg859388_187, Utg858498_21	WP_012536116.1
OG0000490	Utg860814_326	WP_012536127.1
OG0000491	Utg857994_162	WP_012536128.1
OG0000492	Utg857152_223	WP_012536132.1
OG0000493	Utg857152_45	WP_012536143.1
OG0000494	Utg857152_20	WP_012536155.1
OG0000495	Utg859098_239, Utg859098_238	WP_012536160.1
OG0000496	Utg862138_40	WP_012536161.1
OG0000497	Utg858432_129	WP_012536181.1
OG0000498	Utg858432_130	WP_012536182.1
OG0000499	Utg860814_96	WP_012536183.1
OG0000501	Utg859388_178	WP_012536214.1
OG0000502	Utg859098_218	WP_012536243.1
OG0000503	Utg859750_73	WP_012536253.1
OG0000504	Utg860814_205	WP_012536255.1
OG0000505	Utg857994_68	WP_012536257.1
OG0000506	Utg859982_40	WP_012536330.1
OG0000507	Utg859750_83	WP_012536336.1
OG0000508	Utg860006_116, Utg859076_17	WP_012536351.1
OG0000509	Utg861744_21	WP_012536979.1, WP_012536352.1
OG0000510	Utg860814_70	WP_012536360.1
OG0000511	Utg857046_259	WP_012536394.1
OG0000512	Utg857994_18	WP_012536421.1
OG0000514	Utg858432_18	WP_012536532.1
OG0000515	Utg859982_11	WP_012536533.1
OG0000516	Utg860814_197	WP_012536759.1
OG0000517	Utg857076_26	WP_012536767.1
OG0000519	Utg859098_182	WP_054608908.1, WP_012536797.1
OG0000520	Utg859388_149	WP_012536816.1
OG0000521	Utg859098_269	WP_233459598.1, WP_012536827.1
OG0000522	Utg859098_204	WP_012536840.1
OG0000523	Utg859388_10	WP_012536878.1
OG0000524	Utg861744_33	WP_012606471.1, WP_012536920.1
OG0000525	Utg863716_65	WP_012537043.1
OG0000526	Utg863716_87	WP_012537089.1
OG0000527	Utg860006_135	WP_012537123.1
OG0000529	Utg857152_77, Utg857152_76	WP_012537162.1
OG0000530	Utg858432_105	WP_012537306.1
OG0000531	Utg860006_87	WP_012537317.1
OG0000532	Utg860006_54	WP_012537323.1
OG0000533	Utg857152_27, Utg857152_26	WP_012537326.1
OG0000535	Utg857152_185	WP_012537356.1
OG0000537	Utg859098_185	WP_012537410.1
OG0000539	Utg857152_159	WP_012537483.1
OG0000540	Utg859236_26	WP_012537544.1
OG0000542	Utg857152_50	WP_012537556.1
OG0000543	Utg859098_262	WP_012537673.1
OG0000544	Utg861744_125	WP_229129766.1, WP_012537696.1
OG0000545	Utg859750_15	WP_012606542.1
OG0000547	Utg860814_120	WP_180830382.1
OG0000549	Utg858498_13	WP_225487409.1
OG0000550	Utg861448_9	WP_230456331.1
OG0000575	Utg859432_50	WP_009560683.1
OG0000576	Utg865370_28	WP_009560685.1
OG0000577	Utg857994_20	WP_009560747.1
OG0000578	Utg861744_32	WP_009560802.1
OG0000579	Utg861744_19	WP_009560813.1
OG0000580	Utg860814_282	WP_009560843.1
OG0000581	Utg858494_143	WP_009560851.1
OG0000582	Utg859750_11	WP_009560861.1
OG0000583	Utg857490_11	WP_009560911.1
OG0000584	Utg857046_225	WP_009560912.1
OG0000585	Utg857046_226	WP_009560913.1
OG0000586	Utg857046_228	WP_009560916.1
OG0000587	Utg859098_170	WP_009560917.1
OG0000588	Utg857046_250	WP_009561052.1
OG0000589	Utg859982_4	WP_009561081.1
OG0000590	Utg857046_196	WP_009561185.1
OG0000591	Utg859432_41	WP_009561191.1
OG0000592	Utg859098_167	WP_009561285.1
OG0000593	Utg858432_36	WP_009561698.1
OG0000594	Utg857152_39	WP_009562201.1
OG0000595	Utg860006_52	WP_009562382.1
OG0000596	Utg859098_222	WP_009562410.1
OG0000597	Utg859098_240	WP_009562411.1
OG0000598	Utg858432_39	WP_009562424.1
OG0000599	Utg859098_188	WP_009562432.1
OG0000600	Utg863716_90	WP_009562611.1
OG0000601	Utg859432_46	WP_009562807.1
OG0000602	Utg859098_243	WP_009562815.1
OG0000603	Utg860006_130	WP_009562818.1
OG0000604	Utg859750_70	WP_009562823.1
OG0000605	Utg863716_99	WP_009562824.1
OG0000606	Utg865370_35	WP_009562995.1
OG0000607	Utg857152_11	WP_009563107.1
OG0000608	Utg860814_195	WP_009563302.1
OG0000609	Utg857994_166	WP_229129790.1, WP_009563706.1
OG0000610	Utg858494_91	WP_009564018.1
OG0000611	Utg859098_165	WP_009564109.1
OG0000612	Utg866558_22	WP_009564128.1
OG0000613	Utg866558_21	WP_009564594.1
OG0000615	Utg858494_101	WP_009564727.1
OG0000616	Utg858494_99	WP_009564729.1
OG0000617	Utg858494_129	WP_009565432.1
OG0000618	Utg858494_127	WP_009565434.1
OG0000619	Utg858494_126	WP_009565435.1
OG0000620	Utg858494_125	WP_009565436.1
OG0000621	Utg858494_124	WP_009565437.1
OG0000622	Utg859236_96	WP_009565541.1
OG0000623	Utg857994_147	WP_009565749.1
OG0000624	Utg859098_193	WP_009565803.1
OG0000625	Utg859098_192	WP_009565805.1
OG0000626	Utg861744_118	WP_009566208.1
OG0000627	Utg858494_90	WP_009566247.1
OG0000628	Utg859076_34	WP_009566444.1
OG0000630	Utg857152_31	WP_009566572.1
OG0000631	Utg857152_28	WP_009566573.1
OG0000632	Utg859388_81	WP_009566576.1
OG0000633	Utg861448_58, Utg861448_57, Utg860814_165	WP_009566620.1
OG0000634	Utg857994_128	WP_009566635.1
OG0000635	Utg859236_17	WP_009566647.1
OG0000636	Utg859982_221	WP_009566653.1
OG0000637	Utg859388_63	WP_009566798.1
OG0000638	Utg857076_19	WP_009566813.1
OG0000639	Utg859982_5	WP_009566882.1
OG0000640	Utg860006_133	WP_009566883.1
OG0000641	Utg858432_119	WP_009566950.1
OG0000642	Utg857046_24	WP_009566960.1
OG0000643	Utg857994_157	WP_009567014.1
OG0000644	Utg857152_22	WP_009567059.1
OG0000645	Utg857046_27	WP_009567097.1
OG0000646	Utg858432_47	WP_009567098.1
OG0000647	Utg858432_46	WP_009567099.1
OG0000648	Utg858432_43	WP_009567102.1
OG0000649	Utg857994_158	WP_009567132.1
OG0000650	Utg857992_20	WP_009567136.1
OG0000651	Utg859098_261	WP_009567143.1
OG0000652	Utg859388_12	WP_009567229.1
OG0000653	Utg859098_160	WP_009567236.1
OG0000654	Utg859750_12, Utg859750_13	WP_009567244.1
OG0000655	Utg857490_21	WP_009567300.1
OG0000656	Utg860814_287	WP_009567336.1
OG0000657	Utg860814_288	WP_009567337.1
OG0000658	Utg860814_293	WP_009567340.1
OG0000659	Utg860814_294	WP_009567341.1
OG0000660	Utg862138_23	WP_009567384.1
OG0000661	Utg862138_24	WP_009567386.1
OG0000662	Utg859236_80	WP_009567445.1
OG0000664	Utg860006_55	WP_009567486.1
OG0000665	Utg859750_18	WP_009567513.1
OG0000667	Utg857300_3	WP_009567579.1
OG0000668	Utg861448_16	WP_009567636.1, WP_012536721.1, WP_198293661.1
OG0000669	Utg861744_69	WP_009567649.1, WP_203602227.1
OG0000670	Utg858432_31	WP_009567690.1
OG0000671	Utg860006_65	WP_009567983.1
OG0000672	Utg857152_41	WP_009568056.1
OG0000673	Utg859982_38	WP_009568262.1
OG0000674	Utg859236_45	WP_009568264.1
OG0000675	Utg858432_131	WP_009568267.1
OG0000676	Utg859098_162	WP_009568268.1
OG0000677	Utg858494_106	WP_009568279.1
OG0000678	Utg858494_107	WP_009568280.1
OG0000679	Utg866558_16	WP_009568284.1
OG0000680	Utg857490_9	WP_009568607.1
OG0000681	Utg858494_138	WP_009568779.1
OG0000682	Utg858494_139	WP_009568780.1
OG0000683	Utg860006_24	WP_054609092.1, WP_009568883.1, WP_054609085.1
OG0000684	Utg857152_110	WP_009569104.1
OG0000685	Utg858494_115	WP_009569276.1
OG0000686	Utg858494_58	WP_009569543.1
OG0000687	Utg858494_119	WP_009569556.1
OG0000688	Utg858494_121	WP_009569558.1
OG0000689	Utg858494_122	WP_009569559.1
OG0000690	Utg857300_51	WP_009569795.1
OG0000691	Utg858494_135	WP_010641426.1
OG0000692	Utg857152_13	WP_012535739.1
OG0000693	Utg857682_77	WP_012535749.1
OG0000694	Utg857046_223	WP_012535756.1
OG0000695	Utg861744_138	WP_012535765.1
OG0000696	Utg857682_78	WP_012535802.1
OG0000697	Utg857152_72	WP_012535804.1
OG0000698	Utg866558_23	WP_012535974.1
OG0000699	Utg857992_14	WP_012535976.1
OG0000700	Utg857994_23	WP_012535994.1
OG0000701	Utg859982_145	WP_012535997.1
OG0000702	Utg863716_85	WP_012536008.1
OG0000704	Utg858432_50	WP_012536016.1
OG0000705	Utg858432_49	WP_012536017.1
OG0000706	Utg858432_48	WP_012536018.1
OG0000707	Utg858432_45	WP_012536019.1
OG0000708	Utg858432_38	WP_012536023.1
OG0000709	Utg859098_244	WP_012536040.1
OG0000710	Utg858432_137	WP_012536051.1
OG0000711	Utg857300_58	WP_012536059.1
OG0000712	Utg859098_194	WP_012536064.1
OG0000713	Utg859388_72	WP_012536070.1
OG0000714	Utg859388_74	WP_012536072.1
OG0000715	Utg857490_10	WP_012536073.1
OG0000716	Utg857490_8	WP_012536074.1
OG0000717	Utg858494_142	WP_012536079.1
OG0000718	Utg858494_141	WP_012536080.1
OG0000719	Utg858494_140	WP_012536081.1
OG0000720	Utg858494_137	WP_012536082.1
OG0000721	Utg858494_134	WP_012536084.1
OG0000722	Utg858494_130	WP_012536086.1
OG0000723	Utg858494_128	WP_012536087.1
OG0000724	Utg858494_123	WP_012536088.1
OG0000725	Utg858494_120	WP_012536089.1
OG0000726	Utg858494_118	WP_012536090.1
OG0000727	Utg858494_114	WP_012536093.1
OG0000728	Utg858494_113	WP_012536094.1
OG0000729	Utg858494_112	WP_012536095.1
OG0000730	Utg858494_111	WP_012536096.1
OG0000731	Utg858494_105	WP_012536098.1
OG0000732	Utg858494_104	WP_012536099.1
OG0000733	Utg858494_103	WP_012536100.1
OG0000734	Utg860814_296	WP_012536101.1
OG0000735	Utg857994_165	WP_012536102.1
OG0000736	Utg860814_280	WP_012536109.1
OG0000737	Utg860814_290	WP_012536117.1
OG0000738	Utg859432_37	WP_012536126.1
OG0000739	Utg859098_184	WP_012536147.1
OG0000740	Utg857046_195	WP_012536153.1
OG0000741	Utg857152_47	WP_012536187.1
OG0000742	Utg857046_188	WP_012536192.1, WP_012537512.1
