Orthogroup	Desulfocapsa_13_biocide	Geobacter sulfurreducens PCA
OG0000009	Utg860814_199, Utg860814_198	WP_010941672.1
OG0000010	Utg857046_180	WP_010942493.1
OG0000010	Utg857046_174, Utg859236_8	WP_010942893.1
OG0000012	Utg857046_67	WP_010941973.1
OG0000012	Utg857046_150	WP_010941439.1
OG0000013	Utg863716_117	WP_235044968.1, WP_010943331.1, WP_010942065.1
OG0000013	Utg860814_26, Utg860814_31	WP_010941970.1, WP_010941778.1
OG0000014	Utg857682_136	WP_010943740.1
OG0000014	Utg861744_121, Utg861744_120	WP_010941119.1, WP_010943578.1
OG0000015	Utg859388_25, Utg862138_18	WP_010943443.1
OG0000015	Utg864866_65	WP_010943159.1
OG0000016	Utg859098_114	WP_010941071.1
OG0000016	Utg859236_123	WP_010941944.1, WP_010942863.1, WP_010942852.1
OG0000016	Utg857152_131	WP_010942859.1, WP_010942689.1
OG0000017	Utg860006_13, Utg860006_18	WP_010942680.1
OG0000017	Utg860006_11	WP_049786599.1
OG0000018	Utg859098_43	WP_235044879.1
OG0000018	Utg860006_169	WP_010942157.1
OG0000019	Utg864866_31	WP_010941763.1
OG0000019	Utg857682_135	WP_010943739.1
OG0000020	Utg857300_36	WP_010943745.1
OG0000022	Utg859098_220, Utg863716_101, Utg859236_119, Utg859388_124	WP_010942550.1, WP_010941573.1, WP_010941244.1, WP_010940866.1, WP_010940882.1
OG0000023	Utg860814_168	WP_010943046.1
OG0000023	Utg859388_168	WP_010941206.1
OG0000024	Utg859098_279	WP_010941582.1
OG0000026	Utg857152_94	WP_010943263.1, WP_010941067.1
OG0000027	Utg863716_17, Utg857300_35, Utg857300_34, Utg857046_152, Utg857046_153	WP_010941441.1
OG0000028	Utg857076_67, Utg864866_101, Utg860006_30, Utg864866_102, Utg860814_34	WP_010941609.1
OG0000029	Utg859750_95	WP_010941460.1
OG0000030	Utg861744_16	WP_010944016.1
OG0000031	Utg857076_58	WP_010940767.1
OG0000033	Utg857682_66	WP_010943085.1
OG0000033	Utg860814_171	WP_010941969.1
OG0000034	Utg859098_369	WP_010943334.1
OG0000035	Utg861448_17	WP_010942933.1, WP_010940966.1, WP_010943642.1
OG0000035	Utg857152_33	WP_010943212.1, WP_010941571.1, WP_010942704.1
OG0000037	Utg858494_24, Utg858494_27, Utg858494_13	WP_164930422.1
OG0000038	Utg860006_50	WP_010940700.1
OG0000038	Utg860814_278	WP_010943808.1
OG0000038	Utg860814_277	WP_010941445.1, WP_010941452.1
OG0000040	Utg859098_48, Utg860006_147	WP_010942495.1
OG0000041	Utg859098_368	WP_153304094.1
OG0000042	Utg857152_197	WP_010943811.1
OG0000042	Utg857152_116, Utg859236_105	WP_010941591.1
OG0000043	Utg859236_121	WP_010941851.1
OG0000046	Utg860006_158	WP_010941543.1
OG0000047	Utg858432_158, Utg857046_163	WP_262421271.1
OG0000048	Utg857682_54	WP_010942268.1
OG0000049	Utg857152_93	WP_010941476.1, WP_010941028.1
OG0000051	Utg857076_57, Utg857046_216, Utg857152_166, Utg859388_159, Utg859388_160	WP_010940766.1
OG0000053	Utg859388_13	WP_010941160.1
OG0000053	Utg857046_30	WP_010942464.1
OG0000055	Utg859098_163	WP_010942902.1
OG0000057	Utg857682_24, Utg859098_394, Utg859982_23, Utg859098_431, Utg864866_2	WP_010943773.1
OG0000058	Utg860814_210	WP_010942454.1
OG0000058	Utg859098_128, Utg866558_45, Utg859098_142, Utg860814_129	WP_010941840.1
OG0000060	Utg857300_57, Utg866558_9	WP_041913993.1
OG0000060	Utg860006_140, Utg860006_141	WP_010942427.1
OG0000061	Utg857682_55	WP_010942269.1
OG0000061	Utg859076_31	WP_010943909.1
OG0000062	Utg859388_55	WP_010942081.1
OG0000063	Utg859388_77	WP_010942168.1, WP_010942767.1
OG0000064	Utg860006_63	WP_010941276.1
OG0000064	Utg859750_77	WP_010943894.1
OG0000065	Utg864866_69	WP_010941490.1, WP_010941029.1, WP_010942716.1, WP_010943066.1, WP_010940694.1
OG0000065	Utg859750_21	WP_010942732.1
OG0000066	Utg857682_52	WP_010942270.1
OG0000067	Utg859388_56	WP_010942082.1
OG0000069	Utg857682_89	WP_010943436.1
OG0000070	Utg859098_224	WP_010942896.1
OG0000070	Utg860006_144	WP_235045000.1, WP_010942882.1, WP_010942892.1
OG0000071	Utg857046_242, Utg859076_12	WP_010942652.1
OG0000071	Utg860814_115	WP_010942375.1
OG0000072	Utg857046_243	WP_010942651.1
OG0000072	Utg860814_114	WP_010942376.1
OG0000073	Utg861744_37, Utg863716_115, Utg860814_62, Utg864866_41	WP_235045002.1
OG0000075	Utg861744_17	WP_010944017.1
OG0000075	Utg857152_236	WP_010941466.1
OG0000076	Utg861744_5	WP_010941344.1, WP_010941953.1, WP_010941955.1, WP_010941803.1
OG0000076	Utg859076_57, Utg860814_43, Utg859098_152	WP_010942860.1, WP_010942858.1
OG0000077	Utg857994_161	WP_010941855.1
OG0000078	Utg859982_201, Utg859982_200	WP_010942352.1
OG0000079	Utg861744_10, Utg859750_81, Utg860006_159	WP_010942999.1
OG0000082	Utg859388_21, Utg859098_98	WP_010941678.1, WP_010943655.1
OG0000084	Utg859236_68	WP_010943981.1
OG0000085	Utg860814_319, Utg860814_167	WP_010940999.1, WP_010940757.1
OG0000087	Utg864866_67, Utg859982_51, Utg858432_79	WP_010942653.1
OG0000088	Utg859076_58, Utg859098_154, Utg859098_153	WP_010940968.1, WP_010942862.1, WP_010943817.1
OG0000091	Utg860814_64	WP_010941129.1
OG0000093	Utg859750_86	WP_010941779.1
OG0000094	Utg858494_66	WP_010943189.1
OG0000094	Utg857994_186	WP_010941286.1
OG0000095	Utg857152_143	WP_010940777.1
OG0000095	Utg860006_150	WP_010942900.1
OG0000097	Utg859982_50, Utg859982_49, Utg861744_24	WP_010941879.1
OG0000098	Utg860814_113	WP_010942377.1
OG0000098	Utg859982_8, Utg859076_14	WP_010942650.1
OG0000101	Utg865370_31, Utg859750_57	WP_010943782.1, WP_010943090.1
OG0000102	Utg858432_73	WP_010941507.1
OG0000103	Utg857046_198, Utg857152_173	WP_010941607.1, WP_010942480.1
OG0000104	Utg857994_15, Utg857046_251	WP_262421275.1
OG0000105	Utg859388_70	WP_010942250.1
OG0000105	Utg860814_77	WP_010941127.1, WP_010941128.1
OG0000106	Utg857076_51, Utg857300_18, Utg857046_214	WP_010943341.1
OG0000107	Utg857682_17, Utg857682_16	WP_010942207.1
OG0000108	Utg863716_66, Utg858498_15, Utg860814_243, Utg860814_242	WP_010940958.1
OG0000109	Utg861448_27	WP_010942188.1
OG0000110	Utg861744_6	WP_010941804.1
OG0000112	Utg857152_85, Utg857682_172	WP_010942274.1
OG0000113	Utg857046_73	WP_010942320.1
OG0000114	Utg858494_132	WP_010943165.1
OG0000115	Utg857152_65	WP_010943892.1
OG0000115	Utg860006_127	WP_010944056.1, WP_010942772.1
OG0000116	Utg857152_111	WP_010941178.1
OG0000117	Utg864866_33	WP_010941759.1
OG0000118	Utg864866_34	WP_010941758.1
OG0000121	Utg857994_195	WP_010942597.1
OG0000122	Utg857076_48	WP_010943368.1, WP_010943370.1
OG0000123	Utg861744_8	WP_010941806.1
OG0000123	Utg859236_117	WP_010943384.1
OG0000125	Utg857046_44, Utg859982_63, Utg859982_62	WP_010942746.1
OG0000126	Utg859388_82	WP_010943126.1
OG0000128	Utg863716_100	WP_010941589.1
OG0000128	Utg859098_212	WP_010943853.1
OG0000129	Utg860814_286	WP_010941713.1
OG0000129	Utg857682_35	WP_010943266.1, WP_010943778.1
OG0000130	Utg864866_91, Utg857992_39	WP_235044863.1, WP_010942184.1
OG0000131	Utg857994_138	WP_010942881.1
OG0000132	Utg859098_255	WP_010942113.1
OG0000133	Utg864866_36	WP_010941757.1
OG0000134	Utg864866_54	WP_010942241.1
OG0000136	Utg859098_181	WP_010941670.1
OG0000138	Utg859388_169	WP_010941764.1
OG0000139	Utg860006_94, Utg857682_160, Utg857994_107, Utg858432_157	WP_010942637.1, WP_010942588.1
OG0000142	Utg860814_204	WP_010942899.1
OG0000143	Utg864866_105	WP_010941975.1
OG0000143	Utg859750_71	WP_010943891.1
OG0000144	Utg859388_32	WP_010941593.1, WP_041914047.1
OG0000144	Utg859388_58	WP_010941482.1
OG0000145	Utg860814_102, Utg860814_101	WP_010942949.1
OG0000147	Utg859388_78	WP_010942139.1
OG0000147	Utg857992_40	WP_010940995.1
OG0000147	Utg859388_119	WP_010942428.1
OG0000149	Utg857300_12	WP_276524822.1, WP_010943517.1
OG0000150	Utg859982_197, Utg857046_26, Utg857152_38	WP_010943710.1
OG0000151	Utg860814_299, Utg857046_167	WP_010942486.1
OG0000152	Utg860814_109	WP_010942382.1
OG0000152	Utg860814_116	WP_010942374.1
OG0000154	Utg865370_5	WP_010943751.1
OG0000155	Utg859098_381	WP_010943603.1, WP_010943552.1
OG0000155	Utg859098_382	WP_010943023.1
OG0000156	Utg859982_64, Utg857046_46	WP_010942747.1
OG0000158	Utg859098_391	WP_010941382.1
OG0000159	Utg857994_88	WP_010943532.1
OG0000160	Utg863716_47	WP_010941051.1, WP_010940903.1
OG0000163	Utg861744_18, Utg857076_25	WP_010940702.1, WP_010942942.1
OG0000164	Utg857300_2	WP_010941317.1
OG0000165	Utg859432_36	WP_010942470.1
OG0000166	Utg858432_139, Utg861744_93	WP_010943267.1
OG0000167	Utg864866_73, Utg859982_154	WP_010943983.1
OG0000169	Utg859982_43, Utg859098_429	WP_010942556.1
OG0000170	Utg857152_75, Utg857152_74	WP_010942052.1
OG0000173	Utg861744_119	WP_010943577.1, WP_010941118.1
OG0000174	Utg860814_189	WP_010944064.1
OG0000175	Utg857994_220	WP_262421276.1
OG0000176	Utg859982_112	WP_010940798.1
OG0000176	Utg861744_133, Utg857046_232	WP_010941450.1
OG0000179	Utg859098_69, Utg859098_70	WP_010943665.1
OG0000180	Utg859236_79	WP_010941864.1
OG0000181	Utg857046_168, Utg860814_302	WP_010942627.1
OG0000183	Utg859982_223, Utg862138_16	WP_010941007.1
OG0000184	Utg859388_167	WP_010943067.1
OG0000186	Utg859236_122, Utg857994_70	WP_010941475.1, WP_010942088.1
OG0000187	Utg858494_144, Utg858494_131	WP_010943488.1
OG0000188	Utg857152_35	WP_010942212.1, WP_193360263.1, WP_010941847.1
OG0000190	Utg864866_78	WP_010943251.1
OG0000191	Utg857152_179	WP_010940707.1
OG0000196	Utg862138_14	WP_010941009.1
OG0000196	Utg859982_222	WP_010944054.1
OG0000197	Utg857490_20	WP_010941767.1
OG0000198	Utg859098_241	WP_010942442.1
OG0000199	Utg859098_216	WP_010940692.1
OG0000200	Utg861744_45	WP_010940782.1
OG0000201	Utg859750_26	WP_010942481.1, WP_010941167.1
OG0000202	Utg857682_175, Utg857300_47	WP_010944059.1, WP_010943805.1, WP_010941512.1
OG0000205	Utg857682_46	WP_275450049.1
OG0000207	Utg857682_58	WP_010942266.1
OG0000208	Utg857682_59	WP_010942265.1
OG0000209	Utg857046_253	WP_010942096.1
OG0000210	Utg857300_1	WP_010941518.1
OG0000211	Utg859432_43	WP_010940834.1
OG0000212	Utg859982_111	WP_010940796.1
OG0000212	Utg857046_231, Utg861744_127	WP_010941451.1
OG0000214	Utg862138_34	WP_010943452.1, WP_010943323.1, WP_010943453.1
OG0000215	Utg861744_111	WP_010942713.1
OG0000216	Utg857046_32	WP_010943613.1
OG0000217	Utg859236_44	WP_010942056.1
OG0000218	Utg861448_5, Utg857682_32, Utg857682_33	WP_010941105.1
OG0000219	Utg859098_413, Utg860814_128, Utg857152_18	WP_010942171.1
OG0000220	Utg860814_140	WP_010941820.1
OG0000222	Utg857076_18	WP_010942108.1
OG0000223	Utg859388_18	WP_010942050.1
OG0000224	Utg859982_58, Utg857682_161	WP_010942097.1
OG0000225	Utg859982_121	WP_010943944.1
OG0000226	Utg857152_57	WP_010943254.1, WP_010943255.1
OG0000227	Utg857992_19	WP_010943010.1
OG0000228	Utg857994_154	WP_010940759.1
OG0000229	Utg857682_96	WP_010942321.1
OG0000233	Utg859098_376	WP_010943635.1
OG0000234	Utg860006_56	WP_010943824.1, WP_010940956.1
OG0000235	Utg863716_45, Utg857152_83	WP_010942669.1
OG0000236	Utg859098_221	WP_235044991.1, WP_235044960.1, WP_010943847.1, WP_235044941.1
OG0000239	Utg865370_16, Utg859236_56	WP_010943048.1
OG0000240	Utg859098_373, Utg860814_39	WP_010941505.1
OG0000241	Utg859236_55	WP_010942954.1
OG0000241	Utg859236_102	WP_010941508.1
OG0000242	Utg859098_136, Utg866558_40, Utg859098_132	WP_235044978.1
OG0000243	Utg857682_39, Utg859236_70	WP_010942841.1
OG0000245	Utg859098_51, Utg858494_9	WP_010943105.1
OG0000246	Utg859098_58	WP_010943032.1
OG0000246	Utg861448_26, Utg857994_14, Utg857152_262	WP_045667367.1, WP_235044935.1
OG0000248	Utg859432_49	WP_010940826.1
OG0000250	Utg859098_87	WP_010943679.1
OG0000252	Utg859982_218	WP_010944046.1
OG0000252	Utg862138_13	WP_010941013.1
OG0000253	Utg858432_42	WP_010943698.1, WP_010943699.1
OG0000254	Utg859076_2	WP_010943176.1, WP_010940756.1, WP_010943910.1
OG0000255	Utg859432_74	WP_010943746.1, WP_010941236.1
OG0000256	Utg862138_36	WP_010943449.1
OG0000257	Utg859236_23	WP_010943933.1
OG0000258	Utg857994_234	WP_235044999.1
OG0000259	Utg860006_137	WP_010942654.1
OG0000260	Utg859432_35	WP_010942469.1
OG0000262	Utg859098_276	WP_010943062.1, WP_010941612.1, WP_010941613.1, WP_010941843.1
OG0000263	Utg859750_52	WP_010941522.1, WP_235044914.1
OG0000264	Utg857152_109	WP_010940789.1
OG0000265	Utg857152_107	WP_010940787.1
OG0000266	Utg857152_69	WP_010941002.1
OG0000267	Utg857046_62, Utg857046_61	WP_010944011.1, WP_010942780.1, WP_010941497.1, WP_010941986.1
OG0000270	Utg860814_173	WP_010940685.1
OG0000270	Utg864866_30	WP_010941762.1
OG0000271	Utg857682_56, Utg864866_46	WP_010943344.1
OG0000272	Utg859098_1, Utg859098_2	WP_010942075.1
OG0000273	Utg861448_18, Utg861448_42, Utg858494_83	WP_010941196.1
OG0000277	Utg860006_51	WP_010940802.1, WP_010943774.1
OG0000278	Utg862138_9, Utg860006_100	WP_010942980.1
OG0000280	Utg859098_116, Utg859098_117, Utg859098_115	WP_010941072.1, WP_010940808.1
OG0000281	Utg859388_151	WP_010941524.1
OG0000282	Utg859236_92	WP_010943444.1
OG0000283	Utg861744_134	WP_010940799.1
OG0000284	Utg857300_22	WP_010942003.1, WP_010941315.1, WP_010941575.1
OG0000285	Utg859236_43	WP_010941784.1
OG0000288	Utg859098_256	WP_010943065.1
OG0000289	Utg859388_8, Utg859388_7	WP_010941147.1
OG0000290	Utg860006_88	WP_010944031.1
OG0000292	Utg857490_19	WP_010941250.1
OG0000293	Utg859982_224	WP_010944055.1
OG0000293	Utg862138_17	WP_010941006.1
OG0000295	Utg857994_140	WP_010942132.1
OG0000296	Utg857152_73	WP_010943239.1, WP_010942391.1
OG0000297	Utg861744_20	WP_010943720.1
OG0000299	Utg862138_30	WP_010941531.1
OG0000300	Utg861744_126	WP_010941042.1
OG0000301	Utg858494_110	WP_010943464.1
OG0000302	Utg863716_14, Utg857076_54	WP_010940762.1
OG0000303	Utg860006_19, Utg860006_14	WP_235044981.1
OG0000304	Utg857682_64	WP_010943295.1
OG0000304	Utg861744_77	WP_010943072.1, WP_010943087.1
OG0000307	Utg862138_5	WP_010944039.1
OG0000307	Utg859982_212	WP_010941019.1
OG0000308	Utg859982_217, Utg862138_12	WP_010941014.1, WP_010944044.1
OG0000309	Utg858494_46	WP_010942664.1
OG0000310	Utg857994_232	WP_010942151.1
OG0000312	Utg858432_93	WP_010944022.1
OG0000314	Utg859982_215	WP_010944042.1
OG0000314	Utg862138_10	WP_010941016.1
OG0000316	Utg863716_86	WP_010942400.1
OG0000318	Utg857046_118	WP_010941278.1
OG0000318	Utg857046_111	WP_235045030.1
OG0000320	Utg857152_126, Utg857152_127	WP_010942929.1
OG0000321	Utg859982_133	WP_010942347.1, WP_010942710.1
OG0000322	Utg859098_38	WP_010942886.1
OG0000325	Utg864866_68, Utg857992_24, Utg866558_36	WP_010941180.1
OG0000326	Utg859236_22, Utg859236_21	WP_010941340.1
OG0000327	Utg859076_16, Utg859982_6	WP_010944012.1
OG0000331	Utg857994_45	WP_010942832.1
OG0000332	Utg857992_25, Utg857992_26	WP_010940771.1
OG0000333	Utg857152_84	WP_010942670.1
OG0000335	Utg857046_39, Utg857152_112	WP_010942466.1
OG0000336	Utg860006_136	WP_010942655.1
OG0000336	Utg861448_55	WP_010942057.1
OG0000337	Utg862138_52	WP_010942393.1
OG0000338	Utg857152_64	WP_010941156.1
OG0000339	Utg859982_81	WP_010941334.1
OG0000343	Utg858432_41	WP_010943700.1
OG0000344	Utg857046_33	WP_010943614.1
OG0000346	Utg857076_55	WP_010940764.1
OG0000348	Utg859076_6	WP_010941927.1
OG0000350	Utg857682_131	WP_235044984.1
OG0000351	Utg857046_63	WP_010941822.1, WP_010942781.1, WP_010941496.1, WP_235044931.1, WP_010941985.1
OG0000352	Utg857152_37	WP_010943711.1
OG0000353	Utg859982_181	WP_010943880.1
OG0000355	Utg860814_93	WP_010941203.1
OG0000355	Utg857046_161	WP_010943779.1
OG0000356	Utg859098_215	WP_010942796.1, WP_010943738.1
OG0000357	Utg859432_51	WP_010942533.1
OG0000358	Utg857152_203	WP_010941267.1
OG0000359	Utg857682_57, Utg864866_45	WP_010944058.1, WP_010943345.1
OG0000360	Utg857490_30	WP_010942731.1
OG0000361	Utg859388_64	WP_010940962.1
OG0000363	Utg858432_4	WP_010940854.1
OG0000364	Utg858494_57, Utg863716_12, Utg863716_13	WP_010941270.1
OG0000365	Utg857152_129, Utg864866_79	WP_010943250.1
OG0000366	Utg857152_194	WP_010941660.1
OG0000370	Utg857994_37	WP_010940937.1
OG0000371	Utg857682_144, Utg859750_43, Utg860814_217, Utg860814_218	WP_235044970.1, WP_010942091.1
OG0000377	Utg859982_93	WP_235045033.1
OG0000377	Utg858494_33, Utg858494_29, Utg859098_387, Utg857682_114, Utg857994_251, Utg857682_132, Utg857682_112	WP_010941622.1
OG0000379	Utg859076_60	WP_010941941.1
OG0000381	Utg858432_57	WP_010943166.1
OG0000382	Utg859098_99	WP_010943654.1
OG0000384	Utg858432_115, Utg859098_420	WP_010942061.1, WP_010943430.1
OG0000385	Utg860006_15, Utg860006_20	WP_235044980.1
OG0000388	Utg859388_69	WP_010942249.1
OG0000390	Utg859098_259	WP_010941122.1
OG0000391	Utg859388_80	WP_010942461.1
OG0000393	Utg859388_122	WP_010943825.1
OG0000394	Utg858432_118	WP_010943002.1
OG0000395	Utg859388_134	WP_010942541.1
OG0000396	Utg857046_205	WP_010942725.1
OG0000397	Utg859098_263	WP_010943018.1
OG0000398	Utg859388_138, Utg857046_187	WP_010941523.1
OG0000399	Utg857994_19	WP_010943768.1
OG0000400	Utg857994_148	WP_010943724.1
OG0000401	Utg857490_22	WP_010940699.1
OG0000402	Utg860814_307	WP_223106389.1
OG0000403	Utg859388_57	WP_010941483.1
OG0000404	Utg858432_29	WP_010942824.1
OG0000406	Utg858432_101	WP_010941749.1
OG0000408	Utg857046_206	WP_010943001.1
OG0000409	Utg859098_197, Utg859098_196	WP_010943829.1
OG0000410	Utg860814_206, Utg860814_207	WP_010941931.1
OG0000412	Utg866558_8	WP_010940997.1
OG0000412	Utg859388_117	WP_010942671.1
OG0000413	Utg862138_42	WP_010942923.1
OG0000414	Utg864866_32	WP_010941756.1
OG0000418	Utg862138_20	WP_010943506.1
OG0000419	Utg860006_86	WP_010941890.1, WP_010941487.1
OG0000422	Utg857046_203	WP_010943000.1
OG0000423	Utg859098_157	WP_010942177.1
OG0000425	Utg858494_44, Utg858432_11	WP_010940943.1
OG0000426	Utg859098_264	WP_010943019.1
OG0000427	Utg857490_6	WP_010943733.1
OG0000428	Utg859388_59	WP_010941481.1, WP_010942544.1, WP_010941594.1
OG0000430	Utg859098_145, Utg859098_134	WP_010941255.1, WP_010942639.1, WP_010942850.1
OG0000431	Utg859388_150	WP_010942742.1
OG0000432	Utg857046_240	WP_010941578.1
OG0000433	Utg857046_260	WP_010941430.1
OG0000434	Utg857046_132, Utg860814_138	WP_010943321.1
OG0000438	Utg859982_174	WP_010941116.1
OG0000439	Utg859982_185	WP_010943881.1
OG0000440	Utg859982_195	WP_010941436.1
OG0000442	Utg859076_63	WP_235044932.1
OG0000442	Utg859236_124, Utg859098_171	WP_010941904.1
OG0000443	Utg861744_142	WP_010943783.1
OG0000444	Utg859098_354	WP_010940703.1
OG0000445	Utg859098_121	WP_010941856.1
OG0000446	Utg859098_101, Utg859098_100, Utg859076_48	WP_010941087.1
OG0000447	Utg859388_92	WP_010942329.1
OG0000448	Utg859982_7	WP_010944005.1
OG0000454	Utg859076_56	WP_010941958.1
OG0000457	Utg864866_63	WP_010942557.1
OG0000458	Utg866558_25	WP_010943913.1, WP_010942869.1
OG0000459	Utg859098_217	WP_010942547.1
OG0000460	Utg858432_142	WP_010942228.1
OG0000461	Utg860814_196	WP_010940711.1
OG0000462	Utg859388_61	WP_010941479.1
OG0000463	Utg859982_12	WP_010942901.1
OG0000465	Utg857046_20	WP_010943901.1
OG0000466	Utg857046_29	WP_010943714.1, WP_010941574.1
OG0000467	Utg861744_129	WP_010940977.1
OG0000468	Utg859982_19	WP_010941157.1
OG0000469	Utg857152_63	WP_235045036.1, WP_010941169.1
OG0000470	Utg858432_109	WP_010940811.1
OG0000471	Utg859750_61	WP_010942071.1
OG0000472	Utg860006_132	WP_010943177.1
OG0000473	Utg861744_130	WP_010940976.1
OG0000474	Utg859098_439, Utg858498_4	WP_010941000.1
OG0000476	Utg857490_27	WP_010942721.1, WP_010943097.1
OG0000477	Utg857046_213	WP_010941662.1
OG0000478	Utg857046_34	WP_010943615.1
OG0000479	Utg859098_352	WP_010940705.1
OG0000480	Utg858494_109	WP_010942395.1
OG0000481	Utg857046_84	WP_010942262.1, WP_010940718.1
OG0000482	Utg857300_27	WP_010941444.1
OG0000485	Utg859098_351	WP_010940706.1
OG0000486	Utg859982_148, Utg859982_149	WP_010942693.1
OG0000487	Utg859098_195	WP_010943830.1
OG0000488	Utg861744_54	WP_010941054.1
OG0000489	Utg859388_187, Utg858498_21	WP_010942709.1
OG0000490	Utg860814_326	WP_010941675.1
OG0000491	Utg857994_162	WP_010941876.1
OG0000492	Utg857152_223	WP_010941312.1, WP_010941313.1
OG0000493	Utg857152_45	WP_010942580.1
OG0000494	Utg857152_20	WP_010942170.1
OG0000495	Utg859098_239, Utg859098_238	WP_010943252.1
OG0000496	Utg862138_40	WP_010942910.1
OG0000497	Utg858432_129	WP_010941636.1, WP_010942416.1
OG0000498	Utg858432_130	WP_010942417.1
OG0000499	Utg860814_96	WP_010942708.1
OG0000500	Utg858494_89	WP_010942876.1
OG0000502	Utg859098_218	WP_010942548.1
OG0000503	Utg859750_73	WP_010941055.1
OG0000504	Utg860814_205	WP_010941928.1
OG0000505	Utg857994_68	WP_010941251.1
OG0000506	Utg859982_40	WP_010942552.1
OG0000507	Utg859750_83	WP_010941554.1
OG0000508	Utg860006_116, Utg859076_17	WP_010940877.1
OG0000509	Utg861744_21	WP_010943992.1
OG0000510	Utg860814_70	WP_010940919.1
OG0000511	Utg857046_259	WP_010941133.1, WP_010942396.1
OG0000512	Utg857994_18	WP_010943245.1
OG0000514	Utg858432_18	WP_010942904.1, WP_010941664.1
OG0000515	Utg859982_11	WP_010942903.1
OG0000516	Utg860814_197	WP_010942477.1
OG0000517	Utg857076_26	WP_010941039.1
OG0000519	Utg859098_182	WP_010943550.1, WP_010943549.1
OG0000520	Utg859388_149	WP_010941526.1, WP_010940890.1
OG0000521	Utg859098_269	WP_010942403.1
OG0000522	Utg859098_204	WP_010942447.1
OG0000523	Utg859388_10	WP_010941346.1, WP_010942408.1
OG0000524	Utg861744_33	WP_010940681.1
OG0000525	Utg863716_65	WP_010941564.1
OG0000526	Utg863716_87	WP_010942399.1
OG0000527	Utg860006_135	WP_010943934.1, WP_010942656.1
OG0000529	Utg857152_77, Utg857152_76	WP_010941106.1, WP_010942647.1
OG0000530	Utg858432_105	WP_010942516.1
OG0000531	Utg860006_87	WP_010942261.1, WP_010940720.1
OG0000532	Utg860006_54	WP_010940712.1, WP_010940981.1
OG0000533	Utg857152_27, Utg857152_26	WP_010942872.1
OG0000535	Utg857152_185	WP_010943192.1
OG0000537	Utg859098_185	WP_010941663.1
OG0000539	Utg857152_159	WP_010942181.1
OG0000540	Utg859236_26	WP_010942258.1
OG0000542	Utg857152_50	WP_010942538.1
OG0000543	Utg859098_262	WP_010943017.1
OG0000544	Utg861744_125	WP_010940974.1
OG0000545	Utg859750_15	WP_010943465.1
OG0000546	Utg859432_39	WP_010943608.1
OG0000547	Utg860814_120	WP_010941434.1
OG0000549	Utg858498_13	WP_010941832.1
OG0000550	Utg861448_9	WP_235045013.1
OG0000553	Utg857682_87	WP_010943440.1
OG0000555	Utg857152_177, Utg857152_176	WP_010941961.1
OG0000557	Utg859432_2, Utg859982_101	WP_010940926.1
OG0000561	Utg865370_11	WP_010941936.1
OG0000562	Utg861744_43	WP_010942208.1
OG0000563	Utg857682_124	WP_010940852.1
OG0000564	Utg859750_48	WP_010943575.1, WP_010943156.1
OG0000565	Utg859750_49	WP_010943557.1, WP_010943157.1
