Orthogroup	Desulfocapsa_13_biocide	Shewanella oneidensis MR-1
OG0000201	Utg859750_26	WP_011073893.1
OG0000203	Utg857076_50, Utg857300_19, Utg857076_65	WP_011074121.1
OG0000205	Utg857682_46	WP_011072292.1
OG0000207	Utg857682_58	WP_011071697.1
OG0000208	Utg857682_59	WP_011071698.1
OG0000210	Utg857300_1	WP_011070824.1
OG0000211	Utg859432_43	WP_011073968.1, WP_011073834.1
OG0000212	Utg859982_111, Utg857046_231, Utg861744_127	WP_011072160.1
OG0000214	Utg862138_34	WP_011071851.1
OG0000215	Utg861744_111	WP_011072513.1
OG0000216	Utg857046_32	WP_011070906.1
OG0000217	Utg859236_44	WP_011072567.1
OG0000218	Utg861448_5, Utg857682_32, Utg857682_33	WP_011073221.1
OG0000219	Utg859098_413, Utg860814_128, Utg857152_18	WP_011073290.1
OG0000222	Utg857076_18	WP_011073677.1
OG0000223	Utg859388_18	WP_011071799.1
OG0000225	Utg859982_121	WP_011072456.1
OG0000226	Utg857152_57	WP_011071424.1, WP_011073006.1, WP_011073007.1, WP_011071423.1
OG0000227	Utg857992_19	WP_011072928.1
OG0000228	Utg857994_154	WP_011073400.1
OG0000230	Utg859098_371, Utg859098_166	WP_011070594.1
OG0000232	Utg859982_75, Utg859982_74	WP_011072554.1
OG0000232	Utg859982_73	WP_011072555.1
OG0000233	Utg859098_376, Utg857682_51	WP_011072421.1
OG0000234	Utg860006_56	WP_007644947.1
OG0000235	Utg863716_45, Utg857152_83	WP_011070658.1
OG0000236	Utg859098_221	WP_011073712.1, WP_011070717.1
OG0000238	Utg857682_83, Utg857046_99, Utg857682_139	WP_011071225.1
OG0000239	Utg865370_16, Utg859236_56	WP_011073040.1
OG0000242	Utg859098_136, Utg866558_40, Utg859098_132	WP_011072198.1
OG0000243	Utg857682_39, Utg859236_70	WP_011073841.1
OG0000244	Utg859982_52	WP_011072179.1
OG0000245	Utg859098_383, Utg859098_51, Utg858494_9	WP_011072111.1
OG0000250	Utg859098_87	WP_011073096.1
OG0000252	Utg859982_218	WP_011071280.1
OG0000253	Utg858432_42	WP_011073904.1, WP_011073905.1
OG0000254	Utg859076_2	WP_011071486.1
OG0000255	Utg861744_84	WP_011074449.1, WP_011072127.1, WP_011074264.1
OG0000256	Utg862138_36	WP_238560588.1
OG0000257	Utg859236_23	WP_011070755.1
OG0000260	Utg859432_35	WP_011071974.1
OG0000261	Utg857682_145	WP_011073501.1
OG0000261	Utg860006_76	WP_011073468.1
OG0000262	Utg859098_276	WP_011071339.1, WP_011071933.1, WP_164925915.1
OG0000263	Utg857682_148	WP_011073465.1
OG0000263	Utg859750_52	WP_011074170.1, WP_011071948.1, WP_011073757.1
OG0000264	Utg857152_109	WP_011074330.1
OG0000265	Utg857152_107	WP_011074332.1
OG0000266	Utg857152_69	WP_011074335.1
OG0000267	Utg857046_62, Utg857046_61	WP_011070862.1, WP_011074441.1, WP_011074195.1
OG0000268	Utg860814_179	WP_238560570.1
OG0000268	Utg863716_97	WP_011071397.1
OG0000269	Utg858494_54, Utg858494_55	WP_011071681.1
OG0000270	Utg860814_173, Utg864866_30	WP_011071728.1
OG0000271	Utg857682_56, Utg864866_46	WP_011072821.1
OG0000272	Utg859098_1, Utg859098_2	WP_011072181.1
OG0000277	Utg860006_51	WP_011074053.1
OG0000277	Utg860006_41	WP_164925622.1
OG0000280	Utg859098_116, Utg859098_117, Utg859098_115	WP_011073661.1
OG0000282	Utg859236_92	WP_011074294.1
OG0000283	Utg861744_134	WP_011072163.1
OG0000284	Utg857300_22	WP_011070541.1, WP_011072419.1
OG0000285	Utg859236_43	WP_011072952.1
OG0000286	Utg860006_77	WP_011071292.1
OG0000288	Utg859098_256	WP_164925856.1
OG0000290	Utg860006_88	WP_011072343.1, WP_238560560.1
OG0000293	Utg859982_224	WP_011071286.1
OG0000294	Utg859750_51	WP_011071947.1
OG0000294	Utg857682_147	WP_011073467.1
OG0000295	Utg860006_49, Utg857994_140	WP_011073887.1
OG0000296	Utg857152_73	WP_011072380.1
OG0000299	Utg862138_30	WP_011073882.1
OG0000300	Utg861744_126	WP_011072153.1
OG0000301	Utg858494_110	WP_011071783.1
OG0000303	Utg860006_19, Utg860006_14	WP_011073360.1
OG0000304	Utg857682_64	WP_011072332.1
OG0000304	Utg861744_77	WP_011072031.1
OG0000306	Utg859098_129	WP_164925703.1, WP_011071113.1
OG0000307	Utg859982_212	WP_011071274.1
OG0000308	Utg859982_217, Utg862138_12	WP_011071279.1
OG0000309	Utg858494_46	WP_011071595.1, WP_011070438.1
OG0000312	Utg858432_93	WP_011070819.1
OG0000314	Utg859982_215	WP_011071277.1
OG0000318	Utg857046_118, Utg857046_111	WP_011071900.1, WP_011071905.1, WP_011071629.1, WP_238560522.1
OG0000319	Utg860814_194	WP_011072205.1
OG0000320	Utg857152_126, Utg857152_127	WP_011072305.1
OG0000322	Utg857994_214	WP_011073058.1
OG0000323	Utg857994_24, Utg858494_38	WP_011074098.1
OG0000324	Utg859236_88	WP_011071654.1, WP_238560608.1, WP_011070844.1
OG0000325	Utg864866_68, Utg857992_24, Utg866558_36	WP_011071119.1
OG0000326	Utg859236_22, Utg859236_21	WP_011072729.1
OG0000331	Utg857994_45	WP_011072391.1, WP_011070665.1
OG0000332	Utg857992_25, Utg857992_26	WP_011072097.1
OG0000333	Utg857152_84	WP_011072976.1
OG0000334	Utg857682_121	WP_011070435.1
OG0000335	Utg857046_39, Utg857152_112	WP_011070931.1
OG0000336	Utg861448_55	WP_011072277.1
OG0000337	Utg862138_52	WP_011073303.1
OG0000338	Utg857152_64	WP_011072304.1
OG0000339	Utg859982_81	WP_011071571.1
OG0000340	Utg857300_40	WP_011071556.1
OG0000343	Utg858432_41	WP_011073906.1
OG0000349	Utg860006_78	WP_011071293.1, WP_011073469.1
OG0000350	Utg857682_131	WP_011073022.1
OG0000351	Utg857046_63	WP_011074194.1, WP_011074442.1
OG0000352	Utg857152_37	WP_011071500.1
OG0000353	Utg859982_181	WP_011071907.1
OG0000355	Utg860814_93	WP_011072812.1
OG0000355	Utg857046_161	WP_011073416.1
OG0000356	Utg859098_215	WP_011073744.1
OG0000357	Utg859432_51	WP_011073698.1
OG0000358	Utg859098_231, Utg857152_203	WP_011072420.1
OG0000359	Utg857682_57, Utg864866_45	WP_011072820.1
OG0000360	Utg857490_30	WP_007651015.1
OG0000362	Utg859098_403	WP_011070529.1
OG0000366	Utg857152_194	WP_011072246.1
OG0000370	Utg857994_37	WP_011072355.1, WP_011073328.1, WP_011072369.1, WP_011073742.1, WP_011074161.1, WP_011072290.1
OG0000371	Utg859750_43	WP_011071046.1, WP_011074066.1
OG0000372	Utg857046_248	WP_011070445.1
OG0000373	Utg857046_230	WP_011070440.1
OG0000374	Utg859982_53, Utg857994_113	WP_011071852.1
OG0000375	Utg857152_124	WP_011073160.1
OG0000381	Utg858432_57	WP_011070926.1
OG0000382	Utg859098_99	WP_011071707.1, WP_011073950.1
OG0000383	Utg857994_131	WP_011070809.1
OG0000385	Utg860006_15, Utg860006_20	WP_164925904.1
OG0000386	Utg859982_125	WP_011071344.1
OG0000388	Utg859388_69	WP_006081231.1
OG0000390	Utg859098_259	WP_011071396.1
OG0000391	Utg859388_80	WP_011074277.1
OG0000393	Utg859388_122	WP_011070464.1
OG0000395	Utg859388_134	WP_011072444.1
OG0000397	Utg859098_263	WP_011070943.1
OG0000398	Utg859388_138, Utg857046_187	WP_011071816.1
OG0000399	Utg857994_19	WP_011074310.1, WP_164925796.1
OG0000400	Utg857994_148	WP_011072977.1, WP_011073596.1
OG0000401	Utg857490_22, Utg859098_281	WP_011072333.1
OG0000402	Utg860814_307	WP_011073147.1
OG0000403	Utg859388_57	WP_011073692.1
OG0000404	Utg858432_29	WP_011071509.1
OG0000406	Utg858432_101	WP_011073884.1
OG0000408	Utg857046_206	WP_011073864.1
OG0000409	Utg859098_197, Utg859098_196	WP_011071363.1
OG0000410	Utg860814_206, Utg860814_207	WP_011071375.1
OG0000412	Utg866558_8	WP_011070563.1
OG0000412	Utg859388_117	WP_011070657.1
OG0000413	Utg862138_42	WP_011073296.1
OG0000414	Utg864866_32	WP_011071865.1
OG0000417	Utg857994_91	WP_011074187.1
OG0000418	Utg862138_20	WP_011072966.1
OG0000419	Utg860006_86	WP_011072397.1
OG0000420	Utg859388_60	WP_011073084.1
OG0000423	Utg859098_157	WP_164925682.1
OG0000424	Utg860814_75, Utg859236_20	WP_011074411.1
OG0000425	Utg858494_44, Utg858432_11	WP_011074325.1
OG0000426	Utg859098_264	WP_011072924.1
OG0000427	Utg857490_6	WP_011072306.1
OG0000428	Utg859388_59	WP_011073691.1
OG0000429	Utg866558_37	WP_011072763.1
OG0000433	Utg857046_260	WP_011071889.1
OG0000434	Utg857046_132, Utg860814_138	WP_011073587.1
OG0000437	Utg859236_103	WP_011071215.1
OG0000439	Utg859982_185	WP_011071906.1
OG0000443	Utg861744_142	WP_011073208.1
OG0000444	Utg859098_354	WP_011070433.1, WP_011074432.1, WP_011073269.1, WP_011071523.1
OG0000446	Utg859098_101, Utg859098_100, Utg859076_48	WP_011073130.1
OG0000453	Utg857152_117	WP_011071070.1
OG0000457	Utg864866_63	WP_011074002.1
OG0000458	Utg866558_25	WP_011072562.1
OG0000459	Utg859098_217	WP_011073913.1
OG0000460	Utg858432_142	WP_011072676.1
OG0000461	Utg860814_196	WP_011071367.1
OG0000462	Utg859388_61	WP_011073690.1
OG0000463	Utg859982_12	WP_011071797.1
OG0000464	Utg858494_63	WP_011070898.1
OG0000466	Utg857046_29	WP_006080725.1
OG0000467	Utg861744_129	WP_011072155.1
OG0000468	Utg859982_19	WP_011070714.1
OG0000469	Utg857152_63	WP_011073401.1
OG0000470	Utg858432_109	WP_011072536.1, WP_011073891.1
OG0000471	Utg859750_61	WP_011072667.1
OG0000472	Utg860006_132	WP_011073223.1
OG0000474	Utg859098_439, Utg858498_4	WP_011071577.1, WP_011071238.1
OG0000476	Utg857490_27	WP_011071399.1
OG0000477	Utg857046_213	WP_011074312.1
OG0000478	Utg857046_34	WP_164925611.1
OG0000479	Utg859098_352	WP_011072689.1
OG0000480	Utg858494_109	WP_006081934.1
OG0000481	Utg857046_84	WP_011074353.1, WP_011074200.1
OG0000482	Utg857300_27	WP_011074122.1
OG0000485	Utg859098_351	WP_011072690.1
OG0000486	Utg859982_148, Utg859982_149	WP_011073892.1
OG0000487	Utg859098_195	WP_011071362.1
OG0000488	Utg861744_54	WP_011073923.1, WP_011071649.1
OG0000489	Utg859388_187, Utg858498_21	WP_011072308.1
OG0000490	Utg860814_326	WP_011073738.1, WP_011072517.1
OG0000491	Utg857994_162	WP_011073025.1
OG0000492	Utg857152_223	WP_011072105.1
OG0000493	Utg857152_45	WP_011070602.1
OG0000494	Utg857152_20	WP_011073291.1
OG0000495	Utg859098_239, Utg859098_238	WP_011071232.1
OG0000496	Utg862138_40	WP_011072269.1, WP_011072271.1
OG0000497	Utg858432_129	WP_011070462.1
OG0000498	Utg858432_130	WP_011070463.1, WP_011073289.1
OG0000499	Utg860814_96	WP_011071680.1
OG0000500	Utg858494_89	WP_011073302.1
OG0000501	Utg859388_178	WP_011073979.1
OG0000502	Utg859098_218	WP_011073914.1
OG0000503	Utg859750_73	WP_011071506.1
OG0000504	Utg860814_205	WP_011071374.1
OG0000505	Utg857994_68	WP_011072417.1
OG0000506	Utg859982_40	WP_011073396.1
OG0000507	Utg859750_83	WP_011072805.1
OG0000508	Utg860006_116, Utg859076_17	WP_011072950.1
OG0000509	Utg861744_21	WP_011071177.1
OG0000510	Utg860814_70	WP_164925926.1
OG0000511	Utg857046_259	WP_011072320.1
OG0000512	Utg857994_18	WP_011071575.1
OG0000514	Utg858432_18	WP_011071796.1
OG0000515	Utg859982_11	WP_011073016.1
OG0000516	Utg860814_197	WP_011070666.1
OG0000520	Utg859388_149	WP_011071914.1
OG0000521	Utg859098_269	WP_011072700.1
OG0000522	Utg859098_204	WP_011070929.1
OG0000523	Utg859388_10	WP_011071704.1
OG0000524	Utg861744_33	WP_011070427.1, WP_011073645.1
OG0000525	Utg863716_65	WP_011073918.1
OG0000525	Utg861448_15	WP_011072362.1
OG0000526	Utg863716_87	WP_011072542.1
OG0000527	Utg860006_135	WP_011071884.1
OG0000528	Utg857046_75	WP_011071265.1
OG0000529	Utg857152_77, Utg857152_76	WP_011070851.1
OG0000530	Utg858432_105	WP_011072392.1
OG0000531	Utg860006_87	WP_011071357.1
OG0000532	Utg860006_54	WP_011071368.1
OG0000533	Utg857152_27, Utg857152_26	WP_011072568.1
OG0000535	Utg857152_185	WP_011071476.1, WP_011071473.1
OG0000537	Utg859098_185	WP_011073663.1
OG0000539	Utg857152_159	WP_011072201.1
OG0000540	Utg859236_26	WP_011073236.1
OG0000542	Utg857152_50	WP_011073694.1
OG0000543	Utg859098_262	WP_011072926.1
OG0000544	Utg861744_125	WP_011072157.1
OG0000545	Utg859750_15	WP_011072102.1
OG0000546	Utg859432_39	WP_011071505.1
OG0000547	Utg860814_120	WP_011071600.1, WP_011074097.1
OG0000549	Utg858498_13	WP_011073367.1
OG0000550	Utg861448_9	WP_164925726.1
OG0000551	Utg860814_267	WP_011071057.1
OG0000552	Utg862138_51, Utg857994_36	WP_164925920.1, WP_011071621.1
OG0000554	Utg857152_4	WP_011074140.1, WP_011074327.1, WP_164925735.1, WP_011073660.1, WP_011071387.1, WP_011071669.1, WP_011073464.1, WP_238560559.1, WP_011071033.1
OG0000555	Utg857152_177, Utg857152_176	WP_011070543.1
OG0000560	Utg857994_198	WP_011071253.1
OG0000566	Utg857152_97	WP_011072774.1
OG0000569	Utg857992_12	WP_011072791.1
OG0000570	Utg857046_194	WP_011071815.1
OG0000571	Utg857300_49	WP_011070592.1
OG0000572	Utg859982_161	WP_011071622.1, WP_011072167.1, WP_011073947.1, WP_011071353.1
OG0000576	Utg865370_28	WP_011073695.1
OG0000577	Utg857994_20	WP_011071502.1
OG0000578	Utg861744_32	WP_011070425.1
OG0000579	Utg861744_19	WP_011072382.1
OG0000580	Utg860814_282	WP_011071401.1
OG0000581	Utg858494_143	WP_011070605.1
OG0000582	Utg859750_11	WP_011072691.1
OG0000583	Utg857490_11	WP_011072298.1, WP_011073315.1
OG0000584	Utg857046_225	WP_011070420.1
OG0000585	Utg857046_226	WP_011070421.1
OG0000586	Utg857046_228	WP_011070423.1
OG0000587	Utg859098_170	WP_011073319.1
OG0000588	Utg857046_250	WP_011071543.1
OG0000589	Utg859982_4	WP_011073895.1
OG0000590	Utg857046_196	WP_011071782.1
OG0000591	Utg859432_41	WP_011071988.1
OG0000592	Utg859098_167	WP_011070797.1
OG0000593	Utg858432_36	WP_011071160.1
OG0000594	Utg857152_39	WP_164925584.1
OG0000595	Utg860006_52	WP_011073680.1
OG0000596	Utg859098_222	WP_011070930.1
OG0000597	Utg859098_240	WP_011070933.1
OG0000598	Utg858432_39	WP_011073908.1
OG0000599	Utg859098_188	WP_006083042.1
OG0000600	Utg863716_90	WP_011070456.1
OG0000601	Utg859432_46	WP_011070650.1
OG0000602	Utg859098_243	WP_011073283.1, WP_011073273.1, WP_011073768.1, WP_011073717.1
OG0000603	Utg860006_130	WP_011071702.1
OG0000604	Utg859750_70	WP_011073440.1
OG0000605	Utg863716_99	WP_011073439.1
OG0000606	Utg865370_35	WP_011072376.1
OG0000607	Utg857152_11	WP_164925802.1
OG0000608	Utg860814_195	WP_011071703.1
OG0000609	Utg857994_166	WP_011072357.1
OG0000610	Utg858494_91	WP_011073188.1
OG0000611	Utg859098_165	WP_011071421.1
OG0000612	Utg866558_22	WP_011071798.1
