Orthogroup	Desulfocapsa_13_biocide	Desulfovibrio vulgaris DP4
OG0000048	Utg857682_54	WP_010940286.1
OG0000048	Utg857046_28	WP_011792687.1
OG0000049	Utg857152_93	WP_011792396.1
OG0000050	Utg859076_8	WP_011792353.1
OG0000052	Utg859982_225, Utg857076_61	WP_010939677.1
OG0000052	Utg857682_28, Utg857046_241, Utg857994_129, Utg857152_135	WP_011791785.1
OG0000053	Utg859388_13	WP_011792107.1
OG0000053	Utg859432_19	WP_011787362.1
OG0000053	Utg857046_30	WP_011792251.1
OG0000056	Utg859098_380	WP_011791533.1
OG0000058	Utg860814_210	WP_010938574.1
OG0000059	Utg859098_365	WP_010937832.1
OG0000060	Utg859388_118, Utg857300_57, Utg866558_9	WP_011792468.1
OG0000061	Utg857682_55	WP_011791554.1
OG0000062	Utg859388_55	WP_010939658.1
OG0000063	Utg859388_77	WP_010937703.1
OG0000064	Utg860006_63, Utg859750_77	WP_011792376.1
OG0000065	Utg864866_69	WP_010938763.1
OG0000065	Utg859750_21	WP_010938364.1
OG0000067	Utg859388_56	WP_011791864.1
OG0000069	Utg857682_89, Utg857076_29	WP_010940354.1
OG0000070	Utg859098_224	WP_011792560.1, WP_011792594.1
OG0000070	Utg860006_144	WP_223294581.1
OG0000071	Utg857046_242, Utg859076_12	WP_010940006.1, WP_010938017.1
OG0000071	Utg859982_10	WP_010937857.1
OG0000072	Utg857046_243	WP_010940007.1
OG0000072	Utg859982_9	WP_010937856.1
OG0000075	Utg861744_17	WP_010938534.1
OG0000075	Utg857152_236	WP_010937693.1
OG0000075	Utg857994_104	WP_010937418.1
OG0000076	Utg861744_5	WP_011792812.1
OG0000076	Utg859076_57, Utg860814_43, Utg859098_152	WP_223294670.1
OG0000077	Utg857994_161	WP_011792992.1
OG0000078	Utg859982_201, Utg859982_200	WP_011791625.1
OG0000078	Utg860814_279, Utg857152_21	WP_011792202.1
OG0000079	Utg861744_10, Utg859750_81, Utg860006_159	WP_011792883.1
OG0000082	Utg859098_98	WP_010937942.1, WP_010939878.1, WP_010939503.1, WP_011793168.1, WP_010937359.1
OG0000084	Utg859236_68	WP_011791721.1
OG0000085	Utg860814_319, Utg860814_167	WP_011792371.1
OG0000086	Utg860006_109	WP_011792617.1
OG0000087	Utg858432_79	WP_010940040.1
OG0000088	Utg859236_115, Utg859236_116, Utg859076_58, Utg859098_154, Utg859098_153	WP_011792102.1
OG0000091	Utg859388_68	WP_043629736.1
OG0000092	Utg860814_99	WP_011791541.1
OG0000093	Utg859750_86	WP_010938329.1
OG0000094	Utg858494_66	WP_011792116.1
OG0000094	Utg857994_186	WP_011791565.1
OG0000095	Utg860006_150	WP_011792244.1
OG0000097	Utg861744_24	WP_011792054.1
OG0000098	Utg859982_8	WP_011792837.1
OG0000098	Utg859076_14	WP_010938015.1
OG0000101	Utg865370_31, Utg859750_57	WP_010939270.1, WP_011792822.1
OG0000102	Utg858432_73	WP_010940470.1
OG0000103	Utg857046_198, Utg857152_173	WP_010938528.1
OG0000104	Utg857046_251	WP_010939083.1, WP_014524275.1
OG0000105	Utg859388_70, Utg860814_77	WP_010938500.1
OG0000106	Utg857076_51, Utg857300_18, Utg857046_214	WP_011792615.1
OG0000107	Utg860814_263, Utg860814_264	WP_010937936.1
OG0000110	Utg861744_6	WP_010938886.1
OG0000110	Utg859076_54, Utg859098_150	WP_010939354.1
OG0000112	Utg857152_85, Utg857682_172	WP_011792830.1, WP_011792050.1
OG0000113	Utg857046_73	WP_010940378.1
OG0000114	Utg858494_132	WP_011792216.1
OG0000114	Utg863716_30	WP_010938595.1
OG0000115	Utg857152_65	WP_010939125.1
OG0000116	Utg857152_111	WP_011792225.1
OG0000117	Utg857046_88	WP_011791710.1
OG0000117	Utg864866_33	WP_011791822.1
OG0000118	Utg864866_34	WP_011791821.1
OG0000118	Utg857046_89	WP_011791711.1
OG0000121	Utg857994_106	WP_011787357.1
OG0000121	Utg857994_195	WP_011791564.1
OG0000122	Utg860814_103	WP_011792236.1
OG0000122	Utg857076_48	WP_011792231.1
OG0000123	Utg861744_8	WP_010938887.1
OG0000125	Utg857046_44	WP_011791967.1
OG0000125	Utg859982_62	WP_011791647.1
OG0000126	Utg859388_82	WP_010940460.1
OG0000127	Utg857490_17	WP_010937986.1, WP_181409358.1
OG0000128	Utg863716_100, Utg859098_212	WP_011791538.1
OG0000129	Utg857682_35	WP_010937945.1
OG0000130	Utg864866_91, Utg857992_39	WP_223294580.1, WP_011176619.1
OG0000131	Utg857994_138	WP_011791342.1
OG0000131	Utg859236_14	WP_011792836.1
OG0000132	Utg859098_255	WP_010939230.1
OG0000133	Utg864866_36	WP_010938383.1
OG0000133	Utg857046_90	WP_011791712.1
OG0000134	Utg859098_168	WP_010938551.1
OG0000135	Utg857152_96	WP_011791597.1
OG0000136	Utg859098_181	WP_049758095.1
OG0000136	Utg858498_14	WP_223294604.1
OG0000137	Utg857046_87	WP_010939936.1
OG0000138	Utg859388_169	WP_010940324.1
OG0000139	Utg860006_94, Utg857682_160, Utg857994_107	WP_011792530.1
OG0000141	Utg857682_146, Utg859750_50	WP_011791661.1
OG0000142	Utg860814_204	WP_011792996.1
OG0000143	Utg859750_71	WP_011792337.1
OG0000144	Utg859388_32	WP_011792804.1, WP_010938541.1
OG0000145	Utg860814_102, Utg860814_101	WP_043629618.1
OG0000147	Utg859388_119	WP_011792469.1
OG0000149	Utg857300_12	WP_011791559.1
OG0000150	Utg859982_197, Utg857046_26, Utg857152_38	WP_010939076.1
OG0000152	Utg860814_109	WP_011792323.1
OG0000152	Utg860814_116	WP_010940001.1
OG0000154	Utg865370_5	WP_011792501.1
OG0000155	Utg859098_381	WP_010938876.1
OG0000156	Utg859982_64	WP_011791646.1
OG0000159	Utg857994_88	WP_010939223.1, WP_011793043.1
OG0000160	Utg863716_47	WP_010939839.1
OG0000161	Utg859236_62	WP_010939916.1
OG0000162	Utg857046_72	WP_010938840.1, WP_011792479.1, WP_011791513.1
OG0000163	Utg861744_18, Utg857076_25	WP_010940363.1
OG0000164	Utg857300_2	WP_011791450.1
OG0000166	Utg858432_139	WP_011791768.1
OG0000167	Utg864866_73, Utg859982_154	WP_010937731.1
OG0000169	Utg859982_43	WP_011792420.1
OG0000169	Utg859098_429	WP_010937667.1
OG0000170	Utg857152_75, Utg857152_74	WP_011792245.1
OG0000172	Utg860006_25	WP_011791937.1
OG0000173	Utg861744_119	WP_010939858.1
OG0000174	Utg860814_189	WP_011792674.1
OG0000176	Utg859982_112	WP_010939204.1
OG0000179	Utg859098_69, Utg859098_70	WP_010938734.1, WP_010939715.1, WP_010939359.1
OG0000180	Utg859236_79	WP_011792418.1, WP_010937666.1, WP_010938677.1
OG0000181	Utg857046_168, Utg860814_302	WP_043629990.1
OG0000183	Utg862138_16	WP_011791957.1
OG0000184	Utg859388_167	WP_010940610.1
OG0000185	Utg859098_331	WP_081428874.1
OG0000187	Utg858494_144, Utg858494_131	WP_010940180.1
OG0000188	Utg857152_35	WP_011791809.1
OG0000189	Utg860006_69	WP_011791869.1
OG0000190	Utg864866_78	WP_010939066.1, WP_011793101.1
OG0000193	Utg859750_20	WP_010939362.1
OG0000194	Utg861744_61	WP_011787414.1
OG0000194	Utg861744_41	WP_010939235.1
OG0000195	Utg859098_286, Utg860814_283	WP_011791944.1
OG0000196	Utg862138_14	WP_011791954.1
OG0000199	Utg857152_82, Utg859098_216	WP_011792175.1
OG0000201	Utg859750_26	WP_011791421.1, WP_011792846.1
OG0000202	Utg857682_175, Utg857300_47	WP_011793009.1
OG0000203	Utg857076_50, Utg857300_19	WP_011791587.1
OG0000203	Utg857076_65	WP_011791454.1
OG0000204	Utg857152_212	WP_011793045.1
OG0000204	Utg860814_30	WP_011791698.1, WP_011793107.1, WP_011791422.1, WP_011791438.1
OG0000205	Utg857682_46	WP_010937341.1
OG0000207	Utg857682_58	WP_010940291.1
OG0000208	Utg857682_59	WP_011791552.1
OG0000209	Utg857046_253	WP_011792598.1
OG0000210	Utg857300_1	WP_010937439.1, WP_014524330.1
OG0000211	Utg859432_43	WP_011791766.1, WP_011787346.1, WP_011792255.1
OG0000212	Utg859982_111	WP_011792153.1
OG0000214	Utg862138_34	WP_011793117.1, WP_011793116.1
OG0000215	Utg861744_111	WP_010937992.1
OG0000216	Utg857046_32	WP_011793129.1
OG0000217	Utg859236_44	WP_010939133.1
OG0000218	Utg861448_5, Utg857682_32, Utg857682_33	WP_010938558.1
OG0000219	Utg859098_413, Utg860814_128, Utg857152_18	WP_014524381.1
OG0000221	Utg860814_94	WP_011792772.1
OG0000222	Utg857076_18	WP_011791920.1, WP_223294689.1
OG0000223	Utg859388_18	WP_010938648.1
OG0000225	Utg859982_121, Utg864866_44	WP_010939784.1
OG0000226	Utg857152_57	WP_010939105.1, WP_010939106.1
OG0000227	Utg857992_19	WP_011792871.1
OG0000228	Utg857994_154	WP_011792579.1
OG0000230	Utg859098_371, Utg859098_166	WP_010939852.1
OG0000232	Utg859982_75, Utg859982_74	WP_011791500.1
OG0000232	Utg859982_73	WP_011791499.1
OG0000233	Utg859098_376	WP_010938704.1
OG0000234	Utg860006_56	WP_014524184.1, WP_010939427.1
OG0000235	Utg863716_45	WP_010939791.1
OG0000235	Utg857152_83	WP_010938191.1
OG0000237	Utg861744_115, Utg857682_142	WP_011792782.1, WP_011792427.1
OG0000239	Utg859236_56	WP_010937469.1
OG0000240	Utg859098_373, Utg860814_39	WP_043629138.1, WP_010938105.1, WP_043629997.1, WP_011792780.1, WP_011792799.1
OG0000242	Utg859098_136, Utg866558_40, Utg859098_132	WP_011792730.1
OG0000243	Utg857682_39, Utg859236_70	WP_010940402.1
OG0000244	Utg859982_52	WP_010940229.1
OG0000248	Utg859432_49	WP_010938759.1
OG0000250	Utg859098_87	WP_011791427.1, WP_010939149.1
OG0000252	Utg859982_218	WP_011791958.1
OG0000253	Utg858432_42	WP_011791802.1, WP_011791801.1
OG0000254	Utg859076_2	WP_010939526.1, WP_010940325.1
OG0000256	Utg862138_36	WP_011793118.1
OG0000257	Utg859236_23	WP_011791929.1
OG0000258	Utg860814_310, Utg857994_234	WP_010939337.1
OG0000259	Utg860006_137	WP_011792770.1
OG0000260	Utg859432_35	WP_010939132.1
OG0000261	Utg860006_76	WP_011792785.1
OG0000263	Utg857682_148	WP_223294628.1
OG0000263	Utg859750_52	WP_011791860.1
OG0000264	Utg857152_109	WP_010938076.1
OG0000265	Utg857152_107	WP_010938078.1
OG0000266	Utg857152_69	WP_010938217.1
OG0000268	Utg860814_179, Utg863716_97	WP_011792764.1
OG0000270	Utg864866_30	WP_010937324.1
OG0000271	Utg857682_56	WP_010940288.1
OG0000272	Utg859098_1, Utg859098_2	WP_010938742.1
OG0000273	Utg858494_83	WP_010938516.1
OG0000275	Utg857994_171	WP_011787355.1
OG0000277	Utg860006_51	WP_011791810.1
OG0000278	Utg862138_9, Utg860006_100	WP_011791959.1
OG0000280	Utg859098_116, Utg859098_117, Utg859098_115	WP_010937609.1
OG0000282	Utg859236_92	WP_010937849.1, WP_010937434.1
OG0000284	Utg857300_22	WP_011792788.1
OG0000285	Utg859236_43	WP_010940031.1
OG0000286	Utg860006_77	WP_011792784.1
OG0000288	Utg859098_256	WP_011792198.1
OG0000290	Utg860006_88	WP_011791783.1
OG0000292	Utg857490_19	WP_011792092.1
OG0000294	Utg857682_147	WP_011791660.1
OG0000295	Utg857994_140	WP_223294586.1
OG0000296	Utg857152_73	WP_010940232.1, WP_010939150.1
OG0000297	Utg861744_20	WP_011792575.1
OG0000299	Utg862138_30	WP_011791465.1
OG0000300	Utg861744_126	WP_010939567.1, WP_010939601.1
OG0000301	Utg858494_110	WP_011792454.1
OG0000302	Utg857076_54	WP_011791854.1
OG0000309	Utg858494_46	WP_010937603.1
OG0000310	Utg857994_232	WP_011787359.1
OG0000310	Utg857994_206	WP_011792945.1
OG0000312	Utg858432_93	WP_011793105.1
OG0000313	Utg859982_66	WP_011792492.1
OG0000316	Utg863716_86	WP_043629054.1
OG0000320	Utg857152_126, Utg857152_127	WP_011792826.1
OG0000321	Utg859982_133	WP_011792110.1
OG0000323	Utg857994_24, Utg858494_38	WP_011791621.1
OG0000326	Utg859236_22, Utg859236_21	WP_011792611.1
OG0000327	Utg859982_6	WP_010937853.1
OG0000331	Utg857994_45	WP_043629609.1
OG0000332	Utg857992_25, Utg857992_26	WP_011791449.1
OG0000333	Utg857152_84	WP_011792647.1
OG0000335	Utg857152_112	WP_011791909.1
OG0000336	Utg860006_136	WP_010937968.1
OG0000338	Utg857152_64	WP_010939124.1
OG0000339	Utg859982_81	WP_011791786.1
OG0000343	Utg858432_41	WP_011791800.1
OG0000344	Utg857046_33	WP_011792447.1
OG0000346	Utg857076_55	WP_011791853.1
OG0000348	Utg859076_6	WP_011791623.1
OG0000349	Utg860006_78	WP_011792783.1
OG0000350	Utg857682_131	WP_010938092.1
OG0000352	Utg857152_37	WP_010939077.1
OG0000353	Utg859982_181	WP_010939841.1
OG0000355	Utg860814_93	WP_011792771.1
OG0000356	Utg859098_215	WP_010939497.1
OG0000357	Utg859432_51	WP_011792314.1
OG0000358	Utg859098_231, Utg857152_203	WP_011792626.1
OG0000359	Utg857682_57, Utg864866_45	WP_011791553.1
OG0000360	Utg857490_30	WP_010938090.1
OG0000361	Utg859388_64	WP_010938503.1
OG0000364	Utg858494_57, Utg863716_12, Utg863716_13	WP_011792640.1
OG0000365	Utg857152_129, Utg864866_79	WP_010939592.1, WP_010937330.1
OG0000366	Utg857152_194	WP_011791409.1, WP_011791408.1
OG0000367	Utg864866_81, Utg864866_80	WP_011791518.1
OG0000375	Utg857152_124	WP_011791652.1
OG0000379	Utg859076_60	WP_010938720.1, WP_010940036.1
OG0000380	Utg858498_7	WP_010939093.1
OG0000381	Utg858432_57	WP_011791991.1
OG0000382	Utg859098_99	WP_010937943.1, WP_010939504.1, WP_011793167.1
OG0000384	Utg858432_115, Utg859098_420	WP_010937551.1
OG0000388	Utg859388_69	WP_010938501.1
OG0000390	Utg859098_259	WP_010937704.1, WP_010937714.1
OG0000391	Utg859388_80	WP_010939193.1
OG0000392	Utg859432_48	WP_011791927.1
OG0000393	Utg859388_122	WP_011792321.1
OG0000394	Utg858432_118	WP_011792428.1
OG0000396	Utg857046_205	WP_011792627.1
OG0000398	Utg859388_138, Utg857046_187	WP_011792462.1
OG0000399	Utg857994_19	WP_010937883.1
OG0000400	Utg857994_148	WP_011791616.1
OG0000401	Utg857490_22	WP_010939095.1
OG0000403	Utg859388_57	WP_011792485.1
OG0000408	Utg857046_206	WP_011792429.1
OG0000409	Utg859098_197, Utg859098_196	WP_011792140.1
OG0000410	Utg860814_206, Utg860814_207	WP_010937473.1
OG0000412	Utg866558_8	WP_223294696.1
OG0000412	Utg859388_117	WP_011792467.1
OG0000413	Utg862138_42	WP_010937629.1
OG0000414	Utg864866_32	WP_010938768.1, WP_011792538.1
OG0000418	Utg862138_20	WP_011792638.1
OG0000419	Utg860006_86	WP_011791482.1
OG0000420	Utg859388_60	WP_011792487.1
OG0000422	Utg857046_203	WP_011792752.1
OG0000423	Utg859098_157	WP_011793124.1
OG0000424	Utg860814_75	WP_011792329.1
OG0000425	Utg858494_44, Utg858432_11	WP_010940414.1
OG0000427	Utg857490_6	WP_258312758.1
OG0000428	Utg859388_59	WP_010938540.1
OG0000433	Utg857046_260	WP_011793177.1
OG0000439	Utg859982_185	WP_010939842.1
OG0000440	Utg859982_195	WP_011791680.1
OG0000441	Utg864866_104	WP_043629623.1
OG0000442	Utg859236_124, Utg859098_171	WP_011792528.1
OG0000444	Utg859098_354	WP_014524613.1
OG0000445	Utg859098_121	WP_223294686.1
OG0000446	Utg859098_101, Utg859098_100, Utg859076_48	WP_010937614.1, WP_010938736.1
OG0000448	Utg859982_7	WP_010937854.1
OG0000451	Utg857994_40, Utg865370_18	WP_011792624.1
OG0000457	Utg864866_63	WP_011791333.1
OG0000458	Utg866558_25	WP_011792053.1
OG0000459	Utg859098_217	WP_010940242.1
OG0000460	Utg858432_142	WP_043629230.1
OG0000461	Utg860814_196	WP_010938112.1
OG0000462	Utg859388_61	WP_011792486.1
OG0000463	Utg859982_12	WP_011792431.1
OG0000465	Utg857046_20	WP_010938458.1, WP_011792597.1, WP_014524374.1
OG0000466	Utg857046_29	WP_010939080.1
OG0000467	Utg861744_129	WP_010937632.1
OG0000468	Utg859982_19	WP_011792746.1
OG0000469	Utg857152_63	WP_011792195.1
OG0000470	Utg858432_109	WP_011792673.1
OG0000471	Utg859750_61	WP_010937702.1
OG0000472	Utg860006_132	WP_011791932.1
OG0000473	Utg861744_130	WP_010939210.1
OG0000474	Utg859098_439, Utg858498_4	WP_043629567.1
OG0000476	Utg857490_27	WP_011792707.1
OG0000477	Utg857046_213	WP_011791415.1
OG0000478	Utg857046_34	WP_011792446.1
OG0000479	Utg859098_352	WP_011791861.1, WP_010940359.1
OG0000480	Utg858494_109	WP_010937325.1, WP_010939491.1
OG0000481	Utg857046_84	WP_219995814.1
OG0000482	Utg857300_27	WP_010937881.1
OG0000485	Utg859098_351	WP_011791862.1, WP_010940358.1
OG0000486	Utg859982_148, Utg859982_149	WP_011792689.1
OG0000487	Utg859098_195	WP_010938229.1
OG0000488	Utg861744_54	WP_010938489.1
OG0000489	Utg859388_187, Utg858498_21	WP_010938975.1
OG0000490	Utg860814_326	WP_010937352.1
OG0000491	Utg857994_162	WP_011791780.1
OG0000492	Utg857152_223	WP_011792326.1
OG0000493	Utg857152_45	WP_011791776.1, WP_011792197.1
OG0000494	Utg857152_20	WP_011792051.1
OG0000495	Utg859098_239, Utg859098_238	WP_043629742.1
OG0000496	Utg862138_40	WP_011791907.1
OG0000497	Utg858432_129	WP_011791930.1
OG0000498	Utg858432_130	WP_223294660.1
OG0000500	Utg858494_89	WP_011792097.1
OG0000501	Utg859388_178	WP_010938312.1
OG0000502	Utg859098_218	WP_011791592.1
OG0000504	Utg860814_205	WP_010940372.1
OG0000505	Utg857994_68	WP_011792089.1
OG0000506	Utg859982_40	WP_010940239.1
OG0000507	Utg859750_83	WP_011792008.1, WP_011792327.1
OG0000508	Utg860006_116, Utg859076_17	WP_011792359.1
OG0000509	Utg861744_21	WP_011792698.1
OG0000510	Utg860814_70	WP_011787353.1
OG0000511	Utg857046_259	WP_010938955.1
OG0000512	Utg857994_18	WP_010937769.1
OG0000514	Utg858432_18	WP_011791911.1
OG0000516	Utg860814_197	WP_011793110.1
OG0000517	Utg857076_26	WP_010939622.1
OG0000520	Utg859388_149	WP_010937630.1
OG0000521	Utg859098_269	WP_010938037.1
OG0000522	Utg859098_204	WP_011792155.1
OG0000523	Utg859388_10	WP_010938645.1
OG0000524	Utg861744_33	WP_010937314.1
OG0000526	Utg863716_87	WP_011791368.1
OG0000529	Utg857152_77, Utg857152_76	WP_011791940.1
OG0000530	Utg858432_105	WP_164561900.1
OG0000531	Utg860006_87	WP_011793151.1
OG0000532	Utg860006_54	WP_010940501.1
OG0000533	Utg857152_27, Utg857152_26	WP_011792113.1
OG0000535	Utg857152_185	WP_011792779.1
OG0000537	Utg859098_185	WP_010938258.1
OG0000539	Utg857152_159	WP_011792109.1
OG0000540	Utg859236_26	WP_043629788.1
OG0000542	Utg857152_50	WP_011793103.1, WP_011792943.1
OG0000543	Utg859098_262	WP_011792874.1
OG0000544	Utg861744_125	WP_010939602.1
OG0000545	Utg859750_15	WP_010939218.1
OG0000546	Utg859432_39	WP_081428870.1
OG0000549	Utg858498_13	WP_011792519.1
OG0000550	Utg861448_9	WP_011791414.1
OG0000551	Utg860814_267	WP_011791394.1
OG0000553	Utg857682_87	WP_010940353.1
OG0000555	Utg857152_177, Utg857152_176	WP_010938859.1
OG0000556	Utg859982_140	WP_010940534.1
OG0000556	Utg864866_18	WP_010940368.1
OG0000558	Utg859236_71	WP_010938694.1
OG0000561	Utg865370_11	WP_011792559.1
OG0000562	Utg861744_43	WP_011792500.1
OG0000563	Utg857682_124	WP_223294661.1
OG0000564	Utg859750_48	WP_010939810.1
OG0000565	Utg859750_49	WP_011791787.1
OG0000566	Utg857152_97	WP_011792887.1, WP_011792888.1
OG0000567	Utg859076_62	WP_011792529.1
OG0000568	Utg859388_45, Utg859098_267	WP_010940570.1
OG0000569	Utg857992_12	WP_011792578.1, WP_010938457.1
OG0000570	Utg857046_194	WP_011792432.1
OG0000571	Utg857300_49	WP_011792452.1
OG0000572	Utg859982_161	WP_011791668.1
OG0000575	Utg859432_50	WP_011792315.1
OG0000576	Utg865370_28	WP_010938916.1
OG0000577	Utg857994_20	WP_010939126.1
OG0000578	Utg861744_32	WP_011791317.1
OG0000579	Utg861744_19	WP_011792576.1
OG0000580	Utg860814_282	WP_010938909.1
OG0000581	Utg858494_143	WP_010940182.1
OG0000582	Utg859750_11	WP_010938185.1
OG0000583	Utg857490_11	WP_011792506.1
OG0000584	Utg857046_225	WP_010938376.1
OG0000585	Utg857046_226	WP_010938375.1
OG0000586	Utg857046_228	WP_010938373.1
OG0000587	Utg859098_170	WP_011791757.1
OG0000588	Utg857046_250	WP_011793193.1
OG0000589	Utg859982_4	WP_010940177.1
OG0000590	Utg857046_196	WP_011792493.1
OG0000591	Utg859432_41	WP_010939154.1
OG0000592	Utg859098_167	WP_010937795.1
OG0000593	Utg858432_36	WP_010939717.1
OG0000594	Utg857152_39	WP_011792105.1
OG0000595	Utg860006_52	WP_043629095.1
OG0000596	Utg859098_222	WP_010939198.1
OG0000597	Utg859098_240	WP_010938825.1
OG0000598	Utg858432_39	WP_010939782.1
OG0000599	Utg859098_188	WP_010938256.1
OG0000600	Utg863716_90	WP_011793123.1
OG0000601	Utg859432_46	WP_011792532.1
OG0000602	Utg859098_243	WP_010939199.1
OG0000603	Utg860006_130	WP_010939174.1
OG0000604	Utg859750_70	WP_223294672.1
OG0000605	Utg863716_99	WP_011792614.1
OG0000606	Utg865370_35	WP_010938095.1
OG0000607	Utg857152_11	WP_043629197.1
OG0000608	Utg860814_195	WP_010938113.1
OG0000609	Utg857994_166	WP_010939740.1
OG0000610	Utg858494_91	WP_043629734.1
OG0000611	Utg859098_165	WP_010940503.1
OG0000612	Utg866558_22	WP_011792682.1
OG0000613	Utg866558_21	WP_010938136.1
OG0000615	Utg858494_101	WP_010938173.1
OG0000616	Utg858494_99	WP_010938170.1
OG0000617	Utg858494_129	WP_010938599.1
OG0000618	Utg858494_127	WP_010938601.1
OG0000619	Utg858494_126	WP_010938602.1
OG0000620	Utg858494_125	WP_010938603.1
OG0000621	Utg858494_124	WP_010938604.1
OG0000622	Utg859236_96	WP_010940201.1
OG0000623	Utg857994_147	WP_011791413.1
OG0000624	Utg859098_193	WP_010938227.1
OG0000625	Utg859098_192	WP_010938226.1
OG0000626	Utg861744_118	WP_011792978.1
OG0000627	Utg858494_90	WP_011792444.1
OG0000628	Utg859076_34	WP_011792199.1
OG0000630	Utg857152_31	WP_010938669.1
OG0000631	Utg857152_28	WP_010938667.1
OG0000632	Utg859388_81	WP_010937362.1
OG0000633	Utg861448_58, Utg861448_57, Utg860814_165	WP_181409338.1
OG0000634	Utg857994_128	WP_011793164.1
OG0000635	Utg859236_17	WP_010938578.1
OG0000637	Utg859388_63	WP_010938504.1
OG0000638	Utg857076_19	WP_010938199.1
