Orthogroup	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700
OG0000026	Utg864866_112	WP_205218231.1
OG0000026	Utg857152_94	WP_240192012.1
OG0000027	Utg863716_17, Utg857300_35, Utg857300_34, Utg857046_152, Utg857046_153, Utg859388_156, Utg863716_16	WP_240192067.1
OG0000028	Utg857076_67	WP_205218835.1
OG0000028	Utg860814_34	WP_205218307.1
OG0000030	Utg857152_237	WP_205217848.1
OG0000031	Utg857490_1	WP_205217958.1
OG0000033	Utg857682_66	WP_205217574.1
OG0000033	Utg860814_171	WP_205219469.1
OG0000034	Utg859098_369	WP_205218628.1
OG0000036	Utg859982_60	WP_205220093.1
OG0000037	Utg857994_225, Utg859098_26, Utg857300_65, Utg857490_34, Utg857300_66	WP_275889034.1, WP_275889001.1, WP_275889028.1, WP_205220283.1
OG0000037	Utg858494_23	WP_240192185.1
OG0000038	Utg860006_50	WP_205218672.1
OG0000038	Utg860814_278	WP_205219654.1
OG0000038	Utg860814_277	WP_205219655.1
OG0000039	Utg860006_93	WP_205217786.1, WP_205219425.1
OG0000039	Utg857046_262, Utg859098_367	WP_205217373.1
OG0000040	Utg857994_193	WP_240192119.1
OG0000040	Utg859098_48, Utg860006_147	WP_205219588.1
OG0000041	Utg859098_368	WP_205218629.1
OG0000041	Utg857046_101	WP_205217528.1, WP_205219357.1
OG0000041	Utg857682_137	WP_205218333.1
OG0000042	Utg857152_197	WP_240192126.1
OG0000042	Utg857152_116	WP_205217331.1
OG0000043	Utg857300_6, Utg859236_121, Utg860814_118, Utg859750_58, Utg860814_180	WP_205218478.1
OG0000047	Utg857994_168	WP_205219188.1
OG0000048	Utg857682_54	WP_205220104.1
OG0000050	Utg859076_1, Utg860006_111, Utg859076_7	WP_275888963.1
OG0000050	Utg859076_8	WP_205218211.1, WP_205218832.1
OG0000052	Utg859982_225, Utg857076_61	WP_205218833.1
OG0000053	Utg859388_13	WP_205219828.1
OG0000053	Utg857046_30	WP_205219575.1
OG0000055	Utg859098_163	WP_205219062.1
OG0000057	Utg857682_24	WP_205217536.1
OG0000058	Utg860814_210	WP_205217357.1
OG0000058	Utg859098_128, Utg866558_45, Utg859098_142	WP_205219380.1
OG0000059	Utg859098_365	WP_205218630.1
OG0000060	Utg857300_57	WP_205219391.1
OG0000060	Utg860006_140, Utg860006_141	WP_205218162.1
OG0000061	Utg857682_55	WP_205220106.1
OG0000061	Utg859076_31	WP_205218219.1
OG0000063	Utg857992_35	WP_205218947.1
OG0000063	Utg859388_77	WP_205217751.1
OG0000064	Utg860006_63	WP_205218680.1
OG0000064	Utg859750_77	WP_205219039.1
OG0000065	Utg859750_21	WP_205217454.1
OG0000067	Utg859388_56	WP_205218467.1
OG0000069	Utg857682_89, Utg857076_29	WP_240192079.1
OG0000070	Utg860006_144	WP_240192170.1
OG0000071	Utg859982_10	WP_205219780.1
OG0000072	Utg859982_9	WP_205219779.1
OG0000075	Utg857152_236	WP_205217847.1
OG0000078	Utg859982_201, Utg859982_200	WP_205219761.1
OG0000079	Utg861744_10, Utg859750_81	WP_205217405.1
OG0000084	Utg859236_68	WP_205217368.1
OG0000087	Utg859982_51	WP_205217731.1
OG0000091	Utg860814_64	WP_205218848.1
OG0000091	Utg859388_68	WP_205217745.1
OG0000092	Utg860814_99	WP_205218658.1
OG0000093	Utg859750_86	WP_240191946.1
OG0000094	Utg858494_66	WP_205218242.1, WP_205219153.1, WP_205218401.1
OG0000094	Utg857994_186	WP_275888993.1
OG0000095	Utg857152_143	WP_205219361.1, WP_205218407.1
OG0000095	Utg860006_150	WP_205218965.1
OG0000097	Utg859982_50, Utg859982_49	WP_205217730.1
OG0000097	Utg861744_24	WP_240191918.1
OG0000098	Utg859982_8	WP_240192130.1
OG0000101	Utg865370_31	WP_240192163.1
OG0000101	Utg859750_57	WP_205219783.1
OG0000102	Utg858432_73	WP_205217638.1
OG0000103	Utg857152_173	WP_205218456.1
OG0000104	Utg857994_15	WP_205219195.1
OG0000105	Utg859388_70	WP_240191944.1
OG0000105	Utg860814_77	WP_240192046.1
OG0000106	Utg857046_214	WP_205218448.1
OG0000107	Utg860814_263, Utg860814_264	WP_275889021.1
OG0000108	Utg858498_15	WP_205220065.1, WP_205220063.1, WP_205220062.1
OG0000108	Utg860814_242	WP_205217815.1
OG0000109	Utg861448_27	WP_275889033.1, WP_205220419.1, WP_240192190.1, WP_205217993.1, WP_205217997.1, WP_205218000.1, WP_205218978.1, WP_205219309.1, WP_205218981.1, WP_205220422.1, WP_205218867.1, WP_205220387.1, WP_205220248.1
OG0000111	Utg857046_17	WP_205217361.1
OG0000112	Utg857152_85	WP_205218422.1
OG0000113	Utg857046_73	WP_205219581.1
OG0000114	Utg858494_132	WP_205217943.1
OG0000114	Utg863716_30	WP_205217401.1
OG0000115	Utg857152_65	WP_205217489.1
OG0000115	Utg860006_127	WP_205219679.1
OG0000117	Utg857046_88	WP_205219085.1
OG0000117	Utg864866_33	WP_205217876.1
OG0000118	Utg864866_34	WP_240191957.1
OG0000118	Utg857046_89	WP_275888991.1
OG0000121	Utg857994_195	WP_275888929.1
OG0000122	Utg857076_48	WP_205220332.1
OG0000123	Utg859236_117	WP_205220031.1
OG0000125	Utg859982_62	WP_205220097.1
OG0000126	Utg859388_82	WP_205219649.1
OG0000127	Utg857490_17	WP_205219440.1, WP_205219441.1
OG0000128	Utg863716_100	WP_205219057.1
OG0000128	Utg859098_212	WP_205218118.1
OG0000129	Utg860814_286	WP_205218969.1
OG0000129	Utg857682_35	WP_205220177.1
OG0000131	Utg857994_138	WP_240192135.1
OG0000132	Utg859098_255	WP_205218326.1
OG0000133	Utg864866_36	WP_205217878.1
OG0000133	Utg857046_90	WP_205219087.1
OG0000134	Utg864866_54	WP_205218809.1
OG0000134	Utg859098_168	WP_205219067.1
OG0000136	Utg859098_181	WP_240191980.1
OG0000136	Utg858498_14	WP_205220066.1
OG0000137	Utg857046_87	WP_205219084.1
OG0000142	Utg860814_204	WP_205219982.1
OG0000142	Utg861448_10, Utg861448_11	WP_205218882.1
OG0000143	Utg859750_71	WP_205219037.1
OG0000144	Utg859388_58	WP_205217734.1
OG0000145	Utg860814_102, Utg860814_101	WP_205218440.1
OG0000147	Utg859388_78	WP_205217752.1
OG0000148	Utg859236_120	WP_205218212.1, WP_205219628.1
OG0000150	Utg859982_197	WP_240192129.1
OG0000151	Utg857046_167	WP_240192019.1
OG0000152	Utg860814_109	WP_205219848.1
OG0000152	Utg860814_116	WP_205219850.1
OG0000154	Utg865370_5	WP_205217327.1
OG0000155	Utg859098_381	WP_240192148.1
OG0000155	Utg859098_382	WP_205219521.1
OG0000156	Utg859982_64	WP_205220095.1
OG0000160	Utg863716_47	WP_240191992.1, WP_205217391.1
OG0000162	Utg857046_72	WP_205218379.1
OG0000163	Utg861744_18	WP_205218549.1
OG0000163	Utg857076_25	WP_205219249.1
OG0000164	Utg857300_2	WP_205218605.1
OG0000165	Utg859432_36	WP_240192087.1
OG0000166	Utg858432_139	WP_205219180.1
OG0000167	Utg859982_154	WP_205219005.1
OG0000169	Utg859982_43	WP_205220075.1
OG0000170	Utg857152_75, Utg857152_74	WP_205218419.1
OG0000171	Utg859982_151	WP_205219366.1
OG0000172	Utg860006_25	WP_205217862.1
OG0000173	Utg861744_119	WP_205219412.1
OG0000174	Utg860814_189	WP_205217656.1
OG0000176	Utg861744_133, Utg857046_232	WP_205219026.1
OG0000180	Utg859236_79	WP_205220263.1, WP_205220264.1
OG0000181	Utg857046_168	WP_205218461.1
OG0000182	Utg859388_65	WP_205217742.1
OG0000183	Utg859982_223	WP_205218585.1
OG0000183	Utg862138_16	WP_240191953.1
OG0000184	Utg859388_167	WP_205219494.1
OG0000184	Utg859236_54	WP_205218375.1
OG0000185	Utg859098_331	WP_205218077.1
OG0000186	Utg859236_122	WP_205217642.1
OG0000187	Utg858494_144, Utg858494_131	WP_205217955.1, WP_205217942.1
OG0000188	Utg857152_35	WP_205217562.1
OG0000190	Utg864866_78	WP_205218562.1
OG0000191	Utg857152_179	WP_205220111.1
OG0000193	Utg859750_20	WP_240191910.1
OG0000194	Utg861744_61	WP_240191899.1
OG0000194	Utg861744_41	WP_205218538.1
OG0000195	Utg859098_286, Utg860814_283	WP_205219651.1
OG0000196	Utg862138_14	WP_205217764.1
OG0000196	Utg859982_222	WP_205218584.1
OG0000198	Utg859098_241	WP_240192026.1, WP_275888971.1
OG0000199	Utg859098_216	WP_205218113.1
OG0000201	Utg859750_26	WP_205217441.1
OG0000202	Utg857682_175	WP_205219316.1
OG0000202	Utg857300_47	WP_205220037.1
OG0000204	Utg857152_212	WP_240191983.1
OG0000204	Utg860814_30	WP_205218304.1
OG0000207	Utg857682_58	WP_205218366.1
OG0000208	Utg857682_59	WP_205218367.1
OG0000209	Utg857046_253	WP_205219630.1
OG0000210	Utg857300_1	WP_205220183.1, WP_205218604.1
OG0000211	Utg859432_43	WP_205219629.1, WP_205219339.1
OG0000212	Utg859982_111	WP_205219475.1
OG0000212	Utg857046_231, Utg861744_127	WP_205219027.1
OG0000214	Utg862138_34	WP_205220148.1, WP_205218051.1, WP_205220149.1
OG0000215	Utg861744_111	WP_240192049.1
OG0000217	Utg859236_44	WP_205218771.1
OG0000218	Utg861448_5	WP_205218878.1
OG0000219	Utg857152_18	WP_240191915.1
OG0000221	Utg860814_94	WP_205218650.1
OG0000222	Utg857076_18	WP_205219254.1
OG0000223	Utg859388_18	WP_205218711.1
OG0000225	Utg859982_121	WP_205217392.1
OG0000226	Utg857152_57	WP_205217492.1
OG0000227	Utg857992_19	WP_205219130.1
OG0000228	Utg857994_154	WP_205219809.1
OG0000229	Utg857682_96	WP_205217476.1
OG0000230	Utg859098_371, Utg859098_166	WP_205219065.1
OG0000232	Utg859982_75, Utg859982_74, Utg859982_73	WP_205218345.1
OG0000234	Utg860006_56	WP_205218677.1
OG0000235	Utg863716_45	WP_240192153.1
OG0000237	Utg861744_115	WP_205218378.1
OG0000237	Utg857682_142	WP_205217881.1
OG0000238	Utg857046_99	WP_205219359.1, WP_205217607.1
OG0000239	Utg865370_16	WP_240192164.1
OG0000239	Utg859236_56	WP_205218936.1
OG0000243	Utg857682_39, Utg859236_70	WP_240192155.1
OG0000245	Utg859098_51, Utg858494_9	WP_205217699.1, WP_240191912.1, WP_205219832.1, WP_240191911.1, WP_240192063.1
OG0000248	Utg859432_49	WP_205219321.1
OG0000252	Utg859982_218	WP_205218581.1
OG0000252	Utg862138_13	WP_205217763.1
OG0000253	Utg858432_42	WP_205217628.1
OG0000256	Utg862138_36	WP_205220146.1
OG0000258	Utg859236_13	WP_205219185.1
OG0000258	Utg860814_310, Utg857994_234	WP_205219289.1
OG0000259	Utg860006_137	WP_205218163.1
OG0000261	Utg860006_76	WP_205219746.1
OG0000262	Utg859098_276	WP_205218569.1
OG0000263	Utg859750_52	WP_205219912.1
OG0000264	Utg857152_109	WP_205218431.1
OG0000265	Utg857152_107	WP_205218429.1
OG0000266	Utg857152_69	WP_205217485.1
OG0000268	Utg860814_179	WP_205220292.1
OG0000268	Utg863716_97	WP_205219054.1
OG0000269	Utg858494_54	WP_205217898.1
OG0000269	Utg858494_55	WP_205217899.1
OG0000270	Utg864866_30	WP_205217873.1
OG0000271	Utg857682_56	WP_205217707.1
OG0000273	Utg858494_83	WP_205218287.1
OG0000275	Utg857994_229, Utg857994_230, Utg857994_231	WP_205218614.1
OG0000276	Utg859098_22, Utg861448_32, Utg861448_44	WP_205219963.1
OG0000277	Utg860006_51	WP_205220291.1
OG0000278	Utg862138_9	WP_205217759.1
OG0000279	Utg859098_135, Utg866558_49, Utg859098_146	WP_205217882.1
OG0000283	Utg861744_134	WP_275888985.1
OG0000285	Utg859236_43	WP_205218739.1
OG0000286	Utg860006_77	WP_205219747.1
OG0000288	Utg859098_256	WP_205217354.1
OG0000290	Utg860006_88	WP_205219839.1
OG0000292	Utg857490_19	WP_240192117.1
OG0000293	Utg859982_224	WP_205218586.1
OG0000293	Utg862138_17	WP_240191945.1
OG0000294	Utg859750_51	WP_205219913.1
OG0000295	Utg860006_49	WP_240192031.1
OG0000296	Utg857152_73	WP_205218418.1
OG0000297	Utg861744_20	WP_205218547.1
OG0000299	Utg862138_30	WP_205217776.1
OG0000300	Utg861744_126	WP_205218591.1
OG0000302	Utg863716_14, Utg857076_54, Utg865370_24	WP_205219478.1
OG0000303	Utg860006_19, Utg860006_14	WP_205220325.1
OG0000307	Utg862138_5	WP_205217755.1
OG0000307	Utg859982_212	WP_205218575.1
OG0000308	Utg859982_217	WP_205218580.1
OG0000308	Utg862138_12	WP_205217762.1
OG0000309	Utg858494_46	WP_205217461.1
OG0000310	Utg857994_232	WP_205218613.1
OG0000312	Utg858432_93	WP_205217647.1
OG0000313	Utg859982_66	WP_205219525.1
OG0000314	Utg859982_215	WP_205218578.1
OG0000314	Utg862138_10	WP_205217760.1
OG0000316	Utg863716_86	WP_205220128.1
OG0000317	Utg857152_229, Utg859098_266, Utg857152_175	WP_205220116.1
OG0000320	Utg857152_126, Utg857152_127	WP_205217581.1
OG0000321	Utg859982_133	WP_205220266.1, WP_205219893.1, WP_205218968.1
OG0000322	Utg859098_38	WP_205219598.1
OG0000322	Utg857994_214	WP_205220004.1
OG0000325	Utg864866_68, Utg857992_24, Utg866558_36	WP_205219843.1
OG0000326	Utg859236_21	WP_240192136.1
OG0000327	Utg859982_6	WP_205219777.1
OG0000331	Utg857994_45	WP_240192075.1
OG0000332	Utg857992_25, Utg857992_26	WP_205219138.1
OG0000335	Utg857152_112	WP_240192018.1
OG0000336	Utg860006_136	WP_205218164.1
OG0000337	Utg862138_52	WP_205217681.1
OG0000338	Utg857152_64	WP_205217490.1
OG0000339	Utg859982_81	WP_205220081.1
OG0000343	Utg858432_41	WP_205217627.1
OG0000349	Utg860006_78	WP_205219748.1
OG0000352	Utg857152_37	WP_205217504.1
OG0000353	Utg859982_181	WP_205218764.1
OG0000355	Utg860814_93	WP_205218649.1
OG0000356	Utg859098_215	WP_205218114.1
OG0000357	Utg859432_51	WP_205219318.1
OG0000358	Utg859098_231, Utg857152_203	WP_205218079.1
OG0000359	Utg857682_57	WP_205218171.1
OG0000360	Utg857490_30	WP_205217452.1
OG0000361	Utg859388_64	WP_205217741.1
OG0000362	Utg857992_13	WP_205218942.1
OG0000364	Utg858494_57, Utg863716_12, Utg863716_13	WP_205219523.1
OG0000365	Utg857152_129	WP_205218267.1
OG0000366	Utg857152_194	WP_275888945.1
OG0000367	Utg864866_81, Utg864866_80	WP_240191917.1
OG0000370	Utg857994_37	WP_205217374.1
OG0000371	Utg857682_144	WP_205219934.1
OG0000372	Utg857046_248	WP_205218561.1
OG0000373	Utg857046_230	WP_205218559.1
OG0000374	Utg857994_113	WP_205217711.1
OG0000380	Utg858498_7	WP_205220206.1
OG0000381	Utg858432_57	WP_205217576.1
OG0000383	Utg857994_131	WP_240191982.1
OG0000384	Utg858432_115, Utg859098_420	WP_205218413.1
OG0000385	Utg860006_15	WP_205220324.1
OG0000386	Utg859982_125	WP_205218041.1
OG0000388	Utg859388_69	WP_205217746.1
OG0000390	Utg859098_259	WP_240192167.1
OG0000391	Utg859388_80	WP_205219766.1
OG0000392	Utg859432_48	WP_275889000.1
OG0000393	Utg859388_122	WP_205218954.1
OG0000394	Utg858432_118	WP_205218909.1
OG0000395	Utg859388_134	WP_205218155.1
OG0000396	Utg857046_205	WP_205218452.1
OG0000397	Utg859098_263	WP_205220277.1
OG0000398	Utg859388_138, Utg857046_187	WP_205219765.1
OG0000399	Utg857994_19	WP_240192074.1
OG0000400	Utg857994_148	WP_205219816.1
OG0000401	Utg857490_22	WP_205219368.1
OG0000403	Utg859388_57	WP_205217733.1
OG0000404	Utg858432_29	WP_205217616.1
OG0000406	Utg858432_101	WP_205217506.1
OG0000408	Utg857046_206	WP_205218451.1
OG0000409	Utg859098_197, Utg859098_196	WP_205218129.1
OG0000410	Utg860814_206, Utg860814_207	WP_205217356.1
OG0000413	Utg862138_42	WP_205217469.1
OG0000414	Utg864866_32	WP_205217875.1
OG0000418	Utg862138_20	WP_205217768.1
OG0000419	Utg860006_86	WP_205219837.1
OG0000420	Utg859388_60	WP_205217661.1
OG0000422	Utg857046_203	WP_205218454.1
OG0000423	Utg859098_157	WP_205218959.1
OG0000424	Utg860814_75	WP_205218567.1
OG0000425	Utg858494_44, Utg858432_11	WP_205220198.1
OG0000426	Utg859098_264	WP_205220276.1
OG0000427	Utg857490_6	WP_240191961.1
OG0000428	Utg859388_59	WP_205217735.1
OG0000429	Utg866558_37	WP_205218395.1
OG0000430	Utg859098_145, Utg859098_134	WP_205217883.1
OG0000433	Utg857046_260	WP_205219208.1
OG0000439	Utg859982_185	WP_205219736.1
OG0000440	Utg859982_195	WP_205218572.1
OG0000443	Utg861744_142	WP_205217439.1
OG0000444	Utg859098_354	WP_240192150.1
OG0000445	Utg859098_121	WP_205219058.1
OG0000447	Utg859388_92	WP_205218746.1
OG0000448	Utg859982_7	WP_205219778.1
OG0000451	Utg857994_40, Utg865370_18	WP_205218646.1
OG0000457	Utg864866_63	WP_240192041.1
OG0000458	Utg866558_25	WP_205218916.1
OG0000459	Utg859098_217	WP_205218112.1
OG0000460	Utg858432_142	WP_205219183.1
OG0000461	Utg860814_196	WP_205217709.1
OG0000462	Utg859388_61	WP_205217736.1
OG0000463	Utg859982_12	WP_205219782.1
OG0000464	Utg858494_63	WP_205220375.1
OG0000465	Utg857046_20	WP_205219553.1
OG0000466	Utg857046_29	WP_205219574.1
OG0000467	Utg861744_129	WP_275888973.1
OG0000468	Utg859982_19	WP_205218748.1
OG0000469	Utg857152_63	WP_205217491.1
OG0000470	Utg858432_109	WP_205218902.1
OG0000471	Utg859750_61	WP_205218800.1
OG0000472	Utg860006_132	WP_205218167.1
OG0000473	Utg861744_130	WP_205218594.1
OG0000474	Utg859098_439, Utg858498_4	WP_240192159.1
OG0000476	Utg857490_27	WP_205217449.1
OG0000477	Utg857046_213	WP_205218449.1
OG0000479	Utg859098_352	WP_275889017.1
OG0000480	Utg858494_109	WP_205217922.1
OG0000485	Utg859098_351	WP_240192151.1
OG0000486	Utg859982_149	WP_240192058.1
OG0000487	Utg859098_195	WP_205218131.1
OG0000488	Utg861744_54	WP_205218506.1
OG0000489	Utg859388_187, Utg858498_21	WP_205219267.1
OG0000490	Utg860814_326	WP_205219099.1
OG0000491	Utg857994_162	WP_205219120.1
OG0000492	Utg857152_223	WP_205219754.1
OG0000493	Utg857152_45	WP_205217497.1
OG0000494	Utg857152_20	WP_205218563.1
OG0000495	Utg859098_239, Utg859098_238	WP_205218729.1
OG0000496	Utg862138_40	WP_205217666.1
OG0000497	Utg858432_129	WP_240192032.1
OG0000498	Utg858432_130	WP_205218691.1
OG0000499	Utg860814_96	WP_205218654.1
OG0000500	Utg858494_89	WP_205217905.1
OG0000501	Utg859388_178	WP_240192165.1
OG0000502	Utg859098_218	WP_205218110.1
OG0000504	Utg860814_205	WP_205217355.1
OG0000505	Utg857994_68	WP_205219666.1
OG0000507	Utg859750_83	WP_205217438.1
OG0000508	Utg860006_116, Utg859076_17	WP_205218825.1
OG0000509	Utg861744_21	WP_205218546.1
OG0000510	Utg860814_70	WP_205218853.1
OG0000511	Utg857046_259	WP_205218437.1
OG0000512	Utg857994_18	WP_205219193.1
OG0000514	Utg858432_18	WP_205218175.1
OG0000515	Utg859982_11	WP_205219781.1
OG0000516	Utg860814_197	WP_205217710.1
OG0000517	Utg857076_26	WP_205220396.1
OG0000520	Utg859388_149	WP_205220133.1
OG0000521	Utg859098_269	WP_205219612.1
OG0000522	Utg859098_204	WP_205218124.1
OG0000523	Utg859388_10	WP_205219825.1
OG0000525	Utg861448_15	WP_205218361.1
OG0000526	Utg863716_87	WP_205220125.1
OG0000527	Utg860006_135	WP_205218165.1
OG0000528	Utg857046_75	WP_205217332.1
OG0000529	Utg857152_77, Utg857152_76	WP_205218420.1
OG0000530	Utg858432_105	WP_205218899.1
OG0000531	Utg860006_87	WP_205219838.1
OG0000532	Utg860006_54	WP_205218675.1
OG0000533	Utg857152_27, Utg857152_26	WP_205217510.1
OG0000535	Utg857152_185	WP_205219617.1
OG0000537	Utg859098_185	WP_205218142.1
OG0000539	Utg857152_159	WP_205217783.1
OG0000540	Utg859236_26	WP_205219210.1
OG0000542	Utg857152_50	WP_205217495.1
OG0000543	Utg859098_262	WP_205220278.1
OG0000544	Utg861744_125	WP_205218590.1
OG0000545	Utg859750_15	WP_205217421.1
OG0000546	Utg859432_39	WP_205219329.1
OG0000547	Utg860814_120	WP_205219929.1
OG0000549	Utg858498_13	WP_205220069.1
OG0000550	Utg861448_9	WP_240192054.1
OG0000555	Utg857152_177, Utg857152_176	WP_205219625.1
OG0000560	Utg857994_198	WP_205217349.1
OG0000561	Utg865370_11	WP_205219465.1
OG0000562	Utg861744_43	WP_205217553.1
OG0000564	Utg859750_48	WP_205218994.1
OG0000568	Utg859388_45, Utg859098_267	WP_205219610.1
OG0000569	Utg857992_12	WP_205219985.1
OG0000570	Utg857046_194	WP_205217437.1
OG0000571	Utg857300_49	WP_205217567.1
OG0000575	Utg859432_50	WP_205219319.1
OG0000576	Utg865370_28	WP_205220238.1
OG0000577	Utg857994_20	WP_205219226.1
OG0000578	Utg861744_32	WP_205218542.1
OG0000579	Utg861744_19	WP_205218548.1
OG0000580	Utg860814_282	WP_205219652.1
OG0000581	Utg858494_143	WP_205217953.1
OG0000582	Utg859750_11	WP_205217424.1
OG0000584	Utg857046_225	WP_205218446.1
OG0000585	Utg857046_226	WP_205218445.1
OG0000586	Utg857046_228	WP_205218444.1
OG0000587	Utg859098_170	WP_205219068.1
OG0000588	Utg857046_250	WP_205218441.1
OG0000589	Utg859982_4	WP_205219775.1
OG0000590	Utg857046_196	WP_205218457.1
OG0000591	Utg859432_41	WP_205219327.1
OG0000592	Utg859098_167	WP_205219066.1
OG0000593	Utg858432_36	WP_205218486.1
OG0000594	Utg857152_39	WP_205217503.1
OG0000595	Utg860006_52	WP_205218673.1
OG0000596	Utg859098_222	WP_205218108.1
OG0000597	Utg859098_240	WP_205218730.1
OG0000598	Utg858432_39	WP_205217625.1
OG0000599	Utg859098_188	WP_205218140.1
OG0000600	Utg863716_90	WP_205217588.1
OG0000601	Utg859432_46	WP_205219323.1
OG0000603	Utg860006_130	WP_240191991.1
OG0000604	Utg859750_70	WP_205219036.1
OG0000605	Utg863716_99	WP_205219056.1
OG0000606	Utg865370_35	WP_240192025.1
OG0000607	Utg857152_11	WP_240191928.1
OG0000608	Utg860814_195	WP_205217708.1
OG0000609	Utg857994_166	WP_240192100.1
OG0000610	Utg858494_91	WP_205217907.1
OG0000611	Utg859098_165	WP_205219064.1
OG0000612	Utg866558_22	WP_205218918.1
OG0000613	Utg866558_21	WP_205218919.1
OG0000615	Utg858494_101	WP_205217915.1
OG0000616	Utg858494_99	WP_205217914.1
OG0000617	Utg858494_129	WP_205217940.1
OG0000618	Utg858494_127	WP_205217938.1
OG0000619	Utg858494_126	WP_205217937.1
OG0000620	Utg858494_125	WP_205217936.1
OG0000621	Utg858494_124	WP_205217935.1
OG0000622	Utg859236_96	WP_205219259.1
OG0000623	Utg857994_147	WP_205219817.1
OG0000624	Utg859098_193	WP_205218135.1
OG0000625	Utg859098_192	WP_205218136.1
OG0000626	Utg861744_118	WP_205219413.1
OG0000627	Utg858494_90	WP_205217906.1
OG0000628	Utg859076_34	WP_240191905.1
OG0000630	Utg857152_31	WP_205217508.1
OG0000631	Utg857152_28	WP_205217509.1
OG0000632	Utg859388_81	WP_205219650.1
OG0000633	Utg860814_165	WP_205218065.1
OG0000634	Utg857994_128	WP_205219197.1
OG0000635	Utg859236_17	WP_205219807.1
OG0000636	Utg859982_221	WP_205218583.1
OG0000637	Utg859388_63	WP_205217740.1
OG0000638	Utg857076_19	WP_205219253.1
OG0000639	Utg859982_5	WP_205219776.1
OG0000640	Utg860006_133	WP_205218166.1
OG0000641	Utg858432_119	WP_205218910.1
OG0000642	Utg857046_24	WP_205219556.1
OG0000643	Utg857994_157	WP_205219124.1
OG0000644	Utg857152_22	WP_205220191.1
OG0000645	Utg857046_27	WP_205219573.1
OG0000646	Utg858432_47	WP_205217633.1
OG0000647	Utg858432_46	WP_240191938.1
OG0000648	Utg858432_43	WP_205217629.1
OG0000649	Utg857994_158	WP_205219123.1
OG0000650	Utg857992_20	WP_205219129.1
OG0000651	Utg859098_261	WP_205220279.1
OG0000652	Utg859388_12	WP_205219827.1
OG0000653	Utg859098_160	WP_205219060.1
OG0000654	Utg859750_12, Utg859750_13	WP_205217423.1
OG0000655	Utg857490_21	WP_205217444.1
OG0000656	Utg860814_287	WP_205217793.1
