"","Ortholog Group","ORF","bin","max_annot_lvl","Preferred_name","COG_category","PFAMs","Description","genome.assembly","category","HMM.x","clusterID","cell","reaction","substrate","HMM.y","cluster"
"30","OG0004871","Utg858432_96","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","T","ABC_sub_bind,HATPase_c,HisKA,PAS_3,PAS_4,PAS_9,Response_reg","Histidine kinase A domain protein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","OG0004871","Utg859076_61","metabat_sample13.txt.004.emapper.annotations","1236|Gammaproteobacteria","kdpE","T","Response_reg,Trans_reg_C","Transcriptional regulatory protein, C terminal",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","OG0004876","Utg858498_22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","OG0004876","Utg859388_186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","OG0004878","Utg859098_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","OG0004878","Utg861448_39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","OG0004880","Utg859098_20","metabat_sample13.txt.004.emapper.annotations","186801|Clostridia","-","L","DEDD_Tnp_IS110,Transposase_20","PFAM transposase IS116 IS110 IS902 family",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","OG0004880","Utg859982_91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","OG0004885","Utg859236_3","metabat_sample13.txt.004.emapper.annotations","414999|Opitutae","-","O","-","proteasome-mediated ubiquitin-dependent protein catabolic process",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","OG0004885","Utg860006_5","metabat_sample13.txt.004.emapper.annotations","414999|Opitutae","-","O","-","proteasome-mediated ubiquitin-dependent protein catabolic process",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","OG0004911","Utg863716_121","metabat_sample13.txt.004.emapper.annotations","91061|Bacilli","-","T","HAMP,HATPase_c,HisKA,dCache_1","HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","OG0004911","Utg863716_123","metabat_sample13.txt.004.emapper.annotations","1236|Gammaproteobacteria","-","T","HATPase_c,HisKA,PAS_3,PAS_4","Histidine kinase",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","OG0007516","Utg857046_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","OG0007517","Utg857046_14","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","OG0007518","Utg857046_36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","OG0007519","Utg857046_40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","OG0007520","Utg857046_42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","OG0007521","Utg857046_48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","OG0007522","Utg857046_54","metabat_sample13.txt.004.emapper.annotations","201174|Actinobacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","OG0007523","Utg857046_55","metabat_sample13.txt.004.emapper.annotations","201174|Actinobacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","OG0007524","Utg857046_56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","OG0007525","Utg857046_74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","OG0007526","Utg857046_76","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","dnaE2","L","DNA_pol3_alpha,HHH_6,PHP,tRNA_anti-codon","DNA polymerase III alpha subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","OG0007527","Utg857046_77","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","dnaE2","L","DNA_pol3_alpha,HHH_6,PHP,tRNA_anti-codon","DNA polymerase III alpha subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","OG0007528","Utg857046_79","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","dnaE2","L","DNA_pol3_alpha,HHH_6,PHP,tRNA_anti-codon","DNA polymerase III alpha subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","OG0007529","Utg857046_80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","OG0007530","Utg857046_81","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","dnaE2","L","DNA_pol3_alpha,HHH_6,PHP,tRNA_anti-codon","DNA polymerase III alpha subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","OG0007531","Utg857046_91","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","OG0007532","Utg857046_94","metabat_sample13.txt.004.emapper.annotations","976|Bacteroidetes","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","OG0007533","Utg857046_95","metabat_sample13.txt.004.emapper.annotations","74201|Verrucomicrobia","-","M","MBOAT","PFAM membrane bound O-acyl transferase MBOAT family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","OG0007534","Utg857046_98","metabat_sample13.txt.004.emapper.annotations","28889|Crenarchaeota","-","S","CBS","PFAM CBS domain containing protein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","OG0007535","Utg857046_120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","OG0007536","Utg857046_135","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","typA","T","EFG_C,GTP_EFTU,GTP_EFTU_D2","Elongation factor Tu domain 2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","OG0007537","Utg857046_145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","OG0007538","Utg857046_146","metabat_sample13.txt.004.emapper.annotations","2|Bacteria","cigR","D","RcnB","response to cobalt ion",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","OG0007539","Utg857046_147","metabat_sample13.txt.004.emapper.annotations","1224|Proteobacteria","-","S","Sulfotransfer_3","Sulfotransferase family",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","OG0007540","Utg857046_149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","OG0007541","Utg857046_166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","OG0007542","Utg857046_172","metabat_sample13.txt.004.emapper.annotations","1224|Proteobacteria","-","S","-","Polysaccharide biosynthesis protein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","OG0007543","Utg857046_173","metabat_sample13.txt.004.emapper.annotations","1117|Cyanobacteria","-","M","Glyco_transf_4,Glycos_transf_1","SPTR Glycosyl transferase group 1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","OG0007544","Utg857046_179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","OG0007545","Utg857046_181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","OG0007546","Utg857046_197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","OG0007547","Utg857046_235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","OG0007548","Utg857046_237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","OG0007549","Utg857046_239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","OG0007550","Utg857046_268","metabat_sample13.txt.004.emapper.annotations","1236|Gammaproteobacteria","-","L","DDE_Tnp_1_4","Transposase DDE domain group 1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","OG0007551","Utg857046_270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","OG0007552","Utg857046_274","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","OG0007553","Utg857046_277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","OG0007554","Utg857046_280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","OG0007555","Utg857076_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","OG0007556","Utg857076_32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","OG0007557","Utg857076_36","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","M","LysM,SLT","Lysin motif",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","OG0007558","Utg857076_38","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","M","LysM,SLT","Lysin motif",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","OG0007559","Utg857152_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","OG0007560","Utg857152_12","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","dnaA","L","Bac_DnaA,Bac_DnaA_C,DnaA_N","it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","OG0007561","Utg857152_48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","OG0007562","Utg857152_49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","OG0007563","Utg857152_86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","OG0007564","Utg857152_138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","OG0007565","Utg857152_147","metabat_sample13.txt.004.emapper.annotations","186801|Clostridia","-","S","CMD","Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","OG0007566","Utg857152_148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","OG0007567","Utg857152_150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","OG0007568","Utg857152_154","metabat_sample13.txt.004.emapper.annotations","186801|Clostridia","-","V","ABC_tran,Beta-lactamase,DUF302","Beta-lactamase class C and other penicillin binding proteins-like protein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","OG0007569","Utg857152_195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","OG0007570","Utg857152_207","metabat_sample13.txt.004.emapper.annotations","28211|Alphaproteobacteria","MA20_22730","T","HAMP,HATPase_c,HisKA,PAS_4,PAS_7","Histidine kinase",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","OG0007571","Utg857152_213","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","GT","PEP-utilizers,PPDK_N","pyruvate phosphate dikinase",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","OG0007572","Utg857152_221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","OG0007573","Utg857152_227","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","OG0007574","Utg857152_232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","OG0007575","Utg857152_243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","OG0007576","Utg857152_250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","OG0007577","Utg857152_254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","OG0007578","Utg857152_259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","OG0007579","Utg857300_5","metabat_sample13.txt.004.emapper.annotations","2|Bacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","OG0007580","Utg857300_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","OG0007581","Utg857300_60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","OG0007582","Utg857300_64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","OG0007583","Utg857490_2","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","aprA","C","FAD_binding_2","reductase, alpha subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","OG0007584","Utg857490_3","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","aprA","C","FAD_binding_2","reductase, alpha subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","OG0007585","Utg857490_7","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","ftsK","D","FtsK_4TM,FtsK_SpoIIIE,Ftsk_gamma","DNA segregation ATPase, FtsK SpoIIIE family",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","OG0007586","Utg857490_31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","OG0007587","Utg857490_36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","OG0007588","Utg857682_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","OG0007589","Utg857682_21","metabat_sample13.txt.004.emapper.annotations","1236|Gammaproteobacteria","-","S","Asp_protease_2,TPR_19,gag-asp_proteas","gag-polyprotein putative aspartyl protease",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","OG0007590","Utg857682_25","metabat_sample13.txt.004.emapper.annotations","976|Bacteroidetes","-","K","AlbA_2,DUF4062,HATPase_c_4","Domain of unknown function (DUF4062)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","OG0007591","Utg857682_29","metabat_sample13.txt.004.emapper.annotations","1224|Proteobacteria","-","S","EamA","EamA-like transporter family",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","OG0007592","Utg857682_40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","OG0007593","Utg857682_43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","OG0007594","Utg857682_65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","OG0007595","Utg857682_70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","OG0007596","Utg857682_74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","OG0007597","Utg857682_88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","OG0007598","Utg857682_97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","OG0007599","Utg857682_100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","OG0007600","Utg857682_101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","OG0007601","Utg857682_102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","OG0007602","Utg857682_108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","OG0007603","Utg857682_109","metabat_sample13.txt.004.emapper.annotations","1224|Proteobacteria","-","L","-","DNA-dependent DNA replication",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","OG0007604","Utg857682_111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","OG0007605","Utg857682_113","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","S","DUF498","Protein of unknown function (DUF498/DUF598)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","OG0007606","Utg857682_115","metabat_sample13.txt.004.emapper.annotations","909932|Negativicutes","queC","F","QueC","Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0))",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","OG0007607","Utg857682_116","metabat_sample13.txt.004.emapper.annotations","186801|Clostridia","-","J","-","queuine tRNA-ribosyltransferase activity",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","OG0007608","Utg857682_118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","OG0007609","Utg857682_123","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","E","Meth_synt_2","Cobalamin-independent synthase, Catalytic domain",NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","OG0007610","Utg857682_125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","OG0007611","Utg857682_126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","OG0007612","Utg857682_128","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","S","AAT","PFAM peptidase C45 acyl-coenzyme A 6-aminopenicillanic acid acyl-transferase",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","OG0007613","Utg857682_130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","OG0007614","Utg857682_133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","OG0007615","Utg857682_141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","OG0007616","Utg857682_143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","OG0007617","Utg857682_149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","OG0007618","Utg857682_157","metabat_sample13.txt.004.emapper.annotations","201174|Actinobacteria","-","T","-","Involved in the tonB-independent uptake of proteins",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","OG0007619","Utg857682_158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","OG0007620","Utg857682_163","metabat_sample13.txt.004.emapper.annotations","186801|Clostridia","-","S","DUF2088","Domain of unknown function (DUF2088)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","OG0007621","Utg857682_164","metabat_sample13.txt.004.emapper.annotations","201174|Actinobacteria","-","S","DUF2088","Domain of unknown function (DUF2088)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","OG0007622","Utg857682_171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","OG0007623","Utg857992_1","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","O","DUF3656,Peptidase_U32","peptidase U32",NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","OG0007624","Utg857992_4","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","OG0007625","Utg857992_5","metabat_sample13.txt.004.emapper.annotations","1236|Gammaproteobacteria","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","OG0007626","Utg857992_9","metabat_sample13.txt.004.emapper.annotations","976|Bacteroidetes","-","S","Laminin_G_3,PKD,Sortilin-Vps10,TSP_3","cellulose binding",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","OG0007627","Utg857992_15","metabat_sample13.txt.004.emapper.annotations","28221|Deltaproteobacteria","-","EQ","Hydant_A_N,Hydantoinase_A,Hydantoinase_B","Hydantoinase oxoprolinase N-terminal region",NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","OG0007628","Utg857994_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","OG0007629","Utg857994_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","OG0007630","Utg857994_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","OG0007631","Utg857994_6","metabat_sample13.txt.004.emapper.annotations","186801|Clostridia","-","L","Phage_int_SAM_3,Phage_int_SAM_5,Phage_integrase","Belongs to the 'phage' integrase family",NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","OG0007632","Utg857994_8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","OG0007633","Utg857994_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","OG0007634","Utg857994_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","OG0007635","Utg857994_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","OG0007636","Utg857994_13","metabat_sample13.txt.004.emapper.annotations","1224|Proteobacteria","-","O","-","Belongs to the peptidase M48B family",NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","OG0007637","Utg857994_26","metabat_sample13.txt.004.emapper.annotations","1236|Gammaproteobacteria","spy","NPTU","LTXXQ","P pilus assembly Cpx signaling pathway, periplasmic inhibitor zinc-resistance associated protein",NA,NA,NA,NA,NA,NA,NA,NA,NA
