Orthogroup	Desulfosediminicola flagellatus IMCC35005	Desulfocapsa_06_corrosive
OG0000023	WP_136808184.1, WP_136809091.1, WP_136806772.1, WP_136808959.1	Utg323180_595
OG0000023	WP_136808182.1, WP_136809089.1, WP_136808678.1	Utg323392_65, Utg323180_593
OG0000024	WP_136810505.1	Utg323180_286
OG0000024	WP_136810309.1	Utg323074_45
OG0000024	WP_136806526.1	Utg323152_134
OG0000025	WP_136810240.1	Utg323300_113
OG0000025	WP_136807670.1	Utg323316_176, Utg323180_632
OG0000025	WP_136810013.1	Utg323392_180, Utg323316_342, Utg323316_341
OG0000025	WP_136806231.1, WP_167505784.1	Utg323632_121
OG0000026	WP_217909501.1	Utg323140_43
OG0000026	WP_136806848.1	Utg323300_169
OG0000026	WP_136807998.1	Utg323300_371
OG0000027	WP_136809850.1, WP_136809710.1	Utg323300_117
OG0000028	WP_136805931.1	Utg323262_65
OG0000028	WP_136808657.1	Utg323990_173
OG0000028	WP_136809938.1	Utg323140_52
OG0000028	WP_136810259.1, WP_136810307.1	Utg323140_220
OG0000028	WP_136806863.1	Utg323180_452
OG0000029	WP_136805378.1	Utg323300_179
OG0000029	WP_136805379.1	Utg323300_178
OG0000030	WP_136805937.1	Utg323160_112
OG0000031	WP_136810558.1	Utg323448_44
OG0000031	WP_153307109.1	Utg323180_78
OG0000031	WP_275942860.1	Utg323392_77, Utg323262_179
OG0000032	WP_136807976.1	Utg323316_338
OG0000032	WP_167506015.1	Utg323300_122
OG0000033	WP_136809276.1	Utg323140_147, Utg323140_146
OG0000034	WP_136808271.1	Utg323392_186, Utg323392_187
OG0000035	WP_136810508.1	Utg323180_199
OG0000035	WP_136810054.1	Utg323262_95
OG0000035	WP_136808043.1	Utg323300_305
OG0000035	WP_136809230.1	Utg323300_236
OG0000038	WP_136808396.1	Utg323990_153
OG0000038	WP_136805514.1	Utg323180_685
OG0000038	WP_136805513.1	Utg323180_684
OG0000039	WP_136805748.1	Utg323316_349
OG0000040	WP_136808531.1	Utg323074_178
OG0000040	WP_136805340.1	Utg323990_200, Utg323990_66
OG0000041	WP_217909485.1	Utg323300_84
OG0000041	WP_136808147.1	Utg323316_196
OG0000042	WP_217909626.1	Utg323180_126
OG0000042	WP_136808551.1	Utg323300_393
OG0000042	WP_136809846.1	Utg323262_141
OG0000042	WP_275942834.1	Utg323152_383
OG0000043	WP_136808860.1	Utg323990_243
OG0000043	WP_136807664.1	Utg323160_116
OG0000044	WP_136810153.1	Utg323316_69
OG0000045	WP_136810787.1	Utg323180_405, Utg323180_245
OG0000045	WP_136805182.1	Utg324810_80, Utg323990_79
OG0000045	WP_136806030.1	Utg323300_218
OG0000046	WP_136809898.1, WP_136805573.1	Utg324810_8
OG0000046	WP_136808334.1	Utg323152_235
OG0000046	WP_136807646.1	Utg323180_156
OG0000047	WP_167505894.1	Utg323990_19
OG0000047	WP_136809825.1	Utg323316_238
OG0000047	WP_136808498.1	Utg323074_155
OG0000048	WP_136808633.1, WP_136808926.1, WP_136810226.1	Utg323266_109
OG0000048	WP_136809719.1	Utg323316_142
OG0000049	WP_136810189.1, WP_136809400.1, WP_167505764.1	Utg323300_370
OG0000051	WP_136805575.1, WP_275942859.1	Utg323316_319
OG0000051	WP_136810515.1, WP_153307106.1	Utg323180_77
OG0000051	WP_267313722.1	Utg323392_76, Utg323262_180, Utg323392_75
OG0000052	WP_136805929.1	Utg323262_71
OG0000052	WP_136810349.1	Utg323300_411
OG0000053	WP_136805444.1	Utg323392_224
OG0000053	WP_136808276.1, WP_136808277.1	Utg323180_371, Utg323316_65
OG0000053	WP_228723307.1	Utg323316_144
OG0000054	WP_217909503.1, WP_217909506.1	Utg323316_271, Utg323316_253
OG0000054	WP_136810850.1	Utg323316_275
OG0000054	WP_217909504.1, WP_217909507.1	Utg323990_236
OG0000055	WP_136808343.1	Utg323152_253
OG0000057	WP_136809365.1, WP_136807233.1	Utg323152_465
OG0000057	WP_167506003.1	Utg323300_441, Utg323632_324, Utg323392_16, Utg323140_160
OG0000058	WP_136806611.1	Utg323180_619
OG0000058	WP_136810256.1	Utg323152_288, Utg323632_274, Utg323152_273, Utg323180_393
OG0000058	WP_136806778.1	Utg323180_545
OG0000059	WP_136809677.1	Utg323316_107
OG0000060	WP_136809295.1	Utg323300_75
OG0000060	WP_136806703.1	Utg323632_306
OG0000060	WP_136806279.1	Utg323990_72
OG0000061	WP_136810227.1, WP_136808925.1, WP_136808634.1	Utg323266_110
OG0000061	WP_136805763.1	Utg323180_315
OG0000062	WP_228723330.1	Utg323392_166
OG0000062	WP_136810821.1	Utg323140_118
OG0000063	WP_136806830.1	Utg323632_334
OG0000063	WP_136807527.1, WP_136805302.1	Utg323392_142
OG0000064	WP_136808385.1	Utg323990_139
OG0000064	WP_136806628.1	Utg323180_38
OG0000065	WP_136805814.1	Utg323140_2, Utg323180_2
OG0000066	WP_136808571.1	Utg323266_106
OG0000067	WP_136805282.1	Utg323392_165
OG0000067	WP_217909512.1	Utg323140_119
OG0000068	WP_136810010.1	Utg323180_344
OG0000068	WP_167506095.1	Utg325220_60
OG0000069	WP_167505940.1	Utg323300_182
OG0000069	WP_136810048.1	Utg323262_103
OG0000071	WP_136810775.1	Utg323152_536
OG0000071	WP_136806381.1	Utg323152_559
OG0000072	WP_136808180.1, WP_136810774.1	Utg323152_535
OG0000072	WP_136806380.1	Utg323152_560
OG0000073	WP_136809807.1	Utg323160_62, Utg323180_197, Utg323632_357, Utg323180_298, Utg323180_233, Utg324548_6, Utg323140_124
OG0000074	WP_136809795.1	Utg323180_421
OG0000074	WP_136808865.1	Utg325220_79
OG0000076	WP_136810692.1	Utg323180_458, Utg323152_263
OG0000077	WP_136805418.1	Utg323074_141
OG0000078	WP_136805515.1	Utg323180_686
OG0000078	WP_136808055.1	Utg323300_294
OG0000079	WP_228723251.1	Utg323160_93, Utg323180_41
OG0000079	WP_136805063.1	Utg323990_42
OG0000080	WP_136808832.1	Utg323140_241
OG0000081	WP_136805255.1	Utg323180_392
OG0000081	WP_136808827.1	Utg323266_79
OG0000082	WP_136806792.1	Utg323392_216
OG0000082	WP_136807887.1	Utg323152_318
OG0000085	WP_136809115.1	Utg323180_592
OG0000086	WP_136806960.1	Utg323392_34
OG0000086	WP_136808581.1	Utg323180_528
OG0000087	WP_136805195.1	Utg323140_87
OG0000087	WP_136807110.1	Utg323152_497
OG0000088	WP_136806105.1	Utg325220_103
OG0000088	WP_136810693.1	Utg323180_457, Utg323152_262
OG0000089	WP_136806975.1	Utg324548_40
OG0000089	WP_136810798.1, WP_167505835.1, WP_136809298.1	Utg323140_37
OG0000091	WP_136809462.1	Utg323180_478
OG0000091	WP_136805623.1	Utg323392_150
OG0000092	WP_136806534.1	Utg323300_130
OG0000092	WP_136806715.1	Utg323180_509
OG0000093	WP_136806918.1	Utg323180_45
OG0000094	WP_136810866.1	Utg323990_23
OG0000094	WP_136808502.1	Utg323074_170
OG0000095	WP_136809769.1	Utg323300_425
OG0000095	WP_136810701.1	Utg323990_63
OG0000097	WP_136807108.1	Utg323152_498
OG0000097	WP_136807121.1	Utg323160_75, Utg323266_3, Utg323160_123
OG0000098	WP_176371599.1	Utg323152_561
OG0000099	WP_136805946.1	Utg323140_213
OG0000099	WP_136808098.1	Utg324810_13, Utg323180_500
OG0000100	WP_136809686.1	Utg323316_117
OG0000101	WP_275942865.1	Utg323266_38
OG0000102	WP_136805120.1	Utg323632_122
OG0000103	WP_136807934.1	Utg323316_301
OG0000104	WP_136808313.1	Utg323074_23
OG0000104	WP_136807975.1	Utg323316_337
OG0000105	WP_136805297.1	Utg323392_148
OG0000105	WP_136809443.1	Utg323180_490
OG0000106	WP_136807483.1	Utg323300_138
OG0000106	WP_136809270.1	Utg323300_125, Utg323316_317
OG0000107	WP_136810209.1	Utg323266_55
OG0000107	WP_136805501.1	Utg323180_669
OG0000108	WP_136808097.1	Utg323180_244
OG0000108	WP_136806312.1	Utg323392_40
OG0000108	WP_136805490.1	Utg323180_650
OG0000110	WP_136807030.1	Utg323140_35
OG0000110	WP_136810690.1	Utg323152_265
OG0000112	WP_136808002.1	Utg323300_361
OG0000113	WP_136808953.1	Utg323180_560
OG0000113	WP_136809724.1	Utg323316_179
OG0000114	WP_136810572.1	Utg323448_59
OG0000114	WP_136810511.1	Utg323180_193
OG0000115	WP_136808017.1	Utg323300_341
OG0000115	WP_136806745.1	Utg323990_86
OG0000116	WP_136805779.1	Utg323300_39
OG0000117	WP_136810060.1	Utg323140_129
OG0000118	WP_136810061.1	Utg323140_128
OG0000119	WP_136806532.1	Utg323180_425
OG0000120	WP_176371624.1	Utg323140_117
OG0000121	WP_136808693.1	Utg323316_251, Utg323316_295, Utg323316_290
OG0000121	WP_136808681.1, WP_136808529.1	Utg323074_180
OG0000122	WP_217909611.1	Utg323300_431, Utg323262_85
OG0000123	WP_136810691.1	Utg323152_264
OG0000123	WP_136807032.1	Utg325220_102
OG0000124	WP_136810093.1	Utg323180_456
OG0000125	WP_217909486.1, WP_136809889.1, WP_228723249.1, WP_136806029.1	Utg323316_156
OG0000126	WP_136805307.1	Utg323392_137
OG0000126	WP_136805571.1	Utg323140_162
OG0000127	WP_136810542.1, WP_136810543.1	Utg323448_31
OG0000128	WP_136806650.1	Utg323180_277
OG0000128	WP_136806346.1	Utg323152_202
OG0000129	WP_136805236.1	Utg323180_691
OG0000130	WP_217909449.1	Utg323140_62, Utg323632_319
OG0000131	WP_136805439.1	Utg323074_120
OG0000131	WP_136805333.1	Utg323990_32
OG0000133	WP_267313775.1	Utg323140_126
OG0000134	WP_136805898.1	Utg323140_101
OG0000134	WP_167505926.1	Utg323152_247
OG0000135	WP_136807997.1, WP_136809233.1	Utg323300_373
OG0000135	WP_136806993.1	Utg323300_234
OG0000136	WP_136806325.1	Utg323152_230
OG0000136	WP_136806313.1	Utg323392_39
OG0000137	WP_167506064.1	Utg323632_120, Utg323074_21, Utg323300_15
OG0000138	WP_136807292.1	Utg323392_64
OG0000138	WP_228723396.1	Utg323180_280
OG0000142	WP_267313776.1	Utg323180_616
OG0000142	WP_167505871.1	Utg323392_262
OG0000143	WP_136806623.1	Utg323180_33
OG0000144	WP_136806979.1	Utg323392_195
OG0000144	WP_136805284.1	Utg323392_160
OG0000145	WP_136807978.1	Utg323180_511
OG0000145	WP_136809855.1	Utg323074_35, Utg323074_36
OG0000147	WP_136805303.1	Utg323392_141
OG0000147	WP_136806691.1	Utg323632_318
OG0000149	WP_136809474.1	Utg323300_144
OG0000149	WP_167505875.1	Utg325220_75
OG0000149	WP_136806556.1	Utg323152_363
OG0000150	WP_136806150.1	Utg323152_400
OG0000150	WP_136808039.1	Utg323300_310
OG0000151	WP_228723304.1, WP_228723332.1	Utg323316_242
OG0000152	WP_275942862.1	Utg323180_516
OG0000152	WP_136806728.1	Utg323180_523
OG0000153	WP_136806137.1	Utg323180_413
OG0000153	WP_136809779.1, WP_275942867.1	Utg323300_187
OG0000154	WP_167506086.1	Utg323160_129, Utg323266_10
OG0000156	WP_136808996.1, WP_167505956.1, WP_136809224.1, WP_136805651.1	Utg323316_158
OG0000158	WP_136806037.1	Utg323180_251
OG0000159	WP_136810252.1, WP_136808151.1	Utg324810_14
OG0000160	WP_136810489.1	Utg323180_213
OG0000162	WP_176371613.1, WP_136810357.1	Utg323316_178
OG0000163	WP_136809154.1	Utg323160_83
OG0000163	WP_136810044.1	Utg323262_107
OG0000164	WP_136805985.1	Utg323300_166
OG0000165	WP_136810648.1	Utg323140_175
OG0000166	WP_136808362.1	Utg323632_248
OG0000166	WP_136810385.1	Utg324810_90
OG0000168	WP_136808711.1	Utg323300_260
OG0000169	WP_136805317.1	Utg323152_503
OG0000169	WP_136810655.1, WP_136808753.1	Utg323392_14
OG0000170	WP_136808008.1	Utg323300_350
OG0000171	WP_136805394.1, WP_228723368.1	Utg323152_438
OG0000171	WP_136805395.1	Utg323152_437
OG0000171	WP_228723367.1	Utg324810_26
OG0000172	WP_136808406.1	Utg323990_178
OG0000173	WP_136808642.1	Utg324810_59
OG0000174	WP_136805459.1	Utg323180_604
OG0000175	WP_136805332.1, WP_167505782.1, WP_136807929.1	Utg323160_48
OG0000176	WP_136808623.1	Utg324810_46
OG0000178	WP_136809275.1	Utg323316_122, Utg324810_77
OG0000179	WP_153307116.1, WP_136807858.1, WP_136807855.1	Utg323152_376
OG0000180	WP_136808735.1	Utg323262_181, Utg323262_184
OG0000181	WP_136805363.1	Utg323316_243
OG0000182	WP_136807774.1, WP_136807316.1, WP_136810351.1, WP_136805293.1	Utg323392_153
OG0000183	WP_228723410.1	Utg323632_25
OG0000184	WP_228723354.1	Utg323392_66
OG0000184	WP_136808559.1	Utg324548_16
OG0000185	WP_136806361.1	Utg323152_69
OG0000185	WP_167506014.1	Utg323316_113
OG0000187	WP_136810561.1, WP_136810573.1	Utg323448_60, Utg323448_47
OG0000188	WP_136810267.1, WP_167506113.1, WP_136806774.1	Utg323300_307
OG0000189	WP_136806173.1	Utg323990_133
OG0000190	WP_136808190.1	Utg323262_17
OG0000190	WP_136807401.1	Utg323140_75
OG0000191	WP_136807662.1	Utg323180_105
OG0000191	WP_136808229.1	Utg323266_48
OG0000193	WP_167505947.1	Utg323392_230
OG0000193	WP_136805815.1	Utg323140_4, Utg323180_1
OG0000194	WP_136809374.1	Utg323160_22
OG0000194	WP_136809138.1	Utg323160_58, Utg323316_1
OG0000195	WP_136805518.1	Utg323180_690
OG0000196	WP_136806898.1	Utg323632_23
OG0000197	WP_136810539.1	Utg323448_28
OG0000197	WP_228723264.1	Utg323180_590
OG0000198	WP_136806413.1	Utg323152_174
OG0000199	WP_136807135.1	Utg323300_357
OG0000199	WP_136806350.1	Utg323152_198
OG0000200	WP_136809135.1	Utg323160_40
OG0000201	WP_136805810.1	Utg323180_6
OG0000202	WP_136805949.1	Utg325220_64, Utg323140_270
OG0000202	WP_136808168.1	Utg323300_104
OG0000203	WP_136807482.1	Utg323262_83, Utg323300_137
OG0000203	WP_136808157.1	Utg323262_67
OG0000204	WP_136807636.1	Utg323180_154
OG0000204	WP_136806859.1	Utg323180_449
OG0000205	WP_136806602.1	Utg323266_99
OG0000206	WP_275942864.1	Utg323180_81
OG0000207	WP_136809059.1, WP_167506005.1	Utg323266_113
OG0000208	WP_136809058.1, WP_136809431.1	Utg323266_114
OG0000209	WP_136806115.1	Utg323316_339
OG0000210	WP_136809249.1, WP_228723260.1	Utg323300_167
OG0000211	WP_136806117.1	Utg323140_182
OG0000212	WP_136808629.1	Utg324810_52
OG0000213	WP_136809857.1, WP_136808224.1	Utg323180_404
OG0000214	WP_136805223.1, WP_136805224.1	Utg323632_45
OG0000215	WP_136805384.1	Utg323152_476
OG0000215	WP_136805888.1	Utg324810_67
OG0000216	WP_136810393.1, WP_136810380.1	Utg323316_146
OG0000217	WP_136808462.1	Utg324548_25
OG0000217	WP_217909515.1	Utg323262_16
OG0000218	WP_136807454.1	Utg323632_371
OG0000219	WP_136810124.1	Utg323180_543
OG0000219	WP_228723302.1	Utg323300_291
OG0000220	WP_136806203.1	Utg323180_556
OG0000221	WP_136806708.1	Utg323180_504
OG0000222	WP_136807668.1, WP_176371617.1, WP_136810039.1	Utg323262_114
OG0000223	WP_136805449.1	Utg323392_219
OG0000223	WP_136809726.1	Utg323316_181
OG0000225	WP_136810492.1	Utg323152_460
OG0000226	WP_136808024.1	Utg323300_329
OG0000227	WP_136806844.1	Utg323632_351
OG0000228	WP_136805425.1	Utg323074_134
OG0000229	WP_167505752.1	Utg325220_87
OG0000230	WP_136808340.1	Utg323152_249
OG0000231	WP_136810846.1, WP_217909490.1	Utg323152_458
OG0000232	WP_136808671.1	Utg323152_484, Utg323152_485
OG0000233	WP_136807470.1	Utg323152_10
OG0000234	WP_136808391.1	Utg323990_146
OG0000235	WP_136806161.1	Utg323180_210
OG0000236	WP_136810455.1, WP_136810314.1	Utg323152_193
OG0000237	WP_136808645.1	Utg324810_62
OG0000237	WP_136808788.1	Utg323300_24
OG0000238	WP_136810428.1	Utg325220_109
OG0000238	WP_228723299.1	Utg323316_194
OG0000239	WP_136809165.1	Utg323266_22
OG0000239	WP_136805737.1, WP_136806443.1	Utg324548_14
OG0000240	WP_136809429.1, WP_136808195.1	Utg323152_13, Utg323180_454
OG0000241	WP_136808790.1	Utg324548_15
OG0000241	WP_167506075.1, WP_136808286.1	Utg323262_144
OG0000242	WP_136810242.1	Utg323152_279, Utg323632_279
OG0000242	WP_136807044.1	Utg323152_284
OG0000243	WP_167505957.1	Utg323266_94
OG0000243	WP_167506053.1	Utg323160_100
OG0000243	WP_136809228.1	Utg323160_101
OG0000244	WP_136808944.1	Utg323152_496
OG0000244	WP_136805598.1	Utg323180_143
OG0000246	WP_136810783.1	Utg323180_115, Utg323180_52
OG0000246	WP_217909539.1, WP_217909538.1	Utg323180_624
OG0000248	WP_136810636.1	Utg323140_188
OG0000249	WP_136809194.1	Utg323632_328
OG0000250	WP_136807876.1	Utg323152_330
OG0000252	WP_136806897.1	Utg323632_22
OG0000253	WP_136805098.1	Utg323632_102
OG0000255	WP_228723345.1	Utg323140_209
OG0000256	WP_136805221.1	Utg323632_47
OG0000257	WP_136805933.1	Utg323990_211
OG0000257	WP_136809111.1	Utg324810_19
OG0000258	WP_167505935.1	Utg323074_207, Utg323074_198
OG0000259	WP_136806277.1	Utg323990_75
OG0000260	WP_167506000.1	Utg323180_575
OG0000261	WP_136806180.1	Utg323990_127
OG0000262	WP_136806710.1	Utg323152_138, Utg323152_139
OG0000264	WP_136805621.1	Utg323262_53
OG0000264	WP_136807989.1	Utg323300_385
OG0000265	WP_136805218.1	Utg323262_60
OG0000265	WP_136807991.1	Utg323300_383
OG0000266	WP_136805215.1	Utg323262_57
OG0000266	WP_136808013.1	Utg323300_345
OG0000267	WP_136806456.1	Utg323316_169
OG0000268	WP_136810188.1	Utg323180_596
OG0000268	WP_136806647.1	Utg323180_274
OG0000269	WP_136810843.1	Utg323448_118
OG0000269	WP_136810842.1	Utg323448_117
OG0000270	WP_136810057.1	Utg323140_132
OG0000271	WP_136808782.1	Utg323266_111
OG0000273	WP_136809499.1	Utg323392_256
OG0000273	WP_136807712.1	Utg323448_108
OG0000274	WP_136805938.1	Utg323160_113
OG0000275	WP_136810708.1	Utg323074_158
OG0000276	WP_136805849.1	Utg323152_607, Utg323316_369, Utg323140_3
OG0000277	WP_228723287.1	Utg323990_162
OG0000278	WP_136806893.1	Utg323632_18
OG0000279	WP_136808740.1	Utg323632_270
OG0000279	WP_136810212.1, WP_136810218.1	Utg323152_269
OG0000280	WP_167506098.1	Utg323152_299
OG0000280	WP_136807903.1	Utg323152_300
OG0000281	WP_136807834.1, WP_136807353.1, WP_136805578.1, WP_275942851.1, WP_136807340.1, WP_136807388.1, WP_136807830.1	Utg323392_84
OG0000282	WP_136806172.1	Utg323262_154
OG0000283	WP_136808622.1	Utg324810_45
OG0000284	WP_136807131.1	Utg323300_134
OG0000285	WP_275942858.1	Utg324548_26
OG0000286	WP_136806181.1	Utg323990_126
OG0000288	WP_136810346.1	Utg323152_159
OG0000289	WP_136806123.1	Utg323392_229
OG0000290	WP_136806187.1	Utg323990_110
OG0000291	WP_136807599.1	Utg323152_390
OG0000292	WP_228723310.1	Utg323448_29
OG0000293	WP_136806901.1	Utg323632_26
OG0000295	WP_136808397.1	Utg323990_154
OG0000296	WP_136808009.1	Utg323180_360, Utg323140_32, Utg323300_349
OG0000297	WP_217909516.1	Utg323160_80, Utg323160_79
OG0000298	WP_136809427.1	Utg323316_112
OG0000299	WP_136806912.1	Utg323632_41
OG0000300	WP_136808630.1	Utg324810_53
OG0000301	WP_228723311.1	Utg323448_82
OG0000302	WP_136809335.1	Utg323266_31
OG0000303	WP_167506011.1, WP_136808520.1, WP_176371595.1, WP_136808411.1, WP_136808415.1	Utg323990_183
OG0000305	WP_136806209.1, WP_217909602.1, WP_228723314.1	Utg323990_250
OG0000306	WP_176371594.1, WP_136806938.1, WP_167505814.1, WP_136807048.1	Utg323152_287
OG0000307	WP_136806889.1	Utg323632_13
OG0000308	WP_136806896.1	Utg323632_21
OG0000309	WP_136808543.1	Utg323300_194
OG0000310	WP_167506100.1, WP_136810713.1	Utg323074_211
OG0000310	WP_136808920.1	Utg323074_190
OG0000311	WP_136808308.1	Utg323152_590
OG0000312	WP_136805146.1	Utg323632_141
OG0000313	WP_136810529.1	Utg323316_67
OG0000314	WP_136806894.1	Utg323632_19
OG0000315	WP_136808223.1, WP_136805330.1	Utg323160_50, Utg323262_195
OG0000316	WP_136806641.1	Utg323180_263
OG0000317	WP_136807549.1	Utg323180_167, Utg323152_149
OG0000317	WP_136806164.1	Utg323180_102
OG0000318	WP_136810099.1	Utg323316_214
OG0000319	WP_136809100.1	Utg323140_236
OG0000320	WP_136805834.1, WP_136805760.1, WP_136805596.1	Utg323300_402
OG0000321	WP_136810520.1	Utg323316_81
OG0000322	WP_136808694.1	Utg323074_213
OG0000323	WP_136810855.1	Utg323392_252
OG0000323	WP_136808320.1	Utg323074_32
OG0000324	WP_136808264.1	Utg323262_158
OG0000325	WP_136805196.1	Utg323140_86
OG0000325	WP_167505927.1	Utg323632_345
OG0000325	WP_167506007.1	Utg323632_283
OG0000326	WP_136808449.1	Utg323990_210
OG0000327	WP_136806378.1	Utg323152_563
OG0000328	WP_136809408.1, WP_167506004.1	Utg323074_89
OG0000329	WP_136806757.1	Utg323160_39
OG0000331	WP_136808291.1	Utg323074_59
OG0000332	WP_136806839.1	Utg323632_344, Utg323632_343
OG0000333	WP_136808004.1	Utg323300_359
OG0000334	WP_136809147.1	Utg323392_248, Utg323160_72
OG0000335	WP_167505898.1	Utg323300_388, Utg323300_389
OG0000336	WP_136806276.1	Utg323990_76
OG0000337	WP_136805472.1	Utg323632_59
OG0000338	WP_136808018.1	Utg323300_340
