Orthogroup	Desulfocapsa sulfexigens DSM 10523	Desulfovibrio vulgaris DP4
OG0000114	WP_015402582.1	WP_010938595.1
OG0000115	WP_015403910.1	WP_010939125.1
OG0000116	WP_015403565.1, WP_015403958.1	WP_011792225.1
OG0000117	WP_015403805.1	WP_011791710.1
OG0000117	WP_015403283.1, WP_015403159.1	WP_011791822.1
OG0000118	WP_015403282.1, WP_015403158.1	WP_011791821.1
OG0000118	WP_015403806.1	WP_011791711.1
OG0000119	WP_015402797.1	WP_011793090.1
OG0000121	WP_015403603.1, WP_041916370.1	WP_011787357.1
OG0000121	WP_015404050.1	WP_011791564.1
OG0000122	WP_015403700.1	WP_011792231.1
OG0000126	WP_015404803.1	WP_010940460.1
OG0000127	WP_015404182.1	WP_010937986.1
OG0000127	WP_015404183.1	WP_181409358.1
OG0000128	WP_015402505.1, WP_015405039.1	WP_011791538.1
OG0000130	WP_015402762.1	WP_223294580.1, WP_011176619.1
OG0000131	WP_153304997.1	WP_011791342.1
OG0000131	WP_015404061.1	WP_011792836.1, WP_010937626.1
OG0000132	WP_153305005.1	WP_010939230.1
OG0000133	WP_015403281.1, WP_228130062.1	WP_010938383.1
OG0000133	WP_228130048.1	WP_011791712.1
OG0000134	WP_015405212.1	WP_010938551.1
OG0000135	WP_015403944.1	WP_011791597.1
OG0000135	WP_015403834.1	WP_011792726.1
OG0000136	WP_015405013.1	WP_049758095.1
OG0000136	WP_015405352.1	WP_223294604.1
OG0000137	WP_015403804.1	WP_010939936.1
OG0000141	WP_228130036.1	WP_011791661.1
OG0000142	WP_015404601.1	WP_011792996.1
OG0000143	WP_015402714.1	WP_011792337.1
OG0000144	WP_015404757.1	WP_011792804.1, WP_010938541.1
OG0000145	WP_015404615.1, WP_015402384.1	WP_043629618.1
OG0000149	WP_015404202.1	WP_011791559.1
OG0000150	WP_015404955.1, WP_015404102.1, WP_015403878.1	WP_010939076.1
OG0000152	WP_015402381.1	WP_011792323.1
OG0000152	WP_015402374.1	WP_010940001.1
OG0000153	WP_015402914.1	WP_010940352.1
OG0000154	WP_015403217.1	WP_011792501.1
OG0000155	WP_015404997.1	WP_010938876.1
OG0000159	WP_015403779.1	WP_010939223.1
OG0000159	WP_015405738.1	WP_011793043.1
OG0000160	WP_015402570.1	WP_010939839.1
OG0000161	WP_015403558.1	WP_011791997.1
OG0000162	WP_041916377.1	WP_010938840.1, WP_011792479.1, WP_011791513.1
OG0000163	WP_015403342.1, WP_015404356.1	WP_010940363.1
OG0000164	WP_015403628.1	WP_011791450.1
OG0000166	WP_015405604.1	WP_011791768.1
OG0000167	WP_015404889.1	WP_010937731.1
OG0000168	WP_015403840.1	WP_010937578.1, WP_010937835.1, WP_010939250.1, WP_010939253.1
OG0000169	WP_015404816.1	WP_011792420.1
OG0000170	WP_015403919.1	WP_011792245.1
OG0000172	WP_015404511.1	WP_011791937.1
OG0000173	WP_015403640.1, WP_015403433.1	WP_010939858.1
OG0000174	WP_015402361.1	WP_011792674.1
OG0000174	WP_015403695.1	WP_010938157.1
OG0000179	WP_015403164.1	WP_010938734.1, WP_010939715.1, WP_010939359.1
OG0000180	WP_052326988.1, WP_015403309.1	WP_011792418.1, WP_010937666.1, WP_010938677.1
OG0000181	WP_015404063.1, WP_015405574.1	WP_043629990.1
OG0000183	WP_208598531.1	WP_011791957.1
OG0000184	WP_015403677.1	WP_010940610.1
OG0000185	WP_015405172.1	WP_081428874.1
OG0000185	WP_015404124.1	WP_011791484.1
OG0000187	WP_015404268.1	WP_010940180.1
OG0000188	WP_015403875.1	WP_011791809.1
OG0000189	WP_015404553.1	WP_011791869.1
OG0000191	WP_015402923.1, WP_015403618.1	WP_010938461.1
OG0000193	WP_015402732.1	WP_010939362.1
OG0000194	WP_015402613.1	WP_011787414.1
OG0000194	WP_015403363.1	WP_010939235.1
OG0000195	WP_167320713.1, WP_015402308.1	WP_011791944.1
OG0000196	WP_015405758.1	WP_011791954.1
OG0000199	WP_015403925.1, WP_015405043.1	WP_011792175.1
OG0000200	WP_015405573.1	WP_011176580.1
OG0000201	WP_015402726.1	WP_011791421.1, WP_011792846.1
OG0000202	WP_015403041.1, WP_015403516.1	WP_011793009.1
OG0000203	WP_015403624.1	WP_011791587.1
OG0000203	WP_015405501.1	WP_011791454.1
OG0000204	WP_167320750.1, WP_041916292.1	WP_011793045.1
OG0000205	WP_052326952.1	WP_010937341.1
OG0000209	WP_015403972.1	WP_011792598.1
OG0000210	WP_153304845.1	WP_010937439.1, WP_014524330.1
OG0000211	WP_015402955.1	WP_011791766.1, WP_011787346.1, WP_011792255.1
OG0000213	WP_015402864.1, WP_015404619.1	WP_223294656.1
OG0000214	WP_015403656.1	WP_011793117.1, WP_011793116.1
OG0000215	WP_015403395.1	WP_010937992.1
OG0000216	WP_015403304.1	WP_010938636.1
OG0000216	WP_015404094.1	WP_011793129.1
OG0000217	WP_015404433.1	WP_010939133.1
OG0000218	WP_015405521.1, WP_015403719.1, WP_015403718.1	WP_010938558.1
OG0000219	WP_015403862.1	WP_014524381.1
OG0000221	WP_015402390.1	WP_011792772.1
OG0000222	WP_015404363.1	WP_011791920.1, WP_223294689.1
OG0000223	WP_015404744.1	WP_010938648.1
OG0000225	WP_228130059.1, WP_015402983.1, WP_153304792.1	WP_010939784.1
OG0000226	WP_015403895.1	WP_010939105.1, WP_010939106.1
OG0000227	WP_015405532.1	WP_011792871.1
OG0000228	WP_015404722.1	WP_011792579.1
OG0000229	WP_015405258.1	WP_011792120.1
OG0000230	WP_015405214.1	WP_010939852.1
OG0000232	WP_015404828.1	WP_011791500.1
OG0000232	WP_228130015.1	WP_011791499.1
OG0000233	WP_015405001.1	WP_010938704.1
OG0000234	WP_015404541.1	WP_014524184.1, WP_010939427.1
OG0000235	WP_015402571.1	WP_010939791.1
OG0000235	WP_015403933.1	WP_010938191.1
OG0000237	WP_015403027.1, WP_015403550.1	WP_011792782.1, WP_011792427.1
OG0000240	WP_015404338.1	WP_043629138.1, WP_010938105.1, WP_043629997.1, WP_011792780.1, WP_011792799.1
OG0000242	WP_015405234.1, WP_015404444.1, WP_015405245.1	WP_011792730.1
OG0000243	WP_015404772.1	WP_010940402.1
OG0000244	WP_015404822.1	WP_010940229.1
OG0000248	WP_015402961.1	WP_010938759.1
OG0000250	WP_015405307.1	WP_011791427.1, WP_010939149.1
OG0000253	WP_015405687.1	WP_011791802.1, WP_011791801.1
OG0000256	WP_015403654.1	WP_011793118.1
OG0000257	WP_015404474.1, WP_015403400.1	WP_011791929.1
OG0000258	WP_041916466.1	WP_010939337.1
OG0000259	WP_015404586.1	WP_011792770.1
OG0000260	WP_015402947.1	WP_010939132.1
OG0000261	WP_015404558.1	WP_011792785.1
OG0000263	WP_015403031.1	WP_223294628.1
OG0000264	WP_015403248.1, WP_015403956.1	WP_010938076.1
OG0000265	WP_015403241.1, WP_015403954.1	WP_010938078.1
OG0000266	WP_015403244.1, WP_015403914.1	WP_010938217.1
OG0000268	WP_228130027.1, WP_015402508.1	WP_011792764.1
OG0000270	WP_015403162.1	WP_010937324.1
OG0000271	WP_015402792.1	WP_010940288.1
OG0000272	WP_015403141.1, WP_015403406.1, WP_015404095.1, WP_015403606.1	WP_010938742.1
OG0000273	WP_015404326.1	WP_010938516.1
OG0000274	WP_015403324.1	WP_043629524.1
OG0000275	WP_015404634.1	WP_011787355.1
OG0000275	WP_015404486.1	WP_011176658.1
OG0000277	WP_015404536.1	WP_011791810.1
OG0000278	WP_015405763.1, WP_015405123.1	WP_011791959.1
OG0000280	WP_015405279.1, WP_015405280.1	WP_010937609.1
OG0000284	WP_015403619.1	WP_011792788.1
OG0000285	WP_015404434.1	WP_010940031.1
OG0000286	WP_015404559.1	WP_011792784.1
OG0000287	WP_015402629.1	WP_010937317.1
OG0000288	WP_015405114.1	WP_011792198.1
OG0000290	WP_015404568.1	WP_011791783.1
OG0000291	WP_015404986.1	WP_010939194.1
OG0000292	WP_228130008.1	WP_011792092.1
OG0000294	WP_015403030.1	WP_011791660.1
OG0000296	WP_015403918.1	WP_010940232.1, WP_010939150.1
OG0000297	WP_015403344.1	WP_011792575.1
OG0000299	WP_015403320.1, WP_015405743.1	WP_011791465.1
OG0000300	WP_015403426.1	WP_010939567.1, WP_010939601.1
OG0000301	WP_228130009.1	WP_011792454.1
OG0000302	WP_015402586.1	WP_011791854.1
OG0000309	WP_015403758.1	WP_010937603.1
OG0000310	WP_015404633.1	WP_011787359.1
OG0000311	WP_265588653.1, WP_015405461.1, WP_208598473.1	WP_010937595.1
OG0000312	WP_015405651.1	WP_011793105.1
OG0000316	WP_015402519.1	WP_043629054.1
OG0000320	WP_015403444.1	WP_011792826.1
OG0000323	WP_015404848.1	WP_011791621.1
OG0000326	WP_041916402.1	WP_011792611.1
OG0000327	WP_228130085.1	WP_010937853.1
OG0000331	WP_015405475.1	WP_043629609.1
OG0000332	WP_015405537.1	WP_011791449.1
OG0000333	WP_015403733.1, WP_015403934.1	WP_011792647.1
OG0000335	WP_015403959.1	WP_011791909.1
OG0000336	WP_015404585.1	WP_010937968.1
OG0000338	WP_015403909.1	WP_010939124.1
OG0000339	WP_015403039.1, WP_015405469.1	WP_011791786.1
OG0000340	WP_015403067.1	WP_010938005.1
OG0000341	WP_015405804.1	WP_011791904.1
OG0000343	WP_015405688.1	WP_011791800.1
OG0000344	WP_015404093.1, WP_015403303.1	WP_011792447.1
OG0000345	WP_015403061.1	WP_010938967.1
OG0000348	WP_015403564.1, WP_015403065.1	WP_011791623.1
OG0000349	WP_015404560.1	WP_011792783.1
OG0000352	WP_015405787.1, WP_015403877.1	WP_010939077.1
OG0000353	WP_015404899.1	WP_010939841.1
OG0000354	WP_015402685.1, WP_015405718.1, WP_208598493.1	WP_010938317.1
OG0000355	WP_015402391.1	WP_011792771.1
OG0000356	WP_015405042.1	WP_010939497.1
OG0000357	WP_015402963.1, WP_015404499.1	WP_011792314.1
OG0000358	WP_015405066.1, WP_015403098.1	WP_011792626.1
OG0000359	WP_015402603.1	WP_011791553.1
OG0000360	WP_015404165.1	WP_010938090.1
OG0000361	WP_015404787.1	WP_010938503.1
OG0000364	WP_015404331.1, WP_015403401.1, WP_015402587.1	WP_011792640.1
OG0000365	WP_015402606.1, WP_015402769.1	WP_010939592.1, WP_010937330.1
OG0000366	WP_015402662.1	WP_011791409.1, WP_011791408.1
OG0000367	WP_015402768.1	WP_011791518.1
OG0000369	WP_015402969.1	WP_010940010.1
OG0000375	WP_015403480.1, WP_015403509.1	WP_011791652.1
OG0000376	WP_015405664.1	WP_011792547.1
OG0000379	WP_015404447.1	WP_010938720.1, WP_010940036.1
OG0000380	WP_041916449.1, WP_015404622.1	WP_010939093.1
OG0000381	WP_015405078.1, WP_208598490.1	WP_011791991.1
OG0000382	WP_015405295.1	WP_010937943.1, WP_010939504.1, WP_011793167.1
OG0000384	WP_015405623.1	WP_010937551.1
OG0000388	WP_015404792.1	WP_010938501.1
OG0000389	WP_015403093.1	WP_010940621.1
OG0000390	WP_015405129.1	WP_010937704.1, WP_010937714.1
OG0000391	WP_015405595.1	WP_010939193.1
OG0000392	WP_015402960.1, WP_015403130.1	WP_011791927.1
OG0000393	WP_015405397.1	WP_011792321.1
OG0000394	WP_015405620.1	WP_011792428.1
OG0000395	WP_015404600.1	WP_011791505.1
OG0000396	WP_015404016.1	WP_011792627.1
OG0000397	WP_153305021.1	WP_010937773.1
OG0000398	WP_015404034.1	WP_011792462.1
OG0000399	WP_015404853.1	WP_010937883.1
OG0000400	WP_015404727.1	WP_011791616.1
OG0000401	WP_015404176.1	WP_010939095.1
OG0000402	WP_015404651.1	WP_011791561.1
OG0000403	WP_015404778.1	WP_011792485.1
OG0000407	WP_015403831.1	WP_011792056.1
OG0000408	WP_015404015.1	WP_011792429.1
OG0000409	WP_015405028.1	WP_011792140.1
OG0000410	WP_015405264.1, WP_015402353.1	WP_010937473.1
OG0000413	WP_015403446.1	WP_010937629.1
OG0000414	WP_015403280.1, WP_015403160.1	WP_010938768.1, WP_011792538.1
OG0000415	WP_015402809.1, WP_015402798.1	WP_011793093.1
OG0000418	WP_015405752.1	WP_011792638.1
OG0000419	WP_015404566.1	WP_011791482.1
OG0000420	WP_167320749.1	WP_011792487.1
OG0000422	WP_015404018.1	WP_011792752.1
OG0000423	WP_015405222.1	WP_011793124.1
OG0000424	WP_015404172.1	WP_011792329.1
OG0000425	WP_015405708.1	WP_010940414.1
OG0000427	WP_015404262.1, WP_015402929.1	WP_258312758.1
OG0000428	WP_015404780.1	WP_010938540.1
OG0000431	WP_015403546.1	WP_011792086.1
OG0000433	WP_015403967.1	WP_011793177.1
OG0000436	WP_015404648.1, WP_015404652.1, WP_015405333.1	WP_011792988.1
OG0000439	WP_015404902.1	WP_010939842.1
OG0000440	WP_015404953.1	WP_011791680.1
OG0000441	WP_015404988.1	WP_043629623.1
OG0000443	WP_015405092.1	WP_010939164.1
OG0000444	WP_015405195.1	WP_014524613.1
OG0000445	WP_015405275.1	WP_223294686.1
OG0000446	WP_015405294.1	WP_010937614.1, WP_010938736.1
OG0000448	WP_015405454.1	WP_010937854.1
OG0000449	WP_015405463.1	WP_011792406.1
OG0000457	WP_208598499.1	WP_011791333.1
OG0000458	WP_015405560.1	WP_011792053.1
OG0000459	WP_015405044.1	WP_010940242.1
OG0000460	WP_015405601.1	WP_043629230.1
OG0000461	WP_015402359.1	WP_010938112.1
OG0000462	WP_015404782.1	WP_011792486.1
OG0000463	WP_015405449.1	WP_011792431.1
OG0000465	WP_015404108.1	WP_010938458.1, WP_011792597.1, WP_014524374.1
OG0000466	WP_015404099.1	WP_010939080.1
OG0000467	WP_015403423.1	WP_010937632.1
OG0000468	WP_015405442.1	WP_011792746.1
OG0000469	WP_015403908.1	WP_011792195.1
OG0000470	WP_015405629.1	WP_011792673.1
OG0000471	WP_015402724.1	WP_010937702.1
OG0000472	WP_015404576.1	WP_011791932.1
OG0000473	WP_265588642.1	WP_010939210.1
OG0000474	WP_015405340.1	WP_043629567.1
OG0000475	WP_015403842.1	WP_011791402.1
OG0000476	WP_015404168.1	WP_011792707.1
OG0000477	WP_015404008.1	WP_011791415.1
OG0000478	WP_015404092.1, WP_015403302.1	WP_011792446.1
OG0000479	WP_015405193.1	WP_011791861.1, WP_010940359.1
OG0000480	WP_015404302.1	WP_010937325.1, WP_010939491.1
OG0000481	WP_015404083.1	WP_219995814.1
OG0000482	WP_015403548.1	WP_010937881.1
OG0000484	WP_015403760.1	WP_011791338.1
OG0000485	WP_015405192.1	WP_011791862.1, WP_010940358.1
OG0000486	WP_015404881.1	WP_011792689.1
OG0000487	WP_015405027.1	WP_010938229.1
OG0000488	WP_015403375.1	WP_010938489.1
OG0000489	WP_228130021.1	WP_010938975.1
OG0000490	WP_015402294.1	WP_010937352.1
OG0000491	WP_015404713.1	WP_011791780.1
OG0000492	WP_041916554.1	WP_011792326.1
OG0000493	WP_015403885.1	WP_011791776.1, WP_011792197.1
OG0000494	WP_015403661.1	WP_011792051.1
OG0000495	WP_015405099.1	WP_043629742.1
OG0000496	WP_015405733.1	WP_011791907.1
OG0000497	WP_015405614.1	WP_011791930.1
OG0000498	WP_015405613.1	WP_223294660.1
OG0000500	WP_015404321.1	WP_011792097.1
OG0000501	WP_015403989.1	WP_010938312.1
OG0000502	WP_015405045.1	WP_011791592.1
OG0000503	WP_015403102.1	WP_011792249.1
OG0000504	WP_015405265.1, WP_015402354.1	WP_010940372.1
OG0000506	WP_153305003.1, WP_015404813.1	WP_010940239.1
OG0000507	WP_015402706.1	WP_011792008.1, WP_011792327.1
OG0000508	WP_015403578.1	WP_011792359.1
OG0000509	WP_015403345.1	WP_011792698.1
OG0000510	WP_015402412.1	WP_011787353.1
OG0000511	WP_015403968.1	WP_010938955.1
OG0000512	WP_015404854.1	WP_010937769.1
OG0000513	WP_015403843.1	WP_011791403.1
OG0000514	WP_015405704.1	WP_011791911.1
OG0000516	WP_015402358.1	WP_011793110.1
OG0000517	WP_015403261.1, WP_015404355.1	WP_010939622.1
OG0000518	WP_015402512.1	WP_223294635.1, WP_014524349.1
OG0000520	WP_015405376.1	WP_010937630.1
OG0000521	WP_015405139.1	WP_010938037.1
OG0000522	WP_015405032.1	WP_011792155.1
OG0000523	WP_015404736.1	WP_010938645.1
OG0000524	WP_015403357.1	WP_010937314.1
OG0000526	WP_015402518.1	WP_011791368.1
OG0000528	WP_167320734.1	WP_011791718.1
OG0000529	WP_015403920.1	WP_011791940.1
OG0000530	WP_015405633.1	WP_164561900.1
OG0000531	WP_015404567.1	WP_011793151.1
OG0000532	WP_015404539.1	WP_010940501.1
OG0000533	WP_015403868.1	WP_011792113.1
OG0000534	WP_015402863.1, WP_015405596.1	WP_010938822.1
OG0000535	WP_015402664.1	WP_011792779.1
OG0000536	WP_015403275.1	WP_010940049.1
OG0000537	WP_015405017.1	WP_010938258.1
OG0000538	WP_015403076.1	WP_010939273.1
OG0000539	WP_015402679.1	WP_011792109.1
OG0000540	WP_015404471.1	WP_043629788.1
OG0000542	WP_015403888.1	WP_011793103.1, WP_011792943.1
OG0000543	WP_015405132.1	WP_011792874.1
OG0000544	WP_015403427.1	WP_010939602.1
OG0000545	WP_015404963.1, WP_015402736.1	WP_010939218.1
OG0000546	WP_015402951.1	WP_081428870.1
OG0000548	WP_015403059.1	WP_010938966.1
OG0000549	WP_015405349.1	WP_011792519.1
OG0000550	WP_015405518.1	WP_011791414.1
OG0000551	WP_015402319.1	WP_011791394.1
OG0000553	WP_015403748.1, WP_015402607.1, WP_015403152.1	WP_010940353.1
OG0000555	WP_015402671.1	WP_010938859.1
OG0000556	WP_015405411.1, WP_015404875.1	WP_010940534.1
OG0000556	WP_015402888.1	WP_010940368.1
OG0000558	WP_015402992.1	WP_010938694.1
OG0000560	WP_015403201.1	WP_011791495.1
OG0000561	WP_015403206.1	WP_011792559.1
OG0000562	WP_015405527.1, WP_015403366.1, WP_041916336.1, WP_052326966.1	WP_011792500.1
OG0000563	WP_015403725.1	WP_223294661.1
OG0000566	WP_015403945.1	WP_011792887.1, WP_011792888.1
OG0000568	WP_041916977.1, WP_015405137.1	WP_010940570.1
OG0000569	WP_015405528.1	WP_011792578.1, WP_010938457.1
OG0000570	WP_015405597.1	WP_011792432.1
OG0000571	WP_083907217.1	WP_011792452.1
OG0000575	WP_015404467.1, WP_015402962.1	WP_011792315.1
OG0000576	WP_015403169.1	WP_010938916.1
OG0000577	WP_041916988.1	WP_010939126.1
OG0000578	WP_015403356.1	WP_011791317.1
OG0000579	WP_015403343.1	WP_011792576.1
OG0000580	WP_015402309.1	WP_010938909.1
OG0000581	WP_015404269.1	WP_010940182.1
OG0000582	WP_015402739.1	WP_010938185.1
OG0000583	WP_015404258.1	WP_011792506.1
OG0000584	WP_015403998.1	WP_010938376.1
OG0000585	WP_015403997.1	WP_010938375.1
OG0000586	WP_083907252.1	WP_010938373.1
OG0000587	WP_015405003.1	WP_011791757.1
OG0000588	WP_015403991.1	WP_011793193.1
OG0000589	WP_015405457.1	WP_010940177.1
OG0000590	WP_015404022.1	WP_011792493.1
OG0000591	WP_015402953.1	WP_010939154.1
OG0000592	WP_015405213.1	WP_010937795.1
OG0000593	WP_015405693.1	WP_010939717.1
OG0000594	WP_015403879.1	WP_011792105.1
OG0000595	WP_015404537.1	WP_043629095.1
OG0000596	WP_015405048.1	WP_010939198.1
OG0000597	WP_015405100.1	WP_010938825.1
OG0000598	WP_015405690.1	WP_010939782.1
OG0000599	WP_015405020.1	WP_010938256.1
OG0000600	WP_015402515.1	WP_011793123.1
OG0000601	WP_015402958.1	WP_011792532.1
OG0000602	WP_015405103.1	WP_010939199.1
OG0000603	WP_015404575.1	WP_010939174.1
OG0000604	WP_015402715.1	WP_223294672.1
OG0000605	WP_083907155.1	WP_011792614.1
OG0000606	WP_228130038.1	WP_010938095.1
OG0000607	WP_167320733.1	WP_043629197.1
OG0000608	WP_228130026.1	WP_010938113.1
OG0000609	WP_228130078.1	WP_010939740.1
OG0000610	WP_015404319.1	WP_043629734.1
OG0000611	WP_015405215.1	WP_010940503.1
