Orthogroup	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_13_biocide
OG0000013	WP_015402979.1	Utg864866_75
OG0000013	WP_015404369.1	Utg863716_117
OG0000014	WP_015403048.1	Utg859076_41
OG0000014	WP_015403432.1	Utg861744_121, Utg861744_120
OG0000015	WP_015404994.1	Utg859388_25
OG0000015	WP_015405754.1	Utg862138_18
OG0000015	WP_015403214.1	Utg864866_65
OG0000016	WP_015405281.1	Utg859098_114
OG0000018	WP_015405040.1	Utg859098_213
OG0000018	WP_015404684.1	Utg860006_167
OG0000019	WP_015403161.1	Utg864866_31
OG0000019	WP_015403047.1	Utg859076_43
OG0000020	WP_015405231.1	Utg859098_133
OG0000020	WP_015404437.1	Utg866558_48
OG0000020	WP_015405244.1	Utg859098_147
OG0000020	WP_015404863.1	Utg857152_214
OG0000020	WP_015403536.1	Utg857300_36
OG0000021	WP_015405210.1	Utg859098_363
OG0000022	WP_015402646.1	Utg863716_101
OG0000022	WP_015405396.1	Utg859388_124
OG0000023	WP_015403473.1	Utg860814_168
OG0000023	WP_015403474.1	Utg860814_169
OG0000024	WP_015405350.1	Utg863716_104
OG0000024	WP_015402478.1	Utg859098_279
OG0000025	WP_015403272.1	Utg857300_39
OG0000025	WP_015403667.1	Utg860814_248
OG0000025	WP_015405643.1	Utg857046_69, Utg857046_70, Utg860814_224
OG0000025	WP_015405536.1	Utg859098_288, Utg859098_275, Utg864866_19
OG0000025	WP_041916396.1	Utg857046_255, Utg860814_14, Utg857994_30, Utg858432_70
OG0000026	WP_015403451.1	Utg864866_112
OG0000026	WP_015403942.1	Utg857152_94
OG0000027	WP_083907219.1	Utg857300_35
OG0000027	WP_265588650.1	Utg859388_156
OG0000027	WP_228130054.1	Utg863716_16
OG0000028	WP_015404516.1	Utg860006_30
OG0000028	WP_015405200.1	Utg864866_102
OG0000030	WP_015403340.1	Utg861744_16
OG0000031	WP_015404265.1	Utg857490_1
OG0000031	WP_015405368.1	Utg859388_158
OG0000032	WP_015404858.1	Utg857046_236
OG0000032	WP_015403973.1	Utg857046_252
OG0000032	WP_015403541.1	Utg857300_30
OG0000033	WP_015403598.1	Utg860814_171
OG0000034	WP_015404767.1	Utg859388_40, Utg859388_39
OG0000035	WP_015402576.1	Utg863716_35
OG0000035	WP_015404344.1	Utg857076_40
OG0000035	WP_015403874.1	Utg857152_33
OG0000037	WP_015404949.1, WP_015404462.1	Utg858494_24, Utg858494_27, Utg858494_13
OG0000038	WP_015404535.1	Utg860006_50
OG0000038	WP_015402313.1	Utg860814_278
OG0000038	WP_015402314.1	Utg860814_277
OG0000039	WP_015405087.1	Utg857046_262, Utg859098_367
OG0000040	WP_015404697.1	Utg857994_193
OG0000040	WP_015404696.1	Utg860814_311
OG0000040	WP_015403788.1	Utg859098_48
OG0000040	WP_015404594.1	Utg860006_147
OG0000041	WP_015403613.1	Utg857046_101
OG0000042	WP_041916557.1	Utg857152_197
OG0000042	WP_015403963.1	Utg857152_116
OG0000042	WP_015404842.1	Utg859236_105
OG0000043	WP_015402371.1	Utg859236_121, Utg860814_118
OG0000043	WP_015402367.1	Utg860814_180
OG0000046	WP_015402438.1	Utg860006_158
OG0000046	WP_015405008.1	Utg859098_176
OG0000046	WP_015404864.1	Utg857152_215
OG0000047	WP_015405593.1	Utg858432_158, Utg857046_163
OG0000047	WP_015404707.1	Utg857994_168
OG0000048	WP_015404100.1	Utg857046_28
OG0000049	WP_015404873.1	Utg857152_93
OG0000050	WP_015403568.1	Utg859076_1, Utg860006_111
OG0000050	WP_015403562.1	Utg859076_7
OG0000051	WP_015404005.1	Utg857046_216
OG0000051	WP_153304915.1	Utg859388_160
OG0000052	WP_015405485.1	Utg857994_129
OG0000053	WP_015404739.1	Utg859388_13
OG0000053	WP_015405788.1	Utg859432_19
OG0000053	WP_228130071.1	Utg857046_30
OG0000055	WP_015405217.1	Utg859098_163
OG0000057	WP_015403138.1	Utg859098_394, Utg859982_23, Utg859098_431, Utg864866_2
OG0000058	WP_015402352.1	Utg860814_210
OG0000058	WP_015405249.1	Utg859098_128
OG0000058	WP_015404440.1	Utg866558_45
OG0000058	WP_015405240.1	Utg859098_142
OG0000058	WP_015403671.1	Utg860814_129
OG0000059	WP_015403273.1	Utg859098_365
OG0000060	WP_015403496.1	Utg857300_57
OG0000060	WP_015404589.1	Utg860006_140, Utg860006_141
OG0000061	WP_015402468.1	Utg859076_31
OG0000062	WP_041916419.1	Utg859388_55
OG0000063	WP_015405546.1	Utg857992_35
OG0000063	WP_015404799.1	Utg859388_77
OG0000064	WP_015404547.1	Utg860006_63
OG0000064	WP_015402710.1	Utg859750_77
OG0000065	WP_015402775.1	Utg864866_69
OG0000065	WP_015402731.1	Utg859750_21
OG0000067	WP_015404777.1	Utg859388_56
OG0000069	WP_015404352.1	Utg857076_29
OG0000070	WP_015405051.1	Utg859098_224
OG0000070	WP_015404487.1, WP_228130013.1	Utg860006_144
OG0000071	WP_015405451.1	Utg859982_10
OG0000071	WP_015402375.1	Utg860814_115
OG0000072	WP_015405452.1	Utg859982_9
OG0000072	WP_015402376.1	Utg860814_114
OG0000073	WP_015405086.1	Utg861744_37
OG0000073	WP_015402677.1	Utg863716_115
OG0000073	WP_015402482.1	Utg860814_62
OG0000073	WP_015403799.1, WP_167320698.1, WP_015402435.1	Utg864866_41
OG0000075	WP_015403341.1	Utg861744_17
OG0000076	WP_015405226.1	Utg859098_152
OG0000077	WP_015404715.1	Utg857994_161
OG0000078	WP_015404958.1	Utg859982_201, Utg859982_200
OG0000078	WP_015402312.1	Utg860814_279
OG0000078	WP_015403864.1	Utg857152_21
OG0000079	WP_015402977.1	Utg861744_10
OG0000079	WP_015405417.1	Utg859750_81
OG0000079	WP_015404623.1	Utg860006_159
OG0000082	WP_015404747.1	Utg859388_21
OG0000082	WP_015405296.1	Utg859098_98
OG0000085	WP_153304855.1	Utg860814_319, Utg860814_167
OG0000086	WP_015403683.1	Utg860006_109
OG0000087	WP_015402777.1	Utg864866_67
OG0000087	WP_015404821.1	Utg859982_51
OG0000087	WP_015405668.1	Utg858432_79
OG0000088	WP_015405225.1	Utg859098_153
OG0000091	WP_015402418.1	Utg860814_64
OG0000091	WP_015404791.1	Utg859388_68
OG0000092	WP_015402386.1	Utg860814_99
OG0000093	WP_015402704.1	Utg859750_86
OG0000094	WP_015404230.1	Utg858494_66
OG0000094	WP_015404703.1	Utg857994_186
OG0000095	WP_015403025.1	Utg857152_143
OG0000095	WP_265588636.1	Utg860006_150
OG0000096	WP_015405356.1	Utg858498_18
OG0000097	WP_015404820.1	Utg859982_50, Utg859982_49
OG0000097	WP_015403348.1	Utg861744_24
OG0000098	WP_015402377.1	Utg860814_113
OG0000098	WP_015405453.1	Utg859982_8
OG0000099	WP_015403552.1	Utg860814_91
OG0000099	WP_015403528.1	Utg860814_85
OG0000101	WP_228130039.1	Utg865370_31
OG0000101	WP_015403666.1	Utg859750_57
OG0000102	WP_015405674.1	Utg858432_73
OG0000103	WP_015404021.1	Utg857046_198
OG0000104	WP_228130081.1	Utg857994_15
OG0000104	WP_015403990.1	Utg857046_251
OG0000105	WP_015404793.1	Utg859388_70
OG0000105	WP_015402408.1	Utg860814_77
OG0000106	WP_015403625.1	Utg857076_51, Utg857300_18
OG0000106	WP_015404007.1	Utg857046_214
OG0000107	WP_153304789.1	Utg857682_17, Utg857682_16
OG0000107	WP_052326938.1	Utg860814_263, Utg860814_264
OG0000108	WP_015405353.1	Utg858498_15
OG0000108	WP_015402336.1	Utg860814_242
OG0000109	WP_015405434.1, WP_015405438.1, WP_265588654.1	Utg861448_27
OG0000110	WP_015405228.1	Utg859098_150
OG0000112	WP_015403936.1	Utg857152_85
OG0000113	WP_015404088.1	Utg857046_73
OG0000114	WP_015404279.1	Utg858494_132
OG0000114	WP_015402582.1	Utg863716_30
OG0000115	WP_015403910.1	Utg857152_65
OG0000115	WP_015404572.1	Utg860006_127
OG0000116	WP_015403565.1, WP_015403958.1	Utg857152_111
OG0000117	WP_015403805.1	Utg857046_88
OG0000117	WP_015403159.1	Utg864866_33
OG0000118	WP_015403158.1	Utg864866_34
OG0000118	WP_015403806.1	Utg857046_89
OG0000121	WP_015403603.1, WP_041916370.1	Utg857994_106
OG0000121	WP_015404050.1	Utg857994_195
OG0000122	WP_015403700.1	Utg857076_48
OG0000123	WP_015405227.1	Utg859098_151
OG0000126	WP_015404803.1	Utg859388_82
OG0000127	WP_015404182.1, WP_015404183.1	Utg857490_17
OG0000128	WP_015402505.1	Utg863716_100
OG0000128	WP_015405039.1	Utg859098_212
OG0000129	WP_015402307.1	Utg860814_286
OG0000130	WP_015402762.1	Utg864866_91, Utg857992_39
OG0000131	WP_153304997.1	Utg857994_138
OG0000131	WP_015404061.1	Utg859236_14
OG0000132	WP_153305005.1	Utg859098_255
OG0000133	WP_228130062.1	Utg864866_36
OG0000133	WP_228130048.1	Utg857046_90
OG0000134	WP_015402789.1	Utg864866_54
OG0000134	WP_015405212.1	Utg859098_168
OG0000135	WP_015403944.1	Utg857152_96
OG0000136	WP_015405013.1	Utg859098_181
OG0000136	WP_015405352.1	Utg858498_14
OG0000137	WP_015403804.1	Utg857046_87
OG0000137	WP_015403527.1	Utg860814_175, Utg858432_69, Utg857994_122, Utg860814_174, Utg859982_120
OG0000141	WP_228130036.1	Utg857682_146
OG0000142	WP_015404601.1	Utg860814_204
OG0000142	WP_015405517.1	Utg861448_10, Utg861448_11
OG0000143	WP_015402647.1	Utg864866_105
OG0000143	WP_015402714.1	Utg859750_71
OG0000144	WP_015404757.1	Utg859388_32
OG0000144	WP_015404779.1	Utg859388_58
OG0000145	WP_015402384.1	Utg860814_101
OG0000147	WP_015404800.1	Utg859388_78
OG0000149	WP_015404202.1	Utg857300_12
OG0000150	WP_015404955.1	Utg859982_197
OG0000150	WP_015404102.1	Utg857046_26
OG0000150	WP_015403878.1	Utg857152_38
OG0000151	WP_015404064.1	Utg857046_167
OG0000152	WP_015402381.1	Utg860814_109
OG0000152	WP_015402374.1	Utg860814_116
OG0000154	WP_015403217.1	Utg865370_5
OG0000155	WP_015404997.1	Utg859098_381
OG0000155	WP_015404996.1	Utg859098_382
OG0000158	WP_015403712.1	Utg859098_391
OG0000159	WP_208598504.1, WP_015404336.1, WP_015403472.1, WP_015403779.1, WP_015405738.1	Utg857994_88
OG0000160	WP_015402570.1	Utg863716_47
OG0000162	WP_041916377.1	Utg857046_72
OG0000163	WP_015403342.1	Utg861744_18
OG0000163	WP_015404356.1	Utg857076_25
OG0000164	WP_015403628.1	Utg857300_2
OG0000165	WP_015402948.1	Utg859432_36
OG0000166	WP_015405604.1	Utg858432_139
OG0000166	WP_015404252.1	Utg861744_93
OG0000167	WP_015404889.1	Utg859982_154
OG0000169	WP_015404816.1	Utg859982_43
OG0000170	WP_015403919.1	Utg857152_75
OG0000171	WP_015404886.1	Utg859982_151
OG0000171	WP_015404887.1	Utg859982_152
OG0000172	WP_015404511.1	Utg860006_25
OG0000173	WP_015403433.1	Utg861744_119
OG0000174	WP_015402361.1	Utg860814_189
OG0000175	WP_208598472.1	Utg857994_220
OG0000176	WP_015403419.1	Utg861744_133
OG0000178	WP_015403012.1	Utg857046_4
OG0000178	WP_167320722.1	Utg861744_102
OG0000179	WP_015403164.1	Utg859098_69, Utg859098_70
OG0000180	WP_015403309.1	Utg859236_79
OG0000181	WP_015404063.1	Utg857046_168
OG0000182	WP_015404788.1	Utg859388_65
OG0000183	WP_208598531.1	Utg862138_16
OG0000184	WP_015403677.1	Utg859388_167
OG0000184	WP_015404418.1	Utg859236_54
OG0000185	WP_015405172.1	Utg859098_331
OG0000186	WP_015403116.1	Utg859236_122
OG0000186	WP_015403686.1	Utg857994_70
OG0000187	WP_015404268.1	Utg858494_144, Utg858494_131
OG0000188	WP_015403875.1	Utg857152_35
OG0000189	WP_015404553.1	Utg860006_69
OG0000190	WP_015404901.1	Utg859982_184
OG0000191	WP_228130031.1	Utg857152_179
OG0000193	WP_015402732.1	Utg859750_20
OG0000194	WP_015402613.1	Utg861744_61
OG0000194	WP_015403363.1	Utg861744_41
OG0000195	WP_167320713.1	Utg859098_286
OG0000195	WP_015402308.1	Utg860814_283
OG0000196	WP_015405758.1	Utg862138_14
OG0000197	WP_015404178.1	Utg857490_20
OG0000198	WP_015404032.1	Utg857046_189
OG0000198	WP_015405101.1	Utg859098_241
OG0000199	WP_015403925.1	Utg857152_82
OG0000199	WP_015405043.1	Utg859098_216
OG0000200	WP_015403368.1	Utg861744_45
OG0000201	WP_015402726.1	Utg859750_26
OG0000202	WP_015403041.1	Utg857682_175
OG0000202	WP_015403516.1	Utg857300_47
OG0000203	WP_015403624.1	Utg857076_50, Utg857300_19
OG0000203	WP_015405501.1	Utg857076_65
OG0000204	WP_167320750.1, WP_041916292.1	Utg857152_212
OG0000205	WP_052326952.1	Utg857682_46
OG0000209	WP_015403972.1	Utg857046_253
OG0000210	WP_153304845.1	Utg857300_1
OG0000211	WP_015402955.1	Utg859432_43
OG0000212	WP_015403425.1	Utg857046_231, Utg861744_127
OG0000214	WP_015403656.1	Utg862138_34
OG0000215	WP_015405467.1	Utg859982_83
OG0000215	WP_015403395.1	Utg861744_111
OG0000216	WP_015404094.1	Utg857046_32
OG0000217	WP_015404433.1	Utg859236_44
OG0000218	WP_015405521.1	Utg861448_5
OG0000218	WP_015403719.1	Utg857682_32
OG0000218	WP_015403718.1	Utg857682_33
OG0000219	WP_015403862.1	Utg857152_18
OG0000221	WP_015402390.1	Utg860814_94
OG0000222	WP_015404363.1	Utg857076_18
OG0000223	WP_015404744.1	Utg859388_18
OG0000223	WP_041916376.1	Utg857046_78
OG0000224	WP_015403713.1	Utg859982_58
OG0000225	WP_228130059.1, WP_015402983.1	Utg859982_121
OG0000225	WP_153304792.1	Utg864866_44
OG0000226	WP_015403895.1	Utg857152_57
OG0000227	WP_015405532.1	Utg857992_19
OG0000228	WP_015404722.1	Utg857994_154
OG0000229	WP_015403080.1	Utg857682_96
OG0000230	WP_015405214.1	Utg859098_166
OG0000232	WP_015404828.1	Utg859982_75, Utg859982_74
OG0000232	WP_228130015.1	Utg859982_73
OG0000233	WP_015405001.1	Utg859098_376
OG0000233	WP_015403097.1	Utg857682_51
OG0000234	WP_015404541.1	Utg860006_56
OG0000235	WP_015402571.1	Utg863716_45
OG0000235	WP_015403933.1	Utg857152_83
OG0000236	WP_015403802.1, WP_015402832.1, WP_015405047.1	Utg859098_221
OG0000237	WP_015403027.1	Utg861744_115
OG0000237	WP_015403550.1	Utg857682_142
OG0000238	WP_015403087.1	Utg857682_83
OG0000238	WP_015403615.1	Utg857046_99, Utg857682_139
OG0000239	WP_015403176.1	Utg865370_16
OG0000240	WP_015404338.1	Utg859098_373, Utg860814_39
OG0000241	WP_015404417.1	Utg859236_55
OG0000241	WP_015404839.1	Utg859236_102
OG0000242	WP_015405234.1	Utg859098_136
OG0000242	WP_015404444.1	Utg866558_40
OG0000242	WP_015405245.1	Utg859098_132
OG0000243	WP_015404772.1	Utg857682_39, Utg859236_70
OG0000244	WP_015404822.1	Utg859982_52
OG0000245	WP_208598476.1, WP_228130017.1, WP_228130061.1	Utg859098_51, Utg858494_9
OG0000248	WP_015402961.1	Utg859432_49
OG0000250	WP_015405307.1	Utg859098_87
OG0000252	WP_015405759.1	Utg862138_13
OG0000253	WP_015405687.1	Utg858432_42
OG0000256	WP_015403654.1	Utg862138_36
OG0000257	WP_015404474.1	Utg859236_23
OG0000258	WP_052327002.1	Utg859236_13
OG0000258	WP_041916466.1	Utg860814_310, Utg857994_234
OG0000259	WP_015404586.1	Utg860006_137
OG0000260	WP_167320763.1	Utg860814_156
OG0000260	WP_015402947.1	Utg859432_35
OG0000261	WP_015403028.1	Utg857682_145
OG0000261	WP_015404558.1	Utg860006_76
OG0000262	WP_015405634.1	Utg859098_276
OG0000263	WP_015403031.1	Utg857682_148
OG0000264	WP_015403956.1	Utg857152_109
OG0000265	WP_015403954.1	Utg857152_107
OG0000266	WP_015403914.1	Utg857152_69
OG0000268	WP_228130027.1	Utg860814_179
OG0000268	WP_015402508.1	Utg863716_97
OG0000269	WP_015404334.1	Utg858494_54
OG0000269	WP_015404333.1	Utg858494_55
OG0000270	WP_015403162.1	Utg864866_30
OG0000271	WP_015402792.1	Utg857682_56, Utg864866_46
OG0000272	WP_015403141.1, WP_015403406.1	Utg859098_1
OG0000272	WP_015404095.1	Utg859098_2
OG0000273	WP_015403232.1	Utg861448_18
OG0000273	WP_015404326.1	Utg858494_83
OG0000275	WP_015404634.1	Utg857994_171
OG0000275	WP_015404217.1	Utg857994_230, Utg857994_231
OG0000276	WP_015404460.1	Utg859098_22, Utg861448_32
OG0000277	WP_015404536.1	Utg860006_51
OG0000277	WP_015404527.1	Utg860006_41
OG0000278	WP_015405763.1	Utg862138_9
OG0000278	WP_015405123.1	Utg860006_100
OG0000279	WP_015405233.1	Utg859098_135
OG0000279	WP_083907283.1	Utg866558_49
OG0000279	WP_015405243.1	Utg859098_146
OG0000280	WP_015405279.1	Utg859098_117
OG0000280	WP_015405280.1	Utg859098_115
OG0000281	WP_015405374.1	Utg859388_151
OG0000283	WP_015403418.1	Utg861744_134
OG0000284	WP_015403619.1	Utg857300_22
OG0000285	WP_015404434.1	Utg859236_43
OG0000286	WP_015404559.1	Utg860006_77
OG0000288	WP_015405114.1	Utg859098_256
OG0000290	WP_015404568.1	Utg860006_88
OG0000292	WP_228130008.1	Utg857490_19
OG0000293	WP_015405755.1	Utg862138_17
OG0000294	WP_015403030.1	Utg857682_147
OG0000295	WP_015404534.1	Utg860006_49
OG0000296	WP_015403918.1	Utg857152_73
OG0000297	WP_015403344.1	Utg861744_20
OG0000299	WP_015405743.1	Utg862138_30
OG0000300	WP_015403426.1	Utg861744_126
OG0000301	WP_228130009.1	Utg858494_110
OG0000302	WP_015402586.1	Utg863716_14, Utg857076_54
OG0000302	WP_015403592.1	Utg865370_24
OG0000306	WP_015405248.1	Utg859098_129
OG0000307	WP_015405767.1	Utg862138_5
OG0000308	WP_015405760.1	Utg862138_12
OG0000309	WP_015403758.1	Utg858494_46
OG0000310	WP_015404633.1, WP_015404219.1, WP_015404235.1	Utg857994_232
OG0000312	WP_015405651.1	Utg858432_93
OG0000314	WP_015405762.1	Utg862138_10
OG0000316	WP_015402519.1	Utg863716_86
OG0000317	WP_015404977.1, WP_015402650.1	Utg857152_229
OG0000317	WP_015405136.1	Utg859098_266
OG0000317	WP_015402674.1	Utg857152_175
OG0000318	WP_015402849.1	Utg857046_118
OG0000320	WP_015403444.1	Utg857152_126, Utg857152_127
OG0000321	WP_015404150.1	Utg859982_133
OG0000322	WP_015404641.1	Utg859098_38, Utg857994_214
OG0000323	WP_015404848.1	Utg857994_24
OG0000324	WP_015404907.1	Utg859236_88
OG0000325	WP_041916275.1	Utg864866_68
OG0000325	WP_015405569.1	Utg866558_36
OG0000326	WP_041916402.1	Utg859236_22
OG0000327	WP_228130085.1	Utg859982_6
OG0000331	WP_015405475.1	Utg857994_45
OG0000332	WP_015405537.1	Utg857992_26
OG0000333	WP_015403934.1	Utg857152_84
OG0000334	WP_015403351.1	Utg857994_81, Utg861744_27
OG0000335	WP_015403959.1	Utg857152_112
OG0000336	WP_015404585.1	Utg860006_136
OG0000337	WP_015405731.1	Utg862138_52
OG0000338	WP_015403909.1	Utg857152_64
OG0000339	WP_015403039.1, WP_015405469.1	Utg859982_81
OG0000343	WP_015405688.1	Utg858432_41
OG0000344	WP_015404093.1	Utg857046_33
OG0000346	WP_015403591.1	Utg865370_23
OG0000346	WP_015402585.1	Utg863716_15
OG0000348	WP_015403564.1	Utg859076_6
OG0000349	WP_015404560.1	Utg860006_78
OG0000352	WP_015403877.1	Utg857152_37
OG0000353	WP_015404899.1	Utg859982_181
OG0000355	WP_015402391.1	Utg860814_93
OG0000356	WP_015405042.1	Utg859098_215
OG0000357	WP_015402963.1	Utg859432_51
OG0000358	WP_015405066.1	Utg859098_231
OG0000358	WP_015403098.1	Utg857152_203
OG0000359	WP_015402603.1	Utg864866_45
OG0000360	WP_015404165.1	Utg857490_30
OG0000361	WP_015404787.1	Utg859388_64
OG0000363	WP_228130024.1	Utg858432_4
OG0000364	WP_015404331.1	Utg858494_57
OG0000364	WP_015402587.1	Utg863716_12, Utg863716_13
OG0000365	WP_015402606.1	Utg857152_129
OG0000365	WP_015402769.1	Utg864866_79
OG0000366	WP_015402662.1	Utg857152_194
OG0000367	WP_015402768.1	Utg864866_81, Utg864866_80
OG0000368	WP_015403213.1	Utg859098_123
OG0000370	WP_015402991.1	Utg857994_37
OG0000371	WP_015403026.1	Utg857682_144
OG0000371	WP_167320743.1	Utg860814_217, Utg860814_218
OG0000372	WP_015403993.1	Utg857046_248
OG0000373	WP_015403994.1	Utg857046_230
OG0000374	WP_015404823.1	Utg859982_53
OG0000374	WP_015403387.1	Utg857994_113
OG0000375	WP_015403509.1	Utg857152_124
OG0000377	WP_015403734.1	Utg857682_112
OG0000379	WP_015404447.1	Utg859076_60
OG0000380	WP_041916449.1	Utg858498_7
OG0000382	WP_015405295.1	Utg859098_99
OG0000383	WP_015405487.1	Utg857994_131
OG0000384	WP_015405623.1	Utg858432_115
OG0000388	WP_015404792.1	Utg859388_69
OG0000390	WP_015405129.1	Utg859098_259
OG0000391	WP_015405595.1	Utg859388_80
OG0000392	WP_015402960.1	Utg859432_48
OG0000393	WP_015405397.1	Utg859388_122
OG0000394	WP_015405620.1	Utg858432_118
OG0000395	WP_015405385.1	Utg859388_134
OG0000396	WP_015404016.1	Utg857046_205
OG0000397	WP_015405133.1	Utg859098_263
OG0000398	WP_015404034.1	Utg857046_187
OG0000399	WP_015404853.1	Utg857994_19
OG0000400	WP_015404727.1	Utg857994_148
OG0000401	WP_015404176.1	Utg857490_22
OG0000403	WP_015404778.1	Utg859388_57
OG0000404	WP_015405699.1	Utg858432_29
OG0000408	WP_015404015.1	Utg857046_206
OG0000409	WP_015405028.1	Utg859098_197, Utg859098_196
OG0000410	WP_015402353.1	Utg860814_207
OG0000413	WP_015403446.1	Utg862138_42
OG0000414	WP_015403280.1, WP_015403160.1	Utg864866_32
OG0000417	WP_015402701.1	Utg857994_91
OG0000418	WP_015405752.1	Utg862138_20
OG0000419	WP_015404566.1	Utg860006_86
OG0000420	WP_167320749.1	Utg859388_60
OG0000422	WP_015404018.1	Utg857046_203
OG0000423	WP_015405222.1	Utg859098_157
OG0000424	WP_015404172.1	Utg860814_75
OG0000425	WP_015405708.1	Utg858494_44, Utg858432_11
OG0000426	WP_015405134.1	Utg859098_264
OG0000427	WP_015404262.1	Utg857490_6
OG0000428	WP_015404780.1	Utg859388_59
OG0000429	WP_015405570.1	Utg866558_37
OG0000430	WP_015405242.1	Utg859098_145
OG0000430	WP_015405409.1, WP_015403469.1, WP_015405232.1	Utg859098_134
OG0000431	WP_015405375.1	Utg859388_150
OG0000433	WP_015403967.1	Utg857046_260
OG0000434	WP_015404078.1	Utg857046_132
OG0000437	WP_015404840.1	Utg859236_103
OG0000438	WP_015404896.1	Utg859982_174
OG0000439	WP_015404902.1	Utg859982_185
OG0000440	WP_015404953.1	Utg859982_195
OG0000442	WP_015405004.1	Utg859098_172
OG0000444	WP_015405195.1	Utg859098_354
OG0000445	WP_015405275.1	Utg859098_121
OG0000446	WP_015405294.1	Utg859098_100
OG0000447	WP_015405423.1	Utg859388_92
OG0000448	WP_015405454.1	Utg859982_7
OG0000457	WP_208598499.1	Utg864866_63
OG0000458	WP_015405560.1	Utg866558_25
OG0000459	WP_015405044.1	Utg859098_217
OG0000460	WP_015405601.1	Utg858432_142
OG0000461	WP_015402359.1	Utg860814_196
OG0000462	WP_015404782.1	Utg859388_61
OG0000463	WP_015405449.1	Utg859982_12
OG0000465	WP_015404108.1	Utg857046_20
OG0000466	WP_015404099.1	Utg857046_29
OG0000467	WP_015403423.1	Utg861744_129
OG0000468	WP_015405442.1	Utg859982_19
OG0000469	WP_015403908.1	Utg857152_63
OG0000470	WP_015405629.1	Utg858432_109
OG0000471	WP_015402724.1	Utg859750_61
OG0000472	WP_015404576.1	Utg860006_132
OG0000473	WP_265588642.1	Utg861744_130
OG0000474	WP_015405340.1	Utg859098_439, Utg858498_4
OG0000476	WP_015404168.1	Utg857490_27
OG0000477	WP_015404008.1	Utg857046_213
OG0000478	WP_015404092.1	Utg857046_34
OG0000479	WP_015405193.1	Utg859098_352
OG0000480	WP_015404302.1	Utg858494_109
OG0000481	WP_015404083.1	Utg857046_84
OG0000482	WP_015403548.1	Utg857300_27
OG0000485	WP_015405192.1	Utg859098_351
OG0000486	WP_015404881.1	Utg859982_149
OG0000487	WP_015405027.1	Utg859098_195
OG0000488	WP_015403375.1	Utg861744_54
OG0000489	WP_228130021.1	Utg859388_187, Utg858498_21
OG0000490	WP_015402294.1	Utg860814_326
OG0000491	WP_015404713.1	Utg857994_162
OG0000492	WP_041916554.1	Utg857152_223
