Orthogroup	Desulfocapsa sulfexigens DSM 10523	Desulforhopalus vacuolatus DSM 9700
OG0000152	WP_015402381.1	WP_205219848.1
OG0000152	WP_015402374.1	WP_205219850.1
OG0000153	WP_015404425.1	WP_205219644.1
OG0000153	WP_015402914.1	WP_275888937.1
OG0000154	WP_015403217.1	WP_205217327.1
OG0000155	WP_015404997.1	WP_240192148.1
OG0000155	WP_015404996.1	WP_205219521.1
OG0000160	WP_015402570.1	WP_240191992.1, WP_205217391.1
OG0000161	WP_015403558.1	WP_205218217.1
OG0000162	WP_041916377.1	WP_205218379.1
OG0000163	WP_015403342.1	WP_205218549.1
OG0000163	WP_015404356.1	WP_205219249.1
OG0000164	WP_015403628.1	WP_205218605.1
OG0000165	WP_015402948.1	WP_240192087.1
OG0000166	WP_015405604.1	WP_205219180.1
OG0000167	WP_015403235.1	WP_205217846.1, WP_205218645.1
OG0000167	WP_015404889.1	WP_205219005.1
OG0000169	WP_015404816.1	WP_205220075.1
OG0000170	WP_015403919.1	WP_205218419.1
OG0000171	WP_015402771.1	WP_205220364.1
OG0000171	WP_015404886.1	WP_205219366.1
OG0000172	WP_015404511.1	WP_205217862.1
OG0000173	WP_015403433.1	WP_205219412.1
OG0000174	WP_015402361.1	WP_205217656.1
OG0000176	WP_015403419.1	WP_205219026.1
OG0000180	WP_052326988.1, WP_015403309.1	WP_205220263.1, WP_205220264.1
OG0000181	WP_015404063.1	WP_205218461.1
OG0000181	WP_015405574.1	WP_205219295.1
OG0000182	WP_015404788.1	WP_205217742.1
OG0000183	WP_208598531.1	WP_240191953.1
OG0000184	WP_015403677.1	WP_205219494.1
OG0000184	WP_015404418.1	WP_205218375.1
OG0000185	WP_015405172.1	WP_205218077.1
OG0000185	WP_015404124.1	WP_205218823.1
OG0000186	WP_015403116.1	WP_205217642.1
OG0000187	WP_015404268.1	WP_205217955.1, WP_205217942.1
OG0000188	WP_015403875.1	WP_205217562.1
OG0000191	WP_228130031.1	WP_205220111.1
OG0000193	WP_015402732.1	WP_240191910.1
OG0000194	WP_015402613.1	WP_240191899.1
OG0000194	WP_015403363.1	WP_205218538.1
OG0000195	WP_167320713.1, WP_015402308.1	WP_205219651.1
OG0000196	WP_015405758.1	WP_205217764.1
OG0000198	WP_015405101.1	WP_240192026.1, WP_275888971.1
OG0000199	WP_015405043.1	WP_205218113.1
OG0000201	WP_015402726.1	WP_205217441.1
OG0000202	WP_015403041.1	WP_205219316.1
OG0000202	WP_015403516.1	WP_205220037.1
OG0000204	WP_167320750.1, WP_041916292.1	WP_240191983.1
OG0000209	WP_015403972.1	WP_205219630.1
OG0000210	WP_153304845.1	WP_205218604.1
OG0000211	WP_015402955.1	WP_205219629.1, WP_205219339.1
OG0000212	WP_015403425.1	WP_205219027.1
OG0000214	WP_015403656.1	WP_205220148.1, WP_205218051.1, WP_205220149.1
OG0000215	WP_015403395.1	WP_240192049.1
OG0000216	WP_015403304.1	WP_205218263.1
OG0000217	WP_015404433.1	WP_205218771.1
OG0000218	WP_015405521.1	WP_205218878.1
OG0000219	WP_015403862.1	WP_240191915.1
OG0000221	WP_015402390.1	WP_205218650.1
OG0000222	WP_015404363.1	WP_205219254.1
OG0000223	WP_015404744.1	WP_205218711.1
OG0000225	WP_228130059.1, WP_015402983.1	WP_205217392.1
OG0000226	WP_015403895.1	WP_205217492.1
OG0000227	WP_015405532.1	WP_205219130.1
OG0000228	WP_015404722.1	WP_205219809.1
OG0000229	WP_015403080.1	WP_205217476.1
OG0000230	WP_015405214.1	WP_205219065.1
OG0000232	WP_015404828.1, WP_228130015.1	WP_205218345.1
OG0000234	WP_015404541.1	WP_205218677.1
OG0000235	WP_015402571.1	WP_240192153.1
OG0000237	WP_015403027.1	WP_205218378.1
OG0000237	WP_015403550.1	WP_205217881.1
OG0000238	WP_015403615.1	WP_205219359.1, WP_205217607.1
OG0000239	WP_015403176.1	WP_240192164.1
OG0000243	WP_015404772.1	WP_240192155.1
OG0000245	WP_208598476.1	WP_205217699.1
OG0000245	WP_228130017.1	WP_240191912.1
OG0000245	WP_228130061.1	WP_205219832.1, WP_240191911.1, WP_240192063.1
OG0000248	WP_015402961.1	WP_205219321.1
OG0000252	WP_015405759.1	WP_205217763.1
OG0000253	WP_015405687.1	WP_205217628.1
OG0000256	WP_015403654.1	WP_205220146.1
OG0000257	WP_015403400.1	WP_205218346.1
OG0000258	WP_052327002.1	WP_205219185.1
OG0000258	WP_041916466.1	WP_205219289.1
OG0000259	WP_015404586.1	WP_205218163.1
OG0000261	WP_015404558.1	WP_205219746.1
OG0000262	WP_015405634.1	WP_205218569.1
OG0000264	WP_015403248.1	WP_275888954.1
OG0000264	WP_015403956.1	WP_205218431.1
OG0000265	WP_015403241.1	WP_205218056.1
OG0000265	WP_015403954.1	WP_205218429.1
OG0000266	WP_015403244.1	WP_205218059.1
OG0000266	WP_015403914.1	WP_205217485.1
OG0000268	WP_228130027.1	WP_205220292.1
OG0000268	WP_015402508.1	WP_205219054.1
OG0000269	WP_015404334.1	WP_205217898.1
OG0000269	WP_015404333.1	WP_205217899.1
OG0000270	WP_015403162.1	WP_205217873.1
OG0000271	WP_015402792.1	WP_205217707.1
OG0000272	WP_015403606.1	WP_205219287.1
OG0000273	WP_015404326.1	WP_205218287.1
OG0000274	WP_015403324.1	WP_205218796.1
OG0000275	WP_015404486.1, WP_015404217.1	WP_205218614.1
OG0000276	WP_015404460.1	WP_205219963.1
OG0000277	WP_015404536.1	WP_205220291.1
OG0000278	WP_015405763.1	WP_205217759.1
OG0000279	WP_015405233.1, WP_083907283.1, WP_015405243.1	WP_205217882.1
OG0000283	WP_015403418.1	WP_275888985.1
OG0000285	WP_015404434.1	WP_205218739.1
OG0000286	WP_015404559.1	WP_205219747.1
OG0000288	WP_015405114.1	WP_205217354.1
OG0000290	WP_015404568.1	WP_205219839.1
OG0000291	WP_015404986.1	WP_205218886.1
OG0000292	WP_228130008.1	WP_240192117.1
OG0000293	WP_015405755.1	WP_240191945.1
OG0000295	WP_015404534.1	WP_240192031.1
OG0000296	WP_015403918.1	WP_205218418.1
OG0000297	WP_015403344.1	WP_205218547.1
OG0000298	WP_015404639.1	WP_205218207.1
OG0000299	WP_015403320.1	WP_205219229.1
OG0000299	WP_015405743.1	WP_205217776.1
OG0000300	WP_015403426.1	WP_205218591.1
OG0000301	WP_015403119.1	WP_275888940.1
OG0000302	WP_015402586.1, WP_015403592.1	WP_205219478.1
OG0000307	WP_015405767.1	WP_205217755.1
OG0000308	WP_015405760.1	WP_205217762.1
OG0000309	WP_015403758.1	WP_205217461.1
OG0000310	WP_015404633.1, WP_015404219.1, WP_015404235.1	WP_205218613.1
OG0000311	WP_265588653.1, WP_015405461.1, WP_208598473.1	WP_205219196.1
OG0000312	WP_015405651.1	WP_205217647.1
OG0000314	WP_015405762.1	WP_205217760.1
OG0000316	WP_015402519.1	WP_205220128.1
OG0000317	WP_015404977.1, WP_015402650.1, WP_015405136.1, WP_015402674.1	WP_205220116.1
OG0000319	WP_015403020.1	WP_205218517.1
OG0000320	WP_015403444.1	WP_205217581.1
OG0000321	WP_015404150.1	WP_205220266.1
OG0000322	WP_015404641.1	WP_205219598.1, WP_205220004.1
OG0000325	WP_041916275.1, WP_015405569.1	WP_205219843.1
OG0000327	WP_228130085.1	WP_205219777.1
OG0000331	WP_015405475.1	WP_240192075.1
OG0000332	WP_015405537.1	WP_205219138.1
OG0000333	WP_015403733.1	WP_205217404.1
OG0000335	WP_015403959.1	WP_240192018.1
OG0000336	WP_015404585.1	WP_205218164.1
OG0000337	WP_015405731.1	WP_205217681.1
OG0000338	WP_015403909.1	WP_205217490.1
OG0000339	WP_015403039.1, WP_015405469.1	WP_205220081.1
OG0000340	WP_015403067.1	WP_205218789.1
OG0000343	WP_015405688.1	WP_205217627.1
OG0000344	WP_015403303.1	WP_205218262.1
OG0000345	WP_015403061.1	WP_205217480.1
OG0000347	WP_041916354.1	WP_205219623.1
OG0000347	WP_228130011.1	WP_205219230.1
OG0000348	WP_015403065.1	WP_205218791.1
OG0000349	WP_015404560.1	WP_205219748.1
OG0000352	WP_015403877.1	WP_205217504.1
OG0000353	WP_015404899.1	WP_205218764.1
OG0000355	WP_015402391.1	WP_205218649.1
OG0000356	WP_015405042.1	WP_205218114.1
OG0000357	WP_015402963.1	WP_205219318.1
OG0000357	WP_015404499.1	WP_205217812.1
OG0000358	WP_015405066.1, WP_015403098.1	WP_205218079.1
OG0000360	WP_015404165.1	WP_205217452.1
OG0000361	WP_015404787.1	WP_205217741.1
OG0000362	WP_015402364.1	WP_205217652.1
OG0000364	WP_015404331.1, WP_015403401.1, WP_015402587.1	WP_205219523.1
OG0000365	WP_015402606.1	WP_205218267.1
OG0000366	WP_015402662.1	WP_275888945.1
OG0000367	WP_015402768.1	WP_240191917.1
OG0000369	WP_015402969.1	WP_205218202.1, WP_205218200.1, WP_205218199.1, WP_205218201.1
OG0000370	WP_015402991.1	WP_240192102.1, WP_205217374.1
OG0000371	WP_015403026.1	WP_205219934.1
OG0000372	WP_015403993.1	WP_205218561.1
OG0000372	WP_015403238.1, WP_015403313.1	WP_205217324.1
OG0000373	WP_015403994.1	WP_205218559.1
OG0000373	WP_015403314.1	WP_205217323.1
OG0000374	WP_015403387.1	WP_205217711.1
OG0000376	WP_015405664.1	WP_240192120.1
OG0000378	WP_015403825.1	WP_205217714.1
OG0000380	WP_041916449.1, WP_015404622.1	WP_205220206.1
OG0000381	WP_015405078.1, WP_208598490.1	WP_205217576.1
OG0000383	WP_015405487.1	WP_240191982.1
OG0000384	WP_015405623.1	WP_205218413.1
OG0000388	WP_015404792.1	WP_205217746.1
OG0000389	WP_015403093.1	WP_205217531.1
OG0000390	WP_015405129.1	WP_240192167.1
OG0000391	WP_015405595.1	WP_205219766.1
OG0000392	WP_015402960.1	WP_275889000.1
OG0000392	WP_015403130.1	WP_205218215.1
OG0000393	WP_015405397.1	WP_205218954.1
OG0000394	WP_015405620.1	WP_205218909.1
OG0000395	WP_015405385.1	WP_205218155.1
OG0000395	WP_015404600.1	WP_205219981.1
OG0000396	WP_015404016.1	WP_205218452.1
OG0000397	WP_015405133.1	WP_205220277.1
OG0000398	WP_015404034.1	WP_205219765.1
OG0000399	WP_015404853.1	WP_240192074.1
OG0000400	WP_015404727.1	WP_205219816.1
OG0000401	WP_015404176.1	WP_205219368.1
OG0000403	WP_015404778.1	WP_205217733.1
OG0000404	WP_015405699.1	WP_205217616.1
OG0000406	WP_228130050.1	WP_205217506.1
OG0000407	WP_015403831.1	WP_205217713.1
OG0000408	WP_015404015.1	WP_205218451.1
OG0000409	WP_015405028.1	WP_205218129.1
OG0000410	WP_015405264.1, WP_015402353.1	WP_205217356.1
OG0000413	WP_015403446.1	WP_205217469.1
OG0000414	WP_015403280.1, WP_015403160.1	WP_205217875.1
OG0000415	WP_015402798.1	WP_205220192.1
OG0000418	WP_015405752.1	WP_205217768.1
OG0000419	WP_015404566.1	WP_205219837.1
OG0000420	WP_167320749.1	WP_205217661.1
OG0000422	WP_015404018.1	WP_205218454.1
OG0000423	WP_015405222.1	WP_205218959.1
OG0000424	WP_015404172.1	WP_205218567.1
OG0000425	WP_015405708.1	WP_205220198.1
OG0000426	WP_015405134.1	WP_205220276.1
OG0000427	WP_015404262.1	WP_240191961.1
OG0000428	WP_015404780.1	WP_205217735.1
OG0000429	WP_015405570.1	WP_205218395.1
OG0000430	WP_015405242.1, WP_015405409.1, WP_015403469.1, WP_015405232.1	WP_205217883.1
OG0000433	WP_015403967.1	WP_205219208.1
OG0000435	WP_015404420.1	WP_205220182.1
OG0000439	WP_015404902.1	WP_205219736.1
OG0000440	WP_015404953.1	WP_205218572.1
OG0000441	WP_015404988.1	WP_205218891.1
OG0000444	WP_015405195.1	WP_240192150.1
OG0000445	WP_015405275.1	WP_205219058.1
OG0000447	WP_015405423.1	WP_205218746.1
OG0000448	WP_015405454.1	WP_205219778.1
OG0000449	WP_015405463.1	WP_205219769.1, WP_205220150.1
OG0000450	WP_015405720.1	WP_205220478.1, WP_205220431.1, WP_205220416.1, WP_205220414.1, WP_205218974.1, WP_205220421.1, WP_205220446.1, WP_205220441.1, WP_205220468.1, WP_205220443.1, WP_205220481.1, WP_205219079.1
OG0000457	WP_208598499.1	WP_240192041.1
OG0000458	WP_015405560.1	WP_205218916.1
OG0000459	WP_015405044.1	WP_205218112.1
OG0000460	WP_015405601.1	WP_205219183.1
OG0000461	WP_015402359.1	WP_205217709.1
OG0000462	WP_015404782.1	WP_205217736.1
OG0000463	WP_015405449.1	WP_205219782.1
OG0000465	WP_015404108.1	WP_205219553.1
OG0000466	WP_015404099.1	WP_205219574.1
OG0000467	WP_015403423.1	WP_275888973.1
OG0000468	WP_015405442.1	WP_205218748.1
OG0000469	WP_015403908.1	WP_205217491.1
OG0000470	WP_015405629.1	WP_205218902.1
OG0000471	WP_015402724.1	WP_205218800.1
OG0000472	WP_015404576.1	WP_205218167.1
OG0000473	WP_265588642.1	WP_205218594.1
OG0000474	WP_015405340.1	WP_240192159.1
OG0000475	WP_015403842.1	WP_240191922.1
OG0000476	WP_015404168.1	WP_205217449.1
OG0000477	WP_015404008.1	WP_205218449.1
OG0000478	WP_015403302.1	WP_205218261.1
OG0000479	WP_015405193.1	WP_275889017.1
OG0000480	WP_015404302.1	WP_205217922.1
OG0000484	WP_015403760.1	WP_205217459.1
OG0000485	WP_015405192.1	WP_240192151.1
OG0000486	WP_015404881.1	WP_240192058.1
OG0000487	WP_015405027.1	WP_205218131.1
OG0000488	WP_015403375.1	WP_205218506.1
OG0000489	WP_228130021.1	WP_205219267.1
OG0000490	WP_015402294.1	WP_205219099.1
OG0000491	WP_015404713.1	WP_205219120.1
OG0000492	WP_041916554.1	WP_205219754.1
OG0000493	WP_015403885.1	WP_205217497.1
OG0000494	WP_015403661.1	WP_205218563.1
OG0000495	WP_015405099.1	WP_205218729.1
OG0000496	WP_015405733.1	WP_205217666.1
OG0000497	WP_015405614.1	WP_240192032.1
OG0000498	WP_015405613.1	WP_205218691.1
OG0000499	WP_015402600.1, WP_015405505.1	WP_205218654.1
OG0000500	WP_015404321.1	WP_205217905.1
OG0000501	WP_015403989.1	WP_240192165.1
OG0000501	WP_015402683.1	WP_205217895.1
OG0000502	WP_015405045.1	WP_205218110.1
OG0000503	WP_015403102.1	WP_205220151.1
OG0000504	WP_015402354.1	WP_205217355.1
OG0000505	WP_015404141.1	WP_205219666.1
OG0000507	WP_015402706.1	WP_205217438.1
OG0000508	WP_015403578.1	WP_205218825.1
OG0000509	WP_015403345.1	WP_205218546.1
OG0000510	WP_015402412.1	WP_205218853.1
OG0000511	WP_015403968.1	WP_205218437.1
OG0000512	WP_015404854.1	WP_205219193.1
OG0000513	WP_015403843.1	WP_205217560.1
OG0000514	WP_015405704.1	WP_205218175.1
OG0000515	WP_015405450.1	WP_205219781.1
OG0000516	WP_015402358.1	WP_205217710.1
OG0000517	WP_015403261.1, WP_015404355.1	WP_205220396.1
OG0000518	WP_015402512.1	WP_205218820.1
OG0000520	WP_015405376.1	WP_205220133.1
OG0000521	WP_015405139.1	WP_205219612.1
OG0000522	WP_015405032.1	WP_205218124.1
OG0000523	WP_015404736.1	WP_205219825.1
OG0000525	WP_015403476.1	WP_205218361.1
OG0000526	WP_015402518.1	WP_205220125.1
OG0000527	WP_228130012.1	WP_205218165.1
OG0000528	WP_052326983.1, WP_167320734.1	WP_205217332.1
OG0000529	WP_015403920.1	WP_205218420.1
OG0000530	WP_015405633.1	WP_205218899.1
OG0000531	WP_015404567.1	WP_205219838.1
OG0000532	WP_015404539.1	WP_205218675.1
OG0000533	WP_015403868.1	WP_205217510.1
OG0000534	WP_015402863.1	WP_205219402.1
OG0000535	WP_015402664.1	WP_205219617.1
OG0000536	WP_015403275.1	WP_240191994.1
OG0000537	WP_015405017.1	WP_205218142.1
OG0000538	WP_015403076.1	WP_205218780.1
OG0000539	WP_015402679.1	WP_205217783.1
OG0000540	WP_015404471.1	WP_205219210.1
OG0000542	WP_015403888.1	WP_205217495.1
OG0000543	WP_015405132.1	WP_205220278.1
OG0000544	WP_015403427.1	WP_205218590.1
OG0000545	WP_015404963.1, WP_015402736.1	WP_205217421.1
OG0000546	WP_015402951.1	WP_205219329.1
OG0000547	WP_228130060.1	WP_205219929.1
OG0000548	WP_015403059.1	WP_205217478.1
OG0000549	WP_015405349.1	WP_205220069.1
OG0000550	WP_015405518.1	WP_240192054.1
OG0000555	WP_015402671.1	WP_205219625.1
OG0000558	WP_015402992.1	WP_205219892.1
OG0000561	WP_015403206.1	WP_205219465.1
OG0000562	WP_015405527.1, WP_015403366.1, WP_041916336.1, WP_052326966.1	WP_205217553.1
OG0000564	WP_015403905.1	WP_205218994.1
OG0000565	WP_015403906.1	WP_205218993.1
OG0000568	WP_041916977.1, WP_015405137.1	WP_205219610.1
OG0000569	WP_015405528.1	WP_205219985.1
OG0000570	WP_015405597.1	WP_205217437.1
OG0000571	WP_083907217.1	WP_205217567.1
OG0000575	WP_015402962.1	WP_205219319.1
OG0000576	WP_015403169.1	WP_205220238.1
OG0000577	WP_041916988.1	WP_205219226.1
OG0000578	WP_015403356.1	WP_205218542.1
OG0000579	WP_015403343.1	WP_205218548.1
OG0000580	WP_015402309.1	WP_205219652.1
OG0000581	WP_015404269.1	WP_205217953.1
OG0000582	WP_015402739.1	WP_205217424.1
OG0000584	WP_015403998.1	WP_205218446.1
OG0000585	WP_015403997.1	WP_205218445.1
OG0000586	WP_083907252.1	WP_205218444.1
OG0000587	WP_015405003.1	WP_205219068.1
OG0000588	WP_015403991.1	WP_205218441.1
OG0000589	WP_015405457.1	WP_205219775.1
OG0000590	WP_015404022.1	WP_205218457.1
OG0000591	WP_015402953.1	WP_205219327.1
OG0000592	WP_015405213.1	WP_205219066.1
OG0000593	WP_015405693.1	WP_205218486.1
OG0000594	WP_015403879.1	WP_205217503.1
OG0000595	WP_015404537.1	WP_205218673.1
OG0000596	WP_015405048.1	WP_205218108.1
OG0000597	WP_015405100.1	WP_205218730.1
OG0000598	WP_015405690.1	WP_205217625.1
OG0000599	WP_015405020.1	WP_205218140.1
OG0000600	WP_015402515.1	WP_205217588.1
OG0000601	WP_015402958.1	WP_205219323.1
OG0000603	WP_015404575.1	WP_240191991.1
OG0000604	WP_015402715.1	WP_205219036.1
OG0000605	WP_083907155.1	WP_205219056.1
OG0000606	WP_228130038.1	WP_240192025.1
OG0000607	WP_167320733.1	WP_240191928.1
OG0000608	WP_228130026.1	WP_205217708.1
OG0000609	WP_228130078.1	WP_240192100.1
OG0000610	WP_015404319.1	WP_205217907.1
OG0000611	WP_015405215.1	WP_205219064.1
OG0000612	WP_015405558.1	WP_205218918.1
OG0000613	WP_015405557.1	WP_205218919.1
OG0000614	WP_015403833.1	WP_205217712.1
OG0000615	WP_015404310.1	WP_205217915.1
OG0000616	WP_015404312.1	WP_205217914.1
OG0000617	WP_015404282.1	WP_205217940.1
OG0000618	WP_015404284.1	WP_205217938.1
OG0000619	WP_015404285.1	WP_205217937.1
