row,baseMean,log2FoldChange,lfcSE,stat.x,pvalue,padj,aa,gene,stat.y,bin,max_annot_lvl,Preferred_name,COG_category,PFAMs,Description
Cluster 60856,132.1400038470693,-24.60925369040182,3.111344090941442,-7.9095249419859135,2.5837293452946857e-15,6.251561492405059e-12,113,Utg271766_1556,*,NA,NA,NA,NA,NA,NA
Cluster 71153,131.97666638866747,-24.602038044422404,3.111904819997322,-7.905781014357494,2.662588893190784e-15,6.251561492405059e-12,70,Utg270866_1423,*,NA,NA,NA,NA,NA,NA
Cluster 47427,402.9817471450975,24.581873486008192,2.843868209000481,8.643815985638748,5.4366087330607674e-18,2.6511413386434944e-14,176,Utg815554_92,*,metabat_sample03.txt.026.emapper.annotations,29547|Epsilonproteobacteria,-,O,CMD,Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity
Cluster 69333,141.4502389759728,-24.481951972844612,3.0814231399289542,-7.945014644567468,1.941678450380322e-15,4.923630547336405e-12,77,Utg270866_1639,*,NA,NA,NA,NA,NA,NA
Cluster 73909,118.90966971652217,-24.464641396272324,3.1614585638350468,-7.738403304136678,1.006730709697578e-14,2.2007133313989055e-11,60,Utg271766_1560,*,NA,NA,NA,NA,NA,NA
Cluster 70936,117.43963259090583,-24.448298311540636,3.167680461973737,-7.718044356123991,1.1812809594066977e-14,2.496204171354273e-11,71,Utg271766_684,*,NA,NA,NA,NA,NA,NA
Cluster 67569,114.49955833967314,-24.41352030686456,3.1805718054954077,-7.675827429735357,1.643542658153449e-14,3.255960727218117e-11,84,Utg270866_7,*,NA,NA,NA,NA,NA,NA
Cluster 71913,108.12939746200232,-24.31968681850179,3.2106096728124047,-7.574787749642086,3.5971524883747544e-14,6.910238934788762e-11,67,Utg270866_12,*,NA,NA,NA,NA,NA,NA
Cluster 76278,105.18932321076962,-24.291187603056734,3.2256923287555765,-7.5305345728456095,5.0533008615260415e-14,8.65807985988059e-11,49,Utg270866_2470,*,NA,NA,NA,NA,NA,NA
Cluster 50842,104.69931083556416,-24.288491493773424,3.2282819163841423,-7.523658751890512,5.326425584034015e-14,8.885879565111904e-11,158,Utg270866_667,*,NA,NA,NA,NA,NA,NA
Cluster 75848,104.0459610019569,-24.282798500594765,3.231769620017056,-7.513777699434717,5.744509846668928e-14,9.104186430493249e-11,51,Utg270866_2472,*,NA,NA,NA,NA,NA,NA
Cluster 6318,103.71928608515327,-24.277694442940312,3.2335286252426005,-7.508111804984822,5.998626469664841e-14,9.275046985803243e-11,586,Utg270866_1482,*,NA,NA,NA,NA,NA,NA
Cluster 3968,101.59589912592966,-24.252477912686768,3.245215281215406,-7.473303251426719,7.820633612117881e-14,1.149411547277106e-10,688,Utg271766_1425,*,maxbin_sample10.txt.007.emapper.annotations,28221|Deltaproteobacteria,-,NT,"Cache_3-Cache_2,HAMP,MCPsignal",Single cache domain 3
Cluster 78359,101.59589912592966,-24.252477912686768,3.245215281215406,-7.473303251426719,7.820633612117881e-14,1.149411547277106e-10,38,Utg270866_2471,*,NA,NA,NA,NA,NA,NA
Cluster 68094,101.26922420912604,-24.248113442708505,3.2470531451326368,-7.467729155913772,8.159056003323623e-14,1.149411547277106e-10,82,Utg270866_665,*,NA,NA,NA,NA,NA,NA
Cluster 71672,101.26922420912604,-24.248113442708505,3.2470531451326368,-7.467729155913772,8.159056003323623e-14,1.149411547277106e-10,68,Utg270866_2811,*,NA,NA,NA,NA,NA,NA
Cluster 56969,96.04242554026791,-24.167415869510155,3.27801173835405,-7.372583687465701,1.6735247135072925e-13,1.894489744430023e-10,130,Utg270866_1496,*,NA,NA,NA,NA,NA,NA
Cluster 70412,96.04242554026791,-24.167415869510155,3.27801173835405,-7.372583687465701,1.6735247135072925e-13,1.894489744430023e-10,73,Utg270866_2515,*,maxbin_sample10.txt.007.emapper.annotations,29547|Epsilonproteobacteria,-,V,ACR_tran,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
Cluster 77208,96.04242554026791,-24.167415869510155,3.27801173835405,-7.372583687465701,1.6735247135072925e-13,1.894489744430023e-10,44,Utg270866_666,*,NA,NA,NA,NA,NA,NA
Cluster 7503,95.38907570666065,-24.165596471586117,3.2820991970631233,-7.362847683948703,1.8002775215843212e-13,2.0022244421634464e-10,549,Utg270866_260,*,maxbin_sample10.txt.007.emapper.annotations,28221|Deltaproteobacteria,-,T,"GGDEF,PAS",Motif C-terminal to PAS motifs (likely to contribute to PAS structural domain)
Cluster 71146,110.25278442122593,-24.16235402909319,3.200179162131539,-7.550312905918493,4.342137494232967e-14,7.646262897483464e-11,70,Utg270866_628,*,NA,NA,NA,NA,NA,NA
Cluster 78360,94.24571349784793,-24.14697224999308,3.289376576243613,-7.340896273289672,2.121681983052786e-13,2.1321699204746798e-10,38,Utg270866_2474,*,NA,NA,NA,NA,NA,NA
Cluster 77637,95.22573824825884,-24.144714444821517,3.2831290301368434,-7.354177744215903,1.9210596663431794e-13,2.0997182153130952e-10,42,Utg270866_2653,*,maxbin_sample10.txt.007.emapper.annotations,28890|Euryarchaeota,-,S,Sulfotransfer_1,Sulfotransferase domain
Cluster 78690,93.9190385810443,-24.142768110503095,3.291485466858964,-7.334915603787347,2.2186124949353602e-13,2.1321699204746798e-10,36,Utg270866_2469,*,maxbin_sample10.txt.007.emapper.annotations,186801|Clostridia,xcpR,NU,"T2SSE,T2SSE_N",type II secretion system protein E
Cluster 50845,94.89906333145521,-24.13818001467088,3.285198531549152,-7.34755594916463,2.0186381036756068e-13,2.1321699204746798e-10,158,Utg270866_2550,*,maxbin_sample10.txt.007.emapper.annotations,28211|Alphaproteobacteria,MA20_42455,S,LemA,LemA family
Cluster 57205,93.59236366424066,-24.137597617948806,3.2936077633899177,-7.32861935967305,2.325358056572021e-13,2.1321699204746798e-10,129,Utg270866_2755,*,maxbin_sample10.txt.007.emapper.annotations,2836|Bacillariophyta,-,H,"Acetyltransf_1,Radical_SAM,Radical_SAM_C","Catalytic histone acetyltransferase subunit of the RNA polymerase II elongator complex, which is a component of the RNA polymerase II (Pol II) holoenzyme and is involved in transcriptional elongation"
Cluster 70390,93.59236366424066,-24.137597617948806,3.2936077633899177,-7.32861935967305,2.325358056572021e-13,2.1321699204746798e-10,73,Utg270866_668,*,NA,NA,NA,NA,NA,NA
Cluster 73050,93.42902620583885,-24.1347720715656,3.2946739787957804,-7.325390077104679,2.382048104526224e-13,2.1321699204746798e-10,63,Utg270866_669,*,NA,NA,NA,NA,NA,NA
Cluster 18807,93.10235128903523,-24.12900775323272,3.2968166240124397,-7.318880758331701,2.5004765582241264e-13,2.1321699204746798e-10,373,Utg270866_2363,*,maxbin_sample10.txt.007.emapper.annotations,1236|Gammaproteobacteria,tig,D,"FKBP_C,Trigger_C,Trigger_N",Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase
Cluster 61492,93.10235128903523,-24.12900775323272,3.2968166240124397,-7.318880758331701,2.5004765582241264e-13,2.1321699204746798e-10,110,Utg270866_1607,*,NA,NA,NA,NA,NA,NA
Cluster 6201,93.10235128903523,-24.12900775323272,3.2968166240124397,-7.318880758331701,2.5004765582241264e-13,2.1321699204746798e-10,590,Utg270866_3677,*,maxbin_sample10.txt.007.emapper.annotations,1236|Gammaproteobacteria,speE,S,Spermine_synth,"Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine"
Cluster 73611,93.10235128903523,-24.12900775323272,3.2968166240124397,-7.318880758331701,2.5004765582241264e-13,2.1321699204746798e-10,61,Utg270866_2379,*,NA,NA,NA,NA,NA,NA
Cluster 64392,92.9390138306334,-24.126185046702357,3.2978930861645583,-7.31563589733015,2.561653827510698e-13,2.1321699204746798e-10,97,Utg270866_2149,*,maxbin_sample10.txt.007.emapper.annotations,2|Bacteria,-,Q,"Methyltransf_11,Methyltransf_23,Methyltransf_25,Methyltransf_31",methyltransferase
Cluster 78001,92.9390138306334,-24.126185046702357,3.2978930861645583,-7.31563589733015,2.561653827510698e-13,2.1321699204746798e-10,40,Utg270866_2809,*,NA,NA,NA,NA,NA,NA
Cluster 71953,92.77567637223159,-24.12335111302384,3.2989729965360413,-7.312382107508498,2.6244751524813627e-13,2.1321699204746798e-10,67,Utg271766_66,*,NA,NA,NA,NA,NA,NA
Cluster 72800,92.77567637223159,-24.12335111302384,3.2989729965360413,-7.312382107508498,2.6244751524813627e-13,2.1321699204746798e-10,64,Utg270866_2516,*,maxbin_sample10.txt.007.emapper.annotations,200930|Deferribacteres,-,V,ACR_tran,Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
Cluster 72793,92.61233891382977,-24.12022537697866,3.300056371745889,-7.309034349682305,2.6906898703027794e-13,2.1321699204746798e-10,64,Utg270866_2153,*,NA,NA,NA,NA,NA,NA
Cluster 52092,92.44900145542796,-24.1161486847925,3.301143227873968,-7.305393016928865,2.7645747093522667e-13,2.1372859649350928e-10,152,Utg270866_2347,*,NA,NA,NA,NA,NA,NA
Cluster 76672,92.44900145542796,-24.1161486847925,3.301143227873968,-7.305393016928865,2.7645747093522667e-13,2.1372859649350928e-10,47,Utg270866_2810,*,NA,NA,NA,NA,NA,NA
Cluster 75193,92.12232653862432,-24.115832556569046,3.303327444879845,-7.300466865296254,2.867709109092582e-13,2.1386967499675586e-10,54,Utg270866_2812,*,maxbin_sample10.txt.007.emapper.annotations,91061|Bacilli,pyrF,F,OMPdecase,Catalyzes the decarboxylation of orotidine 5'- monophosphate (OMP) to uridine 5'-monophosphate (UMP)
Cluster 72491,91.7956516218207,-24.111437934113574,3.305525800379281,-7.294282177845047,3.002555616416581e-13,2.1386967499675586e-10,65,Utg270866_2152,*,NA,NA,NA,NA,NA,NA
Cluster 74974,91.7956516218207,-24.111437934113574,3.305525800379281,-7.294282177845047,3.002555616416581e-13,2.1386967499675586e-10,55,Utg270866_2580,*,NA,NA,NA,NA,NA,NA
Cluster 75410,91.7956516218207,-24.111437934113574,3.305525800379281,-7.294282177845047,3.002555616416581e-13,2.1386967499675586e-10,53,Utg270866_2489,*,NA,NA,NA,NA,NA,NA
Cluster 79268,91.7956516218207,-24.111437934113574,3.305525800379281,-7.294282177845047,3.002555616416581e-13,2.1386967499675586e-10,32,Utg270866_2557,*,maxbin_sample10.txt.007.emapper.annotations,72273|Thiotrichales,rlmN,J,"Fer4_14,Radical_SAM",Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs
Cluster 45276,92.28566399702615,-24.110919996572683,3.3022335747028775,-7.301397509030563,2.8479397622636186e-13,2.1386967499675586e-10,187,Utg270866_2101,*,NA,NA,NA,NA,NA,NA
Cluster 66602,92.28566399702615,-24.110919996572683,3.3022335747028775,-7.301397509030563,2.8479397622636186e-13,2.1386967499675586e-10,88,Utg270866_2150,*,NA,NA,NA,NA,NA,NA
Cluster 43262,91.63231416341888,-24.109212464153458,3.3066303187178576,-7.291172626004887,3.0726875346006616e-13,2.140548940312905e-10,198,Utg270866_1814,*,NA,NA,NA,NA,NA,NA
Cluster 76669,91.63231416341888,-24.109212464153458,3.3066303187178576,-7.291172626004887,3.0726875346006616e-13,2.140548940312905e-10,47,Utg270866_2654,*,NA,NA,NA,NA,NA,NA
Cluster 20231,100.12586200031332,-24.09885661983979,3.253572281124007,-7.4068914219770745,1.29294233184697e-13,1.7439316209597196e-10,358,Utg273072_9,*,concoct_sample10.txt.012.emapper.annotations,91061|Bacilli,-,L,DDE_3,DDE superfamily endonuclease
Cluster 60181,90.65228941300798,-24.094848252170596,3.313333305526998,-7.272087058666203,3.5397533186370203e-13,2.2992033188978946e-10,116,Utg270866_2350,*,NA,NA,NA,NA,NA,NA
Cluster 11435,90.48895195460616,-24.093295989472146,3.314463280417525,-7.269139511009184,3.617846159265248e-13,2.3166640345501123e-10,461,Utg270866_1481,*,maxbin_sample10.txt.007.emapper.annotations,2|Bacteria,-,O,Band_7,stress-induced mitochondrial fusion
Cluster 73055,90.81562687140979,-24.091333189350877,3.312207020660481,-7.273498618618008,3.5029437889972706e-13,2.2992033188978946e-10,63,Utg270866_1495,*,NA,NA,NA,NA,NA,NA
Cluster 74317,90.81562687140979,-24.091333189350877,3.312207020660481,-7.273498618618008,3.5029437889972706e-13,2.2992033188978946e-10,58,Utg270866_2554,*,maxbin_sample10.txt.007.emapper.annotations,186801|Clostridia,rlmN,J,"Fer4_14,Radical_SAM",Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs
Cluster 78889,90.32561449620434,-24.089728515637326,3.315596964536927,-7.2655780462152215,3.714463897581534e-13,2.3547472432328377e-10,35,Utg271766_1463,*,maxbin_sample10.txt.007.emapper.annotations,2|Bacteria,-,L,"Herpes_Helicase,PIF1,UvrD_C_2",A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD
Cluster 37666,99.79918708350968,-24.089203860266583,3.2554600136644103,-7.399631314516223,1.365631197269218e-13,1.7670487539908331e-10,230,Utg270866_3137,*,NA,NA,NA,NA,NA,NA
Cluster 58381,89.99893957940071,-24.08520528133341,3.31787553373126,-7.2592250783583046,3.893141973018765e-13,2.396134390655841e-10,124,Utg270866_1499,*,maxbin_sample10.txt.007.emapper.annotations,183968|Thermococci,-,E,ABC_tran,"AAA domain, putative AbiEii toxin, Type IV TA system"
Cluster 75850,89.99893957940071,-24.08520528133341,3.31787553373126,-7.2592250783583046,3.893141973018765e-13,2.396134390655841e-10,51,Utg270866_2579,*,NA,NA,NA,NA,NA,NA
Cluster 53417,90.16227703780253,-24.085204215779918,3.3167343753013925,-7.261722372202715,3.821920339058772e-13,2.396134390655841e-10,146,Utg270866_2546,*,NA,NA,NA,NA,NA,NA
Cluster 71643,99.63584962510787,-24.08359547621819,3.2564081320865528,-7.395754616540205,1.4060745237195804e-13,1.7670487539908331e-10,68,Utg270866_11,*,NA,NA,NA,NA,NA,NA
Cluster 75840,99.63584962510787,-24.08359547621819,3.2564081320865528,-7.395754616540205,1.4060745237195804e-13,1.7670487539908331e-10,51,Utg270866_1701,*,NA,NA,NA,NA,NA,NA
Cluster 65813,89.50892720419526,-24.07893592101366,3.321321654063352,-7.24980547775466,4.1737061371276135e-13,2.4053447896097083e-10,91,Utg270866_2487,*,NA,NA,NA,NA,NA,NA
Cluster 74977,89.50892720419526,-24.07893592101366,3.321321654063352,-7.24980547775466,4.1737061371276135e-13,2.4053447896097083e-10,55,Utg270866_2655,*,maxbin_sample10.txt.007.emapper.annotations,200783|Aquificae,-,S,Sulfotransfer_3,Sulfotransferase domain
Cluster 79656,89.50892720419526,-24.07893592101366,3.321321654063352,-7.24980547775466,4.1737061371276135e-13,2.4053447896097083e-10,29,Utg270866_2674,*,NA,NA,NA,NA,NA,NA
Cluster 75413,89.8356021209989,-24.078459494352824,3.3190204503386798,-7.254688500607403,4.025872527164344e-13,2.4053447896097083e-10,53,Utg270866_2553,*,NA,NA,NA,NA,NA,NA
Cluster 69078,99.47251216670605,-24.07747548519931,3.257359102311051,-7.391716641900698,1.4494516075263168e-13,1.7670487539908331e-10,78,Utg270866_663,*,maxbin_sample10.txt.007.emapper.annotations,1224|Proteobacteria,-,S,Band_7,SPFH domain-containing protein
Cluster 77420,99.47251216670605,-24.07747548519931,3.257359102311051,-7.391716641900698,1.4494516075263168e-13,1.7670487539908331e-10,43,Utg270866_2378,*,NA,NA,NA,NA,NA,NA
Cluster 46983,89.34558974579345,-24.076404984111985,3.322477976111924,-7.246520566040593,4.2761427511295057e-13,2.4203731568312846e-10,178,Utg270866_1813,*,NA,NA,NA,NA,NA,NA
Cluster 67848,89.34558974579345,-24.076404984111985,3.322477976111924,-7.246520566040593,4.2761427511295057e-13,2.4203731568312846e-10,83,Utg270866_1076,*,NA,NA,NA,NA,NA,NA
Cluster 4068,89.18225228739163,-24.073928212089243,3.3236381368948846,-7.243245871098457,4.3807168765398725e-13,2.4360628567663916e-10,682,Utg271766_1423,*,maxbin_sample10.txt.007.emapper.annotations,28221|Deltaproteobacteria,-,NT,"Cache_3-Cache_2,MCPsignal,PAS_4,PAS_9",Cache 3/Cache 2 fusion domain
Cluster 71944,89.18225228739163,-24.073928212089243,3.3236381368948846,-7.243245871098457,4.3807168765398725e-13,2.4360628567663916e-10,67,Utg270866_2677,*,NA,NA,NA,NA,NA,NA
Cluster 48825,89.67226466259709,-24.073860880132678,3.320169151747602,-7.250793492693339,4.1433700444910045e-13,2.4053447896097083e-10,168,Utg270866_2127,*,maxbin_sample10.txt.007.emapper.annotations,976|Bacteroidetes,-,-,-,-
Cluster 71424,89.67226466259709,-24.073860880132678,3.320169151747602,-7.250793492693339,4.1433700444910045e-13,2.4053447896097083e-10,69,Utg270866_3168,*,NA,NA,NA,NA,NA,NA
Cluster 75222,89.67226466259709,-24.073860880132678,3.320169151747602,-7.250793492693339,4.1433700444910045e-13,2.4053447896097083e-10,54,Utg271766_1464,*,NA,NA,NA,NA,NA,NA
Cluster 72531,89.01891482898982,-24.07151415106126,3.3248021555211884,-7.239983922378041,4.487379338772965e-13,2.4736776156710726e-10,65,Utg271766_1462,*,maxbin_sample10.txt.007.emapper.annotations,976|Bacteroidetes,-,L,"Herpes_Helicase,PIF1,TPR_16,TPR_2,TPR_8",Helicase
Cluster 73049,99.14583724990243,-24.063938868098464,3.2592696499239806,-7.383230432824033,1.5449429283246524e-13,1.8479266414757174e-10,63,Utg270866_664,*,NA,NA,NA,NA,NA,NA
Cluster 65596,88.85557737058801,-24.063558246646053,3.3259700536938315,-7.235049581977144,4.653590929446977e-13,2.543187442942773e-10,92,Utg270866_2346,*,NA,NA,NA,NA,NA,NA
Cluster 30366,88.52890245378437,-24.062716770753337,3.3283175542907406,-7.229693795212718,4.840842623736767e-13,2.60068116346753e-10,276,Utg270866_171,*,maxbin_sample10.txt.007.emapper.annotations,186801|Clostridia,-,M,"PilZ,YcgR_2",Flagellar protein YcgR
Cluster 74525,88.36556499538256,-24.06077990498027,3.3294971954130954,-7.226550584913472,4.954161461712435e-13,2.6391942159983033e-10,57,Utg270866_2578,*,NA,NA,NA,NA,NA,NA
Cluster 45104,91.30563924661524,-24.06041345710237,3.308850287129157,-7.271532819327948,3.554309954443538e-13,2.2992033188978946e-10,188,Utg270866_1500,*,maxbin_sample10.txt.007.emapper.annotations,186801|Clostridia,-,CP,"ABC2_membrane_2,ABC2_membrane_3",ABC-2 family transporter protein
Cluster 64393,91.30563924661524,-24.06041345710237,3.308850287129157,-7.271532819327948,3.554309954443538e-13,2.2992033188978946e-10,97,Utg270866_2757,*,maxbin_sample10.txt.007.emapper.annotations,1236|Gammaproteobacteria,pheS,J,"Phe_tRNA-synt_N,tRNA-synt_2d",tRNA synthetases class II core domain (F)
Cluster 64394,88.69223991218618,-24.059847207894403,3.327141756282353,-7.23138626794734,4.780883862166036e-13,2.5904218081893477e-10,97,Utg270866_2808,*,NA,NA,NA,NA,NA,NA
Cluster 69324,110.41612187962774,-24.05356767452343,3.19953589228431,-7.517830236731732,5.569275105479167e-14,9.052785282993495e-11,77,Utg270866_213,*,NA,NA,NA,NA,NA,NA
Cluster 33554,88.03889007857893,-24.052504518050444,3.3318683493528645,-7.218924037836629,5.240051404539304e-13,2.6566629515230294e-10,255,Utg270866_2754,*,maxbin_sample10.txt.007.emapper.annotations,200795|Chloroflexi,-,BK,"Acetyltransf_1,Radical_SAM,Radical_SAM_C",Radical_SAM C-terminal domain
Cluster 57670,88.03889007857893,-24.052504518050444,3.3318683493528645,-7.218924037836629,5.240051404539304e-13,2.6566629515230294e-10,127,Utg270866_2345,*,NA,NA,NA,NA,NA,NA
Cluster 2199,87.8755526201771,-24.049381721583128,3.333059917882737,-7.215406357549084,5.377315423077361e-13,2.6566629515230294e-10,819,Utg270866_3368,*,maxbin_sample10.txt.007.emapper.annotations,28221|Deltaproteobacteria,-,T,"GAF_2,HATPase_c,HisKA,PAS_9,Response_reg","Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
Cluster 32565,87.8755526201771,-24.049381721583128,3.333059917882737,-7.215406357549084,5.377315423077361e-13,2.6566629515230294e-10,261,Utg271766_568,*,NA,NA,NA,NA,NA,NA
Cluster 3178,113.51953358926225,-24.048850461194675,3.185007095433929,-7.550642664398282,4.3311566970233706e-14,7.646262897483464e-11,734,Utg271766_116,*,NA,NA,NA,NA,NA,NA
Cluster 53633,87.71221516177529,-24.047205119938894,3.3342555046555207,-7.212166280107359,5.506866845412994e-13,2.6566629515230294e-10,145,Utg270866_2624,*,NA,NA,NA,NA,NA,NA
Cluster 65820,87.71221516177529,-24.047205119938894,3.3342555046555207,-7.212166280107359,5.506866845412994e-13,2.6566629515230294e-10,91,Utg271766_627,*,NA,NA,NA,NA,NA,NA
Cluster 77429,87.71221516177529,-24.047205119938894,3.3342555046555207,-7.212166280107359,5.506866845412994e-13,2.6566629515230294e-10,43,Utg270866_3136,*,NA,NA,NA,NA,NA,NA
Cluster 78188,87.71221516177529,-24.047205119938894,3.3342555046555207,-7.212166280107359,5.506866845412994e-13,2.6566629515230294e-10,39,Utg270866_2675,*,NA,NA,NA,NA,NA,NA
Cluster 78663,87.71221516177529,-24.047205119938894,3.3342555046555207,-7.212166280107359,5.506866845412994e-13,2.6566629515230294e-10,36,Utg270866_670,*,NA,NA,NA,NA,NA,NA
