	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1
'1	20.2	37.3	41.5	36.7	29.8	47.1	44.7	31.3	30.5	29.3	27.3	26.3
'2	5.1	4.1	6.2	5.3	3.7	7.7	6.1	4.3	4.2	4.1	4.6	5.1
'3	1.3	1.1	1.5	1.3	0.9	1.9	1.4	0.7	1.1	1.0	1.1	1.5
'4	0.8	0.4	0.6	0.4	0.3	0.9	0.7	0.2	0.3	0.2	0.5	0.6
'5	0.2	0.2	0.2	0.3	0.2	0.4	0.3	0.1	0.2	0.2	0.2	0.3
'6	0.1	0.1	0.3	0.1	0.1	0.2	0.2	0.1	0.1	0.1	0.2	0.2
'7	0.2	0.1	0.0	0.1	0.0	0.2	0.2	0.0	0.1	0.0	0.0	0.1
'8	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.0
'9	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.1
'10	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.1
11-15	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0
'1	1201	2214	2464	2179	1766	2797	2652	1858	1813	1739	1620	1559
'2	604	488	742	632	434	920	726	510	494	484	550	606
'3	240	192	270	237	168	342	246	117	198	183	198	273
'4	192	88	140	96	60	208	172	48	76	40	128	144
'5	45	60	50	80	45	125	95	30	55	60	60	75
'6	42	30	90	42	24	54	72	18	42	24	66	60
'7	63	28	14	28	14	77	70	14	28	14	7	35
'8	16	16	24	24	16	64	24	0	24	24	16	16
'9	9	0	9	27	0	54	27	9	9	0	36	45
'10	10	10	0	20	30	10	0	0	10	0	30	30
11-15	11	38	36	36	75	88	24	38	65	39	38	51
16-20	0	20	0	16	32	18	38	18	16	17	0	17
21-50	0	22	49	28	47	89	35	0	47	55	78	71
51-100	0	0	0	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	37.9	63.3	55.4	56.2	56.5	51.8	57.5	60.2	54.3	56.8	48.0	37.0
'2	19.1	14.0	16.7	16.3	13.9	17.1	15.7	16.5	14.8	15.8	16.3	14.4
'3	7.6	5.5	6.1	6.1	5.4	6.3	5.3	3.8	5.9	6.0	5.9	6.5
'4	6.1	2.5	3.1	2.5	1.9	3.9	3.7	1.6	2.3	1.3	3.8	3.4
'5	1.4	1.7	1.1	2.1	1.4	2.3	2.1	1.0	1.6	2.0	1.8	1.8
'6	1.3	0.9	2.0	1.1	0.8	1.0	1.6	0.6	1.3	0.8	2.0	1.4
'7	2.0	0.8	0.3	0.7	0.4	1.4	1.5	0.5	0.8	0.5	0.2	0.8
'8	0.5	0.5	0.5	0.6	0.5	1.2	0.5	0.0	0.7	0.8	0.5	0.4
'9	0.3	0.0	0.2	0.7	0.0	1.0	0.6	0.3	0.3	0.0	1.1	1.1
'10	0.3	0.3	0.0	0.5	1.0	0.2	0.0	0.0	0.3	0.0	0.9	0.7
11-15	0.3	1.1	0.8	0.9	2.4	1.6	0.5	1.2	1.9	1.3	1.1	1.2
16-20	0.0	0.6	0.0	0.4	1.0	0.3	0.8	0.6	0.5	0.6	0.0	0.4
21-50	0.0	0.6	1.1	0.7	1.5	1.6	0.8	0.0	1.4	1.8	2.3	1.7
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
