Orthogroup	Desulfovibrio vulgaris DP4	Desulfotalea psychrophila LSv54
OG0000048	WP_010940286.1	WP_011188265.1
OG0000048	WP_011792918.1	WP_041277948.1
OG0000048	WP_011792687.1	WP_228130155.1
OG0000049	WP_011792396.1	WP_049785016.1
OG0000050	WP_011792353.1	WP_041277480.1
OG0000052	WP_010939677.1	WP_011188194.1, WP_041277630.1, WP_011188193.1
OG0000052	WP_011791785.1	WP_041277548.1, WP_041277545.1
OG0000054	WP_011792972.1	WP_011189292.1
OG0000055	WP_011787329.1, WP_150100250.1	WP_011187273.1
OG0000058	WP_010938574.1	WP_011190338.1
OG0000059	WP_010937832.1	WP_011189102.1, WP_011189104.1
OG0000060	WP_011792468.1	WP_011187768.1
OG0000061	WP_011791554.1	WP_011188264.1
OG0000061	WP_010939071.1	WP_011190246.1
OG0000062	WP_010937479.1	WP_011187393.1
OG0000063	WP_010937703.1	WP_011190024.1
OG0000064	WP_011792376.1	WP_011188922.1, WP_011190321.1
OG0000065	WP_010938364.1	WP_041277642.1
OG0000066	WP_014524570.1	WP_011189565.1
OG0000067	WP_010937478.1	WP_011187394.1
OG0000067	WP_010939732.1	WP_011188448.1
OG0000069	WP_010940354.1	WP_041278071.1
OG0000071	WP_010940006.1, WP_010938017.1	WP_041277992.1
OG0000074	WP_010939694.1	WP_011187327.1
OG0000075	WP_010937693.1	WP_041277654.1
OG0000075	WP_010937418.1	WP_265588547.1
OG0000076	WP_223294670.1	WP_011189884.1
OG0000079	WP_011792883.1	WP_041278114.1
OG0000080	WP_223294589.1	WP_011187758.1
OG0000082	WP_010937942.1, WP_010939878.1, WP_010939503.1, WP_011793168.1, WP_010937359.1	WP_011189907.1
OG0000084	WP_011791721.1	WP_011188741.1
OG0000085	WP_011791400.1	WP_049784979.1
OG0000085	WP_011792371.1	WP_011188000.1
OG0000086	WP_011792617.1	WP_011188968.1, WP_041277821.1, WP_228130156.1
OG0000086	WP_011792911.1	WP_011187364.1
OG0000088	WP_011792102.1	WP_041278034.1
OG0000091	WP_043629736.1	WP_265588615.1
OG0000092	WP_011791541.1	WP_011189765.1, WP_041277704.1
OG0000093	WP_010938329.1	WP_011187627.1, WP_041277722.1
OG0000095	WP_011792244.1	WP_011189875.1
OG0000096	WP_011791391.1	WP_041277947.1, WP_011189156.1
OG0000097	WP_011792054.1	WP_011189603.1
OG0000098	WP_010938015.1	WP_011189729.1
OG0000100	WP_010939709.1, WP_011791837.1	WP_011188994.1
OG0000101	WP_010939270.1, WP_011792822.1	WP_011188468.1, WP_011187560.1
OG0000102	WP_010940470.1	WP_041277775.1, WP_011187795.1, WP_011190131.1
OG0000103	WP_010938528.1	WP_041277624.1, WP_011187572.1
OG0000105	WP_010938500.1	WP_011190029.1, WP_041277849.1
OG0000106	WP_011792615.1	WP_011190231.1, WP_011189715.1, WP_011188105.1
OG0000107	WP_011791952.1	WP_011189658.1
OG0000110	WP_010939354.1	WP_041277836.1, WP_011189886.1
OG0000112	WP_011792830.1, WP_011792050.1	WP_011188067.1
OG0000113	WP_010940378.1	WP_041277425.1
OG0000114	WP_011792216.1	WP_011188364.1
OG0000114	WP_010938595.1	WP_011187252.1
OG0000116	WP_011791823.1	WP_011187877.1
OG0000117	WP_011791710.1	WP_011188472.1
OG0000117	WP_011791822.1	WP_011189124.1
OG0000118	WP_011791821.1	WP_011189123.1
OG0000118	WP_011791711.1	WP_011188471.1
OG0000119	WP_011793090.1	WP_011187701.1, WP_156792185.1
OG0000120	WP_011793100.1	WP_011187392.1
OG0000121	WP_011791564.1	WP_011187278.1
OG0000122	WP_011792236.1	WP_011188940.1
OG0000125	WP_011791967.1	WP_011189064.1
OG0000125	WP_011791647.1	WP_011190268.1
OG0000126	WP_010940460.1	WP_011190020.1
OG0000127	WP_010937986.1	WP_011188334.1
OG0000127	WP_181409358.1	WP_011188335.1
OG0000128	WP_011791538.1	WP_011190249.1, WP_041278021.1
OG0000131	WP_011791342.1	WP_011189957.1
OG0000131	WP_011792836.1, WP_010937626.1	WP_011187291.1
OG0000132	WP_010939230.1	WP_156792284.1
OG0000133	WP_010938383.1	WP_049785062.1
OG0000133	WP_011791712.1	WP_011188470.1
OG0000134	WP_010938551.1	WP_011189428.1
OG0000135	WP_011792726.1	WP_011190396.1, WP_011189338.1
OG0000136	WP_049758095.1	WP_011189843.1
OG0000136	WP_223294604.1	WP_156792292.1
OG0000137	WP_010939936.1	WP_011188473.1
OG0000138	WP_010940324.1	WP_041277553.1, WP_198408700.1
OG0000141	WP_011791661.1	WP_011190214.1, WP_011190215.1
OG0000142	WP_011792996.1	WP_156792321.1
OG0000143	WP_011792337.1	WP_011190324.1
OG0000145	WP_043629618.1	WP_156792207.1, WP_011188174.1
OG0000150	WP_010939076.1	WP_156792302.1, WP_011188038.1
OG0000151	WP_011787325.1	WP_156792391.1
OG0000152	WP_011792323.1	WP_011188507.1
OG0000152	WP_010940001.1	WP_011188513.1
OG0000154	WP_011792501.1	WP_011188535.1
OG0000155	WP_010938876.1	WP_011189442.1
OG0000156	WP_011791646.1	WP_041278107.1
OG0000160	WP_010939839.1	WP_228130154.1
OG0000161	WP_011791997.1	WP_011189119.1
OG0000161	WP_010939916.1	WP_265588605.1, WP_265588604.1, WP_011188625.1
OG0000162	WP_010938840.1, WP_011792479.1, WP_011791513.1	WP_011187311.1
OG0000163	WP_010940363.1	WP_049784999.1, WP_011190105.1
OG0000164	WP_011791543.1	WP_041277432.1
OG0000164	WP_011791450.1	WP_011187437.1
OG0000166	WP_011791768.1	WP_041278008.1
OG0000167	WP_010937731.1	WP_011189983.1
OG0000169	WP_011792420.1	WP_041278049.1
OG0000170	WP_011792245.1	WP_011187704.1, WP_228130166.1, WP_228130165.1
OG0000172	WP_011791937.1	WP_011188712.1
OG0000173	WP_010939858.1	WP_011187845.1
OG0000174	WP_011792674.1	WP_011188522.1
OG0000176	WP_010939204.1	WP_011187404.1
OG0000180	WP_011792418.1, WP_010937666.1, WP_010938677.1	WP_083818964.1, WP_041278377.1
OG0000181	WP_043629990.1	WP_049785176.1, WP_011190443.1
OG0000183	WP_011791957.1	WP_041277717.1
OG0000185	WP_081428874.1	WP_162096651.1
OG0000185	WP_011791484.1	WP_041277828.1
OG0000186	WP_011792222.1	WP_041277626.1
OG0000187	WP_010940180.1	WP_011188352.1, WP_011188365.1
OG0000190	WP_011793101.1	WP_041277447.1
OG0000192	WP_011791950.1	WP_049785055.1
OG0000193	WP_010939362.1	WP_011188238.1
OG0000194	WP_010939235.1	WP_011187954.1
OG0000195	WP_011791944.1	WP_011189858.1
OG0000196	WP_011791954.1	WP_011188559.1
OG0000199	WP_011792175.1	WP_041277873.1
OG0000201	WP_011791421.1, WP_011792846.1	WP_011188242.1
OG0000202	WP_011793009.1	WP_011189106.1
OG0000203	WP_011791587.1	WP_011189716.1
OG0000203	WP_011791454.1	WP_041277494.1
OG0000205	WP_011791913.1	WP_011188851.1
OG0000207	WP_011792220.1	WP_011190248.1
OG0000207	WP_010940291.1	WP_011188263.1
OG0000208	WP_011791552.1	WP_011188262.1
OG0000208	WP_010939070.1	WP_011190247.1
OG0000209	WP_011792598.1	WP_011189657.1
OG0000210	WP_010937439.1, WP_014524330.1	WP_011188475.1, WP_011187438.1
OG0000211	WP_011787346.1	WP_011190201.1
OG0000214	WP_011793117.1	WP_041277773.1
OG0000214	WP_011793116.1	WP_011188783.1
OG0000215	WP_010937992.1	WP_041278351.1
OG0000216	WP_010938636.1	WP_011190303.1
OG0000217	WP_010939133.1	WP_041278087.1
OG0000218	WP_010938558.1	WP_011188935.1
OG0000219	WP_014524381.1	WP_011187520.1
OG0000221	WP_011792772.1	WP_011188482.1
OG0000222	WP_011791920.1, WP_223294689.1	WP_041277470.1
OG0000223	WP_010938648.1	WP_041277805.1
OG0000225	WP_010939784.1	WP_011190357.1
OG0000226	WP_010939106.1	WP_041277609.1
OG0000227	WP_011792871.1	WP_011188872.1
OG0000227	WP_011793143.1	WP_011190190.1
OG0000228	WP_011792579.1	WP_228130150.1
OG0000229	WP_011792120.1	WP_041277488.1
OG0000230	WP_010939852.1	WP_011189365.1
OG0000232	WP_011791500.1, WP_011791499.1	WP_162096624.1
OG0000233	WP_010938704.1	WP_041277996.1
OG0000234	WP_014524184.1, WP_010939427.1	WP_011188725.1
OG0000235	WP_010939791.1	WP_011189740.1
OG0000235	WP_010938191.1	WP_011188066.1
OG0000237	WP_011792782.1, WP_011792427.1	WP_011187837.1, WP_041277465.1
OG0000239	WP_010937469.1	WP_011189492.1
OG0000240	WP_043629138.1	WP_041277651.1
OG0000243	WP_010940402.1	WP_041277879.1
OG0000244	WP_010940229.1	WP_011187903.1
OG0000248	WP_010938759.1	WP_011187684.1
OG0000250	WP_011791427.1, WP_010939149.1	WP_041278036.1
OG0000253	WP_011791802.1	WP_041278077.1
OG0000254	WP_010940325.1	WP_011190405.1
OG0000256	WP_011793118.1	WP_193763857.1
OG0000257	WP_011791929.1	WP_011187938.1
OG0000259	WP_011792770.1	WP_011189470.1
OG0000260	WP_010939132.1	WP_011187671.1
OG0000261	WP_011792785.1	WP_011187462.1
OG0000263	WP_223294628.1	WP_011190212.1
OG0000264	WP_010938076.1	WP_011188079.1
OG0000265	WP_010938078.1	WP_011188077.1
OG0000266	WP_010938217.1	WP_011188060.1
OG0000268	WP_011792764.1	WP_011189056.1
OG0000270	WP_010937324.1	WP_011189127.1
OG0000271	WP_010940288.1	WP_011187803.1
OG0000274	WP_010938265.1	WP_041277639.1
OG0000274	WP_043629524.1	WP_011187334.1
OG0000277	WP_011791810.1	WP_011188116.1
OG0000278	WP_011791959.1	WP_011188554.1
OG0000280	WP_010937609.1	WP_011189891.1
OG0000285	WP_010940031.1	WP_041278086.1
OG0000286	WP_011792784.1	WP_041277467.1
OG0000289	WP_011792179.1	WP_156792179.1
OG0000289	WP_011793145.1	WP_011189628.1
OG0000290	WP_011791783.1	WP_011189438.1
OG0000291	WP_010939194.1	WP_011188846.1
OG0000292	WP_011792092.1	WP_011188332.1
OG0000295	WP_223294586.1	WP_011189959.1
OG0000296	WP_010940232.1, WP_010939150.1	WP_041277610.1
OG0000297	WP_011792575.1	WP_041277578.1
OG0000299	WP_011791465.1	WP_228130178.1
OG0000300	WP_010939567.1, WP_010939601.1	WP_011188258.1, WP_011187827.1
OG0000301	WP_011792454.1	WP_011189481.1, WP_011188387.1
OG0000309	WP_010937603.1	WP_041277735.1, WP_011187371.1
OG0000311	WP_010937595.1	WP_011189408.1
OG0000312	WP_011793105.1	WP_011190120.1
OG0000313	WP_011791965.1	WP_011188296.1
OG0000313	WP_011792492.1	WP_162096644.1
OG0000316	WP_043629054.1	WP_011190257.1
OG0000320	WP_011792826.1	WP_011187789.1, WP_011187785.1
OG0000323	WP_010939476.1	WP_011189109.1
OG0000323	WP_011791621.1	WP_041278448.1
OG0000324	WP_011792866.1	WP_011188245.1
OG0000326	WP_011792611.1	WP_041278066.1, WP_041277799.1
OG0000327	WP_011792744.1	WP_011189731.1
OG0000331	WP_043629609.1	WP_011189375.1
OG0000332	WP_011791449.1	WP_011188672.1, WP_011188671.1
OG0000333	WP_011792647.1	WP_011190299.1
OG0000336	WP_010937968.1	WP_011189471.1
OG0000338	WP_010939124.1	WP_011188054.1
OG0000339	WP_011791786.1	WP_011187987.1
OG0000340	WP_010938005.1	WP_011187352.1
OG0000341	WP_011791904.1	WP_011190455.1
OG0000343	WP_011791800.1	WP_041277972.1, WP_041278078.1
OG0000344	WP_011792447.1	WP_011190302.1
OG0000345	WP_010938967.1	WP_011187347.1
OG0000348	WP_011791623.1	WP_011187350.1
OG0000349	WP_011792783.1	WP_011187460.1
OG0000350	WP_010938092.1	WP_011188163.1
OG0000352	WP_010939077.1	WP_011188037.1
OG0000353	WP_010939841.1	WP_011188201.1, WP_011187388.1
OG0000354	WP_010938317.1	WP_041277911.1, WP_011187759.1
OG0000355	WP_011792771.1	WP_011188481.1
OG0000356	WP_010939497.1	WP_011189820.1
OG0000357	WP_011792314.1	WP_011187686.1
OG0000358	WP_011792626.1	WP_011188159.1
OG0000359	WP_011791553.1	WP_011187804.1
OG0000360	WP_010938090.1	WP_041277667.1
OG0000361	WP_010938503.1	WP_011190034.1
OG0000363	WP_011792691.1	WP_041277943.1
OG0000366	WP_011791409.1, WP_011791408.1	WP_041278090.1
OG0000367	WP_011791518.1	WP_011187535.1
OG0000376	WP_011792547.1	WP_011187926.1
OG0000380	WP_010939093.1	WP_011189781.1
OG0000381	WP_011791991.1	WP_011188623.1
OG0000382	WP_010937943.1, WP_010939504.1, WP_011793167.1	WP_011189906.1
OG0000384	WP_010937551.1	WP_011187586.1
OG0000388	WP_010938501.1	WP_011190030.1
OG0000389	WP_010940621.1	WP_011187991.1
OG0000390	WP_010937704.1, WP_010937714.1	WP_011189231.1
OG0000391	WP_010939193.1	WP_011190429.1, WP_011187259.1
OG0000392	WP_011791927.1	WP_011187683.1
OG0000393	WP_011792321.1	WP_011189713.1
OG0000394	WP_011792428.1	WP_041278134.1
OG0000396	WP_011792627.1	WP_011189462.1
OG0000398	WP_011792462.1	WP_173362835.1, WP_011190427.1
OG0000399	WP_010937883.1	WP_041277921.1
OG0000400	WP_011791616.1	WP_011189966.1
OG0000401	WP_010939095.1	WP_011189767.1
OG0000403	WP_011792485.1	WP_011189529.1
OG0000405	WP_010940310.1	WP_041277937.1
OG0000407	WP_011792056.1	WP_011187531.1
OG0000408	WP_011792429.1	WP_011189463.1
OG0000409	WP_011792140.1	WP_173362847.1
OG0000410	WP_010937473.1	WP_011190337.1
OG0000411	WP_043629982.1	WP_041277604.1
OG0000413	WP_010937629.1	WP_011189040.1
OG0000414	WP_010938768.1, WP_011792538.1	WP_011189125.1
OG0000415	WP_011793093.1	WP_011187702.1
OG0000418	WP_011792638.1	WP_011189597.1, WP_011188565.1
OG0000419	WP_011791482.1	WP_011189440.1
OG0000420	WP_011791475.1	WP_011187900.1
OG0000420	WP_011792487.1	WP_011189525.1
OG0000421	WP_011792174.1	WP_011188876.1
OG0000423	WP_011793124.1	WP_041278794.1
OG0000425	WP_010940414.1	WP_041278082.1
OG0000427	WP_258312758.1	WP_011188346.1
OG0000428	WP_010938540.1	WP_041277939.1
OG0000429	WP_011793152.1	WP_011187772.1
OG0000433	WP_011793177.1	WP_011189706.1
OG0000438	WP_043629227.1	WP_011187699.1
OG0000439	WP_010939842.1	WP_011187387.1, WP_011188202.1
OG0000440	WP_011791680.1	WP_041277623.1
OG0000441	WP_043629623.1	WP_011188848.1
OG0000444	WP_014524613.1	WP_228130145.1
OG0000445	WP_223294686.1	WP_156792310.1
OG0000446	WP_010937614.1, WP_010938736.1	WP_011189905.1
OG0000448	WP_010940009.1, WP_010938014.1	WP_011189730.1
OG0000449	WP_011792406.1	WP_265588553.1
OG0000458	WP_011792053.1	WP_011190050.1
OG0000459	WP_010940242.1	WP_011189199.1
OG0000460	WP_043629230.1	WP_011189785.1
OG0000461	WP_010938112.1	WP_011188884.1
OG0000462	WP_011792486.1	WP_041277938.1
OG0000463	WP_011792431.1	WP_011189177.1
OG0000466	WP_010939080.1	WP_041277422.1
OG0000467	WP_010937632.1	WP_011187824.1
OG0000468	WP_011792746.1	WP_011189509.1
OG0000469	WP_011792195.1	WP_011188053.1
OG0000470	WP_011792673.1	WP_011190065.1
OG0000471	WP_010937702.1	WP_011188128.1
OG0000472	WP_011791932.1	WP_011189474.1
OG0000473	WP_010939210.1	WP_011187823.1
OG0000474	WP_043629567.1	WP_011189845.1
OG0000475	WP_011791402.1	WP_011188169.1
OG0000476	WP_011792707.1	WP_041277668.1
OG0000477	WP_011791415.1	WP_011188156.1
OG0000478	WP_011792446.1	WP_011190301.1
OG0000479	WP_011791861.1, WP_010940359.1	WP_011189651.1
OG0000480	WP_010937325.1, WP_010939491.1	WP_041278396.1
OG0000482	WP_010937881.1	WP_011189018.1
OG0000484	WP_011791338.1	WP_011187369.1
OG0000485	WP_011791862.1, WP_010940358.1	WP_011189650.1
OG0000486	WP_011792689.1	WP_011189991.1
OG0000487	WP_010938229.1	WP_041278024.1
OG0000488	WP_010938489.1	WP_011187960.1
OG0000489	WP_010938975.1	WP_011188276.1
OG0000490	WP_010937352.1	WP_162096643.1
OG0000491	WP_011791780.1	WP_041278044.1
OG0000492	WP_011792326.1	WP_011190160.1
OG0000493	WP_011791776.1, WP_011792197.1	WP_011188045.1
OG0000495	WP_043629742.1	WP_011189170.1
OG0000496	WP_011791907.1	WP_049785040.1
OG0000497	WP_011791930.1	WP_011189797.1
OG0000498	WP_223294660.1	WP_011189796.1
OG0000500	WP_011792097.1	WP_011188406.1
OG0000501	WP_010938312.1	WP_041277540.1
OG0000502	WP_011791592.1	WP_011189198.1
OG0000503	WP_011792249.1	WP_041277961.1
OG0000504	WP_010940372.1	WP_041278120.1
OG0000506	WP_010940239.1	WP_049785112.1
OG0000507	WP_011792008.1, WP_011792327.1	WP_228130170.1
OG0000508	WP_011792359.1	WP_011187508.1
OG0000509	WP_011792698.1	WP_011187888.1
OG0000510	WP_011787353.1	WP_011189093.1
OG0000511	WP_010938955.1	WP_011188090.1
OG0000512	WP_010937769.1	WP_011189412.1
OG0000513	WP_011791403.1	WP_011188168.1
OG0000514	WP_011791911.1	WP_041278089.1
OG0000516	WP_011793110.1	WP_041277801.1
OG0000520	WP_010937630.1	WP_041278621.1
OG0000521	WP_010938037.1	WP_011188856.1
OG0000522	WP_011792155.1	WP_011189825.1
OG0000523	WP_010938645.1	WP_011189941.1
OG0000524	WP_010937314.1	WP_011187894.1
OG0000526	WP_011791368.1	WP_011190256.1
OG0000530	WP_164561900.1	WP_049785116.1
OG0000531	WP_011793151.1	WP_228130141.1
OG0000532	WP_010940501.1	WP_011188723.1
OG0000533	WP_011792113.1	WP_011188031.1
OG0000534	WP_010938822.1	WP_011187873.1
OG0000535	WP_011792779.1	WP_011190194.1
OG0000536	WP_010940049.1	WP_011187628.1
OG0000537	WP_010938258.1	WP_011189840.1
OG0000538	WP_010939273.1	WP_011187361.1
OG0000539	WP_011792109.1	WP_011188585.1
OG0000540	WP_043629788.1	WP_011189704.1
OG0000542	WP_011793103.1, WP_011792943.1	WP_041277608.1
OG0000543	WP_011792874.1	WP_041278539.1
OG0000544	WP_010939602.1	WP_011187828.1
OG0000545	WP_010939218.1	WP_011188974.1
OG0000546	WP_081428870.1	WP_011187675.1
OG0000548	WP_010938966.1	WP_011187345.1
OG0000549	WP_011792519.1	WP_011189640.1
OG0000550	WP_011791414.1	WP_011188945.1
OG0000551	WP_011791394.1	WP_011189864.1
OG0000553	WP_010940353.1	WP_011187439.1
OG0000555	WP_010938859.1	WP_011188911.1
OG0000556	WP_010940534.1	WP_041278827.1
OG0000558	WP_010938694.1	WP_011188479.1
OG0000561	WP_011792559.1	WP_011188001.1
OG0000562	WP_011792500.1	WP_011187743.1
OG0000563	WP_223294661.1	WP_011187488.1, WP_041278028.1
OG0000564	WP_010939810.1	WP_041277731.1
OG0000566	WP_011792887.1, WP_011792888.1	WP_011189759.1, WP_011188209.1
OG0000568	WP_010940570.1	WP_011188858.1
OG0000569	WP_010938457.1	WP_011187919.1
OG0000570	WP_011792432.1	WP_011188250.1, WP_011190423.1, WP_011187271.1
OG0000571	WP_011792452.1	WP_083818934.1
OG0000572	WP_011791668.1	WP_011188021.1
OG0000575	WP_011792315.1	WP_011187685.1
OG0000576	WP_010938916.1	WP_156792204.1
OG0000577	WP_010939126.1	WP_041277922.1
OG0000578	WP_011791317.1	WP_265588588.1
OG0000579	WP_011792576.1	WP_041277577.1
OG0000580	WP_010938909.1	WP_011189859.1
OG0000581	WP_010940182.1	WP_011188354.1
OG0000582	WP_010938185.1	WP_011188971.1
OG0000583	WP_011792506.1	WP_041277672.1
OG0000584	WP_010938376.1	WP_011188100.1
OG0000585	WP_010938375.1	WP_083818932.1
OG0000586	WP_010938373.1	WP_041277613.1
OG0000587	WP_011791757.1	WP_011189426.1
OG0000588	WP_011793193.1	WP_011188096.1
OG0000589	WP_010940177.1	WP_011189180.1
OG0000590	WP_011792493.1	WP_011188172.1
OG0000591	WP_010939154.1	WP_041277520.1
OG0000592	WP_010937795.1	WP_011189429.1
OG0000593	WP_010939717.1	WP_041278079.1
OG0000594	WP_011792105.1	WP_162096625.1
OG0000595	WP_043629095.1	WP_011188721.1
OG0000596	WP_010939198.1	WP_011189197.1
OG0000597	WP_010938825.1	WP_011189171.1
OG0000598	WP_010939782.1	WP_011190145.1
OG0000599	WP_010938256.1	WP_011189837.1
OG0000600	WP_011793123.1	WP_041278909.1
OG0000601	WP_011792532.1	WP_011187681.1
OG0000603	WP_010939174.1	WP_011189475.1
OG0000604	WP_223294672.1	WP_041278118.1
OG0000605	WP_011792614.1	WP_156792331.1
OG0000606	WP_010938095.1	WP_011188166.1, WP_011188270.1
OG0000607	WP_043629197.1	WP_011187525.1
OG0000608	WP_010938113.1	WP_011188883.1
OG0000609	WP_010939740.1	WP_049785044.1
OG0000610	WP_043629734.1	WP_011188404.1
OG0000611	WP_010940503.1	WP_011189430.1
OG0000612	WP_011792682.1	WP_011190047.1
OG0000613	WP_010938136.1	WP_011190046.1
OG0000615	WP_010938173.1	WP_011188395.1
OG0000616	WP_010938170.1	WP_228130172.1
OG0000617	WP_010938599.1	WP_011188368.1
OG0000618	WP_010938601.1	WP_011188370.1
OG0000619	WP_010938602.1	WP_011188371.1
OG0000620	WP_010938603.1	WP_011188372.1
OG0000621	WP_010938604.1	WP_011188373.1
OG0000622	WP_010940201.1	WP_041278063.1
OG0000623	WP_011791413.1	WP_011189965.1
OG0000624	WP_010938227.1	WP_011189832.1
OG0000625	WP_010938226.1	WP_011189833.1
OG0000626	WP_011792978.1	WP_011187844.1
OG0000627	WP_011792444.1	WP_011188405.1
OG0000628	WP_011792199.1	WP_011189052.1
OG0000629	WP_011792088.1	WP_011188979.1
OG0000630	WP_010938669.1	WP_011188034.1
OG0000631	WP_010938667.1	WP_011188032.1
OG0000632	WP_010937362.1	WP_011190021.1
OG0000634	WP_011793164.1	WP_011189407.1
OG0000635	WP_010938578.1	WP_011188882.1
OG0000637	WP_010938504.1	WP_011190035.1
OG0000638	WP_010938199.1	WP_011190101.1
OG0000639	WP_043629256.1	WP_011189179.1
OG0000640	WP_010937959.1	WP_011189473.1
OG0000641	WP_010938000.1	WP_011189464.1
OG0000642	WP_011793050.1	WP_011189005.1
OG0000643	WP_010938865.1	WP_011189974.1
OG0000644	WP_011792392.1	WP_011188027.1
OG0000645	WP_011792997.1	WP_011187303.1
OG0000646	WP_011791805.1	WP_011190137.1
OG0000647	WP_010939773.1	WP_011190138.1
OG0000648	WP_010939777.1	WP_011190141.1
OG0000649	WP_010938866.1	WP_011189975.1
OG0000650	WP_011792870.1	WP_011188871.1
OG0000651	WP_011792873.1	WP_011188863.1
OG0000652	WP_010938643.1	WP_011189939.1
OG0000653	WP_043629518.1	WP_011189434.1
OG0000654	WP_011792650.1	WP_011188972.1
OG0000655	WP_011792855.1	WP_011188330.1
OG0000656	WP_010937817.1	WP_011189856.1
OG0000657	WP_010937816.1	WP_011189855.1
OG0000658	WP_011792851.1	WP_011189851.1
OG0000659	WP_181409373.1	WP_011189850.1
OG0000660	WP_010939789.1	WP_011188567.1
OG0000661	WP_010939788.1	WP_011188568.1
OG0000662	WP_011792821.1	WP_011190083.1
OG0000663	WP_010938977.1	WP_198408692.1
OG0000664	WP_223294688.1	WP_011188724.1
OG0000665	WP_010938035.1	WP_011188975.1
OG0000666	WP_010938853.1, WP_014524388.1	WP_011190230.1
OG0000667	WP_010939263.1	WP_011187436.1
OG0000670	WP_011791970.1	WP_011190149.1
OG0000671	WP_010938507.1	WP_041277812.1
OG0000672	WP_011791432.1	WP_041277607.1
OG0000673	WP_010938823.1	WP_049785113.1
