Orthogroup	Desulfovibrio vulgaris DP4	Desulfocapsa_13_biocide
OG0000028	WP_043629606.1, WP_010940474.1	Utg860814_34
OG0000029	WP_011792424.1	Utg859982_26
OG0000030	WP_011792490.1	Utg861744_16
OG0000030	WP_010937417.1	Utg857994_103
OG0000030	WP_010937694.1	Utg857152_237
OG0000031	WP_011792678.1	Utg857490_1
OG0000031	WP_010939674.1	Utg857076_58
OG0000033	WP_011792568.1	Utg860814_171
OG0000034	WP_011791418.1	Utg859388_40, Utg859388_39
OG0000034	WP_011791654.1	Utg859098_369
OG0000035	WP_011792514.1, WP_181409361.1, WP_011791918.1, WP_010939346.1, WP_011792644.1	Utg857152_33
OG0000036	WP_011791649.1	Utg859982_60
OG0000037	WP_011787303.1	Utg857994_225, Utg859098_26, Utg857300_65, Utg857490_34, Utg857300_66
OG0000038	WP_010938341.1	Utg860006_50
OG0000038	WP_010938662.1	Utg860814_278
OG0000040	WP_010937647.1	Utg857994_193
OG0000040	WP_011787337.1	Utg860814_311
OG0000040	WP_043629357.1	Utg859098_48, Utg860006_147
OG0000041	WP_011791655.1	Utg859098_368
OG0000042	WP_011792510.1	Utg857152_197
OG0000042	WP_011791387.1	Utg857152_116, Utg859236_105
OG0000043	WP_010938268.1	Utg857300_6, Utg859236_121, Utg860814_118, Utg859750_58, Utg860814_180
OG0000046	WP_011792325.1	Utg860006_158
OG0000046	WP_081428943.1	Utg857152_215
OG0000047	WP_223294624.1	Utg858432_158, Utg857046_163, Utg857994_168
OG0000048	WP_010940286.1	Utg857682_54
OG0000048	WP_011792687.1	Utg857046_28
OG0000049	WP_011792396.1	Utg857152_93
OG0000050	WP_011792353.1	Utg859076_8
OG0000052	WP_010939677.1	Utg859982_225, Utg857076_61
OG0000052	WP_011791785.1	Utg857682_28, Utg857046_241, Utg857994_129, Utg857152_135
OG0000053	WP_011792107.1	Utg859388_13
OG0000053	WP_011787362.1	Utg859432_19
OG0000053	WP_011792251.1	Utg857046_30
OG0000056	WP_011791533.1	Utg859098_380
OG0000058	WP_010938574.1	Utg860814_210
OG0000059	WP_010937832.1	Utg859098_365
OG0000060	WP_011792468.1	Utg859388_118, Utg857300_57, Utg866558_9
OG0000061	WP_011791554.1	Utg857682_55
OG0000062	WP_010939658.1	Utg859388_55
OG0000063	WP_010937703.1	Utg859388_77
OG0000064	WP_011792376.1	Utg860006_63, Utg859750_77
OG0000065	WP_010938763.1	Utg864866_69
OG0000065	WP_010938364.1	Utg859750_21
OG0000067	WP_011791864.1	Utg859388_56
OG0000069	WP_010940354.1	Utg857682_89, Utg857076_29
OG0000070	WP_011792560.1, WP_011792594.1	Utg859098_224
OG0000070	WP_223294581.1	Utg860006_144
OG0000071	WP_010940006.1, WP_010938017.1	Utg857046_242, Utg859076_12
OG0000071	WP_010937857.1	Utg859982_10
OG0000072	WP_010940007.1	Utg857046_243
OG0000072	WP_010937856.1	Utg859982_9
OG0000075	WP_010938534.1	Utg861744_17
OG0000075	WP_010937693.1	Utg857152_236
OG0000075	WP_010937418.1	Utg857994_104
OG0000076	WP_011792812.1	Utg861744_5
OG0000076	WP_223294670.1	Utg859076_57, Utg860814_43, Utg859098_152
OG0000077	WP_011792992.1	Utg857994_161
OG0000078	WP_011791625.1	Utg859982_201, Utg859982_200
OG0000078	WP_011792202.1	Utg860814_279, Utg857152_21
OG0000079	WP_011792883.1	Utg861744_10, Utg859750_81, Utg860006_159
OG0000082	WP_010937942.1, WP_010939878.1, WP_010939503.1, WP_011793168.1, WP_010937359.1	Utg859098_98
OG0000084	WP_011791721.1	Utg859236_68
OG0000085	WP_011792371.1	Utg860814_319, Utg860814_167
OG0000086	WP_011792617.1	Utg860006_109
OG0000087	WP_010940040.1	Utg858432_79
OG0000088	WP_011792102.1	Utg859236_115, Utg859236_116, Utg859076_58, Utg859098_154, Utg859098_153
OG0000091	WP_043629736.1	Utg859388_68
OG0000092	WP_011791541.1	Utg860814_99
OG0000093	WP_010938329.1	Utg859750_86
OG0000094	WP_011792116.1	Utg858494_66
OG0000094	WP_011791565.1	Utg857994_186
OG0000095	WP_011792244.1	Utg860006_150
OG0000097	WP_011792054.1	Utg861744_24
OG0000098	WP_011792837.1	Utg859982_8
OG0000098	WP_010938015.1	Utg859076_14
OG0000101	WP_010939270.1, WP_011792822.1	Utg865370_31, Utg859750_57
OG0000102	WP_010940470.1	Utg858432_73
OG0000103	WP_010938528.1	Utg857046_198, Utg857152_173
OG0000104	WP_010939083.1, WP_014524275.1	Utg857046_251
OG0000105	WP_010938500.1	Utg859388_70, Utg860814_77
OG0000106	WP_011792615.1	Utg857076_51, Utg857300_18, Utg857046_214
OG0000107	WP_010937936.1	Utg860814_263, Utg860814_264
OG0000110	WP_010938886.1	Utg861744_6
OG0000110	WP_010939354.1	Utg859076_54, Utg859098_150
OG0000112	WP_011792830.1, WP_011792050.1	Utg857152_85, Utg857682_172
OG0000113	WP_010940378.1	Utg857046_73
OG0000114	WP_011792216.1	Utg858494_132
OG0000114	WP_010938595.1	Utg863716_30
OG0000115	WP_010939125.1	Utg857152_65
OG0000116	WP_011792225.1	Utg857152_111
OG0000117	WP_011791710.1	Utg857046_88
OG0000117	WP_011791822.1	Utg864866_33
OG0000118	WP_011791821.1	Utg864866_34
OG0000118	WP_011791711.1	Utg857046_89
OG0000121	WP_011787357.1	Utg857994_106
OG0000121	WP_011791564.1	Utg857994_195
OG0000122	WP_011792236.1	Utg860814_103
OG0000122	WP_011792231.1	Utg857076_48
OG0000123	WP_010938887.1	Utg861744_8
OG0000125	WP_011791967.1	Utg857046_44
OG0000125	WP_011791647.1	Utg859982_62
OG0000126	WP_010940460.1	Utg859388_82
OG0000127	WP_010937986.1, WP_181409358.1	Utg857490_17
OG0000128	WP_011791538.1	Utg863716_100, Utg859098_212
OG0000129	WP_010937945.1	Utg857682_35
OG0000130	WP_223294580.1, WP_011176619.1	Utg864866_91, Utg857992_39
OG0000131	WP_011791342.1	Utg857994_138
OG0000131	WP_011792836.1	Utg859236_14
OG0000132	WP_010939230.1	Utg859098_255
OG0000133	WP_010938383.1	Utg864866_36
OG0000133	WP_011791712.1	Utg857046_90
OG0000134	WP_010938551.1	Utg859098_168
OG0000135	WP_011791597.1	Utg857152_96
OG0000136	WP_049758095.1	Utg859098_181
OG0000136	WP_223294604.1	Utg858498_14
OG0000137	WP_010939936.1	Utg857046_87
OG0000138	WP_010940324.1	Utg859388_169
OG0000139	WP_011792530.1	Utg860006_94, Utg857682_160, Utg857994_107
OG0000141	WP_011791661.1	Utg857682_146, Utg859750_50
OG0000142	WP_011792996.1	Utg860814_204
OG0000143	WP_011792337.1	Utg859750_71
OG0000144	WP_011792804.1, WP_010938541.1	Utg859388_32
OG0000145	WP_043629618.1	Utg860814_102, Utg860814_101
OG0000147	WP_011792469.1	Utg859388_119
OG0000149	WP_011791559.1	Utg857300_12
OG0000150	WP_010939076.1	Utg859982_197, Utg857046_26, Utg857152_38
OG0000152	WP_011792323.1	Utg860814_109
OG0000152	WP_010940001.1	Utg860814_116
OG0000154	WP_011792501.1	Utg865370_5
OG0000155	WP_010938876.1	Utg859098_381
OG0000156	WP_011791646.1	Utg859982_64
OG0000159	WP_010939223.1, WP_011793043.1	Utg857994_88
OG0000160	WP_010939839.1	Utg863716_47
OG0000161	WP_010939916.1	Utg859236_62
OG0000162	WP_010938840.1, WP_011792479.1, WP_011791513.1	Utg857046_72
OG0000163	WP_010940363.1	Utg861744_18, Utg857076_25
OG0000164	WP_011791450.1	Utg857300_2
OG0000166	WP_011791768.1	Utg858432_139
OG0000167	WP_010937731.1	Utg864866_73, Utg859982_154
OG0000169	WP_011792420.1	Utg859982_43
OG0000169	WP_010937667.1	Utg859098_429
OG0000170	WP_011792245.1	Utg857152_75, Utg857152_74
OG0000172	WP_011791937.1	Utg860006_25
OG0000173	WP_010939858.1	Utg861744_119
OG0000174	WP_011792674.1	Utg860814_189
OG0000176	WP_010939204.1	Utg859982_112
OG0000179	WP_010938734.1, WP_010939715.1, WP_010939359.1	Utg859098_69, Utg859098_70
OG0000180	WP_011792418.1, WP_010937666.1, WP_010938677.1	Utg859236_79
OG0000181	WP_043629990.1	Utg857046_168, Utg860814_302
OG0000183	WP_011791957.1	Utg862138_16
OG0000184	WP_010940610.1	Utg859388_167
OG0000185	WP_081428874.1	Utg859098_331
OG0000187	WP_010940180.1	Utg858494_144, Utg858494_131
OG0000188	WP_011791809.1	Utg857152_35
OG0000189	WP_011791869.1	Utg860006_69
OG0000190	WP_010939066.1, WP_011793101.1	Utg864866_78
OG0000193	WP_010939362.1	Utg859750_20
OG0000194	WP_011787414.1	Utg861744_61
OG0000194	WP_010939235.1	Utg861744_41
OG0000195	WP_011791944.1	Utg859098_286, Utg860814_283
OG0000196	WP_011791954.1	Utg862138_14
OG0000199	WP_011792175.1	Utg857152_82, Utg859098_216
OG0000201	WP_011791421.1, WP_011792846.1	Utg859750_26
OG0000202	WP_011793009.1	Utg857682_175, Utg857300_47
OG0000203	WP_011791587.1	Utg857076_50, Utg857300_19
OG0000203	WP_011791454.1	Utg857076_65
OG0000204	WP_011793045.1	Utg857152_212
OG0000204	WP_011791698.1, WP_011793107.1, WP_011791422.1, WP_011791438.1	Utg860814_30
OG0000205	WP_010937341.1	Utg857682_46
OG0000207	WP_010940291.1	Utg857682_58
OG0000208	WP_011791552.1	Utg857682_59
OG0000209	WP_011792598.1	Utg857046_253
OG0000210	WP_010937439.1, WP_014524330.1	Utg857300_1
OG0000211	WP_011791766.1, WP_011787346.1, WP_011792255.1	Utg859432_43
OG0000212	WP_011792153.1	Utg859982_111
OG0000214	WP_011793117.1, WP_011793116.1	Utg862138_34
OG0000215	WP_010937992.1	Utg861744_111
OG0000216	WP_011793129.1	Utg857046_32
OG0000217	WP_010939133.1	Utg859236_44
OG0000218	WP_010938558.1	Utg861448_5, Utg857682_32, Utg857682_33
OG0000219	WP_014524381.1	Utg859098_413, Utg860814_128, Utg857152_18
OG0000221	WP_011792772.1	Utg860814_94
OG0000222	WP_011791920.1, WP_223294689.1	Utg857076_18
OG0000223	WP_010938648.1	Utg859388_18
OG0000225	WP_010939784.1	Utg859982_121, Utg864866_44
OG0000226	WP_010939105.1, WP_010939106.1	Utg857152_57
OG0000227	WP_011792871.1	Utg857992_19
OG0000228	WP_011792579.1	Utg857994_154
OG0000230	WP_010939852.1	Utg859098_371, Utg859098_166
OG0000232	WP_011791500.1	Utg859982_75, Utg859982_74
OG0000232	WP_011791499.1	Utg859982_73
OG0000233	WP_010938704.1	Utg859098_376
OG0000234	WP_014524184.1, WP_010939427.1	Utg860006_56
OG0000235	WP_010939791.1	Utg863716_45
OG0000235	WP_010938191.1	Utg857152_83
OG0000237	WP_011792782.1, WP_011792427.1	Utg861744_115, Utg857682_142
OG0000239	WP_010937469.1	Utg859236_56
OG0000240	WP_043629138.1, WP_010938105.1, WP_043629997.1, WP_011792780.1, WP_011792799.1	Utg859098_373, Utg860814_39
OG0000242	WP_011792730.1	Utg859098_136, Utg866558_40, Utg859098_132
OG0000243	WP_010940402.1	Utg857682_39, Utg859236_70
OG0000244	WP_010940229.1	Utg859982_52
OG0000248	WP_010938759.1	Utg859432_49
OG0000250	WP_011791427.1, WP_010939149.1	Utg859098_87
OG0000252	WP_011791958.1	Utg859982_218
OG0000253	WP_011791802.1, WP_011791801.1	Utg858432_42
OG0000254	WP_010939526.1, WP_010940325.1	Utg859076_2
OG0000256	WP_011793118.1	Utg862138_36
OG0000257	WP_011791929.1	Utg859236_23
OG0000258	WP_010939337.1	Utg860814_310, Utg857994_234
OG0000259	WP_011792770.1	Utg860006_137
OG0000260	WP_010939132.1	Utg859432_35
OG0000261	WP_011792785.1	Utg860006_76
OG0000263	WP_223294628.1	Utg857682_148
OG0000263	WP_011791860.1	Utg859750_52
OG0000264	WP_010938076.1	Utg857152_109
OG0000265	WP_010938078.1	Utg857152_107
OG0000266	WP_010938217.1	Utg857152_69
OG0000268	WP_011792764.1	Utg860814_179, Utg863716_97
OG0000270	WP_010937324.1	Utg864866_30
OG0000271	WP_010940288.1	Utg857682_56
OG0000272	WP_010938742.1	Utg859098_1, Utg859098_2
OG0000273	WP_010938516.1	Utg858494_83
OG0000275	WP_011787355.1	Utg857994_171
OG0000277	WP_011791810.1	Utg860006_51
OG0000278	WP_011791959.1	Utg862138_9, Utg860006_100
OG0000280	WP_010937609.1	Utg859098_116, Utg859098_117, Utg859098_115
OG0000282	WP_010937849.1, WP_010937434.1	Utg859236_92
OG0000284	WP_011792788.1	Utg857300_22
OG0000285	WP_010940031.1	Utg859236_43
OG0000286	WP_011792784.1	Utg860006_77
OG0000288	WP_011792198.1	Utg859098_256
OG0000290	WP_011791783.1	Utg860006_88
OG0000292	WP_011792092.1	Utg857490_19
OG0000294	WP_011791660.1	Utg857682_147
OG0000295	WP_223294586.1	Utg857994_140
OG0000296	WP_010940232.1, WP_010939150.1	Utg857152_73
OG0000297	WP_011792575.1	Utg861744_20
OG0000299	WP_011791465.1	Utg862138_30
OG0000300	WP_010939567.1, WP_010939601.1	Utg861744_126
OG0000301	WP_011792454.1	Utg858494_110
OG0000302	WP_011791854.1	Utg857076_54
OG0000309	WP_010937603.1	Utg858494_46
OG0000310	WP_011787359.1	Utg857994_232
OG0000310	WP_011792945.1	Utg857994_206
OG0000312	WP_011793105.1	Utg858432_93
OG0000313	WP_011792492.1	Utg859982_66
OG0000316	WP_043629054.1	Utg863716_86
OG0000320	WP_011792826.1	Utg857152_126, Utg857152_127
OG0000321	WP_011792110.1	Utg859982_133
OG0000323	WP_011791621.1	Utg857994_24, Utg858494_38
OG0000326	WP_011792611.1	Utg859236_22, Utg859236_21
OG0000327	WP_010937853.1	Utg859982_6
OG0000331	WP_043629609.1	Utg857994_45
OG0000332	WP_011791449.1	Utg857992_25, Utg857992_26
OG0000333	WP_011792647.1	Utg857152_84
OG0000335	WP_011791909.1	Utg857152_112
OG0000336	WP_010937968.1	Utg860006_136
OG0000338	WP_010939124.1	Utg857152_64
OG0000339	WP_011791786.1	Utg859982_81
OG0000343	WP_011791800.1	Utg858432_41
OG0000344	WP_011792447.1	Utg857046_33
OG0000346	WP_011791853.1	Utg857076_55
OG0000348	WP_011791623.1	Utg859076_6
OG0000349	WP_011792783.1	Utg860006_78
OG0000350	WP_010938092.1	Utg857682_131
OG0000352	WP_010939077.1	Utg857152_37
OG0000353	WP_010939841.1	Utg859982_181
OG0000355	WP_011792771.1	Utg860814_93
OG0000356	WP_010939497.1	Utg859098_215
OG0000357	WP_011792314.1	Utg859432_51
OG0000358	WP_011792626.1	Utg859098_231, Utg857152_203
OG0000359	WP_011791553.1	Utg857682_57, Utg864866_45
OG0000360	WP_010938090.1	Utg857490_30
OG0000361	WP_010938503.1	Utg859388_64
OG0000364	WP_011792640.1	Utg858494_57, Utg863716_12, Utg863716_13
OG0000365	WP_010939592.1, WP_010937330.1	Utg857152_129, Utg864866_79
OG0000366	WP_011791409.1, WP_011791408.1	Utg857152_194
OG0000367	WP_011791518.1	Utg864866_81, Utg864866_80
OG0000375	WP_011791652.1	Utg857152_124
OG0000379	WP_010938720.1, WP_010940036.1	Utg859076_60
OG0000380	WP_010939093.1	Utg858498_7
OG0000381	WP_011791991.1	Utg858432_57
OG0000382	WP_010937943.1, WP_010939504.1, WP_011793167.1	Utg859098_99
OG0000384	WP_010937551.1	Utg858432_115, Utg859098_420
OG0000388	WP_010938501.1	Utg859388_69
OG0000390	WP_010937704.1, WP_010937714.1	Utg859098_259
OG0000391	WP_010939193.1	Utg859388_80
OG0000392	WP_011791927.1	Utg859432_48
OG0000393	WP_011792321.1	Utg859388_122
OG0000394	WP_011792428.1	Utg858432_118
OG0000396	WP_011792627.1	Utg857046_205
OG0000398	WP_011792462.1	Utg859388_138, Utg857046_187
OG0000399	WP_010937883.1	Utg857994_19
OG0000400	WP_011791616.1	Utg857994_148
OG0000401	WP_010939095.1	Utg857490_22
OG0000403	WP_011792485.1	Utg859388_57
OG0000408	WP_011792429.1	Utg857046_206
OG0000409	WP_011792140.1	Utg859098_197, Utg859098_196
OG0000410	WP_010937473.1	Utg860814_206, Utg860814_207
OG0000412	WP_223294696.1	Utg866558_8
OG0000412	WP_011792467.1	Utg859388_117
OG0000413	WP_010937629.1	Utg862138_42
OG0000414	WP_010938768.1, WP_011792538.1	Utg864866_32
OG0000418	WP_011792638.1	Utg862138_20
OG0000419	WP_011791482.1	Utg860006_86
OG0000420	WP_011792487.1	Utg859388_60
OG0000422	WP_011792752.1	Utg857046_203
OG0000423	WP_011793124.1	Utg859098_157
OG0000424	WP_011792329.1	Utg860814_75
OG0000425	WP_010940414.1	Utg858494_44, Utg858432_11
OG0000427	WP_258312758.1	Utg857490_6
OG0000428	WP_010938540.1	Utg859388_59
OG0000433	WP_011793177.1	Utg857046_260
OG0000439	WP_010939842.1	Utg859982_185
OG0000440	WP_011791680.1	Utg859982_195
OG0000441	WP_043629623.1	Utg864866_104
OG0000442	WP_011792528.1	Utg859236_124, Utg859098_171
OG0000444	WP_014524613.1	Utg859098_354
OG0000445	WP_223294686.1	Utg859098_121
OG0000446	WP_010937614.1, WP_010938736.1	Utg859098_101, Utg859098_100, Utg859076_48
OG0000448	WP_010937854.1	Utg859982_7
OG0000451	WP_011792624.1	Utg857994_40, Utg865370_18
OG0000457	WP_011791333.1	Utg864866_63
OG0000458	WP_011792053.1	Utg866558_25
OG0000459	WP_010940242.1	Utg859098_217
OG0000460	WP_043629230.1	Utg858432_142
OG0000461	WP_010938112.1	Utg860814_196
OG0000462	WP_011792486.1	Utg859388_61
OG0000463	WP_011792431.1	Utg859982_12
OG0000465	WP_010938458.1, WP_011792597.1, WP_014524374.1	Utg857046_20
OG0000466	WP_010939080.1	Utg857046_29
OG0000467	WP_010937632.1	Utg861744_129
OG0000468	WP_011792746.1	Utg859982_19
OG0000469	WP_011792195.1	Utg857152_63
OG0000470	WP_011792673.1	Utg858432_109
OG0000471	WP_010937702.1	Utg859750_61
OG0000472	WP_011791932.1	Utg860006_132
OG0000473	WP_010939210.1	Utg861744_130
OG0000474	WP_043629567.1	Utg859098_439, Utg858498_4
OG0000476	WP_011792707.1	Utg857490_27
OG0000477	WP_011791415.1	Utg857046_213
OG0000478	WP_011792446.1	Utg857046_34
OG0000479	WP_011791861.1, WP_010940359.1	Utg859098_352
OG0000480	WP_010937325.1, WP_010939491.1	Utg858494_109
OG0000481	WP_219995814.1	Utg857046_84
OG0000482	WP_010937881.1	Utg857300_27
OG0000485	WP_011791862.1, WP_010940358.1	Utg859098_351
OG0000486	WP_011792689.1	Utg859982_148, Utg859982_149
OG0000487	WP_010938229.1	Utg859098_195
OG0000488	WP_010938489.1	Utg861744_54
OG0000489	WP_010938975.1	Utg859388_187, Utg858498_21
OG0000490	WP_010937352.1	Utg860814_326
OG0000491	WP_011791780.1	Utg857994_162
OG0000492	WP_011792326.1	Utg857152_223
OG0000493	WP_011791776.1, WP_011792197.1	Utg857152_45
OG0000494	WP_011792051.1	Utg857152_20
OG0000495	WP_043629742.1	Utg859098_239, Utg859098_238
OG0000496	WP_011791907.1	Utg862138_40
OG0000497	WP_011791930.1	Utg858432_129
OG0000498	WP_223294660.1	Utg858432_130
OG0000500	WP_011792097.1	Utg858494_89
OG0000501	WP_010938312.1	Utg859388_178
OG0000502	WP_011791592.1	Utg859098_218
OG0000504	WP_010940372.1	Utg860814_205
OG0000505	WP_011792089.1	Utg857994_68
OG0000506	WP_010940239.1	Utg859982_40
OG0000507	WP_011792008.1, WP_011792327.1	Utg859750_83
OG0000508	WP_011792359.1	Utg860006_116, Utg859076_17
OG0000509	WP_011792698.1	Utg861744_21
OG0000510	WP_011787353.1	Utg860814_70
OG0000511	WP_010938955.1	Utg857046_259
OG0000512	WP_010937769.1	Utg857994_18
OG0000514	WP_011791911.1	Utg858432_18
OG0000516	WP_011793110.1	Utg860814_197
OG0000517	WP_010939622.1	Utg857076_26
OG0000520	WP_010937630.1	Utg859388_149
OG0000521	WP_010938037.1	Utg859098_269
OG0000522	WP_011792155.1	Utg859098_204
OG0000523	WP_010938645.1	Utg859388_10
OG0000524	WP_010937314.1	Utg861744_33
OG0000526	WP_011791368.1	Utg863716_87
OG0000529	WP_011791940.1	Utg857152_77, Utg857152_76
OG0000530	WP_164561900.1	Utg858432_105
OG0000531	WP_011793151.1	Utg860006_87
OG0000532	WP_010940501.1	Utg860006_54
OG0000533	WP_011792113.1	Utg857152_27, Utg857152_26
OG0000535	WP_011792779.1	Utg857152_185
OG0000537	WP_010938258.1	Utg859098_185
OG0000539	WP_011792109.1	Utg857152_159
OG0000540	WP_043629788.1	Utg859236_26
OG0000542	WP_011793103.1, WP_011792943.1	Utg857152_50
OG0000543	WP_011792874.1	Utg859098_262
OG0000544	WP_010939602.1	Utg861744_125
OG0000545	WP_010939218.1	Utg859750_15
OG0000546	WP_081428870.1	Utg859432_39
OG0000549	WP_011792519.1	Utg858498_13
OG0000550	WP_011791414.1	Utg861448_9
OG0000551	WP_011791394.1	Utg860814_267
OG0000553	WP_010940353.1	Utg857682_87
OG0000555	WP_010938859.1	Utg857152_177, Utg857152_176
OG0000556	WP_010940534.1	Utg859982_140
OG0000556	WP_010940368.1	Utg864866_18
OG0000558	WP_010938694.1	Utg859236_71
OG0000561	WP_011792559.1	Utg865370_11
OG0000562	WP_011792500.1	Utg861744_43
OG0000563	WP_223294661.1	Utg857682_124
OG0000564	WP_010939810.1	Utg859750_48
OG0000565	WP_011791787.1	Utg859750_49
OG0000566	WP_011792887.1, WP_011792888.1	Utg857152_97
OG0000567	WP_011792529.1	Utg859076_62
OG0000568	WP_010940570.1	Utg859388_45, Utg859098_267
OG0000569	WP_011792578.1, WP_010938457.1	Utg857992_12
OG0000570	WP_011792432.1	Utg857046_194
OG0000571	WP_011792452.1	Utg857300_49
OG0000572	WP_011791668.1	Utg859982_161
OG0000575	WP_011792315.1	Utg859432_50
OG0000576	WP_010938916.1	Utg865370_28
OG0000577	WP_010939126.1	Utg857994_20
OG0000578	WP_011791317.1	Utg861744_32
OG0000579	WP_011792576.1	Utg861744_19
OG0000580	WP_010938909.1	Utg860814_282
OG0000581	WP_010940182.1	Utg858494_143
OG0000582	WP_010938185.1	Utg859750_11
OG0000583	WP_011792506.1	Utg857490_11
OG0000584	WP_010938376.1	Utg857046_225
OG0000585	WP_010938375.1	Utg857046_226
OG0000586	WP_010938373.1	Utg857046_228
OG0000587	WP_011791757.1	Utg859098_170
OG0000588	WP_011793193.1	Utg857046_250
OG0000589	WP_010940177.1	Utg859982_4
OG0000590	WP_011792493.1	Utg857046_196
OG0000591	WP_010939154.1	Utg859432_41
OG0000592	WP_010937795.1	Utg859098_167
OG0000593	WP_010939717.1	Utg858432_36
OG0000594	WP_011792105.1	Utg857152_39
OG0000595	WP_043629095.1	Utg860006_52
OG0000596	WP_010939198.1	Utg859098_222
OG0000597	WP_010938825.1	Utg859098_240
OG0000598	WP_010939782.1	Utg858432_39
OG0000599	WP_010938256.1	Utg859098_188
OG0000600	WP_011793123.1	Utg863716_90
OG0000601	WP_011792532.1	Utg859432_46
OG0000602	WP_010939199.1	Utg859098_243
OG0000603	WP_010939174.1	Utg860006_130
OG0000604	WP_223294672.1	Utg859750_70
OG0000605	WP_011792614.1	Utg863716_99
OG0000606	WP_010938095.1	Utg865370_35
OG0000607	WP_043629197.1	Utg857152_11
OG0000608	WP_010938113.1	Utg860814_195
OG0000609	WP_010939740.1	Utg857994_166
OG0000610	WP_043629734.1	Utg858494_91
OG0000611	WP_010940503.1	Utg859098_165
OG0000612	WP_011792682.1	Utg866558_22
OG0000613	WP_010938136.1	Utg866558_21
OG0000615	WP_010938173.1	Utg858494_101
OG0000616	WP_010938170.1	Utg858494_99
OG0000617	WP_010938599.1	Utg858494_129
OG0000618	WP_010938601.1	Utg858494_127
OG0000619	WP_010938602.1	Utg858494_126
OG0000620	WP_010938603.1	Utg858494_125
OG0000621	WP_010938604.1	Utg858494_124
OG0000622	WP_010940201.1	Utg859236_96
OG0000623	WP_011791413.1	Utg857994_147
OG0000624	WP_010938227.1	Utg859098_193
OG0000625	WP_010938226.1	Utg859098_192
OG0000626	WP_011792978.1	Utg861744_118
OG0000627	WP_011792444.1	Utg858494_90
OG0000628	WP_011792199.1	Utg859076_34
OG0000630	WP_010938669.1	Utg857152_31
OG0000631	WP_010938667.1	Utg857152_28
OG0000632	WP_010937362.1	Utg859388_81
OG0000633	WP_181409338.1	Utg861448_58, Utg861448_57, Utg860814_165
OG0000634	WP_011793164.1	Utg857994_128
OG0000635	WP_010938578.1	Utg859236_17
OG0000637	WP_010938504.1	Utg859388_63
OG0000638	WP_010938199.1	Utg857076_19
