Orthogroup	Desulfovibrio vulgaris DP4	Desulfocapsa_06_corrosive
OG0000043	WP_010938268.1	Utg323262_134, Utg323140_196, Utg323990_243, Utg323160_116, Utg323180_525, Utg323180_599
OG0000045	WP_011792363.1	Utg323180_405
OG0000046	WP_011792325.1	Utg324810_8
OG0000046	WP_081428943.1	Utg323180_156
OG0000047	WP_011793001.1, WP_011787324.1	Utg323990_19
OG0000047	WP_223294624.1	Utg323074_218, Utg323316_238, Utg323074_155
OG0000048	WP_010940286.1	Utg323266_109
OG0000048	WP_011792687.1	Utg323316_142
OG0000049	WP_011792396.1	Utg323300_370
OG0000052	WP_010939677.1	Utg323262_71
OG0000052	WP_011791785.1	Utg323152_537, Utg323074_111, Utg323300_411
OG0000053	WP_011792107.1	Utg323392_224
OG0000053	WP_011787362.1	Utg323180_371, Utg323316_65
OG0000053	WP_011792251.1	Utg323316_144
OG0000054	WP_011792972.1	Utg323990_236
OG0000055	WP_011791568.1	Utg323990_203, Utg323152_348, Utg323152_241
OG0000055	WP_011787329.1, WP_150100250.1	Utg323074_215
OG0000056	WP_010937885.1, WP_010937579.1, WP_223294671.1, WP_011792734.1, WP_011791533.1, WP_010937392.1, WP_011793187.1, WP_011793138.1, WP_043629981.1, WP_011791784.1	Utg323180_501
OG0000058	WP_010938574.1	Utg323180_619
OG0000060	WP_011792468.1	Utg323300_75, Utg323632_306
OG0000061	WP_011791554.1	Utg323266_110
OG0000062	WP_010939658.1	Utg323392_166
OG0000063	WP_010937703.1	Utg323392_142
OG0000064	WP_011792376.1	Utg323990_139, Utg323180_38
OG0000065	WP_010938763.1	Utg323140_85, Utg323160_21
OG0000065	WP_010938364.1	Utg323140_2, Utg323180_2
OG0000067	WP_011791864.1	Utg323392_165
OG0000067	WP_010939732.1	Utg323140_119
OG0000068	WP_190275043.1, WP_150100246.1	Utg323990_51
OG0000068	WP_011792000.1	Utg323180_344
OG0000069	WP_010940354.1	Utg325220_94, Utg323300_182, Utg323262_103
OG0000070	WP_011792560.1, WP_011792594.1	Utg323152_189
OG0000070	WP_223294581.1	Utg323990_69
OG0000071	WP_010940006.1, WP_010938017.1	Utg323152_536
OG0000071	WP_010937857.1	Utg323152_559
OG0000072	WP_010940007.1	Utg323152_535
OG0000072	WP_010937856.1	Utg323152_560
OG0000075	WP_010938534.1	Utg323160_84
OG0000076	WP_223294670.1	Utg323180_458, Utg323152_263
OG0000077	WP_011792992.1	Utg323074_141
OG0000078	WP_011791625.1	Utg323152_397
OG0000078	WP_011792202.1	Utg323180_686, Utg323300_294
OG0000079	WP_011792883.1	Utg323160_93, Utg323180_41, Utg323990_42
OG0000080	WP_223294589.1	Utg323140_241
OG0000082	WP_010937942.1, WP_010939878.1, WP_010939503.1, WP_011793168.1, WP_010937359.1	Utg323152_318
OG0000085	WP_011792371.1	Utg323180_592
OG0000086	WP_011792094.1	Utg323392_34
OG0000086	WP_011792911.1	Utg323180_528
OG0000087	WP_010940040.1	Utg323632_128
OG0000088	WP_011792102.1	Utg325220_103, Utg323180_457, Utg323152_262
OG0000091	WP_043629736.1	Utg323392_150
OG0000092	WP_011791541.1	Utg323152_94, Utg323180_509
OG0000093	WP_010938329.1	Utg323180_45
OG0000094	WP_011791565.1	Utg323074_170
OG0000095	WP_011792244.1	Utg323990_63
OG0000097	WP_011792054.1	Utg323160_75, Utg323266_3, Utg323160_123
OG0000098	WP_011792837.1	Utg323152_561
OG0000100	WP_010939709.1, WP_011791837.1	Utg323316_117, Utg323632_82
OG0000101	WP_010939270.1, WP_011792822.1	Utg323266_38, Utg323180_20
OG0000102	WP_010940470.1	Utg323632_122
OG0000103	WP_010938528.1	Utg323316_301, Utg323180_100
OG0000104	WP_010939083.1, WP_014524275.1	Utg323316_337
OG0000105	WP_010938500.1	Utg323392_148, Utg323180_490
OG0000106	WP_011792615.1	Utg323300_138, Utg323300_125, Utg323316_317
OG0000107	WP_010937936.1	Utg323180_669
OG0000110	WP_010939354.1	Utg323140_35, Utg323152_265
OG0000112	WP_011792830.1, WP_011792050.1	Utg323300_361
OG0000113	WP_010940378.1	Utg323316_179
OG0000114	WP_011792216.1	Utg323448_59
OG0000114	WP_010938595.1	Utg323180_193
OG0000115	WP_010939125.1	Utg323300_341
OG0000116	WP_011792225.1	Utg323300_387
OG0000117	WP_011791710.1	Utg323316_188
OG0000117	WP_011791822.1	Utg323140_129
OG0000118	WP_011791821.1	Utg323140_128
OG0000118	WP_011791711.1	Utg323316_189
OG0000119	WP_011793090.1	Utg323180_425
OG0000120	WP_010939361.1	Utg323140_117
OG0000121	WP_011787357.1	Utg323316_251, Utg323316_295, Utg323316_290
OG0000121	WP_011791564.1	Utg323074_180
OG0000122	WP_011792236.1	Utg323180_512
OG0000122	WP_011792231.1	Utg323300_431, Utg323262_85
OG0000125	WP_011791967.1	Utg323316_156
OG0000126	WP_010940460.1	Utg323392_137
OG0000127	WP_010937986.1, WP_181409358.1	Utg323448_31
OG0000128	WP_011791538.1	Utg323180_277, Utg323152_202
OG0000130	WP_223294580.1, WP_011176619.1	Utg323140_62, Utg323632_319
OG0000131	WP_011791342.1	Utg323074_120
OG0000131	WP_011792836.1, WP_010937626.1	Utg323990_32
OG0000133	WP_010938383.1	Utg323140_126
OG0000133	WP_011791712.1	Utg323316_190
OG0000134	WP_010938551.1	Utg323152_247
OG0000135	WP_011791597.1	Utg323300_373
OG0000135	WP_011792726.1	Utg323300_234
OG0000136	WP_049758095.1	Utg323152_230
OG0000136	WP_223294604.1	Utg323392_39
OG0000137	WP_010939936.1	Utg323316_187
OG0000138	WP_010940324.1	Utg323392_64
OG0000141	WP_011791661.1	Utg323300_418
OG0000142	WP_011792996.1	Utg323180_616
OG0000143	WP_011792337.1	Utg323180_33
OG0000144	WP_011792804.1, WP_010938541.1	Utg323392_195
OG0000145	WP_043629618.1	Utg323180_144, Utg323180_511, Utg323074_35, Utg323074_36
OG0000149	WP_011791559.1	Utg323300_144
OG0000150	WP_010939076.1	Utg323152_400, Utg323316_140, Utg323300_310
OG0000152	WP_011792323.1	Utg323180_516
OG0000152	WP_010940001.1	Utg323180_523
OG0000153	WP_010940352.1	Utg323300_187
OG0000154	WP_011792501.1	Utg323160_129, Utg323266_10
OG0000156	WP_011791968.1, WP_011791646.1	Utg323316_158
OG0000159	WP_011793043.1	Utg323180_417
OG0000160	WP_010939839.1	Utg323180_213
OG0000162	WP_010938840.1, WP_011792479.1, WP_011791513.1	Utg323316_178
OG0000163	WP_010940363.1	Utg323160_83, Utg323262_107
OG0000164	WP_011791450.1	Utg323300_166
OG0000166	WP_011791768.1	Utg323632_248
OG0000167	WP_010937731.1	Utg323140_81, Utg323152_436
OG0000168	WP_010937578.1, WP_010937835.1, WP_010939250.1, WP_010939253.1	Utg323300_260
OG0000169	WP_011792420.1	Utg323152_503
OG0000169	WP_010937667.1	Utg323392_14
OG0000170	WP_011792245.1	Utg323300_350
OG0000172	WP_011791937.1	Utg323990_178
OG0000173	WP_010939858.1	Utg324810_59
OG0000174	WP_011792674.1	Utg323180_604
OG0000174	WP_010938157.1	Utg323266_90
OG0000179	WP_010938734.1, WP_010939715.1, WP_010939359.1	Utg323152_376
OG0000180	WP_011792418.1, WP_010937666.1, WP_010938677.1	Utg323262_181, Utg323262_184
OG0000181	WP_043629990.1	Utg323316_243
OG0000183	WP_011791957.1	Utg323632_25
OG0000184	WP_010940610.1	Utg323392_66
OG0000185	WP_081428874.1	Utg323152_69
OG0000185	WP_011791484.1	Utg323316_113
OG0000187	WP_010940180.1	Utg323448_60, Utg323448_47
OG0000188	WP_011791809.1	Utg323300_307
OG0000189	WP_011791869.1	Utg323990_133
OG0000190	WP_010939066.1, WP_011793101.1	Utg323140_75
OG0000191	WP_010938461.1	Utg323266_48
OG0000193	WP_010939362.1	Utg323140_4, Utg323180_1
OG0000194	WP_011787414.1	Utg323160_22
OG0000194	WP_010939235.1	Utg323160_58, Utg323316_1
OG0000195	WP_011791944.1	Utg323152_119, Utg323180_690
OG0000196	WP_011791954.1	Utg323632_23
OG0000199	WP_011792175.1	Utg323300_357, Utg323152_198
OG0000201	WP_011791421.1, WP_011792846.1	Utg323180_6
OG0000202	WP_011793009.1	Utg325220_64, Utg323140_270, Utg323300_104
OG0000203	WP_011791587.1	Utg323262_83, Utg323300_137
OG0000203	WP_011791454.1	Utg323262_67
OG0000204	WP_011793045.1	Utg323180_154
OG0000204	WP_011791698.1, WP_011793107.1, WP_011791422.1, WP_011791438.1	Utg323180_449
OG0000205	WP_010937341.1	Utg323266_99
OG0000207	WP_010940291.1	Utg323266_113
OG0000208	WP_011791552.1	Utg323266_114
OG0000209	WP_011792598.1	Utg323316_339
OG0000210	WP_010937439.1, WP_014524330.1	Utg323300_167
OG0000211	WP_011791766.1, WP_011787346.1, WP_011792255.1	Utg323140_182
OG0000213	WP_223294656.1	Utg323180_404
OG0000214	WP_011793117.1, WP_011793116.1	Utg323632_45
OG0000215	WP_010937992.1	Utg324810_67
OG0000216	WP_011793129.1	Utg323316_146
OG0000217	WP_010939133.1	Utg324548_25
OG0000217	WP_010939603.1, WP_223294665.1	Utg323262_16
OG0000218	WP_010938558.1	Utg323632_371, Utg323266_87, Utg323266_88
OG0000219	WP_014524381.1	Utg323180_543, Utg323300_291
OG0000221	WP_011792772.1	Utg323180_504
OG0000222	WP_011791920.1, WP_223294689.1	Utg323262_114
OG0000223	WP_010938648.1	Utg323392_219
OG0000225	WP_010939784.1	Utg323152_460, Utg323140_111
OG0000226	WP_010939105.1, WP_010939106.1	Utg323300_329
OG0000227	WP_011792871.1	Utg323632_351
OG0000228	WP_011792579.1	Utg323074_134
OG0000230	WP_010939852.1	Utg323152_249
OG0000232	WP_011791500.1	Utg323152_484
OG0000232	WP_011791499.1	Utg323152_485
OG0000233	WP_010938704.1	Utg323152_10
OG0000234	WP_014524184.1, WP_010939427.1	Utg323990_146
OG0000235	WP_010939791.1	Utg323180_210
OG0000235	WP_010938191.1	Utg323300_358
OG0000237	WP_011792782.1, WP_011792427.1	Utg324810_62, Utg323300_24
OG0000239	WP_010937469.1	Utg324548_14
OG0000240	WP_043629138.1, WP_010938105.1, WP_043629997.1, WP_011792780.1, WP_011792799.1	Utg323152_13, Utg323180_454
OG0000242	WP_011792730.1	Utg323152_279, Utg323632_279, Utg323152_284
OG0000243	WP_010940402.1	Utg323180_67, Utg323266_94, Utg323160_100, Utg323160_101
OG0000244	WP_010940229.1	Utg323152_496, Utg323180_143
OG0000248	WP_010938759.1	Utg323140_188
OG0000250	WP_011791427.1, WP_010939149.1	Utg323152_330
OG0000253	WP_011791802.1, WP_011791801.1	Utg323632_102
OG0000256	WP_011793118.1	Utg323632_47
OG0000257	WP_011791929.1	Utg323990_211, Utg324810_19
OG0000258	WP_010939337.1	Utg323074_197, Utg323316_263
OG0000259	WP_011792770.1	Utg323990_75
OG0000260	WP_010939132.1	Utg323140_174
OG0000261	WP_011792785.1	Utg323990_127
OG0000263	WP_223294628.1	Utg323300_416
OG0000264	WP_010938076.1	Utg323262_53, Utg323300_385
OG0000265	WP_010938078.1	Utg323262_60, Utg323300_383
OG0000266	WP_010938217.1	Utg323262_57, Utg323300_345
OG0000268	WP_011792764.1	Utg323180_596, Utg323180_274
OG0000270	WP_011791353.1	Utg323300_147
OG0000270	WP_010937324.1	Utg323140_132
OG0000271	WP_010940288.1	Utg323266_111
OG0000272	WP_010938742.1	Utg324810_29, Utg323152_381
OG0000273	WP_010938516.1	Utg323448_108
OG0000274	WP_043629524.1	Utg323160_113
OG0000275	WP_011787355.1	Utg323074_158
OG0000277	WP_011791810.1	Utg323990_152
OG0000278	WP_011791959.1	Utg323632_18, Utg323990_104
OG0000280	WP_010937609.1	Utg323152_299, Utg323152_300
OG0000282	WP_010937849.1, WP_010937434.1	Utg323262_154
OG0000284	WP_011792788.1	Utg323300_134
OG0000285	WP_010940031.1	Utg324548_26
OG0000286	WP_011792784.1	Utg323990_126
OG0000286	WP_081428946.1	Utg323300_413
OG0000288	WP_011792198.1	Utg323152_159
OG0000290	WP_011791783.1	Utg323990_110
OG0000291	WP_010939194.1	Utg323152_390
OG0000292	WP_011792092.1	Utg323448_29
OG0000294	WP_011791660.1	Utg323300_417
OG0000295	WP_223294586.1	Utg323074_122
OG0000296	WP_010940232.1, WP_010939150.1	Utg323180_360, Utg323140_32, Utg323300_349
OG0000297	WP_011792575.1	Utg323160_80, Utg323160_79
OG0000299	WP_011791465.1	Utg323392_237, Utg323632_41
OG0000300	WP_010939567.1, WP_010939601.1	Utg323180_71, Utg324810_53
OG0000301	WP_011792454.1	Utg323448_82
OG0000302	WP_011791854.1	Utg323262_78
OG0000309	WP_010937603.1	Utg323300_194
OG0000310	WP_011787359.1	Utg323074_211
OG0000310	WP_011792945.1	Utg323074_190
OG0000311	WP_010937595.1	Utg323152_590
OG0000312	WP_011793105.1	Utg323632_140, Utg323632_141
OG0000316	WP_043629054.1	Utg323180_263
OG0000320	WP_011792826.1	Utg323300_402
OG0000323	WP_010939476.1	Utg323392_252
OG0000323	WP_011791621.1	Utg323074_32
OG0000326	WP_011792611.1	Utg323990_210
OG0000327	WP_010937853.1	Utg323152_563
OG0000331	WP_043629609.1	Utg323074_59
OG0000332	WP_011791449.1	Utg323632_344, Utg323632_343
OG0000333	WP_011792647.1	Utg323300_359
OG0000335	WP_011791909.1	Utg323300_388, Utg323300_389
OG0000336	WP_010937968.1	Utg323990_76
OG0000338	WP_010939124.1	Utg323300_340
OG0000339	WP_011791786.1	Utg323152_478
OG0000340	WP_010938005.1	Utg323140_255
OG0000341	WP_011791904.1	Utg325220_86
OG0000343	WP_011791800.1	Utg323632_101
OG0000344	WP_011792447.1	Utg323316_147
OG0000345	WP_010938967.1	Utg323140_249
OG0000346	WP_011791853.1	Utg323262_77
OG0000348	WP_011791623.1	Utg323140_253
OG0000349	WP_011792783.1	Utg323300_414, Utg323990_125
OG0000350	WP_010938092.1	Utg323266_68, Utg323392_31
OG0000352	WP_010939077.1	Utg323300_309
OG0000353	WP_010939841.1	Utg323152_411
OG0000354	WP_010938317.1	Utg323140_240
OG0000355	WP_011792771.1	Utg323180_503
OG0000356	WP_010939497.1	Utg325220_24, Utg323152_199
OG0000357	WP_011792314.1	Utg323140_190
OG0000358	WP_011792626.1	Utg323152_183, Utg323180_133
OG0000359	WP_011791553.1	Utg323266_112, Utg323140_110
OG0000360	WP_010938090.1	Utg323448_18
OG0000361	WP_010938503.1	Utg323392_154
OG0000363	WP_011792691.1	Utg323266_83
OG0000364	WP_011792640.1	Utg323448_115, Utg324810_20, Utg323180_185
OG0000365	WP_010939592.1, WP_010937330.1	Utg323300_405, Utg323140_74
OG0000366	WP_011791409.1, WP_011791408.1	Utg323180_120
OG0000367	WP_011791518.1	Utg323140_73
OG0000375	WP_011791652.1	Utg323300_400
OG0000379	WP_010938720.1, WP_010940036.1	Utg324548_30
OG0000380	WP_010939093.1	Utg323392_22
OG0000381	WP_011791991.1	Utg323266_59, Utg323262_166
OG0000382	WP_010937943.1, WP_010939504.1, WP_011793167.1	Utg323152_317
OG0000384	WP_010937551.1	Utg323632_224, Utg323392_7
OG0000388	WP_010938501.1	Utg323392_149
OG0000389	WP_010940621.1	Utg325220_115
OG0000390	WP_010937704.1, WP_010937714.1	Utg323152_156
OG0000391	WP_010939193.1	Utg323392_139
OG0000392	WP_011791927.1	Utg323140_187
OG0000393	WP_011792321.1	Utg323392_115
OG0000394	WP_011792428.1	Utg323632_227
OG0000396	WP_011792627.1	Utg323316_308
OG0000398	WP_011792462.1	Utg323316_283
OG0000399	WP_010937883.1	Utg323074_27
OG0000400	WP_011791616.1	Utg323074_129
OG0000401	WP_010939095.1	Utg323448_26
OG0000402	WP_011791561.1	Utg323074_201
OG0000403	WP_011792485.1	Utg323392_161
OG0000407	WP_011792056.1	Utg323300_231
OG0000408	WP_011792429.1	Utg323316_309
OG0000409	WP_011792140.1	Utg323152_214, Utg323152_215
OG0000410	WP_010937473.1	Utg323180_618
OG0000411	WP_043629982.1	Utg323180_184
OG0000412	WP_223294696.1	Utg323632_307
OG0000413	WP_010937629.1	Utg323632_56
OG0000414	WP_010938768.1, WP_011792538.1	Utg323140_130
OG0000415	WP_011793093.1	Utg323180_424
OG0000418	WP_011792638.1	Utg323632_29
OG0000419	WP_011791482.1	Utg323990_112
OG0000420	WP_011792487.1	Utg323392_158
OG0000421	WP_011792174.1	Utg323300_89
OG0000422	WP_011792752.1	Utg323316_306
OG0000423	WP_011793124.1	Utg323152_258, Utg323152_259
OG0000424	WP_011792329.1	Utg323180_488
OG0000425	WP_010940414.1	Utg323632_72
OG0000427	WP_258312758.1	Utg323448_41
OG0000428	WP_010938540.1	Utg323392_159
OG0000431	WP_011792086.1	Utg323140_38
OG0000433	WP_011793177.1	Utg323316_347
OG0000435	WP_010937470.1	Utg323316_84
OG0000436	WP_011791570.1, WP_011792953.1, WP_011792988.1	Utg323152_368
OG0000439	WP_010939842.1	Utg323152_408
OG0000440	WP_011791680.1	Utg323152_402
OG0000441	WP_043629623.1	Utg323152_387, Utg323140_50, Utg323152_388
OG0000444	WP_014524613.1	Utg323152_45
OG0000445	WP_223294686.1	Utg323152_295
OG0000446	WP_010937614.1, WP_010938736.1	Utg323152_316
OG0000447	WP_011792504.1	Utg323180_327, Utg323990_241
OG0000448	WP_010937854.1	Utg323152_562
OG0000449	WP_011792406.1	Utg323152_593
OG0000451	WP_011792624.1	Utg323074_46, Utg323266_24
OG0000452	WP_223294646.1	Utg323300_444, Utg323152_543
OG0000457	WP_011791333.1	Utg323140_93
OG0000458	WP_011792053.1	Utg323632_292
OG0000459	WP_010940242.1	Utg323152_197
OG0000460	WP_043629230.1	Utg323632_251
OG0000461	WP_010938112.1	Utg323266_1, Utg323180_610
OG0000462	WP_011792486.1	Utg323392_157
OG0000463	WP_011792431.1	Utg323152_557
OG0000465	WP_010938458.1, WP_011792597.1, WP_014524374.1	Utg323316_131
OG0000466	WP_010939080.1	Utg323316_143
OG0000467	WP_010937632.1	Utg324810_50
OG0000468	WP_011792746.1	Utg323152_550
OG0000469	WP_011792195.1	Utg323300_339
OG0000470	WP_011792673.1	Utg323632_217
OG0000471	WP_010937702.1	Utg323180_23
OG0000472	WP_011791932.1	Utg323990_82
OG0000473	WP_010939210.1	Utg324810_49
OG0000474	WP_043629567.1	Utg323392_19
OG0000475	WP_011791402.1	Utg323300_262
OG0000476	WP_011792707.1	Utg323448_21
OG0000477	WP_011791415.1	Utg323316_316
OG0000478	WP_011792446.1	Utg323316_148
OG0000479	WP_011791861.1, WP_010940359.1	Utg323152_47
OG0000480	WP_010937325.1, WP_010939491.1	Utg323448_83
OG0000481	WP_219995814.1	Utg323316_184
OG0000482	WP_010937881.1	Utg323300_126
OG0000484	WP_011791338.1	Utg323300_196
OG0000485	WP_011791862.1, WP_010940358.1	Utg323152_48
OG0000486	WP_011792689.1	Utg323152_439
OG0000487	WP_010938229.1	Utg323152_216
OG0000488	WP_010938489.1	Utg323160_29
OG0000489	WP_010938975.1	Utg323392_46
OG0000490	WP_010937352.1	Utg323180_708
OG0000491	WP_011791780.1	Utg323074_142
OG0000492	WP_011792326.1	Utg323180_163
OG0000493	WP_011791776.1, WP_011792197.1	Utg323300_317
OG0000494	WP_011792051.1	Utg323300_293
OG0000495	WP_043629742.1	Utg323152_176
OG0000496	WP_011791907.1	Utg323632_52
OG0000497	WP_011791930.1	Utg323632_236
OG0000498	WP_223294660.1	Utg323632_237
OG0000500	WP_011792097.1	Utg323448_101
OG0000501	WP_010938312.1	Utg323392_55
OG0000502	WP_011791592.1	Utg323152_196
OG0000504	WP_010940372.1	Utg323180_617
OG0000505	WP_011792089.1	Utg323266_72
OG0000506	WP_010940239.1	Utg323262_175, Utg323152_506
OG0000507	WP_011792008.1, WP_011792327.1	Utg323180_43
OG0000508	WP_011792359.1	Utg323300_12
OG0000509	WP_011792698.1	Utg323160_78
OG0000510	WP_011787353.1	Utg323180_484
OG0000511	WP_010938955.1	Utg323316_346
OG0000512	WP_010937769.1	Utg323074_26
OG0000513	WP_011791403.1	Utg323300_263
OG0000514	WP_011791911.1	Utg323632_76
OG0000516	WP_011793110.1	Utg323180_611, Utg323266_2
OG0000517	WP_010939622.1	Utg323262_106
OG0000518	WP_223294635.1, WP_014524349.1	Utg323180_544
OG0000520	WP_010937630.1	Utg323392_86
OG0000521	WP_010938037.1	Utg323152_146
OG0000522	WP_011792155.1	Utg323152_209
OG0000523	WP_010938645.1	Utg323392_227
OG0000524	WP_010937314.1	Utg323160_66
OG0000526	WP_011791368.1	Utg323180_264
OG0000529	WP_011791940.1	Utg323300_351
OG0000530	WP_164561900.1	Utg323632_211, Utg323632_212
OG0000531	WP_011793151.1	Utg323990_111
OG0000532	WP_010940501.1	Utg323990_149
OG0000533	WP_011792113.1	Utg323300_299
OG0000535	WP_011792779.1	Utg323180_111
OG0000537	WP_010938258.1	Utg323152_226
OG0000538	WP_010939273.1	Utg323140_264, Utg325220_1
OG0000539	WP_011792109.1	Utg323180_65
OG0000540	WP_043629788.1	Utg323990_215
OG0000542	WP_011793103.1, WP_011792943.1	Utg323300_321
OG0000543	WP_011792874.1	Utg323152_153
OG0000544	WP_010939602.1	Utg324810_54
OG0000545	WP_010939218.1	Utg323140_9
OG0000546	WP_081428870.1	Utg323140_178
OG0000548	WP_010938966.1	Utg323140_246
OG0000549	WP_011792519.1	Utg323392_28
OG0000550	WP_011791414.1	Utg323632_387, Utg323392_263
OG0000551	WP_011791394.1	Utg323180_674
OG0000551	WP_010939110.1	Utg323180_673
OG0000553	WP_010940353.1	Utg323300_184, Utg325220_97
OG0000555	WP_010938859.1	Utg323180_103
OG0000556	WP_010940534.1	Utg323152_446
OG0000556	WP_010940368.1	Utg323140_140
OG0000558	WP_010938694.1	Utg323152_97
OG0000560	WP_011791495.1	Utg323266_40
OG0000561	WP_011792559.1	Utg323266_17
OG0000562	WP_011792500.1	Utg323160_42
OG0000563	WP_223294661.1	Utg323262_167, Utg323266_71
OG0000566	WP_011792887.1, WP_011792888.1	Utg323300_374
OG0000568	WP_010940570.1	Utg323392_178, Utg323152_148
OG0000569	WP_011792578.1, WP_010938457.1	Utg323632_362
OG0000570	WP_011792432.1	Utg323316_297
OG0000571	WP_011792452.1	Utg323300_101
OG0000572	WP_011791668.1	Utg323152_431
OG0000575	WP_011792315.1	Utg323140_189
OG0000576	WP_010938916.1	Utg323266_35
OG0000577	WP_010939126.1	Utg323074_28
OG0000578	WP_011791317.1	Utg323160_67
OG0000579	WP_011792576.1	Utg323160_81
OG0000580	WP_010938909.1	Utg323180_689
OG0000581	WP_010940182.1	Utg323448_49
OG0000582	WP_010938185.1	Utg323140_12
OG0000583	WP_011792506.1	Utg323448_37
OG0000584	WP_010938376.1	Utg323316_328
OG0000585	WP_010938375.1	Utg323316_329
OG0000586	WP_010938373.1	Utg323316_331
OG0000587	WP_011791757.1	Utg323152_245
OG0000588	WP_011793193.1	Utg323316_336
OG0000589	WP_010940177.1	Utg323152_565
OG0000590	WP_011792493.1	Utg323316_300
OG0000591	WP_010939154.1	Utg323140_180
OG0000592	WP_010937795.1	Utg323152_248
OG0000593	WP_010939717.1	Utg323632_96
OG0000594	WP_011792105.1	Utg323300_311
OG0000595	WP_043629095.1	Utg323990_151
OG0000596	WP_010939198.1	Utg323152_192
OG0000597	WP_010938825.1	Utg323152_175
OG0000598	WP_010939782.1	Utg323632_99
OG0000599	WP_010938256.1	Utg323152_223
OG0000600	WP_011793123.1	Utg323180_267
OG0000601	WP_011792532.1	Utg323140_185
OG0000602	WP_010939199.1	Utg323152_172
OG0000603	WP_010939174.1	Utg323990_83
