user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
concoct_sample02.txt.040	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__	N/A	N/A	N/A	N/A	N/A	GCF_009258225.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas sp009258225	80.64	0.58	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_014905095.1, s__Sulfurimonas sp014905095, 95.0, 81.71, 0.36; GCF_014905115.1, s__Sulfurimonas sediminis, 95.0, 79.15, 0.13; GCF_000147355.1, s__Sulfurimonas autotrophica, 95.0, 78.83, 0.2; GCF_000242915.1, s__Sulfurimonas gotlandica, 95.0, 78.73, 0.32; GCF_009883775.1, s__Sulfurimonas sp002452895, 95.0, 78.72, 0.18; GCF_014905135.1, s__Sulfurimonas paralvinellae, 95.0, 78.71, 0.2; GCF_015265475.1, s__Sulfurimonas marisnigri, 95.0, 78.62, 0.3; GCA_015487435.1, s__Sulfurimonas sp015487435, 95.0, 78.55, 0.27; GCA_002732645.1, s__Sulfurimonas sp002732645, 95.0, 78.44, 0.17; GCF_015265455.1, s__Sulfurimonas baltica, 95.0, 78.43, 0.25; GCF_009068765.1, s__Sulfurimonas sp009068765, 95.0, 78.42, 0.12; GCF_000012965.1, s__Sulfurimonas denitrificans, 95.0, 78.26, 0.21; GCA_013153755.1, s__Sulfurimonas sp013153755, 95.0, 78.2, 0.21; GCF_009192995.1, s__Sulfurimonas indica, 95.0, 78.19, 0.22; GCF_017357825.1, s__Sulfurimonas sp017357825, 95.0, 78.1, 0.24; GCA_016937915.1, s__Sulfurimonas sp016937915, 95.0, 78.05, 0.16; GCF_005217605.1, s__Sulfurimonas crateris, 95.0, 77.95, 0.19; GCA_013607665.1, s__Sulfurimonas sp013607665, 95.0, 77.94, 0.15; GCA_002733945.2, s__Sulfurimonas sp002733945, 95.0, 77.94, 0.2; GCA_016744025.1, s__Sulfurimonas sp016744025, 95.0, 77.89, 0.26; GCA_002781365.1, s__Sulfurimonas sp002781365, 95.0, 77.86, 0.21; GCA_013791885.1, s__Sulfurimonas sp013791885, 95.0, 77.84, 0.21; GCA_003978465.1, s__Sulfurimonas sp003978465, 95.0, 77.8, 0.14; GCA_015488855.1, s__Sulfurimonas sp015488855, 95.0, 77.77, 0.16; GCA_002733155.1, s__Sulfurimonas sp002733155, 95.0, 77.76, 0.22; GCA_001829675.1, s__Sulfurimonas sp001829675, 95.0, 77.55, 0.18; GCA_002452425.1, s__Sulfurimonas sp002452425, 95.0, 77.54, 0.09; GCA_018698455.1, s__Sulfurimonas sp018698455, 95.0, 77.5, 0.17; GCA_015663215.1, s__Sulfurimonas sp015663215, 95.0, 77.47, 0.15; GCA_016938175.1, s__Sulfurimonas sp016938175, 95.0, 77.47, 0.22; GCF_000445475.1, s__Sulfurimonas hongkongensis, 95.0, 77.41, 0.26; GCA_014381585.1, s__Sulfurimonas ponti, 95.0, 77.39, 0.19; GCA_013607635.1, s__Sulfurimonas sp013607635, 95.0, 77.35, 0.15; GCA_014859695.1, s__Sulfurimonas sp014859695, 95.0, 77.34, 0.13; GCA_011391635.1, s__Sulfurimonas sp011391635, 95.0, 77.33, 0.15; GCA_015662405.1, s__Sulfurimonas autotrophica_A, 95.0, 77.32, 0.13; GCA_002899765.1, s__Sulfurimonas sp002899765, 95.0, 77.3, 0.15; GCA_002335055.1, s__Sulfurimonas sp002335055, 95.0, 77.27, 0.23; GCA_018822665.1, s__Sulfurimonas sp018822665, 95.0, 77.14, 0.15; GCA_015488615.1, s__Sulfurimonas sp015488615, 95.0, 77.13, 0.21; GCA_016744115.1, s__Sulfurimonas sp016744115, 95.0, 77.05, 0.2; GCA_001829625.1, s__Sulfurimonas sp001829625, 95.0, 77.04, 0.15; GCA_001829715.1, s__Sulfurimonas sp001829715, 95.0, 77.03, 0.14; GCA_016764205.1, s__Sulfurimonas sp016764205, 95.0, 77.02, 0.11; GCA_001829785.1, s__Sulfurimonas sp001829785, 95.0, 76.98, 0.17; GCA_018824795.1, s__Sulfurimonas sp018824795, 95.0, 76.98, 0.14; GCA_018825665.1, s__Sulfurimonas sp018825665, 95.0, 76.97, 0.17; GCA_001873135.1, s__Sulfurimonas sp001873135, 95.0, 76.9, 0.16; GCA_002428085.1, s__Sulfurimonas sp002428085, 95.0, 76.76, 0.15; GCA_016735225.1, s__Sulfurimonas sp016735225, 95.0, 76.71, 0.17; GCA_015487265.1, s__Sulfurimonas sp015487265, 95.0, 76.64, 0.13; GCA_903903705.1, s__Sulfurimonas sp903903705, 95.0, 76.54, 0.08	29.27	11	0.9742955405722854	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
concoct_sample03.txt.011	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_013389365.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__Desulfobacter latus	88.71	0.63	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_004319545.1, s__Desulfobacter hydrogenophilus, 95.0, 87.82, 0.74; GCA_003252055.1, s__Desulfobacter postgatei_B, 95.0, 87.33, 0.56; GCF_000233695.2, s__Desulfobacter postgatei, 95.0, 86.73, 0.65; GCF_000745975.1, s__Desulfobacter vibrioformis, 95.0, 86.53, 0.62; GCF_000373985.1, s__Desulfobacter curvatus, 95.0, 86.38, 0.7; GCA_002747145.1, s__Desulfobacter postgatei_A, 95.0, 85.89, 0.68; GCA_003538835.1, s__Desulfobacter sp003538835, 95.0, 76.87, 0.16	83.54	11	0.9863096884091301	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
concoct_sample03.txt.012	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Maridesulfovibrio;s__	N/A	N/A	N/A	N/A	N/A	GCF_000331025.1	95.0	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Maridesulfovibrio;s__Maridesulfovibrio hydrothermalis	80.44	0.45	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Maridesulfovibrio;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000023445.1, s__Maridesulfovibrio salexigens, 95.0, 80.8, 0.43; GCF_010470675.1, s__Maridesulfovibrio sp010470675, 95.0, 80.36, 0.44; GCF_000425265.1, s__Maridesulfovibrio zosterae, 95.0, 80.28, 0.4; GCF_010470665.1, s__Maridesulfovibrio sp010470665, 95.0, 80.27, 0.42; GCF_004923195.1, s__Maridesulfovibrio sp004923195, 95.0, 80.1, 0.44; GCA_002340305.1, s__Maridesulfovibrio sp002340305, 95.0, 79.68, 0.31; GCF_900101105.1, s__Maridesulfovibrio ferrireducens, 95.0, 78.02, 0.25; GCA_006210265.1, s__Maridesulfovibrio sp006210265, 95.0, 77.87, 0.23; GCF_900177375.1, s__Maridesulfovibrio gilichinskyi, 95.0, 77.86, 0.24; GCF_000711735.1, s__Maridesulfovibrio frigidus, 95.0, 77.64, 0.21; GCF_000429985.1, s__Maridesulfovibrio bastinii, 95.0, 77.5, 0.13	77.1	11	0.9701620518181763	N/A
concoct_sample03.txt.018_sub	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfocapsa;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018820855.1, s__Desulfocapsa sp018820855, 95.0, 82.61, 0.69; GCA_018817385.1, s__Desulfocapsa sp018817385, 95.0, 81.41, 0.62; GCF_000341395.1, s__Desulfocapsa sulfexigens, 95.0, 77.52, 0.12; GCA_016765495.1, s__Desulfocapsa sp016765495, 95.0, 77.09, 0.13; GCA_015662865.1, s__Desulfocapsa sulfexigens_B, 95.0, 76.98, 0.16; GCA_015661935.1, s__Desulfocapsa sulfexigens_A, 95.0, 76.43, 0.18	91.62	11	0.9539905874211873	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
concoct_sample03.txt.036	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__SZUA-371;g__JAFGXT01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016936495.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__SZUA-371;g__JAFGXT01;s__JAFGXT01 sp016936495	77.66	0.11	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__SZUA-371;g__JAFGXT01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	35.64	11	0.8638670304051418	N/A
concoct_sample03.txt.037	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__SZUA-575;s__	N/A	N/A	N/A	N/A	N/A	GCA_003249645.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__SZUA-575;s__SZUA-575 sp003249645	79.23	0.34	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__SZUA-575;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002747805.1, s__SZUA-575 sp002747805, 95.0, 76.19, 0.07	85.48	11	0.9565346322380215	N/A
concoct_sample03.txt.038	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ML635J-15;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ML635J-15;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	86.0	11	0.7614200835372867	N/A
concoct_sample03.txt.039_sub	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__Syntrophotaleaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	45.53	11	0.8268367114199288	N/A
concoct_sample03.txt.043	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	24.23	11	0.8099227597565544	N/A
concoct_sample03.txt.045	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__SZUA-371;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__SZUA-371;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	38.7	11	0.7265627807198918	N/A
concoct_sample03.txt.047	d__Bacteria;p__Muirbacteria;c__;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002869225.1	95.0	d__Bacteria;p__Muirbacteria;c__Muirbacteriia;o__Muirbacteriales;f__Muirbacteriaceae;g__Muirbacterium;s__Muirbacterium halophilum	75.54	0.01	d__Bacteria;p__Muirbacteria;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	47.78	11	0.3923271949732173	classification restricted to valid phylum
