Orthogroup	Desulfocapsa_06_corrosive	Shewanella oneidensis MR-1
OG0000017	Utg323990_193, Utg323990_194, Utg323180_486	WP_011070777.1, WP_011071144.1, WP_011073357.1
OG0000018	Utg323152_201	WP_011073068.1
OG0000019	Utg323140_131	WP_011071727.1
OG0000019	Utg323300_146	WP_011074040.1
OG0000019	Utg323262_129	WP_011072402.1, WP_011073412.1
OG0000020	Utg323152_283, Utg323632_271, Utg323152_268	WP_011070833.1
OG0000020	Utg323300_116	WP_011074129.1, WP_011074133.1
OG0000021	Utg323152_38	WP_011071923.1
OG0000022	Utg323152_194, Utg323180_278, Utg323392_113	WP_011071803.1, WP_011072720.1
OG0000024	Utg323180_286	WP_011073749.1
OG0000024	Utg323074_45	WP_011071179.1
OG0000026	Utg323632_118	WP_011070872.1
OG0000026	Utg323300_371	WP_006084975.1, WP_011070442.1
OG0000027	Utg323300_118	WP_011074132.1, WP_011074128.1
OG0000027	Utg323392_79, Utg323180_188	WP_011071257.1
OG0000030	Utg323160_85, Utg323160_112	WP_011071301.1
OG0000032	Utg323300_122	WP_011074076.1
OG0000033	Utg323140_147, Utg323140_146	WP_011074290.1
OG0000034	Utg323392_186, Utg323392_187	WP_011073333.1
OG0000035	Utg323180_199, Utg323262_95, Utg323300_305, Utg323300_236	WP_011074169.1, WP_011070429.1
OG0000037	Utg323160_55, Utg323160_54, Utg323180_53, Utg323180_177, Utg323180_533	WP_238560573.1
OG0000038	Utg323990_153, Utg323180_685, Utg323180_684	WP_011073885.1, WP_011073886.1
OG0000040	Utg323990_66	WP_011071891.1, WP_011073960.1
OG0000042	Utg323152_383	WP_011071918.1
OG0000043	Utg323262_134, Utg323140_196, Utg323990_243, Utg323160_116, Utg323180_525, Utg323180_599	WP_011073456.1
OG0000044	Utg323316_69, Utg323300_443	WP_011070883.1
OG0000045	Utg323180_405, Utg323180_245	WP_011070924.1
OG0000045	Utg324810_80, Utg323990_79	WP_011071240.1
OG0000045	Utg323300_218	WP_011073210.1
OG0000047	Utg323990_19, Utg323074_218, Utg323316_238, Utg323074_155	WP_164925892.1
OG0000049	Utg323300_370	WP_011073706.1, WP_011073980.1, WP_164925751.1, WP_011073209.1
OG0000052	Utg323262_71, Utg323152_537, Utg323074_111, Utg323300_411	WP_011074450.1, WP_011071675.1
OG0000053	Utg323392_224	WP_164925924.1
OG0000053	Utg323180_371	WP_011073632.1
OG0000053	Utg323316_144	WP_011071230.1
OG0000054	Utg323316_271, Utg323316_253	WP_011073962.1
OG0000054	Utg323990_236	WP_011073937.1
OG0000055	Utg323990_203, Utg323152_348, Utg323152_241	WP_011073153.1
OG0000056	Utg323180_501	WP_011072681.1
OG0000058	Utg323180_619, Utg323152_288, Utg323632_274, Utg323152_273, Utg323180_393, Utg323180_545	WP_164925641.1
OG0000060	Utg323300_75, Utg323632_306	WP_011070564.1
OG0000062	Utg323392_166, Utg323140_118	WP_011071925.1
OG0000063	Utg323632_334	WP_011071975.1
OG0000063	Utg323392_142	WP_011072151.1
OG0000065	Utg323140_85, Utg323160_21	WP_011071952.1, WP_011070961.1
OG0000065	Utg323140_2, Utg323180_2	WP_011071919.1
OG0000068	Utg323990_51, Utg323180_344, Utg325220_60	WP_011073624.1
OG0000070	Utg323990_69	WP_011074269.1
OG0000074	Utg323180_421, Utg325220_79	WP_011072654.1
OG0000075	Utg323160_84	WP_011071302.1
OG0000076	Utg323180_458, Utg323152_263	WP_011073088.1
OG0000077	Utg323074_141	WP_011071152.1
OG0000079	Utg323392_205	WP_011071515.1
OG0000080	Utg323140_241	WP_011073977.1
OG0000080	Utg323152_20	WP_011074382.1
OG0000080	Utg323316_249	WP_011073024.1
OG0000081	Utg323180_392, Utg323266_79	WP_011073637.1
OG0000082	Utg323392_216, Utg323152_318	WP_011071708.1, WP_011073949.1
OG0000085	Utg323180_592	WP_011073684.1
OG0000086	Utg323392_34	WP_011073755.1
OG0000087	Utg323140_87, Utg323152_497, Utg323632_128	WP_011071464.1
OG0000088	Utg325220_103	WP_274544479.1
OG0000088	Utg323180_457, Utg323152_262	WP_011073093.1
OG0000091	Utg323180_478	WP_011074036.1
OG0000091	Utg323392_150	WP_011072711.1
OG0000092	Utg323300_130	WP_011072485.1, WP_011071838.1
OG0000092	Utg323152_94, Utg323180_509	WP_011071174.1
OG0000093	Utg323180_45	WP_011073475.1
OG0000094	Utg323152_240, Utg323990_23	WP_011074278.1
OG0000095	Utg323300_425	WP_011071060.1
OG0000095	Utg323990_63	WP_011072735.1
OG0000096	Utg323392_43	WP_011071494.1
OG0000099	Utg323990_106, Utg323140_213, Utg324810_13, Utg323180_500, Utg323074_101, Utg323074_64	WP_011072500.1, WP_165443312.1
OG0000100	Utg323316_117, Utg323632_82	WP_011073485.1, WP_011073486.1
OG0000101	Utg323266_38, Utg323180_20	WP_011072328.1, WP_011072538.1
OG0000103	Utg323316_301, Utg323180_100	WP_011073353.1, WP_011071066.1, WP_011073588.1
OG0000105	Utg323392_148	WP_011072710.1
OG0000105	Utg323180_490	WP_011074037.1
OG0000106	Utg323300_138, Utg323300_125, Utg323316_317	WP_011074309.1, WP_011070542.1
OG0000107	Utg323266_55	WP_011070960.1
OG0000110	Utg323140_35, Utg323152_265	WP_164925741.1
OG0000112	Utg323300_361	WP_011070877.1
OG0000113	Utg323316_179	WP_011070488.1, WP_193378422.1
OG0000114	Utg323448_59, Utg323180_193	WP_011071132.1
OG0000115	Utg323300_341	WP_011070766.1
OG0000115	Utg323990_86	WP_011070806.1
OG0000116	Utg323300_39	WP_011071533.1
OG0000117	Utg323316_188	WP_238560518.1
OG0000118	Utg323140_128	WP_011071863.1
OG0000119	Utg323180_425	WP_011073622.1
OG0000121	Utg323074_180	WP_011073062.1
OG0000122	Utg323392_164, Utg323180_512, Utg323300_431, Utg323262_85	WP_011073479.1
OG0000123	Utg323152_264, Utg325220_102	WP_011072189.1
OG0000124	Utg323180_456	WP_011072315.1
OG0000126	Utg323392_137	WP_011073889.1, WP_011071224.1, WP_011072559.1
OG0000126	Utg323140_162	WP_164925838.1
OG0000127	Utg323448_31	WP_011070937.1, WP_011070936.1
OG0000128	Utg323180_277	WP_011072719.1
OG0000128	Utg323152_202	WP_164925918.1
OG0000129	Utg323180_691	WP_011074177.1, WP_011072325.1, WP_011072531.1, WP_011072068.1
OG0000130	Utg323140_62, Utg323632_319	WP_011073813.1, WP_011071510.1
OG0000131	Utg323074_120	WP_011074276.1
OG0000131	Utg323990_32	WP_011073076.1
OG0000133	Utg323140_126	WP_011071864.1
OG0000133	Utg323316_190	WP_011073952.1
OG0000134	Utg323140_101	WP_011072921.1
OG0000134	Utg323152_247	WP_011070453.1
OG0000135	Utg323300_373	WP_011072682.1
OG0000135	Utg323300_234	WP_011072007.1
OG0000136	Utg323152_230	WP_011070754.1
OG0000136	Utg323392_39	WP_011072090.1, WP_011073658.1
OG0000137	Utg323316_187, Utg323632_120, Utg323074_21, Utg323300_15	WP_011073955.1
OG0000138	Utg323392_64	WP_011072065.1
OG0000138	Utg323180_280	WP_011074179.1
OG0000143	Utg323140_49	WP_011070641.1
OG0000143	Utg323180_33	WP_011070643.1, WP_011070826.1, WP_011072164.1
OG0000144	Utg323392_160	WP_011073693.1
OG0000145	Utg323180_144, Utg323180_511, Utg323074_35, Utg323074_36	WP_011072293.1, WP_274544323.1
OG0000147	Utg323392_141	WP_011070775.1
OG0000147	Utg323632_318	WP_011070565.1
OG0000150	Utg323152_400, Utg323316_140, Utg323300_310	WP_011071499.1
OG0000151	Utg323316_242	WP_164925895.1
OG0000154	Utg323160_129, Utg323266_10	WP_011071098.1, WP_011072297.1
OG0000156	Utg323316_158	WP_011072753.1, WP_172966557.1
OG0000158	Utg323180_251	WP_011071551.1
OG0000160	Utg323180_213	WP_011072083.1, WP_011073275.1
OG0000163	Utg323160_83, Utg323262_107	WP_011072686.1
OG0000164	Utg323300_166	WP_011070705.1
OG0000165	Utg323140_175	WP_011074254.1
OG0000166	Utg323632_248	WP_011072678.1
OG0000166	Utg324810_90	WP_011074265.1
OG0000168	Utg323300_260	WP_011070460.1
OG0000169	Utg323152_503	WP_011072289.1
OG0000169	Utg323392_14	WP_164925791.1
OG0000170	Utg323300_350	WP_164925722.1
OG0000172	Utg323990_178	WP_011071837.1
OG0000173	Utg324810_59	WP_011074070.1
OG0000177	Utg323300_73	WP_164925652.1, WP_011071660.1
OG0000178	Utg323316_122, Utg324810_77	WP_011071538.1
OG0000179	Utg323152_376	WP_011073121.1, WP_011073122.1
OG0000183	Utg323632_25	WP_011071285.1
OG0000184	Utg323392_66	WP_011073828.1
OG0000184	Utg324548_16	WP_011073827.1
OG0000185	Utg323152_69	WP_011071291.1
OG0000187	Utg323448_60, Utg323448_47	WP_011070604.1, WP_011070615.1
OG0000188	Utg323300_307	WP_011072672.1
OG0000189	Utg323990_133	WP_011073743.1
OG0000190	Utg323140_75	WP_011074103.1
OG0000191	Utg323180_105	WP_011073796.1
OG0000192	Utg323180_399	WP_011071668.1
OG0000193	Utg323392_230, Utg323140_4, Utg323180_1	WP_011071804.1
OG0000195	Utg323152_119, Utg323180_690	WP_011072959.1
OG0000197	Utg323448_28	WP_011072025.1
OG0000197	Utg323180_590	WP_011070709.1
OG0000198	Utg323316_285	WP_011071934.1
OG0000200	Utg323074_145	WP_011074338.1
OG0000201	Utg323180_6	WP_011073893.1
OG0000203	Utg323262_83, Utg323300_137, Utg323262_67	WP_011074121.1
OG0000205	Utg323266_99	WP_011072292.1
OG0000207	Utg323266_113	WP_011071697.1
OG0000208	Utg323266_114	WP_011071698.1
OG0000210	Utg323300_167	WP_011070824.1
OG0000211	Utg323140_182	WP_011073968.1, WP_011073834.1
OG0000212	Utg324810_52	WP_011072160.1
OG0000214	Utg323632_45	WP_011071851.1
OG0000215	Utg324810_67	WP_011072513.1
OG0000216	Utg323316_146	WP_011070906.1
OG0000217	Utg324548_25, Utg323262_16	WP_011072567.1
OG0000218	Utg323632_371, Utg323266_87, Utg323266_88	WP_011073221.1
OG0000219	Utg323180_543, Utg323300_291	WP_011073290.1
OG0000222	Utg323262_114	WP_011073677.1
OG0000223	Utg323392_219	WP_011071799.1
OG0000225	Utg323152_460	WP_011072456.1
OG0000226	Utg323300_329	WP_011071424.1, WP_011073006.1, WP_011073007.1, WP_011071423.1
OG0000227	Utg323632_351	WP_011072928.1
OG0000228	Utg323074_134	WP_011073400.1
OG0000230	Utg323152_249	WP_011070594.1
OG0000232	Utg323152_484	WP_011072554.1
OG0000232	Utg323152_485	WP_011072555.1
OG0000233	Utg323152_10, Utg323266_103	WP_011072421.1
OG0000234	Utg323990_146	WP_007644947.1
OG0000235	Utg323180_210, Utg323300_358	WP_011070658.1
OG0000236	Utg323152_193	WP_011073712.1, WP_011070717.1
OG0000238	Utg325220_109, Utg323316_194	WP_011071225.1
OG0000239	Utg323266_22, Utg324548_14	WP_011073040.1
OG0000242	Utg323152_279, Utg323632_279, Utg323152_284	WP_011072198.1
OG0000243	Utg323180_67, Utg323266_94, Utg323160_100, Utg323160_101	WP_011073841.1
OG0000244	Utg323152_496, Utg323180_143, Utg323180_142, Utg323180_141	WP_011072179.1
OG0000245	Utg323316_355	WP_011072111.1
OG0000249	Utg323632_328	WP_011070495.1, WP_011070799.1, WP_011071836.1
OG0000250	Utg323152_330	WP_011073096.1
OG0000253	Utg323632_102	WP_011073904.1, WP_011073905.1
OG0000256	Utg323632_47	WP_238560588.1
OG0000257	Utg323990_211, Utg324810_19	WP_011070755.1
OG0000260	Utg323140_174	WP_011071974.1
OG0000261	Utg323300_415	WP_011073501.1
OG0000261	Utg323990_127	WP_011073468.1
OG0000262	Utg323152_138, Utg323152_139	WP_011071339.1, WP_011071933.1, WP_164925915.1
OG0000263	Utg323300_416	WP_011073465.1
OG0000264	Utg323262_53, Utg323300_385	WP_011074330.1
OG0000265	Utg323262_60, Utg323300_383	WP_011074332.1
OG0000266	Utg323262_57, Utg323300_345	WP_011074335.1
OG0000267	Utg323316_169	WP_011070862.1, WP_011074441.1, WP_011074195.1
OG0000268	Utg323180_596	WP_238560570.1
OG0000268	Utg323180_274	WP_011071397.1
OG0000269	Utg323448_118, Utg323448_117	WP_011071681.1
OG0000270	Utg323300_147, Utg323140_132	WP_011071728.1
OG0000271	Utg323266_111, Utg323140_109	WP_011072821.1
OG0000272	Utg324810_29, Utg323152_381	WP_011072181.1
OG0000277	Utg323990_152	WP_011074053.1
OG0000277	Utg323990_162	WP_164925622.1
OG0000280	Utg323152_299, Utg323152_300	WP_011073661.1
OG0000282	Utg323262_154	WP_011074294.1
OG0000283	Utg324810_45	WP_011072163.1
OG0000284	Utg323300_134	WP_011070541.1, WP_011072419.1
OG0000285	Utg324548_26	WP_011072952.1
OG0000286	Utg323990_126, Utg323300_413	WP_011071292.1
OG0000288	Utg323180_284	WP_011071130.1
OG0000288	Utg323152_159	WP_164925856.1
OG0000290	Utg323990_110	WP_011072343.1, WP_238560560.1
OG0000291	Utg323152_390	WP_011071410.1
OG0000294	Utg323300_417	WP_011073467.1
OG0000295	Utg323990_154, Utg323074_122	WP_011073887.1
OG0000296	Utg323180_360, Utg323140_32, Utg323300_349	WP_011072380.1
OG0000299	Utg323392_237, Utg323632_41	WP_011073882.1
OG0000300	Utg323180_71, Utg324810_53	WP_011072153.1
OG0000301	Utg323448_82	WP_011071783.1
OG0000303	Utg323990_183, Utg323990_188	WP_011073360.1
OG0000305	Utg323990_250	WP_011073686.1
OG0000306	Utg323152_287	WP_164925703.1, WP_011071113.1
OG0000308	Utg323632_21	WP_011071279.1
OG0000309	Utg323300_194	WP_011071595.1, WP_011070438.1
OG0000311	Utg323152_590, Utg323074_222, Utg323990_2	WP_011072135.1
OG0000312	Utg323632_140, Utg323632_141	WP_011070819.1
OG0000313	Utg323316_67	WP_011073771.1
OG0000315	Utg323180_180, Utg323300_449, Utg323300_159, Utg323152_459, Utg323160_49, Utg323262_194	WP_076611921.1
OG0000315	Utg323160_50, Utg323262_195	WP_274544499.1, WP_141135407.1
OG0000318	Utg323316_214, Utg323316_207	WP_011071900.1, WP_011071905.1, WP_011071629.1, WP_238560522.1
OG0000319	Utg323180_608	WP_011072205.1
OG0000320	Utg323300_402	WP_011072305.1
OG0000322	Utg323074_213	WP_011073058.1
OG0000323	Utg323392_252, Utg323074_32	WP_011074098.1
OG0000324	Utg323262_158	WP_011071654.1, WP_238560608.1, WP_011070844.1
OG0000325	Utg323140_86, Utg323632_345, Utg323632_283	WP_011071119.1
OG0000326	Utg323990_210	WP_011072729.1
OG0000329	Utg323160_39	WP_164925650.1, WP_011071245.1
OG0000331	Utg323074_59	WP_011072391.1, WP_011070665.1
OG0000332	Utg323632_344, Utg323632_343	WP_011072097.1
OG0000333	Utg323300_359	WP_011072976.1
OG0000335	Utg323316_153, Utg323300_388, Utg323300_389	WP_011070931.1
OG0000337	Utg323632_59	WP_011073303.1
OG0000338	Utg323300_340	WP_011072304.1
OG0000339	Utg323152_478	WP_011071571.1
OG0000340	Utg323300_112	WP_011071556.1
OG0000341	Utg325220_86	WP_011074400.1, WP_011074453.1
OG0000343	Utg323632_101	WP_011073906.1
OG0000345	Utg323140_249	WP_164925834.1
OG0000349	Utg323300_414, Utg323990_125	WP_011071293.1, WP_011073469.1
OG0000350	Utg323266_68, Utg323392_31	WP_011073022.1
OG0000351	Utg323316_170	WP_011074194.1, WP_011074442.1
OG0000352	Utg323300_309	WP_011071500.1
OG0000353	Utg323152_411	WP_011071907.1
OG0000354	Utg323140_240	WP_011073978.1
OG0000355	Utg323180_503	WP_011072812.1
OG0000356	Utg325220_24, Utg323152_199	WP_011073744.1
OG0000357	Utg323140_190	WP_011073698.1
OG0000358	Utg323152_183, Utg323180_133	WP_011072420.1
OG0000359	Utg323266_112, Utg323140_110	WP_011072820.1
OG0000360	Utg323448_18	WP_007651015.1
OG0000362	Utg323152_544	WP_011070529.1
OG0000362	Utg323074_50	WP_011072049.1
OG0000366	Utg323180_120	WP_011072246.1
OG0000370	Utg323074_44	WP_011072355.1, WP_011073328.1, WP_011072369.1, WP_011073742.1, WP_011074161.1, WP_011072290.1
OG0000371	Utg323300_419	WP_011071109.1
OG0000372	Utg323316_334	WP_011070445.1
OG0000373	Utg323316_333	WP_011070440.1
OG0000374	Utg323152_495	WP_011071852.1
OG0000375	Utg323300_400	WP_011073160.1
OG0000378	Utg323300_225, Utg323180_281	WP_011072003.1
OG0000381	Utg323266_59, Utg323262_166	WP_011070926.1
OG0000382	Utg323152_317	WP_011071707.1, WP_011073950.1
OG0000383	Utg323074_113	WP_011070809.1
OG0000385	Utg323990_182, Utg323990_189	WP_164925904.1
OG0000388	Utg323392_149	WP_006081231.1
OG0000389	Utg325220_115	WP_011072489.1, WP_011070448.1
OG0000390	Utg323152_156	WP_011071396.1
OG0000391	Utg323392_139	WP_011074277.1
OG0000393	Utg323392_115	WP_011070464.1
OG0000395	Utg323392_102	WP_011072444.1
OG0000397	Utg323152_152	WP_011070943.1
OG0000398	Utg323316_283	WP_011071816.1
OG0000399	Utg323074_27	WP_011074310.1, WP_164925796.1
OG0000400	Utg323074_129	WP_011072977.1, WP_011073596.1
OG0000401	Utg323448_26, Utg323152_132	WP_011072333.1
OG0000402	Utg323990_13, Utg323074_201	WP_011073147.1
OG0000403	Utg323392_161	WP_011073692.1
OG0000404	Utg323632_90	WP_011071509.1
OG0000406	Utg323300_304, Utg323632_208	WP_011073884.1
OG0000407	Utg323300_231	WP_007647520.1
OG0000408	Utg323316_309	WP_011073864.1
OG0000409	Utg323152_214, Utg323152_215	WP_011071363.1
OG0000410	Utg323180_618	WP_011071375.1
OG0000411	Utg323180_184	WP_164925601.1, WP_011074142.1
OG0000412	Utg323632_307	WP_011070563.1
OG0000413	Utg323632_56	WP_011073296.1
OG0000414	Utg323140_130	WP_011071865.1
OG0000417	Utg323316_134	WP_011071995.1
OG0000418	Utg323632_29	WP_011072966.1
OG0000419	Utg323990_112	WP_011072397.1
OG0000420	Utg323392_158	WP_011073084.1
OG0000421	Utg323300_89	WP_011074212.1
OG0000423	Utg323152_258, Utg323152_259	WP_164925682.1
OG0000424	Utg323180_488, Utg323990_209	WP_011074411.1
OG0000425	Utg323632_72	WP_011074325.1
OG0000426	Utg323152_151	WP_011072924.1
OG0000427	Utg323448_41	WP_011072306.1
OG0000428	Utg323392_159	WP_011073691.1
OG0000429	Utg323632_282	WP_011072763.1
OG0000433	Utg323316_347	WP_011071889.1
OG0000434	Utg323316_227, Utg323180_553	WP_011073587.1
OG0000435	Utg323316_84	WP_011072708.1
OG0000436	Utg323152_368	WP_011073144.1
OG0000437	Utg323300_48, Utg323140_223, Utg323262_143	WP_011071215.1
OG0000439	Utg323152_408	WP_011071906.1
OG0000443	Utg324810_34	WP_011073208.1
OG0000444	Utg323152_45	WP_011070433.1, WP_011074432.1, WP_011073269.1, WP_011071523.1
OG0000446	Utg323152_316	WP_011073130.1
OG0000449	Utg323152_593	WP_011071298.1
OG0000453	Utg323300_394	WP_011071070.1
OG0000457	Utg323140_93	WP_011074002.1
OG0000458	Utg323632_292	WP_011072562.1
OG0000459	Utg323152_197	WP_011073913.1
OG0000460	Utg323632_251	WP_011072676.1
OG0000461	Utg323266_1, Utg323180_610	WP_011071367.1
OG0000462	Utg323392_157	WP_011073690.1
OG0000463	Utg323152_557	WP_011071797.1
OG0000464	Utg323266_64	WP_011070898.1
OG0000466	Utg323316_143	WP_006080725.1
OG0000467	Utg324810_50	WP_011072155.1
OG0000468	Utg323152_550	WP_011070714.1
OG0000469	Utg323300_339	WP_011073401.1
OG0000470	Utg323632_217	WP_011072536.1, WP_011073891.1
OG0000471	Utg323180_23	WP_011072667.1
OG0000472	Utg323990_82	WP_011073223.1
OG0000474	Utg323392_19	WP_011071577.1, WP_011071238.1
OG0000475	Utg323300_262	WP_011073167.1
OG0000476	Utg323448_21	WP_011071399.1
OG0000477	Utg323316_316	WP_011074312.1
OG0000478	Utg323316_148	WP_164925611.1
OG0000479	Utg323152_47	WP_011072689.1
OG0000480	Utg323448_83	WP_006081934.1
OG0000481	Utg323316_184	WP_011074353.1, WP_011074200.1
OG0000482	Utg323300_126	WP_011074122.1
OG0000484	Utg323300_196	WP_011070446.1, WP_011071740.1, WP_011072239.1
OG0000485	Utg323152_48	WP_011072690.1
OG0000486	Utg323152_439	WP_011073892.1
OG0000487	Utg323152_216	WP_011071362.1
OG0000488	Utg323160_29	WP_011073923.1, WP_011071649.1
OG0000489	Utg323392_46	WP_011072308.1
OG0000490	Utg323180_708	WP_011073738.1, WP_011072517.1
OG0000491	Utg323074_142	WP_011073025.1
OG0000492	Utg323180_163	WP_011072105.1
OG0000493	Utg323300_317	WP_011070602.1
OG0000494	Utg323300_293	WP_011073291.1
OG0000495	Utg323152_176	WP_011071232.1
OG0000496	Utg323632_52	WP_011072269.1, WP_011072271.1
OG0000497	Utg323632_236	WP_011070462.1
OG0000498	Utg323632_237	WP_011070463.1, WP_011073289.1
OG0000499	Utg323300_95, Utg323180_506	WP_011071680.1
OG0000500	Utg323448_101	WP_011073302.1
OG0000501	Utg323392_55	WP_011073979.1
OG0000502	Utg323152_196	WP_011073914.1
OG0000503	Utg323180_35	WP_011071506.1
OG0000504	Utg323180_617	WP_011071374.1
OG0000505	Utg323316_99, Utg323266_72	WP_011072417.1
OG0000506	Utg323262_175, Utg323152_506	WP_011073396.1
OG0000507	Utg323180_43	WP_011072805.1
OG0000508	Utg323300_12	WP_011072950.1
OG0000509	Utg323160_78	WP_011071177.1
OG0000510	Utg323180_484	WP_164925926.1
OG0000511	Utg323316_346	WP_011072320.1
OG0000512	Utg323074_26	WP_011071575.1
OG0000513	Utg323300_263	WP_011073166.1
OG0000514	Utg323632_76	WP_011071796.1
OG0000515	Utg323152_558	WP_011073016.1
OG0000516	Utg323180_611, Utg323266_2	WP_011070666.1
OG0000518	Utg323180_544	WP_011070475.1
OG0000520	Utg323392_86	WP_011071914.1
OG0000521	Utg323152_146	WP_011072700.1
OG0000522	Utg323152_209	WP_011070929.1
OG0000523	Utg323392_227	WP_011071704.1
OG0000524	Utg323160_66	WP_011070427.1, WP_011073645.1
OG0000525	Utg323180_243	WP_011073918.1
OG0000526	Utg323180_264	WP_011072542.1
OG0000527	Utg323990_77	WP_011071884.1
OG0000528	Utg323316_180	WP_011071265.1
OG0000529	Utg323300_351	WP_011070851.1
OG0000530	Utg323632_211, Utg323632_212	WP_011072392.1
OG0000531	Utg323990_111	WP_011071357.1
OG0000532	Utg323990_149	WP_011071368.1
OG0000533	Utg323300_299	WP_011072568.1
OG0000535	Utg323180_111	WP_011071476.1, WP_011071473.1
OG0000537	Utg323152_226	WP_011073663.1
OG0000538	Utg323140_264, Utg325220_1	WP_011073746.1
OG0000539	Utg323180_65	WP_011072201.1
OG0000540	Utg323990_215, Utg323990_214	WP_011073236.1
OG0000542	Utg323300_321	WP_011073694.1
OG0000543	Utg323152_153	WP_011072926.1
OG0000544	Utg324810_54	WP_011072157.1
OG0000545	Utg323140_9	WP_011072102.1
OG0000546	Utg323140_178	WP_011071505.1
OG0000547	Utg323180_527	WP_011071600.1, WP_011074097.1
OG0000548	Utg323140_246	WP_011071430.1
OG0000549	Utg323392_28	WP_011073367.1
OG0000550	Utg323632_387, Utg323392_263	WP_164925726.1
OG0000551	Utg323180_674, Utg323180_673	WP_011071057.1
OG0000552	Utg324810_41, Utg323074_43, Utg323632_58, Utg323074_42	WP_164925920.1, WP_011071621.1
OG0000554	Utg323300_276	WP_011074140.1, WP_011074327.1, WP_164925735.1, WP_011073660.1, WP_011071387.1, WP_011071669.1, WP_011073464.1, WP_238560559.1, WP_011071033.1
OG0000555	Utg323180_103	WP_011070543.1
OG0000558	Utg323152_97	WP_011072569.1
OG0000560	Utg323074_183, Utg323266_40	WP_011071253.1
OG0000566	Utg323300_374	WP_011072774.1
OG0000569	Utg323632_362	WP_011072791.1
OG0000570	Utg323316_297	WP_011071815.1
OG0000571	Utg323300_101	WP_011070592.1
OG0000572	Utg323152_431	WP_011071622.1, WP_011072167.1, WP_011073947.1, WP_011071353.1
OG0000576	Utg323266_35	WP_011073695.1
OG0000577	Utg323074_28	WP_011071502.1
OG0000578	Utg323160_67	WP_011070425.1
OG0000579	Utg323160_81	WP_011072382.1
OG0000580	Utg323180_689	WP_011071401.1
OG0000581	Utg323448_49	WP_011070605.1
OG0000582	Utg323140_12	WP_011072691.1
OG0000583	Utg323448_37	WP_011072298.1, WP_011073315.1
OG0000584	Utg323316_328	WP_011070420.1
OG0000585	Utg323316_329	WP_011070421.1
OG0000586	Utg323316_331	WP_011070423.1
OG0000587	Utg323152_245	WP_011073319.1
OG0000588	Utg323316_336	WP_011071543.1
OG0000589	Utg323152_565	WP_011073895.1
OG0000590	Utg323316_300	WP_011071782.1
OG0000591	Utg323140_180	WP_011071988.1
OG0000592	Utg323152_248	WP_011070797.1
OG0000593	Utg323632_96	WP_011071160.1
OG0000594	Utg323300_311	WP_164925584.1
OG0000595	Utg323990_151	WP_011073680.1
OG0000596	Utg323152_192	WP_011070930.1
OG0000597	Utg323152_175	WP_011070933.1
