Orthogroup	Desulfocapsa_06_corrosive	Desulfosediminicola flagellatus IMCC35005
OG0000163	Utg323160_83	WP_136809154.1
OG0000163	Utg323262_107	WP_136810044.1
OG0000164	Utg323300_166	WP_136805985.1
OG0000165	Utg323140_175	WP_136810648.1
OG0000166	Utg323632_248	WP_136808362.1
OG0000166	Utg324810_90	WP_136810385.1
OG0000168	Utg323300_260	WP_136808711.1
OG0000169	Utg323152_503	WP_136805317.1
OG0000169	Utg323392_14	WP_136810655.1, WP_136808753.1
OG0000170	Utg323300_350	WP_136808008.1
OG0000171	Utg323152_438	WP_136805394.1, WP_228723368.1
OG0000171	Utg323152_437	WP_136805395.1
OG0000171	Utg324810_26	WP_228723367.1
OG0000172	Utg323990_178	WP_136808406.1
OG0000173	Utg324810_59	WP_136808642.1
OG0000174	Utg323180_604	WP_136805459.1
OG0000175	Utg323160_48	WP_136805332.1, WP_167505782.1, WP_136807929.1
OG0000176	Utg324810_46	WP_136808623.1
OG0000178	Utg323316_122, Utg324810_77	WP_136809275.1
OG0000179	Utg323152_376	WP_153307116.1, WP_136807858.1, WP_136807855.1
OG0000180	Utg323262_181, Utg323262_184	WP_136808735.1
OG0000181	Utg323316_243	WP_136805363.1
OG0000182	Utg323392_153	WP_136807774.1, WP_136807316.1, WP_136810351.1, WP_136805293.1
OG0000183	Utg323632_25	WP_228723410.1
OG0000184	Utg323392_66	WP_228723354.1
OG0000184	Utg324548_16	WP_136808559.1
OG0000185	Utg323152_69	WP_136806361.1
OG0000185	Utg323316_113	WP_167506014.1
OG0000187	Utg323448_60, Utg323448_47	WP_136810561.1, WP_136810573.1
OG0000188	Utg323300_307	WP_136810267.1, WP_167506113.1, WP_136806774.1
OG0000189	Utg323990_133	WP_136806173.1
OG0000190	Utg323262_17	WP_136808190.1
OG0000190	Utg323140_75	WP_136807401.1
OG0000191	Utg323180_105	WP_136807662.1
OG0000191	Utg323266_48	WP_136808229.1
OG0000193	Utg323392_230	WP_167505947.1
OG0000193	Utg323140_4, Utg323180_1	WP_136805815.1
OG0000194	Utg323160_22	WP_136809374.1
OG0000194	Utg323160_58, Utg323316_1	WP_136809138.1
OG0000195	Utg323180_690	WP_136805518.1
OG0000196	Utg323632_23	WP_136806898.1
OG0000197	Utg323448_28	WP_136810539.1
OG0000197	Utg323180_590	WP_228723264.1
OG0000198	Utg323152_174	WP_136806413.1
OG0000199	Utg323300_357	WP_136807135.1
OG0000199	Utg323152_198	WP_136806350.1
OG0000200	Utg323160_40	WP_136809135.1
OG0000201	Utg323180_6	WP_136805810.1
OG0000202	Utg325220_64, Utg323140_270	WP_136805949.1
OG0000202	Utg323300_104	WP_136808168.1
OG0000203	Utg323262_83, Utg323300_137	WP_136807482.1
OG0000203	Utg323262_67	WP_136808157.1
OG0000204	Utg323180_154	WP_136807636.1
OG0000204	Utg323180_449	WP_136806859.1
OG0000205	Utg323266_99	WP_136806602.1
OG0000206	Utg323180_81	WP_275942864.1
OG0000207	Utg323266_113	WP_136809059.1, WP_167506005.1
OG0000208	Utg323266_114	WP_136809058.1, WP_136809431.1
OG0000209	Utg323316_339	WP_136806115.1
OG0000210	Utg323300_167	WP_136809249.1, WP_228723260.1
OG0000211	Utg323140_182	WP_136806117.1
OG0000212	Utg324810_52	WP_136808629.1
OG0000213	Utg323180_404	WP_136809857.1, WP_136808224.1
OG0000214	Utg323632_45	WP_136805223.1, WP_136805224.1
OG0000215	Utg323152_476	WP_136805384.1
OG0000215	Utg324810_67	WP_136805888.1
OG0000216	Utg323316_146	WP_136810393.1, WP_136810380.1
OG0000217	Utg324548_25	WP_136808462.1
OG0000217	Utg323262_16	WP_217909515.1
OG0000218	Utg323632_371	WP_136807454.1
OG0000219	Utg323180_543	WP_136810124.1
OG0000219	Utg323300_291	WP_228723302.1
OG0000220	Utg323180_556	WP_136806203.1
OG0000221	Utg323180_504	WP_136806708.1
OG0000222	Utg323262_114	WP_136807668.1, WP_176371617.1, WP_136810039.1
OG0000223	Utg323392_219	WP_136805449.1
OG0000223	Utg323316_181	WP_136809726.1
OG0000225	Utg323152_460	WP_136810492.1
OG0000226	Utg323300_329	WP_136808024.1
OG0000227	Utg323632_351	WP_136806844.1
OG0000228	Utg323074_134	WP_136805425.1
OG0000229	Utg325220_87	WP_167505752.1
OG0000230	Utg323152_249	WP_136808340.1
OG0000231	Utg323152_458	WP_136810846.1, WP_217909490.1
OG0000232	Utg323152_484, Utg323152_485	WP_136808671.1
OG0000233	Utg323152_10	WP_136807470.1
OG0000234	Utg323990_146	WP_136808391.1
OG0000235	Utg323180_210	WP_136806161.1
OG0000236	Utg323152_193	WP_136810455.1, WP_136810314.1
OG0000237	Utg324810_62	WP_136808645.1
OG0000237	Utg323300_24	WP_136808788.1
OG0000238	Utg325220_109	WP_136810428.1
OG0000238	Utg323316_194	WP_228723299.1
OG0000239	Utg323266_22	WP_136809165.1
OG0000239	Utg324548_14	WP_136805737.1, WP_136806443.1
OG0000240	Utg323152_13, Utg323180_454	WP_136809429.1, WP_136808195.1
OG0000241	Utg324548_15	WP_136808790.1
OG0000241	Utg323262_144	WP_167506075.1, WP_136808286.1
OG0000242	Utg323152_279, Utg323632_279	WP_136810242.1
OG0000242	Utg323152_284	WP_136807044.1
OG0000243	Utg323266_94	WP_167505957.1
OG0000243	Utg323160_100	WP_167506053.1
OG0000243	Utg323160_101	WP_136809228.1
OG0000244	Utg323152_496	WP_136808944.1
OG0000244	Utg323180_143	WP_136805598.1
OG0000246	Utg323180_115, Utg323180_52	WP_136810783.1
OG0000246	Utg323180_624	WP_217909539.1, WP_217909538.1
OG0000248	Utg323140_188	WP_136810636.1
OG0000249	Utg323632_328	WP_136809194.1
OG0000250	Utg323152_330	WP_136807876.1
OG0000252	Utg323632_22	WP_136806897.1
OG0000253	Utg323632_102	WP_136805098.1
OG0000255	Utg323140_209	WP_228723345.1
OG0000256	Utg323632_47	WP_136805221.1
OG0000257	Utg323990_211	WP_136805933.1
OG0000257	Utg324810_19	WP_136809111.1
OG0000258	Utg323074_207, Utg323074_198	WP_167505935.1
OG0000259	Utg323990_75	WP_136806277.1
OG0000260	Utg323180_575	WP_167506000.1
OG0000261	Utg323990_127	WP_136806180.1
OG0000262	Utg323152_138, Utg323152_139	WP_136806710.1
OG0000264	Utg323262_53	WP_136805621.1
OG0000264	Utg323300_385	WP_136807989.1
OG0000265	Utg323262_60	WP_136805218.1
OG0000265	Utg323300_383	WP_136807991.1
OG0000266	Utg323262_57	WP_136805215.1
OG0000266	Utg323300_345	WP_136808013.1
OG0000267	Utg323316_169	WP_136806456.1
OG0000268	Utg323180_596	WP_136810188.1
OG0000268	Utg323180_274	WP_136806647.1
OG0000269	Utg323448_118	WP_136810843.1
OG0000269	Utg323448_117	WP_136810842.1
OG0000270	Utg323140_132	WP_136810057.1
OG0000271	Utg323266_111	WP_136808782.1
OG0000273	Utg323392_256	WP_136809499.1
OG0000273	Utg323448_108	WP_136807712.1
OG0000274	Utg323160_113	WP_136805938.1
OG0000275	Utg323074_158	WP_136810708.1
OG0000276	Utg323152_607, Utg323316_369, Utg323140_3	WP_136805849.1
OG0000277	Utg323990_162	WP_228723287.1
OG0000278	Utg323632_18	WP_136806893.1
OG0000279	Utg323632_270	WP_136808740.1
OG0000279	Utg323152_269	WP_136810212.1, WP_136810218.1
OG0000280	Utg323152_299	WP_167506098.1
OG0000280	Utg323152_300	WP_136807903.1
OG0000281	Utg323392_84	WP_136807834.1, WP_136807353.1, WP_136805578.1, WP_275942851.1, WP_136807340.1, WP_136807388.1, WP_136807830.1
OG0000282	Utg323262_154	WP_136806172.1
OG0000283	Utg324810_45	WP_136808622.1
OG0000284	Utg323300_134	WP_136807131.1
OG0000285	Utg324548_26	WP_275942858.1
OG0000286	Utg323990_126	WP_136806181.1
OG0000288	Utg323152_159	WP_136810346.1
OG0000289	Utg323392_229	WP_136806123.1
OG0000290	Utg323990_110	WP_136806187.1
OG0000291	Utg323152_390	WP_136807599.1
OG0000292	Utg323448_29	WP_228723310.1
OG0000293	Utg323632_26	WP_136806901.1
OG0000295	Utg323990_154	WP_136808397.1
OG0000296	Utg323180_360, Utg323140_32, Utg323300_349	WP_136808009.1
OG0000297	Utg323160_80, Utg323160_79	WP_217909516.1
OG0000298	Utg323316_112	WP_136809427.1
OG0000299	Utg323632_41	WP_136806912.1
OG0000300	Utg324810_53	WP_136808630.1
OG0000301	Utg323448_82	WP_228723311.1
OG0000302	Utg323266_31	WP_136809335.1
OG0000303	Utg323990_183	WP_167506011.1, WP_136808520.1, WP_176371595.1, WP_136808411.1, WP_136808415.1
OG0000305	Utg323990_250	WP_136806209.1, WP_217909602.1, WP_228723314.1
OG0000306	Utg323152_287	WP_176371594.1, WP_136806938.1, WP_167505814.1, WP_136807048.1
OG0000307	Utg323632_13	WP_136806889.1
OG0000308	Utg323632_21	WP_136806896.1
OG0000309	Utg323300_194	WP_136808543.1
OG0000310	Utg323074_211	WP_167506100.1, WP_136810713.1
OG0000310	Utg323074_190	WP_136808920.1
OG0000311	Utg323152_590	WP_136808308.1
OG0000312	Utg323632_141	WP_136805146.1
OG0000313	Utg323316_67	WP_136810529.1
OG0000314	Utg323632_19	WP_136806894.1
OG0000315	Utg323160_50, Utg323262_195	WP_136808223.1, WP_136805330.1
OG0000316	Utg323180_263	WP_136806641.1
OG0000317	Utg323180_167, Utg323152_149	WP_136807549.1
OG0000317	Utg323180_102	WP_136806164.1
OG0000318	Utg323316_214	WP_136810099.1
OG0000319	Utg323140_236	WP_136809100.1
OG0000320	Utg323300_402	WP_136805834.1, WP_136805760.1, WP_136805596.1
OG0000321	Utg323316_81	WP_136810520.1
OG0000322	Utg323074_213	WP_136808694.1
OG0000323	Utg323392_252	WP_136810855.1
OG0000323	Utg323074_32	WP_136808320.1
OG0000324	Utg323262_158	WP_136808264.1
OG0000325	Utg323140_86	WP_136805196.1
OG0000325	Utg323632_345	WP_167505927.1
OG0000325	Utg323632_283	WP_167506007.1
OG0000326	Utg323990_210	WP_136808449.1
OG0000327	Utg323152_563	WP_136806378.1
OG0000328	Utg323074_89	WP_136809408.1, WP_167506004.1
OG0000329	Utg323160_39	WP_136806757.1
OG0000331	Utg323074_59	WP_136808291.1
OG0000332	Utg323632_344, Utg323632_343	WP_136806839.1
OG0000333	Utg323300_359	WP_136808004.1
OG0000334	Utg323392_248, Utg323160_72	WP_136809147.1
OG0000335	Utg323300_388, Utg323300_389	WP_167505898.1
OG0000336	Utg323990_76	WP_136806276.1
OG0000337	Utg323632_59	WP_136805472.1
OG0000338	Utg323300_340	WP_136808018.1
