Orthogroup	Desulfocapsa_06_corrosive	Desulfovibrio ferrophilus IS5
OG0000046	Utg323180_156	WP_126375663.1
OG0000047	Utg323990_19	WP_172961739.1
OG0000047	Utg323316_238	WP_172961741.1
OG0000048	Utg323266_109	WP_126381030.1
OG0000048	Utg323316_142	WP_126379303.1
OG0000049	Utg323300_370	WP_172961615.1
OG0000051	Utg323262_75	WP_126376773.1
OG0000051	Utg323316_319, Utg323180_77, Utg323392_76, Utg323262_180, Utg323392_75	WP_126379995.1
OG0000052	Utg323152_537, Utg323074_111, Utg323300_411	WP_126380843.1
OG0000053	Utg323392_224	WP_126381249.1
OG0000053	Utg323316_144	WP_126377151.1
OG0000055	Utg323152_253	WP_126379655.1
OG0000055	Utg323074_215	WP_126380209.1
OG0000056	Utg323180_501	WP_126376520.1, WP_126381184.1, WP_126378782.1, WP_126379928.1, WP_126380518.1, WP_172961756.1, WP_126375921.1, WP_126380842.1, WP_126379293.1, WP_172961636.1
OG0000057	Utg323152_465	WP_172961733.1
OG0000058	Utg323180_619	WP_126375819.1
OG0000060	Utg323300_75, Utg323632_306	WP_126379040.1, WP_232034744.1
OG0000061	Utg323266_110	WP_126381032.1
OG0000063	Utg323392_142	WP_126380494.1
OG0000064	Utg323990_139, Utg323180_38	WP_126377057.1
OG0000065	Utg323140_85, Utg323160_21	WP_126379932.1
OG0000065	Utg323140_2, Utg323180_2	WP_126379160.1
OG0000067	Utg323140_119	WP_126380869.1
OG0000068	Utg323180_344	WP_126378496.1
OG0000068	Utg325220_60	WP_172961792.1
OG0000069	Utg325220_94, Utg323300_182, Utg323262_103	WP_126379705.1
OG0000070	Utg323152_189	WP_126378422.1, WP_232034886.1
OG0000071	Utg323152_536	WP_126379791.1, WP_126376680.1
OG0000071	Utg323152_559	WP_126379188.1
OG0000071	Utg323180_522	WP_126381068.1
OG0000072	Utg323152_535	WP_126376668.1
OG0000072	Utg323152_560	WP_126378397.1
OG0000072	Utg323180_521	WP_126381070.1
OG0000075	Utg323160_84	WP_126375865.1
OG0000076	Utg323180_458, Utg323152_263	WP_172961659.1
OG0000077	Utg323074_141	WP_126377449.1
OG0000078	Utg323152_397	WP_172961764.1
OG0000078	Utg323180_686, Utg323300_294	WP_126376995.1, WP_126376997.1
OG0000079	Utg323160_93, Utg323180_41	WP_232034839.1
OG0000079	Utg323392_205	WP_172961766.1
OG0000080	Utg323152_20	WP_172961669.1
OG0000081	Utg323180_392	WP_126376632.1
OG0000081	Utg323266_79	WP_126380364.1
OG0000082	Utg323392_216	WP_172961569.1
OG0000082	Utg323152_318	WP_232034762.1, WP_126379022.1, WP_126377927.1, WP_126380332.1, WP_126380330.1
OG0000085	Utg323180_592	WP_126381273.1
OG0000086	Utg323392_34	WP_126376484.1
OG0000086	Utg323180_528	WP_126375563.1
OG0000087	Utg323632_128	WP_126379228.1
OG0000088	Utg325220_103, Utg323180_457, Utg323152_262	WP_126376259.1
OG0000091	Utg323392_150	WP_126379497.1
OG0000092	Utg323152_94, Utg323180_509	WP_126378232.1
OG0000093	Utg323180_45	WP_126377889.1, WP_126380751.1
OG0000095	Utg323990_63	WP_232034876.1
OG0000097	Utg323160_75, Utg323266_3, Utg323160_123	WP_126380356.1
OG0000098	Utg323180_520	WP_126381073.1
OG0000098	Utg323152_561	WP_126381415.1
OG0000100	Utg323316_117, Utg323632_82	WP_126380829.1, WP_232034760.1
OG0000101	Utg323266_38, Utg323180_20	WP_126380553.1, WP_126376877.1
OG0000103	Utg323316_301, Utg323180_100	WP_126375876.1
OG0000104	Utg323316_337	WP_126377346.1, WP_126377988.1
OG0000105	Utg323392_148, Utg323180_490	WP_126379501.1
OG0000106	Utg323300_138, Utg323300_125, Utg323316_317	WP_126380444.1
OG0000107	Utg323180_669	WP_126375961.1
OG0000110	Utg323140_35, Utg323152_265	WP_126379985.1, WP_126376245.1
OG0000112	Utg323300_361	WP_126377306.1, WP_126379449.1
OG0000114	Utg323448_59	WP_126377356.1
OG0000114	Utg323180_193	WP_126376037.1
OG0000115	Utg323300_341	WP_126377362.1
OG0000115	Utg323990_86	WP_126376861.1
OG0000117	Utg323140_129	WP_126380925.1
OG0000118	Utg323140_128	WP_126381543.1
OG0000120	Utg323140_117	WP_126377828.1
OG0000122	Utg323180_512	WP_172961804.1
OG0000126	Utg323392_137	WP_126379210.1
OG0000127	Utg323448_31	WP_126379366.1, WP_126379368.1
OG0000128	Utg323180_277, Utg323152_202	WP_232034755.1
OG0000130	Utg323140_62, Utg323632_319	WP_172961687.1, WP_126380098.1, WP_126379042.1
OG0000131	Utg323074_120	WP_126380299.1
OG0000131	Utg323990_32	WP_232034794.1
OG0000133	Utg323140_126	WP_232034812.1
OG0000134	Utg323152_247	WP_126377750.1
OG0000135	Utg323300_373	WP_126380248.1
OG0000135	Utg323300_234	WP_126379924.1
OG0000136	Utg323152_230	WP_126377707.1
OG0000137	Utg323632_120, Utg323074_21, Utg323300_15	WP_126376304.1
OG0000138	Utg323392_64	WP_232034766.1
OG0000142	Utg323180_616	WP_126377727.1
OG0000143	Utg323180_33	WP_126376543.1, WP_126377487.1, WP_126375622.1
OG0000144	Utg323392_160	WP_126379267.1
OG0000145	Utg323180_144, Utg323180_511	WP_126376563.1
OG0000149	Utg323152_363	WP_126380618.1
OG0000150	Utg323152_400, Utg323316_140, Utg323300_310	WP_126377334.1
OG0000152	Utg323180_516	WP_126377470.1
OG0000152	Utg323180_523	WP_126381066.1
OG0000153	Utg323180_413	WP_126377256.1
OG0000153	Utg323300_187	WP_126379795.1
OG0000154	Utg323160_129, Utg323266_10	WP_126380855.1
OG0000158	Utg323180_251	WP_126376027.1
OG0000159	Utg323180_417	WP_126380841.1
OG0000160	Utg323180_213	WP_126379093.1
OG0000162	Utg323316_178	WP_126375857.1, WP_172961809.1
OG0000163	Utg323160_83, Utg323262_107	WP_126378343.1
OG0000164	Utg323300_166	WP_126377539.1
OG0000166	Utg323632_248	WP_126377850.1
OG0000166	Utg324810_90	WP_126376718.1
OG0000167	Utg323140_81, Utg323152_436	WP_126380541.1
OG0000168	Utg323300_260	WP_126381182.1, WP_126381180.1, WP_126375657.1, WP_126375553.1
OG0000169	Utg323152_503	WP_126376755.1
OG0000169	Utg323392_14	WP_126376344.1
OG0000170	Utg323300_350	WP_126377170.1
OG0000172	Utg323990_178	WP_232034792.1
OG0000174	Utg323180_604	WP_126378921.1
OG0000174	Utg323266_90	WP_126378915.1
OG0000178	Utg323316_122	WP_172961806.1
OG0000178	Utg324810_77	WP_126376909.1, WP_126376611.1
OG0000179	Utg323152_376	WP_126379401.1, WP_126379755.1, WP_126377123.1, WP_126377121.1, WP_126378894.1, WP_126375971.1, WP_126379261.1
OG0000180	Utg323262_181, Utg323262_184	WP_126376686.1, WP_126376684.1
OG0000182	Utg323392_153	WP_126377328.1
OG0000183	Utg323632_25	WP_126375665.1
OG0000184	Utg323392_66	WP_126380301.1
OG0000185	Utg323316_113	WP_126378072.1
OG0000186	Utg323392_251	WP_126376620.1
OG0000187	Utg323448_60, Utg323448_47	WP_126376003.1
OG0000188	Utg323300_307	WP_126380802.1
OG0000189	Utg323990_133	WP_126379679.1
OG0000190	Utg323140_75	WP_126377864.1
OG0000191	Utg323266_48	WP_172961744.1
OG0000192	Utg323180_399	WP_232034818.1
OG0000193	Utg323140_4, Utg323180_1	WP_126377830.1
OG0000194	Utg323160_22	WP_126378106.1
OG0000194	Utg323160_58, Utg323316_1	WP_126375723.1
OG0000195	Utg323152_119, Utg323180_690	WP_126381648.1, WP_126380634.1
OG0000196	Utg323632_23	WP_126375667.1
OG0000199	Utg323300_357, Utg323152_198	WP_126375709.1
OG0000201	Utg323180_6	WP_126377684.1
OG0000202	Utg325220_64, Utg323140_270	WP_126376358.1
OG0000202	Utg323300_104	WP_126375680.1
OG0000203	Utg323262_83, Utg323300_137	WP_126380446.1
OG0000203	Utg323262_67	WP_126376516.1
OG0000204	Utg323180_154	WP_172961790.1
OG0000204	Utg323180_449	WP_172961728.1, WP_126378027.1
OG0000205	Utg323266_99	WP_172961692.1, WP_126380899.1
OG0000206	Utg323180_81, Utg323180_80	WP_126378269.1
OG0000207	Utg323266_113	WP_126381038.1
OG0000208	Utg323266_114	WP_126381041.1
OG0000209	Utg323316_339	WP_126378432.1
OG0000210	Utg323300_167	WP_126379481.1
OG0000211	Utg323140_182	WP_126378828.1, WP_197723434.1, WP_126377139.1
OG0000213	Utg323180_404	WP_126379561.1
OG0000215	Utg324810_67	WP_126379387.1
OG0000216	Utg323316_146	WP_126380832.1
OG0000217	Utg324548_25	WP_126377388.1
OG0000217	Utg323262_16	WP_126376654.1
OG0000218	Utg323632_371	WP_126377380.1
OG0000219	Utg323180_543, Utg323300_291	WP_126377392.1
OG0000221	Utg323180_504	WP_232034814.1
OG0000222	Utg323262_114	WP_126377752.1, WP_126380413.1
OG0000223	Utg323392_219	WP_126379433.1
OG0000224	Utg323152_490	WP_126375687.1
OG0000225	Utg323152_460, Utg323140_111	WP_126381110.1
OG0000226	Utg323300_329	WP_232034915.1
OG0000227	Utg323632_351	WP_126380765.1
OG0000228	Utg323074_134	WP_126378318.1
OG0000230	Utg323152_249	WP_126376561.1
OG0000232	Utg323152_484	WP_126376907.1
OG0000232	Utg323152_485	WP_197723452.1
OG0000233	Utg323152_10	WP_126379699.1
OG0000234	Utg323990_146	WP_126375880.1, WP_172961661.1, WP_126375783.1
OG0000235	Utg323180_210	WP_126379765.1
OG0000235	Utg323300_358	WP_126375707.1
OG0000236	Utg323152_193	WP_126377990.1, WP_172961753.1, WP_126381003.1
OG0000237	Utg324810_62, Utg323300_24	WP_126377266.1, WP_126377794.1
OG0000238	Utg325220_109	WP_197723431.1
OG0000238	Utg323316_194	WP_232034849.1
OG0000239	Utg324548_14	WP_126380937.1
OG0000240	Utg323152_13, Utg323180_454	WP_126381024.1, WP_126379988.1, WP_126381060.1
OG0000241	Utg324548_15, Utg323262_144	WP_197723440.1
OG0000242	Utg323152_279, Utg323632_279, Utg323152_284	WP_172961595.1
OG0000243	Utg323180_67, Utg323266_94, Utg323160_100, Utg323160_101	WP_152034911.1
OG0000244	Utg323152_496	WP_126379395.1
OG0000244	Utg323180_143	WP_126378654.1
OG0000246	Utg323180_115, Utg323180_52	WP_126378633.1
OG0000248	Utg323140_188	WP_126376690.1
OG0000249	Utg323632_328	WP_126376424.1
OG0000250	Utg323152_330	WP_126377694.1, WP_126381114.1, WP_126376970.1
OG0000252	Utg323632_22	WP_126375668.1
OG0000253	Utg323632_102	WP_232034747.1, WP_126378732.1
OG0000257	Utg323990_211, Utg324810_19	WP_126377805.1
OG0000259	Utg323990_75	WP_126380949.1
OG0000260	Utg323180_575	WP_126376736.1
OG0000260	Utg323140_174	WP_126377383.1
OG0000261	Utg323990_127	WP_232034914.1
OG0000263	Utg323300_416	WP_172961789.1
OG0000264	Utg323262_53, Utg323300_385	WP_126380686.1
OG0000265	Utg323262_60, Utg323300_383	WP_126380688.1
OG0000266	Utg323262_57, Utg323300_345	WP_126380663.1
OG0000267	Utg323316_169	WP_126380945.1
OG0000270	Utg323140_132	WP_126380933.1
OG0000271	Utg323266_111	WP_126381034.1
OG0000272	Utg324810_29, Utg323152_381	WP_126379423.1
OG0000273	Utg323392_256	WP_126380880.1
OG0000273	Utg323448_108	WP_126376722.1
OG0000274	Utg323160_113	WP_126379464.1
OG0000277	Utg323990_152	WP_232034831.1
OG0000278	Utg323632_18	WP_126375672.1
OG0000278	Utg323990_104	WP_126377776.1
OG0000280	Utg323152_299, Utg323152_300	WP_126379987.1, WP_232034773.1, WP_126376296.1
OG0000284	Utg323300_134	WP_232034785.1
OG0000285	Utg324548_26	WP_126380954.1
OG0000286	Utg323990_126	WP_232034878.1
OG0000288	Utg323152_159	WP_126377408.1
OG0000290	Utg323990_110	WP_126381196.1
OG0000291	Utg323152_390	WP_126377018.1
OG0000292	Utg323448_29	WP_126378090.1
OG0000293	Utg323632_26	WP_126375664.1
OG0000295	Utg323074_122	WP_232034907.1
OG0000296	Utg323180_360, Utg323140_32, Utg323300_349	WP_126376968.1
OG0000297	Utg323160_80, Utg323160_79	WP_172961716.1, WP_126380746.1
OG0000298	Utg323316_112	WP_172961668.1
OG0000299	Utg323392_237, Utg323632_41	WP_232034802.1
OG0000300	Utg323180_71, Utg324810_53	WP_126376664.1
OG0000301	Utg323448_82	WP_126376077.1
OG0000302	Utg323262_78	WP_126376779.1
OG0000302	Utg323266_31	WP_126381011.1
OG0000307	Utg323632_13	WP_232034834.1
OG0000308	Utg323632_21	WP_126375669.1
OG0000309	Utg323300_194	WP_126379200.1
OG0000312	Utg323632_140, Utg323632_141	WP_126380979.1
OG0000313	Utg323316_67	WP_126375836.1
OG0000314	Utg323632_19	WP_126375671.1
OG0000316	Utg323180_263	WP_126375979.1
OG0000318	Utg323316_207	WP_126376184.1
OG0000320	Utg323300_402	WP_126380370.1
OG0000322	Utg323990_34	WP_126380602.1
OG0000323	Utg323074_32	WP_172961568.1
OG0000324	Utg323262_158	WP_172961599.1
OG0000325	Utg323140_86, Utg323632_345, Utg323632_283	WP_172961723.1, WP_126376600.1
OG0000326	Utg323990_210	WP_126375696.1
OG0000327	Utg323152_563	WP_126379184.1
OG0000332	Utg323632_344, Utg323632_343	WP_126377537.1
OG0000333	Utg323300_359	WP_126380825.1
OG0000334	Utg323392_248, Utg323160_72	WP_126378606.1
OG0000335	Utg323316_153	WP_126376726.1
OG0000335	Utg323300_388, Utg323300_389	WP_126380917.1
OG0000336	Utg323990_76	WP_126380948.1
OG0000339	Utg323152_478	WP_126375542.1
OG0000340	Utg323140_255	WP_126379916.1
OG0000343	Utg323632_101	WP_126378734.1
OG0000344	Utg323316_147	WP_126379008.1
OG0000345	Utg323140_249	WP_172961637.1
OG0000346	Utg323266_30	WP_126381013.1
OG0000346	Utg323262_77	WP_126376777.1
OG0000348	Utg323140_253	WP_232034790.1
OG0000349	Utg323300_414, Utg323990_125	WP_126377264.1
OG0000350	Utg323266_68, Utg323392_31	WP_126380698.1
OG0000351	Utg323316_170	WP_126380946.1
OG0000352	Utg323300_309	WP_126377336.1
OG0000353	Utg323152_411	WP_126378808.1, WP_126381186.1
OG0000354	Utg323140_240	WP_126375853.1
OG0000355	Utg323180_503	WP_126381547.1
OG0000356	Utg325220_24, Utg323152_199	WP_126377915.1
OG0000357	Utg323140_190	WP_126376942.1
OG0000358	Utg323152_183, Utg323180_133	WP_126377529.1
OG0000359	Utg323266_112	WP_126381036.1
OG0000360	Utg323448_18	WP_126380696.1
OG0000361	Utg323392_154	WP_126379495.1
OG0000363	Utg323632_65	WP_126379097.1
OG0000363	Utg323266_83	WP_126377101.1
OG0000364	Utg323448_115, Utg324810_20, Utg323180_185	WP_232034851.1
OG0000365	Utg323300_405, Utg323140_74	WP_126379797.1
OG0000366	Utg323180_120	WP_126376476.1, WP_126376478.1
OG0000367	Utg323140_73	WP_126379291.1
OG0000370	Utg323074_44	WP_126380722.1
OG0000372	Utg323316_334	WP_126376919.1
OG0000373	Utg323316_333	WP_126377043.1, WP_126376917.1
OG0000375	Utg323300_400	WP_126381106.1
OG0000379	Utg324548_30	WP_126378328.1, WP_126378217.1
OG0000380	Utg323392_22	WP_126377282.1
OG0000381	Utg323262_166	WP_126376913.1
OG0000382	Utg323152_317	WP_126379417.1, WP_126377929.1, WP_126380334.1, WP_126379024.1
OG0000383	Utg323074_113	WP_126376204.1
OG0000384	Utg323632_224, Utg323392_7	WP_126379878.1
OG0000388	Utg323392_149	WP_126379499.1
OG0000389	Utg325220_115	WP_126380280.1
OG0000390	Utg323152_156	WP_126380496.1
OG0000391	Utg323392_139	WP_126377020.1
OG0000392	Utg323140_187	WP_126377803.1
OG0000393	Utg323392_115	WP_126377464.1
OG0000394	Utg323632_227	WP_126376132.1
OG0000396	Utg323316_308	WP_126380788.1
OG0000398	Utg323316_283	WP_126375829.1
OG0000399	Utg323074_27	WP_126376541.1
OG0000400	Utg323074_129	WP_126375999.1
OG0000401	Utg323448_26	WP_126377286.1
OG0000403	Utg323392_161	WP_232034756.1
OG0000404	Utg323632_90	WP_232034883.1
OG0000406	Utg323300_304, Utg323632_208	WP_126380117.1
OG0000407	Utg323300_231	WP_126375697.1
OG0000408	Utg323316_309	WP_126376130.1
OG0000409	Utg323152_214, Utg323152_215	WP_126375727.1
OG0000410	Utg323180_618	WP_126375949.1
OG0000411	Utg323180_184	WP_126380543.1
OG0000412	Utg323632_307	WP_126379030.1
OG0000413	Utg323632_56	WP_126379336.1
OG0000414	Utg323140_130	WP_126380931.1
OG0000418	Utg323632_29	WP_126380654.1
OG0000419	Utg323990_112	WP_232034936.1, WP_126376652.1
OG0000421	Utg323300_89	WP_126380975.1, WP_126380183.1, WP_126377166.1, WP_126375708.1
OG0000422	Utg323316_306	WP_126380163.1, WP_126379072.1
OG0000423	Utg323152_258, Utg323152_259	WP_126380506.1
OG0000424	Utg323180_488	WP_232034868.1
OG0000425	Utg323632_72	WP_126380914.1
OG0000427	Utg323448_41	WP_126377181.1
OG0000428	Utg323392_159	WP_126379265.1
OG0000431	Utg323140_38	WP_126380348.1
OG0000433	Utg323316_347	WP_232034808.1, WP_126380900.1
OG0000434	Utg323316_227, Utg323180_553	WP_126378271.1
OG0000435	Utg323316_84	WP_126381045.1
OG0000436	Utg323152_368	WP_126380186.1, WP_172961771.1, WP_126380205.1, WP_126377737.1
OG0000438	Utg323152_420	WP_126375743.1
OG0000439	Utg323152_408	WP_126378807.1, WP_126381188.1
OG0000440	Utg323152_402	WP_126380955.1
OG0000441	Utg323152_387, Utg323140_50, Utg323152_388	WP_126378080.1
OG0000444	Utg323152_45	WP_126378345.1
OG0000446	Utg323152_316	WP_126377113.1, WP_126379389.1, WP_126379406.1
OG0000447	Utg323180_327, Utg323990_241	WP_126379793.1
OG0000448	Utg323152_562	WP_126379186.1
OG0000452	Utg323300_444, Utg323152_543	WP_126376762.1
OG0000453	Utg323300_394	WP_172961603.1
OG0000457	Utg323140_93	WP_126380273.1
OG0000458	Utg323632_292	WP_126379457.1
OG0000459	Utg323152_197	WP_126378236.1
OG0000460	Utg323632_251	WP_197723457.1
OG0000461	Utg323266_1, Utg323180_610	WP_126376122.1
OG0000463	Utg323152_557	WP_126378471.1, WP_126378644.1
OG0000464	Utg323266_64	WP_172961791.1
OG0000465	Utg323316_131	WP_126379779.1
OG0000466	Utg323316_143	WP_126377342.1
OG0000467	Utg324810_50	WP_126377723.1
OG0000468	Utg323152_550	WP_126379910.1
OG0000469	Utg323300_339	WP_126377360.1
OG0000470	Utg323632_217	WP_126378919.1
OG0000471	Utg323180_23	WP_126380492.1
OG0000472	Utg323990_82	WP_126378642.1, WP_126377824.1
OG0000473	Utg324810_49	WP_126377396.1
OG0000475	Utg323300_262	WP_126380674.1
OG0000476	Utg323448_21	WP_126380693.1
OG0000477	Utg323316_316	WP_126379238.1
OG0000478	Utg323316_148	WP_126379010.1
OG0000479	Utg323152_47	WP_126378348.1
OG0000480	Utg323448_83	WP_126375801.1
OG0000481	Utg323316_184	WP_126378435.1
OG0000482	Utg323300_126	WP_126376547.1
OG0000484	Utg323300_196	WP_126380284.1
OG0000485	Utg323152_48	WP_126378350.1
OG0000486	Utg323152_439	WP_126379287.1
OG0000487	Utg323152_216	WP_126380961.1
OG0000488	Utg323160_29	WP_126379525.1
OG0000489	Utg323392_46	WP_126377067.1
OG0000490	Utg323180_708	WP_172961760.1
OG0000491	Utg323074_142	WP_126379485.1
OG0000492	Utg323180_163	WP_126377713.1
OG0000493	Utg323300_317	WP_126377410.1
OG0000494	Utg323300_293	WP_172961673.1, WP_126379453.1
OG0000495	Utg323152_176	WP_126376099.1
OG0000496	Utg323632_52	WP_126375923.1
OG0000497	Utg323632_236	WP_126377812.1
OG0000498	Utg323632_237	WP_172961654.1
OG0000500	Utg323448_101	WP_126377826.1
OG0000501	Utg323392_55	WP_172961582.1
OG0000502	Utg323152_196	WP_126378238.1
OG0000504	Utg323180_617	WP_126377731.1
OG0000505	Utg323266_72	WP_126378085.1
OG0000506	Utg323262_175, Utg323152_506	WP_126378242.1
OG0000507	Utg323180_43	WP_126376835.1
OG0000509	Utg323160_78	WP_126376116.1
OG0000510	Utg323180_484	WP_126380646.1
OG0000511	Utg323316_346	WP_126377183.1
OG0000512	Utg323074_26	WP_126380757.1
OG0000513	Utg323300_263	WP_126380673.1
OG0000514	Utg323632_76	WP_126375935.1
OG0000515	Utg323152_558	WP_232034909.1
OG0000516	Utg323180_611, Utg323266_2	WP_126378465.1
OG0000517	Utg323262_106	WP_126377799.1
OG0000519	Utg323152_229	WP_232034888.1
OG0000520	Utg323392_86	WP_126379338.1
OG0000521	Utg323152_146	WP_126380820.1
OG0000522	Utg323152_209	WP_126377013.1
OG0000523	Utg323392_227	WP_126376393.1
OG0000524	Utg323160_66	WP_126380396.1
OG0000526	Utg323180_264	WP_126375981.1
OG0000529	Utg323300_351	WP_126378081.1
OG0000530	Utg323632_211, Utg323632_212	WP_232034793.1
OG0000531	Utg323990_111	WP_126375893.1
OG0000532	Utg323990_149	WP_126377676.1
OG0000533	Utg323300_299	WP_126375945.1
OG0000535	Utg323180_111	WP_126379224.1
OG0000538	Utg323140_264, Utg325220_1	WP_126380854.1
OG0000539	Utg323180_65	WP_126376287.1, WP_172961816.1
OG0000540	Utg323990_215	WP_126375989.1
OG0000542	Utg323300_321	WP_126375953.1
OG0000543	Utg323152_153	WP_126380762.1
OG0000544	Utg324810_54	WP_126376662.1
OG0000545	Utg323140_9	WP_126377049.1
OG0000546	Utg323140_178	WP_126377155.1
OG0000547	Utg323180_527	WP_126379146.1, WP_126379018.1
OG0000548	Utg323140_246	WP_126377086.1
OG0000549	Utg323392_28	WP_126379236.1
OG0000550	Utg323632_387, Utg323392_263	WP_126378469.1
OG0000551	Utg323180_674	WP_126377300.1
OG0000553	Utg323300_184, Utg325220_97	WP_126380678.1
OG0000554	Utg323300_276	WP_126377635.1
OG0000555	Utg323180_103	WP_126377511.1
OG0000556	Utg323152_446	WP_126380804.1
OG0000558	Utg323152_97	WP_232034822.1
OG0000561	Utg323266_17	WP_126377792.1
OG0000562	Utg323160_42	WP_126375568.1
OG0000564	Utg323392_207	WP_126379555.1
OG0000565	Utg323392_208	WP_126381437.1
OG0000566	Utg323300_374	WP_126380739.1
OG0000568	Utg323392_178, Utg323152_148	WP_126381234.1
OG0000569	Utg323632_362	WP_126378372.1
OG0000570	Utg323316_297	WP_126377743.1
OG0000571	Utg323300_101	WP_126376091.1
OG0000572	Utg323152_431	WP_172961619.1
OG0000575	Utg323140_189	WP_126376941.1
OG0000576	Utg323266_35	WP_126376937.1
OG0000577	Utg323074_28	WP_126377364.1
OG0000578	Utg323160_67	WP_126380394.1
OG0000579	Utg323160_81	WP_126380745.1
OG0000580	Utg323180_689	WP_232034916.1
OG0000581	Utg323448_49	WP_126376006.1
OG0000582	Utg323140_12	WP_126375633.1
OG0000583	Utg323448_37	WP_126379507.1
OG0000584	Utg323316_328	WP_126379759.1
OG0000585	Utg323316_329	WP_126379757.1
OG0000586	Utg323316_331	WP_126381445.1
OG0000587	Utg323152_245	WP_126376883.1
OG0000588	Utg323316_336	WP_126379697.1
