Orthogroup	Desulfocapsa_06_corrosive	Desulfotalea psychrophila LSv54
OG0000028	Utg323262_65	WP_041277631.1
OG0000028	Utg323140_220	WP_162096634.1
OG0000029	Utg323300_179	WP_265588603.1
OG0000029	Utg323300_178	WP_049785031.1
OG0000030	Utg323160_112	WP_011187333.1
OG0000031	Utg323448_44	WP_041277675.1
OG0000031	Utg323180_78	WP_011188253.1
OG0000032	Utg323300_122	WP_011189014.1
OG0000033	Utg323140_147, Utg323140_146	WP_011187749.1
OG0000035	Utg323180_199	WP_011187249.1
OG0000037	Utg323160_55, Utg323160_54, Utg323180_53, Utg323180_177	WP_228130148.1, WP_011190364.1
OG0000038	Utg323990_153	WP_083818947.1
OG0000038	Utg323180_685	WP_011189861.1
OG0000038	Utg323180_684	WP_011189862.1
OG0000040	Utg323990_200	WP_011187264.1
OG0000040	Utg323990_66	WP_041277819.1
OG0000041	Utg323632_79, Utg323300_84	WP_011189362.1
OG0000041	Utg323316_196	WP_011190076.1
OG0000042	Utg323300_393	WP_011187375.1
OG0000042	Utg323152_383	WP_011189777.1
OG0000043	Utg323140_196, Utg323990_243, Utg323160_116, Utg323180_525	WP_228130175.1
OG0000045	Utg324810_80, Utg323990_79	WP_011190203.1
OG0000045	Utg323300_218	WP_011188148.1
OG0000047	Utg323074_218	WP_011187275.1
OG0000047	Utg323316_238	WP_011190450.1
OG0000048	Utg323266_109	WP_011188265.1
OG0000048	Utg323316_142	WP_228130155.1
OG0000049	Utg323300_370	WP_011187473.1, WP_049785016.1
OG0000051	Utg323180_77	WP_011188254.1
OG0000052	Utg323262_71	WP_011188194.1, WP_041277630.1, WP_011188193.1
OG0000052	Utg323152_537, Utg323074_111, Utg323300_411	WP_041277548.1, WP_041277545.1
OG0000054	Utg323316_271, Utg323316_253	WP_228130174.1, WP_011188415.1, WP_011187605.1
OG0000054	Utg323316_275	WP_265588549.1
OG0000054	Utg323990_236	WP_041278585.1, WP_011189292.1
OG0000055	Utg323152_253	WP_011189432.1
OG0000055	Utg323074_215	WP_011187273.1
OG0000056	Utg323180_501	WP_011189187.1
OG0000057	Utg323300_441, Utg323632_324, Utg323392_16, Utg323140_160	WP_011189027.1
OG0000058	Utg323180_619	WP_011190338.1
OG0000060	Utg323300_75, Utg323632_306	WP_011187768.1
OG0000060	Utg323990_72	WP_011189467.1
OG0000061	Utg323266_110	WP_011188264.1
OG0000061	Utg323180_315	WP_011189049.1
OG0000063	Utg323632_334	WP_041277748.1
OG0000063	Utg323392_142	WP_011190024.1
OG0000064	Utg323990_139	WP_011188922.1
OG0000064	Utg323180_38	WP_011190321.1
OG0000065	Utg323140_2, Utg323180_2	WP_041277642.1
OG0000068	Utg325220_60	WP_011188845.1
OG0000069	Utg323262_103	WP_041278071.1
OG0000071	Utg323180_522	WP_011188512.1
OG0000072	Utg323180_521	WP_011188511.1
OG0000074	Utg323180_421	WP_011188124.1
OG0000076	Utg323180_458, Utg323152_263	WP_011189884.1
OG0000079	Utg323160_93, Utg323180_41	WP_041278114.1
OG0000080	Utg323140_241	WP_011187758.1
OG0000082	Utg323152_318	WP_011189907.1
OG0000085	Utg323180_592	WP_011188000.1
OG0000086	Utg323180_528	WP_011187364.1
OG0000087	Utg323152_497	WP_011190071.1
OG0000088	Utg323180_457, Utg323152_262	WP_041278034.1
OG0000091	Utg323180_478	WP_011189088.1
OG0000091	Utg323392_150	WP_265588615.1
OG0000092	Utg323180_509	WP_041277704.1
OG0000093	Utg323180_45	WP_011187627.1, WP_041277722.1
OG0000095	Utg323300_425	WP_011187326.1
OG0000095	Utg323990_63	WP_011189875.1
OG0000097	Utg323152_498	WP_011190072.1
OG0000097	Utg323266_3, Utg323160_123	WP_011189603.1
OG0000098	Utg323180_520	WP_011188510.1
OG0000100	Utg323316_117	WP_011188994.1
OG0000101	Utg323180_20	WP_011187560.1
OG0000102	Utg323632_122	WP_011190131.1
OG0000103	Utg323316_301	WP_041277624.1
OG0000104	Utg323074_23	WP_011189410.1
OG0000105	Utg323392_148	WP_011190029.1
OG0000105	Utg323180_490	WP_041277849.1
OG0000106	Utg323300_138	WP_011189715.1
OG0000106	Utg323300_125, Utg323316_317	WP_011188105.1
OG0000107	Utg323266_55	WP_011189658.1
OG0000108	Utg323392_40	WP_011189642.1
OG0000108	Utg323180_650	WP_011188953.1
OG0000110	Utg323140_35	WP_041277836.1
OG0000110	Utg323152_265	WP_011189886.1
OG0000112	Utg323300_361	WP_011188067.1
OG0000113	Utg323316_179	WP_041277425.1
OG0000114	Utg323448_59	WP_011188364.1
OG0000114	Utg323180_193	WP_011187252.1
OG0000117	Utg323316_188	WP_011188472.1
OG0000117	Utg323140_129	WP_011189124.1
OG0000118	Utg323140_128	WP_011189123.1
OG0000118	Utg323316_189	WP_011188471.1
OG0000121	Utg323074_180	WP_011187278.1
OG0000122	Utg323180_512	WP_011188940.1
OG0000123	Utg323152_264	WP_011189885.1
OG0000123	Utg325220_102	WP_011189032.1
OG0000124	Utg323180_456	WP_011190234.1, WP_011187713.1, WP_011189499.1, WP_049784968.1, WP_049784989.1, WP_011187740.1, WP_011188230.1, WP_011188228.1, WP_041278040.1, WP_011188206.1, WP_011188205.1, WP_011188517.1, WP_011187537.1, WP_011189140.1, WP_049785065.1, WP_011189139.1, WP_041277858.1, WP_049785064.1
OG0000125	Utg323316_156	WP_011189064.1
OG0000126	Utg323392_137	WP_011190020.1
OG0000127	Utg323448_31	WP_011188334.1, WP_011188335.1
OG0000128	Utg323180_277	WP_011190249.1
OG0000128	Utg323152_202	WP_041278021.1
OG0000131	Utg323074_120	WP_011189957.1
OG0000131	Utg323990_32	WP_011187291.1
OG0000133	Utg323140_126	WP_049785062.1
OG0000133	Utg323316_190	WP_011188470.1
OG0000134	Utg323140_101	WP_011188144.1
OG0000134	Utg323152_247	WP_011189428.1
OG0000135	Utg323300_234	WP_011190396.1, WP_011189338.1
OG0000136	Utg323152_230	WP_011189843.1
OG0000136	Utg323392_39	WP_156792292.1
OG0000137	Utg323316_187	WP_011188473.1
OG0000138	Utg323392_64	WP_041277553.1, WP_198408700.1
OG0000142	Utg323180_616	WP_156792321.1
OG0000142	Utg323392_262	WP_041277814.1
OG0000143	Utg323180_33	WP_011190324.1
OG0000144	Utg323392_160	WP_011189528.1
OG0000145	Utg323180_511	WP_156792207.1
OG0000145	Utg323074_35, Utg323074_36	WP_011188174.1
OG0000147	Utg323392_141	WP_011190023.1
OG0000150	Utg323152_400	WP_156792302.1
OG0000150	Utg323300_310	WP_011188038.1
OG0000151	Utg323316_242	WP_156792391.1
OG0000152	Utg323180_516	WP_011188507.1
OG0000152	Utg323180_523	WP_011188513.1
OG0000153	Utg323180_413	WP_041278081.1
OG0000154	Utg323160_129, Utg323266_10	WP_011188535.1
OG0000156	Utg323316_158	WP_041278107.1, WP_011189065.1
OG0000160	Utg323180_213	WP_228130154.1
OG0000162	Utg323316_178	WP_011187311.1
OG0000163	Utg323160_83	WP_049784999.1
OG0000163	Utg323262_107	WP_011190105.1
OG0000164	Utg323300_166	WP_011187437.1
OG0000165	Utg323140_175	WP_011187672.1
OG0000166	Utg323632_248	WP_041278008.1
OG0000167	Utg323140_81, Utg323152_436	WP_011189983.1
OG0000169	Utg323152_503	WP_041278049.1
OG0000170	Utg323300_350	WP_228130166.1
OG0000171	Utg323152_438	WP_049785111.1
OG0000172	Utg323990_178	WP_011188712.1
OG0000173	Utg324810_59	WP_011187845.1
OG0000174	Utg323180_604	WP_011188522.1
OG0000176	Utg324810_46	WP_011187820.1
OG0000177	Utg323300_73	WP_228130183.1
OG0000180	Utg323262_181, Utg323262_184	WP_041278377.1
OG0000181	Utg323316_243	WP_049785176.1
OG0000183	Utg323632_25	WP_041277717.1
OG0000184	Utg324548_16	WP_011189110.1
OG0000185	Utg323152_69	WP_162096651.1
OG0000185	Utg323316_113	WP_041277828.1
OG0000187	Utg323448_60, Utg323448_47	WP_011188352.1, WP_011188365.1
OG0000188	Utg323300_307	WP_011188912.1
OG0000190	Utg323140_75	WP_041277447.1
OG0000191	Utg323180_105	WP_011188792.1
OG0000192	Utg323180_399	WP_049785055.1
OG0000193	Utg323140_4, Utg323180_1	WP_011188238.1
OG0000194	Utg323160_58, Utg323316_1	WP_011187954.1
OG0000195	Utg323152_119, Utg323180_690	WP_011189858.1
OG0000196	Utg323632_23	WP_011188559.1
OG0000197	Utg323448_28	WP_011188331.1
OG0000198	Utg323152_174	WP_156792257.1
OG0000199	Utg323152_198	WP_041277873.1
OG0000201	Utg323180_6	WP_011188242.1
OG0000202	Utg325220_64, Utg323140_270	WP_011189106.1
OG0000203	Utg323262_83, Utg323300_137	WP_011189716.1
OG0000203	Utg323262_67	WP_041277494.1
OG0000206	Utg323180_81, Utg323180_80	WP_011188252.1
OG0000207	Utg323266_113	WP_011188263.1
OG0000208	Utg323266_114	WP_011188262.1
OG0000209	Utg323316_339	WP_011189657.1
OG0000210	Utg323300_167	WP_011188475.1, WP_011187438.1
OG0000211	Utg323140_182	WP_011190201.1
OG0000212	Utg324810_52	WP_011187826.1
OG0000214	Utg323632_45	WP_041277773.1, WP_011188783.1
OG0000215	Utg324810_67	WP_041278351.1
OG0000217	Utg324548_25	WP_041278087.1
OG0000218	Utg323632_371	WP_011188935.1
OG0000219	Utg323300_291	WP_011187520.1
OG0000221	Utg323180_504	WP_011188482.1
OG0000222	Utg323262_114	WP_041277470.1, WP_011190100.1
OG0000223	Utg323392_219	WP_041277805.1
OG0000225	Utg323152_460	WP_011190357.1
OG0000226	Utg323300_329	WP_041277609.1
OG0000227	Utg323632_351	WP_011188872.1
OG0000228	Utg323074_134	WP_228130150.1
OG0000232	Utg323152_484, Utg323152_485	WP_162096624.1
OG0000234	Utg323990_146	WP_011188725.1
OG0000235	Utg323180_210	WP_011189740.1
OG0000235	Utg323300_358	WP_011188066.1
OG0000237	Utg324810_62	WP_011187837.1
OG0000237	Utg323300_24	WP_041277465.1
OG0000238	Utg323316_194	WP_011190078.1
OG0000239	Utg323266_22	WP_156792203.1
OG0000239	Utg324548_14	WP_011189492.1
OG0000240	Utg323152_13, Utg323180_454	WP_041277651.1
OG0000241	Utg324548_15, Utg323262_144	WP_011188682.1
OG0000243	Utg323180_67, Utg323266_94, Utg323160_100, Utg323160_101	WP_041277879.1
OG0000244	Utg323152_496	WP_011187903.1
OG0000245	Utg323316_355	WP_156792261.1
OG0000246	Utg323180_624	WP_156792390.1
OG0000248	Utg323140_188	WP_011187684.1
OG0000249	Utg323632_328	WP_011187440.1
OG0000250	Utg323152_330	WP_041278036.1
OG0000252	Utg323632_22	WP_011188558.1
OG0000253	Utg323632_102	WP_041278077.1
OG0000256	Utg323632_47	WP_193763857.1
OG0000257	Utg324810_19	WP_011187938.1
OG0000259	Utg323990_75	WP_011189470.1
OG0000260	Utg323140_174	WP_011187671.1
OG0000261	Utg323300_415	WP_041278096.1
OG0000261	Utg323990_127	WP_011187462.1
OG0000262	Utg323152_138, Utg323152_139	WP_011188941.1, WP_041277999.1
OG0000263	Utg323300_416	WP_011190212.1
OG0000264	Utg323300_385	WP_011188079.1
OG0000265	Utg323300_383	WP_011188077.1
OG0000266	Utg323300_345	WP_011188060.1
OG0000267	Utg323316_169	WP_011187616.1
OG0000268	Utg323180_596	WP_011189056.1
OG0000270	Utg323140_132	WP_011189127.1
OG0000271	Utg323266_111	WP_011187803.1
OG0000273	Utg323392_256	WP_011188597.1, WP_011188167.1
OG0000274	Utg323160_113	WP_011187334.1
OG0000276	Utg323632_198	WP_011187910.1
OG0000277	Utg323990_152	WP_011188116.1
OG0000278	Utg323632_18	WP_011188554.1
OG0000280	Utg323152_299, Utg323152_300	WP_011189891.1
OG0000283	Utg324810_45	WP_011187819.1
OG0000284	Utg323300_134	WP_156792243.1
OG0000285	Utg324548_26	WP_041278086.1
OG0000286	Utg323990_126	WP_041277467.1
OG0000290	Utg323990_110	WP_011189438.1
OG0000291	Utg323152_390	WP_011188846.1
OG0000292	Utg323448_29	WP_011188332.1
OG0000293	Utg323632_26	WP_011188562.1
OG0000295	Utg323990_154	WP_011188719.1
OG0000295	Utg323074_122	WP_011189959.1
OG0000296	Utg323300_349	WP_041277610.1
OG0000297	Utg323160_80, Utg323160_79	WP_041277578.1
OG0000298	Utg323316_112	WP_011187865.1
OG0000299	Utg323632_41	WP_228130178.1
OG0000300	Utg323180_71	WP_011188258.1
OG0000300	Utg324810_53	WP_011187827.1
OG0000301	Utg323448_82	WP_011188387.1
OG0000303	Utg323990_183, Utg323990_188	WP_011188699.1
OG0000307	Utg323632_13	WP_011188550.1
OG0000308	Utg323632_21	WP_011188557.1
OG0000309	Utg323300_194	WP_011187371.1
OG0000311	Utg323152_590	WP_011189408.1
OG0000312	Utg323632_140, Utg323632_141	WP_011190120.1
OG0000313	Utg323316_67	WP_162096635.1
OG0000314	Utg323632_19	WP_011188555.1
OG0000316	Utg323180_263	WP_011190257.1
OG0000317	Utg323180_167, Utg323152_149, Utg323180_102	WP_041277994.1
OG0000319	Utg323140_236	WP_011187880.1
OG0000320	Utg323300_402	WP_011187789.1, WP_011187785.1
OG0000321	Utg323316_81	WP_011189150.1
OG0000322	Utg323074_213	WP_156792160.1
OG0000323	Utg323392_252	WP_011189109.1
OG0000323	Utg323074_32	WP_041278448.1
OG0000324	Utg323262_158	WP_011189814.1
OG0000326	Utg323990_210	WP_041277799.1
OG0000328	Utg323074_89	WP_049785093.1, WP_011189663.1, WP_011189812.1
OG0000331	Utg323074_59	WP_011189375.1
OG0000332	Utg323632_343	WP_011188671.1
OG0000336	Utg323990_76	WP_011189471.1
OG0000337	Utg323632_59	WP_011188684.1
OG0000338	Utg323300_340	WP_011188054.1
OG0000339	Utg323152_478	WP_011187987.1
OG0000340	Utg323140_255	WP_011187352.1
OG0000341	Utg325220_86	WP_011190455.1
OG0000342	Utg324548_2	WP_265588616.1
OG0000343	Utg323632_101	WP_041277972.1, WP_041278078.1
OG0000345	Utg323140_249	WP_011187347.1
OG0000348	Utg323140_253	WP_011187350.1
OG0000349	Utg323990_125	WP_011187460.1
OG0000350	Utg323266_68, Utg323392_31	WP_011188163.1
OG0000351	Utg323316_170	WP_162096620.1
OG0000352	Utg323300_309	WP_011188037.1
OG0000353	Utg323152_411	WP_011188201.1, WP_011187388.1
OG0000354	Utg323140_240	WP_011187759.1
OG0000355	Utg323180_503	WP_011188481.1
OG0000356	Utg325220_24, Utg323152_199	WP_011189820.1
OG0000357	Utg323140_190	WP_011187686.1
OG0000358	Utg323180_133	WP_011188159.1
OG0000359	Utg323266_112	WP_011187804.1
OG0000360	Utg323448_18	WP_041277667.1
OG0000361	Utg323392_154	WP_011190034.1
OG0000362	Utg323074_50	WP_011188275.1
OG0000363	Utg323632_65, Utg323266_83	WP_041277943.1
OG0000366	Utg323180_120	WP_041278090.1
OG0000367	Utg323140_73	WP_011187535.1
OG0000371	Utg323300_419, Utg323180_627	WP_011190222.1
OG0000372	Utg323316_334	WP_011187969.1
OG0000373	Utg323316_333	WP_011187968.1
OG0000374	Utg323152_495	WP_041278286.1
OG0000380	Utg323392_22	WP_011189781.1
OG0000381	Utg323266_59, Utg323262_166	WP_011188623.1
OG0000382	Utg323152_317	WP_011189906.1
OG0000384	Utg323632_224, Utg323392_7	WP_011187586.1
OG0000385	Utg323990_182, Utg323990_189	WP_011188700.1
OG0000388	Utg323392_149	WP_011190030.1
OG0000389	Utg325220_115	WP_011187991.1
OG0000390	Utg323152_156	WP_011189231.1
OG0000391	Utg323392_139	WP_011190429.1, WP_011187259.1
OG0000392	Utg323140_187	WP_011187683.1
OG0000393	Utg323392_115	WP_011189713.1
OG0000396	Utg323316_308	WP_011189462.1
OG0000397	Utg323152_152	WP_041277793.1
OG0000398	Utg323316_283	WP_173362835.1, WP_011190427.1
OG0000399	Utg323074_27	WP_041277921.1
OG0000400	Utg323074_129	WP_011189966.1
OG0000401	Utg323448_26, Utg323152_132	WP_011189767.1
OG0000403	Utg323392_161	WP_011189529.1
OG0000404	Utg323632_90	WP_162096667.1
OG0000406	Utg323300_304, Utg323632_208	WP_011188036.1
OG0000407	Utg323300_231	WP_011187531.1
OG0000408	Utg323316_309	WP_011189463.1
OG0000409	Utg323152_214, Utg323152_215	WP_173362847.1
OG0000410	Utg323180_618	WP_011190337.1
OG0000411	Utg323180_184	WP_041277604.1
OG0000413	Utg323632_56	WP_011189040.1
OG0000414	Utg323140_130	WP_011189125.1
OG0000418	Utg323632_29	WP_011189597.1, WP_011188565.1
OG0000419	Utg323990_112	WP_011189440.1
OG0000420	Utg323392_158	WP_011189525.1
OG0000421	Utg323300_89	WP_011188876.1
OG0000422	Utg323316_306	WP_011190167.1
OG0000423	Utg323152_259	WP_041278794.1
OG0000425	Utg323632_72	WP_041278082.1
OG0000426	Utg323152_151	WP_011188860.1
OG0000427	Utg323448_41	WP_011188346.1
OG0000428	Utg323392_159	WP_041277939.1
OG0000429	Utg323632_282	WP_011187772.1
OG0000433	Utg323316_347	WP_011189706.1
OG0000434	Utg323316_227	WP_011187316.1
OG0000437	Utg323262_143	WP_011188093.1
OG0000438	Utg323152_420	WP_011187699.1
OG0000439	Utg323152_408	WP_011187387.1, WP_011188202.1
OG0000440	Utg323152_402	WP_041277623.1
OG0000441	Utg323152_388	WP_011188848.1
OG0000443	Utg324810_34	WP_041278382.1
OG0000444	Utg323152_45	WP_228130145.1
OG0000445	Utg323152_295	WP_156792310.1
OG0000447	Utg323392_129	WP_011189512.1
OG0000449	Utg323152_593	WP_265588553.1
OG0000458	Utg323632_292	WP_011190050.1
OG0000459	Utg323152_197	WP_011189199.1
OG0000460	Utg323632_251	WP_011189785.1
OG0000461	Utg323266_1, Utg323180_610	WP_011188884.1
OG0000462	Utg323392_157	WP_041277938.1
OG0000463	Utg323152_557	WP_011189177.1
OG0000466	Utg323316_143	WP_041277422.1
OG0000467	Utg324810_50	WP_011187824.1
OG0000468	Utg323152_550	WP_011189509.1
OG0000469	Utg323300_339	WP_011188053.1
OG0000470	Utg323632_217	WP_011190065.1
OG0000471	Utg323180_23	WP_011188128.1
OG0000472	Utg323990_82	WP_011189474.1
OG0000473	Utg324810_49	WP_011187823.1
OG0000474	Utg323392_19	WP_011189845.1
OG0000475	Utg323300_262	WP_011188169.1
OG0000476	Utg323448_21	WP_041277668.1
OG0000477	Utg323316_316	WP_011188156.1
OG0000479	Utg323152_47	WP_011189651.1
OG0000480	Utg323448_83	WP_041278396.1
OG0000482	Utg323300_126	WP_011189018.1
OG0000484	Utg323300_196	WP_011187369.1
OG0000485	Utg323152_48	WP_011189650.1
OG0000486	Utg323152_439	WP_011189991.1
OG0000487	Utg323152_216	WP_041278024.1
OG0000488	Utg323160_29	WP_011187960.1
OG0000489	Utg323392_46	WP_011188276.1
OG0000490	Utg323180_708	WP_162096643.1
OG0000491	Utg323074_142	WP_041278044.1
OG0000492	Utg323180_163	WP_011190160.1
OG0000493	Utg323300_317	WP_011188045.1
OG0000495	Utg323152_176	WP_011189170.1
OG0000496	Utg323632_52	WP_049785040.1
OG0000497	Utg323632_236	WP_011189797.1
OG0000498	Utg323632_237	WP_011189796.1
OG0000500	Utg323448_101	WP_011188406.1
OG0000501	Utg323392_55	WP_041277540.1
OG0000502	Utg323152_196	WP_011189198.1
OG0000504	Utg323180_617	WP_041278120.1
OG0000505	Utg323316_99	WP_041277824.1
OG0000506	Utg323152_506	WP_049785112.1
OG0000507	Utg323180_43	WP_228130170.1
OG0000508	Utg323300_12	WP_011187508.1
OG0000509	Utg323160_78	WP_011187888.1
OG0000510	Utg323180_484	WP_011189093.1
OG0000511	Utg323316_346	WP_011188090.1
OG0000512	Utg323074_26	WP_011189412.1
OG0000513	Utg323300_263	WP_011188168.1
OG0000514	Utg323632_76	WP_041278089.1
OG0000515	Utg323152_558	WP_011189178.1
OG0000516	Utg323180_611, Utg323266_2	WP_041277801.1
OG0000520	Utg323392_86	WP_041278621.1
OG0000521	Utg323152_146	WP_011188856.1
OG0000522	Utg323152_209	WP_011189825.1
OG0000523	Utg323392_227	WP_011189941.1
OG0000524	Utg323160_66	WP_011187894.1
OG0000526	Utg323180_264	WP_011190256.1
OG0000527	Utg323990_77	WP_011189472.1
OG0000530	Utg323632_212	WP_049785116.1
OG0000531	Utg323990_111	WP_228130141.1
OG0000532	Utg323990_149	WP_011188723.1
OG0000533	Utg323300_299	WP_011188031.1
OG0000535	Utg323180_111	WP_011190194.1
OG0000537	Utg323152_226	WP_011189840.1
OG0000538	Utg323140_264, Utg325220_1	WP_011187361.1
OG0000539	Utg323180_65	WP_011188585.1
OG0000540	Utg323990_215, Utg323990_214	WP_011189704.1
OG0000542	Utg323300_321	WP_041277608.1
OG0000543	Utg323152_153	WP_041278539.1
OG0000544	Utg324810_54	WP_011187828.1
OG0000545	Utg323140_9	WP_011188974.1
OG0000546	Utg323140_178	WP_011187675.1
OG0000547	Utg323180_527	WP_041277944.1
OG0000548	Utg323140_246	WP_011187345.1
OG0000549	Utg323392_28	WP_011189640.1
OG0000550	Utg323632_387, Utg323392_263	WP_011188945.1
OG0000551	Utg323180_674	WP_011189864.1
OG0000553	Utg323300_184, Utg325220_97	WP_011187439.1
OG0000555	Utg323180_103	WP_011188911.1
OG0000556	Utg323152_446	WP_041278827.1
OG0000558	Utg323152_97	WP_011188479.1
OG0000559	Utg323300_249, Utg323632_385, Utg323074_34	WP_041277917.1
OG0000561	Utg323266_17	WP_011188001.1
OG0000562	Utg323160_42	WP_011187743.1
OG0000563	Utg323262_167, Utg323266_71	WP_011187488.1
OG0000564	Utg323392_207	WP_041278003.1
OG0000565	Utg323392_208	WP_041278002.1
OG0000566	Utg323300_374	WP_011189759.1, WP_011188209.1
OG0000568	Utg323392_178, Utg323152_148	WP_011188858.1
OG0000569	Utg323632_362	WP_265588590.1, WP_011187919.1
OG0000570	Utg323316_297	WP_011188250.1, WP_011190423.1, WP_011187271.1
OG0000571	Utg323300_101	WP_083818934.1
OG0000572	Utg323152_431	WP_011188021.1
OG0000575	Utg323140_189	WP_011187685.1
OG0000576	Utg323266_35	WP_156792204.1
OG0000577	Utg323074_28	WP_041277922.1
OG0000578	Utg323160_67	WP_265588588.1
OG0000579	Utg323160_81	WP_041277577.1
OG0000580	Utg323180_689	WP_011189859.1
OG0000581	Utg323448_49	WP_011188354.1
OG0000582	Utg323140_12	WP_011188971.1
OG0000583	Utg323448_37	WP_041277672.1
OG0000584	Utg323316_328	WP_011188100.1
OG0000585	Utg323316_329	WP_083818932.1
OG0000586	Utg323316_331	WP_041277613.1
OG0000587	Utg323152_245	WP_011189426.1
OG0000588	Utg323316_336	WP_011188096.1
OG0000589	Utg323152_565	WP_011189180.1
OG0000590	Utg323316_300	WP_011188172.1
OG0000591	Utg323140_180	WP_041277520.1
OG0000592	Utg323152_248	WP_011189429.1
OG0000593	Utg323632_96	WP_041278079.1
OG0000594	Utg323300_311	WP_162096625.1
OG0000595	Utg323990_151	WP_011188721.1
OG0000596	Utg323152_192	WP_011189197.1
OG0000597	Utg323152_175	WP_011189171.1
OG0000598	Utg323632_99	WP_011190145.1
OG0000599	Utg323152_223	WP_011189837.1
OG0000600	Utg323180_267	WP_041278909.1
OG0000601	Utg323140_185	WP_011187681.1
OG0000603	Utg323990_83	WP_011189475.1
OG0000604	Utg323180_32	WP_041278118.1
OG0000605	Utg323180_276	WP_156792331.1
OG0000606	Utg323266_43	WP_011188166.1
OG0000607	Utg323300_283	WP_011187525.1
OG0000608	Utg323180_609	WP_011188883.1
OG0000609	Utg323074_152	WP_049785044.1
OG0000610	Utg323448_99	WP_011188404.1
OG0000611	Utg323152_250	WP_011189430.1
OG0000612	Utg323632_295	WP_011190047.1
OG0000613	Utg323632_296	WP_011190046.1
OG0000614	Utg323300_233	WP_011187529.1
OG0000615	Utg323448_90	WP_011188395.1
OG0000616	Utg323448_92	WP_228130172.1
OG0000617	Utg323448_63	WP_011188368.1
OG0000618	Utg323448_65	WP_011188370.1
OG0000619	Utg323448_66	WP_011188371.1
OG0000620	Utg323448_67	WP_011188372.1
OG0000621	Utg323448_68	WP_011188373.1
OG0000622	Utg323262_150	WP_041278063.1
OG0000623	Utg323074_128	WP_011189965.1
OG0000624	Utg323152_218	WP_011189832.1
OG0000625	Utg323152_219	WP_011189833.1
OG0000626	Utg324810_60	WP_011187844.1
OG0000627	Utg323448_100	WP_011188405.1
OG0000628	Utg323180_312	WP_011189052.1
OG0000629	Utg323632_1, Utg323316_98	WP_011188979.1
OG0000630	Utg323300_302	WP_011188034.1
OG0000631	Utg323300_300	WP_011188032.1
OG0000632	Utg323392_138	WP_011190021.1
OG0000634	Utg323074_110	WP_011189407.1
OG0000635	Utg323990_206	WP_011188882.1
