Orthogroup	Desulfocapsa_06_corrosive	Geobacter sulfurreducens PCA
OG0000010	Utg323990_20	WP_010942158.1
OG0000010	Utg323316_270	WP_235044891.1
OG0000010	Utg323074_203	WP_010941657.1
OG0000012	Utg323180_153	WP_010941139.1
OG0000012	Utg323316_174	WP_010941973.1
OG0000012	Utg323160_104	WP_010943547.1
OG0000013	Utg323180_446, Utg323180_450, Utg323140_219, Utg323140_226	WP_010941970.1, WP_010941778.1
OG0000014	Utg323262_128	WP_010943740.1
OG0000014	Utg324810_58	WP_010941119.1, WP_010943578.1
OG0000015	Utg323392_212, Utg323632_27	WP_010943443.1
OG0000015	Utg323140_90	WP_010943159.1
OG0000015	Utg325220_80	WP_010940939.1, WP_010943414.1
OG0000016	Utg323152_301	WP_010941071.1
OG0000016	Utg323300_407, Utg323300_334	WP_010942859.1, WP_010942689.1
OG0000017	Utg323990_184	WP_010942680.1
OG0000017	Utg323990_193	WP_049786599.1
OG0000017	Utg323180_486	WP_010942420.1, WP_010942421.1
OG0000018	Utg323262_9, Utg323990_12	WP_010941294.1, WP_010942155.1
OG0000019	Utg323140_131	WP_010941763.1
OG0000019	Utg323300_146	WP_010942524.1
OG0000019	Utg323262_127	WP_010943739.1
OG0000020	Utg323300_116	WP_010943745.1
OG0000022	Utg323152_194, Utg323180_278, Utg323392_113	WP_010942550.1, WP_010941573.1, WP_010941244.1, WP_010940866.1, WP_010940882.1
OG0000023	Utg323180_594	WP_010943046.1
OG0000023	Utg323392_65, Utg323180_593	WP_010941206.1
OG0000024	Utg323074_45	WP_010940864.1
OG0000024	Utg323152_134	WP_010941582.1
OG0000026	Utg323632_118	WP_010943583.1
OG0000026	Utg323300_169	WP_010942793.1
OG0000026	Utg323300_371	WP_010943263.1, WP_010941067.1
OG0000027	Utg323180_189, Utg323300_117, Utg323300_118, Utg323392_80	WP_010941441.1
OG0000028	Utg323262_65, Utg323990_173, Utg323140_52, Utg323140_220, Utg323180_452	WP_010941609.1
OG0000030	Utg323160_85	WP_010944016.1
OG0000030	Utg323160_112	WP_010943289.1
OG0000031	Utg323262_74	WP_010940767.1
OG0000033	Utg323140_147, Utg323140_146	WP_010941969.1
OG0000035	Utg323300_305, Utg323300_236	WP_010943212.1, WP_010941571.1, WP_010942704.1
OG0000038	Utg323990_153	WP_010940700.1
OG0000038	Utg323180_685	WP_010943808.1
OG0000038	Utg323180_684	WP_010941445.1, WP_010941452.1
OG0000040	Utg323990_200, Utg323990_66	WP_010942495.1
OG0000042	Utg323180_126	WP_010943811.1
OG0000042	Utg323300_393, Utg323262_141	WP_010941591.1
OG0000042	Utg323152_383	WP_010942434.1
OG0000043	Utg323140_196	WP_010941851.1
OG0000043	Utg323990_243, Utg323160_116	WP_010942192.1
OG0000044	Utg323316_69	WP_235045025.1, WP_010941704.1, WP_010941143.1, WP_235044883.1, WP_010941489.1, WP_010940687.1, WP_010940929.1, WP_010941354.1, WP_235044900.1, WP_010943968.1, WP_010943441.1, WP_010944047.1, WP_010941544.1, WP_010942925.1, WP_010943621.1, WP_010943770.1, WP_235044903.1, WP_010943307.1, WP_010940779.1, WP_010943202.1, WP_010941024.1, WP_010943020.1, WP_010943024.1, WP_010941698.1, WP_235044983.1, WP_010943203.1, WP_010943083.1
OG0000044	Utg323300_443	WP_010943167.1, WP_235044979.1
OG0000045	Utg323180_405, Utg323180_245	WP_010942953.1
OG0000045	Utg324810_80, Utg323990_79	WP_010942993.1, WP_010942278.1, WP_010942368.1
OG0000045	Utg323300_218	WP_010942204.1
OG0000046	Utg324810_8	WP_010941543.1
OG0000047	Utg323990_19	WP_010942630.1
OG0000047	Utg323316_238	WP_262421271.1
OG0000048	Utg323266_109	WP_010942268.1
OG0000049	Utg323300_370	WP_010941476.1, WP_010941028.1
OG0000051	Utg323262_75, Utg323316_319, Utg323180_77, Utg323392_76, Utg323262_180, Utg323392_75	WP_010940766.1
OG0000053	Utg323392_224	WP_010941160.1
OG0000053	Utg323316_144	WP_010942464.1
OG0000054	Utg323316_275	WP_010942040.1
OG0000054	Utg323990_236	WP_010940843.1, WP_164930448.1
OG0000055	Utg323152_253	WP_010942902.1
OG0000057	Utg323266_75, Utg323152_465, Utg323300_441, Utg323632_324, Utg323392_16, Utg323140_160	WP_010943773.1
OG0000058	Utg323180_619	WP_010942454.1
OG0000058	Utg323152_288, Utg323632_274, Utg323152_273, Utg323180_393, Utg323180_545	WP_010941840.1
OG0000060	Utg323300_75, Utg323632_306	WP_041913993.1
OG0000060	Utg323990_72	WP_010942427.1
OG0000061	Utg323266_110	WP_010942269.1
OG0000061	Utg323180_315	WP_010943909.1
OG0000062	Utg323392_166, Utg323140_118	WP_010942081.1
OG0000063	Utg323392_142	WP_010942168.1, WP_010942767.1
OG0000064	Utg323990_139	WP_010941276.1
OG0000064	Utg323180_38	WP_010943894.1
OG0000065	Utg323140_85, Utg323160_21	WP_010941490.1, WP_010941029.1, WP_010942716.1, WP_010943066.1, WP_010940694.1
OG0000065	Utg323140_2, Utg323180_2	WP_010942732.1
OG0000066	Utg323266_106	WP_010942270.1
OG0000067	Utg323392_165, Utg323140_119	WP_010942082.1
OG0000069	Utg325220_94	WP_010943436.1
OG0000070	Utg323152_189	WP_010942896.1
OG0000070	Utg323990_69	WP_235045000.1, WP_010942882.1, WP_010942892.1
OG0000071	Utg323152_536	WP_010942652.1
OG0000071	Utg323180_522	WP_010942375.1
OG0000072	Utg323152_535	WP_010942651.1
OG0000072	Utg323180_521	WP_010942376.1
OG0000073	Utg323160_62, Utg323180_197, Utg323632_357, Utg323180_298, Utg323180_233, Utg324548_6, Utg323140_124	WP_235045002.1
OG0000074	Utg323180_421, Utg325220_79	WP_010940892.1
OG0000075	Utg323160_84	WP_010944017.1
OG0000076	Utg323180_458, Utg323152_263	WP_010942860.1, WP_010942858.1
OG0000077	Utg323074_141	WP_010941855.1
OG0000078	Utg323152_397	WP_010942352.1
OG0000079	Utg323160_93, Utg323180_41, Utg323990_42	WP_010942999.1
OG0000080	Utg323140_241	WP_010940950.1
OG0000081	Utg323266_79	WP_010940930.1
OG0000082	Utg323392_216, Utg323152_318	WP_010941678.1, WP_010943655.1
OG0000085	Utg323180_592	WP_010940999.1, WP_010940757.1
OG0000087	Utg323140_87, Utg323152_497, Utg323632_128	WP_010942653.1
OG0000088	Utg323180_457, Utg323152_262	WP_010940968.1, WP_010942862.1, WP_010943817.1
OG0000089	Utg324548_40, Utg323140_37	WP_010943038.1, WP_010942202.1
OG0000091	Utg323180_478	WP_010941129.1
OG0000092	Utg323300_130	WP_010940844.1
OG0000092	Utg323152_94	WP_010942735.1
OG0000093	Utg323180_45	WP_010941779.1
OG0000094	Utg323074_170	WP_010941286.1
OG0000095	Utg323300_425	WP_010940777.1
OG0000095	Utg323990_63	WP_010942900.1
OG0000097	Utg323266_4, Utg323152_498, Utg323160_75, Utg323266_3, Utg323160_123	WP_010941879.1
OG0000098	Utg323180_520	WP_010942377.1
OG0000098	Utg323152_561	WP_010942650.1
OG0000100	Utg323632_82	WP_010941165.1
OG0000101	Utg323266_38, Utg323180_20	WP_010943782.1, WP_010943090.1
OG0000102	Utg323632_122	WP_010941507.1
OG0000103	Utg323316_301, Utg323180_100	WP_010941607.1, WP_010942480.1
OG0000104	Utg323074_23, Utg323300_86, Utg323316_337	WP_262421275.1
OG0000105	Utg323392_148	WP_010942250.1
OG0000105	Utg323180_490	WP_010941127.1, WP_010941128.1
OG0000106	Utg323300_138, Utg323300_125, Utg323316_317	WP_010943341.1
OG0000107	Utg323266_55	WP_010942207.1
OG0000108	Utg323180_244, Utg323392_40, Utg323180_651, Utg323180_650	WP_010940958.1
OG0000110	Utg323140_35	WP_235044926.1
OG0000112	Utg323300_361	WP_010942274.1
OG0000113	Utg323316_179	WP_010942320.1
OG0000114	Utg323448_59	WP_010943165.1
OG0000115	Utg323300_341	WP_010943892.1
OG0000115	Utg323990_86	WP_010944056.1, WP_010942772.1
OG0000116	Utg323300_387	WP_010941178.1
OG0000117	Utg323140_129	WP_010941759.1
OG0000118	Utg323140_128	WP_010941758.1
OG0000119	Utg323180_425	WP_010943592.1
OG0000120	Utg323140_117	WP_010942080.1
OG0000121	Utg323074_180	WP_010942597.1
OG0000122	Utg323300_431, Utg323262_85	WP_010943368.1, WP_010943370.1
OG0000123	Utg325220_102	WP_010943384.1
OG0000125	Utg323316_156	WP_010942746.1
OG0000126	Utg323392_137	WP_010943126.1
OG0000126	Utg323140_162	WP_010943898.1
OG0000128	Utg323180_277	WP_010941589.1
OG0000128	Utg323152_202	WP_010943853.1
OG0000129	Utg323180_691	WP_010941713.1
OG0000130	Utg323140_62, Utg323632_319	WP_235044863.1, WP_010942184.1
OG0000131	Utg323074_120	WP_010942881.1
OG0000133	Utg323140_126	WP_010941757.1
OG0000134	Utg323140_101	WP_010942241.1
OG0000136	Utg323152_230	WP_010941670.1
OG0000138	Utg323392_64	WP_010941764.1
OG0000142	Utg323180_616	WP_010942899.1
OG0000143	Utg323140_49	WP_010941975.1
OG0000143	Utg323180_33	WP_010943891.1
OG0000144	Utg323392_195	WP_010941593.1, WP_041914047.1
OG0000144	Utg323392_160	WP_010941482.1
OG0000145	Utg323180_144, Utg323180_511, Utg323074_35, Utg323074_36	WP_010942949.1
OG0000147	Utg323392_141	WP_010942139.1
OG0000147	Utg323632_318	WP_010940995.1
OG0000149	Utg323300_144	WP_276524822.1, WP_010943517.1
OG0000150	Utg323152_400, Utg323316_140, Utg323300_310	WP_010943710.1
OG0000151	Utg323316_242	WP_010942486.1
OG0000152	Utg323180_516	WP_010942382.1
OG0000152	Utg323180_523	WP_010942374.1
OG0000153	Utg323180_413, Utg323300_187	WP_010943806.1, WP_010941511.1
OG0000154	Utg323160_129, Utg323266_10	WP_010943751.1
OG0000156	Utg323316_158	WP_010942747.1
OG0000159	Utg323180_417	WP_010943532.1
OG0000160	Utg323180_213	WP_010941051.1, WP_010940903.1
OG0000163	Utg323160_83, Utg323262_107	WP_010940702.1, WP_010942942.1
OG0000164	Utg323300_166	WP_010941317.1
OG0000165	Utg323140_175	WP_010942470.1
OG0000166	Utg323632_248, Utg324810_90	WP_010943267.1
OG0000167	Utg323140_81, Utg323152_436	WP_010943983.1
OG0000168	Utg323300_260	WP_010942284.1
OG0000169	Utg323152_503, Utg323392_14	WP_010942556.1
OG0000170	Utg323300_350	WP_010942052.1
OG0000173	Utg324810_59	WP_010943577.1, WP_010941118.1
OG0000174	Utg323180_604	WP_010944064.1
OG0000174	Utg323266_90	WP_235044909.1
OG0000175	Utg323160_23, Utg325220_73, Utg323392_235, Utg323300_462, Utg323160_47	WP_262421276.1
OG0000176	Utg324810_46	WP_010941450.1
OG0000179	Utg323152_376	WP_010943665.1
OG0000180	Utg323262_181, Utg323262_184	WP_010941864.1
OG0000181	Utg323316_243	WP_010942627.1
OG0000183	Utg323632_25	WP_010941007.1
OG0000184	Utg323392_66	WP_010943067.1
OG0000185	Utg323316_113	WP_041914029.1
OG0000186	Utg323392_251	WP_010941475.1, WP_010942088.1
OG0000187	Utg323448_60, Utg323448_47	WP_010943488.1
OG0000188	Utg323300_307	WP_010942212.1, WP_193360263.1, WP_010941847.1
OG0000190	Utg323140_75	WP_010943251.1
OG0000191	Utg323180_105	WP_010940707.1
OG0000191	Utg323266_48	WP_010941690.1
OG0000192	Utg323180_399	WP_010940935.1
OG0000196	Utg323632_23	WP_010941009.1
OG0000197	Utg323448_28	WP_010941767.1
OG0000198	Utg323152_174	WP_010942442.1
OG0000199	Utg323152_198	WP_010940692.1
OG0000200	Utg323160_40, Utg323074_145	WP_010940782.1
OG0000201	Utg323180_6	WP_010942481.1, WP_010941167.1
OG0000202	Utg325220_64, Utg323140_270, Utg323300_104	WP_010944059.1, WP_010943805.1, WP_010941512.1
OG0000205	Utg323266_99	WP_275450049.1
OG0000207	Utg323266_113	WP_010942266.1
OG0000208	Utg323266_114	WP_010942265.1
OG0000209	Utg323316_339	WP_010942096.1
OG0000210	Utg323300_167	WP_010941518.1
OG0000211	Utg323140_182	WP_010940834.1
OG0000212	Utg324810_52	WP_010941451.1
OG0000213	Utg323180_404	WP_010942048.1
OG0000214	Utg323632_45	WP_010943452.1, WP_010943323.1, WP_010943453.1
OG0000215	Utg324810_67	WP_010942713.1
OG0000216	Utg323316_146	WP_010943613.1
OG0000217	Utg324548_25, Utg323262_16	WP_010942056.1
OG0000218	Utg323632_371, Utg323266_87, Utg323266_88	WP_010941105.1
OG0000219	Utg323180_543, Utg323300_291	WP_010942171.1
OG0000220	Utg323180_556	WP_010941820.1
OG0000222	Utg323262_114	WP_010942108.1
OG0000223	Utg323392_219	WP_010942050.1
OG0000224	Utg323152_490	WP_010942097.1
OG0000225	Utg323152_460	WP_010943944.1
OG0000226	Utg323300_329	WP_010943254.1, WP_010943255.1
OG0000227	Utg323632_351	WP_010943010.1
OG0000228	Utg323074_134	WP_010940759.1
OG0000229	Utg325220_87	WP_010942321.1
OG0000233	Utg323152_10	WP_010943635.1
OG0000234	Utg323990_146	WP_010943824.1, WP_010940956.1
OG0000235	Utg323180_210, Utg323300_358	WP_010942669.1
OG0000236	Utg323152_193	WP_235044991.1, WP_235044960.1, WP_010943847.1, WP_235044941.1
OG0000239	Utg323266_22, Utg324548_14	WP_010943048.1
OG0000240	Utg323152_13, Utg323180_454	WP_010941505.1
OG0000241	Utg324548_15	WP_010942954.1
OG0000241	Utg323262_144	WP_010941508.1
OG0000242	Utg323152_279, Utg323632_279, Utg323152_284	WP_235044978.1
OG0000243	Utg323180_67, Utg323266_94, Utg323160_100, Utg323160_101	WP_010942841.1
OG0000245	Utg323316_355	WP_010943105.1
OG0000246	Utg323180_115, Utg323180_52	WP_010943032.1
OG0000246	Utg323180_624	WP_045667367.1, WP_235044935.1
OG0000248	Utg323140_188	WP_010940826.1
OG0000249	Utg323632_328	WP_010943406.1, WP_010943405.1
OG0000250	Utg323152_330	WP_010943679.1
OG0000252	Utg323632_22	WP_010941013.1
OG0000253	Utg323632_102	WP_010943698.1, WP_010943699.1
OG0000255	Utg323140_209	WP_010943746.1, WP_010941236.1
OG0000256	Utg323632_47	WP_010943449.1
OG0000257	Utg323990_211	WP_010943933.1
OG0000257	Utg324810_19	WP_010941115.1
OG0000258	Utg323316_263	WP_235044999.1
OG0000259	Utg323990_75	WP_010942654.1
OG0000260	Utg323140_174	WP_010942469.1
OG0000262	Utg323152_138, Utg323152_139	WP_010943062.1, WP_010941612.1, WP_010941613.1, WP_010941843.1
OG0000264	Utg323262_53, Utg323300_385	WP_010940789.1
OG0000265	Utg323262_60, Utg323300_383	WP_010940787.1
OG0000266	Utg323262_57, Utg323300_345	WP_010941002.1
OG0000267	Utg323316_169	WP_010944011.1, WP_010942780.1, WP_010941497.1, WP_010941986.1
OG0000270	Utg323140_132	WP_010941762.1
OG0000271	Utg323266_111, Utg323140_109	WP_010943344.1
OG0000272	Utg324810_29, Utg323152_381	WP_010942075.1
OG0000273	Utg323392_256, Utg323448_108	WP_010941196.1
OG0000274	Utg323160_113	WP_010943288.1
OG0000277	Utg323990_152	WP_010940802.1, WP_010943774.1
OG0000278	Utg323632_18, Utg323990_104	WP_010942980.1
OG0000280	Utg323152_299, Utg323152_300	WP_010941072.1, WP_010940808.1
OG0000281	Utg323392_84	WP_010941524.1
OG0000282	Utg323262_154	WP_010943444.1
OG0000283	Utg324810_45	WP_010940799.1
OG0000284	Utg323300_134	WP_010942003.1, WP_010941315.1, WP_010941575.1
OG0000285	Utg324548_26	WP_010941784.1
OG0000288	Utg323180_284	WP_010942662.1
OG0000288	Utg323152_159	WP_010943065.1
OG0000289	Utg323392_229	WP_010941147.1
OG0000290	Utg323990_110	WP_010944031.1
OG0000291	Utg323152_390	WP_010942449.1
OG0000292	Utg323448_29	WP_010941250.1
OG0000293	Utg323632_26	WP_010941006.1
OG0000295	Utg323074_122	WP_010942132.1
OG0000296	Utg323180_360, Utg323140_32, Utg323300_349	WP_010943239.1, WP_010942391.1
OG0000297	Utg323160_80, Utg323160_79	WP_010943720.1
OG0000299	Utg323392_237, Utg323632_41	WP_010941531.1
OG0000300	Utg323180_71, Utg324810_53	WP_010941042.1
OG0000301	Utg323448_82	WP_010943464.1
OG0000302	Utg323180_186, Utg323262_78	WP_010940762.1
OG0000303	Utg323990_183, Utg323990_188	WP_235044981.1
OG0000305	Utg323990_250	WP_010943229.1, WP_010941629.1
OG0000307	Utg323632_13	WP_010944039.1
OG0000308	Utg323632_21	WP_010941014.1, WP_010944044.1
OG0000309	Utg323300_194	WP_010942664.1
OG0000310	Utg323074_211	WP_010942151.1
OG0000312	Utg323632_140, Utg323632_141	WP_010944022.1
OG0000314	Utg323632_19	WP_010941016.1
OG0000315	Utg323160_50, Utg323262_195	WP_010941223.1
OG0000316	Utg323180_263	WP_010942400.1
OG0000318	Utg323316_214	WP_010941278.1
OG0000318	Utg323316_207	WP_235045030.1
OG0000320	Utg323300_402	WP_010942929.1
OG0000321	Utg323316_81	WP_010942347.1
OG0000325	Utg323140_86, Utg323632_345, Utg323632_283	WP_010941180.1
OG0000326	Utg323990_210	WP_010941340.1
OG0000327	Utg323152_563	WP_010944012.1
OG0000328	Utg323074_89	WP_235044973.1
OG0000331	Utg323074_59	WP_010942832.1
OG0000332	Utg323632_344, Utg323632_343	WP_010940771.1
OG0000333	Utg323300_359	WP_010942670.1
OG0000335	Utg323316_153, Utg323300_388, Utg323300_389	WP_010942466.1
OG0000336	Utg323990_76	WP_010942655.1
OG0000337	Utg323632_59	WP_010942393.1
OG0000338	Utg323300_340	WP_010941156.1
OG0000339	Utg323152_478	WP_010941334.1
OG0000340	Utg323140_255	WP_010941922.1
OG0000341	Utg325220_86	WP_010942355.1
OG0000343	Utg323632_101	WP_010943700.1
OG0000344	Utg323316_147	WP_010943614.1
OG0000345	Utg323140_249	WP_010942401.1
OG0000346	Utg323262_77	WP_010940764.1
OG0000348	Utg323140_253	WP_010941927.1
OG0000350	Utg323266_68, Utg323392_31	WP_235044984.1
OG0000351	Utg323316_170	WP_010941822.1, WP_010942781.1, WP_010941496.1, WP_235044931.1, WP_010941985.1
OG0000352	Utg323300_309	WP_010943711.1
OG0000353	Utg323152_411	WP_010943880.1
OG0000355	Utg323180_503	WP_010941203.1
OG0000356	Utg325220_24, Utg323152_199	WP_010942796.1, WP_010943738.1
OG0000357	Utg323140_190	WP_010942533.1
OG0000358	Utg323180_133	WP_010941267.1
OG0000359	Utg323266_112, Utg323140_110	WP_010944058.1, WP_010943345.1
OG0000360	Utg323448_18	WP_010942731.1
OG0000361	Utg323392_154	WP_010940962.1
OG0000363	Utg323632_65, Utg323266_83	WP_010940854.1
OG0000364	Utg323448_115, Utg324810_20, Utg323180_185	WP_010941270.1
OG0000365	Utg323300_405, Utg323140_74	WP_010943250.1
OG0000366	Utg323180_120	WP_010941660.1
OG0000370	Utg323074_44	WP_010940937.1
OG0000371	Utg323300_419, Utg323180_627	WP_235044970.1, WP_010942091.1
OG0000378	Utg323300_225	WP_275450045.1
OG0000379	Utg324548_30	WP_010941941.1
OG0000381	Utg323266_59, Utg323262_166	WP_010943166.1
OG0000382	Utg323152_317	WP_010943654.1
OG0000384	Utg323632_224, Utg323392_7	WP_010942061.1, WP_010943430.1
OG0000385	Utg323990_182, Utg323990_189	WP_235044980.1
OG0000388	Utg323392_149	WP_010942249.1
OG0000389	Utg325220_115	WP_010944066.1, WP_010940805.1
OG0000390	Utg323152_156	WP_010941122.1
OG0000391	Utg323392_139	WP_010942461.1
OG0000393	Utg323392_115	WP_010943825.1
OG0000394	Utg323632_227	WP_010943002.1
OG0000395	Utg323392_102	WP_010942541.1
OG0000396	Utg323316_308	WP_010942725.1
OG0000397	Utg323152_152	WP_010943018.1
OG0000398	Utg323316_283	WP_010941523.1
OG0000399	Utg323074_27	WP_010943768.1
OG0000400	Utg323074_129	WP_010943724.1
OG0000401	Utg323448_26	WP_010940699.1
OG0000402	Utg323990_13	WP_223106389.1
OG0000402	Utg323074_201	WP_010942160.1, WP_010943148.1
OG0000403	Utg323392_161	WP_010941483.1
OG0000404	Utg323632_90	WP_010942824.1
OG0000406	Utg323300_304, Utg323632_208	WP_010941749.1
OG0000407	Utg323300_231	WP_010941720.1
OG0000408	Utg323316_309	WP_010943001.1
OG0000409	Utg323152_214, Utg323152_215	WP_010943829.1
OG0000410	Utg323180_618	WP_010941931.1
OG0000411	Utg323180_184	WP_010940979.1
OG0000412	Utg323632_307	WP_010940997.1
OG0000413	Utg323632_56	WP_010942923.1
OG0000414	Utg323140_130	WP_010941756.1
OG0000415	Utg323180_424	WP_010943593.1
OG0000418	Utg323632_29	WP_010943506.1
OG0000419	Utg323990_112	WP_010941890.1, WP_010941487.1
OG0000421	Utg323300_89	WP_010943179.1, WP_164930432.1, WP_010942103.1
OG0000422	Utg323316_306	WP_010943000.1
OG0000423	Utg323152_258, Utg323152_259	WP_010942177.1
OG0000425	Utg323632_72	WP_010940943.1
OG0000426	Utg323152_151	WP_010943019.1
OG0000427	Utg323448_41	WP_010943733.1
OG0000428	Utg323392_159	WP_010941481.1, WP_010942544.1, WP_010941594.1
OG0000430	Utg323152_270, Utg323152_281	WP_010941255.1, WP_010942639.1, WP_010942850.1
OG0000431	Utg323140_38, Utg323392_85	WP_010942742.1
OG0000432	Utg323300_442, Utg323152_538	WP_010941578.1
OG0000433	Utg323316_347	WP_010941430.1
OG0000434	Utg323316_227, Utg323180_553	WP_010943321.1
OG0000435	Utg323316_84	WP_010941462.1
OG0000436	Utg323152_368	WP_235044860.1
OG0000438	Utg323152_420	WP_010941116.1
OG0000439	Utg323152_408	WP_010943881.1
OG0000440	Utg323152_402	WP_010941436.1
OG0000443	Utg324810_34	WP_010943783.1
OG0000444	Utg323152_45	WP_010940703.1
OG0000445	Utg323152_295	WP_010941856.1
OG0000446	Utg323152_316	WP_010941087.1
OG0000447	Utg323180_327, Utg323990_241, Utg323392_129	WP_010942329.1
OG0000448	Utg323152_562	WP_010944005.1
OG0000449	Utg323152_593	WP_010942222.1
OG0000452	Utg323300_444, Utg323152_543	WP_010943275.1
OG0000457	Utg323140_93	WP_010942557.1
OG0000458	Utg323632_292	WP_010943913.1, WP_010942869.1
OG0000459	Utg323152_197	WP_010942547.1
OG0000460	Utg323632_251	WP_010942228.1
OG0000461	Utg323266_1, Utg323180_610	WP_010940711.1
OG0000462	Utg323392_157	WP_010941479.1
OG0000463	Utg323152_557	WP_010942901.1
OG0000465	Utg323316_131	WP_010943901.1
OG0000466	Utg323316_143	WP_010943714.1, WP_010941574.1
OG0000467	Utg324810_50	WP_010940977.1
OG0000468	Utg323152_550	WP_010941157.1
OG0000469	Utg323300_339	WP_235045036.1, WP_010941169.1
OG0000470	Utg323632_217	WP_010940811.1
OG0000471	Utg323180_23	WP_010942071.1
OG0000472	Utg323990_82	WP_010943177.1
OG0000473	Utg324810_49	WP_010940976.1
OG0000474	Utg323392_19	WP_010941000.1
OG0000475	Utg323300_262	WP_010942285.1
OG0000476	Utg323448_21	WP_010942721.1, WP_010943097.1
OG0000477	Utg323316_316	WP_010941662.1
OG0000478	Utg323316_148	WP_010943615.1
OG0000479	Utg323152_47	WP_010940705.1
OG0000480	Utg323448_83	WP_010942395.1
OG0000481	Utg323316_184	WP_010942262.1, WP_010940718.1
OG0000482	Utg323300_126	WP_010941444.1
OG0000484	Utg323300_196	WP_010943984.1
OG0000485	Utg323152_48	WP_010940706.1
OG0000486	Utg323152_439	WP_010942693.1
OG0000487	Utg323152_216	WP_010943830.1
OG0000488	Utg323160_29	WP_010941054.1
OG0000489	Utg323392_46	WP_010942709.1
OG0000490	Utg323180_708	WP_010941675.1
OG0000491	Utg323074_142	WP_010941876.1
OG0000492	Utg323180_163	WP_010941312.1, WP_010941313.1
OG0000493	Utg323300_317	WP_010942580.1
OG0000494	Utg323300_293	WP_010942170.1
OG0000495	Utg323152_176	WP_010943252.1
OG0000496	Utg323632_52	WP_010942910.1
OG0000497	Utg323632_236	WP_010941636.1, WP_010942416.1
OG0000498	Utg323632_237	WP_010942417.1
OG0000499	Utg323300_95, Utg323180_506	WP_010942708.1
OG0000500	Utg323448_101	WP_010942876.1
OG0000502	Utg323152_196	WP_010942548.1
OG0000503	Utg323180_35	WP_010941055.1
OG0000504	Utg323180_617	WP_010941928.1
OG0000505	Utg323316_99, Utg323266_72	WP_010941251.1
OG0000506	Utg323262_175, Utg323152_506	WP_010942552.1
OG0000507	Utg323180_43	WP_010941554.1
OG0000508	Utg323300_12	WP_010940877.1
OG0000509	Utg323160_78	WP_010943992.1
OG0000510	Utg323180_484	WP_010940919.1
OG0000511	Utg323316_346	WP_010941133.1, WP_010942396.1
OG0000512	Utg323074_26	WP_010943245.1
OG0000513	Utg323300_263	WP_010942286.1
OG0000514	Utg323632_76	WP_010942904.1, WP_010941664.1
OG0000515	Utg323152_558	WP_010942903.1
OG0000516	Utg323180_611, Utg323266_2	WP_010942477.1
OG0000517	Utg323262_106	WP_010941039.1
OG0000518	Utg323180_544	WP_010942917.1, WP_010941533.1
OG0000519	Utg323152_229	WP_010943550.1, WP_010943549.1
