Orthogroup	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide
OG0000026	Utg323140_43	Utg864866_112
OG0000026	Utg323300_371	Utg857152_94
OG0000027	Utg323180_189	Utg863716_17
OG0000027	Utg323300_117	Utg857300_35
OG0000027	Utg323300_118	Utg857300_34
OG0000027	Utg323392_79	Utg859388_156
OG0000027	Utg323180_188	Utg863716_16
OG0000028	Utg323262_65	Utg857076_67
OG0000028	Utg323990_173	Utg860006_30
OG0000028	Utg323140_52	Utg864866_102
OG0000028	Utg323180_452	Utg860814_34
OG0000030	Utg323160_85	Utg861744_16
OG0000031	Utg323448_44	Utg857490_1
OG0000031	Utg323262_74	Utg857076_58
OG0000031	Utg323180_78	Utg857152_167
OG0000031	Utg323392_77	Utg859388_158
OG0000032	Utg323316_338	Utg857046_252
OG0000032	Utg323300_122	Utg857300_30
OG0000033	Utg323140_146	Utg860814_171
OG0000034	Utg323392_186	Utg859388_40
OG0000034	Utg323392_187	Utg859388_39
OG0000035	Utg323180_199	Utg863716_35
OG0000035	Utg323262_95	Utg857076_40
OG0000035	Utg323300_305	Utg857152_33
OG0000037	Utg323180_533	Utg858494_23
OG0000038	Utg323990_153	Utg860006_50
OG0000038	Utg323180_685	Utg860814_278
OG0000038	Utg323180_684	Utg860814_277
OG0000039	Utg323316_349	Utg857046_262
OG0000040	Utg323074_178	Utg857994_193
OG0000040	Utg323990_66	Utg860006_147
OG0000041	Utg323316_196	Utg857046_101
OG0000042	Utg323180_126	Utg857152_197
OG0000042	Utg323300_393	Utg857152_116
OG0000042	Utg323262_141	Utg859236_105
OG0000043	Utg323262_134	Utg857300_6
OG0000043	Utg323140_196	Utg859236_121
OG0000043	Utg323180_525	Utg860814_118
OG0000043	Utg323180_599	Utg860814_180
OG0000046	Utg324810_8	Utg857994_85, Utg857994_86, Utg860006_158
OG0000046	Utg323152_235	Utg859098_176
OG0000046	Utg323180_156	Utg857152_215
OG0000047	Utg323316_238	Utg857046_163
OG0000047	Utg323074_155	Utg857994_168
OG0000048	Utg323266_109	Utg857682_54
OG0000048	Utg323316_142	Utg857046_28
OG0000049	Utg323300_370	Utg857152_93
OG0000051	Utg323262_75	Utg857076_57
OG0000051	Utg323316_319	Utg857046_216
OG0000051	Utg323180_77	Utg857152_166
OG0000051	Utg323392_76	Utg859388_159
OG0000051	Utg323392_75	Utg859388_160
OG0000052	Utg323262_71	Utg859982_225, Utg857076_61
OG0000052	Utg323152_537	Utg857046_241
OG0000052	Utg323074_111	Utg857994_129
OG0000052	Utg323300_411	Utg857152_135
OG0000053	Utg323392_224	Utg859388_13
OG0000053	Utg323180_371, Utg323316_65	Utg859432_19
OG0000053	Utg323316_144	Utg857046_30
OG0000055	Utg323152_253	Utg859098_163
OG0000056	Utg323180_501	Utg859098_380
OG0000057	Utg323266_75	Utg857682_24
OG0000057	Utg323300_441	Utg859982_23
OG0000057	Utg323632_324, Utg323392_16	Utg859098_431
OG0000057	Utg323140_160	Utg864866_2
OG0000058	Utg323180_619	Utg860814_210
OG0000058	Utg323152_288	Utg859098_128
OG0000058	Utg323632_274	Utg866558_45
OG0000058	Utg323152_273	Utg859098_142
OG0000058	Utg323180_545	Utg860814_129
OG0000059	Utg323300_36	Utg857682_3
OG0000060	Utg323300_75	Utg857300_57
OG0000060	Utg323632_306	Utg866558_9
OG0000060	Utg323990_72	Utg860006_140, Utg860006_141
OG0000061	Utg323266_110	Utg857682_55
OG0000061	Utg323180_315	Utg859076_31
OG0000062	Utg323392_166	Utg859388_55
OG0000063	Utg323632_334	Utg857992_35
OG0000063	Utg323392_142	Utg859388_77
OG0000064	Utg323990_139	Utg860006_63
OG0000064	Utg323180_38	Utg859750_77
OG0000065	Utg323140_85	Utg864866_69
OG0000065	Utg323140_2, Utg323180_2	Utg859750_21
OG0000066	Utg323266_106	Utg857682_52
OG0000067	Utg323392_165	Utg859388_56
OG0000069	Utg325220_94	Utg857682_89
OG0000069	Utg323262_103	Utg857076_29
OG0000070	Utg323152_189	Utg859098_224
OG0000070	Utg323990_69	Utg860006_144
OG0000071	Utg323152_536	Utg857046_242
OG0000071	Utg323152_559	Utg859982_10
OG0000071	Utg323180_522	Utg860814_115
OG0000072	Utg323152_535	Utg857046_243
OG0000072	Utg323152_560	Utg859982_9
OG0000072	Utg323180_521	Utg860814_114
OG0000073	Utg323160_62	Utg861744_37
OG0000073	Utg323180_298	Utg863716_115
OG0000073	Utg323180_233	Utg860814_62
OG0000073	Utg324548_6, Utg323140_124	Utg864866_41
OG0000075	Utg323160_84	Utg861744_17
OG0000076	Utg323180_458	Utg860814_43
OG0000076	Utg323152_263	Utg859098_152
OG0000077	Utg323074_141	Utg857994_161
OG0000078	Utg323152_397	Utg859982_201, Utg859982_200
OG0000078	Utg323180_686	Utg860814_279
OG0000078	Utg323300_294	Utg857152_21
OG0000079	Utg323160_93	Utg861744_10
OG0000079	Utg323180_41	Utg859750_81
OG0000079	Utg323990_42	Utg860006_159
OG0000082	Utg323392_216	Utg859388_21
OG0000082	Utg323152_318	Utg859098_98
OG0000085	Utg323180_592	Utg860814_167
OG0000087	Utg323140_87	Utg864866_67
OG0000087	Utg323152_497	Utg859982_51
OG0000087	Utg323632_128	Utg858432_79
OG0000088	Utg325220_103	Utg859236_115, Utg859236_116
OG0000088	Utg323152_262	Utg859098_153
OG0000091	Utg323180_478	Utg860814_64
OG0000091	Utg323392_150	Utg859388_68
OG0000092	Utg323180_509	Utg860814_99
OG0000093	Utg323180_45	Utg859750_86
OG0000094	Utg323152_240, Utg323990_23	Utg858494_66
OG0000094	Utg323074_170	Utg857994_186
OG0000095	Utg323300_425	Utg857152_143
OG0000095	Utg323990_63	Utg860006_150
OG0000096	Utg323392_43	Utg858498_18
OG0000097	Utg323152_498	Utg859982_50, Utg859982_49
OG0000097	Utg323160_75	Utg861744_24
OG0000098	Utg323180_520	Utg860814_113
OG0000098	Utg323152_561	Utg859982_8
OG0000099	Utg323990_106	Utg860006_97
OG0000099	Utg323180_500	Utg860814_91
OG0000099	Utg323074_101, Utg323074_64	Utg860814_85
OG0000101	Utg323266_38	Utg865370_31
OG0000101	Utg323180_20	Utg859750_57
OG0000102	Utg323632_122	Utg858432_73
OG0000103	Utg323316_301	Utg857046_198
OG0000103	Utg323180_100	Utg857152_173
OG0000104	Utg323074_23	Utg857994_15
OG0000104	Utg323316_337	Utg857046_251
OG0000105	Utg323392_148	Utg859388_70
OG0000105	Utg323180_490	Utg860814_77
OG0000106	Utg323300_138	Utg857076_51, Utg857300_18
OG0000106	Utg323316_317	Utg857046_214
OG0000107	Utg323266_55	Utg857682_17, Utg857682_16
OG0000107	Utg323180_669	Utg860814_263, Utg860814_264
OG0000108	Utg323180_244	Utg863716_66
OG0000108	Utg323392_40	Utg858498_15
OG0000108	Utg323180_651	Utg860814_243
OG0000108	Utg323180_650	Utg860814_242
OG0000110	Utg323152_265	Utg859098_150
OG0000112	Utg323300_361	Utg857152_85
OG0000113	Utg323180_560	Utg860814_145
OG0000113	Utg323316_179	Utg857046_73
OG0000114	Utg323448_59	Utg858494_132
OG0000114	Utg323180_193	Utg863716_30
OG0000115	Utg323300_341	Utg857152_65
OG0000115	Utg323990_86	Utg860006_127
OG0000116	Utg323300_387	Utg857152_111
OG0000117	Utg323316_188	Utg857046_88
OG0000117	Utg323140_129	Utg864866_33
OG0000118	Utg323140_128	Utg864866_34
OG0000118	Utg323316_189	Utg857046_89
OG0000121	Utg323316_251, Utg323316_295, Utg323316_290	Utg857994_106
OG0000121	Utg323074_180	Utg857994_195
OG0000122	Utg323180_512	Utg860814_103
OG0000122	Utg323300_431, Utg323262_85	Utg857076_48
OG0000123	Utg323152_264	Utg859098_151
OG0000123	Utg325220_102	Utg859236_117
OG0000124	Utg323180_456	Utg860814_41, Utg860814_178
OG0000125	Utg323316_156	Utg857046_44
OG0000126	Utg323392_137	Utg859388_82
OG0000127	Utg323448_31	Utg857490_17
OG0000128	Utg323180_277	Utg863716_100
OG0000128	Utg323152_202	Utg859098_212
OG0000129	Utg323180_691	Utg860814_286
OG0000130	Utg323140_62	Utg864866_91
OG0000130	Utg323632_319	Utg857992_39
OG0000131	Utg323074_120	Utg857994_138
OG0000131	Utg323990_32	Utg859236_14
OG0000133	Utg323140_126	Utg864866_36
OG0000133	Utg323316_190	Utg857046_90
OG0000134	Utg323140_101	Utg864866_54
OG0000134	Utg323152_247	Utg859098_168
OG0000135	Utg323300_373	Utg857152_96
OG0000136	Utg323152_230	Utg859098_181
OG0000136	Utg323392_39	Utg858498_14
OG0000137	Utg323316_187	Utg857046_87
OG0000137	Utg323632_120	Utg858432_69
OG0000137	Utg323074_21	Utg857994_122
OG0000137	Utg323300_15	Utg859982_120
OG0000138	Utg323392_64	Utg859388_169
OG0000141	Utg323300_418	Utg857682_146
OG0000142	Utg323180_616	Utg860814_204
OG0000142	Utg323392_262	Utg861448_10, Utg861448_11
OG0000143	Utg323140_49	Utg864866_105
OG0000143	Utg323180_33	Utg859750_71
OG0000144	Utg323392_195	Utg859388_32
OG0000144	Utg323392_160	Utg859388_58
OG0000145	Utg323180_511	Utg860814_101
OG0000147	Utg323392_141	Utg859388_78
OG0000147	Utg323632_318	Utg857992_40
OG0000149	Utg323300_144	Utg857300_12
OG0000150	Utg323152_400	Utg859982_197
OG0000150	Utg323316_140	Utg857046_26
OG0000150	Utg323300_310	Utg857152_38
OG0000151	Utg323316_242	Utg857046_167
OG0000152	Utg323180_516	Utg860814_109
OG0000152	Utg323180_523	Utg860814_116
OG0000154	Utg323160_129, Utg323266_10	Utg865370_5
OG0000156	Utg323316_158	Utg859982_64, Utg857046_46
OG0000158	Utg323180_251	Utg863716_72
OG0000159	Utg324810_14, Utg323180_417	Utg857994_88
OG0000160	Utg323180_213	Utg863716_47
OG0000162	Utg323316_178	Utg857046_72
OG0000163	Utg323160_83	Utg861744_18
OG0000163	Utg323262_107	Utg857076_25
OG0000164	Utg323300_166	Utg857300_2
OG0000165	Utg323140_175	Utg859432_36
OG0000166	Utg323632_248	Utg858432_139
OG0000166	Utg324810_90	Utg861744_93
OG0000167	Utg323140_81	Utg864866_73
OG0000167	Utg323152_436	Utg859982_154
OG0000169	Utg323152_503	Utg859982_43
OG0000169	Utg323392_14	Utg859098_429
OG0000170	Utg323300_350	Utg857152_75
OG0000171	Utg323152_438	Utg859982_151
OG0000171	Utg323152_437	Utg859982_152
OG0000172	Utg323990_178	Utg860006_25
OG0000173	Utg324810_59	Utg861744_119
OG0000174	Utg323180_604	Utg860814_189
OG0000175	Utg323160_23, Utg325220_73, Utg323392_235, Utg323300_462	Utg857994_220
OG0000176	Utg324810_46	Utg861744_133
OG0000178	Utg323316_122	Utg857046_4
OG0000178	Utg324810_77	Utg861744_102
OG0000179	Utg323152_376	Utg859098_69, Utg859098_70
OG0000180	Utg323262_181, Utg323262_184	Utg859236_79
OG0000181	Utg323316_243	Utg857046_168
OG0000182	Utg323392_153	Utg859388_65
OG0000183	Utg323632_25	Utg862138_16
OG0000184	Utg323392_66	Utg859388_167
OG0000184	Utg324548_16	Utg859236_54
OG0000185	Utg323152_69	Utg859098_331
OG0000186	Utg323392_251	Utg857994_70
OG0000187	Utg323448_60, Utg323448_47	Utg858494_144, Utg858494_131
OG0000188	Utg323300_307	Utg857152_35
OG0000189	Utg323990_133	Utg860006_69
OG0000190	Utg323152_409	Utg859982_184
OG0000190	Utg323140_75	Utg864866_78
OG0000191	Utg323180_105	Utg857152_179
OG0000193	Utg323392_230	Utg859388_6, Utg861448_64, Utg859388_5
OG0000193	Utg323140_4, Utg323180_1	Utg859750_20
OG0000194	Utg323160_22	Utg861744_61
OG0000194	Utg323160_58, Utg323316_1	Utg861744_41
OG0000195	Utg323152_119	Utg859098_286
OG0000195	Utg323180_690	Utg860814_283
OG0000196	Utg323632_23	Utg862138_14
OG0000197	Utg323448_28	Utg857490_20
OG0000198	Utg323316_285	Utg857046_189
OG0000198	Utg323152_174	Utg859098_241
OG0000199	Utg323300_357	Utg857152_82
OG0000199	Utg323152_198	Utg859098_216
OG0000200	Utg323160_40	Utg861744_45
OG0000201	Utg323180_6	Utg859750_26
OG0000202	Utg325220_64, Utg323140_270	Utg857682_175
OG0000202	Utg323300_104	Utg857300_47
OG0000203	Utg323262_83	Utg857076_50
OG0000203	Utg323300_137	Utg857300_19
OG0000203	Utg323262_67	Utg857076_65
OG0000204	Utg323180_154	Utg857152_212
OG0000204	Utg323180_449	Utg860814_30
OG0000205	Utg323266_99	Utg857682_46
OG0000206	Utg323180_81	Utg857152_170
OG0000206	Utg323180_80	Utg857152_169
OG0000207	Utg323266_113	Utg857682_58
OG0000208	Utg323266_114	Utg857682_59
OG0000209	Utg323316_339	Utg857046_253
OG0000210	Utg323300_167	Utg857300_1
OG0000211	Utg323140_182	Utg859432_43
OG0000212	Utg324810_52	Utg857046_231, Utg861744_127
OG0000214	Utg323632_45	Utg862138_34
OG0000215	Utg323152_476	Utg859982_83
OG0000215	Utg324810_67	Utg861744_111
OG0000216	Utg323316_146	Utg857046_32
OG0000217	Utg324548_25	Utg859236_44
OG0000218	Utg323632_371	Utg861448_5
OG0000218	Utg323266_87	Utg857682_32
OG0000218	Utg323266_88	Utg857682_33
OG0000219	Utg323180_543	Utg860814_128
OG0000219	Utg323300_291	Utg857152_18
OG0000220	Utg323180_556	Utg860814_140
OG0000221	Utg323180_504	Utg860814_94
OG0000222	Utg323262_114	Utg857076_18
OG0000223	Utg323392_219	Utg859388_18
OG0000223	Utg323316_181	Utg857046_78
OG0000224	Utg323152_490	Utg859982_58
OG0000225	Utg323152_460	Utg859982_121
OG0000225	Utg323140_111	Utg864866_44
OG0000226	Utg323300_329	Utg857152_57
OG0000227	Utg323632_351	Utg857992_19
OG0000228	Utg323074_134	Utg857994_154
OG0000229	Utg325220_87	Utg857682_96
OG0000230	Utg323152_249	Utg859098_166
OG0000232	Utg323152_484	Utg859982_75, Utg859982_74
OG0000232	Utg323152_485	Utg859982_73
OG0000233	Utg323152_10	Utg859098_376
OG0000233	Utg323266_103	Utg857682_51
OG0000234	Utg323990_146	Utg860006_56
OG0000235	Utg323180_210	Utg863716_45
OG0000235	Utg323300_358	Utg857152_83
OG0000236	Utg323152_193	Utg859098_221
OG0000237	Utg324810_62	Utg861744_115
OG0000237	Utg323300_24	Utg857682_142
OG0000238	Utg325220_109	Utg857682_83
OG0000238	Utg323316_194	Utg857046_99
OG0000239	Utg323266_22	Utg865370_16
OG0000239	Utg324548_14	Utg859236_56
OG0000240	Utg323152_13	Utg859098_373
OG0000240	Utg323180_454	Utg860814_39
OG0000241	Utg324548_15	Utg859236_55
OG0000241	Utg323262_144	Utg859236_102
OG0000242	Utg323152_279	Utg859098_136
OG0000242	Utg323632_279	Utg866558_40
OG0000242	Utg323152_284	Utg859098_132
OG0000243	Utg323266_94	Utg857682_39
OG0000243	Utg323160_100, Utg323160_101	Utg859236_70
OG0000244	Utg323152_496	Utg859982_52
OG0000245	Utg323316_355	Utg859098_51, Utg858494_9
OG0000246	Utg323180_115, Utg323180_52	Utg859098_58
OG0000246	Utg323180_624	Utg861448_26, Utg857994_14, Utg857152_262
OG0000248	Utg323140_188	Utg859432_49
OG0000250	Utg323152_330	Utg859098_87
OG0000252	Utg323632_22	Utg862138_13
OG0000253	Utg323632_102	Utg858432_42
OG0000255	Utg323140_209	Utg859432_74
OG0000256	Utg323632_47	Utg862138_36
OG0000257	Utg323990_211	Utg859236_23
OG0000258	Utg323074_207, Utg323074_198	Utg859236_13
OG0000258	Utg323074_197	Utg860814_310
OG0000258	Utg323316_263	Utg857994_234
OG0000259	Utg323990_75	Utg860006_137
OG0000260	Utg323180_575	Utg860814_156
OG0000260	Utg323140_174	Utg859432_35
OG0000261	Utg323300_415	Utg857682_145
OG0000261	Utg323990_127	Utg860006_76
OG0000262	Utg323152_139	Utg859098_276
OG0000263	Utg323300_416	Utg857682_148
OG0000264	Utg323300_385	Utg857152_109
OG0000265	Utg323300_383	Utg857152_107
OG0000266	Utg323300_345	Utg857152_69
OG0000267	Utg323316_169	Utg857046_62, Utg857046_61
OG0000268	Utg323180_596	Utg860814_179
OG0000268	Utg323180_274	Utg863716_97
OG0000269	Utg323448_118	Utg858494_54
OG0000269	Utg323448_117	Utg858494_55
OG0000270	Utg323140_132	Utg864866_30
OG0000271	Utg323266_111	Utg857682_56
OG0000271	Utg323140_109	Utg864866_46
OG0000272	Utg324810_29	Utg859098_1
OG0000272	Utg323152_381	Utg859098_2
OG0000273	Utg323392_256	Utg861448_18
OG0000273	Utg323448_108	Utg858494_83
OG0000275	Utg323074_158	Utg857994_171
OG0000276	Utg323152_607, Utg323316_369, Utg323140_3	Utg859098_22, Utg861448_32
OG0000277	Utg323990_152	Utg860006_51
OG0000277	Utg323990_162	Utg860006_41
OG0000278	Utg323632_18	Utg862138_9
OG0000278	Utg323990_104	Utg860006_100
OG0000279	Utg323152_280	Utg859098_135
OG0000279	Utg323632_270	Utg866558_49
OG0000279	Utg323152_269	Utg859098_146
OG0000280	Utg323152_299	Utg859098_117
OG0000280	Utg323152_300	Utg859098_115
OG0000281	Utg323392_84	Utg859388_151
OG0000282	Utg323262_154	Utg859236_92
OG0000283	Utg324810_45	Utg861744_134
OG0000284	Utg323300_134	Utg857300_22
OG0000285	Utg324548_26	Utg859236_43
OG0000286	Utg323990_126	Utg860006_77
OG0000288	Utg323152_159	Utg859098_256
OG0000289	Utg323392_229	Utg859388_8, Utg859388_7
OG0000290	Utg323990_110	Utg860006_88
OG0000292	Utg323448_29	Utg857490_19
OG0000293	Utg323632_26	Utg862138_17
OG0000294	Utg323300_417	Utg857682_147
OG0000295	Utg323990_154	Utg860006_49
OG0000295	Utg323074_122	Utg857994_140
OG0000296	Utg323300_349	Utg857152_73
OG0000297	Utg323160_80, Utg323160_79	Utg861744_20
OG0000299	Utg323632_41	Utg862138_30
OG0000300	Utg324810_53	Utg861744_126
OG0000301	Utg323448_82	Utg858494_110
OG0000302	Utg323180_186	Utg863716_14
OG0000302	Utg323262_78	Utg857076_54
OG0000302	Utg323266_31	Utg865370_24
OG0000303	Utg323990_183	Utg860006_19
OG0000303	Utg323990_188	Utg860006_14
OG0000306	Utg323152_287	Utg859098_129
OG0000307	Utg323632_13	Utg862138_5
OG0000308	Utg323632_21	Utg862138_12
OG0000309	Utg323300_194	Utg858494_46
OG0000310	Utg323074_211	Utg857994_232
OG0000310	Utg323074_190	Utg857994_206
OG0000312	Utg323632_141	Utg858432_93
OG0000314	Utg323632_19	Utg862138_10
OG0000316	Utg323180_263	Utg863716_86
OG0000317	Utg323180_167	Utg857152_229
OG0000317	Utg323152_149	Utg859098_266
OG0000317	Utg323180_102	Utg857152_175
OG0000318	Utg323316_214	Utg857046_118
OG0000318	Utg323316_207	Utg857046_111
OG0000319	Utg323180_608	Utg860814_194
OG0000320	Utg323300_402	Utg857152_126, Utg857152_127
OG0000321	Utg323316_81	Utg859982_133
OG0000322	Utg323074_213	Utg857994_214
OG0000323	Utg323074_32	Utg857994_24
OG0000324	Utg323262_158	Utg859236_88
OG0000325	Utg323140_86	Utg864866_68
OG0000325	Utg323632_345	Utg857992_24
OG0000325	Utg323632_283	Utg866558_36
OG0000326	Utg323990_210	Utg859236_22
OG0000327	Utg323152_563	Utg859982_6
OG0000331	Utg323074_59	Utg857994_45
OG0000332	Utg323632_344	Utg857992_25
OG0000332	Utg323632_343	Utg857992_26
OG0000333	Utg323300_359	Utg857152_84
OG0000334	Utg323392_248	Utg857994_81
OG0000334	Utg323160_72	Utg861744_27
OG0000335	Utg323316_153	Utg857046_39
OG0000335	Utg323300_389	Utg857152_112
OG0000336	Utg323990_76	Utg860006_136
OG0000337	Utg323632_59	Utg862138_52
OG0000338	Utg323300_340	Utg857152_64
OG0000339	Utg323152_478	Utg859982_81
OG0000340	Utg323300_112	Utg857300_40
OG0000342	Utg324548_2	Utg859750_7
OG0000343	Utg323632_101	Utg858432_41
OG0000344	Utg323316_147	Utg857046_33
OG0000346	Utg323266_30	Utg865370_23
OG0000346	Utg323180_187	Utg863716_15
OG0000346	Utg323262_77	Utg857076_55
OG0000349	Utg323990_125	Utg860006_78
OG0000350	Utg323266_68, Utg323392_31	Utg857682_131
OG0000351	Utg323316_170	Utg857046_63
OG0000352	Utg323300_309	Utg857152_37
OG0000353	Utg323152_411	Utg859982_181
OG0000355	Utg323180_503	Utg860814_93
OG0000356	Utg325220_24, Utg323152_199	Utg859098_215
OG0000357	Utg323140_190	Utg859432_51
OG0000358	Utg323152_183	Utg859098_231
OG0000358	Utg323180_133	Utg857152_203
OG0000359	Utg323266_112	Utg857682_57
OG0000359	Utg323140_110	Utg864866_45
OG0000360	Utg323448_18	Utg857490_30
OG0000361	Utg323392_154	Utg859388_64
OG0000362	Utg323152_544	Utg859098_403
OG0000362	Utg323632_361	Utg857992_13
OG0000363	Utg323632_65	Utg858432_4
OG0000364	Utg323448_115	Utg858494_57
OG0000364	Utg323180_185	Utg863716_12, Utg863716_13
OG0000365	Utg323300_405	Utg857152_129
OG0000365	Utg323140_74	Utg864866_79
OG0000366	Utg323180_120	Utg857152_194
OG0000367	Utg323140_73	Utg864866_81, Utg864866_80
OG0000368	Utg323300_368	Utg857152_91
OG0000368	Utg323300_367	Utg857152_90
OG0000370	Utg323074_44	Utg857994_37
OG0000371	Utg323180_627	Utg860814_217, Utg860814_218
OG0000372	Utg323316_334	Utg857046_248
OG0000373	Utg323316_333	Utg857046_230
OG0000374	Utg323152_495	Utg859982_53
OG0000375	Utg323300_400	Utg857152_124
OG0000379	Utg324548_30	Utg859076_60
OG0000380	Utg323392_22	Utg858498_7
OG0000381	Utg323262_166	Utg858432_57
OG0000382	Utg323152_317	Utg859098_99
OG0000383	Utg323074_113	Utg857994_131
OG0000384	Utg323632_224	Utg858432_115
OG0000384	Utg323392_7	Utg859098_420
OG0000385	Utg323990_182	Utg860006_15
OG0000388	Utg323392_149	Utg859388_69
OG0000390	Utg323152_156	Utg859098_259
