Orthogroup	Desulfocapsa_06_corrosive	Desulfovibrio vulgaris DP4
OG0000038	Utg323990_153	WP_010938341.1
OG0000038	Utg323180_685	WP_010938662.1
OG0000040	Utg323074_178	WP_010937647.1
OG0000040	Utg323990_66	WP_043629357.1
OG0000041	Utg323632_79, Utg323300_84	WP_011791420.1
OG0000042	Utg323180_126	WP_011792510.1
OG0000042	Utg323300_393, Utg323262_141	WP_011791387.1
OG0000042	Utg323152_383	WP_011792450.1
OG0000043	Utg323262_134, Utg323140_196, Utg323990_243, Utg323160_116, Utg323180_525, Utg323180_599	WP_010938268.1
OG0000045	Utg323180_405	WP_011792363.1
OG0000046	Utg324810_8	WP_011792325.1
OG0000046	Utg323180_156	WP_081428943.1
OG0000047	Utg323990_19	WP_011793001.1, WP_011787324.1
OG0000047	Utg323074_218, Utg323316_238, Utg323074_155	WP_223294624.1
OG0000048	Utg323266_109	WP_010940286.1
OG0000048	Utg323316_142	WP_011792687.1
OG0000049	Utg323300_370	WP_011792396.1
OG0000052	Utg323262_71	WP_010939677.1
OG0000052	Utg323152_537, Utg323074_111, Utg323300_411	WP_011791785.1
OG0000053	Utg323392_224	WP_011792107.1
OG0000053	Utg323180_371, Utg323316_65	WP_011787362.1
OG0000053	Utg323316_144	WP_011792251.1
OG0000054	Utg323990_236	WP_011792972.1
OG0000055	Utg323990_203, Utg323152_348, Utg323152_241	WP_011791568.1
OG0000055	Utg323074_215	WP_011787329.1, WP_150100250.1
OG0000056	Utg323180_501	WP_010937885.1, WP_010937579.1, WP_223294671.1, WP_011792734.1, WP_011791533.1, WP_010937392.1, WP_011793187.1, WP_011793138.1, WP_043629981.1, WP_011791784.1
OG0000058	Utg323180_619	WP_010938574.1
OG0000060	Utg323300_75, Utg323632_306	WP_011792468.1
OG0000061	Utg323266_110	WP_011791554.1
OG0000062	Utg323392_166	WP_010939658.1
OG0000063	Utg323392_142	WP_010937703.1
OG0000064	Utg323990_139, Utg323180_38	WP_011792376.1
OG0000065	Utg323140_85, Utg323160_21	WP_010938763.1
OG0000065	Utg323140_2, Utg323180_2	WP_010938364.1
OG0000067	Utg323392_165	WP_011791864.1
OG0000067	Utg323140_119	WP_010939732.1
OG0000068	Utg323990_51	WP_190275043.1, WP_150100246.1
OG0000068	Utg323180_344	WP_011792000.1
OG0000069	Utg325220_94, Utg323300_182, Utg323262_103	WP_010940354.1
OG0000070	Utg323152_189	WP_011792560.1, WP_011792594.1
OG0000070	Utg323990_69	WP_223294581.1
OG0000071	Utg323152_536	WP_010940006.1, WP_010938017.1
OG0000071	Utg323152_559	WP_010937857.1
OG0000072	Utg323152_535	WP_010940007.1
OG0000072	Utg323152_560	WP_010937856.1
OG0000075	Utg323160_84	WP_010938534.1
OG0000076	Utg323180_458, Utg323152_263	WP_223294670.1
OG0000077	Utg323074_141	WP_011792992.1
OG0000078	Utg323152_397	WP_011791625.1
OG0000078	Utg323180_686, Utg323300_294	WP_011792202.1
OG0000079	Utg323160_93, Utg323180_41, Utg323990_42	WP_011792883.1
OG0000080	Utg323140_241	WP_223294589.1
OG0000082	Utg323152_318	WP_010937942.1, WP_010939878.1, WP_010939503.1, WP_011793168.1, WP_010937359.1
OG0000085	Utg323180_592	WP_011792371.1
OG0000086	Utg323392_34	WP_011792094.1
OG0000086	Utg323180_528	WP_011792911.1
OG0000087	Utg323632_128	WP_010940040.1
OG0000088	Utg325220_103, Utg323180_457, Utg323152_262	WP_011792102.1
OG0000091	Utg323392_150	WP_043629736.1
OG0000092	Utg323152_94, Utg323180_509	WP_011791541.1
OG0000093	Utg323180_45	WP_010938329.1
OG0000094	Utg323074_170	WP_011791565.1
OG0000095	Utg323990_63	WP_011792244.1
OG0000097	Utg323160_75, Utg323266_3, Utg323160_123	WP_011792054.1
OG0000098	Utg323152_561	WP_011792837.1
OG0000100	Utg323316_117, Utg323632_82	WP_010939709.1, WP_011791837.1
OG0000101	Utg323266_38, Utg323180_20	WP_010939270.1, WP_011792822.1
OG0000102	Utg323632_122	WP_010940470.1
OG0000103	Utg323316_301, Utg323180_100	WP_010938528.1
OG0000104	Utg323316_337	WP_010939083.1, WP_014524275.1
OG0000105	Utg323392_148, Utg323180_490	WP_010938500.1
OG0000106	Utg323300_138, Utg323300_125, Utg323316_317	WP_011792615.1
OG0000107	Utg323180_669	WP_010937936.1
OG0000110	Utg323140_35, Utg323152_265	WP_010939354.1
OG0000112	Utg323300_361	WP_011792830.1, WP_011792050.1
OG0000113	Utg323316_179	WP_010940378.1
OG0000114	Utg323448_59	WP_011792216.1
OG0000114	Utg323180_193	WP_010938595.1
OG0000115	Utg323300_341	WP_010939125.1
OG0000116	Utg323300_387	WP_011792225.1
OG0000117	Utg323316_188	WP_011791710.1
OG0000117	Utg323140_129	WP_011791822.1
OG0000118	Utg323140_128	WP_011791821.1
OG0000118	Utg323316_189	WP_011791711.1
OG0000119	Utg323180_425	WP_011793090.1
OG0000120	Utg323140_117	WP_010939361.1
OG0000121	Utg323316_251, Utg323316_295, Utg323316_290	WP_011787357.1
OG0000121	Utg323074_180	WP_011791564.1
OG0000122	Utg323180_512	WP_011792236.1
OG0000122	Utg323300_431, Utg323262_85	WP_011792231.1
OG0000125	Utg323316_156	WP_011791967.1
OG0000126	Utg323392_137	WP_010940460.1
OG0000127	Utg323448_31	WP_010937986.1, WP_181409358.1
OG0000128	Utg323180_277, Utg323152_202	WP_011791538.1
OG0000130	Utg323140_62, Utg323632_319	WP_223294580.1, WP_011176619.1
OG0000131	Utg323074_120	WP_011791342.1
OG0000131	Utg323990_32	WP_011792836.1, WP_010937626.1
OG0000133	Utg323140_126	WP_010938383.1
OG0000133	Utg323316_190	WP_011791712.1
OG0000134	Utg323152_247	WP_010938551.1
OG0000135	Utg323300_373	WP_011791597.1
OG0000135	Utg323300_234	WP_011792726.1
OG0000136	Utg323152_230	WP_049758095.1
OG0000136	Utg323392_39	WP_223294604.1
OG0000137	Utg323316_187	WP_010939936.1
OG0000138	Utg323392_64	WP_010940324.1
OG0000141	Utg323300_418	WP_011791661.1
OG0000142	Utg323180_616	WP_011792996.1
OG0000143	Utg323180_33	WP_011792337.1
OG0000144	Utg323392_195	WP_011792804.1, WP_010938541.1
OG0000145	Utg323180_144, Utg323180_511, Utg323074_35, Utg323074_36	WP_043629618.1
OG0000149	Utg323300_144	WP_011791559.1
OG0000150	Utg323152_400, Utg323316_140, Utg323300_310	WP_010939076.1
OG0000152	Utg323180_516	WP_011792323.1
OG0000152	Utg323180_523	WP_010940001.1
OG0000153	Utg323300_187	WP_010940352.1
OG0000154	Utg323160_129, Utg323266_10	WP_011792501.1
OG0000156	Utg323316_158	WP_011791968.1, WP_011791646.1
OG0000159	Utg323180_417	WP_011793043.1
OG0000160	Utg323180_213	WP_010939839.1
OG0000162	Utg323316_178	WP_010938840.1, WP_011792479.1, WP_011791513.1
OG0000163	Utg323160_83, Utg323262_107	WP_010940363.1
OG0000164	Utg323300_166	WP_011791450.1
OG0000166	Utg323632_248	WP_011791768.1
OG0000167	Utg323140_81, Utg323152_436	WP_010937731.1
OG0000168	Utg323300_260	WP_010937578.1, WP_010937835.1, WP_010939250.1, WP_010939253.1
OG0000169	Utg323152_503	WP_011792420.1
OG0000169	Utg323392_14	WP_010937667.1
OG0000170	Utg323300_350	WP_011792245.1
OG0000172	Utg323990_178	WP_011791937.1
OG0000173	Utg324810_59	WP_010939858.1
OG0000174	Utg323180_604	WP_011792674.1
OG0000174	Utg323266_90	WP_010938157.1
OG0000179	Utg323152_376	WP_010938734.1, WP_010939715.1, WP_010939359.1
OG0000180	Utg323262_181, Utg323262_184	WP_011792418.1, WP_010937666.1, WP_010938677.1
OG0000181	Utg323316_243	WP_043629990.1
OG0000183	Utg323632_25	WP_011791957.1
OG0000184	Utg323392_66	WP_010940610.1
OG0000185	Utg323152_69	WP_081428874.1
OG0000185	Utg323316_113	WP_011791484.1
OG0000187	Utg323448_60, Utg323448_47	WP_010940180.1
OG0000188	Utg323300_307	WP_011791809.1
OG0000189	Utg323990_133	WP_011791869.1
OG0000190	Utg323140_75	WP_010939066.1, WP_011793101.1
OG0000191	Utg323266_48	WP_010938461.1
OG0000193	Utg323140_4, Utg323180_1	WP_010939362.1
OG0000194	Utg323160_22	WP_011787414.1
OG0000194	Utg323160_58, Utg323316_1	WP_010939235.1
OG0000195	Utg323152_119, Utg323180_690	WP_011791944.1
OG0000196	Utg323632_23	WP_011791954.1
OG0000199	Utg323300_357, Utg323152_198	WP_011792175.1
OG0000201	Utg323180_6	WP_011791421.1, WP_011792846.1
OG0000202	Utg325220_64, Utg323140_270, Utg323300_104	WP_011793009.1
OG0000203	Utg323262_83, Utg323300_137	WP_011791587.1
OG0000203	Utg323262_67	WP_011791454.1
OG0000204	Utg323180_154	WP_011793045.1
OG0000204	Utg323180_449	WP_011791698.1, WP_011793107.1, WP_011791422.1, WP_011791438.1
OG0000205	Utg323266_99	WP_010937341.1
OG0000207	Utg323266_113	WP_010940291.1
OG0000208	Utg323266_114	WP_011791552.1
OG0000209	Utg323316_339	WP_011792598.1
OG0000210	Utg323300_167	WP_010937439.1, WP_014524330.1
OG0000211	Utg323140_182	WP_011791766.1, WP_011787346.1, WP_011792255.1
OG0000213	Utg323180_404	WP_223294656.1
OG0000214	Utg323632_45	WP_011793117.1, WP_011793116.1
OG0000215	Utg324810_67	WP_010937992.1
OG0000216	Utg323316_146	WP_011793129.1
OG0000217	Utg324548_25	WP_010939133.1
OG0000217	Utg323262_16	WP_010939603.1, WP_223294665.1
OG0000218	Utg323632_371, Utg323266_87, Utg323266_88	WP_010938558.1
OG0000219	Utg323180_543, Utg323300_291	WP_014524381.1
OG0000221	Utg323180_504	WP_011792772.1
OG0000222	Utg323262_114	WP_011791920.1, WP_223294689.1
OG0000223	Utg323392_219	WP_010938648.1
OG0000225	Utg323152_460, Utg323140_111	WP_010939784.1
OG0000226	Utg323300_329	WP_010939105.1, WP_010939106.1
OG0000227	Utg323632_351	WP_011792871.1
OG0000228	Utg323074_134	WP_011792579.1
OG0000230	Utg323152_249	WP_010939852.1
OG0000232	Utg323152_484	WP_011791500.1
OG0000232	Utg323152_485	WP_011791499.1
OG0000233	Utg323152_10	WP_010938704.1
OG0000234	Utg323990_146	WP_014524184.1, WP_010939427.1
OG0000235	Utg323180_210	WP_010939791.1
OG0000235	Utg323300_358	WP_010938191.1
OG0000237	Utg324810_62, Utg323300_24	WP_011792782.1, WP_011792427.1
OG0000239	Utg324548_14	WP_010937469.1
OG0000240	Utg323152_13, Utg323180_454	WP_043629138.1, WP_010938105.1, WP_043629997.1, WP_011792780.1, WP_011792799.1
OG0000242	Utg323152_279, Utg323632_279, Utg323152_284	WP_011792730.1
OG0000243	Utg323180_67, Utg323266_94, Utg323160_100, Utg323160_101	WP_010940402.1
OG0000244	Utg323152_496, Utg323180_143	WP_010940229.1
OG0000248	Utg323140_188	WP_010938759.1
OG0000250	Utg323152_330	WP_011791427.1, WP_010939149.1
OG0000253	Utg323632_102	WP_011791802.1, WP_011791801.1
OG0000256	Utg323632_47	WP_011793118.1
OG0000257	Utg323990_211, Utg324810_19	WP_011791929.1
OG0000258	Utg323074_197, Utg323316_263	WP_010939337.1
OG0000259	Utg323990_75	WP_011792770.1
OG0000260	Utg323140_174	WP_010939132.1
OG0000261	Utg323990_127	WP_011792785.1
OG0000263	Utg323300_416	WP_223294628.1
OG0000264	Utg323262_53, Utg323300_385	WP_010938076.1
OG0000265	Utg323262_60, Utg323300_383	WP_010938078.1
OG0000266	Utg323262_57, Utg323300_345	WP_010938217.1
OG0000268	Utg323180_596, Utg323180_274	WP_011792764.1
OG0000270	Utg323300_147	WP_011791353.1
OG0000270	Utg323140_132	WP_010937324.1
OG0000271	Utg323266_111	WP_010940288.1
OG0000272	Utg324810_29, Utg323152_381	WP_010938742.1
OG0000273	Utg323448_108	WP_010938516.1
OG0000274	Utg323160_113	WP_043629524.1
OG0000275	Utg323074_158	WP_011787355.1
OG0000277	Utg323990_152	WP_011791810.1
OG0000278	Utg323632_18, Utg323990_104	WP_011791959.1
OG0000280	Utg323152_299, Utg323152_300	WP_010937609.1
OG0000282	Utg323262_154	WP_010937849.1, WP_010937434.1
OG0000284	Utg323300_134	WP_011792788.1
OG0000285	Utg324548_26	WP_010940031.1
OG0000286	Utg323990_126	WP_011792784.1
OG0000286	Utg323300_413	WP_081428946.1
OG0000288	Utg323152_159	WP_011792198.1
OG0000290	Utg323990_110	WP_011791783.1
OG0000291	Utg323152_390	WP_010939194.1
OG0000292	Utg323448_29	WP_011792092.1
OG0000294	Utg323300_417	WP_011791660.1
OG0000295	Utg323074_122	WP_223294586.1
OG0000296	Utg323180_360, Utg323140_32, Utg323300_349	WP_010940232.1, WP_010939150.1
OG0000297	Utg323160_80, Utg323160_79	WP_011792575.1
OG0000299	Utg323392_237, Utg323632_41	WP_011791465.1
OG0000300	Utg323180_71, Utg324810_53	WP_010939567.1, WP_010939601.1
OG0000301	Utg323448_82	WP_011792454.1
OG0000302	Utg323262_78	WP_011791854.1
OG0000309	Utg323300_194	WP_010937603.1
OG0000310	Utg323074_211	WP_011787359.1
OG0000310	Utg323074_190	WP_011792945.1
OG0000311	Utg323152_590	WP_010937595.1
OG0000312	Utg323632_140, Utg323632_141	WP_011793105.1
OG0000316	Utg323180_263	WP_043629054.1
OG0000320	Utg323300_402	WP_011792826.1
OG0000323	Utg323392_252	WP_010939476.1
OG0000323	Utg323074_32	WP_011791621.1
OG0000326	Utg323990_210	WP_011792611.1
OG0000327	Utg323152_563	WP_010937853.1
OG0000331	Utg323074_59	WP_043629609.1
OG0000332	Utg323632_344, Utg323632_343	WP_011791449.1
OG0000333	Utg323300_359	WP_011792647.1
OG0000335	Utg323300_388, Utg323300_389	WP_011791909.1
OG0000336	Utg323990_76	WP_010937968.1
OG0000338	Utg323300_340	WP_010939124.1
OG0000339	Utg323152_478	WP_011791786.1
OG0000340	Utg323140_255	WP_010938005.1
OG0000341	Utg325220_86	WP_011791904.1
OG0000343	Utg323632_101	WP_011791800.1
OG0000344	Utg323316_147	WP_011792447.1
OG0000345	Utg323140_249	WP_010938967.1
OG0000346	Utg323262_77	WP_011791853.1
OG0000348	Utg323140_253	WP_011791623.1
OG0000349	Utg323300_414, Utg323990_125	WP_011792783.1
OG0000350	Utg323266_68, Utg323392_31	WP_010938092.1
OG0000352	Utg323300_309	WP_010939077.1
OG0000353	Utg323152_411	WP_010939841.1
OG0000354	Utg323140_240	WP_010938317.1
OG0000355	Utg323180_503	WP_011792771.1
OG0000356	Utg325220_24, Utg323152_199	WP_010939497.1
OG0000357	Utg323140_190	WP_011792314.1
OG0000358	Utg323152_183, Utg323180_133	WP_011792626.1
OG0000359	Utg323266_112, Utg323140_110	WP_011791553.1
OG0000360	Utg323448_18	WP_010938090.1
OG0000361	Utg323392_154	WP_010938503.1
OG0000363	Utg323266_83	WP_011792691.1
OG0000364	Utg323448_115, Utg324810_20, Utg323180_185	WP_011792640.1
OG0000365	Utg323300_405, Utg323140_74	WP_010939592.1, WP_010937330.1
OG0000366	Utg323180_120	WP_011791409.1, WP_011791408.1
OG0000367	Utg323140_73	WP_011791518.1
OG0000375	Utg323300_400	WP_011791652.1
OG0000379	Utg324548_30	WP_010938720.1, WP_010940036.1
OG0000380	Utg323392_22	WP_010939093.1
OG0000381	Utg323266_59, Utg323262_166	WP_011791991.1
OG0000382	Utg323152_317	WP_010937943.1, WP_010939504.1, WP_011793167.1
OG0000384	Utg323632_224, Utg323392_7	WP_010937551.1
OG0000388	Utg323392_149	WP_010938501.1
OG0000389	Utg325220_115	WP_010940621.1
OG0000390	Utg323152_156	WP_010937704.1, WP_010937714.1
OG0000391	Utg323392_139	WP_010939193.1
OG0000392	Utg323140_187	WP_011791927.1
OG0000393	Utg323392_115	WP_011792321.1
OG0000394	Utg323632_227	WP_011792428.1
OG0000396	Utg323316_308	WP_011792627.1
OG0000398	Utg323316_283	WP_011792462.1
OG0000399	Utg323074_27	WP_010937883.1
OG0000400	Utg323074_129	WP_011791616.1
OG0000401	Utg323448_26	WP_010939095.1
OG0000402	Utg323074_201	WP_011791561.1
OG0000403	Utg323392_161	WP_011792485.1
OG0000407	Utg323300_231	WP_011792056.1
OG0000408	Utg323316_309	WP_011792429.1
OG0000409	Utg323152_214, Utg323152_215	WP_011792140.1
OG0000410	Utg323180_618	WP_010937473.1
OG0000411	Utg323180_184	WP_043629982.1
OG0000412	Utg323632_307	WP_223294696.1
OG0000413	Utg323632_56	WP_010937629.1
OG0000414	Utg323140_130	WP_010938768.1, WP_011792538.1
OG0000415	Utg323180_424	WP_011793093.1
OG0000418	Utg323632_29	WP_011792638.1
OG0000419	Utg323990_112	WP_011791482.1
OG0000420	Utg323392_158	WP_011792487.1
OG0000421	Utg323300_89	WP_011792174.1
OG0000422	Utg323316_306	WP_011792752.1
OG0000423	Utg323152_258, Utg323152_259	WP_011793124.1
OG0000424	Utg323180_488	WP_011792329.1
OG0000425	Utg323632_72	WP_010940414.1
OG0000427	Utg323448_41	WP_258312758.1
OG0000428	Utg323392_159	WP_010938540.1
OG0000431	Utg323140_38	WP_011792086.1
OG0000433	Utg323316_347	WP_011793177.1
OG0000435	Utg323316_84	WP_010937470.1
OG0000436	Utg323152_368	WP_011791570.1, WP_011792953.1, WP_011792988.1
OG0000439	Utg323152_408	WP_010939842.1
OG0000440	Utg323152_402	WP_011791680.1
OG0000441	Utg323152_387, Utg323140_50, Utg323152_388	WP_043629623.1
OG0000444	Utg323152_45	WP_014524613.1
OG0000445	Utg323152_295	WP_223294686.1
OG0000446	Utg323152_316	WP_010937614.1, WP_010938736.1
OG0000447	Utg323180_327, Utg323990_241	WP_011792504.1
OG0000448	Utg323152_562	WP_010937854.1
OG0000449	Utg323152_593	WP_011792406.1
OG0000451	Utg323074_46, Utg323266_24	WP_011792624.1
OG0000452	Utg323300_444, Utg323152_543	WP_223294646.1
OG0000457	Utg323140_93	WP_011791333.1
OG0000458	Utg323632_292	WP_011792053.1
OG0000459	Utg323152_197	WP_010940242.1
OG0000460	Utg323632_251	WP_043629230.1
OG0000461	Utg323266_1, Utg323180_610	WP_010938112.1
OG0000462	Utg323392_157	WP_011792486.1
OG0000463	Utg323152_557	WP_011792431.1
OG0000465	Utg323316_131	WP_010938458.1, WP_011792597.1, WP_014524374.1
OG0000466	Utg323316_143	WP_010939080.1
OG0000467	Utg324810_50	WP_010937632.1
OG0000468	Utg323152_550	WP_011792746.1
OG0000469	Utg323300_339	WP_011792195.1
OG0000470	Utg323632_217	WP_011792673.1
OG0000471	Utg323180_23	WP_010937702.1
OG0000472	Utg323990_82	WP_011791932.1
OG0000473	Utg324810_49	WP_010939210.1
OG0000474	Utg323392_19	WP_043629567.1
OG0000475	Utg323300_262	WP_011791402.1
OG0000476	Utg323448_21	WP_011792707.1
OG0000477	Utg323316_316	WP_011791415.1
OG0000478	Utg323316_148	WP_011792446.1
OG0000479	Utg323152_47	WP_011791861.1, WP_010940359.1
OG0000480	Utg323448_83	WP_010937325.1, WP_010939491.1
OG0000481	Utg323316_184	WP_219995814.1
OG0000482	Utg323300_126	WP_010937881.1
OG0000484	Utg323300_196	WP_011791338.1
OG0000485	Utg323152_48	WP_011791862.1, WP_010940358.1
OG0000486	Utg323152_439	WP_011792689.1
OG0000487	Utg323152_216	WP_010938229.1
OG0000488	Utg323160_29	WP_010938489.1
OG0000489	Utg323392_46	WP_010938975.1
OG0000490	Utg323180_708	WP_010937352.1
OG0000491	Utg323074_142	WP_011791780.1
OG0000492	Utg323180_163	WP_011792326.1
OG0000493	Utg323300_317	WP_011791776.1, WP_011792197.1
OG0000494	Utg323300_293	WP_011792051.1
OG0000495	Utg323152_176	WP_043629742.1
OG0000496	Utg323632_52	WP_011791907.1
OG0000497	Utg323632_236	WP_011791930.1
OG0000498	Utg323632_237	WP_223294660.1
OG0000500	Utg323448_101	WP_011792097.1
OG0000501	Utg323392_55	WP_010938312.1
OG0000502	Utg323152_196	WP_011791592.1
OG0000504	Utg323180_617	WP_010940372.1
OG0000505	Utg323266_72	WP_011792089.1
OG0000506	Utg323262_175, Utg323152_506	WP_010940239.1
OG0000507	Utg323180_43	WP_011792008.1, WP_011792327.1
OG0000508	Utg323300_12	WP_011792359.1
OG0000509	Utg323160_78	WP_011792698.1
OG0000510	Utg323180_484	WP_011787353.1
OG0000511	Utg323316_346	WP_010938955.1
OG0000512	Utg323074_26	WP_010937769.1
OG0000513	Utg323300_263	WP_011791403.1
OG0000514	Utg323632_76	WP_011791911.1
OG0000516	Utg323180_611, Utg323266_2	WP_011793110.1
OG0000517	Utg323262_106	WP_010939622.1
OG0000518	Utg323180_544	WP_223294635.1, WP_014524349.1
OG0000520	Utg323392_86	WP_010937630.1
OG0000521	Utg323152_146	WP_010938037.1
OG0000522	Utg323152_209	WP_011792155.1
OG0000523	Utg323392_227	WP_010938645.1
OG0000524	Utg323160_66	WP_010937314.1
OG0000526	Utg323180_264	WP_011791368.1
OG0000529	Utg323300_351	WP_011791940.1
OG0000530	Utg323632_211, Utg323632_212	WP_164561900.1
OG0000531	Utg323990_111	WP_011793151.1
OG0000532	Utg323990_149	WP_010940501.1
OG0000533	Utg323300_299	WP_011792113.1
OG0000535	Utg323180_111	WP_011792779.1
OG0000537	Utg323152_226	WP_010938258.1
OG0000538	Utg323140_264, Utg325220_1	WP_010939273.1
OG0000539	Utg323180_65	WP_011792109.1
OG0000540	Utg323990_215	WP_043629788.1
OG0000542	Utg323300_321	WP_011793103.1, WP_011792943.1
OG0000543	Utg323152_153	WP_011792874.1
OG0000544	Utg324810_54	WP_010939602.1
OG0000545	Utg323140_9	WP_010939218.1
OG0000546	Utg323140_178	WP_081428870.1
OG0000548	Utg323140_246	WP_010938966.1
OG0000549	Utg323392_28	WP_011792519.1
OG0000550	Utg323632_387, Utg323392_263	WP_011791414.1
OG0000551	Utg323180_674	WP_011791394.1
OG0000551	Utg323180_673	WP_010939110.1
OG0000553	Utg323300_184, Utg325220_97	WP_010940353.1
OG0000555	Utg323180_103	WP_010938859.1
OG0000556	Utg323152_446	WP_010940534.1
OG0000556	Utg323140_140	WP_010940368.1
OG0000558	Utg323152_97	WP_010938694.1
OG0000560	Utg323266_40	WP_011791495.1
OG0000561	Utg323266_17	WP_011792559.1
OG0000562	Utg323160_42	WP_011792500.1
OG0000563	Utg323262_167, Utg323266_71	WP_223294661.1
OG0000566	Utg323300_374	WP_011792887.1, WP_011792888.1
OG0000568	Utg323392_178, Utg323152_148	WP_010940570.1
OG0000569	Utg323632_362	WP_011792578.1, WP_010938457.1
OG0000570	Utg323316_297	WP_011792432.1
OG0000571	Utg323300_101	WP_011792452.1
OG0000572	Utg323152_431	WP_011791668.1
OG0000575	Utg323140_189	WP_011792315.1
OG0000576	Utg323266_35	WP_010938916.1
OG0000577	Utg323074_28	WP_010939126.1
OG0000578	Utg323160_67	WP_011791317.1
OG0000579	Utg323160_81	WP_011792576.1
OG0000580	Utg323180_689	WP_010938909.1
OG0000581	Utg323448_49	WP_010940182.1
OG0000582	Utg323140_12	WP_010938185.1
OG0000583	Utg323448_37	WP_011792506.1
OG0000584	Utg323316_328	WP_010938376.1
OG0000585	Utg323316_329	WP_010938375.1
OG0000586	Utg323316_331	WP_010938373.1
OG0000587	Utg323152_245	WP_011791757.1
OG0000588	Utg323316_336	WP_011793193.1
OG0000589	Utg323152_565	WP_010940177.1
OG0000590	Utg323316_300	WP_011792493.1
OG0000591	Utg323140_180	WP_010939154.1
OG0000592	Utg323152_248	WP_010937795.1
OG0000593	Utg323632_96	WP_010939717.1
OG0000594	Utg323300_311	WP_011792105.1
OG0000595	Utg323990_151	WP_043629095.1
OG0000596	Utg323152_192	WP_010939198.1
OG0000597	Utg323152_175	WP_010938825.1
OG0000598	Utg323632_99	WP_010939782.1
OG0000599	Utg323152_223	WP_010938256.1
OG0000600	Utg323180_267	WP_011793123.1
OG0000601	Utg323140_185	WP_011792532.1
OG0000602	Utg323152_172	WP_010939199.1
OG0000603	Utg323990_83	WP_010939174.1
