Orthogroup	Geobacter sulfurreducens PCA	Desulfocapsa sulfexigens DSM 10523
OG0000044	WP_235045025.1, WP_010941704.1, WP_010941143.1, WP_235044883.1, WP_010941489.1, WP_010940687.1, WP_010940929.1, WP_010941354.1, WP_235044900.1, WP_010943968.1, WP_010943441.1, WP_010944047.1, WP_010941544.1, WP_010942925.1, WP_010943621.1, WP_010943770.1, WP_235044903.1, WP_010943307.1, WP_010940779.1, WP_010943202.1, WP_010941024.1, WP_010943020.1, WP_010943024.1, WP_010941698.1, WP_235044983.1, WP_010943203.1, WP_010943083.1	WP_015404161.1
OG0000045	WP_010942953.1	WP_015402866.1, WP_015402879.1
OG0000045	WP_010942993.1, WP_010942278.1, WP_010942368.1	WP_015404579.1
OG0000045	WP_010942204.1	WP_228130035.1
OG0000046	WP_010941543.1	WP_015402438.1
OG0000047	WP_262421271.1	WP_015405593.1
OG0000049	WP_010941476.1, WP_010941028.1	WP_015404873.1
OG0000051	WP_010940766.1	WP_015404005.1, WP_015403310.1, WP_153304915.1
OG0000053	WP_010941160.1	WP_015404739.1
OG0000053	WP_010942464.1	WP_228130071.1
OG0000055	WP_010942902.1	WP_015405217.1
OG0000057	WP_010943773.1	WP_015403643.1, WP_015403138.1
OG0000058	WP_010942454.1	WP_015402352.1
OG0000058	WP_010941840.1	WP_015405249.1, WP_015404440.1, WP_015405240.1, WP_015403671.1
OG0000060	WP_041913993.1	WP_015403496.1
OG0000060	WP_010942427.1	WP_015404589.1
OG0000061	WP_010943909.1	WP_015402468.1
OG0000062	WP_010942081.1	WP_041916419.1
OG0000063	WP_010942168.1, WP_010942767.1	WP_015404799.1
OG0000064	WP_010941276.1	WP_015405262.1, WP_015404547.1
OG0000064	WP_010943894.1	WP_015402710.1
OG0000065	WP_010941490.1, WP_010941029.1, WP_010942716.1, WP_010943066.1, WP_010940694.1	WP_015402775.1, WP_015402615.1
OG0000065	WP_010942732.1	WP_015402731.1
OG0000067	WP_010942082.1	WP_015404777.1
OG0000069	WP_010943903.1	WP_015403151.1, WP_015402608.1
OG0000070	WP_010942896.1	WP_015405051.1
OG0000070	WP_010942161.1	WP_015404481.1
OG0000070	WP_235045000.1	WP_015404487.1
OG0000070	WP_010942882.1, WP_010942892.1	WP_228130013.1
OG0000071	WP_010942375.1	WP_015402375.1
OG0000072	WP_010942376.1	WP_015402376.1
OG0000073	WP_235045002.1	WP_015405086.1, WP_015405072.1, WP_015402609.1, WP_015403023.1, WP_015403545.1, WP_015403135.1, WP_015402677.1, WP_015403622.1, WP_015402482.1, WP_015403799.1, WP_167320698.1, WP_015402435.1, WP_015403006.1, WP_015403174.1
OG0000074	WP_010940892.1	WP_015402447.1
OG0000075	WP_010944017.1	WP_015403341.1
OG0000076	WP_010942860.1, WP_010942858.1	WP_015405226.1
OG0000077	WP_010942316.1	WP_015404654.1
OG0000077	WP_010941855.1	WP_015404715.1
OG0000078	WP_010942352.1	WP_015404958.1
OG0000079	WP_010942999.1	WP_015402977.1, WP_015405417.1, WP_015404623.1
OG0000080	WP_010940950.1	WP_015403975.1, WP_015405717.1
OG0000081	WP_010940930.1	WP_015402793.1
OG0000082	WP_010941678.1, WP_010943655.1	WP_015404747.1, WP_015405296.1
OG0000085	WP_010940999.1, WP_010940757.1	WP_153304855.1
OG0000087	WP_010942653.1	WP_015402777.1, WP_015404821.1, WP_015405668.1
OG0000088	WP_010940968.1, WP_010942862.1, WP_010943817.1	WP_015405225.1
OG0000091	WP_010941129.1	WP_015402418.1
OG0000092	WP_010940844.1	WP_015403796.1
OG0000092	WP_010942735.1	WP_015403008.1
OG0000093	WP_010941779.1	WP_015402704.1
OG0000094	WP_010941286.1	WP_015404703.1
OG0000095	WP_010940777.1	WP_015403025.1
OG0000095	WP_010942900.1	WP_265588636.1
OG0000097	WP_010941879.1	WP_015402395.1, WP_015404820.1, WP_015403348.1, WP_015403223.1
OG0000098	WP_010942377.1	WP_015402377.1
OG0000098	WP_010942650.1	WP_015405453.1
OG0000101	WP_010943782.1, WP_010943090.1	WP_228130039.1, WP_015403666.1
OG0000102	WP_010941507.1	WP_015405674.1
OG0000103	WP_010941607.1, WP_010942480.1	WP_015404021.1, WP_015402491.1
OG0000104	WP_262421275.1	WP_228130081.1, WP_015403990.1
OG0000105	WP_010942250.1	WP_015404793.1
OG0000105	WP_010941127.1, WP_010941128.1	WP_015402408.1, WP_015404215.1
OG0000106	WP_010943341.1	WP_015403625.1, WP_015404007.1
OG0000107	WP_010942207.1	WP_153304789.1
OG0000108	WP_010940958.1	WP_015402589.1, WP_015405353.1, WP_015402336.1
OG0000109	WP_010942188.1	WP_015404943.1, WP_015405434.1, WP_015405438.1, WP_265588654.1
OG0000112	WP_010942274.1	WP_015403936.1
OG0000113	WP_010942320.1	WP_015403318.1, WP_015404088.1
OG0000114	WP_010943165.1	WP_015404279.1
OG0000115	WP_010943892.1	WP_015403910.1
OG0000115	WP_010944056.1, WP_010942772.1	WP_015404572.1
OG0000116	WP_010941178.1	WP_015403565.1, WP_015403958.1
OG0000117	WP_010941759.1	WP_015403283.1, WP_015403159.1
OG0000118	WP_010941758.1	WP_015403158.1
OG0000119	WP_010943592.1	WP_015402797.1
OG0000121	WP_010942597.1	WP_015404050.1
OG0000122	WP_010943368.1, WP_010943370.1	WP_015403700.1
OG0000126	WP_010943126.1	WP_015404803.1
OG0000126	WP_010943898.1	WP_015402913.1
OG0000128	WP_010941589.1	WP_015402505.1
OG0000128	WP_010943853.1	WP_015405039.1
OG0000129	WP_010941713.1	WP_015402307.1
OG0000130	WP_235044863.1, WP_010942184.1	WP_015402762.1
OG0000131	WP_010942881.1	WP_153304997.1
OG0000132	WP_010942113.1	WP_153305005.1
OG0000133	WP_010941757.1	WP_015403281.1, WP_228130062.1
OG0000134	WP_010942241.1	WP_015402789.1
OG0000136	WP_010941670.1	WP_015405013.1
OG0000142	WP_010942899.1	WP_015404601.1
OG0000143	WP_010941975.1	WP_015402647.1
OG0000143	WP_010943891.1	WP_015402714.1
OG0000144	WP_010941593.1, WP_041914047.1	WP_015404757.1
OG0000144	WP_010941482.1	WP_015404779.1
OG0000145	WP_010942949.1	WP_015404615.1, WP_015402384.1
OG0000147	WP_010942139.1	WP_015404800.1
OG0000149	WP_010941535.1, WP_010943114.1, WP_276524822.1, WP_010943517.1	WP_015404202.1
OG0000149	WP_010941811.1	WP_015404242.1
OG0000150	WP_010943710.1	WP_015404955.1, WP_015404102.1, WP_015403878.1
OG0000151	WP_010942486.1	WP_015404064.1
OG0000152	WP_010942382.1	WP_015402381.1
OG0000152	WP_010942374.1	WP_015402374.1
OG0000153	WP_010943806.1, WP_010941511.1	WP_015404425.1, WP_015402914.1
OG0000154	WP_010943751.1	WP_015403217.1
OG0000155	WP_010943603.1, WP_010943552.1	WP_015404997.1
OG0000155	WP_010943023.1	WP_015404996.1
OG0000158	WP_010941382.1	WP_015403712.1
OG0000159	WP_010943532.1	WP_015405738.1
OG0000160	WP_010941051.1, WP_010940903.1	WP_015402570.1
OG0000161	WP_010942875.1	WP_015403558.1
OG0000163	WP_010940702.1, WP_010942942.1	WP_015403342.1, WP_015404356.1
OG0000164	WP_010941317.1	WP_015403628.1
OG0000165	WP_010942470.1	WP_015402948.1
OG0000166	WP_010943267.1	WP_015405604.1, WP_015404252.1
OG0000167	WP_010943983.1	WP_015404889.1
OG0000168	WP_010942284.1	WP_015403840.1
OG0000169	WP_010942556.1	WP_015404816.1
OG0000170	WP_010942052.1	WP_015403919.1
OG0000171	WP_010941390.1	WP_015402771.1
OG0000173	WP_010943577.1, WP_010941118.1	WP_015403433.1
OG0000174	WP_010944064.1	WP_015402361.1
OG0000174	WP_235044909.1	WP_015403695.1
OG0000175	WP_262421276.1	WP_208598472.1
OG0000176	WP_010941450.1	WP_015403419.1
OG0000179	WP_010943665.1	WP_015403164.1
OG0000180	WP_010941864.1	WP_052326988.1, WP_015403309.1
OG0000181	WP_010942627.1	WP_015404063.1, WP_015405574.1
OG0000183	WP_010941007.1	WP_208598531.1
OG0000184	WP_010943067.1	WP_015403677.1
OG0000185	WP_041914029.1	WP_015404124.1
OG0000186	WP_010941475.1, WP_010942088.1	WP_015403116.1, WP_015403686.1
OG0000187	WP_010943488.1	WP_015404268.1
OG0000188	WP_010942212.1, WP_193360263.1, WP_010941847.1	WP_015403875.1
OG0000191	WP_010940707.1	WP_228130031.1
OG0000191	WP_010941690.1	WP_015403618.1
OG0000196	WP_010941009.1	WP_015405758.1
OG0000197	WP_010941767.1	WP_015404178.1
OG0000198	WP_010942442.1	WP_015405101.1
OG0000199	WP_010940692.1	WP_015405043.1
OG0000200	WP_010940782.1	WP_015405573.1, WP_015403368.1
OG0000201	WP_010942481.1, WP_010941167.1	WP_015402726.1
OG0000202	WP_010944059.1, WP_010943805.1, WP_010941512.1	WP_015403041.1, WP_015403516.1
OG0000205	WP_275450049.1	WP_052326952.1
OG0000209	WP_010942096.1	WP_015403972.1
OG0000210	WP_010941518.1	WP_153304845.1
OG0000211	WP_010940834.1	WP_015402955.1
OG0000212	WP_010941451.1	WP_015403425.1
OG0000213	WP_010942048.1	WP_015402864.1, WP_015404619.1
OG0000214	WP_010943452.1, WP_010943323.1, WP_010943453.1	WP_015403656.1
OG0000215	WP_010942713.1	WP_015403395.1
OG0000216	WP_010943613.1	WP_015404094.1
OG0000217	WP_010942056.1	WP_015404433.1
OG0000218	WP_010941105.1	WP_015405521.1, WP_015403719.1, WP_015403718.1
OG0000219	WP_010942171.1	WP_015403862.1
OG0000222	WP_010942108.1	WP_015404363.1
OG0000223	WP_010942050.1	WP_015404744.1
OG0000224	WP_010942097.1	WP_015403713.1
OG0000225	WP_010943944.1	WP_228130059.1, WP_015402983.1
OG0000226	WP_010943254.1, WP_010943255.1	WP_015403895.1
OG0000227	WP_010943010.1	WP_015405532.1
OG0000228	WP_010940759.1	WP_015404722.1
OG0000229	WP_010942321.1	WP_015403080.1
OG0000229	WP_268741945.1	WP_015405258.1
OG0000233	WP_010943635.1	WP_015405001.1
OG0000234	WP_010943824.1, WP_010940956.1	WP_015404541.1
OG0000235	WP_010942669.1	WP_015402571.1, WP_015403933.1
OG0000236	WP_235044991.1, WP_235044960.1	WP_015402832.1
OG0000239	WP_010943048.1	WP_015403176.1
OG0000240	WP_010941505.1	WP_015404338.1
OG0000241	WP_010942954.1	WP_015404417.1
OG0000241	WP_010941508.1	WP_015404839.1
OG0000242	WP_235044978.1	WP_015405234.1, WP_015404444.1, WP_015405245.1
OG0000243	WP_010942936.1, WP_010942841.1	WP_015404772.1
OG0000245	WP_010943105.1	WP_208598476.1
OG0000248	WP_010940826.1	WP_015402961.1
OG0000250	WP_010943679.1	WP_015405307.1
OG0000252	WP_010941013.1	WP_015405759.1
OG0000253	WP_010943698.1, WP_010943699.1	WP_015405687.1
OG0000256	WP_010943449.1	WP_015403654.1
OG0000257	WP_010943933.1	WP_015404474.1
OG0000257	WP_010941115.1	WP_015403400.1
OG0000258	WP_235044999.1	WP_041916466.1
OG0000259	WP_010942654.1	WP_015404586.1
OG0000260	WP_010942469.1	WP_015402947.1
OG0000262	WP_010943062.1, WP_010941612.1, WP_010941613.1, WP_010941843.1	WP_015405634.1
OG0000264	WP_010940789.1	WP_015403248.1, WP_015403956.1
OG0000265	WP_010940787.1	WP_015403241.1, WP_015403954.1
OG0000266	WP_010941002.1	WP_015403244.1, WP_015403914.1
OG0000270	WP_010941762.1	WP_015403162.1
OG0000271	WP_010943344.1	WP_015402792.1
OG0000272	WP_010942075.1	WP_015403141.1, WP_015403406.1, WP_015404095.1, WP_015403606.1
OG0000273	WP_010941196.1	WP_015403232.1, WP_015404326.1
OG0000274	WP_010943288.1	WP_015403324.1
OG0000277	WP_010940802.1, WP_010943774.1	WP_015404536.1
OG0000278	WP_010942980.1	WP_015405763.1, WP_015405123.1
OG0000280	WP_010941072.1, WP_010940808.1	WP_015405279.1, WP_015405280.1
OG0000281	WP_010941524.1	WP_015405374.1
OG0000283	WP_010940799.1	WP_015403418.1
OG0000284	WP_010942003.1, WP_010941315.1, WP_010941575.1	WP_015403619.1
OG0000285	WP_010941784.1	WP_015404434.1
OG0000287	WP_010941183.1	WP_015402629.1
OG0000288	WP_010943065.1	WP_015405114.1
OG0000290	WP_010944031.1	WP_015404568.1
OG0000291	WP_010942449.1	WP_015404986.1
OG0000292	WP_010941250.1	WP_228130008.1
OG0000293	WP_010941006.1	WP_015405755.1
OG0000296	WP_010943239.1, WP_010942391.1	WP_015403918.1
OG0000297	WP_010943720.1	WP_015403344.1
OG0000299	WP_010941531.1	WP_015403320.1, WP_015405743.1
OG0000300	WP_010941042.1	WP_015403426.1
OG0000301	WP_010943464.1	WP_228130009.1
OG0000302	WP_010940762.1	WP_015402586.1
OG0000305	WP_010943229.1, WP_010941629.1	WP_015403709.1
OG0000307	WP_010944039.1	WP_015405767.1
OG0000308	WP_010941014.1, WP_010944044.1	WP_015405760.1
OG0000309	WP_010942664.1	WP_015403758.1
OG0000310	WP_010942151.1	WP_015404219.1, WP_015404235.1
OG0000311	WP_010943716.1	WP_208598473.1
OG0000312	WP_010944022.1	WP_015405651.1
OG0000314	WP_010941016.1	WP_015405762.1
OG0000316	WP_010942400.1	WP_015402519.1
OG0000318	WP_010941278.1	WP_015402849.1
OG0000319	WP_010942339.1	WP_015403290.1
OG0000320	WP_010942929.1	WP_015403444.1
OG0000321	WP_010942347.1	WP_015404150.1
OG0000322	WP_010942886.1	WP_015404641.1
OG0000325	WP_010941180.1	WP_041916275.1, WP_015405569.1
OG0000326	WP_010941340.1	WP_041916402.1
OG0000327	WP_010944012.1	WP_228130085.1
OG0000331	WP_010942832.1	WP_015405475.1
OG0000332	WP_010940771.1	WP_015405537.1
OG0000333	WP_010942670.1	WP_015403733.1, WP_015403934.1
OG0000335	WP_010942466.1	WP_015403959.1
OG0000336	WP_010942655.1	WP_015404585.1
OG0000337	WP_010942393.1	WP_015405731.1
OG0000338	WP_010941156.1	WP_015403909.1
OG0000339	WP_010941334.1	WP_015403039.1, WP_015405469.1
OG0000340	WP_010941922.1	WP_015403067.1
OG0000341	WP_010942355.1	WP_015405804.1
OG0000343	WP_010943700.1	WP_015405688.1
OG0000344	WP_010943614.1	WP_015404093.1, WP_015403303.1
OG0000345	WP_010942401.1	WP_015403061.1
OG0000347	WP_010941557.1	WP_228130011.1
OG0000348	WP_010941927.1	WP_015403564.1, WP_015403065.1
OG0000352	WP_010942812.1	WP_015405787.1
OG0000352	WP_010943711.1	WP_015403877.1
OG0000353	WP_010943880.1	WP_015404899.1
OG0000355	WP_010941203.1	WP_015402391.1
OG0000356	WP_010942796.1, WP_010943738.1	WP_015405042.1
OG0000357	WP_010942533.1	WP_015402963.1
OG0000358	WP_010941267.1	WP_015403098.1
OG0000359	WP_010944058.1, WP_010943345.1	WP_015402603.1
OG0000360	WP_010942731.1	WP_015404165.1
OG0000361	WP_010940962.1	WP_015404787.1
OG0000363	WP_010940854.1	WP_015402441.1, WP_228130024.1
OG0000364	WP_010941270.1	WP_015404331.1, WP_015403401.1, WP_015402587.1
OG0000365	WP_010943250.1	WP_015402606.1, WP_015402769.1
OG0000366	WP_010941660.1	WP_015402662.1
OG0000370	WP_010940937.1	WP_015402991.1
OG0000371	WP_235044970.1, WP_010942091.1	WP_015403026.1, WP_167320743.1
OG0000377	WP_010941622.1	WP_015403734.1
OG0000378	WP_275450045.1	WP_015403825.1
OG0000379	WP_010941941.1	WP_015404447.1
OG0000381	WP_010943166.1	WP_015405078.1, WP_208598490.1
OG0000382	WP_010943654.1	WP_015405295.1
OG0000384	WP_010942061.1, WP_010943430.1	WP_015405623.1
OG0000388	WP_010942249.1	WP_015404792.1
OG0000389	WP_010944066.1, WP_010940805.1	WP_015403093.1
OG0000390	WP_010941122.1	WP_015405129.1
OG0000391	WP_010942461.1	WP_015405595.1
OG0000392	WP_010940827.1	WP_015403130.1
OG0000393	WP_010943825.1	WP_015405397.1
OG0000394	WP_010943002.1	WP_015405620.1
OG0000395	WP_010942541.1	WP_015405385.1, WP_015404600.1
OG0000396	WP_010942725.1	WP_015404016.1
OG0000397	WP_010943018.1	WP_015405133.1
OG0000398	WP_010941523.1	WP_015404034.1
OG0000399	WP_010943768.1	WP_015404853.1
OG0000400	WP_010943724.1	WP_015404727.1
OG0000401	WP_010940699.1	WP_015404176.1
OG0000402	WP_010942160.1	WP_015404482.1
OG0000402	WP_010943148.1	WP_015404651.1
OG0000403	WP_010941483.1	WP_015404778.1
OG0000404	WP_010942824.1	WP_015405699.1
OG0000406	WP_010941749.1	WP_228130050.1
OG0000407	WP_010941720.1	WP_015403831.1
OG0000408	WP_010943001.1	WP_015404015.1
OG0000409	WP_010943829.1	WP_015405028.1
OG0000410	WP_010941931.1	WP_015405264.1, WP_015402353.1
OG0000413	WP_010942923.1	WP_015403446.1
OG0000414	WP_010941756.1	WP_015403280.1, WP_015403160.1
OG0000415	WP_010943593.1	WP_015402809.1, WP_015402798.1
OG0000418	WP_010943506.1	WP_015405752.1
OG0000419	WP_010941890.1, WP_010941487.1	WP_015404566.1
OG0000422	WP_010943000.1	WP_015404018.1
OG0000423	WP_010942177.1	WP_015405222.1
OG0000425	WP_010940943.1	WP_015405708.1
OG0000426	WP_010943019.1	WP_015405134.1
OG0000427	WP_010943733.1	WP_015404262.1, WP_015402929.1
OG0000428	WP_010941481.1, WP_010942544.1, WP_010941594.1	WP_015404780.1
OG0000430	WP_010941255.1, WP_010942639.1, WP_010942850.1	WP_015405242.1, WP_015405409.1, WP_015403469.1, WP_015405232.1
OG0000431	WP_010942742.1	WP_015403546.1, WP_015405375.1
OG0000432	WP_010942831.1	WP_015403657.1
OG0000433	WP_010941430.1	WP_015403967.1
OG0000434	WP_010943321.1	WP_015404078.1
OG0000436	WP_235044860.1	WP_015404648.1, WP_015404652.1, WP_015405333.1
OG0000438	WP_010941116.1	WP_015404896.1
OG0000439	WP_010943881.1	WP_015404902.1
OG0000440	WP_010941436.1	WP_015404953.1
OG0000443	WP_010944019.1	WP_015405092.1
OG0000444	WP_010940703.1	WP_015405195.1
OG0000445	WP_010941856.1	WP_015405275.1
OG0000446	WP_010941087.1	WP_015405294.1
OG0000447	WP_010942329.1	WP_015405423.1
OG0000448	WP_010944005.1	WP_015405454.1
OG0000449	WP_010942222.1	WP_015405463.1
OG0000457	WP_010942557.1	WP_208598499.1
OG0000458	WP_010943913.1, WP_010942869.1	WP_015405560.1
OG0000459	WP_010942547.1	WP_015405044.1
OG0000460	WP_010942228.1	WP_015405601.1
OG0000461	WP_010940711.1	WP_015402359.1
OG0000462	WP_010941479.1	WP_015404782.1
OG0000463	WP_010942901.1	WP_015405449.1
OG0000465	WP_010943901.1	WP_015404108.1
OG0000466	WP_010943714.1, WP_010941574.1	WP_015404099.1
OG0000467	WP_010940977.1	WP_015403423.1
OG0000468	WP_010941157.1	WP_015405442.1
OG0000469	WP_235045036.1, WP_010941169.1	WP_015403908.1
OG0000470	WP_010940811.1	WP_015405629.1
OG0000471	WP_010942071.1	WP_015402724.1
OG0000472	WP_010943177.1	WP_015404576.1
OG0000473	WP_010940976.1	WP_265588642.1
OG0000474	WP_010941000.1	WP_015405340.1
OG0000475	WP_010942285.1	WP_015403842.1
OG0000476	WP_010942721.1, WP_010943097.1	WP_015404168.1
OG0000477	WP_010941662.1	WP_015404008.1
OG0000478	WP_010943615.1	WP_015404092.1, WP_015403302.1
OG0000479	WP_010940705.1	WP_015405193.1
OG0000480	WP_010942395.1	WP_015404302.1
OG0000481	WP_010942262.1, WP_010940718.1	WP_015404083.1
OG0000482	WP_010941444.1	WP_015403548.1
OG0000484	WP_010943984.1	WP_015403760.1
OG0000485	WP_010940706.1	WP_015405192.1
OG0000486	WP_010942693.1	WP_015404881.1
OG0000487	WP_010943830.1	WP_015405027.1
OG0000488	WP_010941054.1	WP_015403375.1
OG0000489	WP_010942709.1	WP_228130021.1
OG0000490	WP_010941675.1	WP_015402294.1
OG0000491	WP_010941876.1	WP_015404713.1
OG0000492	WP_010941312.1, WP_010941313.1	WP_041916554.1
OG0000493	WP_010942580.1	WP_015403885.1
OG0000494	WP_010942170.1	WP_015403661.1
OG0000495	WP_010943252.1	WP_015405099.1
OG0000496	WP_010942910.1	WP_015405733.1
OG0000497	WP_010941636.1, WP_010942416.1	WP_015405614.1
OG0000498	WP_010942417.1	WP_015405613.1
OG0000499	WP_010942708.1	WP_015402600.1, WP_015405505.1
OG0000500	WP_010942876.1	WP_015404321.1
OG0000502	WP_010942548.1	WP_015405045.1
OG0000503	WP_010941055.1	WP_015403102.1
OG0000504	WP_010941928.1	WP_015405265.1, WP_015402354.1
OG0000505	WP_010941251.1	WP_015404141.1
OG0000506	WP_010942552.1	WP_153305003.1, WP_015404813.1
OG0000507	WP_010941554.1	WP_015402706.1
OG0000508	WP_010940877.1	WP_015403578.1, WP_015403440.1
OG0000509	WP_010943992.1	WP_015403345.1
OG0000510	WP_010940919.1	WP_015402412.1
OG0000511	WP_010941133.1, WP_010942396.1	WP_015403968.1
OG0000512	WP_010943245.1	WP_015404854.1
OG0000513	WP_010942286.1	WP_015403843.1
OG0000514	WP_010942904.1, WP_010941664.1	WP_015405704.1
OG0000515	WP_010942903.1	WP_015405450.1
OG0000516	WP_010942477.1	WP_015402358.1
OG0000517	WP_010941039.1	WP_015403261.1, WP_015404355.1
OG0000518	WP_010942917.1, WP_010941533.1	WP_015402512.1
OG0000519	WP_010943550.1, WP_010943549.1	WP_015405014.1
OG0000520	WP_010941526.1, WP_010940890.1	WP_015405376.1
OG0000521	WP_010942403.1	WP_015405139.1
OG0000522	WP_010942447.1	WP_015405032.1
OG0000523	WP_010941346.1, WP_010942408.1	WP_015404736.1
OG0000524	WP_010940681.1	WP_015403357.1
OG0000526	WP_010942399.1	WP_015402518.1
OG0000527	WP_010943934.1, WP_010942656.1	WP_228130012.1
OG0000529	WP_010941106.1, WP_010942647.1	WP_015403920.1
OG0000530	WP_010942516.1	WP_015405633.1
OG0000531	WP_010942261.1, WP_010940720.1	WP_015404567.1
OG0000532	WP_010940712.1, WP_010940981.1	WP_015404539.1
OG0000533	WP_010942872.1	WP_015403868.1
OG0000534	WP_010942487.1	WP_015402863.1, WP_015405596.1
OG0000535	WP_010943192.1	WP_015402664.1
OG0000537	WP_010941663.1	WP_015405017.1
OG0000538	WP_010943938.1, WP_275450053.1	WP_015403076.1
OG0000539	WP_010942181.1	WP_015402679.1
OG0000540	WP_010942258.1	WP_015404471.1
OG0000542	WP_010942538.1	WP_015403888.1
OG0000543	WP_010943017.1	WP_015405132.1
OG0000544	WP_010940974.1	WP_015403427.1
OG0000545	WP_010943465.1	WP_015404963.1, WP_015402736.1
OG0000546	WP_010943608.1	WP_015402951.1
OG0000547	WP_010941434.1	WP_228130060.1
OG0000548	WP_010942272.1	WP_015403059.1
