Orthogroup	Geobacter sulfurreducens PCA	Desulfovibrio vulgaris DP4
OG0000219	WP_010942171.1	WP_014524381.1
OG0000220	WP_010941820.1	WP_010939219.1
OG0000221	WP_010943208.1, WP_010942604.1	WP_011792772.1
OG0000222	WP_010942108.1	WP_011791920.1, WP_223294689.1
OG0000223	WP_010942050.1	WP_010938648.1
OG0000225	WP_010943944.1	WP_010939784.1
OG0000226	WP_010943254.1	WP_010939105.1
OG0000226	WP_010943255.1	WP_010939106.1
OG0000227	WP_010943010.1	WP_011792871.1, WP_011793143.1
OG0000228	WP_010941331.1	WP_011791456.1
OG0000228	WP_010940759.1	WP_011792579.1
OG0000229	WP_268741945.1	WP_011792120.1
OG0000230	WP_010943336.1	WP_010939852.1
OG0000233	WP_010943635.1, WP_010941266.1	WP_010938704.1
OG0000234	WP_010943824.1	WP_014524184.1
OG0000234	WP_010940956.1	WP_010939427.1
OG0000235	WP_010942669.1	WP_010939791.1, WP_010938191.1
OG0000239	WP_010943048.1	WP_010937469.1
OG0000240	WP_010941505.1	WP_043629138.1, WP_010938105.1, WP_043629997.1, WP_011792780.1, WP_011792799.1
OG0000242	WP_235044978.1	WP_011792730.1
OG0000243	WP_010942936.1, WP_010942841.1	WP_010940402.1
OG0000248	WP_010940826.1	WP_010938759.1
OG0000250	WP_010943679.1	WP_011791427.1, WP_010939149.1
OG0000252	WP_010944046.1	WP_011791958.1
OG0000253	WP_010943698.1	WP_011791802.1
OG0000253	WP_010943699.1	WP_011791801.1
OG0000254	WP_010943910.1	WP_010939526.1
OG0000256	WP_010943325.1	WP_011787314.1
OG0000256	WP_010943449.1	WP_011793118.1
OG0000257	WP_010943933.1, WP_010941115.1	WP_011791929.1
OG0000258	WP_235044999.1	WP_010939337.1
OG0000259	WP_010942654.1	WP_011792770.1
OG0000260	WP_010942469.1	WP_010939132.1
OG0000263	WP_010941522.1, WP_235044914.1	WP_011791860.1
OG0000264	WP_010940789.1	WP_010938076.1
OG0000265	WP_010940787.1	WP_010938078.1
OG0000266	WP_010941002.1	WP_010938217.1
OG0000270	WP_010941762.1	WP_010937324.1
OG0000271	WP_010943344.1	WP_010940288.1
OG0000272	WP_010942075.1	WP_010938742.1
OG0000273	WP_010941196.1	WP_010938516.1
OG0000274	WP_010943288.1	WP_010938265.1, WP_043629524.1
OG0000277	WP_010940802.1, WP_010943774.1	WP_011791810.1
OG0000278	WP_010942980.1	WP_010937741.1, WP_011791959.1
OG0000280	WP_010941072.1, WP_010940808.1	WP_010937609.1
OG0000282	WP_010943444.1	WP_011792059.1, WP_011792618.1, WP_010937849.1, WP_010937434.1
OG0000283	WP_010941447.1	WP_011791794.1, WP_010939207.1
OG0000284	WP_010941575.1	WP_011792788.1
OG0000285	WP_010941784.1	WP_010940031.1
OG0000287	WP_010941183.1	WP_010937317.1, WP_043629761.1, WP_011792648.1
OG0000288	WP_010943065.1	WP_011792198.1
OG0000289	WP_010941147.1	WP_011792229.1, WP_011792179.1
OG0000290	WP_010944031.1	WP_011791783.1
OG0000291	WP_010942921.1, WP_010942449.1	WP_010939194.1
OG0000292	WP_010941250.1	WP_011792092.1, WP_011791915.1
OG0000295	WP_010942132.1	WP_223294586.1
OG0000296	WP_010943239.1, WP_010942391.1	WP_010940232.1, WP_010939150.1
OG0000297	WP_010943720.1	WP_011792575.1
OG0000299	WP_010941531.1	WP_011791465.1
OG0000300	WP_010941042.1	WP_010939567.1, WP_010939601.1
OG0000301	WP_010943464.1	WP_011792454.1
OG0000302	WP_010940762.1	WP_011791854.1
OG0000309	WP_010942664.1	WP_010937603.1
OG0000311	WP_010943716.1	WP_010937595.1
OG0000312	WP_010944022.1	WP_011793105.1
OG0000316	WP_010943683.1	WP_010939745.1
OG0000316	WP_010942400.1	WP_043629054.1
OG0000320	WP_010942929.1	WP_011792826.1
OG0000321	WP_010942710.1	WP_011792110.1
OG0000326	WP_010941340.1	WP_011792611.1
OG0000327	WP_010944012.1	WP_011792744.1, WP_010937853.1
OG0000331	WP_010942832.1	WP_043629609.1
OG0000332	WP_010940771.1	WP_011791449.1
OG0000333	WP_010942670.1	WP_011792647.1
OG0000335	WP_010942466.1	WP_011791909.1
OG0000336	WP_010942655.1	WP_010937968.1
OG0000337	WP_010942098.1	WP_011792628.1
OG0000338	WP_010941156.1	WP_010939124.1
OG0000339	WP_010941334.1	WP_011791786.1
OG0000340	WP_010941922.1	WP_010938005.1
OG0000341	WP_010942355.1	WP_011791904.1
OG0000343	WP_010943700.1	WP_011791800.1
OG0000344	WP_010943614.1	WP_011792447.1
OG0000345	WP_010942401.1	WP_010938967.1
OG0000346	WP_010940764.1	WP_011791853.1
OG0000348	WP_010941927.1	WP_011791623.1
OG0000350	WP_235044984.1	WP_010938092.1
OG0000352	WP_010942812.1, WP_010943711.1	WP_010939077.1
OG0000353	WP_010943880.1	WP_010939841.1
OG0000354	WP_010940949.1	WP_010938317.1
OG0000355	WP_010941203.1	WP_011792771.1
OG0000356	WP_010942796.1, WP_010943738.1	WP_010939497.1
OG0000357	WP_010942533.1	WP_011792314.1
OG0000358	WP_010941267.1	WP_011792626.1
OG0000359	WP_010944058.1, WP_010943345.1	WP_011791553.1
OG0000360	WP_010942731.1	WP_010938090.1
OG0000360	WP_010941394.1	WP_010938970.1
OG0000361	WP_010940962.1	WP_010938503.1
OG0000363	WP_010940854.1	WP_011792691.1
OG0000364	WP_010941270.1	WP_011792640.1
OG0000365	WP_010943250.1	WP_010939592.1, WP_010937330.1
OG0000366	WP_010941660.1	WP_011791409.1, WP_011791408.1
OG0000379	WP_010941941.1	WP_010938720.1, WP_010940036.1
OG0000381	WP_010943166.1	WP_011791991.1
OG0000382	WP_010943654.1	WP_011793167.1
OG0000384	WP_010942061.1, WP_010943430.1	WP_010937551.1
OG0000387	WP_010940853.1	WP_010939695.1
OG0000388	WP_010942249.1	WP_010938501.1
OG0000389	WP_010940805.1	WP_010940621.1
OG0000390	WP_010941122.1	WP_010937714.1
OG0000391	WP_010942461.1	WP_010939193.1
OG0000392	WP_010940827.1	WP_011791927.1
OG0000393	WP_010943825.1	WP_011792321.1
OG0000394	WP_010943002.1	WP_011792428.1
OG0000395	WP_010942541.1	WP_011791505.1
OG0000396	WP_010942725.1	WP_011792627.1
OG0000398	WP_010941523.1	WP_011792462.1
OG0000399	WP_010943768.1	WP_010937883.1
OG0000400	WP_010943724.1	WP_011791616.1
OG0000401	WP_010940699.1	WP_010939095.1
OG0000402	WP_010943148.1	WP_011791561.1
OG0000403	WP_010941483.1, WP_010941592.1, WP_010942545.1	WP_011792485.1
OG0000404	WP_010941863.1	WP_010940163.1
OG0000407	WP_010941720.1	WP_011792056.1
OG0000408	WP_010943001.1	WP_011792429.1
OG0000409	WP_010943829.1	WP_011792140.1
OG0000410	WP_010941931.1	WP_010937473.1
OG0000411	WP_010940979.1	WP_043629982.1
OG0000412	WP_010940997.1	WP_223294696.1
OG0000412	WP_010942671.1	WP_011792467.1
OG0000413	WP_010942923.1	WP_010937629.1
OG0000414	WP_010941756.1	WP_010938768.1, WP_011792538.1
OG0000415	WP_010943593.1	WP_011793093.1
OG0000418	WP_010943506.1	WP_011792638.1
OG0000419	WP_010941890.1	WP_011791482.1
OG0000420	WP_010943328.1	WP_011791475.1
OG0000421	WP_010943179.1, WP_164930432.1, WP_010942103.1	WP_011792174.1
OG0000422	WP_010943000.1	WP_011792752.1
OG0000423	WP_010942177.1	WP_011793124.1
OG0000425	WP_010940943.1	WP_010940414.1
OG0000427	WP_010943733.1	WP_258312758.1
OG0000428	WP_010941481.1	WP_010938540.1
OG0000429	WP_010942369.1, WP_010942069.1	WP_011793152.1
OG0000431	WP_010942742.1	WP_011792086.1
OG0000433	WP_010941430.1	WP_011793177.1
OG0000435	WP_010941462.1	WP_010937470.1
OG0000436	WP_235044860.1	WP_011791570.1, WP_011792953.1, WP_011792988.1
OG0000438	WP_010941116.1	WP_043629227.1
OG0000439	WP_010943881.1	WP_010939842.1
OG0000440	WP_010941436.1	WP_011791680.1
OG0000442	WP_010941904.1	WP_011792528.1
OG0000443	WP_010944019.1	WP_010939164.1
OG0000444	WP_010940703.1	WP_014524613.1
OG0000445	WP_010941856.1	WP_223294686.1
OG0000446	WP_010941087.1	WP_010937614.1, WP_010938736.1
OG0000447	WP_010942329.1	WP_011792504.1
OG0000448	WP_010944005.1	WP_010940009.1, WP_010938014.1, WP_010937854.1
OG0000449	WP_010942222.1	WP_011792406.1
OG0000452	WP_010943275.1	WP_223294646.1
OG0000454	WP_010943060.1, WP_010941949.1, WP_010941801.1, WP_010941802.1, WP_010941957.1	WP_011792813.1, WP_011792133.1
OG0000457	WP_010942557.1	WP_011791333.1
OG0000458	WP_010943913.1, WP_010942869.1	WP_011792053.1
OG0000459	WP_010942547.1	WP_010940242.1
OG0000460	WP_010942228.1	WP_043629230.1
OG0000461	WP_010940711.1	WP_010938112.1
OG0000462	WP_010941479.1	WP_011792486.1
OG0000463	WP_010942901.1	WP_011792431.1
OG0000465	WP_010943901.1	WP_010938458.1, WP_011792597.1, WP_014524374.1
OG0000466	WP_010943714.1, WP_010941574.1	WP_010939080.1
OG0000467	WP_010940977.1	WP_010937632.1
OG0000468	WP_010941157.1	WP_011792746.1
OG0000469	WP_235045036.1, WP_010941169.1	WP_011792195.1
OG0000470	WP_010940811.1	WP_011792673.1
OG0000471	WP_010942071.1	WP_010937702.1
OG0000472	WP_010943177.1	WP_011791932.1
OG0000473	WP_010940976.1	WP_010939210.1
OG0000474	WP_010941000.1	WP_043629567.1
OG0000475	WP_010942285.1	WP_011791402.1
OG0000476	WP_010942721.1, WP_010943097.1	WP_011792707.1
OG0000477	WP_010941662.1	WP_011791415.1
OG0000478	WP_010943615.1	WP_011792446.1
OG0000479	WP_010940705.1	WP_011791861.1, WP_010940359.1
OG0000480	WP_010942395.1	WP_010937325.1, WP_010939491.1
OG0000481	WP_010942262.1, WP_010940718.1	WP_219995814.1
OG0000482	WP_010941444.1	WP_010937881.1
OG0000484	WP_010943984.1	WP_011791338.1
OG0000485	WP_010940706.1	WP_011791862.1, WP_010940358.1
OG0000486	WP_010942693.1	WP_011792689.1
OG0000487	WP_010943830.1	WP_010938229.1
OG0000488	WP_010941054.1	WP_010938489.1
OG0000489	WP_010942709.1	WP_010938975.1
OG0000490	WP_010941675.1	WP_010937352.1
OG0000491	WP_010941876.1	WP_011791780.1
OG0000492	WP_010941312.1, WP_010941313.1	WP_011792326.1
OG0000493	WP_010942580.1	WP_011791776.1
OG0000494	WP_010942170.1	WP_011792051.1
OG0000495	WP_010943252.1	WP_043629742.1
OG0000496	WP_010942910.1	WP_011791907.1
OG0000497	WP_010941636.1, WP_010942416.1	WP_011791930.1
OG0000498	WP_010942417.1	WP_223294660.1
OG0000500	WP_010942876.1	WP_011792097.1
OG0000502	WP_010942548.1	WP_011791592.1
OG0000504	WP_010941928.1	WP_010940372.1
OG0000505	WP_010941251.1	WP_011792089.1
OG0000506	WP_010942552.1	WP_010940239.1
OG0000507	WP_010941554.1	WP_011792008.1, WP_011792327.1
OG0000508	WP_010940877.1	WP_011792359.1
OG0000509	WP_010943992.1	WP_011792698.1
OG0000510	WP_010940919.1	WP_011787353.1
OG0000511	WP_010941133.1, WP_010942396.1	WP_010938955.1
OG0000512	WP_010943245.1, WP_010942472.1	WP_010937769.1
OG0000513	WP_010942286.1	WP_011791403.1
OG0000514	WP_010942904.1, WP_010941664.1	WP_011791911.1
OG0000516	WP_010942477.1	WP_011793110.1
OG0000517	WP_010941039.1	WP_010939622.1
OG0000518	WP_010942917.1	WP_223294635.1, WP_014524349.1
OG0000519	WP_010944033.1	WP_011791791.1
OG0000520	WP_010941526.1, WP_010940890.1	WP_010937630.1
OG0000521	WP_010942403.1	WP_010938037.1
OG0000522	WP_010942447.1	WP_011792155.1
OG0000523	WP_010941346.1, WP_010942408.1	WP_010938645.1
OG0000524	WP_010940681.1	WP_010937314.1
OG0000526	WP_010942399.1	WP_011791368.1
OG0000527	WP_010943934.1, WP_010942656.1	WP_011792393.1
OG0000529	WP_010941106.1, WP_010942647.1	WP_011791940.1
OG0000530	WP_010942516.1	WP_164561900.1
OG0000531	WP_010942261.1, WP_010940720.1	WP_011793151.1
OG0000532	WP_010940712.1, WP_010940981.1	WP_010940501.1
OG0000533	WP_010942872.1	WP_011792113.1
OG0000534	WP_010942487.1	WP_010938822.1
OG0000535	WP_010943192.1	WP_011792779.1
OG0000536	WP_235044944.1	WP_010940217.1
OG0000537	WP_010941663.1	WP_010938258.1
OG0000538	WP_010943938.1, WP_275450053.1	WP_010939273.1
OG0000539	WP_010942181.1	WP_011792109.1
OG0000540	WP_010942258.1	WP_043629788.1
OG0000541	WP_010942526.1	WP_011792686.1
OG0000542	WP_010942538.1	WP_011793103.1, WP_011792943.1
OG0000543	WP_010943017.1	WP_011792874.1
OG0000544	WP_010940974.1	WP_010939602.1
OG0000545	WP_010943465.1	WP_010939218.1
OG0000546	WP_010943608.1	WP_081428870.1
OG0000548	WP_010942272.1	WP_010938966.1
OG0000549	WP_010941832.1	WP_011792519.1, WP_223294639.1
OG0000550	WP_235045013.1	WP_011791414.1
OG0000551	WP_010941895.1	WP_010939110.1
OG0000553	WP_010943440.1	WP_010940353.1
OG0000555	WP_010941961.1	WP_010938859.1
OG0000560	WP_010943389.1	WP_011791495.1
