Orthogroup	Geobacter sulfurreducens PCA	Desulfotalea psychrophila LSv54
OG0000103	WP_010941607.1, WP_010942480.1	WP_041277624.1, WP_011187572.1
OG0000104	WP_262421275.1	WP_011189410.1
OG0000105	WP_010942250.1	WP_011190029.1
OG0000105	WP_010941127.1, WP_010941128.1	WP_041277849.1
OG0000106	WP_010943341.1	WP_011190231.1, WP_011189715.1, WP_011188105.1
OG0000107	WP_010943755.1, WP_193360258.1, WP_010942207.1	WP_011189658.1
OG0000108	WP_010940958.1	WP_011189642.1, WP_011188953.1
OG0000110	WP_235044926.1	WP_041277836.1
OG0000112	WP_010942274.1	WP_011188067.1
OG0000113	WP_010942320.1	WP_041277425.1
OG0000114	WP_010943165.1	WP_011188364.1
OG0000116	WP_010943682.1	WP_011187877.1
OG0000117	WP_010941759.1	WP_011189124.1
OG0000118	WP_010941758.1	WP_011189123.1
OG0000119	WP_010942000.1, WP_010942001.1	WP_011188592.1, WP_011187807.1
OG0000121	WP_010942597.1	WP_011187278.1
OG0000123	WP_010943384.1	WP_011189032.1
OG0000125	WP_010942746.1	WP_011187861.1, WP_011189064.1, WP_011190268.1
OG0000126	WP_010943126.1	WP_011190020.1
OG0000128	WP_010941589.1	WP_011190249.1
OG0000128	WP_010943853.1	WP_041278021.1
OG0000131	WP_010942881.1	WP_011189957.1
OG0000132	WP_010942113.1	WP_156792284.1
OG0000133	WP_010941757.1	WP_049785062.1
OG0000134	WP_010942241.1	WP_011188144.1
OG0000136	WP_010941670.1	WP_011189843.1
OG0000138	WP_010941764.1	WP_041277553.1, WP_198408700.1
OG0000142	WP_010942899.1	WP_156792321.1
OG0000143	WP_010943891.1	WP_011190324.1
OG0000144	WP_010941482.1	WP_011189528.1
OG0000145	WP_010942949.1	WP_156792207.1, WP_011188174.1
OG0000147	WP_010942139.1	WP_011190023.1
OG0000150	WP_010943710.1	WP_156792302.1, WP_011188038.1
OG0000151	WP_010942629.1, WP_010942486.1	WP_156792391.1
OG0000152	WP_010942382.1	WP_011188507.1
OG0000152	WP_010942374.1	WP_011188513.1
OG0000153	WP_010943806.1, WP_010941511.1	WP_041278081.1
OG0000154	WP_010943751.1	WP_011188535.1
OG0000155	WP_010943603.1, WP_010943552.1	WP_011189442.1
OG0000155	WP_010943023.1	WP_011189443.1
OG0000156	WP_010942747.1	WP_041278107.1, WP_011189065.1
OG0000160	WP_010941051.1, WP_010940903.1	WP_228130154.1
OG0000161	WP_010942875.1	WP_011189119.1
OG0000163	WP_010940702.1, WP_010942942.1	WP_049784999.1, WP_011190105.1
OG0000164	WP_010941317.1	WP_011187437.1
OG0000165	WP_010942470.1	WP_011187672.1
OG0000166	WP_010943267.1	WP_041278008.1
OG0000167	WP_010943983.1	WP_011189983.1
OG0000169	WP_010942556.1	WP_041278049.1
OG0000170	WP_010942052.1	WP_011187704.1, WP_228130166.1, WP_228130165.1
OG0000171	WP_010941390.1	WP_011188224.1
OG0000173	WP_010943577.1, WP_010941118.1	WP_011187845.1
OG0000174	WP_010944064.1	WP_011188522.1
OG0000176	WP_010940798.1	WP_011187404.1
OG0000176	WP_010941450.1	WP_011187820.1
OG0000180	WP_010941864.1	WP_083818964.1, WP_041278377.1
OG0000181	WP_010942627.1	WP_049785176.1, WP_011190443.1
OG0000183	WP_010941007.1	WP_041277717.1
OG0000185	WP_041914029.1	WP_041277828.1
OG0000186	WP_010940745.1, WP_010942944.1	WP_041277626.1
OG0000186	WP_010941475.1, WP_010942088.1	WP_011188095.1
OG0000187	WP_010943488.1	WP_011188352.1, WP_011188365.1
OG0000190	WP_010943251.1	WP_041277447.1
OG0000191	WP_010940707.1	WP_011188792.1
OG0000192	WP_010940935.1, WP_010941861.1	WP_049785055.1
OG0000192	WP_010943387.1	WP_011189154.1
OG0000196	WP_010941009.1	WP_011188559.1
OG0000197	WP_010941767.1	WP_011188331.1, WP_011187639.1
OG0000198	WP_010942442.1	WP_156792257.1
OG0000199	WP_010940692.1	WP_041277873.1
OG0000201	WP_010942481.1, WP_010941167.1	WP_011188242.1
OG0000202	WP_010944059.1, WP_010943805.1, WP_010941512.1	WP_011189106.1
OG0000207	WP_010942266.1	WP_011190248.1, WP_011188263.1
OG0000208	WP_010942265.1	WP_011188262.1
OG0000209	WP_010942096.1	WP_011189657.1
OG0000210	WP_010941518.1	WP_011188475.1, WP_011187438.1
OG0000211	WP_010940834.1	WP_011190201.1
OG0000212	WP_010941451.1	WP_011187826.1
OG0000214	WP_010943452.1	WP_041277773.1
OG0000214	WP_010943323.1, WP_010943453.1	WP_011188783.1
OG0000215	WP_010942713.1	WP_041278351.1
OG0000217	WP_010942056.1	WP_041278087.1
OG0000218	WP_010941105.1	WP_011188935.1
OG0000219	WP_010942171.1	WP_011187520.1
OG0000222	WP_010942108.1	WP_041277470.1, WP_011190100.1
OG0000223	WP_010942050.1	WP_041277805.1
OG0000225	WP_010943944.1	WP_011190357.1
OG0000226	WP_010943255.1	WP_041277609.1
OG0000227	WP_010943010.1	WP_011188872.1, WP_011190190.1
OG0000228	WP_010940759.1	WP_228130150.1
OG0000229	WP_268741945.1	WP_041277488.1
OG0000230	WP_010943336.1	WP_011189365.1
OG0000233	WP_010941266.1	WP_041277996.1
OG0000234	WP_010943824.1, WP_010940956.1	WP_011188725.1
OG0000235	WP_010942669.1	WP_011189740.1, WP_011188066.1
OG0000239	WP_010943048.1	WP_156792203.1, WP_011189492.1
OG0000240	WP_010941505.1	WP_041277651.1
OG0000241	WP_010942954.1, WP_010941508.1	WP_011188682.1
OG0000243	WP_010942936.1, WP_010942841.1	WP_041277879.1
OG0000245	WP_010943105.1	WP_156792261.1
OG0000246	WP_045667367.1, WP_235044935.1	WP_156792390.1
OG0000248	WP_010940826.1	WP_011187684.1
OG0000249	WP_010943406.1, WP_010943405.1	WP_011187440.1
OG0000250	WP_010943679.1	WP_041278036.1
OG0000252	WP_010941013.1	WP_011188558.1
OG0000253	WP_010943698.1	WP_041278077.1
OG0000256	WP_010943449.1	WP_193763857.1
OG0000257	WP_010941115.1	WP_011187938.1
OG0000259	WP_010942654.1	WP_011189470.1
OG0000260	WP_010942469.1	WP_011187671.1
OG0000262	WP_010943062.1	WP_011188941.1
OG0000264	WP_010940789.1	WP_011188079.1
OG0000265	WP_010940787.1	WP_011188077.1
OG0000266	WP_010941002.1	WP_011188060.1
OG0000267	WP_010944011.1, WP_010942780.1, WP_010941497.1, WP_010941986.1	WP_011187616.1
OG0000270	WP_010941762.1	WP_011189127.1
OG0000271	WP_010943344.1	WP_011187803.1, WP_011190276.1
OG0000273	WP_010941196.1	WP_011188597.1, WP_011188167.1
OG0000274	WP_010943288.1	WP_041277639.1, WP_011187334.1
OG0000277	WP_010940802.1, WP_010943774.1	WP_011188116.1
OG0000278	WP_010942980.1	WP_011188554.1
OG0000280	WP_010941072.1, WP_010940808.1	WP_011189891.1
OG0000283	WP_010940799.1	WP_011187819.1
OG0000284	WP_010942003.1, WP_010941315.1	WP_156792243.1
OG0000285	WP_010941784.1	WP_041278086.1
OG0000289	WP_010941147.1	WP_156792179.1
OG0000290	WP_010944031.1	WP_011189438.1
OG0000291	WP_010942449.1	WP_011188846.1
OG0000292	WP_010941250.1	WP_011188332.1
OG0000293	WP_010941006.1	WP_011188562.1
OG0000295	WP_010942132.1	WP_011189959.1
OG0000296	WP_010943239.1, WP_010942391.1	WP_041277610.1
OG0000297	WP_010943720.1	WP_041277578.1
OG0000299	WP_010941531.1	WP_228130178.1
OG0000300	WP_010941042.1	WP_011188258.1, WP_011187827.1
OG0000301	WP_010943464.1	WP_011189481.1, WP_011188387.1
OG0000303	WP_235044981.1	WP_011188699.1
OG0000304	WP_010943072.1	WP_011189335.1, WP_011190399.1
OG0000307	WP_010944039.1	WP_011188550.1
OG0000308	WP_010941014.1, WP_010944044.1	WP_011188557.1
OG0000309	WP_010942664.1	WP_041277735.1, WP_011187371.1
OG0000312	WP_010944022.1	WP_011190120.1
OG0000314	WP_010941016.1	WP_011188555.1
OG0000316	WP_010942400.1	WP_011190257.1
OG0000320	WP_010942929.1	WP_011187789.1, WP_011187785.1
OG0000321	WP_010942347.1	WP_011189150.1
OG0000326	WP_010941340.1	WP_041278066.1, WP_041277799.1
OG0000327	WP_010944012.1	WP_011189731.1
OG0000328	WP_235044973.1	WP_049785093.1, WP_011189663.1, WP_011189812.1
OG0000331	WP_010942832.1	WP_011189709.1, WP_011189375.1
OG0000332	WP_010940771.1	WP_011188672.1, WP_011188671.1
OG0000333	WP_010942670.1	WP_011190299.1
OG0000336	WP_010942655.1	WP_011189471.1
OG0000337	WP_010942393.1	WP_011188684.1
OG0000338	WP_010941156.1	WP_011188054.1
OG0000339	WP_010941334.1	WP_011187987.1
OG0000340	WP_010941922.1	WP_011187352.1
OG0000341	WP_010942355.1	WP_011190455.1, WP_041277512.1
OG0000343	WP_010943700.1	WP_041277972.1, WP_041278078.1
OG0000344	WP_010943614.1	WP_011190302.1
OG0000345	WP_010942401.1	WP_011187347.1
OG0000348	WP_010941927.1	WP_011187350.1
OG0000350	WP_235044984.1	WP_011188163.1
OG0000351	WP_010941822.1, WP_010942781.1, WP_010941496.1, WP_235044931.1, WP_010941985.1	WP_162096620.1
OG0000352	WP_010943711.1	WP_011188037.1
OG0000353	WP_010943880.1	WP_011188201.1, WP_011187388.1
OG0000354	WP_010940949.1	WP_041277911.1
OG0000355	WP_010941203.1	WP_011188481.1
OG0000356	WP_010942796.1, WP_010943738.1	WP_011189820.1
OG0000357	WP_010942533.1	WP_011187686.1
OG0000358	WP_010941267.1	WP_011188159.1
OG0000359	WP_010944058.1, WP_010943345.1	WP_011187804.1
OG0000360	WP_010942731.1	WP_041277667.1
OG0000361	WP_010940962.1	WP_011190034.1
OG0000363	WP_010940854.1	WP_041277943.1
OG0000366	WP_010941660.1	WP_041278090.1
OG0000371	WP_235044970.1, WP_010942091.1	WP_011190222.1
OG0000381	WP_010943166.1	WP_011188623.1
OG0000382	WP_010943654.1	WP_011189906.1
OG0000384	WP_010942061.1, WP_010943430.1	WP_011187586.1
OG0000385	WP_235044980.1	WP_011188700.1
OG0000387	WP_010940853.1	WP_011189949.1
OG0000388	WP_010942249.1	WP_011190030.1
OG0000389	WP_010944066.1, WP_010940805.1	WP_011187991.1
OG0000390	WP_010941122.1	WP_011189231.1
OG0000391	WP_010942461.1	WP_011190429.1, WP_011187259.1
OG0000392	WP_010940827.1	WP_011187683.1
OG0000393	WP_010943825.1	WP_011189713.1
OG0000394	WP_010943002.1	WP_041278134.1
OG0000396	WP_010942725.1	WP_011189462.1
OG0000397	WP_010943018.1	WP_041277793.1
OG0000398	WP_010941523.1	WP_173362835.1, WP_011190427.1
OG0000399	WP_010943768.1	WP_041277921.1, WP_011190232.1
OG0000400	WP_010943724.1	WP_011189966.1
OG0000401	WP_010940699.1	WP_011189767.1
OG0000403	WP_010941483.1, WP_010941592.1, WP_010942545.1	WP_011189529.1
OG0000404	WP_010942824.1	WP_162096667.1
OG0000405	WP_010941534.1	WP_011189762.1
OG0000406	WP_010941749.1	WP_011188036.1
OG0000407	WP_010941720.1	WP_011187531.1
OG0000408	WP_010943001.1	WP_011189463.1
OG0000409	WP_010943829.1	WP_173362847.1
OG0000410	WP_010941931.1	WP_011190337.1
OG0000411	WP_010940979.1	WP_041277604.1
OG0000413	WP_010942923.1	WP_011189040.1
OG0000414	WP_010941756.1	WP_011189125.1
OG0000415	WP_010943593.1	WP_011187702.1
OG0000418	WP_010943506.1	WP_011189597.1, WP_011188565.1
OG0000419	WP_010941890.1, WP_010941487.1	WP_011189440.1
OG0000420	WP_010943328.1	WP_011187900.1
OG0000421	WP_010943179.1, WP_164930432.1, WP_010942103.1	WP_011188876.1
OG0000422	WP_010943000.1	WP_011190167.1
OG0000423	WP_010942177.1	WP_041278794.1
OG0000425	WP_010940943.1	WP_041278082.1
OG0000426	WP_010943019.1	WP_011188860.1
OG0000427	WP_010943733.1	WP_011188346.1
OG0000428	WP_010941481.1, WP_010942544.1, WP_010941594.1	WP_041277939.1
OG0000429	WP_010942369.1, WP_010942069.1	WP_011187772.1
OG0000433	WP_010941430.1	WP_011189706.1
OG0000434	WP_010943321.1	WP_011187316.1
OG0000438	WP_010941116.1	WP_011190098.1, WP_011187699.1
OG0000439	WP_010943881.1	WP_011187387.1, WP_011188202.1
OG0000440	WP_010941436.1	WP_041277623.1
OG0000443	WP_010943783.1	WP_041278382.1
OG0000444	WP_010940703.1	WP_228130145.1
OG0000445	WP_010941856.1	WP_156792310.1
OG0000446	WP_010941087.1	WP_011189905.1
OG0000447	WP_010942329.1	WP_011189512.1
OG0000448	WP_010944005.1	WP_011189730.1
OG0000458	WP_010943913.1, WP_010942869.1	WP_011190050.1
OG0000459	WP_010942547.1	WP_011189199.1
OG0000460	WP_010942228.1	WP_011189785.1
OG0000461	WP_010940711.1	WP_011188884.1
OG0000462	WP_010941479.1	WP_041277938.1
OG0000463	WP_010942901.1	WP_011189177.1
OG0000466	WP_010943714.1, WP_010941574.1	WP_041277422.1
OG0000467	WP_010940977.1	WP_011187824.1
OG0000468	WP_010941157.1	WP_011189509.1
OG0000469	WP_235045036.1, WP_010941169.1	WP_011188053.1
OG0000470	WP_010940811.1	WP_011190065.1
OG0000471	WP_010942071.1	WP_011188128.1
OG0000472	WP_010943177.1	WP_011189474.1
OG0000473	WP_010940976.1	WP_011187823.1
OG0000474	WP_010941000.1	WP_011189845.1
OG0000475	WP_010942285.1	WP_011188169.1
OG0000476	WP_010942721.1, WP_010943097.1	WP_041277668.1
OG0000477	WP_010941662.1	WP_011188156.1
OG0000478	WP_010943615.1	WP_011190301.1
OG0000479	WP_010940705.1	WP_011189651.1
OG0000480	WP_010942395.1	WP_041278396.1
OG0000482	WP_010941444.1	WP_011189018.1
OG0000484	WP_010943984.1	WP_011187369.1
OG0000485	WP_010940706.1	WP_011189650.1
OG0000486	WP_010942693.1	WP_011189991.1
OG0000487	WP_010943830.1	WP_041278024.1
OG0000488	WP_010941054.1	WP_011187960.1
OG0000489	WP_010942709.1	WP_011188276.1
OG0000490	WP_010941675.1	WP_162096643.1
OG0000491	WP_010941876.1	WP_041278044.1
OG0000492	WP_010941312.1, WP_010941313.1	WP_011190160.1
OG0000493	WP_010942580.1	WP_011188045.1
OG0000495	WP_010943252.1	WP_011189170.1
OG0000496	WP_010942910.1	WP_049785040.1
OG0000497	WP_010941636.1, WP_010942416.1	WP_011189797.1
OG0000498	WP_010942417.1	WP_011189796.1
OG0000500	WP_010942876.1	WP_011188406.1
OG0000502	WP_010942548.1	WP_011189198.1
OG0000504	WP_010941928.1	WP_041278120.1
OG0000505	WP_010941251.1	WP_041277824.1
OG0000506	WP_010942552.1	WP_049785112.1
OG0000507	WP_010941554.1	WP_228130170.1
OG0000508	WP_010940877.1	WP_011187508.1
OG0000509	WP_010943992.1	WP_011187888.1
OG0000510	WP_010940919.1	WP_011189093.1
OG0000511	WP_010941133.1, WP_010942396.1	WP_011188090.1
OG0000512	WP_010943245.1	WP_011189412.1
OG0000513	WP_010942286.1	WP_011188168.1
OG0000514	WP_010942904.1, WP_010941664.1	WP_041278089.1
OG0000515	WP_010942903.1	WP_011189178.1
OG0000516	WP_010942477.1	WP_041277801.1
OG0000520	WP_010941526.1, WP_010940890.1	WP_041278621.1
OG0000521	WP_010942403.1	WP_011188856.1
OG0000522	WP_010942447.1	WP_011189825.1
OG0000523	WP_010941346.1, WP_010942408.1	WP_011189941.1
OG0000524	WP_010940681.1	WP_011187894.1
OG0000526	WP_010942399.1	WP_011190256.1
OG0000527	WP_010943934.1, WP_010942656.1	WP_011189472.1
OG0000530	WP_010942516.1	WP_049785116.1
OG0000531	WP_010942261.1, WP_010940720.1	WP_228130141.1
OG0000532	WP_010940712.1, WP_010940981.1	WP_011188723.1
OG0000533	WP_010942872.1	WP_011188031.1
OG0000534	WP_010942487.1	WP_011187873.1
OG0000535	WP_010943192.1	WP_011190194.1
OG0000537	WP_010941663.1	WP_011189840.1
OG0000538	WP_010943938.1, WP_275450053.1	WP_011187361.1
OG0000539	WP_010942181.1	WP_011188585.1
OG0000540	WP_010942258.1	WP_011189704.1
OG0000542	WP_010942538.1	WP_041277608.1
OG0000543	WP_010943017.1	WP_041278539.1
OG0000544	WP_010940974.1	WP_011187828.1
OG0000545	WP_010943465.1	WP_011188974.1
OG0000546	WP_010943608.1	WP_011187675.1
OG0000547	WP_010941434.1	WP_041277944.1
OG0000548	WP_010942272.1	WP_011187345.1
OG0000549	WP_010941832.1	WP_011189640.1
OG0000550	WP_235045013.1	WP_011188945.1
OG0000553	WP_010943440.1	WP_011187439.1
OG0000555	WP_010941961.1	WP_011188911.1
OG0000561	WP_010941936.1	WP_011188001.1
OG0000562	WP_010942208.1	WP_011187743.1
OG0000563	WP_010940852.1	WP_011187488.1, WP_041278028.1
OG0000564	WP_010943575.1	WP_041278003.1
OG0000564	WP_010943156.1	WP_041277731.1
OG0000565	WP_010943576.1	WP_041278002.1
OG0000566	WP_010941728.1, WP_010941185.1	WP_011189759.1, WP_011188209.1
OG0000568	WP_010943959.1	WP_011188858.1
OG0000569	WP_010941600.1	WP_265588590.1, WP_011187919.1
OG0000570	WP_010942880.1	WP_011188250.1, WP_011190423.1, WP_011187271.1
OG0000571	WP_010941269.1	WP_083818934.1
OG0000575	WP_010942534.1	WP_011187685.1
OG0000576	WP_010942537.1	WP_156792204.1
OG0000577	WP_010942510.1	WP_041277922.1
OG0000578	WP_010940679.1	WP_265588588.1
OG0000579	WP_010943242.1	WP_041277577.1
OG0000580	WP_010943827.1	WP_011189859.1
OG0000581	WP_010943499.1	WP_011188354.1
OG0000582	WP_010944070.1	WP_011188971.1
OG0000583	WP_010942332.1	WP_041277672.1
OG0000584	WP_010944075.1	WP_011188100.1
OG0000585	WP_010944076.1	WP_083818932.1
OG0000586	WP_010944078.1	WP_041277613.1
OG0000587	WP_010942289.1	WP_011189426.1
OG0000588	WP_010942073.1	WP_011188096.1
OG0000589	WP_010941392.1	WP_011189180.1
OG0000590	WP_010942465.1	WP_011188172.1
OG0000591	WP_010940835.1	WP_041277520.1
OG0000592	WP_010941272.1	WP_011189429.1
OG0000593	WP_010942349.1	WP_041278079.1
OG0000594	WP_010943186.1	WP_162096625.1
OG0000595	WP_010943920.1	WP_011188721.1
OG0000596	WP_235044854.1	WP_011189197.1
OG0000597	WP_010942643.1	WP_011189171.1
OG0000598	WP_010943702.1	WP_011190145.1
OG0000599	WP_010941327.1	WP_011189837.1
OG0000600	WP_010942136.1	WP_041278909.1
OG0000601	WP_010940829.1	WP_011187681.1
OG0000603	WP_010942707.1	WP_011189475.1
OG0000604	WP_010940693.1	WP_041278118.1
OG0000605	WP_010943003.1	WP_156792331.1
OG0000606	WP_010941673.1	WP_011188166.1
OG0000607	WP_010940800.1	WP_011187525.1
OG0000608	WP_010940710.1	WP_011188883.1
OG0000610	WP_010942105.1	WP_011188404.1
OG0000611	WP_010941932.1	WP_011189430.1
OG0000612	WP_010941310.1	WP_011190047.1
OG0000613	WP_010941309.1	WP_011190046.1
OG0000614	WP_010941719.1	WP_011187529.1
OG0000615	WP_010942566.1	WP_011188395.1
OG0000616	WP_010942564.1	WP_228130172.1
OG0000617	WP_010943485.1	WP_011188368.1
OG0000618	WP_010943483.1	WP_011188370.1
OG0000619	WP_010943482.1	WP_011188371.1
OG0000620	WP_010943481.1	WP_011188372.1
OG0000621	WP_010943480.1	WP_011188373.1
OG0000622	WP_010941527.1	WP_041278063.1
OG0000623	WP_010943723.1	WP_011189965.1
OG0000624	WP_010943850.1	WP_011189832.1
OG0000625	WP_010943851.1	WP_011189833.1
OG0000626	WP_010940760.1	WP_011187844.1
OG0000627	WP_010942106.1	WP_011188405.1
OG0000628	WP_010942919.1	WP_011189052.1
OG0000629	WP_010941252.1	WP_011188979.1
OG0000630	WP_041914001.1	WP_011188034.1
OG0000631	WP_276524825.1	WP_011188032.1
OG0000632	WP_010943180.1	WP_011190021.1
OG0000634	WP_010943241.1	WP_011189407.1
OG0000635	WP_010942450.1	WP_011188882.1
OG0000636	WP_010943357.1	WP_011189449.1
OG0000636	WP_010941010.1	WP_011187929.1
OG0000637	WP_010942245.1	WP_011190035.1
OG0000638	WP_010942878.1	WP_011190101.1
OG0000639	WP_010942898.1	WP_011189179.1
OG0000640	WP_010942897.1	WP_011189473.1
OG0000642	WP_010940715.1	WP_011189005.1
OG0000643	WP_010941323.1	WP_011189974.1
OG0000644	WP_010941325.1	WP_011188027.1
OG0000645	WP_010943691.1	WP_011187303.1
OG0000646	WP_010943692.1	WP_011190137.1
OG0000647	WP_010943693.1	WP_011190138.1
OG0000648	WP_010943697.1	WP_011190141.1
OG0000649	WP_010941322.1	WP_011189975.1
OG0000650	WP_010943006.1	WP_011188871.1
OG0000651	WP_010943016.1	WP_011188863.1
OG0000652	WP_010942410.1	WP_011189939.1
OG0000653	WP_010941921.1	WP_011189434.1
OG0000654	WP_010942463.1	WP_011188972.1
OG0000655	WP_010941209.1	WP_011188330.1
OG0000656	WP_010942230.1	WP_011189856.1
OG0000657	WP_010942231.1	WP_011189855.1
OG0000658	WP_010942236.1	WP_011189851.1
OG0000659	WP_010942237.1	WP_011189850.1
OG0000660	WP_010943504.1	WP_011188567.1
OG0000661	WP_010943505.1	WP_011188568.1
OG0000663	WP_010943737.1	WP_198408692.1
OG0000664	WP_010943342.1	WP_011188724.1
OG0000665	WP_010943897.1	WP_011188975.1
