Orthogroup	Geobacter sulfurreducens PCA	Desulfocapsa_06_corrosive
OG0000045	WP_010942953.1	Utg323180_405, Utg323180_245
OG0000045	WP_010942993.1, WP_010942278.1, WP_010942368.1	Utg324810_80, Utg323990_79
OG0000045	WP_010942204.1	Utg323300_218
OG0000046	WP_010941543.1	Utg324810_8
OG0000047	WP_010942630.1	Utg323990_19
OG0000047	WP_262421271.1	Utg323316_238
OG0000048	WP_010942268.1	Utg323266_109
OG0000049	WP_010941476.1, WP_010941028.1	Utg323300_370
OG0000051	WP_010940766.1	Utg323262_75, Utg323316_319, Utg323180_77, Utg323392_76, Utg323262_180, Utg323392_75
OG0000053	WP_010941160.1	Utg323392_224
OG0000053	WP_010942464.1	Utg323316_144
OG0000054	WP_010942040.1	Utg323316_275
OG0000054	WP_010940843.1, WP_164930448.1	Utg323990_236
OG0000055	WP_010942902.1	Utg323152_253
OG0000057	WP_010943773.1	Utg323266_75, Utg323152_465, Utg323300_441, Utg323632_324, Utg323392_16, Utg323140_160
OG0000058	WP_010942454.1	Utg323180_619
OG0000058	WP_010941840.1	Utg323152_288, Utg323632_274, Utg323152_273, Utg323180_393, Utg323180_545
OG0000060	WP_041913993.1	Utg323300_75, Utg323632_306
OG0000060	WP_010942427.1	Utg323990_72
OG0000061	WP_010942269.1	Utg323266_110
OG0000061	WP_010943909.1	Utg323180_315
OG0000062	WP_010942081.1	Utg323392_166, Utg323140_118
OG0000063	WP_010942168.1, WP_010942767.1	Utg323392_142
OG0000064	WP_010941276.1	Utg323990_139
OG0000064	WP_010943894.1	Utg323180_38
OG0000065	WP_010941490.1, WP_010941029.1, WP_010942716.1, WP_010943066.1, WP_010940694.1	Utg323140_85, Utg323160_21
OG0000065	WP_010942732.1	Utg323140_2, Utg323180_2
OG0000066	WP_010942270.1	Utg323266_106
OG0000067	WP_010942082.1	Utg323392_165, Utg323140_119
OG0000069	WP_010943436.1	Utg325220_94
OG0000070	WP_010942896.1	Utg323152_189
OG0000070	WP_235045000.1, WP_010942882.1, WP_010942892.1	Utg323990_69
OG0000071	WP_010942652.1	Utg323152_536
OG0000071	WP_010942375.1	Utg323180_522
OG0000072	WP_010942651.1	Utg323152_535
OG0000072	WP_010942376.1	Utg323180_521
OG0000073	WP_235045002.1	Utg323160_62, Utg323180_197, Utg323632_357, Utg323180_298, Utg323180_233, Utg324548_6, Utg323140_124
OG0000074	WP_010940892.1	Utg323180_421, Utg325220_79
OG0000075	WP_010944017.1	Utg323160_84
OG0000076	WP_010942860.1, WP_010942858.1	Utg323180_458, Utg323152_263
OG0000077	WP_010941855.1	Utg323074_141
OG0000078	WP_010942352.1	Utg323152_397
OG0000079	WP_010942999.1	Utg323160_93, Utg323180_41, Utg323990_42
OG0000080	WP_010940950.1	Utg323140_241
OG0000081	WP_010940930.1	Utg323266_79
OG0000082	WP_010941678.1, WP_010943655.1	Utg323392_216, Utg323152_318
OG0000085	WP_010940999.1, WP_010940757.1	Utg323180_592
OG0000087	WP_010942653.1	Utg323140_87, Utg323152_497, Utg323632_128
OG0000088	WP_010940968.1, WP_010942862.1, WP_010943817.1	Utg323180_457, Utg323152_262
OG0000089	WP_010943038.1, WP_010942202.1	Utg324548_40, Utg323140_37
OG0000091	WP_010941129.1	Utg323180_478
OG0000092	WP_010940844.1	Utg323300_130
OG0000092	WP_010942735.1	Utg323152_94
OG0000093	WP_010941779.1	Utg323180_45
OG0000094	WP_010941286.1	Utg323074_170
OG0000095	WP_010940777.1	Utg323300_425
OG0000095	WP_010942900.1	Utg323990_63
OG0000097	WP_010941879.1	Utg323266_4, Utg323152_498, Utg323160_75, Utg323266_3, Utg323160_123
OG0000098	WP_010942377.1	Utg323180_520
OG0000098	WP_010942650.1	Utg323152_561
OG0000100	WP_010941165.1	Utg323632_82
OG0000101	WP_010943782.1, WP_010943090.1	Utg323266_38, Utg323180_20
OG0000102	WP_010941507.1	Utg323632_122
OG0000103	WP_010941607.1, WP_010942480.1	Utg323316_301, Utg323180_100
OG0000104	WP_262421275.1	Utg323074_23, Utg323300_86, Utg323316_337
OG0000105	WP_010942250.1	Utg323392_148
OG0000105	WP_010941127.1, WP_010941128.1	Utg323180_490
OG0000106	WP_010943341.1	Utg323300_138, Utg323300_125, Utg323316_317
OG0000107	WP_010942207.1	Utg323266_55
OG0000108	WP_010940958.1	Utg323180_244, Utg323392_40, Utg323180_651, Utg323180_650
OG0000110	WP_235044926.1	Utg323140_35
OG0000112	WP_010942274.1	Utg323300_361
OG0000113	WP_010942320.1	Utg323316_179
OG0000114	WP_010943165.1	Utg323448_59
OG0000115	WP_010943892.1	Utg323300_341
OG0000115	WP_010944056.1, WP_010942772.1	Utg323990_86
OG0000116	WP_010941178.1	Utg323300_387
OG0000117	WP_010941759.1	Utg323140_129
OG0000118	WP_010941758.1	Utg323140_128
OG0000119	WP_010943592.1	Utg323180_425
OG0000120	WP_010942080.1	Utg323140_117
OG0000121	WP_010942597.1	Utg323074_180
OG0000122	WP_010943368.1, WP_010943370.1	Utg323300_431, Utg323262_85
OG0000123	WP_010943384.1	Utg325220_102
OG0000125	WP_010942746.1	Utg323316_156
OG0000126	WP_010943126.1	Utg323392_137
OG0000126	WP_010943898.1	Utg323140_162
OG0000128	WP_010941589.1	Utg323180_277
OG0000128	WP_010943853.1	Utg323152_202
OG0000129	WP_010941713.1	Utg323180_691
OG0000130	WP_235044863.1, WP_010942184.1	Utg323140_62, Utg323632_319
OG0000131	WP_010942881.1	Utg323074_120
OG0000133	WP_010941757.1	Utg323140_126
OG0000134	WP_010942241.1	Utg323140_101
OG0000136	WP_010941670.1	Utg323152_230
OG0000138	WP_010941764.1	Utg323392_64
OG0000142	WP_010942899.1	Utg323180_616
OG0000143	WP_010941975.1	Utg323140_49
OG0000143	WP_010943891.1	Utg323180_33
OG0000144	WP_010941593.1, WP_041914047.1	Utg323392_195
OG0000144	WP_010941482.1	Utg323392_160
OG0000145	WP_010942949.1	Utg323180_144, Utg323180_511, Utg323074_35, Utg323074_36
OG0000147	WP_010942139.1	Utg323392_141
OG0000147	WP_010940995.1	Utg323632_318
OG0000149	WP_276524822.1, WP_010943517.1	Utg323300_144
OG0000150	WP_010943710.1	Utg323152_400, Utg323316_140, Utg323300_310
OG0000151	WP_010942486.1	Utg323316_242
OG0000152	WP_010942382.1	Utg323180_516
OG0000152	WP_010942374.1	Utg323180_523
OG0000153	WP_010943806.1, WP_010941511.1	Utg323180_413, Utg323300_187
OG0000154	WP_010943751.1	Utg323160_129, Utg323266_10
OG0000156	WP_010942747.1	Utg323316_158
OG0000159	WP_010943532.1	Utg323180_417
OG0000160	WP_010941051.1, WP_010940903.1	Utg323180_213
OG0000163	WP_010940702.1, WP_010942942.1	Utg323160_83, Utg323262_107
OG0000164	WP_010941317.1	Utg323300_166
OG0000165	WP_010942470.1	Utg323140_175
OG0000166	WP_010943267.1	Utg323632_248, Utg324810_90
OG0000167	WP_010943983.1	Utg323140_81, Utg323152_436
OG0000168	WP_010942284.1	Utg323300_260
OG0000169	WP_010942556.1	Utg323152_503, Utg323392_14
OG0000170	WP_010942052.1	Utg323300_350
OG0000173	WP_010943577.1, WP_010941118.1	Utg324810_59
OG0000174	WP_010944064.1	Utg323180_604
OG0000174	WP_235044909.1	Utg323266_90
OG0000175	WP_262421276.1	Utg323160_23, Utg325220_73, Utg323392_235, Utg323300_462, Utg323160_47
OG0000176	WP_010941450.1	Utg324810_46
OG0000179	WP_010943665.1	Utg323152_376
OG0000180	WP_010941864.1	Utg323262_181, Utg323262_184
OG0000181	WP_010942627.1	Utg323316_243
OG0000183	WP_010941007.1	Utg323632_25
OG0000184	WP_010943067.1	Utg323392_66
OG0000185	WP_041914029.1	Utg323316_113
OG0000186	WP_010941475.1, WP_010942088.1	Utg323392_251
OG0000187	WP_010943488.1	Utg323448_60, Utg323448_47
OG0000188	WP_010942212.1, WP_193360263.1, WP_010941847.1	Utg323300_307
OG0000190	WP_010943251.1	Utg323140_75
OG0000191	WP_010940707.1	Utg323180_105
OG0000191	WP_010941690.1	Utg323266_48
OG0000192	WP_010940935.1	Utg323180_399
OG0000196	WP_010941009.1	Utg323632_23
OG0000197	WP_010941767.1	Utg323448_28
OG0000198	WP_010942442.1	Utg323152_174
OG0000199	WP_010940692.1	Utg323152_198
OG0000200	WP_010940782.1	Utg323160_40, Utg323074_145
OG0000201	WP_010942481.1, WP_010941167.1	Utg323180_6
OG0000202	WP_010944059.1, WP_010943805.1, WP_010941512.1	Utg325220_64, Utg323140_270, Utg323300_104
OG0000205	WP_275450049.1	Utg323266_99
OG0000207	WP_010942266.1	Utg323266_113
OG0000208	WP_010942265.1	Utg323266_114
OG0000209	WP_010942096.1	Utg323316_339
OG0000210	WP_010941518.1	Utg323300_167
OG0000211	WP_010940834.1	Utg323140_182
OG0000212	WP_010941451.1	Utg324810_52
OG0000213	WP_010942048.1	Utg323180_404
OG0000214	WP_010943452.1, WP_010943323.1, WP_010943453.1	Utg323632_45
OG0000215	WP_010942713.1	Utg324810_67
OG0000216	WP_010943613.1	Utg323316_146
OG0000217	WP_010942056.1	Utg324548_25, Utg323262_16
OG0000218	WP_010941105.1	Utg323632_371, Utg323266_87, Utg323266_88
OG0000219	WP_010942171.1	Utg323180_543, Utg323300_291
OG0000220	WP_010941820.1	Utg323180_556
OG0000222	WP_010942108.1	Utg323262_114
OG0000223	WP_010942050.1	Utg323392_219
OG0000224	WP_010942097.1	Utg323152_490
OG0000225	WP_010943944.1	Utg323152_460
OG0000226	WP_010943254.1, WP_010943255.1	Utg323300_329
OG0000227	WP_010943010.1	Utg323632_351
OG0000228	WP_010940759.1	Utg323074_134
OG0000229	WP_010942321.1	Utg325220_87
OG0000233	WP_010943635.1	Utg323152_10
OG0000234	WP_010943824.1, WP_010940956.1	Utg323990_146
OG0000235	WP_010942669.1	Utg323180_210, Utg323300_358
OG0000236	WP_235044991.1, WP_235044960.1, WP_010943847.1, WP_235044941.1	Utg323152_193
OG0000239	WP_010943048.1	Utg323266_22, Utg324548_14
OG0000240	WP_010941505.1	Utg323152_13, Utg323180_454
OG0000241	WP_010942954.1	Utg324548_15
OG0000241	WP_010941508.1	Utg323262_144
OG0000242	WP_235044978.1	Utg323152_279, Utg323632_279, Utg323152_284
OG0000243	WP_010942841.1	Utg323180_67, Utg323266_94, Utg323160_100, Utg323160_101
OG0000245	WP_010943105.1	Utg323316_355
OG0000246	WP_010943032.1	Utg323180_115, Utg323180_52
OG0000246	WP_045667367.1, WP_235044935.1	Utg323180_624
OG0000248	WP_010940826.1	Utg323140_188
OG0000249	WP_010943406.1, WP_010943405.1	Utg323632_328
OG0000250	WP_010943679.1	Utg323152_330
OG0000252	WP_010941013.1	Utg323632_22
OG0000253	WP_010943698.1, WP_010943699.1	Utg323632_102
OG0000255	WP_010943746.1, WP_010941236.1	Utg323140_209
OG0000256	WP_010943449.1	Utg323632_47
OG0000257	WP_010943933.1	Utg323990_211
OG0000257	WP_010941115.1	Utg324810_19
OG0000258	WP_235044999.1	Utg323316_263
OG0000259	WP_010942654.1	Utg323990_75
OG0000260	WP_010942469.1	Utg323140_174
OG0000262	WP_010943062.1, WP_010941612.1, WP_010941613.1, WP_010941843.1	Utg323152_138, Utg323152_139
OG0000264	WP_010940789.1	Utg323262_53, Utg323300_385
OG0000265	WP_010940787.1	Utg323262_60, Utg323300_383
OG0000266	WP_010941002.1	Utg323262_57, Utg323300_345
OG0000267	WP_010944011.1, WP_010942780.1, WP_010941497.1, WP_010941986.1	Utg323316_169
OG0000270	WP_010941762.1	Utg323140_132
OG0000271	WP_010943344.1	Utg323266_111, Utg323140_109
OG0000272	WP_010942075.1	Utg324810_29, Utg323152_381
OG0000273	WP_010941196.1	Utg323392_256, Utg323448_108
OG0000274	WP_010943288.1	Utg323160_113
OG0000277	WP_010940802.1, WP_010943774.1	Utg323990_152
OG0000278	WP_010942980.1	Utg323632_18, Utg323990_104
OG0000280	WP_010941072.1, WP_010940808.1	Utg323152_299, Utg323152_300
OG0000281	WP_010941524.1	Utg323392_84
OG0000282	WP_010943444.1	Utg323262_154
OG0000283	WP_010940799.1	Utg324810_45
OG0000284	WP_010942003.1, WP_010941315.1, WP_010941575.1	Utg323300_134
OG0000285	WP_010941784.1	Utg324548_26
OG0000288	WP_010942662.1	Utg323180_284
OG0000288	WP_010943065.1	Utg323152_159
OG0000289	WP_010941147.1	Utg323392_229
OG0000290	WP_010944031.1	Utg323990_110
OG0000291	WP_010942449.1	Utg323152_390
OG0000292	WP_010941250.1	Utg323448_29
OG0000293	WP_010941006.1	Utg323632_26
OG0000295	WP_010942132.1	Utg323074_122
OG0000296	WP_010943239.1, WP_010942391.1	Utg323180_360, Utg323140_32, Utg323300_349
OG0000297	WP_010943720.1	Utg323160_80, Utg323160_79
OG0000299	WP_010941531.1	Utg323392_237, Utg323632_41
OG0000300	WP_010941042.1	Utg323180_71, Utg324810_53
OG0000301	WP_010943464.1	Utg323448_82
OG0000302	WP_010940762.1	Utg323180_186, Utg323262_78
OG0000303	WP_235044981.1	Utg323990_183, Utg323990_188
OG0000305	WP_010943229.1, WP_010941629.1	Utg323990_250
OG0000307	WP_010944039.1	Utg323632_13
OG0000308	WP_010941014.1, WP_010944044.1	Utg323632_21
OG0000309	WP_010942664.1	Utg323300_194
OG0000310	WP_010942151.1	Utg323074_211
OG0000312	WP_010944022.1	Utg323632_140, Utg323632_141
OG0000314	WP_010941016.1	Utg323632_19
OG0000315	WP_010941223.1	Utg323160_50, Utg323262_195
OG0000316	WP_010942400.1	Utg323180_263
OG0000318	WP_010941278.1	Utg323316_214
OG0000318	WP_235045030.1	Utg323316_207
OG0000320	WP_010942929.1	Utg323300_402
OG0000321	WP_010942347.1	Utg323316_81
OG0000325	WP_010941180.1	Utg323140_86, Utg323632_345, Utg323632_283
OG0000326	WP_010941340.1	Utg323990_210
OG0000327	WP_010944012.1	Utg323152_563
OG0000328	WP_235044973.1	Utg323074_89
OG0000331	WP_010942832.1	Utg323074_59
OG0000332	WP_010940771.1	Utg323632_344, Utg323632_343
OG0000333	WP_010942670.1	Utg323300_359
OG0000335	WP_010942466.1	Utg323316_153, Utg323300_388, Utg323300_389
OG0000336	WP_010942655.1	Utg323990_76
OG0000337	WP_010942393.1	Utg323632_59
OG0000338	WP_010941156.1	Utg323300_340
OG0000339	WP_010941334.1	Utg323152_478
OG0000340	WP_010941922.1	Utg323140_255
OG0000341	WP_010942355.1	Utg325220_86
OG0000343	WP_010943700.1	Utg323632_101
OG0000344	WP_010943614.1	Utg323316_147
OG0000345	WP_010942401.1	Utg323140_249
OG0000346	WP_010940764.1	Utg323262_77
OG0000348	WP_010941927.1	Utg323140_253
OG0000350	WP_235044984.1	Utg323266_68, Utg323392_31
OG0000351	WP_010941822.1, WP_010942781.1, WP_010941496.1, WP_235044931.1, WP_010941985.1	Utg323316_170
OG0000352	WP_010943711.1	Utg323300_309
OG0000353	WP_010943880.1	Utg323152_411
OG0000355	WP_010941203.1	Utg323180_503
OG0000356	WP_010942796.1, WP_010943738.1	Utg325220_24, Utg323152_199
OG0000357	WP_010942533.1	Utg323140_190
OG0000358	WP_010941267.1	Utg323180_133
OG0000359	WP_010944058.1, WP_010943345.1	Utg323266_112, Utg323140_110
OG0000360	WP_010942731.1	Utg323448_18
OG0000361	WP_010940962.1	Utg323392_154
OG0000363	WP_010940854.1	Utg323632_65, Utg323266_83
OG0000364	WP_010941270.1	Utg323448_115, Utg324810_20, Utg323180_185
OG0000365	WP_010943250.1	Utg323300_405, Utg323140_74
OG0000366	WP_010941660.1	Utg323180_120
OG0000370	WP_010940937.1	Utg323074_44
OG0000371	WP_235044970.1, WP_010942091.1	Utg323300_419, Utg323180_627
OG0000378	WP_275450045.1	Utg323300_225
OG0000379	WP_010941941.1	Utg324548_30
OG0000381	WP_010943166.1	Utg323266_59, Utg323262_166
OG0000382	WP_010943654.1	Utg323152_317
OG0000384	WP_010942061.1, WP_010943430.1	Utg323632_224, Utg323392_7
OG0000385	WP_235044980.1	Utg323990_182, Utg323990_189
OG0000388	WP_010942249.1	Utg323392_149
OG0000389	WP_010944066.1, WP_010940805.1	Utg325220_115
OG0000390	WP_010941122.1	Utg323152_156
OG0000391	WP_010942461.1	Utg323392_139
OG0000393	WP_010943825.1	Utg323392_115
OG0000394	WP_010943002.1	Utg323632_227
OG0000395	WP_010942541.1	Utg323392_102
OG0000396	WP_010942725.1	Utg323316_308
OG0000397	WP_010943018.1	Utg323152_152
OG0000398	WP_010941523.1	Utg323316_283
OG0000399	WP_010943768.1	Utg323074_27
OG0000400	WP_010943724.1	Utg323074_129
OG0000401	WP_010940699.1	Utg323448_26
OG0000402	WP_223106389.1	Utg323990_13
OG0000402	WP_010942160.1, WP_010943148.1	Utg323074_201
OG0000403	WP_010941483.1	Utg323392_161
OG0000404	WP_010942824.1	Utg323632_90
OG0000406	WP_010941749.1	Utg323300_304, Utg323632_208
OG0000407	WP_010941720.1	Utg323300_231
OG0000408	WP_010943001.1	Utg323316_309
OG0000409	WP_010943829.1	Utg323152_214, Utg323152_215
OG0000410	WP_010941931.1	Utg323180_618
OG0000411	WP_010940979.1	Utg323180_184
OG0000412	WP_010940997.1	Utg323632_307
OG0000413	WP_010942923.1	Utg323632_56
OG0000414	WP_010941756.1	Utg323140_130
OG0000415	WP_010943593.1	Utg323180_424
OG0000418	WP_010943506.1	Utg323632_29
OG0000419	WP_010941890.1, WP_010941487.1	Utg323990_112
OG0000421	WP_010943179.1, WP_164930432.1, WP_010942103.1	Utg323300_89
OG0000422	WP_010943000.1	Utg323316_306
OG0000423	WP_010942177.1	Utg323152_258, Utg323152_259
OG0000425	WP_010940943.1	Utg323632_72
OG0000426	WP_010943019.1	Utg323152_151
OG0000427	WP_010943733.1	Utg323448_41
OG0000428	WP_010941481.1, WP_010942544.1, WP_010941594.1	Utg323392_159
OG0000430	WP_010941255.1, WP_010942639.1, WP_010942850.1	Utg323152_270, Utg323152_281
OG0000431	WP_010942742.1	Utg323140_38, Utg323392_85
OG0000432	WP_010941578.1	Utg323300_442, Utg323152_538
OG0000433	WP_010941430.1	Utg323316_347
OG0000434	WP_010943321.1	Utg323316_227, Utg323180_553
OG0000435	WP_010941462.1	Utg323316_84
OG0000436	WP_235044860.1	Utg323152_368
OG0000438	WP_010941116.1	Utg323152_420
OG0000439	WP_010943881.1	Utg323152_408
OG0000440	WP_010941436.1	Utg323152_402
OG0000443	WP_010943783.1	Utg324810_34
OG0000444	WP_010940703.1	Utg323152_45
OG0000445	WP_010941856.1	Utg323152_295
OG0000446	WP_010941087.1	Utg323152_316
OG0000447	WP_010942329.1	Utg323180_327, Utg323990_241, Utg323392_129
OG0000448	WP_010944005.1	Utg323152_562
OG0000449	WP_010942222.1	Utg323152_593
OG0000452	WP_010943275.1	Utg323300_444, Utg323152_543
OG0000457	WP_010942557.1	Utg323140_93
OG0000458	WP_010943913.1, WP_010942869.1	Utg323632_292
OG0000459	WP_010942547.1	Utg323152_197
OG0000460	WP_010942228.1	Utg323632_251
OG0000461	WP_010940711.1	Utg323266_1, Utg323180_610
OG0000462	WP_010941479.1	Utg323392_157
OG0000463	WP_010942901.1	Utg323152_557
OG0000465	WP_010943901.1	Utg323316_131
OG0000466	WP_010943714.1, WP_010941574.1	Utg323316_143
OG0000467	WP_010940977.1	Utg324810_50
OG0000468	WP_010941157.1	Utg323152_550
OG0000469	WP_235045036.1, WP_010941169.1	Utg323300_339
OG0000470	WP_010940811.1	Utg323632_217
OG0000471	WP_010942071.1	Utg323180_23
OG0000472	WP_010943177.1	Utg323990_82
OG0000473	WP_010940976.1	Utg324810_49
OG0000474	WP_010941000.1	Utg323392_19
OG0000475	WP_010942285.1	Utg323300_262
OG0000476	WP_010942721.1, WP_010943097.1	Utg323448_21
OG0000477	WP_010941662.1	Utg323316_316
OG0000478	WP_010943615.1	Utg323316_148
OG0000479	WP_010940705.1	Utg323152_47
OG0000480	WP_010942395.1	Utg323448_83
OG0000481	WP_010942262.1, WP_010940718.1	Utg323316_184
OG0000482	WP_010941444.1	Utg323300_126
OG0000484	WP_010943984.1	Utg323300_196
OG0000485	WP_010940706.1	Utg323152_48
OG0000486	WP_010942693.1	Utg323152_439
OG0000487	WP_010943830.1	Utg323152_216
OG0000488	WP_010941054.1	Utg323160_29
OG0000489	WP_010942709.1	Utg323392_46
OG0000490	WP_010941675.1	Utg323180_708
OG0000491	WP_010941876.1	Utg323074_142
OG0000492	WP_010941312.1, WP_010941313.1	Utg323180_163
OG0000493	WP_010942580.1	Utg323300_317
OG0000494	WP_010942170.1	Utg323300_293
OG0000495	WP_010943252.1	Utg323152_176
OG0000496	WP_010942910.1	Utg323632_52
OG0000497	WP_010941636.1, WP_010942416.1	Utg323632_236
OG0000498	WP_010942417.1	Utg323632_237
OG0000499	WP_010942708.1	Utg323300_95, Utg323180_506
OG0000500	WP_010942876.1	Utg323448_101
OG0000502	WP_010942548.1	Utg323152_196
OG0000503	WP_010941055.1	Utg323180_35
OG0000504	WP_010941928.1	Utg323180_617
OG0000505	WP_010941251.1	Utg323316_99, Utg323266_72
OG0000506	WP_010942552.1	Utg323262_175, Utg323152_506
OG0000507	WP_010941554.1	Utg323180_43
OG0000508	WP_010940877.1	Utg323300_12
OG0000509	WP_010943992.1	Utg323160_78
OG0000510	WP_010940919.1	Utg323180_484
OG0000511	WP_010941133.1, WP_010942396.1	Utg323316_346
OG0000512	WP_010943245.1	Utg323074_26
OG0000513	WP_010942286.1	Utg323300_263
OG0000514	WP_010942904.1, WP_010941664.1	Utg323632_76
OG0000515	WP_010942903.1	Utg323152_558
OG0000516	WP_010942477.1	Utg323180_611, Utg323266_2
OG0000517	WP_010941039.1	Utg323262_106
OG0000518	WP_010942917.1, WP_010941533.1	Utg323180_544
OG0000519	WP_010943550.1, WP_010943549.1	Utg323152_229
