Orthogroup	Shewanella oneidensis MR-1	Desulfovibrio vulgaris DP4
OG0000076	WP_011072185.1	WP_010939190.1
OG0000076	WP_011073088.1	WP_223294670.1
OG0000077	WP_011073434.1	WP_010938705.1
OG0000077	WP_011071152.1	WP_011792992.1
OG0000080	WP_011070637.1	WP_011791635.1
OG0000080	WP_011073977.1	WP_223294589.1
OG0000081	WP_011073637.1	WP_010940308.1
OG0000082	WP_011071708.1, WP_011073949.1	WP_011793183.1, WP_010937942.1, WP_010939878.1, WP_010939503.1, WP_011793168.1, WP_010937359.1
OG0000083	WP_011071956.1, WP_011073783.1	WP_081428975.1
OG0000083	WP_011071686.1	WP_223294658.1, WP_011792935.1
OG0000083	WP_011071482.1, WP_011070470.1	WP_043629947.1, WP_010938152.1
OG0000083	WP_164925748.1	WP_049758075.1
OG0000084	WP_011070711.1	WP_011791721.1
OG0000085	WP_011073685.1	WP_011791400.1
OG0000085	WP_011073684.1	WP_011792371.1
OG0000086	WP_011071335.1	WP_011792617.1
OG0000086	WP_011073755.1	WP_011792094.1
OG0000087	WP_011071100.1	WP_010939136.1
OG0000087	WP_011071464.1	WP_010940040.1
OG0000088	WP_274544479.1, WP_011073093.1	WP_011792102.1
OG0000088	WP_011072184.1	WP_011792134.1
OG0000091	WP_011072711.1	WP_043629736.1
OG0000092	WP_011071174.1	WP_011791541.1
OG0000093	WP_011073475.1	WP_010938329.1, WP_011787300.1
OG0000094	WP_011074278.1	WP_011792116.1
OG0000095	WP_011072735.1	WP_011792244.1
OG0000096	WP_011070949.1, WP_011071828.1	WP_011791391.1
OG0000099	WP_011072500.1, WP_165443312.1	WP_011792998.1
OG0000100	WP_011073485.1, WP_011073486.1	WP_010939709.1, WP_011791837.1
OG0000101	WP_011072328.1, WP_011072538.1	WP_010939270.1
OG0000103	WP_011073353.1, WP_011071066.1, WP_011073588.1	WP_010938528.1
OG0000105	WP_011072710.1, WP_011074037.1, WP_164925736.1	WP_010938500.1
OG0000106	WP_011074309.1, WP_011070542.1	WP_011792615.1
OG0000107	WP_011073518.1	WP_011791952.1
OG0000110	WP_011072317.1, WP_164925686.1	WP_010938886.1
OG0000110	WP_164925741.1	WP_010939354.1
OG0000112	WP_011070877.1	WP_011792830.1, WP_011792050.1
OG0000113	WP_011070488.1, WP_193378422.1	WP_010940378.1
OG0000114	WP_011071132.1	WP_011792216.1, WP_010938595.1
OG0000115	WP_011070766.1	WP_010939125.1
OG0000117	WP_238560518.1	WP_011791710.1
OG0000117	WP_011071862.1	WP_011791822.1
OG0000118	WP_011071863.1	WP_011791821.1
OG0000119	WP_011073622.1, WP_011074079.1	WP_011793090.1
OG0000121	WP_011073062.1	WP_011791564.1
OG0000122	WP_011073479.1	WP_011792236.1, WP_011792793.1, WP_011792231.1
OG0000123	WP_011073092.1	WP_011792099.1
OG0000123	WP_011072319.1	WP_010938887.1
OG0000126	WP_011073889.1, WP_011071224.1	WP_010940460.1
OG0000127	WP_011070937.1	WP_010937986.1
OG0000127	WP_011070936.1	WP_181409358.1
OG0000128	WP_011072719.1, WP_164925918.1	WP_011791538.1
OG0000129	WP_011074222.1, WP_011072440.1	WP_010937945.1
OG0000130	WP_011073813.1	WP_223294580.1
OG0000131	WP_011074276.1	WP_011791342.1
OG0000131	WP_011073076.1	WP_011792836.1, WP_010937626.1
OG0000133	WP_011071864.1	WP_010938383.1
OG0000133	WP_011073952.1	WP_011791712.1
OG0000134	WP_011070453.1	WP_010938551.1
OG0000135	WP_011072682.1	WP_011791597.1
OG0000135	WP_011072007.1	WP_011792726.1
OG0000136	WP_011070754.1	WP_049758095.1
OG0000136	WP_011072090.1, WP_011073658.1	WP_223294604.1
OG0000137	WP_011073955.1	WP_010939936.1, WP_010939747.1
OG0000138	WP_011072530.1, WP_011073460.1	WP_011792381.1
OG0000138	WP_011072065.1	WP_010940324.1
OG0000141	WP_011071946.1, WP_011071945.1, WP_172966568.1	WP_011791661.1
OG0000143	WP_011070643.1, WP_011070826.1, WP_011072164.1	WP_011792337.1
OG0000145	WP_011072293.1, WP_274544323.1	WP_043629618.1
OG0000147	WP_011073810.1	WP_011792469.1
OG0000150	WP_011071499.1	WP_010939076.1
OG0000154	WP_011071098.1, WP_011072297.1	WP_011792501.1
OG0000154	WP_011074213.1	WP_011792990.1
OG0000155	WP_011071290.1	WP_010938876.1
OG0000156	WP_011072753.1, WP_172966557.1	WP_011791968.1, WP_011791646.1
OG0000157	WP_011071063.1	WP_014524605.1, WP_010940371.1, WP_010940197.1, WP_010938057.1, WP_011792645.1, WP_049758070.1, WP_010938275.1
OG0000160	WP_011073363.1, WP_011072083.1, WP_011073275.1	WP_010939839.1
OG0000161	WP_011070722.1	WP_010937923.1
OG0000161	WP_011071608.1	WP_011791997.1
OG0000162	WP_011072995.1, WP_011073912.1	WP_010938840.1, WP_011792479.1, WP_011791513.1
OG0000163	WP_011072686.1	WP_010940363.1
OG0000164	WP_011072564.1	WP_011791543.1
OG0000164	WP_011070705.1	WP_011791450.1
OG0000165	WP_011072113.1	WP_011787399.1, WP_010938560.1
OG0000166	WP_011072678.1	WP_011791768.1
OG0000168	WP_011070460.1, WP_011072275.1	WP_010937578.1, WP_010937835.1, WP_010939250.1, WP_010939253.1
OG0000169	WP_011072289.1	WP_011792420.1
OG0000169	WP_164925791.1	WP_010937667.1
OG0000170	WP_011072841.1, WP_011071331.1, WP_164925722.1	WP_011792245.1
OG0000172	WP_011072346.1	WP_011791666.1, WP_011791356.1
OG0000172	WP_011071837.1	WP_011791937.1
OG0000173	WP_011074241.1, WP_011072043.1, WP_011074115.1, WP_011070952.1, WP_011072168.1, WP_011074070.1	WP_010939858.1
OG0000176	WP_011072162.1	WP_011791793.1, WP_011792152.1, WP_010939204.1
OG0000177	WP_011072883.1	WP_081428865.1
OG0000179	WP_011073121.1, WP_011073122.1	WP_010938734.1, WP_010939715.1, WP_010939359.1
OG0000183	WP_011071285.1	WP_010937739.1, WP_011791957.1
OG0000184	WP_011073828.1	WP_010940610.1
OG0000185	WP_011071291.1	WP_081428874.1
OG0000186	WP_011072441.1	WP_011792222.1
OG0000187	WP_011070604.1, WP_011070615.1	WP_010940180.1
OG0000189	WP_011073743.1	WP_011791869.1
OG0000189	WP_011074152.1, WP_011073532.1, WP_011073389.1, WP_011074151.1	WP_011792391.1
OG0000190	WP_011074103.1	WP_010939066.1, WP_011793101.1
OG0000192	WP_011071668.1	WP_011791950.1
OG0000193	WP_011071804.1	WP_011793185.1, WP_010939362.1
OG0000195	WP_011072959.1	WP_011791944.1
OG0000200	WP_011073090.1	WP_010939353.1
OG0000200	WP_011074346.1, WP_202950646.1	WP_011176580.1
OG0000201	WP_011073893.1	WP_011792846.1
OG0000201	WP_164925869.1	WP_011792442.1
OG0000203	WP_011074121.1	WP_011791587.1, WP_011791454.1
OG0000205	WP_011072292.1	WP_011791601.1, WP_010937341.1, WP_011791913.1, WP_011792096.1, WP_011791373.1
OG0000207	WP_011071697.1	WP_011792220.1, WP_010940291.1
OG0000208	WP_011071698.1	WP_011791552.1, WP_010939070.1
OG0000210	WP_011070824.1	WP_010937439.1, WP_014524330.1
OG0000212	WP_011072160.1	WP_011792153.1, WP_010939209.1
OG0000213	WP_011073715.1	WP_010939854.1
OG0000214	WP_011071851.1	WP_011793117.1, WP_011793116.1
OG0000215	WP_011072513.1	WP_010937992.1
OG0000216	WP_011070906.1	WP_010938636.1, WP_011793129.1
OG0000217	WP_011072567.1	WP_010939133.1, WP_010939603.1, WP_223294665.1
OG0000218	WP_011073221.1	WP_010938558.1
OG0000219	WP_011073290.1	WP_014524381.1
OG0000220	WP_011071587.1	WP_010938294.1
OG0000221	WP_011072274.1, WP_011073067.1	WP_011792772.1
OG0000222	WP_011073677.1	WP_011791920.1, WP_223294689.1
OG0000223	WP_011071799.1	WP_010938648.1
OG0000225	WP_011072456.1	WP_010939784.1
OG0000226	WP_011071424.1, WP_011073006.1	WP_010939105.1
OG0000226	WP_011073007.1, WP_011071423.1	WP_010939106.1
OG0000227	WP_011072928.1	WP_011792871.1
OG0000228	WP_011072718.1	WP_011791456.1
OG0000228	WP_011073400.1	WP_011792579.1
OG0000230	WP_011070594.1, WP_238560519.1	WP_010939852.1
OG0000232	WP_011072554.1	WP_011791500.1
OG0000232	WP_011072555.1	WP_011791499.1
OG0000233	WP_011072421.1	WP_010938704.1
OG0000234	WP_007644947.1	WP_014524184.1, WP_010939427.1
OG0000235	WP_011070658.1	WP_010939791.1, WP_010938191.1
OG0000239	WP_011073040.1	WP_010937469.1
OG0000242	WP_011072198.1	WP_011792730.1
OG0000243	WP_011073841.1	WP_010940402.1
OG0000244	WP_011072179.1	WP_010940229.1
OG0000250	WP_011073096.1	WP_011791427.1, WP_010939149.1
OG0000252	WP_011071280.1	WP_011791958.1
OG0000253	WP_011073904.1	WP_011791802.1
OG0000253	WP_011073905.1	WP_011791801.1
OG0000254	WP_011071486.1	WP_010939526.1, WP_010940325.1
OG0000256	WP_011073793.1	WP_011787314.1
OG0000256	WP_238560588.1	WP_011793118.1
OG0000257	WP_011070755.1	WP_011791929.1
OG0000260	WP_011071974.1	WP_010939132.1
OG0000261	WP_011073468.1	WP_011792785.1
OG0000263	WP_011073465.1	WP_223294628.1
OG0000263	WP_011074170.1, WP_011071948.1, WP_011073757.1	WP_011791860.1
OG0000264	WP_011074330.1	WP_010938076.1
OG0000265	WP_011074332.1	WP_010938078.1
OG0000266	WP_011074335.1	WP_010938217.1
OG0000268	WP_238560570.1, WP_011071397.1	WP_011792764.1
OG0000270	WP_011071728.1	WP_011791353.1, WP_010937324.1
OG0000271	WP_011072821.1	WP_010940288.1
OG0000272	WP_011072181.1	WP_010938742.1
OG0000277	WP_011074053.1	WP_011791810.1
OG0000280	WP_011073661.1	WP_010937609.1
OG0000282	WP_011074294.1	WP_011792059.1, WP_011792618.1, WP_010937849.1, WP_010937434.1
OG0000283	WP_011072163.1	WP_011791794.1, WP_010939207.1
OG0000284	WP_011070541.1, WP_011072419.1	WP_011792788.1
OG0000285	WP_011072952.1	WP_010940031.1
OG0000286	WP_011071292.1	WP_011792784.1, WP_081428946.1
OG0000288	WP_164925856.1	WP_011792198.1
OG0000290	WP_011072343.1, WP_238560560.1	WP_011791783.1
OG0000291	WP_011071410.1	WP_010939194.1
OG0000291	WP_011071560.1	WP_011792170.1
OG0000294	WP_011073467.1	WP_011791660.1
OG0000295	WP_011073887.1	WP_223294586.1
OG0000296	WP_011072380.1	WP_010940232.1, WP_010939150.1
OG0000297	WP_011072139.1	WP_011792575.1
OG0000299	WP_011073882.1	WP_011791465.1
OG0000300	WP_011072153.1	WP_010939567.1, WP_010939601.1
OG0000301	WP_011071783.1	WP_011792454.1
OG0000309	WP_011071595.1, WP_011070438.1	WP_010937603.1
OG0000311	WP_011072135.1	WP_010937595.1
OG0000312	WP_011070819.1	WP_011793105.1
OG0000320	WP_011072305.1	WP_011792826.1
OG0000323	WP_011074098.1	WP_010939476.1, WP_011791621.1
OG0000324	WP_011071654.1, WP_238560608.1, WP_011070844.1	WP_011792866.1
OG0000326	WP_011072729.1	WP_011792611.1
OG0000331	WP_011072391.1, WP_011070665.1	WP_043629609.1
OG0000332	WP_011072097.1	WP_011791449.1
OG0000333	WP_011072976.1	WP_011792647.1
OG0000335	WP_011070931.1	WP_011791909.1
OG0000337	WP_011071254.1, WP_011070598.1	WP_011792628.1
OG0000338	WP_011071236.1	WP_011793021.1
OG0000338	WP_011072304.1	WP_010939124.1
OG0000339	WP_011071571.1	WP_011791786.1
OG0000341	WP_011074400.1, WP_011074453.1	WP_011791904.1
OG0000343	WP_011073906.1	WP_011791800.1
OG0000345	WP_164925834.1	WP_010938967.1
OG0000347	WP_011072695.1	WP_010939522.1
OG0000349	WP_011071293.1, WP_011073469.1	WP_011792783.1
OG0000350	WP_011073022.1	WP_010938092.1
OG0000352	WP_011071500.1	WP_010939077.1
OG0000353	WP_011071907.1	WP_010939841.1
OG0000354	WP_011073845.1, WP_011073978.1	WP_010938317.1
OG0000355	WP_011072812.1	WP_011792771.1
OG0000356	WP_011073744.1	WP_010939497.1
OG0000357	WP_011073698.1, WP_011070483.1	WP_011792314.1
OG0000358	WP_011072420.1	WP_011792626.1
OG0000359	WP_011072820.1	WP_011791553.1
OG0000360	WP_007651015.1	WP_010938090.1, WP_010938970.1
OG0000361	WP_011072771.1	WP_010938503.1
OG0000366	WP_011072246.1	WP_011791409.1, WP_011791408.1
OG0000375	WP_011073160.1	WP_011791652.1
OG0000380	WP_011071378.1, WP_011071733.1, WP_011073704.1	WP_010939093.1
OG0000381	WP_011070926.1	WP_011791991.1
OG0000382	WP_011071707.1	WP_010937943.1, WP_010939504.1
OG0000382	WP_011073950.1	WP_011793167.1
OG0000388	WP_006081231.1	WP_010938501.1
OG0000389	WP_011072489.1, WP_011070448.1	WP_010940621.1
OG0000390	WP_011071396.1	WP_010937704.1, WP_010937714.1
OG0000391	WP_011074277.1	WP_010939193.1
OG0000392	WP_011070947.1	WP_011791927.1
OG0000393	WP_011070464.1	WP_011792321.1
OG0000394	WP_011073054.1, WP_011073075.1	WP_011792428.1
OG0000397	WP_011072925.1	WP_010937773.1
OG0000398	WP_011071816.1	WP_011792462.1
OG0000399	WP_011074310.1, WP_164925796.1	WP_010937883.1
OG0000400	WP_011072977.1, WP_011073596.1	WP_011791616.1
OG0000401	WP_011072333.1	WP_010939095.1
OG0000402	WP_011073147.1	WP_011791561.1
OG0000403	WP_011073692.1	WP_011792485.1
OG0000404	WP_011071509.1	WP_010940163.1
OG0000405	WP_011070770.1	WP_010940310.1
OG0000407	WP_007647520.1	WP_011792056.1
OG0000408	WP_238560562.1, WP_011073864.1	WP_011792429.1
OG0000409	WP_011071363.1	WP_011792140.1
OG0000410	WP_011071375.1	WP_010937473.1
OG0000411	WP_164925601.1, WP_011074142.1	WP_043629982.1
OG0000412	WP_011070563.1	WP_223294696.1
OG0000412	WP_011070657.1	WP_011792467.1
OG0000413	WP_011073296.1	WP_010937629.1
OG0000414	WP_011071865.1	WP_010938768.1, WP_011792538.1
OG0000415	WP_011073705.1, WP_011074080.1, WP_011073621.1	WP_011793093.1
OG0000418	WP_011072966.1	WP_011792638.1
OG0000419	WP_011072397.1	WP_011791482.1
OG0000420	WP_011073084.1	WP_011791475.1, WP_011792487.1
OG0000421	WP_011074212.1	WP_011792174.1
OG0000423	WP_164925682.1	WP_011793124.1
OG0000424	WP_011074411.1	WP_011792329.1
OG0000425	WP_011074325.1	WP_010940414.1
OG0000426	WP_011072245.1	WP_011792875.1
OG0000427	WP_011072306.1	WP_258312758.1
OG0000428	WP_011073691.1	WP_010938540.1
OG0000429	WP_011072763.1	WP_011793152.1
OG0000433	WP_011071889.1	WP_011793177.1
OG0000435	WP_011072708.1	WP_010937470.1
OG0000436	WP_011073144.1	WP_011791570.1, WP_011792953.1, WP_011792988.1
OG0000439	WP_011071906.1	WP_010939842.1
OG0000443	WP_011073208.1	WP_010939164.1
OG0000444	WP_011070433.1, WP_011074432.1, WP_011073269.1, WP_011071523.1	WP_014524613.1
OG0000446	WP_011073130.1	WP_010937614.1, WP_010938736.1
OG0000449	WP_011071298.1	WP_011792406.1
OG0000452	WP_011070761.1, WP_011072428.1, WP_011070965.1	WP_223294646.1
OG0000453	WP_011071070.1	WP_010940146.1
OG0000457	WP_011074002.1	WP_011791333.1
OG0000458	WP_011072562.1	WP_011792053.1
OG0000459	WP_011073913.1	WP_010940242.1
OG0000460	WP_011072676.1	WP_043629230.1
OG0000461	WP_011071367.1	WP_010938112.1
OG0000462	WP_011073690.1	WP_011792486.1
OG0000463	WP_011071797.1	WP_011792431.1
OG0000464	WP_011072390.1	WP_223294644.1
OG0000466	WP_006080725.1	WP_010939080.1
OG0000467	WP_011072155.1	WP_010937632.1
OG0000469	WP_011073401.1	WP_011792195.1
OG0000470	WP_011072536.1, WP_011073891.1	WP_011792673.1
OG0000471	WP_011072667.1	WP_010937702.1
OG0000472	WP_011073223.1	WP_011791932.1
OG0000473	WP_011072156.1	WP_010939210.1
OG0000474	WP_011071238.1	WP_043629567.1
OG0000475	WP_011073167.1	WP_011791402.1
OG0000476	WP_011071399.1	WP_011792707.1
OG0000478	WP_164925611.1	WP_011792446.1
OG0000479	WP_011072689.1	WP_011791861.1, WP_010940359.1
OG0000480	WP_006081934.1	WP_010937325.1, WP_010939491.1
OG0000481	WP_011074353.1	WP_219995814.1
OG0000482	WP_011070515.1, WP_011074122.1	WP_010937881.1
OG0000484	WP_011070446.1, WP_011071740.1, WP_011072239.1	WP_011791338.1
OG0000485	WP_011072690.1	WP_011791862.1, WP_010940358.1
OG0000486	WP_011073892.1	WP_011792689.1
OG0000487	WP_011071362.1	WP_010938229.1
OG0000488	WP_011073923.1, WP_011071649.1	WP_010938489.1
OG0000489	WP_011072308.1	WP_010938975.1
OG0000490	WP_011073738.1, WP_011072517.1	WP_010937352.1
OG0000491	WP_011073025.1	WP_011791780.1
OG0000492	WP_011072105.1	WP_011792326.1
OG0000493	WP_011070602.1	WP_011791776.1, WP_011792197.1
OG0000494	WP_011073291.1	WP_011792051.1
OG0000495	WP_011071232.1	WP_043629742.1
OG0000496	WP_011072269.1, WP_011072271.1	WP_011791907.1
OG0000497	WP_011070462.1	WP_011791930.1
OG0000498	WP_011070463.1, WP_011073289.1	WP_223294660.1
OG0000500	WP_011073302.1, WP_011070723.1	WP_011792097.1
OG0000501	WP_011073979.1	WP_010938312.1
OG0000502	WP_011073914.1	WP_011791592.1
OG0000503	WP_011073940.1	WP_011792249.1
OG0000504	WP_011071374.1	WP_010940372.1
OG0000505	WP_011072417.1	WP_011792089.1
OG0000506	WP_011073396.1	WP_010940239.1
OG0000507	WP_011072805.1	WP_011792008.1, WP_011792327.1
OG0000508	WP_011072950.1	WP_011792359.1
OG0000509	WP_011071177.1	WP_011792698.1
OG0000510	WP_164925926.1	WP_011787353.1
OG0000511	WP_011072320.1	WP_010938955.1
OG0000512	WP_011071575.1	WP_010937769.1
OG0000513	WP_011073166.1	WP_011791403.1
OG0000514	WP_011071796.1	WP_011791911.1
OG0000516	WP_011070666.1	WP_011793110.1
OG0000518	WP_011070475.1	WP_223294635.1, WP_014524349.1
OG0000519	WP_011071210.1	WP_011791791.1
OG0000520	WP_011071914.1	WP_010937630.1
OG0000521	WP_011072700.1	WP_010938037.1
OG0000522	WP_011070929.1	WP_011792155.1
OG0000523	WP_011071704.1	WP_010938645.1
OG0000524	WP_011070427.1, WP_011073645.1	WP_010937314.1
OG0000526	WP_011072542.1	WP_011791368.1
OG0000527	WP_011072327.1	WP_011792393.1
OG0000528	WP_011071395.1	WP_011791718.1
OG0000529	WP_011070851.1	WP_011791940.1
OG0000530	WP_011072392.1	WP_164561900.1
OG0000531	WP_011071357.1	WP_011793151.1
OG0000532	WP_011071368.1	WP_010940501.1
OG0000533	WP_011072568.1	WP_011792113.1
OG0000534	WP_011070880.1	WP_010938822.1
OG0000535	WP_011071476.1, WP_011071473.1	WP_011792779.1
OG0000536	WP_011071542.1	WP_010940049.1, WP_010940217.1
OG0000537	WP_011073663.1	WP_010938258.1
OG0000538	WP_011073746.1	WP_010939273.1
OG0000539	WP_011072201.1	WP_011792109.1
OG0000540	WP_011073236.1	WP_043629788.1
OG0000541	WP_011072254.1	WP_011792686.1
OG0000542	WP_011073694.1	WP_011793103.1, WP_011792943.1
OG0000543	WP_011072926.1	WP_011792874.1
OG0000544	WP_011072157.1	WP_010939602.1
OG0000545	WP_011072102.1	WP_010939218.1
OG0000546	WP_011071505.1, WP_011071161.1	WP_081428870.1
OG0000548	WP_011071430.1	WP_010938966.1
OG0000549	WP_011073367.1	WP_011792519.1, WP_223294639.1
OG0000550	WP_164925726.1	WP_011791414.1
OG0000551	WP_011071057.1	WP_011791394.1, WP_010939110.1
OG0000555	WP_011070543.1	WP_010938859.1
OG0000558	WP_011072569.1, WP_011073308.1	WP_010938694.1
OG0000560	WP_011071253.1	WP_011791495.1
OG0000566	WP_011072774.1	WP_011792887.1, WP_011792888.1
OG0000569	WP_011072791.1	WP_011792578.1, WP_010938457.1
OG0000570	WP_011071815.1	WP_011792432.1
OG0000571	WP_011070592.1	WP_011792452.1
OG0000572	WP_011071622.1, WP_011072167.1, WP_011073947.1, WP_011071353.1	WP_011791668.1
OG0000573	WP_011070600.1	WP_010939702.1, WP_010939490.1, WP_010938553.1
OG0000576	WP_011073695.1	WP_010938916.1
OG0000577	WP_011071502.1	WP_010939126.1
OG0000578	WP_011070425.1	WP_011791317.1
OG0000579	WP_011072382.1	WP_011792576.1
OG0000580	WP_011071401.1	WP_010938909.1
OG0000581	WP_011070605.1	WP_010940182.1
OG0000582	WP_011072691.1	WP_010938185.1
OG0000583	WP_011072298.1, WP_011073315.1	WP_011792506.1
OG0000584	WP_011070420.1	WP_010938376.1
OG0000585	WP_011070421.1	WP_010938375.1
OG0000586	WP_011070423.1	WP_010938373.1
OG0000587	WP_011073319.1	WP_011791757.1
OG0000588	WP_011071543.1	WP_011793193.1
OG0000589	WP_011073895.1	WP_010940177.1
OG0000590	WP_011071782.1	WP_011792493.1
OG0000591	WP_011071988.1	WP_010939154.1
OG0000592	WP_011070797.1	WP_010937795.1
