Orthogroup	Shewanella oneidensis MR-1	Acidithiobacillus ferrooxidans YNTRS-40
OG0000021	WP_011071923.1	WP_012537526.1
OG0000022	WP_011071803.1, WP_011072720.1, WP_011072576.1, WP_011071867.1, WP_011071042.1	WP_009564993.1
OG0000023	WP_011072287.1	WP_012536407.1
OG0000024	WP_011073749.1	WP_012536221.1
OG0000024	WP_011071227.1, WP_011072757.1, WP_011073255.1, WP_011071592.1, WP_011071684.1, WP_011073021.1, WP_011071370.1, WP_011072523.1, WP_011073558.1	WP_012536512.1
OG0000026	WP_006084975.1, WP_011070442.1	WP_012536917.1, WP_012537155.1
OG0000026	WP_164925607.1	WP_012537435.1, WP_226837036.1
OG0000027	WP_011074132.1, WP_011074128.1, WP_011070509.1	WP_012536289.1, WP_012536670.1
OG0000029	WP_011070465.1	WP_009562958.1
OG0000029	WP_011074263.1	WP_009564606.1
OG0000030	WP_011071301.1	WP_012536529.1
OG0000033	WP_011070784.1	WP_012537578.1, WP_012536825.1
OG0000033	WP_011074290.1	WP_012536110.1
OG0000034	WP_011073987.1	WP_012536817.1, WP_012535793.1
OG0000034	WP_011073735.1, WP_011073333.1, WP_011074281.1, WP_011072022.1	WP_012536972.1, WP_009566515.1
OG0000037	WP_238560573.1	WP_225487349.1, WP_012536406.1, WP_225487644.1, WP_012606573.1, WP_009565786.1, WP_111122549.1, WP_009567088.1
OG0000038	WP_011073885.1	WP_012537610.1, WP_009566921.1
OG0000038	WP_011073886.1	WP_009566923.1
OG0000039	WP_011072119.1	WP_051984662.1, WP_180830451.1
OG0000041	WP_011071116.1	WP_009564623.1, WP_009565495.1
OG0000042	WP_011071918.1	WP_012536431.1
OG0000045	WP_011070924.1	WP_225487636.1
OG0000046	WP_011073774.1	WP_012537032.1
OG0000047	WP_164925892.1	WP_257246645.1, WP_225487355.1, WP_252725196.1
OG0000048	WP_011072589.1	WP_009566815.1
OG0000049	WP_011073706.1, WP_011073980.1, WP_164925751.1, WP_011073209.1, WP_011072693.1, WP_238560579.1, WP_011073580.1, WP_011074421.1, WP_238560596.1	WP_009567000.1, WP_009567335.1
OG0000050	WP_011072948.1	WP_012536348.1
OG0000053	WP_164925924.1	WP_009565974.1
OG0000053	WP_011071230.1	WP_009564595.1
OG0000054	WP_011073962.1	WP_009567105.1, WP_009566737.1, WP_054609109.1, WP_009567310.1
OG0000054	WP_011073937.1	WP_009566294.1
OG0000055	WP_011073153.1	WP_012536590.1
OG0000058	WP_164925641.1	WP_009564125.1
OG0000059	WP_011070866.1	WP_012536962.1, WP_012607235.1, WP_012537141.1, WP_012537037.1
OG0000060	WP_011070776.1	WP_012536005.1
OG0000062	WP_011071925.1	WP_012537528.1
OG0000063	WP_011072151.1	WP_009560828.1, WP_151528215.1, WP_180830446.1, WP_151528213.1, WP_054608640.1, WP_257257267.1, WP_054608824.1, WP_012537288.1
OG0000065	WP_011071952.1, WP_011070961.1	WP_012536179.1
OG0000065	WP_011071919.1	WP_012536434.1
OG0000066	WP_011070485.1, WP_011072796.1	WP_012537102.1
OG0000068	WP_011073624.1	WP_229129785.1, WP_054608627.1, WP_012536413.1, WP_229129798.1, WP_061046414.1, WP_229129726.1, WP_031572380.1, WP_054608827.1, WP_009561902.1
OG0000069	WP_011072035.1	WP_012536062.1
OG0000070	WP_011074269.1	WP_012536036.1
OG0000077	WP_011073434.1, WP_011071244.1	WP_009562388.1
OG0000077	WP_011071152.1	WP_012536420.1
OG0000079	WP_011071515.1	WP_012537609.1
OG0000080	WP_011074382.1	WP_012537023.1
OG0000080	WP_011073024.1	WP_012537522.1
OG0000085	WP_011073684.1	WP_054609046.1, WP_012537430.1, WP_230456338.1
OG0000086	WP_011071335.1, WP_011073755.1	WP_054608841.1
OG0000091	WP_011074036.1	WP_012536362.1
OG0000091	WP_011072711.1	WP_009561353.1
OG0000092	WP_011072485.1, WP_011071838.1	WP_009562486.1
OG0000093	WP_011073475.1	WP_009564668.1
OG0000094	WP_011074278.1	WP_012607230.1
OG0000095	WP_011071060.1	WP_226834132.1
OG0000095	WP_011072735.1	WP_012536481.1
OG0000096	WP_011073337.1, WP_011074108.1	WP_012536996.1
OG0000096	WP_011071494.1	WP_012536595.1
OG0000101	WP_011072328.1, WP_011072538.1	WP_009560846.1
OG0000103	WP_011073353.1	WP_009566205.1
OG0000103	WP_011071066.1, WP_011073588.1	WP_054608900.1, WP_009567505.1
OG0000104	WP_011070888.1, WP_255211589.1	WP_012536433.1
OG0000105	WP_011072710.1	WP_012536834.1
OG0000106	WP_011074309.1, WP_011070542.1	WP_012536953.1
OG0000107	WP_011070652.1	WP_012537062.1
OG0000112	WP_011070877.1, WP_011072334.1, WP_011071211.1	WP_009567621.1
OG0000114	WP_011070614.1	WP_012536085.1
OG0000115	WP_011070766.1	WP_012536267.1
OG0000115	WP_011070806.1	WP_012537150.1
OG0000116	WP_011071533.1	WP_012536314.1
OG0000117	WP_238560518.1	WP_012536516.1, WP_012536851.1
OG0000118	WP_164925923.1	WP_012536852.1, WP_012536517.1
OG0000119	WP_011073418.1, WP_011074247.1, WP_011073419.1, WP_011074248.1	WP_012537040.1
OG0000120	WP_011071926.1	WP_012537529.1, WP_012607593.1
OG0000126	WP_011073889.1, WP_011071224.1, WP_011072559.1	WP_009561865.1
OG0000126	WP_164925838.1	WP_009562220.1
OG0000127	WP_011070937.1	WP_009562383.1
OG0000127	WP_011070936.1	WP_012536821.1
OG0000128	WP_011072719.1	WP_012537059.1
OG0000128	WP_164925918.1	WP_009562675.1
OG0000129	WP_011074177.1, WP_011072325.1, WP_011072531.1, WP_011072068.1	WP_012537381.1
OG0000129	WP_011074222.1	WP_009563104.1
OG0000131	WP_011074276.1	WP_012536872.1, WP_012536232.1
OG0000133	WP_011073952.1	WP_012536518.1
OG0000134	WP_011072921.1	WP_012536758.1
OG0000134	WP_011070453.1	WP_012536689.1, WP_012537087.1
OG0000135	WP_011072682.1, WP_011072007.1	WP_012536874.1
OG0000136	WP_011072090.1, WP_011073658.1	WP_226833862.1
OG0000141	WP_011071946.1, WP_011071945.1	WP_012536164.1
OG0000142	WP_011074267.1	WP_012536038.1
OG0000143	WP_011070643.1, WP_011070826.1, WP_011072164.1	WP_012535762.1
OG0000144	WP_011073693.1	WP_012535990.1
OG0000145	WP_011072293.1, WP_274544323.1	WP_012536065.1
OG0000147	WP_011070775.1	WP_012536474.1
OG0000148	WP_011073995.1	WP_012536891.1
OG0000150	WP_011071499.1	WP_012537129.1
OG0000151	WP_164925895.1	WP_012537514.1
OG0000158	WP_011072993.1, WP_011073603.1, WP_164925679.1	WP_054609079.1
OG0000158	WP_011071551.1	WP_009561172.1
OG0000160	WP_011072083.1, WP_011073275.1	WP_009562607.1
OG0000161	WP_011070722.1	WP_009562648.1
OG0000162	WP_011072995.1, WP_011073912.1	WP_009566069.1
OG0000163	WP_011072686.1	WP_009567122.1
OG0000164	WP_011072564.1	WP_012536835.1
OG0000164	WP_011070705.1	WP_009567465.1
OG0000165	WP_011072113.1	WP_012536452.1
OG0000165	WP_011074254.1	WP_012536010.1
OG0000166	WP_011072678.1	WP_012536041.1
OG0000166	WP_011074265.1	WP_226833941.1
OG0000168	WP_011070460.1	WP_012537672.1, WP_229129812.1
OG0000168	WP_011072275.1	WP_012536275.1
OG0000169	WP_011072289.1	WP_012536327.1
OG0000170	WP_011072841.1	WP_012536762.1
OG0000170	WP_011071331.1	WP_012607389.1, WP_012607334.1
OG0000172	WP_011072346.1	WP_054608868.1
OG0000172	WP_011071837.1	WP_012536912.1, WP_054609094.1
OG0000173	WP_011074241.1, WP_011072043.1, WP_011074115.1, WP_011070952.1, WP_011072168.1	WP_012536922.1
OG0000176	WP_011072162.1	WP_012537694.1
OG0000177	WP_238560515.1	WP_054608873.1
OG0000183	WP_011071285.1	WP_009566651.1, WP_009561179.1
OG0000184	WP_011073827.1	WP_009562054.1
OG0000186	WP_011072441.1	WP_009562903.1
OG0000187	WP_011070604.1, WP_011070615.1	WP_009566505.1
OG0000188	WP_011072672.1	WP_054608791.1, WP_012536043.1
OG0000189	WP_011072980.1	WP_012536119.1
OG0000190	WP_011074103.1	WP_012536152.1
OG0000191	WP_011073796.1	WP_012536198.1
OG0000192	WP_011071802.1	WP_012536873.1
OG0000192	WP_011071668.1	WP_012536361.1
OG0000193	WP_011071804.1	WP_012536453.1
OG0000195	WP_011072959.1	WP_012536731.1, WP_055448950.1, WP_054608711.1
OG0000197	WP_011070709.1	WP_012537576.1
OG0000198	WP_011071934.1	WP_012537594.1
OG0000200	WP_011073090.1, WP_011074346.1, WP_202950646.1, WP_011074338.1	WP_012537660.1
OG0000209	WP_011072940.1	WP_012536003.1
OG0000210	WP_011070824.1	WP_012536485.1, WP_009560819.1
OG0000211	WP_011073968.1	WP_009560875.1
OG0000212	WP_011072160.1	WP_009560877.1
OG0000213	WP_011073715.1	WP_012537665.1, WP_009566393.1, WP_009560966.1, WP_009560967.1
OG0000214	WP_011071851.1	WP_009562639.1, WP_012537439.1
OG0000215	WP_011072513.1	WP_009567346.1
OG0000216	WP_011070906.1	WP_012606601.1, WP_009567592.1
OG0000217	WP_011072567.1	WP_009567626.1
OG0000218	WP_011073221.1	WP_012536052.1
OG0000219	WP_011073290.1	WP_012536999.1, WP_012536156.1
OG0000221	WP_011072274.1	WP_225487655.1, WP_012536274.1
OG0000222	WP_011073677.1	WP_012536488.1
OG0000223	WP_011071799.1	WP_012536535.1
OG0000224	WP_011072707.1, WP_011071832.1	WP_012536669.1
OG0000225	WP_011072456.1	WP_012537676.1
OG0000226	WP_011071424.1, WP_011073006.1	WP_012536936.1
OG0000226	WP_011073007.1, WP_011071423.1	WP_012536937.1
OG0000227	WP_011072928.1	WP_012536947.1
OG0000228	WP_011072718.1	WP_012537058.1
OG0000228	WP_011073400.1	WP_012606556.1
OG0000230	WP_011070594.1	WP_054608848.1
OG0000232	WP_011072554.1, WP_011072555.1	WP_054609073.1
OG0000233	WP_011072421.1	WP_180830512.1
OG0000234	WP_007644947.1	WP_225487654.1
OG0000249	WP_011070799.1	WP_012536114.1, WP_229129773.1
OG0000249	WP_011071836.1	WP_009561020.1, WP_054608738.1
OG0000250	WP_011073096.1, WP_011072528.1	WP_009562194.1
OG0000251	WP_238560561.1, WP_011071019.1, WP_011073307.1, WP_011072431.1, WP_011073320.1, WP_238560546.1, WP_011074141.1, WP_011071129.1, WP_011070865.1, WP_011070732.1, WP_011073231.1, WP_011072126.1, WP_011074451.1, WP_011073851.1, WP_011070762.1	WP_009562369.1
OG0000253	WP_011073904.1	WP_012536020.1
OG0000253	WP_011073905.1	WP_009566305.1
OG0000254	WP_011071486.1	WP_009567060.1
OG0000255	WP_011074449.1, WP_011072127.1, WP_011074264.1	WP_012536293.1
OG0000256	WP_011073793.1	WP_012535787.1
OG0000256	WP_238560588.1	WP_012537437.1
OG0000257	WP_011070755.1	WP_012536012.1
OG0000259	WP_011072276.1	WP_012536276.1
OG0000260	WP_011071974.1	WP_012536397.1
OG0000261	WP_011073468.1	WP_012536559.1, WP_157293185.1
OG0000262	WP_011071339.1, WP_011071933.1, WP_164925915.1	WP_012536942.1
OG0000263	WP_011073465.1	WP_225487436.1
OG0000263	WP_011074170.1, WP_011071948.1, WP_011073757.1	WP_012537110.1
OG0000264	WP_011074330.1	WP_012537655.1
OG0000265	WP_011074332.1	WP_012537657.1
OG0000266	WP_011074335.1	WP_012537658.1
OG0000267	WP_011074441.1, WP_011074195.1	WP_061046412.1
OG0000268	WP_011071397.1	WP_041646068.1
OG0000269	WP_011071681.1	WP_054609063.1
OG0000270	WP_011071728.1	WP_229129792.1
OG0000283	WP_011072163.1	WP_009560879.1
OG0000284	WP_011070541.1, WP_011072419.1	WP_009560923.1
OG0000285	WP_011072952.1	WP_009567365.1, WP_009561385.1, WP_009565301.1, WP_054608740.1, WP_009565762.1
OG0000286	WP_011073470.1	WP_009562005.1
OG0000288	WP_011071130.1	WP_009564524.1
OG0000290	WP_011072343.1	WP_215905594.1
OG0000290	WP_238560560.1	WP_229129783.1, WP_009566370.1, WP_229129815.1
OG0000291	WP_011071410.1	WP_009566445.1
OG0000291	WP_011071560.1	WP_012536500.1
OG0000294	WP_011071947.1	WP_009566880.1
OG0000294	WP_011073467.1	WP_151528220.1, WP_012537092.1, WP_012536342.1, WP_012537537.1, WP_012537109.1, WP_012536551.1
OG0000295	WP_011073887.1	WP_009566924.1
OG0000296	WP_011072380.1	WP_009567461.1
OG0000297	WP_011072139.1	WP_012537564.1
OG0000298	WP_011074272.1	WP_012536032.1
OG0000299	WP_011073882.1	WP_012536067.1
OG0000300	WP_011072153.1	WP_012537695.1, WP_012536306.1
OG0000301	WP_011071783.1	WP_012536440.1
OG0000303	WP_011073360.1	WP_012536471.1
OG0000304	WP_011072031.1	WP_012536774.1
OG0000305	WP_011073686.1	WP_012536826.1, WP_054608850.1
OG0000306	WP_164925703.1, WP_011071113.1	WP_012536970.1, WP_226833838.1
OG0000308	WP_011071279.1	WP_012537299.1
OG0000309	WP_011070438.1	WP_012537406.1
OG0000311	WP_011072135.1	WP_012537568.1
OG0000312	WP_011073984.1	WP_225487053.1
OG0000312	WP_011070819.1	WP_012537595.1
OG0000313	WP_011073771.1	WP_012607392.1
OG0000315	WP_274544499.1, WP_141135407.1	WP_088775926.1
OG0000331	WP_011072391.1	WP_009564442.1
OG0000331	WP_011070665.1	WP_009561007.1
OG0000332	WP_011072097.1	WP_009561368.1
OG0000333	WP_011072976.1	WP_009562239.1
OG0000334	WP_011070517.1, WP_011072784.1	WP_009566820.1
OG0000335	WP_011070931.1	WP_009562964.1
OG0000336	WP_011072277.1	WP_009566457.1
OG0000337	WP_011073303.1	WP_009564760.1
OG0000338	WP_011072304.1	WP_009566072.1
OG0000339	WP_011071571.1	WP_009566369.1, WP_267903947.1
OG0000340	WP_011072829.1, WP_011071556.1	WP_009567235.1
OG0000341	WP_011074359.1	WP_081033196.1
OG0000341	WP_011074400.1, WP_011074453.1, WP_011074405.1	WP_009568735.1
OG0000343	WP_011073906.1	WP_012536021.1, WP_012537460.1
OG0000345	WP_011071734.1	WP_012536410.1
OG0000345	WP_164925834.1	WP_012537234.1
OG0000347	WP_011071237.1, WP_011072695.1	WP_012536483.1
OG0000349	WP_011071293.1, WP_011073469.1	WP_012536555.1, WP_012536560.1
OG0000350	WP_011073022.1	WP_012607533.1, WP_012536601.1
OG0000351	WP_011074194.1, WP_011074442.1	WP_054608863.1, WP_012536857.1
OG0000352	WP_011071500.1	WP_012537130.1
OG0000353	WP_011071907.1	WP_012537240.1
OG0000354	WP_011073845.1	WP_012537335.1
OG0000355	WP_011073416.1	WP_012537418.1
OG0000356	WP_011073744.1	WP_012537427.1, WP_054609053.1
OG0000357	WP_011073698.1	WP_012537553.1
OG0000358	WP_011072420.1	WP_012537707.1
OG0000359	WP_011072820.1	WP_012607242.1
OG0000360	WP_007651015.1	WP_041647474.1
OG0000361	WP_011072713.1	WP_180830519.1
OG0000388	WP_006081231.1	WP_054608986.1, WP_054608972.1, WP_009561355.1
OG0000389	WP_011072489.1, WP_011070448.1	WP_009562205.1
OG0000390	WP_011071396.1	WP_012537476.1, WP_009562421.1
OG0000391	WP_011074277.1	WP_009562662.1
OG0000392	WP_011070947.1	WP_009562813.1
OG0000393	WP_011070464.1	WP_009563800.1
OG0000394	WP_011073054.1, WP_011073075.1	WP_009566268.1
OG0000395	WP_011072444.1	WP_009566884.1
OG0000397	WP_011070943.1	WP_009567142.1
OG0000398	WP_011071816.1	WP_009567323.1
OG0000399	WP_011074310.1, WP_164925796.1	WP_009567484.1
OG0000400	WP_011072977.1	WP_012536000.1
OG0000400	WP_011073596.1	WP_009567581.1
OG0000401	WP_011072333.1	WP_012535766.1
OG0000402	WP_011073147.1	WP_012535777.1
OG0000403	WP_011073692.1	WP_012535991.1
OG0000404	WP_011071509.1	WP_012536024.1
OG0000405	WP_011070770.1	WP_012536030.1
OG0000406	WP_011073884.1	WP_012536078.1
OG0000407	WP_007647520.1	WP_012536131.1
OG0000408	WP_238560562.1	WP_012536140.1
OG0000409	WP_011071363.1	WP_012536144.1
OG0000410	WP_011071375.1	WP_012536254.1
OG0000411	WP_011072756.1	WP_012536280.1
OG0000412	WP_011070657.1	WP_012536319.1
OG0000413	WP_011073296.1	WP_012536392.1
OG0000414	WP_011071865.1	WP_012536519.1
OG0000415	WP_011073705.1, WP_011074080.1, WP_011073621.1	WP_012536558.1
OG0000417	WP_011071995.1	WP_012536902.1
OG0000418	WP_011072966.1	WP_012536949.1
OG0000419	WP_011072397.1	WP_012536955.1
OG0000420	WP_011073084.1	WP_012536981.1
OG0000421	WP_011074212.1	WP_012537025.1
OG0000423	WP_164925682.1	WP_012537562.1
OG0000424	WP_011074411.1	WP_180830455.1, WP_012537590.1
OG0000425	WP_011074325.1	WP_012537653.1
OG0000426	WP_011072245.1	WP_012606589.1
OG0000426	WP_011072924.1	WP_012537674.1
OG0000427	WP_011072306.1	WP_041838681.1
OG0000428	WP_011073691.1	WP_054608948.1
OG0000429	WP_011072763.1	WP_233459592.1, WP_233459593.1
OG0000457	WP_011074002.1	WP_009560820.1
OG0000458	WP_011072562.1	WP_009561363.1
OG0000459	WP_011073913.1	WP_009562654.1
OG0000460	WP_011072676.1	WP_012536691.1, WP_009563102.1
OG0000461	WP_011071367.1	WP_009563301.1
OG0000462	WP_011073690.1	WP_012536982.1, WP_012536787.1, WP_009563461.1
OG0000463	WP_011071797.1	WP_009564129.1
OG0000464	WP_011072390.1	WP_009564443.1
OG0000466	WP_006080725.1	WP_009564692.1
OG0000467	WP_011072155.1	WP_009564855.1, WP_009569804.1
OG0000468	WP_011070714.1	WP_009565783.1
OG0000469	WP_011073401.1	WP_009566207.1
OG0000470	WP_011072536.1, WP_011073891.1	WP_009566477.1
OG0000471	WP_011072667.1	WP_009566480.1
OG0000472	WP_011073223.1	WP_009566574.1
OG0000473	WP_011072156.1	WP_009566904.1
OG0000474	WP_011071577.1	WP_009567190.1
OG0000475	WP_011073167.1	WP_009567364.1
OG0000476	WP_011071399.1	WP_009567490.1
OG0000477	WP_011074312.1	WP_009567582.1
OG0000478	WP_164925611.1	WP_009567595.1
OG0000479	WP_011072689.1	WP_009567656.1
OG0000480	WP_006081934.1	WP_009568282.1
OG0000481	WP_011074353.1	WP_054609023.1
OG0000481	WP_011074200.1	WP_009568876.1
OG0000482	WP_011070515.1	WP_012536288.1, WP_009569191.1
OG0000484	WP_011070446.1	WP_012535750.1
OG0000485	WP_011072690.1	WP_012535768.1
OG0000486	WP_011073892.1	WP_012536028.1
OG0000487	WP_011071362.1	WP_012536755.1, WP_012536063.1
OG0000488	WP_011073923.1, WP_011071649.1	WP_012536103.1
OG0000489	WP_011072308.1	WP_012536116.1
OG0000490	WP_011073738.1, WP_011072517.1	WP_012536127.1
OG0000491	WP_011073025.1	WP_012536128.1
OG0000492	WP_011072105.1	WP_012536132.1
OG0000493	WP_011070602.1	WP_012536143.1
OG0000494	WP_011073291.1	WP_012536155.1
OG0000495	WP_011071232.1	WP_012536160.1
OG0000496	WP_011072269.1, WP_011072271.1	WP_012536161.1
OG0000497	WP_011070462.1	WP_012536181.1
OG0000498	WP_011073289.1	WP_012536182.1
OG0000499	WP_011071680.1	WP_012536183.1
OG0000500	WP_011070723.1	WP_012536209.1
OG0000501	WP_011073979.1, WP_011073650.1	WP_012536214.1
OG0000502	WP_011073914.1	WP_012536243.1
OG0000503	WP_011073940.1, WP_011071506.1	WP_012536253.1
OG0000504	WP_011071374.1	WP_012536255.1
OG0000505	WP_011072417.1	WP_012536257.1
OG0000506	WP_011073396.1	WP_012536330.1
OG0000507	WP_011072805.1	WP_012536336.1
OG0000508	WP_011072950.1	WP_012536351.1
OG0000509	WP_011071177.1	WP_012536352.1
OG0000510	WP_164925926.1	WP_012536360.1
OG0000511	WP_011072320.1	WP_012536394.1
OG0000512	WP_011071575.1	WP_012536421.1
OG0000513	WP_011073166.1	WP_012536460.1
OG0000514	WP_011071796.1	WP_012536532.1
OG0000515	WP_011073016.1	WP_012536533.1
OG0000516	WP_011070666.1	WP_012536759.1
OG0000518	WP_011070475.1	WP_012537237.1, WP_012536786.1
OG0000519	WP_011071210.1	WP_012537678.1
OG0000520	WP_011071914.1	WP_012536816.1
OG0000521	WP_011072700.1	WP_233459598.1, WP_012536827.1
OG0000522	WP_011070929.1	WP_012536840.1
OG0000523	WP_011071704.1	WP_012536878.1
OG0000524	WP_011070427.1	WP_012606471.1
OG0000524	WP_011073645.1	WP_012536920.1
OG0000525	WP_011073918.1	WP_012537043.1
OG0000526	WP_011072542.1	WP_012537089.1
OG0000527	WP_011071884.1, WP_011072327.1	WP_012537123.1
OG0000528	WP_011071395.1	WP_012537142.1, WP_012537261.1, WP_012607567.1
OG0000529	WP_011070851.1	WP_012537162.1
OG0000530	WP_011072392.1	WP_012537306.1
OG0000531	WP_011071357.1	WP_012537317.1
OG0000532	WP_011071368.1	WP_012537323.1
OG0000533	WP_011072568.1	WP_012537326.1
OG0000534	WP_011070880.1	WP_012537330.1
OG0000535	WP_011071473.1	WP_012537356.1
OG0000536	WP_011071542.1	WP_012606641.1, WP_012537380.1
OG0000537	WP_011073663.1	WP_012537410.1
OG0000538	WP_011073746.1	WP_012537428.1
OG0000539	WP_011072201.1	WP_012537483.1
OG0000540	WP_011073236.1	WP_012537544.1
OG0000541	WP_011072254.1	WP_012537546.1
OG0000542	WP_011073694.1	WP_012537556.1
OG0000543	WP_011072926.1	WP_012537673.1
OG0000544	WP_011072157.1	WP_229129766.1, WP_012537696.1
OG0000545	WP_011072102.1	WP_012606542.1
OG0000546	WP_011071161.1	WP_088775915.1
OG0000547	WP_011071600.1	WP_180830382.1
OG0000548	WP_011071430.1	WP_215905524.1
OG0000549	WP_011073367.1	WP_225487409.1
OG0000550	WP_164925726.1	WP_230456331.1
OG0000576	WP_011073695.1	WP_009560685.1
OG0000577	WP_011071502.1	WP_009560747.1
OG0000578	WP_011070425.1	WP_009560802.1
OG0000579	WP_011072382.1	WP_009560813.1
OG0000580	WP_011071401.1	WP_009560843.1
OG0000581	WP_011070605.1	WP_009560851.1
OG0000582	WP_011072691.1	WP_009560861.1
OG0000583	WP_011072298.1, WP_011073315.1	WP_009560911.1
OG0000584	WP_011070420.1	WP_009560912.1
OG0000585	WP_011070421.1	WP_009560913.1
OG0000586	WP_011070423.1	WP_009560916.1
OG0000587	WP_011073319.1	WP_009560917.1
OG0000588	WP_011071543.1	WP_009561052.1
OG0000589	WP_011073895.1	WP_009561081.1
OG0000590	WP_011071782.1	WP_009561185.1
OG0000591	WP_011071988.1	WP_009561191.1
OG0000592	WP_011070797.1	WP_009561285.1
OG0000593	WP_011071160.1	WP_009561698.1
OG0000594	WP_164925584.1	WP_009562201.1
OG0000595	WP_011073680.1	WP_009562382.1
OG0000596	WP_011070930.1	WP_009562410.1
OG0000597	WP_011070933.1	WP_009562411.1
OG0000598	WP_011073908.1	WP_009562424.1
OG0000599	WP_006083042.1	WP_009562432.1
OG0000600	WP_011070456.1	WP_009562611.1
OG0000601	WP_011070650.1	WP_009562807.1
OG0000602	WP_011073283.1, WP_011073273.1, WP_011073768.1, WP_011073717.1	WP_009562815.1
OG0000603	WP_011071702.1	WP_009562818.1
OG0000604	WP_011073440.1	WP_009562823.1
OG0000605	WP_011073439.1	WP_009562824.1
OG0000606	WP_011072376.1	WP_009562995.1
OG0000607	WP_164925802.1	WP_009563107.1
OG0000608	WP_011071703.1	WP_009563302.1
OG0000609	WP_011072357.1	WP_229129790.1, WP_009563706.1
OG0000610	WP_011073188.1	WP_009564018.1
OG0000611	WP_011071421.1	WP_009564109.1
OG0000612	WP_011071798.1	WP_009564128.1
OG0000613	WP_006080791.1	WP_009564594.1
OG0000614	WP_011072032.1	WP_009564695.1
OG0000615	WP_011071784.1	WP_009564727.1
OG0000616	WP_011071786.1	WP_009564729.1
OG0000617	WP_011070618.1	WP_009565432.1
OG0000618	WP_011070620.1	WP_009565434.1
OG0000619	WP_006083596.1	WP_009565435.1
OG0000620	WP_006083595.1	WP_009565436.1
OG0000621	WP_011070621.1	WP_009565437.1
OG0000623	WP_011073687.1	WP_009565749.1
OG0000624	WP_007650346.1	WP_009565803.1
OG0000625	WP_011073451.1	WP_009565805.1
OG0000626	WP_011073399.1	WP_009566208.1
OG0000627	WP_011073042.1	WP_009566247.1
OG0000628	WP_011071409.1	WP_009566444.1
OG0000630	WP_011073225.1	WP_009566572.1
OG0000631	WP_011073224.1	WP_009566573.1
OG0000632	WP_011073222.1	WP_009566576.1
OG0000634	WP_011073362.1	WP_009566635.1
OG0000635	WP_011071429.1	WP_009566647.1
OG0000636	WP_011071283.1	WP_009566653.1
OG0000637	WP_011072714.1	WP_009566798.1
OG0000638	WP_011070724.1	WP_009566813.1
OG0000639	WP_011072734.1	WP_009566882.1
OG0000640	WP_011072733.1	WP_009566883.1
OG0000641	WP_011073048.1	WP_009566950.1
OG0000642	WP_011072310.1	WP_009566960.1
OG0000643	WP_011072175.1	WP_009567014.1
OG0000644	WP_011071416.1	WP_009567059.1
OG0000645	WP_011072241.1	WP_009567097.1
OG0000646	WP_011070601.1	WP_009567098.1
OG0000647	WP_011073899.1	WP_009567099.1
OG0000648	WP_011073903.1	WP_009567102.1
OG0000649	WP_011073601.1	WP_009567132.1
OG0000650	WP_011072929.1	WP_009567136.1
