Orthogroup	Shewanella oneidensis MR-1	Desulfovibrio ferrophilus IS5
OG0000042	WP_011071918.1	WP_126377521.1
OG0000043	WP_011073456.1	WP_172961570.1, WP_126380768.1, WP_126380936.1, WP_126378951.1
OG0000043	WP_011070871.1	WP_126380012.1
OG0000045	WP_011070924.1	WP_126378830.1
OG0000045	WP_011071240.1	WP_232034928.1
OG0000045	WP_011073210.1	WP_126379890.1
OG0000047	WP_164925892.1	WP_172961739.1, WP_172961741.1
OG0000048	WP_011072589.1	WP_232034796.1
OG0000052	WP_011074450.1, WP_011071675.1	WP_126380843.1
OG0000053	WP_164925924.1	WP_126381249.1
OG0000053	WP_011071230.1	WP_126377151.1
OG0000056	WP_011072681.1	WP_126378473.1, WP_126375624.1, WP_126378175.1, WP_126378784.1, WP_126376520.1, WP_126381184.1, WP_126378782.1, WP_126379928.1, WP_126380518.1, WP_172961756.1, WP_126375921.1, WP_126380842.1, WP_126379293.1, WP_172961636.1
OG0000058	WP_164925641.1	WP_126375819.1
OG0000060	WP_011073811.1, WP_011070564.1	WP_126379040.1, WP_232034744.1
OG0000062	WP_011071925.1	WP_126380870.1, WP_126379963.1, WP_126379859.1
OG0000063	WP_011072151.1	WP_126380494.1
OG0000064	WP_011070635.1	WP_232034920.1
OG0000065	WP_011071952.1	WP_126379932.1
OG0000065	WP_011071919.1	WP_126379160.1
OG0000066	WP_011070485.1, WP_011072796.1	WP_126377227.1
OG0000067	WP_011071924.1	WP_126380869.1
OG0000068	WP_011073624.1	WP_126378496.1, WP_172961792.1
OG0000069	WP_011072035.1	WP_126381140.1
OG0000074	WP_011072654.1	WP_126375941.1, WP_126380953.1, WP_126379593.1
OG0000075	WP_011071302.1	WP_126375865.1, WP_126380626.1, WP_126376867.1, WP_172961694.1, WP_126376787.1, WP_126376781.1
OG0000076	WP_202950651.1	WP_126375693.1, WP_126381049.1
OG0000076	WP_011072185.1	WP_126377024.1
OG0000076	WP_011073088.1	WP_172961659.1
OG0000077	WP_011073434.1	WP_126379711.1
OG0000077	WP_011071152.1	WP_126377449.1
OG0000079	WP_011071515.1	WP_172961766.1
OG0000080	WP_011070637.1	WP_126375851.1, WP_126375849.1
OG0000080	WP_011074382.1	WP_172961669.1
OG0000081	WP_011073637.1	WP_172961767.1, WP_126376632.1, WP_126380364.1, WP_126376897.1, WP_126375579.1, WP_126379190.1, WP_126375794.1
OG0000082	WP_011071708.1, WP_011073949.1	WP_172961569.1, WP_232034762.1, WP_126379022.1, WP_126377927.1, WP_126380332.1, WP_126380330.1
OG0000083	WP_011071686.1	WP_172961574.1
OG0000083	WP_011071482.1, WP_011070470.1	WP_126378765.1, WP_126375658.1, WP_232034921.1, WP_126380521.1
OG0000084	WP_011070711.1	WP_172961782.1, WP_126379819.1
OG0000085	WP_011073685.1	WP_172961786.1
OG0000085	WP_011073684.1	WP_126381273.1
OG0000086	WP_011071335.1	WP_126375833.1
OG0000086	WP_011073755.1	WP_126376484.1
OG0000087	WP_011071100.1	WP_126377394.1
OG0000087	WP_011071464.1	WP_126376666.1, WP_126379228.1
OG0000088	WP_202950650.1	WP_126376803.1
OG0000088	WP_274544479.1, WP_011073093.1	WP_126376259.1
OG0000091	WP_011072711.1	WP_126379497.1
OG0000092	WP_011071174.1	WP_126378232.1
OG0000093	WP_011073475.1	WP_126377889.1, WP_126380751.1
OG0000094	WP_011074278.1	WP_126379747.1
OG0000095	WP_011072735.1	WP_232034876.1
OG0000096	WP_011073337.1, WP_011074108.1	WP_126381088.1
OG0000099	WP_011072500.1, WP_165443312.1	WP_126376575.1, WP_126378972.1
OG0000100	WP_011073485.1, WP_011073486.1	WP_126380829.1, WP_232034760.1
OG0000101	WP_011072328.1, WP_011072538.1	WP_126380553.1
OG0000103	WP_011073353.1, WP_011071066.1, WP_011073588.1	WP_126375876.1
OG0000105	WP_011072710.1, WP_011074037.1, WP_164925736.1	WP_126379501.1
OG0000106	WP_011074309.1, WP_011070542.1	WP_126380444.1
OG0000110	WP_011072317.1, WP_164925686.1	WP_232034912.1
OG0000110	WP_164925741.1	WP_126379985.1, WP_126376245.1
OG0000112	WP_011070877.1	WP_126377306.1, WP_126379449.1
OG0000114	WP_011071132.1	WP_126377356.1, WP_126376037.1
OG0000115	WP_011070766.1	WP_126377362.1
OG0000115	WP_011070806.1	WP_126376861.1
OG0000117	WP_011071862.1	WP_126380925.1
OG0000118	WP_011071863.1	WP_126381543.1
OG0000119	WP_011074079.1	WP_126378138.1
OG0000119	WP_011073418.1, WP_011074247.1, WP_011073419.1, WP_011074248.1	WP_126377868.1
OG0000120	WP_011071926.1	WP_172961620.1
OG0000122	WP_011073479.1	WP_172961804.1
OG0000123	WP_011073092.1	WP_126376239.1
OG0000123	WP_011072319.1	WP_126376807.1
OG0000126	WP_011073889.1, WP_011071224.1	WP_126379210.1
OG0000127	WP_011070937.1	WP_126379366.1
OG0000127	WP_011070936.1	WP_126379368.1
OG0000128	WP_011072719.1, WP_164925918.1	WP_232034755.1
OG0000129	WP_011074222.1, WP_011072440.1	WP_126376839.1
OG0000130	WP_011073813.1	WP_172961687.1
OG0000131	WP_011074276.1	WP_126380299.1
OG0000131	WP_011073076.1	WP_232034794.1
OG0000133	WP_011071864.1	WP_232034812.1
OG0000134	WP_011070453.1	WP_126377750.1
OG0000135	WP_011072682.1	WP_126380248.1
OG0000135	WP_011072007.1	WP_126379924.1
OG0000136	WP_011070754.1	WP_126377707.1
OG0000137	WP_011073955.1	WP_126380924.1, WP_126376304.1
OG0000138	WP_011072530.1, WP_011073460.1	WP_126376412.1
OG0000138	WP_011072065.1	WP_232034766.1
OG0000143	WP_011070643.1, WP_011070826.1, WP_011072164.1	WP_126376543.1, WP_126377487.1, WP_126375622.1
OG0000144	WP_011073693.1	WP_126379267.1
OG0000145	WP_011072293.1, WP_274544323.1	WP_126376563.1
OG0000147	WP_011073810.1	WP_126378684.1
OG0000148	WP_011073571.1	WP_126380856.1
OG0000148	WP_011074172.1	WP_126375591.1
OG0000150	WP_011071499.1	WP_126377334.1
OG0000154	WP_011072019.1, WP_011071020.1	WP_126375840.1
OG0000154	WP_011071098.1, WP_011072297.1	WP_126380855.1
OG0000155	WP_011071290.1	WP_126378376.1, WP_126377489.1
OG0000157	WP_011071063.1	WP_126377733.1, WP_172961657.1, WP_126380940.1, WP_126375685.1, WP_126375684.1, WP_126376103.1, WP_126375621.1, WP_126375641.1, WP_172961704.1, WP_126377001.1, WP_126379020.1, WP_126378866.1
OG0000158	WP_011072993.1, WP_011073603.1, WP_164925679.1	WP_126379801.1, WP_126378159.1
OG0000158	WP_011071551.1	WP_126376027.1
OG0000160	WP_011072083.1, WP_011073275.1	WP_126379093.1
OG0000161	WP_011071608.1	WP_232034768.1, WP_126378650.1
OG0000162	WP_011072995.1, WP_011073912.1	WP_126375857.1, WP_172961809.1
OG0000163	WP_011072686.1	WP_126378343.1
OG0000164	WP_011072564.1	WP_126378223.1
OG0000164	WP_011070705.1	WP_126377539.1
OG0000165	WP_011072113.1	WP_232034880.1
OG0000166	WP_011072678.1	WP_126377850.1
OG0000166	WP_011074265.1	WP_126376718.1
OG0000168	WP_011070460.1, WP_011072275.1	WP_126381182.1, WP_126381180.1, WP_126375657.1, WP_126375553.1
OG0000169	WP_011072289.1	WP_126376755.1
OG0000169	WP_164925791.1	WP_126376344.1
OG0000170	WP_011072841.1, WP_011071331.1, WP_164925722.1	WP_126377170.1
OG0000172	WP_011071837.1	WP_232034792.1
OG0000176	WP_011072162.1	WP_126377398.1
OG0000178	WP_011071538.1	WP_126380874.1, WP_172961806.1, WP_126376909.1, WP_126376611.1, WP_126378990.1, WP_126376895.1, WP_126378189.1, WP_126377162.1
OG0000179	WP_011073121.1, WP_011073122.1	WP_126379401.1, WP_126379755.1, WP_126377123.1, WP_126377121.1, WP_126378894.1, WP_126375971.1, WP_126379261.1
OG0000182	WP_011072004.1, WP_011071829.1	WP_126377328.1
OG0000183	WP_011071285.1	WP_126380586.1, WP_126375665.1
OG0000184	WP_011073828.1	WP_126380301.1
OG0000187	WP_011070604.1, WP_011070615.1	WP_126376003.1
OG0000189	WP_011072980.1, WP_011073743.1, WP_011074152.1, WP_011073532.1, WP_011073389.1, WP_011074151.1	WP_126379679.1
OG0000190	WP_011074103.1	WP_126377864.1
OG0000192	WP_011071668.1	WP_232034818.1, WP_126379340.1
OG0000193	WP_011071804.1	WP_126377830.1
OG0000195	WP_011072959.1	WP_126381648.1, WP_126380634.1
OG0000200	WP_011073090.1	WP_126376251.1
OG0000200	WP_011074346.1, WP_202950646.1	WP_126381637.1
OG0000201	WP_011074064.1	WP_172961722.1
OG0000201	WP_011073893.1	WP_126377684.1
OG0000201	WP_164925869.1	WP_126376387.1
OG0000203	WP_011074121.1	WP_126380446.1, WP_126376516.1
OG0000205	WP_011072292.1	WP_172961692.1, WP_126380899.1, WP_126378759.1, WP_126379244.1
OG0000207	WP_011071697.1	WP_126380263.1, WP_126381038.1
OG0000208	WP_011071698.1	WP_126381041.1, WP_126380261.1
OG0000210	WP_011070824.1	WP_126379481.1
OG0000211	WP_011073834.1	WP_197723434.1
OG0000212	WP_011072160.1	WP_232034881.1
OG0000215	WP_011072513.1	WP_126379387.1
OG0000216	WP_011070906.1	WP_126381405.1, WP_126380832.1
OG0000217	WP_011072567.1	WP_126377388.1, WP_126376654.1
OG0000218	WP_011073221.1	WP_126377380.1
OG0000219	WP_011073290.1	WP_126377392.1
OG0000220	WP_011071587.1	WP_126380131.1
OG0000221	WP_011072274.1, WP_011073067.1	WP_232034814.1
OG0000222	WP_011073677.1	WP_126377752.1, WP_126380413.1
OG0000223	WP_011071799.1	WP_126379433.1
OG0000224	WP_011072707.1, WP_011071832.1	WP_126375687.1
OG0000225	WP_011072456.1	WP_126381110.1
OG0000226	WP_011071424.1, WP_011073006.1	WP_232034915.1
OG0000227	WP_011072928.1	WP_126380765.1
OG0000228	WP_011072718.1	WP_126380386.1
OG0000228	WP_011073400.1	WP_126378318.1
OG0000230	WP_011070594.1, WP_238560519.1	WP_126376561.1
OG0000232	WP_011072554.1	WP_126376907.1
OG0000232	WP_011072555.1	WP_197723452.1
OG0000233	WP_011072421.1	WP_126379699.1
OG0000234	WP_007644947.1	WP_126375880.1, WP_172961661.1, WP_126375783.1
OG0000235	WP_011070658.1	WP_126379765.1, WP_126375707.1
OG0000236	WP_011073712.1, WP_011070717.1	WP_126377990.1, WP_172961753.1, WP_126381003.1
OG0000238	WP_011071225.1	WP_197723431.1, WP_232034849.1
OG0000239	WP_011073040.1	WP_126380937.1
OG0000242	WP_011072198.1	WP_172961595.1
OG0000243	WP_011073841.1	WP_152034911.1
OG0000244	WP_011072179.1	WP_126379395.1, WP_126378654.1, WP_126380246.1
OG0000249	WP_011070495.1, WP_011070799.1, WP_011071836.1	WP_126376424.1
OG0000250	WP_011073096.1	WP_126377694.1, WP_126381114.1, WP_126376970.1
OG0000252	WP_011071280.1	WP_126375668.1
OG0000253	WP_011073904.1	WP_232034747.1
OG0000253	WP_011073905.1	WP_126378732.1
OG0000254	WP_011071486.1	WP_126379613.1, WP_126379617.1
OG0000255	WP_011074264.1	WP_126376715.1
OG0000257	WP_011070755.1	WP_126377805.1
OG0000260	WP_011071974.1	WP_126377383.1
OG0000261	WP_011073468.1	WP_232034914.1
OG0000263	WP_011073465.1	WP_172961789.1
OG0000264	WP_011074330.1	WP_126380686.1
OG0000265	WP_011074332.1	WP_126380688.1
OG0000266	WP_011074335.1	WP_126380663.1
OG0000267	WP_011070862.1, WP_011074441.1, WP_011074195.1	WP_126380945.1
OG0000270	WP_011071728.1	WP_126380933.1
OG0000271	WP_011072821.1	WP_126381034.1
OG0000272	WP_011072181.1	WP_126379423.1
OG0000277	WP_011074053.1	WP_232034831.1
OG0000280	WP_011073661.1	WP_126379987.1, WP_232034773.1, WP_126376296.1
OG0000282	WP_011074294.1	WP_126377832.1, WP_126375738.1
OG0000283	WP_011072163.1	WP_126377400.1
OG0000284	WP_011070541.1, WP_011072419.1	WP_232034785.1
OG0000285	WP_011072952.1	WP_126380954.1
OG0000286	WP_011071292.1	WP_232034878.1
OG0000288	WP_164925856.1	WP_126377408.1
OG0000290	WP_011072343.1, WP_238560560.1	WP_126381196.1
OG0000291	WP_011071410.1	WP_126377018.1
OG0000291	WP_011071560.1	WP_126375792.1
OG0000293	WP_011071286.1	WP_126375664.1
OG0000295	WP_011073887.1	WP_232034907.1
OG0000296	WP_011072380.1	WP_126376968.1
OG0000297	WP_011072139.1	WP_172961716.1, WP_126380746.1
OG0000299	WP_011073882.1	WP_232034802.1
OG0000300	WP_011072153.1	WP_126376664.1
OG0000301	WP_011071783.1	WP_126376077.1, WP_232034778.1
OG0000308	WP_011071279.1	WP_126375669.1
OG0000309	WP_011071595.1, WP_011070438.1	WP_126379200.1
OG0000311	WP_011072135.1	WP_126377668.1, WP_126380177.1
OG0000312	WP_011070819.1	WP_126380979.1
OG0000313	WP_011073771.1	WP_126375836.1
OG0000314	WP_011071277.1	WP_126375671.1
OG0000318	WP_011071900.1, WP_011071905.1, WP_011071629.1, WP_238560522.1	WP_126376184.1
OG0000320	WP_011072305.1	WP_126380370.1
OG0000323	WP_011074098.1	WP_172961568.1, WP_172961580.1
OG0000324	WP_011071654.1, WP_238560608.1, WP_011070844.1	WP_172961599.1, WP_172961787.1
OG0000325	WP_011071119.1	WP_172961723.1, WP_126376600.1
OG0000326	WP_011072729.1	WP_126375696.1
OG0000332	WP_011072097.1	WP_126377537.1
OG0000333	WP_011072976.1	WP_126380825.1
OG0000335	WP_011070931.1	WP_126376726.1, WP_126380917.1
OG0000337	WP_011071254.1, WP_011070598.1	WP_126380785.1
OG0000338	WP_011071236.1	WP_126379709.1
OG0000339	WP_011071571.1	WP_126375542.1
OG0000343	WP_011073906.1	WP_126378734.1
OG0000345	WP_164925834.1	WP_172961637.1
OG0000347	WP_011071237.1	WP_126380129.1
OG0000349	WP_011071293.1, WP_011073469.1	WP_126377264.1
OG0000350	WP_011073022.1	WP_126380698.1
OG0000351	WP_011074194.1, WP_011074442.1	WP_126380946.1
OG0000352	WP_011071500.1	WP_126377336.1
OG0000353	WP_011071907.1	WP_126378808.1, WP_126381186.1
OG0000354	WP_011073845.1, WP_011073978.1	WP_126375853.1
OG0000355	WP_011072812.1	WP_126381547.1
OG0000356	WP_011073744.1	WP_126377915.1
OG0000357	WP_011073698.1, WP_011070483.1	WP_126376942.1
OG0000358	WP_011072420.1	WP_126377529.1
OG0000359	WP_011072820.1	WP_126381036.1
OG0000360	WP_007651015.1	WP_126380696.1, WP_126377079.1
OG0000361	WP_011072771.1	WP_126379495.1
OG0000366	WP_011072246.1	WP_126376476.1, WP_126376478.1
OG0000370	WP_011072355.1, WP_011073328.1, WP_011072369.1, WP_011073742.1, WP_011074161.1, WP_011072290.1	WP_126380722.1
OG0000372	WP_011070445.1	WP_126376919.1, WP_172961812.1, WP_126381285.1
OG0000373	WP_011070440.1	WP_126377043.1, WP_126376917.1
OG0000375	WP_011073160.1	WP_172961745.1, WP_126381106.1, WP_126376843.1
OG0000380	WP_011071378.1, WP_011071733.1, WP_011073704.1	WP_126377282.1
OG0000381	WP_011070926.1	WP_126376913.1
OG0000382	WP_011071707.1	WP_126379417.1, WP_126377929.1
OG0000382	WP_011073950.1	WP_126380334.1, WP_126379024.1
OG0000383	WP_011070809.1	WP_126376204.1, WP_126375889.1, WP_126378000.1
OG0000386	WP_011071344.1	WP_126379713.1
OG0000388	WP_006081231.1	WP_126379499.1
OG0000389	WP_011072489.1, WP_011070448.1	WP_126380280.1
OG0000390	WP_011071396.1	WP_126380496.1
OG0000391	WP_011074277.1	WP_126377020.1
OG0000392	WP_011070947.1	WP_126377803.1
OG0000393	WP_011070464.1	WP_126377464.1
OG0000394	WP_011073054.1, WP_011073075.1	WP_126376132.1
OG0000397	WP_011072925.1	WP_126380761.1
OG0000398	WP_011071816.1	WP_126375829.1
OG0000399	WP_011074310.1, WP_164925796.1	WP_126376541.1
OG0000400	WP_011072977.1, WP_011073596.1	WP_126375999.1
OG0000401	WP_011072333.1	WP_126377286.1
OG0000403	WP_011073692.1	WP_232034756.1
OG0000404	WP_011071509.1	WP_126380502.1, WP_232034883.1
OG0000405	WP_011071613.1	WP_126379002.1
OG0000405	WP_011070770.1	WP_232034904.1
OG0000406	WP_011073884.1	WP_126380117.1
OG0000407	WP_007647520.1	WP_126375697.1
OG0000408	WP_238560562.1, WP_011073864.1	WP_126376130.1
OG0000409	WP_011071363.1	WP_126375727.1
OG0000410	WP_011071375.1	WP_126375949.1
OG0000411	WP_164925601.1, WP_011074142.1, WP_011072756.1	WP_126380543.1
OG0000412	WP_011070563.1	WP_126379030.1
OG0000412	WP_011070657.1	WP_172961686.1
OG0000413	WP_011073296.1	WP_126379336.1
OG0000414	WP_011071865.1	WP_126380931.1
OG0000415	WP_011074080.1	WP_126378136.1
OG0000417	WP_011074187.1	WP_126380786.1
OG0000418	WP_011072966.1	WP_126380654.1
OG0000419	WP_011072397.1	WP_232034936.1, WP_126376652.1
OG0000421	WP_011074212.1	WP_126380975.1
OG0000423	WP_164925682.1	WP_126380506.1
OG0000424	WP_011074411.1	WP_232034868.1
OG0000425	WP_011074325.1	WP_126380914.1
OG0000426	WP_011072245.1	WP_126380760.1
OG0000427	WP_011072306.1	WP_126377181.1
OG0000428	WP_011073691.1	WP_126379265.1
OG0000429	WP_011072763.1	WP_126379605.1
OG0000433	WP_011071889.1	WP_232034808.1, WP_126380900.1
OG0000434	WP_011073587.1	WP_126378271.1
OG0000435	WP_011072708.1	WP_126381045.1
OG0000436	WP_011073144.1	WP_126380186.1, WP_172961771.1, WP_126380205.1, WP_126377737.1
OG0000439	WP_011071906.1	WP_126378807.1, WP_126381188.1
OG0000443	WP_011073208.1	WP_126380919.1
OG0000444	WP_011070433.1, WP_011074432.1, WP_011073269.1, WP_011071523.1	WP_126378345.1
OG0000446	WP_011073130.1	WP_126377113.1, WP_126379389.1, WP_126379406.1
OG0000452	WP_011070761.1, WP_011072428.1, WP_011070965.1	WP_126376762.1
OG0000453	WP_011071070.1	WP_126376486.1, WP_172961603.1, WP_126375712.1, WP_126380007.1
OG0000457	WP_011074002.1	WP_126380273.1
OG0000458	WP_011072562.1	WP_126379457.1
OG0000459	WP_011073913.1	WP_126378236.1
OG0000460	WP_011072676.1	WP_197723457.1
OG0000461	WP_011071367.1	WP_126376122.1
OG0000463	WP_011071797.1	WP_126378471.1, WP_126378644.1
OG0000464	WP_011070898.1	WP_172961777.1, WP_172961791.1
OG0000464	WP_011072390.1	WP_126380647.1
OG0000466	WP_006080725.1	WP_126377342.1
OG0000467	WP_011072155.1	WP_126377723.1
OG0000469	WP_011073401.1	WP_126377360.1
OG0000470	WP_011072536.1, WP_011073891.1	WP_126378919.1
OG0000471	WP_011072667.1	WP_126380492.1
OG0000472	WP_011073223.1	WP_126378642.1, WP_126377824.1
OG0000473	WP_011072156.1	WP_126377396.1
OG0000475	WP_011073167.1	WP_126380674.1
OG0000476	WP_011071399.1	WP_126380693.1
OG0000478	WP_164925611.1	WP_126379010.1
OG0000479	WP_011072689.1	WP_126378348.1
OG0000480	WP_006081934.1	WP_126375801.1
OG0000481	WP_011074353.1	WP_126378435.1
OG0000482	WP_011070515.1, WP_011074122.1	WP_126376547.1
OG0000484	WP_011070446.1, WP_011071740.1, WP_011072239.1	WP_126380284.1
OG0000485	WP_011072690.1	WP_126378350.1
OG0000486	WP_011073892.1	WP_126379287.1
OG0000487	WP_011071362.1	WP_126380961.1
OG0000488	WP_011073923.1, WP_011071649.1	WP_126379525.1
OG0000489	WP_011072308.1	WP_126377067.1
OG0000490	WP_011073738.1, WP_011072517.1	WP_172961760.1
OG0000491	WP_011073025.1	WP_126379485.1
OG0000492	WP_011072105.1	WP_126377713.1
OG0000493	WP_011070602.1	WP_126377410.1
OG0000494	WP_011073291.1	WP_172961673.1, WP_126379453.1
OG0000495	WP_011071232.1	WP_126376099.1
OG0000496	WP_011072269.1, WP_011072271.1	WP_126375923.1
OG0000497	WP_011070462.1	WP_126377812.1
OG0000498	WP_011070463.1, WP_011073289.1	WP_172961654.1
OG0000500	WP_011073302.1, WP_011070723.1	WP_126377826.1
OG0000501	WP_011073979.1	WP_172961582.1
OG0000502	WP_011073914.1	WP_126378238.1
OG0000503	WP_011073940.1	WP_126377195.1
OG0000504	WP_011071374.1	WP_126377731.1
OG0000505	WP_011072417.1	WP_126378085.1
OG0000506	WP_011073396.1	WP_126378242.1
OG0000507	WP_011072805.1	WP_126376835.1
OG0000509	WP_011071177.1	WP_126376116.1
OG0000510	WP_164925926.1	WP_126380646.1
OG0000511	WP_011072320.1	WP_126377183.1
OG0000512	WP_011071575.1	WP_126380757.1
OG0000513	WP_011073166.1	WP_126380673.1
OG0000514	WP_011071796.1	WP_126375935.1
OG0000515	WP_011073016.1	WP_232034909.1
OG0000516	WP_011070666.1	WP_126378465.1
OG0000519	WP_011071210.1	WP_232034888.1
OG0000520	WP_011071914.1	WP_126379338.1
OG0000521	WP_011072700.1	WP_126380820.1
OG0000522	WP_011070929.1	WP_126377013.1
OG0000523	WP_011071704.1	WP_126376393.1
OG0000524	WP_011070427.1, WP_011073645.1	WP_126380396.1
OG0000526	WP_011072542.1	WP_126375981.1
OG0000529	WP_011070851.1	WP_126378081.1
OG0000530	WP_011072392.1	WP_232034793.1
OG0000531	WP_011071357.1	WP_126375893.1
OG0000532	WP_011071368.1	WP_126377676.1
OG0000533	WP_011072568.1	WP_126375945.1
OG0000534	WP_011070880.1	WP_126377444.1
OG0000535	WP_011071476.1, WP_011071473.1	WP_126379224.1
OG0000536	WP_011071542.1	WP_126379271.1
OG0000538	WP_011073746.1	WP_126380854.1
OG0000539	WP_011072201.1	WP_126376287.1, WP_172961816.1
OG0000540	WP_011073236.1	WP_126375989.1
OG0000541	WP_011072254.1	WP_126379308.1
OG0000542	WP_011073694.1	WP_126375953.1
OG0000543	WP_011072926.1	WP_126380762.1
OG0000544	WP_011072157.1	WP_126376662.1
OG0000545	WP_011072102.1	WP_126377049.1
OG0000546	WP_011071505.1, WP_011071161.1	WP_126377155.1
OG0000547	WP_011071600.1	WP_126379146.1
OG0000547	WP_011074097.1	WP_126379018.1
OG0000548	WP_011071430.1	WP_126377086.1
OG0000549	WP_011073367.1	WP_126379236.1
OG0000550	WP_164925726.1	WP_126378469.1
OG0000551	WP_011071057.1	WP_126377300.1
OG0000554	WP_011074140.1, WP_011074327.1, WP_164925735.1, WP_011073660.1, WP_011071387.1, WP_011071669.1, WP_011073464.1, WP_238560559.1, WP_011071033.1	WP_126377635.1
OG0000555	WP_011070543.1	WP_126377511.1
OG0000558	WP_011072569.1	WP_232034822.1
OG0000566	WP_011072774.1	WP_126380739.1
OG0000569	WP_011072791.1	WP_126378372.1
OG0000570	WP_011071815.1	WP_126377743.1
OG0000571	WP_011070592.1	WP_126376091.1
OG0000572	WP_011071622.1, WP_011072167.1, WP_011073947.1, WP_011071353.1	WP_172961619.1
