Orthogroup	Shewanella oneidensis MR-1	Desulfotalea psychrophila LSv54
OG0000039	WP_011072119.1	WP_011188738.1
OG0000040	WP_011071891.1, WP_011073960.1	WP_041277819.1
OG0000040	WP_011072056.1	WP_011187281.1
OG0000041	WP_011071116.1	WP_041277450.1
OG0000042	WP_011071918.1	WP_011189777.1
OG0000043	WP_011073456.1	WP_228130175.1, WP_041277539.1, WP_011187331.1
OG0000043	WP_011070871.1	WP_011189535.1
OG0000045	WP_011071240.1	WP_011190203.1
OG0000045	WP_011073210.1	WP_011188148.1
OG0000047	WP_164925892.1	WP_011187275.1, WP_011190450.1
OG0000048	WP_011072589.1	WP_041277948.1
OG0000049	WP_011073706.1	WP_011187473.1
OG0000049	WP_011073980.1, WP_164925751.1, WP_011073209.1	WP_049785016.1
OG0000050	WP_011072948.1	WP_041278771.1
OG0000052	WP_011074450.1, WP_011071675.1	WP_011188194.1, WP_041277630.1, WP_011188193.1, WP_011188277.1, WP_041277548.1, WP_041277545.1
OG0000054	WP_011073962.1	WP_228130174.1, WP_011188415.1, WP_011187605.1
OG0000054	WP_011073937.1	WP_041278585.1, WP_011189292.1
OG0000056	WP_011072681.1	WP_011189187.1
OG0000058	WP_164925641.1	WP_011190338.1
OG0000060	WP_011073811.1, WP_011070564.1	WP_011187768.1
OG0000061	WP_011071699.1	WP_011190246.1
OG0000062	WP_011071925.1	WP_011188420.1, WP_041277693.1, WP_011187393.1
OG0000063	WP_011071975.1	WP_041277748.1
OG0000063	WP_011072151.1	WP_011190024.1
OG0000065	WP_011071919.1	WP_041277642.1
OG0000066	WP_011070781.1	WP_162096649.1
OG0000068	WP_011073624.1	WP_011188845.1
OG0000074	WP_011072654.1	WP_011187327.1, WP_011188124.1
OG0000075	WP_011071302.1	WP_011188800.1, WP_041277654.1, WP_265588547.1
OG0000076	WP_011073088.1	WP_011189884.1
OG0000080	WP_011073977.1	WP_011187758.1
OG0000080	WP_011073844.1	WP_011189349.1
OG0000081	WP_011073637.1	WP_011189028.1
OG0000082	WP_011071708.1, WP_011073949.1	WP_011189907.1
OG0000084	WP_011070711.1	WP_011189588.1, WP_049785027.1, WP_011188741.1
OG0000085	WP_011073685.1	WP_049784979.1
OG0000085	WP_011073684.1	WP_011188000.1
OG0000086	WP_011071335.1	WP_011188968.1, WP_041277821.1, WP_228130156.1
OG0000087	WP_011071464.1	WP_041278432.1, WP_011190071.1
OG0000088	WP_011073093.1	WP_041278034.1
OG0000091	WP_011074036.1	WP_011189088.1
OG0000091	WP_011072711.1	WP_265588615.1
OG0000092	WP_011071174.1	WP_011189765.1, WP_041277704.1
OG0000093	WP_011073475.1	WP_011187627.1, WP_041277722.1
OG0000095	WP_011071060.1	WP_011187326.1
OG0000095	WP_011072735.1	WP_011189875.1
OG0000096	WP_011071828.1	WP_011189156.1
OG0000100	WP_011073485.1, WP_011073486.1	WP_011188994.1
OG0000101	WP_011072328.1, WP_011072538.1	WP_011188468.1, WP_011187560.1
OG0000103	WP_011073353.1, WP_011071066.1, WP_011073588.1	WP_041277624.1, WP_011187572.1
OG0000105	WP_011072710.1	WP_011190029.1
OG0000105	WP_011074037.1	WP_041277849.1
OG0000106	WP_011074309.1, WP_011070542.1	WP_011190231.1, WP_011189715.1, WP_011188105.1
OG0000107	WP_011070652.1, WP_011073518.1, WP_011070960.1	WP_011189658.1
OG0000110	WP_164925741.1	WP_041277836.1, WP_011189886.1
OG0000112	WP_011070877.1	WP_011188067.1
OG0000112	WP_011072334.1, WP_011071211.1	WP_041277874.1
OG0000113	WP_011070488.1, WP_193378422.1	WP_041277425.1
OG0000114	WP_011071132.1	WP_011188364.1, WP_011187252.1
OG0000117	WP_238560518.1	WP_011188472.1
OG0000118	WP_011071863.1	WP_011189123.1
OG0000119	WP_011074079.1	WP_011187701.1, WP_156792185.1
OG0000119	WP_011073418.1, WP_011074247.1, WP_011073419.1, WP_011074248.1	WP_011188592.1, WP_011187807.1
OG0000121	WP_011073062.1	WP_011187278.1
OG0000122	WP_011073479.1	WP_228130180.1, WP_011188940.1
OG0000123	WP_011072189.1	WP_011189885.1, WP_011189032.1
OG0000124	WP_011072315.1	WP_011190234.1, WP_011187713.1, WP_011189499.1, WP_049784968.1, WP_049784989.1, WP_011187740.1, WP_011188230.1, WP_011188228.1, WP_041278040.1, WP_011188206.1, WP_011188205.1, WP_011188517.1, WP_011187537.1, WP_011189140.1, WP_049785065.1, WP_011189139.1, WP_041277858.1, WP_049785064.1
OG0000126	WP_011073889.1, WP_011071224.1, WP_011072559.1	WP_011190020.1
OG0000127	WP_011070937.1	WP_011188334.1
OG0000127	WP_011070936.1	WP_011188335.1
OG0000128	WP_011072719.1	WP_011190249.1
OG0000128	WP_164925918.1	WP_041278021.1
OG0000131	WP_011074276.1	WP_011189957.1
OG0000131	WP_011073076.1	WP_011187291.1
OG0000133	WP_011071864.1	WP_049785062.1
OG0000133	WP_011073952.1	WP_011188470.1
OG0000134	WP_011072921.1	WP_011188144.1
OG0000134	WP_011070453.1	WP_011189428.1
OG0000135	WP_011072007.1	WP_011190396.1, WP_011189338.1
OG0000136	WP_011070754.1	WP_011189843.1
OG0000136	WP_011072090.1, WP_011073658.1	WP_156792292.1
OG0000137	WP_011073955.1	WP_011188473.1
OG0000138	WP_011072065.1	WP_041277553.1, WP_198408700.1
OG0000141	WP_011071946.1	WP_011190214.1
OG0000143	WP_011070643.1, WP_011070826.1, WP_011072164.1	WP_011190324.1
OG0000144	WP_011073693.1	WP_011189528.1
OG0000145	WP_011072293.1, WP_274544323.1	WP_156792207.1, WP_011188174.1
OG0000147	WP_011070775.1	WP_011190023.1
OG0000148	WP_007647640.1	WP_011188499.1
OG0000150	WP_011071499.1	WP_156792302.1, WP_011188038.1
OG0000151	WP_164925895.1	WP_156792391.1
OG0000154	WP_011071098.1, WP_011072297.1	WP_011188535.1
OG0000155	WP_011071290.1	WP_011189442.1, WP_011189443.1
OG0000156	WP_011072753.1, WP_172966557.1	WP_041278107.1, WP_011189065.1
OG0000160	WP_011072083.1, WP_011073275.1	WP_228130154.1
OG0000161	WP_011071608.1	WP_011189119.1
OG0000163	WP_011072686.1	WP_049784999.1, WP_011190105.1
OG0000164	WP_011072564.1	WP_041277432.1
OG0000164	WP_011070705.1	WP_011187437.1
OG0000165	WP_011074254.1	WP_011187672.1
OG0000166	WP_011072678.1	WP_041278008.1
OG0000169	WP_011072289.1	WP_041278049.1
OG0000170	WP_011071331.1	WP_011187704.1
OG0000170	WP_164925722.1	WP_228130166.1, WP_228130165.1
OG0000172	WP_011071837.1	WP_011188712.1
OG0000173	WP_011074070.1	WP_011187845.1
OG0000176	WP_011072162.1	WP_011187404.1
OG0000177	WP_164925652.1, WP_011071660.1	WP_228130183.1
OG0000177	WP_238560516.1, WP_238560514.1	WP_011189281.1
OG0000183	WP_011071285.1	WP_041277717.1
OG0000184	WP_011073827.1	WP_011189110.1
OG0000185	WP_011071291.1	WP_162096651.1
OG0000186	WP_011072441.1	WP_041277626.1
OG0000187	WP_011070604.1, WP_011070615.1	WP_011188352.1, WP_011188365.1
OG0000188	WP_011072672.1	WP_011188912.1
OG0000190	WP_011074103.1	WP_041277447.1
OG0000191	WP_011073796.1	WP_011188792.1
OG0000192	WP_011071668.1	WP_049785055.1, WP_011189154.1
OG0000193	WP_011071804.1	WP_011188238.1
OG0000195	WP_011072959.1	WP_011189858.1
OG0000197	WP_011072025.1	WP_011188331.1, WP_011187639.1
OG0000201	WP_011073893.1	WP_011188242.1
OG0000203	WP_011074121.1	WP_011189716.1, WP_041277494.1
OG0000205	WP_011072292.1	WP_011188851.1
OG0000207	WP_011071697.1	WP_011190248.1, WP_011188263.1
OG0000208	WP_011071698.1	WP_011188262.1, WP_011190247.1
OG0000210	WP_011070824.1	WP_011188475.1, WP_011187438.1
OG0000212	WP_011072160.1	WP_011187826.1
OG0000214	WP_011071851.1	WP_041277773.1, WP_011188783.1
OG0000215	WP_011072513.1	WP_041278351.1
OG0000216	WP_011070906.1	WP_011190303.1
OG0000217	WP_011072567.1	WP_041278087.1
OG0000218	WP_011073221.1	WP_011188935.1
OG0000219	WP_011073290.1	WP_011187520.1
OG0000222	WP_011073677.1	WP_041277470.1, WP_011190100.1
OG0000223	WP_011071799.1	WP_041277805.1
OG0000225	WP_011072456.1	WP_011190357.1
OG0000226	WP_011073007.1, WP_011071423.1	WP_041277609.1
OG0000227	WP_011072928.1	WP_011188872.1
OG0000228	WP_011073400.1	WP_228130150.1
OG0000230	WP_238560519.1	WP_011189365.1
OG0000232	WP_011072554.1, WP_011072555.1	WP_162096624.1
OG0000233	WP_011072421.1	WP_041277996.1
OG0000234	WP_007644947.1	WP_011188725.1
OG0000235	WP_011070658.1	WP_011189740.1, WP_011188066.1
OG0000238	WP_011071225.1	WP_011190078.1
OG0000239	WP_011073040.1	WP_156792203.1, WP_011189492.1
OG0000243	WP_011073841.1	WP_041277879.1
OG0000244	WP_011072179.1	WP_011187903.1
OG0000245	WP_011072111.1	WP_156792261.1
OG0000249	WP_011070495.1, WP_011070799.1, WP_011071836.1	WP_011187440.1
OG0000250	WP_011073096.1	WP_041278036.1
OG0000250	WP_011072528.1	WP_011187912.1
OG0000253	WP_011073904.1	WP_041278077.1
OG0000254	WP_011071486.1	WP_011190405.1
OG0000256	WP_238560588.1	WP_193763857.1
OG0000257	WP_011070755.1	WP_011187938.1
OG0000260	WP_011071974.1	WP_011187671.1
OG0000261	WP_011073501.1	WP_041278096.1
OG0000261	WP_011073468.1	WP_011187462.1
OG0000262	WP_011071339.1	WP_041277999.1
OG0000263	WP_011073465.1	WP_011190212.1
OG0000264	WP_011074330.1	WP_011188079.1
OG0000265	WP_011074332.1	WP_011188077.1
OG0000266	WP_011074335.1	WP_011188060.1
OG0000267	WP_011070862.1, WP_011074441.1, WP_011074195.1	WP_011187616.1
OG0000268	WP_238560570.1	WP_011189056.1
OG0000270	WP_011071728.1	WP_011189127.1
OG0000271	WP_011072821.1	WP_011187803.1, WP_011190276.1
OG0000277	WP_011074053.1	WP_011188116.1
OG0000280	WP_011073661.1	WP_011189891.1
OG0000283	WP_011072163.1	WP_011187819.1
OG0000284	WP_011070541.1, WP_011072419.1	WP_156792243.1
OG0000285	WP_011072952.1	WP_041278086.1
OG0000286	WP_011071292.1	WP_041277467.1
OG0000286	WP_011073470.1	WP_049785127.1
OG0000290	WP_011072343.1, WP_238560560.1	WP_011189438.1
OG0000291	WP_011071410.1	WP_011188846.1
OG0000294	WP_011071947.1	WP_011190213.1
OG0000295	WP_011073887.1	WP_011188719.1, WP_011189959.1
OG0000296	WP_011072380.1	WP_041277610.1
OG0000299	WP_011073882.1	WP_228130178.1
OG0000300	WP_011072153.1	WP_011188258.1, WP_011187827.1
OG0000301	WP_011071783.1	WP_011189481.1, WP_011188387.1
OG0000303	WP_011073360.1	WP_011188699.1
OG0000304	WP_011072031.1	WP_011189335.1, WP_011190399.1
OG0000308	WP_011071279.1	WP_011188557.1
OG0000309	WP_011071595.1, WP_011070438.1	WP_041277735.1, WP_011187371.1
OG0000311	WP_011072135.1	WP_011189408.1
OG0000312	WP_011070819.1	WP_011190120.1
OG0000313	WP_011073771.1	WP_162096635.1
OG0000320	WP_011072305.1	WP_011187789.1, WP_011187785.1
OG0000322	WP_011073058.1	WP_156792160.1
OG0000323	WP_011074098.1	WP_011189109.1, WP_041278448.1
OG0000324	WP_011071654.1, WP_238560608.1, WP_011070844.1	WP_011189814.1, WP_011188245.1, WP_011189660.1
OG0000326	WP_011072729.1	WP_041278066.1, WP_041277799.1
OG0000331	WP_011072391.1, WP_011070665.1	WP_011189375.1
OG0000332	WP_011072097.1	WP_011188672.1, WP_011188671.1
OG0000333	WP_011072976.1	WP_011190299.1
OG0000337	WP_011073303.1	WP_011188684.1
OG0000338	WP_011072304.1	WP_011188054.1
OG0000339	WP_011071571.1	WP_011187987.1
OG0000341	WP_011074400.1, WP_011074453.1	WP_011190455.1
OG0000341	WP_011074405.1	WP_041277512.1
OG0000343	WP_011073906.1	WP_041277972.1, WP_041278078.1
OG0000345	WP_164925834.1	WP_011187347.1
OG0000349	WP_011071293.1, WP_011073469.1	WP_011187460.1, WP_011190220.1
OG0000350	WP_011073022.1	WP_011188163.1
OG0000351	WP_011074194.1, WP_011074442.1	WP_162096620.1
OG0000352	WP_011071500.1	WP_011188037.1
OG0000353	WP_011071907.1	WP_011188201.1, WP_011187388.1
OG0000354	WP_011073978.1	WP_011187759.1
OG0000355	WP_011072812.1	WP_011188481.1
OG0000356	WP_011073744.1	WP_011189820.1
OG0000357	WP_011073698.1	WP_011187686.1
OG0000358	WP_011072420.1	WP_011188159.1
OG0000359	WP_011072820.1	WP_011187804.1
OG0000360	WP_007651015.1	WP_041277667.1
OG0000361	WP_011072771.1	WP_011190034.1
OG0000362	WP_011072049.1	WP_011188275.1
OG0000366	WP_011072246.1	WP_041278090.1
OG0000371	WP_011071109.1, WP_011071046.1, WP_011074066.1	WP_011190222.1
OG0000372	WP_011070445.1	WP_011187969.1
OG0000373	WP_011070440.1	WP_011187968.1
OG0000374	WP_011071852.1	WP_041278286.1
OG0000381	WP_011070926.1	WP_011188623.1
OG0000382	WP_011071707.1, WP_011073950.1	WP_011189906.1
OG0000383	WP_011070809.1	WP_011187989.1
OG0000385	WP_164925904.1	WP_011188700.1
OG0000388	WP_006081231.1	WP_011190030.1
OG0000389	WP_011072489.1, WP_011070448.1	WP_011187991.1
OG0000390	WP_011071396.1	WP_011189231.1
OG0000392	WP_011070947.1	WP_011187683.1
OG0000393	WP_011070464.1	WP_011189713.1
OG0000394	WP_011073054.1, WP_011073075.1	WP_041278134.1
OG0000396	WP_011073074.1	WP_011187289.1
OG0000397	WP_011070943.1	WP_041277793.1
OG0000398	WP_011071816.1	WP_173362835.1, WP_011190427.1
OG0000399	WP_011074310.1, WP_164925796.1	WP_041277921.1, WP_011190232.1
OG0000400	WP_011072977.1, WP_011073596.1	WP_011189966.1
OG0000401	WP_011072333.1	WP_011189767.1
OG0000403	WP_011073692.1	WP_011189529.1
OG0000404	WP_011071509.1	WP_162096667.1
OG0000405	WP_011071613.1	WP_011189762.1
OG0000405	WP_011070770.1	WP_041277937.1
OG0000406	WP_011073884.1	WP_011188036.1
OG0000407	WP_007647520.1	WP_011187531.1
OG0000408	WP_238560562.1, WP_011073864.1	WP_011189463.1
OG0000409	WP_011071363.1	WP_173362847.1
OG0000410	WP_011071375.1	WP_011190337.1
OG0000411	WP_164925601.1, WP_011074142.1, WP_011072756.1	WP_041277604.1
OG0000413	WP_011073296.1	WP_011189040.1
OG0000414	WP_011071865.1	WP_011189125.1
OG0000415	WP_011074080.1	WP_011187702.1
OG0000418	WP_011072966.1	WP_011189597.1, WP_011188565.1
OG0000419	WP_011072397.1	WP_011189440.1
OG0000420	WP_011073084.1	WP_011187900.1, WP_011189525.1
OG0000421	WP_011074212.1	WP_011188876.1
OG0000423	WP_164925682.1	WP_041278794.1
OG0000425	WP_011074325.1	WP_041278082.1
OG0000426	WP_011072924.1	WP_011188860.1
OG0000427	WP_011072306.1	WP_011188346.1
OG0000428	WP_011073691.1	WP_041277939.1
OG0000429	WP_011072763.1	WP_011187772.1
OG0000433	WP_011071889.1	WP_011189706.1
OG0000434	WP_011073587.1	WP_011187316.1
OG0000435	WP_011072593.1	WP_041278103.1
OG0000435	WP_011071672.1	WP_011187397.1
OG0000437	WP_011071215.1	WP_011188093.1
OG0000439	WP_011071906.1	WP_011187387.1, WP_011188202.1
OG0000443	WP_011073208.1	WP_041278382.1
OG0000444	WP_011070433.1, WP_011074432.1, WP_011073269.1, WP_011071523.1	WP_228130145.1
OG0000446	WP_011073130.1	WP_011189905.1
OG0000449	WP_011071298.1	WP_265588553.1
OG0000458	WP_011072562.1	WP_011190050.1
OG0000459	WP_011073913.1	WP_011189199.1
OG0000460	WP_011072676.1	WP_011189785.1
OG0000461	WP_011071367.1	WP_011188884.1
OG0000462	WP_011073690.1	WP_041277938.1
OG0000463	WP_011071797.1	WP_011189177.1
OG0000466	WP_006080725.1	WP_041277422.1
OG0000467	WP_011072155.1	WP_011187824.1
OG0000468	WP_011070714.1	WP_011189509.1
OG0000469	WP_011073401.1	WP_011188053.1
OG0000470	WP_011072536.1, WP_011073891.1	WP_011190065.1
OG0000471	WP_011072667.1	WP_011188128.1
OG0000472	WP_011073223.1	WP_011189474.1
OG0000474	WP_011071577.1, WP_011071238.1	WP_011189845.1
OG0000475	WP_011073167.1	WP_011188169.1
OG0000476	WP_011071399.1	WP_041277668.1
OG0000477	WP_011074312.1	WP_011188156.1
OG0000478	WP_164925611.1	WP_011190301.1
OG0000479	WP_011072689.1	WP_011189651.1
OG0000480	WP_006081934.1	WP_041278396.1
OG0000482	WP_011074122.1	WP_011189018.1
OG0000484	WP_011070446.1, WP_011071740.1, WP_011072239.1	WP_011187369.1
OG0000485	WP_011072690.1	WP_011189650.1
OG0000486	WP_011073892.1	WP_011189991.1
OG0000487	WP_011071362.1	WP_041278024.1
OG0000488	WP_011073923.1, WP_011071649.1	WP_011187960.1
OG0000489	WP_011072308.1	WP_011188276.1
OG0000490	WP_011073738.1, WP_011072517.1	WP_162096643.1
OG0000491	WP_011073025.1	WP_041278044.1
OG0000492	WP_011072105.1	WP_011190160.1
OG0000493	WP_011070602.1	WP_011188045.1
OG0000495	WP_011071232.1	WP_011189170.1
OG0000496	WP_011072269.1, WP_011072271.1	WP_049785040.1
OG0000497	WP_011070462.1	WP_011189797.1
OG0000498	WP_011070463.1, WP_011073289.1	WP_011189796.1
OG0000500	WP_011073302.1	WP_011188406.1
OG0000501	WP_011073979.1	WP_041277540.1
OG0000502	WP_011073914.1	WP_011189198.1
OG0000503	WP_011073940.1	WP_041277961.1
OG0000504	WP_011071374.1	WP_041278120.1
OG0000505	WP_011072417.1	WP_041277824.1
OG0000506	WP_011073396.1	WP_049785112.1
OG0000507	WP_011072805.1	WP_228130170.1
OG0000508	WP_011072950.1	WP_011187508.1
OG0000509	WP_011071177.1	WP_011187888.1
OG0000510	WP_164925926.1	WP_011189093.1
OG0000511	WP_011072320.1	WP_011188090.1
OG0000512	WP_011071575.1	WP_011189412.1
OG0000513	WP_011073166.1	WP_011188168.1
OG0000514	WP_011071796.1	WP_041278089.1
OG0000515	WP_011073016.1	WP_011189178.1
OG0000516	WP_011070666.1	WP_041277801.1
OG0000520	WP_011071914.1	WP_041278621.1
OG0000521	WP_011072700.1	WP_011188856.1
OG0000522	WP_011070929.1	WP_011189825.1
OG0000523	WP_011071704.1	WP_011189941.1
OG0000524	WP_011070427.1, WP_011073645.1	WP_011187894.1
OG0000525	WP_011072362.1	WP_041277510.1
OG0000526	WP_011072542.1	WP_011190256.1
OG0000527	WP_011071884.1	WP_011189472.1
OG0000530	WP_011072392.1	WP_049785116.1
OG0000531	WP_011071357.1	WP_228130141.1
OG0000532	WP_011071368.1	WP_011188723.1
OG0000533	WP_011072568.1	WP_011188031.1
OG0000534	WP_011070880.1	WP_011187873.1
OG0000535	WP_011071476.1, WP_011071473.1	WP_011190194.1
OG0000536	WP_011071542.1	WP_011187628.1
OG0000537	WP_011073663.1	WP_011189840.1
OG0000538	WP_011073746.1	WP_011187361.1
OG0000539	WP_011072201.1	WP_011188585.1
OG0000540	WP_011073236.1	WP_011189704.1
OG0000542	WP_011073694.1	WP_041277608.1
OG0000543	WP_011072926.1	WP_041278539.1
OG0000544	WP_011072157.1	WP_011187828.1
OG0000545	WP_011072102.1	WP_011188974.1
OG0000546	WP_011071505.1	WP_011187675.1
OG0000547	WP_011071600.1, WP_011074097.1	WP_041277944.1
OG0000548	WP_011071430.1	WP_011187345.1
OG0000549	WP_011073367.1	WP_011189640.1
OG0000550	WP_164925726.1	WP_011188945.1
OG0000551	WP_011071057.1	WP_011189864.1
OG0000555	WP_011070543.1	WP_011188911.1
OG0000558	WP_011072569.1, WP_011073308.1	WP_011188479.1
OG0000566	WP_011072774.1	WP_011189759.1, WP_011188209.1
OG0000569	WP_011072791.1	WP_265588590.1, WP_011187919.1
OG0000570	WP_011071815.1	WP_011188250.1, WP_011190423.1, WP_011187271.1
OG0000571	WP_011070592.1	WP_083818934.1
OG0000572	WP_011071622.1, WP_011072167.1, WP_011073947.1, WP_011071353.1	WP_011188021.1
OG0000576	WP_011073695.1	WP_156792204.1
OG0000577	WP_011071502.1	WP_041277922.1
OG0000578	WP_011070425.1	WP_265588588.1
OG0000579	WP_011072382.1	WP_041277577.1
OG0000580	WP_011071401.1	WP_011189859.1
OG0000581	WP_011070605.1	WP_011188354.1
OG0000582	WP_011072691.1	WP_011188971.1
OG0000583	WP_011072298.1, WP_011073315.1	WP_041277672.1
OG0000584	WP_011070420.1	WP_011188100.1
OG0000585	WP_011070421.1	WP_083818932.1
OG0000586	WP_011070423.1	WP_041277613.1
OG0000587	WP_011073319.1	WP_011189426.1
OG0000588	WP_011071543.1	WP_011188096.1
OG0000589	WP_011073895.1	WP_011189180.1
OG0000590	WP_011071782.1	WP_011188172.1
OG0000591	WP_011071988.1	WP_041277520.1
OG0000592	WP_011070797.1	WP_011189429.1
OG0000593	WP_011071160.1	WP_041278079.1
OG0000594	WP_164925584.1	WP_162096625.1
OG0000595	WP_011073680.1	WP_011188721.1
OG0000596	WP_011070930.1	WP_011189197.1
OG0000597	WP_011070933.1	WP_011189171.1
OG0000598	WP_011073908.1	WP_011190145.1
OG0000599	WP_006083042.1	WP_011189837.1
OG0000600	WP_011070456.1	WP_041278909.1
OG0000601	WP_011070650.1	WP_011187681.1
OG0000603	WP_011071702.1	WP_011189475.1
OG0000604	WP_011073440.1	WP_041278118.1
OG0000605	WP_011073439.1	WP_156792331.1
OG0000606	WP_011072376.1	WP_011188166.1
OG0000607	WP_164925802.1	WP_011187525.1
OG0000608	WP_011071703.1	WP_011188883.1
OG0000609	WP_011072357.1	WP_049785044.1
OG0000610	WP_011073188.1	WP_011188404.1
OG0000611	WP_011071421.1	WP_011189430.1
OG0000612	WP_011071798.1	WP_011190047.1
OG0000613	WP_006080791.1	WP_011190046.1
OG0000614	WP_011072032.1	WP_011187529.1
OG0000615	WP_011071784.1	WP_011188395.1
OG0000616	WP_011071786.1	WP_228130172.1
OG0000617	WP_011070618.1	WP_011188368.1
OG0000618	WP_011070620.1	WP_011188370.1
OG0000619	WP_006083596.1	WP_011188371.1
OG0000620	WP_006083595.1	WP_011188372.1
OG0000621	WP_011070621.1	WP_011188373.1
OG0000623	WP_011073687.1	WP_011189965.1
OG0000624	WP_007650346.1	WP_011189832.1
OG0000625	WP_011073451.1	WP_011189833.1
OG0000626	WP_011073399.1	WP_011187844.1
OG0000627	WP_011073042.1	WP_011188405.1
OG0000628	WP_011071409.1	WP_011189052.1
OG0000630	WP_011073225.1	WP_011188034.1
OG0000631	WP_011073224.1	WP_011188032.1
OG0000632	WP_011073222.1	WP_011190021.1
OG0000634	WP_011073362.1	WP_011189407.1
OG0000635	WP_011071429.1	WP_011188882.1
OG0000637	WP_011072714.1	WP_011190035.1
OG0000638	WP_011070724.1	WP_011190101.1
OG0000639	WP_011072734.1	WP_011189179.1
OG0000640	WP_011072733.1	WP_011189473.1
OG0000641	WP_011073048.1	WP_011189464.1
OG0000642	WP_011072310.1	WP_011189005.1
OG0000643	WP_011072175.1	WP_011189974.1
OG0000644	WP_011071416.1	WP_011188027.1
OG0000645	WP_011072241.1	WP_011187303.1
OG0000646	WP_011070601.1	WP_011190137.1
OG0000647	WP_011073899.1	WP_011190138.1
OG0000648	WP_011073903.1	WP_011190141.1
OG0000649	WP_011073601.1	WP_011189975.1
OG0000650	WP_011072929.1	WP_011188871.1
OG0000651	WP_238560600.1	WP_011188863.1
OG0000652	WP_011071706.1	WP_011189939.1
OG0000653	WP_011071555.1	WP_011189434.1
OG0000655	WP_011074260.1	WP_011188330.1
OG0000656	WP_011071432.1	WP_011189856.1
