Orthogroup	Shewanella oneidensis MR-1	Desulfocapsa sulfexigens DSM 10523
OG0000053	WP_011073632.1	WP_015405788.1
OG0000053	WP_011071230.1	WP_228130071.1
OG0000054	WP_011073962.1	WP_015404045.1
OG0000055	WP_011073153.1	WP_015404642.1
OG0000056	WP_011072681.1	WP_015402552.1
OG0000058	WP_164925641.1	WP_015402352.1, WP_015405249.1, WP_015404440.1, WP_015405240.1, WP_015403671.1
OG0000060	WP_011070564.1	WP_015403496.1
OG0000062	WP_011071925.1	WP_041916419.1
OG0000063	WP_011071975.1	WP_015405546.1
OG0000063	WP_011072151.1	WP_015404799.1
OG0000065	WP_011071952.1, WP_011070961.1	WP_015402775.1, WP_015402615.1
OG0000065	WP_011071919.1	WP_015402731.1
OG0000070	WP_011074269.1	WP_015404487.1, WP_228130013.1
OG0000074	WP_011072654.1	WP_015402447.1
OG0000075	WP_011071302.1	WP_015403341.1
OG0000076	WP_011073088.1	WP_015405226.1
OG0000077	WP_011073434.1, WP_011071244.1	WP_015404654.1
OG0000077	WP_011071152.1	WP_015404715.1
OG0000080	WP_011073977.1	WP_015403975.1
OG0000080	WP_011073844.1	WP_015405717.1
OG0000080	WP_011074382.1	WP_015402686.1
OG0000080	WP_011073024.1	WP_015404671.1
OG0000081	WP_011073637.1	WP_153304848.1, WP_015402793.1
OG0000082	WP_011071708.1, WP_011073949.1	WP_015404747.1, WP_015405296.1
OG0000083	WP_164925748.1	WP_015405472.1
OG0000085	WP_011073685.1	WP_015403009.1, WP_015404908.1, WP_167320721.1
OG0000085	WP_011073684.1	WP_153304855.1
OG0000086	WP_011071335.1	WP_015403683.1
OG0000087	WP_011071464.1	WP_015402777.1, WP_015404821.1, WP_015405668.1
OG0000088	WP_011073093.1	WP_015405225.1
OG0000091	WP_011074036.1	WP_015402418.1
OG0000091	WP_011072711.1	WP_015404791.1
OG0000092	WP_011072485.1, WP_011071838.1	WP_015403796.1
OG0000092	WP_011071174.1	WP_015403008.1, WP_015402386.1
OG0000093	WP_011073475.1	WP_015402704.1
OG0000094	WP_011074278.1	WP_015404230.1
OG0000095	WP_011071060.1	WP_015403025.1
OG0000095	WP_011072735.1	WP_265588636.1
OG0000096	WP_011071494.1	WP_015405356.1
OG0000099	WP_011072500.1, WP_165443312.1	WP_015403552.1, WP_015403528.1, WP_015403001.1
OG0000100	WP_011073485.1, WP_011073486.1	WP_015404401.1, WP_167320752.1, WP_015404701.1, WP_015404229.1, WP_015404121.1
OG0000101	WP_011072328.1, WP_011072538.1	WP_228130039.1, WP_015403666.1
OG0000103	WP_011073353.1, WP_011071066.1, WP_011073588.1	WP_015404021.1, WP_015402491.1
OG0000105	WP_011072710.1	WP_015404793.1
OG0000105	WP_011074037.1	WP_015402408.1
OG0000105	WP_164925736.1	WP_015404215.1
OG0000106	WP_011074309.1, WP_011070542.1	WP_015403625.1, WP_015404007.1
OG0000107	WP_011070960.1	WP_153304789.1
OG0000110	WP_164925741.1	WP_015405228.1
OG0000112	WP_011070877.1	WP_015403936.1
OG0000112	WP_011072334.1, WP_011071211.1	WP_015404001.1
OG0000113	WP_011070488.1, WP_193378422.1	WP_015403318.1, WP_015404088.1
OG0000114	WP_011071132.1	WP_015404279.1, WP_015402582.1
OG0000115	WP_011070766.1	WP_015403910.1
OG0000115	WP_011070806.1	WP_015404572.1
OG0000116	WP_011071533.1	WP_015402490.1
OG0000117	WP_238560518.1	WP_015403805.1
OG0000117	WP_011071862.1	WP_015403283.1
OG0000118	WP_011071863.1	WP_015403282.1, WP_015403158.1
OG0000119	WP_011073622.1	WP_015402797.1
OG0000121	WP_011073062.1	WP_015404050.1
OG0000122	WP_011073479.1	WP_015403700.1
OG0000123	WP_011072189.1	WP_015405227.1
OG0000126	WP_011073889.1, WP_011071224.1, WP_011072559.1	WP_015404803.1
OG0000126	WP_164925838.1	WP_015402913.1
OG0000127	WP_011070937.1	WP_015404182.1
OG0000127	WP_011070936.1	WP_015404183.1
OG0000128	WP_011072719.1	WP_015402505.1
OG0000128	WP_164925918.1	WP_015405039.1
OG0000129	WP_011074177.1, WP_011072325.1, WP_011072531.1, WP_011072068.1	WP_015402307.1
OG0000130	WP_011073813.1, WP_011071510.1	WP_015402762.1
OG0000131	WP_011074276.1	WP_153304997.1
OG0000131	WP_011073076.1	WP_015404061.1
OG0000133	WP_011071864.1	WP_015403281.1, WP_228130062.1
OG0000133	WP_011073952.1	WP_228130048.1
OG0000134	WP_011072921.1	WP_015402789.1
OG0000134	WP_011070453.1	WP_015405212.1
OG0000135	WP_011072682.1	WP_015403944.1
OG0000135	WP_011072007.1	WP_015403834.1
OG0000136	WP_011070754.1	WP_015405013.1
OG0000136	WP_011072090.1, WP_011073658.1	WP_015405352.1
OG0000137	WP_011071729.1	WP_015403284.1
OG0000137	WP_011073955.1	WP_015403804.1, WP_015403527.1
OG0000143	WP_011070641.1	WP_015402647.1
OG0000143	WP_011070643.1, WP_011070826.1, WP_011072164.1	WP_015402714.1
OG0000144	WP_011073693.1	WP_015404779.1
OG0000145	WP_011072293.1, WP_274544323.1	WP_015404615.1, WP_015402384.1
OG0000147	WP_011070775.1	WP_015404800.1
OG0000150	WP_011071499.1	WP_015404955.1, WP_015404102.1, WP_015403878.1
OG0000151	WP_164925895.1	WP_015404064.1
OG0000154	WP_011071098.1, WP_011072297.1	WP_015403217.1
OG0000155	WP_011071290.1	WP_015404997.1, WP_015404996.1
OG0000158	WP_011072993.1, WP_011073603.1, WP_164925679.1	WP_015403712.1
OG0000160	WP_011072083.1, WP_011073275.1	WP_015402570.1
OG0000161	WP_011071608.1	WP_015403558.1
OG0000163	WP_011072686.1	WP_015403342.1, WP_015404356.1
OG0000164	WP_011070705.1	WP_015403628.1
OG0000165	WP_011074254.1	WP_015402948.1
OG0000166	WP_011072678.1	WP_015405604.1
OG0000166	WP_011074265.1	WP_015404252.1
OG0000168	WP_011070460.1	WP_015403840.1
OG0000169	WP_011072289.1	WP_015404816.1
OG0000170	WP_164925722.1	WP_015403919.1
OG0000172	WP_011071837.1	WP_015404511.1
OG0000173	WP_011074241.1, WP_011072043.1, WP_011074115.1, WP_011070952.1, WP_011072168.1	WP_015403640.1
OG0000173	WP_011074070.1	WP_015403433.1
OG0000177	WP_164925652.1, WP_011071660.1	WP_015402938.1
OG0000178	WP_011071538.1	WP_041916346.1, WP_015403012.1, WP_167320722.1, WP_015404763.1
OG0000179	WP_011073121.1, WP_011073122.1	WP_015403164.1
OG0000183	WP_011071285.1	WP_208598531.1
OG0000184	WP_011073828.1	WP_015403677.1
OG0000184	WP_011073827.1	WP_015404418.1
OG0000185	WP_011071291.1	WP_015405172.1
OG0000187	WP_011070604.1, WP_011070615.1	WP_015404268.1
OG0000188	WP_011072672.1	WP_015403875.1
OG0000189	WP_011073743.1	WP_015404553.1
OG0000191	WP_011073796.1	WP_228130031.1
OG0000193	WP_011071804.1	WP_015402732.1
OG0000195	WP_011072959.1	WP_167320713.1, WP_015402308.1
OG0000197	WP_011072025.1	WP_015404178.1
OG0000197	WP_011070709.1	WP_015402858.1
OG0000198	WP_011071934.1	WP_015404032.1
OG0000200	WP_011074346.1, WP_202950646.1	WP_015405573.1
OG0000201	WP_011073893.1	WP_015402726.1
OG0000203	WP_011074121.1	WP_015403624.1, WP_015405501.1
OG0000205	WP_011072292.1	WP_052326952.1
OG0000210	WP_011070824.1	WP_153304845.1
OG0000211	WP_011073968.1, WP_011073834.1	WP_015402955.1
OG0000212	WP_011072160.1	WP_015403425.1
OG0000214	WP_011071851.1	WP_015403656.1
OG0000215	WP_011072513.1	WP_015403395.1
OG0000216	WP_011070906.1	WP_015403304.1, WP_015404094.1
OG0000217	WP_011072567.1	WP_015404433.1
OG0000218	WP_011073221.1	WP_015405521.1, WP_015403719.1, WP_015403718.1
OG0000219	WP_011073290.1	WP_015403862.1
OG0000222	WP_011073677.1	WP_015404363.1
OG0000223	WP_011071799.1	WP_015404744.1
OG0000225	WP_011072456.1	WP_228130059.1, WP_015402983.1
OG0000226	WP_011071424.1, WP_011073006.1, WP_011073007.1, WP_011071423.1	WP_015403895.1
OG0000227	WP_011072928.1	WP_015405532.1
OG0000228	WP_011073400.1	WP_015404722.1
OG0000230	WP_011070594.1	WP_015405214.1
OG0000232	WP_011072554.1	WP_015404828.1
OG0000232	WP_011072555.1	WP_228130015.1
OG0000233	WP_011072421.1	WP_015405001.1, WP_015403097.1
OG0000234	WP_007644947.1	WP_015404541.1
OG0000235	WP_011070658.1	WP_015402571.1, WP_015403933.1
OG0000236	WP_011073712.1, WP_011070717.1	WP_015403802.1, WP_015402832.1, WP_015405047.1
OG0000238	WP_011071225.1	WP_015403087.1, WP_015403615.1
OG0000239	WP_011073040.1	WP_015403176.1
OG0000242	WP_011072198.1	WP_015405234.1, WP_015404444.1, WP_015405245.1
OG0000243	WP_011073841.1	WP_015404772.1
OG0000244	WP_011072179.1	WP_015404822.1
OG0000245	WP_011072111.1	WP_208598476.1, WP_228130017.1, WP_228130061.1
OG0000250	WP_011073096.1	WP_015405307.1
OG0000253	WP_011073904.1, WP_011073905.1	WP_015405687.1
OG0000256	WP_238560588.1	WP_015403654.1
OG0000257	WP_011070755.1	WP_015404474.1, WP_015403400.1
OG0000260	WP_011071974.1	WP_015402947.1
OG0000261	WP_011073501.1	WP_015403028.1
OG0000261	WP_011073468.1	WP_015404558.1
OG0000262	WP_011071339.1, WP_011071933.1, WP_164925915.1	WP_015405634.1
OG0000263	WP_011073465.1	WP_015403031.1
OG0000264	WP_011074330.1	WP_015403248.1, WP_015403956.1
OG0000265	WP_011074332.1	WP_015403241.1, WP_015403954.1
OG0000266	WP_011074335.1	WP_015403244.1, WP_015403914.1
OG0000268	WP_238560570.1	WP_228130027.1
OG0000268	WP_011071397.1	WP_015402508.1
OG0000269	WP_011071681.1	WP_015404334.1, WP_015404333.1
OG0000270	WP_011071728.1	WP_015403162.1
OG0000271	WP_011072821.1	WP_015402792.1
OG0000272	WP_011072181.1	WP_015403141.1, WP_015403406.1, WP_015404095.1, WP_015403606.1
OG0000277	WP_011074053.1	WP_015404536.1
OG0000277	WP_164925622.1	WP_015404527.1
OG0000280	WP_011073661.1	WP_015405279.1, WP_015405280.1
OG0000283	WP_011072163.1	WP_015403418.1
OG0000284	WP_011070541.1, WP_011072419.1	WP_015403619.1
OG0000285	WP_011072952.1	WP_015404434.1
OG0000286	WP_011071292.1	WP_015404559.1
OG0000288	WP_164925856.1	WP_015405114.1
OG0000290	WP_011072343.1, WP_238560560.1	WP_015404568.1
OG0000291	WP_011071410.1	WP_015404986.1
OG0000294	WP_011073467.1	WP_015403030.1
OG0000295	WP_011073887.1	WP_015404534.1
OG0000296	WP_011072380.1	WP_015403918.1
OG0000299	WP_011073882.1	WP_015403320.1, WP_015405743.1
OG0000300	WP_011072153.1	WP_015403426.1
OG0000301	WP_011071783.1	WP_228130009.1, WP_015403119.1
OG0000305	WP_011073686.1	WP_015403709.1
OG0000306	WP_164925703.1, WP_011071113.1	WP_015405248.1
OG0000308	WP_011071279.1	WP_015405760.1
OG0000309	WP_011071595.1, WP_011070438.1	WP_015403758.1
OG0000311	WP_011072135.1	WP_265588653.1, WP_015405461.1, WP_208598473.1
OG0000312	WP_011070819.1	WP_015405651.1
OG0000313	WP_011073771.1	WP_015404163.1
OG0000318	WP_011071900.1, WP_011071905.1, WP_011071629.1, WP_238560522.1	WP_015402849.1
OG0000320	WP_011072305.1	WP_015403444.1
OG0000322	WP_011073058.1, WP_011073154.1	WP_015404641.1
OG0000323	WP_011074098.1	WP_015404848.1
OG0000324	WP_011071654.1, WP_238560608.1, WP_011070844.1	WP_015404907.1
OG0000325	WP_011071119.1	WP_041916275.1, WP_015405569.1
OG0000326	WP_011072729.1	WP_041916402.1
OG0000331	WP_011072391.1, WP_011070665.1	WP_015405475.1
OG0000332	WP_011072097.1	WP_015405537.1
OG0000333	WP_011072976.1	WP_015403733.1, WP_015403934.1
OG0000335	WP_011070931.1	WP_015403959.1
OG0000337	WP_011073303.1	WP_015405731.1
OG0000338	WP_011072304.1	WP_015403909.1
OG0000339	WP_011071571.1	WP_015403039.1, WP_015405469.1
OG0000341	WP_011074400.1, WP_011074453.1, WP_011074405.1	WP_015405804.1
OG0000343	WP_011073906.1	WP_015405688.1
OG0000345	WP_164925834.1	WP_015403061.1
OG0000347	WP_011071237.1	WP_228130011.1
OG0000349	WP_011071293.1, WP_011073469.1	WP_015404560.1
OG0000352	WP_011071500.1	WP_015405787.1, WP_015403877.1
OG0000353	WP_011071907.1	WP_015404899.1
OG0000354	WP_011073845.1	WP_015402685.1
OG0000354	WP_011073978.1	WP_208598493.1
OG0000355	WP_011072812.1	WP_015402391.1
OG0000356	WP_011073744.1	WP_015405042.1
OG0000357	WP_011073698.1	WP_015402963.1
OG0000357	WP_011070483.1	WP_015404499.1
OG0000358	WP_011072420.1	WP_015405066.1, WP_015403098.1
OG0000359	WP_011072820.1	WP_015402603.1
OG0000360	WP_007651015.1	WP_015404165.1
OG0000362	WP_011072049.1	WP_015402364.1
OG0000366	WP_011072246.1	WP_015402662.1
OG0000370	WP_011072355.1, WP_011073328.1, WP_011072369.1, WP_011073742.1, WP_011074161.1, WP_011072290.1	WP_015402991.1
OG0000372	WP_011070445.1	WP_015403993.1, WP_015403238.1, WP_015403313.1
OG0000373	WP_011070440.1	WP_015403994.1
OG0000373	WP_011070444.1	WP_015403239.1
OG0000374	WP_011071852.1	WP_015404823.1, WP_015403387.1
OG0000375	WP_011073160.1	WP_015403480.1, WP_015403509.1
OG0000378	WP_011072003.1	WP_015403825.1
OG0000380	WP_011071733.1, WP_011073704.1	WP_015404622.1
OG0000381	WP_011070926.1	WP_015405078.1, WP_208598490.1
OG0000382	WP_011071707.1, WP_011073950.1	WP_015405295.1
OG0000383	WP_011070809.1	WP_015405487.1
OG0000388	WP_006081231.1	WP_015404792.1
OG0000389	WP_011072489.1, WP_011070448.1	WP_015403093.1
OG0000390	WP_011071396.1	WP_015405129.1
OG0000391	WP_011074277.1	WP_015405595.1
OG0000392	WP_011070947.1	WP_015403130.1
OG0000393	WP_011070464.1	WP_015405397.1
OG0000395	WP_011072444.1	WP_015405385.1
OG0000397	WP_011072925.1	WP_153305021.1
OG0000397	WP_011070943.1	WP_015405133.1
OG0000398	WP_011071816.1	WP_015404034.1
OG0000399	WP_011074310.1, WP_164925796.1	WP_015404853.1
OG0000400	WP_011072977.1, WP_011073596.1	WP_015404727.1
OG0000401	WP_011072333.1	WP_015404176.1
OG0000402	WP_011073147.1	WP_015404482.1, WP_015404651.1
OG0000403	WP_011073692.1	WP_015404778.1
OG0000404	WP_011071509.1	WP_015405699.1
OG0000406	WP_011073884.1	WP_228130050.1, WP_015403479.1
OG0000407	WP_007647520.1	WP_015403831.1
OG0000408	WP_011073864.1	WP_015404015.1
OG0000409	WP_011071363.1	WP_015405028.1
OG0000410	WP_011071375.1	WP_015405264.1, WP_015402353.1
OG0000413	WP_011073296.1	WP_015403446.1
OG0000414	WP_011071865.1	WP_015403280.1, WP_015403160.1
OG0000415	WP_011073705.1	WP_015402809.1
OG0000417	WP_011071995.1	WP_015403699.1
OG0000417	WP_011074187.1	WP_015402701.1
OG0000418	WP_011072966.1	WP_015405752.1
OG0000419	WP_011072397.1	WP_015404566.1
OG0000420	WP_011073084.1	WP_167320749.1
OG0000423	WP_164925682.1	WP_015405222.1
OG0000424	WP_011074411.1	WP_015404172.1
OG0000425	WP_011074325.1	WP_015405708.1
OG0000426	WP_011072924.1	WP_015405134.1
OG0000427	WP_011072306.1	WP_015404262.1, WP_015402929.1
OG0000428	WP_011073691.1	WP_015404780.1
OG0000429	WP_011072763.1	WP_015405570.1
OG0000433	WP_011071889.1	WP_015403967.1
OG0000434	WP_011073587.1	WP_015404078.1
OG0000435	WP_011071672.1	WP_015404420.1
OG0000436	WP_011073144.1	WP_015404648.1, WP_015404652.1, WP_015405333.1
OG0000437	WP_011071215.1	WP_041916859.1, WP_015404840.1
OG0000439	WP_011071906.1	WP_015404902.1
OG0000443	WP_011073208.1	WP_015405092.1
OG0000444	WP_011070433.1, WP_011074432.1, WP_011073269.1, WP_011071523.1	WP_015405195.1
OG0000446	WP_011073130.1	WP_015405294.1
OG0000449	WP_011071298.1	WP_015405463.1
OG0000450	WP_011073846.1	WP_015405720.1
OG0000457	WP_011074002.1	WP_208598499.1
OG0000458	WP_011072562.1	WP_015405560.1
OG0000459	WP_011073913.1	WP_015405044.1
OG0000460	WP_011072676.1	WP_015405601.1
OG0000461	WP_011071367.1	WP_015402359.1
OG0000462	WP_011073690.1	WP_015404782.1
OG0000463	WP_011071797.1	WP_015405449.1
OG0000466	WP_006080725.1	WP_015404099.1
OG0000467	WP_011072155.1	WP_015403423.1
OG0000468	WP_011070714.1	WP_015405442.1
OG0000469	WP_011073401.1	WP_015403908.1
OG0000470	WP_011072536.1, WP_011073891.1	WP_015405629.1
OG0000471	WP_011072667.1	WP_015402724.1
OG0000472	WP_011073223.1	WP_015404576.1
OG0000474	WP_011071577.1, WP_011071238.1	WP_015405340.1
OG0000475	WP_011073167.1	WP_015403842.1
OG0000476	WP_011071399.1	WP_015404168.1
OG0000477	WP_011074312.1	WP_015404008.1
OG0000478	WP_164925611.1	WP_015404092.1, WP_015403302.1
OG0000479	WP_011072689.1	WP_015405193.1
OG0000480	WP_006081934.1	WP_015404302.1
OG0000481	WP_011074353.1, WP_011074200.1	WP_015404083.1
OG0000482	WP_011074122.1	WP_015403548.1
OG0000484	WP_011070446.1, WP_011071740.1, WP_011072239.1	WP_015403760.1
OG0000485	WP_011072690.1	WP_015405192.1
OG0000486	WP_011073892.1	WP_015404881.1
OG0000487	WP_011071362.1	WP_015405027.1
OG0000488	WP_011073923.1, WP_011071649.1	WP_015403375.1
OG0000489	WP_011072308.1	WP_228130021.1
OG0000490	WP_011073738.1, WP_011072517.1	WP_015402294.1
OG0000491	WP_011073025.1	WP_015404713.1
OG0000492	WP_011072105.1	WP_041916554.1
OG0000493	WP_011070602.1	WP_015403885.1
OG0000494	WP_011073291.1	WP_015403661.1
OG0000495	WP_011071232.1	WP_015405099.1
OG0000496	WP_011072269.1, WP_011072271.1	WP_015405733.1
OG0000497	WP_011070462.1	WP_015405614.1
OG0000498	WP_011070463.1, WP_011073289.1	WP_015405613.1
OG0000499	WP_011071680.1	WP_015402600.1, WP_015405505.1
OG0000500	WP_011073302.1	WP_015404321.1
OG0000501	WP_011073979.1	WP_015403989.1
OG0000501	WP_011073650.1	WP_015402683.1
OG0000502	WP_011073914.1	WP_015405045.1
OG0000503	WP_011073940.1, WP_011071506.1	WP_015403102.1
OG0000504	WP_011071374.1	WP_015405265.1, WP_015402354.1
OG0000505	WP_011072417.1	WP_015404141.1
OG0000506	WP_011073396.1	WP_153305003.1, WP_015404813.1
OG0000507	WP_011072805.1	WP_015402706.1
OG0000508	WP_011072950.1	WP_015403578.1, WP_015403440.1
OG0000509	WP_011071177.1	WP_015403345.1
OG0000510	WP_164925926.1	WP_015402412.1
OG0000511	WP_011072320.1	WP_015403968.1
OG0000512	WP_011071575.1	WP_015404854.1
OG0000513	WP_011073166.1	WP_015403843.1
OG0000514	WP_011071796.1	WP_015405704.1
OG0000515	WP_011073016.1	WP_015404672.1, WP_015405450.1
OG0000516	WP_011070666.1	WP_015402358.1
OG0000518	WP_011070475.1	WP_015402512.1
OG0000520	WP_011071914.1	WP_015405376.1
OG0000521	WP_011072700.1	WP_015405139.1
OG0000522	WP_011070929.1	WP_015405032.1
OG0000523	WP_011071704.1	WP_015404736.1
OG0000524	WP_011070427.1, WP_011073645.1	WP_015403357.1
OG0000525	WP_011072362.1	WP_015403476.1
OG0000526	WP_011072542.1	WP_015402518.1
OG0000527	WP_011071884.1	WP_228130012.1
OG0000528	WP_011071265.1	WP_052326983.1
OG0000528	WP_011071395.1	WP_167320734.1
OG0000529	WP_011070851.1	WP_015403920.1
OG0000530	WP_011072392.1	WP_015405633.1
OG0000531	WP_011071357.1	WP_015404567.1
OG0000532	WP_011071368.1	WP_015404539.1
OG0000533	WP_011072568.1	WP_015403868.1
OG0000534	WP_011070880.1	WP_015402863.1, WP_015405596.1
OG0000535	WP_011071476.1, WP_011071473.1	WP_015402664.1
OG0000536	WP_011071542.1	WP_015403275.1
OG0000537	WP_011073663.1	WP_015405017.1
OG0000538	WP_011073746.1	WP_015403076.1
OG0000539	WP_011072201.1	WP_015402679.1
OG0000540	WP_011073236.1	WP_015404471.1
OG0000542	WP_011073694.1	WP_015403888.1
OG0000543	WP_011072926.1	WP_015405132.1
OG0000544	WP_011072157.1	WP_015403427.1
OG0000545	WP_011072102.1	WP_015404963.1, WP_015402736.1
OG0000546	WP_011071505.1	WP_015402951.1
OG0000547	WP_011071600.1, WP_011074097.1	WP_228130060.1
OG0000548	WP_011071430.1	WP_015403059.1
OG0000549	WP_011073367.1	WP_015405349.1
OG0000550	WP_164925726.1	WP_015405518.1
OG0000551	WP_011071057.1	WP_015402319.1
OG0000552	WP_164925920.1, WP_011071621.1	WP_015403698.1, WP_167320703.1, WP_015405740.1, WP_015402321.1, WP_167320725.1
OG0000554	WP_011074140.1, WP_011074327.1, WP_164925735.1, WP_011073660.1, WP_011071387.1, WP_011071669.1, WP_011073464.1, WP_238560559.1, WP_011071033.1	WP_015402643.1
OG0000555	WP_011070543.1	WP_015402671.1
OG0000558	WP_011072569.1	WP_015402992.1
OG0000560	WP_011071253.1	WP_015403201.1
OG0000566	WP_011072774.1	WP_015403945.1
OG0000569	WP_011072791.1	WP_015405528.1
OG0000570	WP_011071815.1	WP_015405597.1
OG0000571	WP_011070592.1	WP_083907217.1
OG0000576	WP_011073695.1	WP_015403169.1
OG0000577	WP_011071502.1	WP_041916988.1
OG0000578	WP_011070425.1	WP_015403356.1
OG0000579	WP_011072382.1	WP_015403343.1
OG0000580	WP_011071401.1	WP_015402309.1
OG0000581	WP_011070605.1	WP_015404269.1
OG0000582	WP_011072691.1	WP_015402739.1
OG0000583	WP_011072298.1, WP_011073315.1	WP_015404258.1
OG0000584	WP_011070420.1	WP_015403998.1
OG0000585	WP_011070421.1	WP_015403997.1
OG0000586	WP_011070423.1	WP_083907252.1
OG0000587	WP_011073319.1	WP_015405003.1
OG0000588	WP_011071543.1	WP_015403991.1
OG0000589	WP_011073895.1	WP_015405457.1
OG0000590	WP_011071782.1	WP_015404022.1
OG0000591	WP_011071988.1	WP_015402953.1
OG0000592	WP_011070797.1	WP_015405213.1
OG0000593	WP_011071160.1	WP_015405693.1
OG0000594	WP_164925584.1	WP_015403879.1
OG0000595	WP_011073680.1	WP_015404537.1
OG0000596	WP_011070930.1	WP_015405048.1
OG0000597	WP_011070933.1	WP_015405100.1
OG0000598	WP_011073908.1	WP_015405690.1
OG0000599	WP_006083042.1	WP_015405020.1
OG0000600	WP_011070456.1	WP_015402515.1
OG0000601	WP_011070650.1	WP_015402958.1
OG0000602	WP_011073283.1, WP_011073273.1, WP_011073768.1, WP_011073717.1	WP_015405103.1
OG0000603	WP_011071702.1	WP_015404575.1
OG0000604	WP_011073440.1	WP_015402715.1
OG0000605	WP_011073439.1	WP_083907155.1
