HOG	OG	Gene Tree Parent Clade	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1
N8.HOG0000048	OG0000001	n150						WP_136806467.1	WP_136798261.1					
N8.HOG0000049	OG0000002	n13						WP_136806247.1						
N8.HOG0000050	OG0000002	n26						WP_136805222.1						
N8.HOG0000051	OG0000002	n29						WP_176371628.1	WP_136795378.1					
N8.HOG0000052	OG0000002	n34						WP_136808433.1	WP_136799957.1					
N8.HOG0000053	OG0000002	n39							WP_217907664.1					
N8.HOG0000054	OG0000002	n57						WP_136806603.1	WP_136796812.1					
N8.HOG0000055	OG0000002	n58						WP_136807752.1	WP_136796360.1					
N8.HOG0000056	OG0000002	n61							WP_136796249.1					
N8.HOG0000057	OG0000002	n64							WP_136798842.1					
N8.HOG0000058	OG0000002	n70						WP_136807288.1	WP_136795903.1					
N8.HOG0000059	OG0000002	n72						WP_136805570.1	WP_136798151.1					
N8.HOG0000060	OG0000002	n78						WP_136806489.1	WP_136798935.1					
N8.HOG0000061	OG0000002	n82						WP_136808067.1	WP_136795245.1					
N8.HOG0000062	OG0000002	n92						WP_275942839.1	WP_275942957.1					
N8.HOG0000063	OG0000002	n100						WP_136810386.1	WP_136796313.1					
N8.HOG0000064	OG0000002	n104						WP_217909654.1, WP_136806069.1	WP_275942949.1, WP_167495633.1					
N8.HOG0000065	OG0000002	n121						WP_136807684.1	WP_136799606.1					
N8.HOG0000066	OG0000002	n122						WP_136810832.1, WP_136805614.1	WP_136799805.1					
N8.HOG0000067	OG0000002	n126							WP_136798598.1					
N8.HOG0000068	OG0000002	n127							WP_136796899.1					
N8.HOG0000069	OG0000002	n132						WP_136808992.1						
N8.HOG0000070	OG0000003	n1						WP_136806109.1	WP_136795949.1					
N8.HOG0000071	OG0000003	n100						WP_136810764.1						
N8.HOG0000072	OG0000003	n112						WP_136806600.1, WP_136805594.1						
N8.HOG0000073	OG0000003	n114						WP_136807522.1						
N8.HOG0000074	OG0000003	n116						WP_136807708.1, WP_136805154.1						
N8.HOG0000075	OG0000003	n118						WP_136805912.1, WP_167505861.1						
N8.HOG0000076	OG0000003	n119						WP_136809723.1						
N8.HOG0000077	OG0000003	n122						WP_167506110.1						
N8.HOG0000078	OG0000003	n123						WP_167505749.1						
N8.HOG0000079	OG0000004	n8						WP_136810858.1, WP_136808193.1						
N8.HOG0000080	OG0000004	n14							WP_136796385.1					
N8.HOG0000081	OG0000004	n19						WP_136810396.1						
N8.HOG0000082	OG0000004	n34						WP_136809328.1, WP_136805168.1, WP_167505721.1, WP_136809428.1	WP_136798650.1					
N8.HOG0000083	OG0000004	n41							WP_167495700.1					
N8.HOG0000084	OG0000004	n45						WP_167506073.1						
N8.HOG0000085	OG0000004	n56						WP_136810348.1, WP_136808197.1						
N8.HOG0000086	OG0000004	n58						WP_136805692.1						
N8.HOG0000087	OG0000004	n70						WP_176371583.1, WP_136806049.1, WP_136810154.1						
N8.HOG0000088	OG0000004	n74						WP_267313779.1						
N8.HOG0000089	OG0000004	n77						WP_136805478.1						
N8.HOG0000090	OG0000004	n78						WP_167505723.1						
N8.HOG0000091	OG0000004	n83						WP_136810487.1						
N8.HOG0000092	OG0000004	n87						WP_136805944.1						
N8.HOG0000093	OG0000004	n88						WP_136808745.1						
N8.HOG0000094	OG0000004	n94						WP_136807867.1						
N8.HOG0000095	OG0000004	n96						WP_167505718.1	WP_167495840.1					
N8.HOG0000096	OG0000004	n101						WP_136808192.1	WP_136798338.1					
N8.HOG0000097	OG0000004	n115						WP_136805197.1, WP_136807033.1, WP_136806447.1	WP_136795716.1					
N8.HOG0000098	OG0000004	n122						WP_136808898.1						
N8.HOG0000099	OG0000004	n125						WP_136809028.1	WP_136796342.1					
N8.HOG0000100	OG0000005	n8						WP_136810384.1	WP_136796309.1					
N8.HOG0000101	OG0000005	n18						WP_136805867.1	WP_136797383.1					
N8.HOG0000102	OG0000005	n23						WP_136806188.1	WP_167495701.1					
N8.HOG0000103	OG0000005	n24						WP_136810073.1	WP_167495890.1					
N8.HOG0000104	OG0000005	n28						WP_167505954.1	WP_136799321.1					
N8.HOG0000105	OG0000005	n31						WP_136805540.1						
N8.HOG0000106	OG0000005	n46						WP_136806687.1, WP_136809485.1, WP_136810251.1						
N8.HOG0000107	OG0000005	n54						WP_136806805.1	WP_136797798.1					
N8.HOG0000108	OG0000005	n70						WP_167505797.1, WP_167505775.1, WP_136808058.1, WP_136809942.1						
N8.HOG0000109	OG0000005	n81						WP_136807023.1						
N8.HOG0000110	OG0000005	n88						WP_228723321.1						
N8.HOG0000111	OG0000005	n93						WP_136807296.1						
N8.HOG0000112	OG0000005	n95						WP_136805496.1						
N8.HOG0000113	OG0000005	n98						WP_136806590.1						
N8.HOG0000114	OG0000005	n99						WP_136808150.1, WP_136810322.1						
N8.HOG0000115	OG0000005	n108						WP_136809159.1	WP_167495679.1					
N8.HOG0000116	OG0000005	n112						WP_136806794.1	WP_136797789.1					
N8.HOG0000117	OG0000006	n9						WP_167506063.1						
N8.HOG0000118	OG0000006	n12						WP_136810272.1	WP_136797886.1					
N8.HOG0000119	OG0000006	n45						WP_136805497.1						
N8.HOG0000120	OG0000006	n67						WP_136809441.1						
N8.HOG0000121	OG0000006	n73						WP_136806566.1						
N8.HOG0000122	OG0000006	n77						WP_167505808.1						
N8.HOG0000123	OG0000006	n83						WP_136807043.1						
N8.HOG0000124	OG0000007	n1						WP_228723385.1	WP_228721345.1					
N8.HOG0000125	OG0000007	n13						WP_176371586.1	WP_136796943.1					
N8.HOG0000126	OG0000007	n23						WP_136805469.1	WP_136796543.1					
N8.HOG0000127	OG0000007	n35						WP_136809767.1	WP_136795639.1					
N8.HOG0000128	OG0000007	n51						WP_136809687.1	WP_136795569.1					
N8.HOG0000129	OG0000007	n67						WP_136806719.1	WP_217907574.1					
N8.HOG0000130	OG0000007	n70						WP_136806549.1	WP_136796830.1					
N8.HOG0000131	OG0000007	n74						WP_136806986.1	WP_136798505.1					
N8.HOG0000132	OG0000007	n75						WP_136809210.1	WP_136796500.1					
N8.HOG0000133	OG0000008	n4						WP_136809211.1	WP_136796499.1					
N8.HOG0000134	OG0000008	n18						WP_136805538.1	WP_167495786.1					
N8.HOG0000135	OG0000008	n28						WP_217909514.1	WP_136795517.1					
N8.HOG0000136	OG0000008	n36						WP_136806594.1	WP_136796821.1					
N8.HOG0000137	OG0000008	n49						WP_136808272.1	WP_136798618.1					
N8.HOG0000138	OG0000008	n56						WP_136806200.1	WP_228721405.1					
N8.HOG0000139	OG0000008	n63							WP_136797473.1					
N8.HOG0000140	OG0000009	n1						WP_136806455.1, WP_136808940.1						
N8.HOG0000141	OG0000009	n8						WP_217909495.1						
N8.HOG0000142	OG0000009	n16						WP_136810250.1	WP_136799743.1					
N8.HOG0000143	OG0000009	n32						WP_136806688.1						
N8.HOG0000144	OG0000009	n34						WP_136809487.1						
N8.HOG0000145	OG0000009	n35						WP_167505902.1						
N8.HOG0000146	OG0000009	n42						WP_136807801.1						
N8.HOG0000147	OG0000009	n48						WP_136805233.1, WP_217909581.1	WP_167495941.1					
N8.HOG0000148	OG0000009	n54							WP_228721437.1					
N8.HOG0000149	OG0000009	n58						WP_167506082.1, WP_136810412.1						
N8.HOG0000150	OG0000009	n63						WP_136806587.1						
N8.HOG0000151	OG0000010	n4						WP_136809831.1						
N8.HOG0000152	OG0000010	n13						WP_136808438.1, WP_136808682.1						
N8.HOG0000153	OG0000010	n20							WP_136799911.1					
N8.HOG0000154	OG0000010	n30						WP_136807956.1, WP_136809828.1, WP_136805073.1	WP_136795772.1					
N8.HOG0000155	OG0000010	n36						WP_136807955.1						
N8.HOG0000156	OG0000010	n42						WP_136805343.1						
N8.HOG0000157	OG0000010	n55						WP_136810733.1, WP_167506104.1, WP_217909528.1						
N8.HOG0000158	OG0000011	n2						WP_136808302.1	WP_136796707.1					
N8.HOG0000159	OG0000011	n5						WP_136808632.1	WP_228721445.1					
N8.HOG0000160	OG0000011	n12						WP_136806782.1	WP_136796520.1					
N8.HOG0000161	OG0000011	n13						WP_136810628.1	WP_136796063.1					
N8.HOG0000162	OG0000011	n18							WP_136799658.1					
N8.HOG0000163	OG0000011	n22						WP_136808936.1	WP_136797104.1					
N8.HOG0000164	OG0000011	n26							WP_136798870.1					
N8.HOG0000165	OG0000011	n32						WP_228723280.1	WP_167495681.1					
N8.HOG0000166	OG0000011	n37						WP_136805836.1	WP_136798851.1, WP_136799937.1					
N8.HOG0000167	OG0000011	n40							WP_136799478.1					
N8.HOG0000168	OG0000011	n42							WP_136799535.1, WP_136795298.1					
N8.HOG0000169	OG0000011	n46						WP_136809871.1	WP_136796266.1					
N8.HOG0000170	OG0000011	n49						WP_136809894.1	WP_136799595.1					
N8.HOG0000171	OG0000011	n55						WP_136810666.1, WP_136810070.1	WP_136798603.1					
N8.HOG0000172	OG0000011	n57						WP_217909606.1	WP_136798211.1, WP_217907688.1					
N8.HOG0000173	OG0000012	n2							WP_228721473.1					
N8.HOG0000174	OG0000012	n6						WP_167506099.1	WP_136799858.1					
N8.HOG0000175	OG0000012	n13						WP_167505807.1						
N8.HOG0000176	OG0000012	n28						WP_136805114.1	WP_228721381.1					
N8.HOG0000177	OG0000012	n42							WP_136796722.1					
N8.HOG0000178	OG0000012	n46						WP_228723378.1						
N8.HOG0000179	OG0000012	n55						WP_136806856.1	WP_136798832.1					
N8.HOG0000180	OG0000013	n24						WP_136806862.1						
N8.HOG0000181	OG0000013	n28						WP_136806858.1						
N8.HOG0000182	OG0000013	n38						WP_217909556.1	WP_228721392.1					
N8.HOG0000183	OG0000013	n39						WP_136810308.1	WP_136799928.1					
N8.HOG0000184	OG0000013	n52						WP_136810262.1	WP_136797029.1					
N8.HOG0000185	OG0000013	n53						WP_136810302.1	WP_136799932.1					
N8.HOG0000186	OG0000013	n54						WP_136810264.1	WP_136797031.1					
N8.HOG0000187	OG0000014	n10							WP_176360024.1					
N8.HOG0000188	OG0000014	n14							WP_136795895.1					
N8.HOG0000189	OG0000014	n25						WP_136808146.1	WP_136795319.1					
N8.HOG0000190	OG0000014	n26						WP_136808979.1	WP_167495771.1					
N8.HOG0000191	OG0000014	n28						WP_136809185.1						
N8.HOG0000192	OG0000014	n29						WP_136808354.1	WP_136796661.1					
N8.HOG0000193	OG0000014	n34						WP_136808641.1	WP_136795451.1					
N8.HOG0000194	OG0000014	n44						WP_167505806.1						
N8.HOG0000195	OG0000014	n47						WP_136809415.1	WP_136798954.1					
N8.HOG0000196	OG0000014	n51						WP_136810371.1						
N8.HOG0000197	OG0000014	n53						WP_136810514.1						
N8.HOG0000198	OG0000015	n1						WP_136806902.1	WP_136798539.1					
N8.HOG0000199	OG0000015	n17						WP_228723428.1	WP_228721502.1					
N8.HOG0000200	OG0000015	n30						WP_167506080.1	WP_136798430.1					
N8.HOG0000201	OG0000015	n40						WP_136810620.1	WP_136796070.1					
N8.HOG0000202	OG0000015	n51						WP_136805164.1						
N8.HOG0000203	OG0000016	n12						WP_136807902.1						
N8.HOG0000204	OG0000016	n32						WP_167505772.1						
N8.HOG0000205	OG0000016	n33						WP_136809302.1	WP_167495730.1, WP_136797847.1, WP_136796187.1					
N8.HOG0000206	OG0000016	n38							WP_136799792.1					
N8.HOG0000207	OG0000016	n47						WP_136807829.1	WP_136799049.1					
N8.HOG0000208	OG0000016	n48						WP_136807338.1	WP_136797826.1					
N8.HOG0000209	OG0000016	n49							WP_136795956.1, WP_167495613.1					
N8.HOG0000210	OG0000017	n5							WP_136796602.1					
N8.HOG0000211	OG0000017	n11						WP_136808412.1	WP_167495642.1					
N8.HOG0000212	OG0000017	n16						WP_176371602.1						
N8.HOG0000213	OG0000017	n17						WP_136808421.1, WP_136807419.1	WP_136796609.1					
N8.HOG0000214	OG0000017	n19						WP_136808420.1						
N8.HOG0000215	OG0000017	n24						WP_136808425.1	WP_275942934.1					
N8.HOG0000216	OG0000017	n29						WP_136808428.1						
N8.HOG0000217	OG0000017	n34						WP_136809551.1, WP_136805229.1						
N8.HOG0000218	OG0000018	n6						WP_136808685.1						
N8.HOG0000219	OG0000018	n16							WP_136799912.1					
N8.HOG0000220	OG0000018	n20						WP_136806347.1	WP_136795787.1					
N8.HOG0000221	OG0000018	n26							WP_136799915.1					
N8.HOG0000222	OG0000018	n30						WP_136808506.1	WP_136798307.1					
N8.HOG0000223	OG0000018	n36						WP_136810861.1						
N8.HOG0000224	OG0000018	n38						WP_167505931.1	WP_167495927.1					
N8.HOG0000225	OG0000018	n45						WP_136805349.1, WP_136806944.1						
N8.HOG0000226	OG0000019	n2						WP_136810058.1	WP_136796978.1					
N8.HOG0000227	OG0000019	n13						WP_136806103.1, WP_136810512.1, WP_136810372.1						
N8.HOG0000228	OG0000019	n19						WP_217909517.1						
N8.HOG0000229	OG0000019	n24							WP_228721469.1					
N8.HOG0000230	OG0000019	n28							WP_136795896.1					
N8.HOG0000231	OG0000019	n43						WP_136808145.1	WP_136795318.1					
N8.HOG0000232	OG0000019	n44						WP_217909488.1	WP_136797551.1					
N8.HOG0000233	OG0000020	n3							WP_136797088.1					
N8.HOG0000234	OG0000020	n4						WP_136810213.1	WP_136796993.1					
N8.HOG0000235	OG0000020	n20						WP_136807644.1	WP_136798358.1					
N8.HOG0000236	OG0000020	n27						WP_136809897.1	WP_136797524.1, WP_136797303.1					
N8.HOG0000237	OG0000020	n38						WP_136809709.1	WP_136795588.1					
N8.HOG0000238	OG0000020	n39						WP_136809851.1	WP_267314022.1					
N8.HOG0000239	OG0000020	n43							WP_228721480.1					
N8.HOG0000240	OG0000021	n8						WP_136808857.1	WP_136797283.1, WP_136799171.1					
N8.HOG0000241	OG0000021	n14						WP_136809333.1	WP_136796274.1, WP_136799340.1					
N8.HOG0000242	OG0000021	n24						WP_136807472.1	WP_136799193.1					
N8.HOG0000243	OG0000021	n28						WP_136806474.1	WP_136797562.1					
N8.HOG0000244	OG0000021	n31							WP_136797285.1, WP_136796275.1					
N8.HOG0000245	OG0000021	n42						WP_136809332.1	WP_136799341.1					
N8.HOG0000246	OG0000021	n43						WP_136808856.1	WP_136799170.1					
N8.HOG0000247	OG0000022	n10						WP_136806354.1	WP_136799291.1					
N8.HOG0000248	OG0000022	n14						WP_136808751.1	WP_136799316.1					
N8.HOG0000249	OG0000022	n18							WP_136795736.1					
N8.HOG0000250	OG0000022	n22						WP_136806527.1	WP_136798856.1					
N8.HOG0000251	OG0000022	n25						WP_136810853.1						
N8.HOG0000252	OG0000022	n28						WP_136806296.1	WP_136795837.1					
N8.HOG0000253	OG0000022	n34						WP_136806018.1	WP_136798804.1					
N8.HOG0000254	OG0000022	n35						WP_136805502.1	WP_136796834.1					
N8.HOG0000255	OG0000022	n38						WP_136810453.1						
N8.HOG0000256	OG0000023	n2						WP_153307132.1						
N8.HOG0000257	OG0000023	n10						WP_136809090.1, WP_136808183.1, WP_136806771.1	WP_136798831.1					
N8.HOG0000258	OG0000023	n17						WP_136808184.1, WP_136809091.1, WP_136806772.1, WP_136808959.1	WP_136798830.1					
N8.HOG0000259	OG0000023	n31						WP_136808182.1, WP_136809089.1, WP_136808678.1	WP_073616346.1					
N8.HOG0000260	OG0000023	n40						WP_136806588.1	WP_136796827.1					
N8.HOG0000261	OG0000024	n2						WP_136810505.1	WP_136796326.1					
N8.HOG0000262	OG0000024	n11						WP_136810309.1	WP_136797387.1					
N8.HOG0000263	OG0000024	n24						WP_136806526.1	WP_136798855.1					
N8.HOG0000264	OG0000024	n33						WP_136810451.1	WP_136796891.1					
N8.HOG0000265	OG0000025	n4						WP_136810240.1						
N8.HOG0000266	OG0000025	n7						WP_136807670.1						
N8.HOG0000267	OG0000025	n26						WP_136810013.1	WP_136796934.1					
N8.HOG0000268	OG0000025	n36						WP_136808977.1	WP_136796878.1					
N8.HOG0000269	OG0000025	n39						WP_136806813.1	WP_136797803.1					
N8.HOG0000270	OG0000025	n40						WP_136806231.1, WP_167505784.1						
N8.HOG0000271	OG0000025	n42							WP_136796860.1					
N8.HOG0000272	OG0000026	n2						WP_217909501.1	WP_136795497.1					
N8.HOG0000273	OG0000026	n12						WP_136806848.1	WP_136799106.1					
N8.HOG0000274	OG0000026	n23						WP_136807998.1	WP_136795158.1					
N8.HOG0000275	OG0000026	n36						WP_136810287.1	WP_136796894.1					
N8.HOG0000276	OG0000027	n15						WP_136809850.1, WP_136809710.1	WP_136795589.1					
N8.HOG0000277	OG0000027	n21							WP_136796842.1					
N8.HOG0000278	OG0000027	n29						WP_136807355.1	WP_136795997.1					
N8.HOG0000279	OG0000027	n32						WP_136807372.1						
N8.HOG0000280	OG0000028	n3						WP_136805931.1	WP_136798974.1					
N8.HOG0000281	OG0000028	n10						WP_136807826.1	WP_136799046.1					
N8.HOG0000282	OG0000028	n14							WP_136798422.1					
N8.HOG0000283	OG0000028	n17						WP_136808657.1						
N8.HOG0000284	OG0000028	n20						WP_136809938.1						
N8.HOG0000285	OG0000028	n24						WP_136810259.1, WP_136810307.1	WP_136799929.1, WP_136797026.1					
N8.HOG0000286	OG0000028	n33						WP_136806863.1						
N8.HOG0000287	OG0000029	n6							WP_136796505.1					
N8.HOG0000288	OG0000029	n19						WP_167505962.1	WP_136799144.1					
N8.HOG0000289	OG0000029	n24						WP_136805378.1	WP_136797658.1					
N8.HOG0000290	OG0000029	n31						WP_136805379.1						
N8.HOG0000291	OG0000029	n34						WP_136806817.1, WP_136805901.1	WP_136797424.1					
N8.HOG0000292	OG0000030	n6						WP_136810804.1						
N8.HOG0000293	OG0000030	n16						WP_217909491.1	WP_136797137.1					
N8.HOG0000294	OG0000030	n21						WP_136805937.1	WP_228721452.1					
N8.HOG0000295	OG0000030	n31							WP_136798406.1, WP_228721479.1					
N8.HOG0000296	OG0000031	n2						WP_136810558.1	WP_136798099.1					
N8.HOG0000297	OG0000031	n17						WP_217909589.1	WP_136795993.1					
N8.HOG0000298	OG0000031	n20						WP_228723343.1	WP_228721468.1					
N8.HOG0000299	OG0000031	n23						WP_153307109.1	WP_153305575.1					
N8.HOG0000300	OG0000031	n27						WP_275942860.1	WP_153305538.1					
N8.HOG0000301	OG0000031	n35						WP_136807346.1	WP_136797822.1					
N8.HOG0000302	OG0000031	n36						WP_228723360.1	WP_228721326.1					
N8.HOG0000303	OG0000031	n37						WP_136807833.1	WP_136799053.1					
N8.HOG0000304	OG0000032	n3							WP_136795389.1					
N8.HOG0000305	OG0000032	n7						WP_136805234.1						
N8.HOG0000306	OG0000032	n11						WP_136810454.1						
N8.HOG0000307	OG0000032	n14						WP_136810313.1						
N8.HOG0000308	OG0000032	n17							WP_136797248.1					
N8.HOG0000309	OG0000032	n20						WP_136807976.1	WP_136795138.1					
N8.HOG0000310	OG0000032	n24							WP_136799837.1					
N8.HOG0000311	OG0000032	n31						WP_167506015.1	WP_136795593.1					
N8.HOG0000312	OG0000033	n2						WP_167505882.1	WP_167495906.1					
N8.HOG0000313	OG0000033	n15						WP_136809799.1	WP_136795667.1					
N8.HOG0000314	OG0000033	n17						WP_136806540.1	WP_136796864.1					
N8.HOG0000315	OG0000033	n25						WP_136809276.1	WP_228721439.1					
N8.HOG0000316	OG0000033	n35						WP_136809001.1	WP_136797800.1					
N8.HOG0000317	OG0000034	n1						WP_136810678.1	WP_136795518.1					
N8.HOG0000318	OG0000034	n15							WP_136797474.1					
N8.HOG0000319	OG0000034	n17						WP_136808271.1	WP_136798619.1					
N8.HOG0000320	OG0000034	n25						WP_136806199.1	WP_136795709.1					
N8.HOG0000321	OG0000035	n8						WP_136810508.1						
N8.HOG0000322	OG0000035	n15						WP_136810054.1						
N8.HOG0000323	OG0000035	n20						WP_136808043.1						
N8.HOG0000324	OG0000035	n23						WP_136809230.1						
N8.HOG0000325	OG0000036	n2						WP_136808304.1	WP_136796705.1					
N8.HOG0000326	OG0000036	n6						WP_136809873.1	WP_136796268.1					
N8.HOG0000327	OG0000036	n14						WP_228723279.1	WP_136796149.1					
N8.HOG0000328	OG0000036	n20							WP_136799476.1					
N8.HOG0000329	OG0000036	n23						WP_136810664.1	WP_136798210.1					
N8.HOG0000330	OG0000036	n25						WP_136805838.1	WP_136799533.1, WP_136795296.1, WP_136799939.1, WP_136796285.1, WP_136798849.1					
N8.HOG0000331	OG0000036	n34						WP_217909530.1	WP_217907680.1					
N8.HOG0000332	OG0000036	n35						WP_217909458.1	WP_136799593.1					
N8.HOG0000333	OG0000037	n26						WP_267313714.1						
N8.HOG0000334	OG0000038	n7						WP_136808396.1	WP_136796619.1					
N8.HOG0000335	OG0000038	n17						WP_136805514.1	WP_136795232.1, WP_136797873.1					
N8.HOG0000336	OG0000038	n27						WP_136805513.1	WP_136797874.1					
N8.HOG0000337	OG0000039	n3						WP_136808159.1	WP_136795328.1					
N8.HOG0000338	OG0000039	n11						WP_136806124.1	WP_136797936.1, WP_217907698.1					
N8.HOG0000339	OG0000039	n19						WP_136809232.1						
N8.HOG0000340	OG0000039	n25						WP_136807236.1						
N8.HOG0000341	OG0000039	n29						WP_136805748.1	WP_136798188.1					
N8.HOG0000342	OG0000040	n2							WP_136799810.1					
N8.HOG0000343	OG0000040	n5						WP_136808531.1	WP_136796808.1					
N8.HOG0000344	OG0000040	n11						WP_217909564.1, WP_136808530.1						
N8.HOG0000345	OG0000040	n30						WP_136805340.1	WP_136799761.1					
N8.HOG0000346	OG0000040	n32							WP_136799866.1					
N8.HOG0000347	OG0000041	n6						WP_136806198.1	WP_136795710.1					
N8.HOG0000348	OG0000041	n12							WP_136797475.1					
N8.HOG0000349	OG0000041	n13						WP_217909485.1	WP_136798488.1					
N8.HOG0000350	OG0000041	n21						WP_136808147.1	WP_167495619.1					
N8.HOG0000351	OG0000041	n29						WP_136806192.1, WP_136809420.1						
N8.HOG0000352	OG0000042	n3						WP_217909626.1	WP_217907590.1					
N8.HOG0000353	OG0000042	n14						WP_136808551.1	WP_136795372.1					
N8.HOG0000354	OG0000042	n20						WP_136809846.1	WP_136799831.1					
N8.HOG0000355	OG0000042	n24						WP_275942834.1	WP_275942936.1					
N8.HOG0000356	OG0000043	n20						WP_136808860.1	WP_136799174.1					
N8.HOG0000357	OG0000043	n22						WP_136807664.1	WP_136799625.1					
N8.HOG0000358	OG0000043	n25						WP_136810755.1						
N8.HOG0000359	OG0000043	n27						WP_136809797.1	WP_136795665.1					
N8.HOG0000360	OG0000044	n2						WP_136810153.1						
N8.HOG0000361	OG0000045	n10							WP_136797441.1					
N8.HOG0000362	OG0000045	n14						WP_136805182.1	WP_167495904.1, WP_267314012.1					
N8.HOG0000363	OG0000045	n25						WP_136806030.1	WP_136797412.1					
N8.HOG0000364	OG0000046	n8						WP_136809898.1	WP_136797522.1					
N8.HOG0000365	OG0000046	n9							WP_136798985.1					
N8.HOG0000366	OG0000046	n10						WP_136805573.1	WP_136797836.1					
N8.HOG0000367	OG0000046	n20						WP_136808334.1	WP_136796683.1					
N8.HOG0000368	OG0000046	n25							WP_136797087.1					
N8.HOG0000369	OG0000046	n26						WP_136807646.1	WP_136798359.1					
N8.HOG0000370	OG0000047	n3						WP_167505894.1	WP_167495646.1					
N8.HOG0000371	OG0000047	n10							WP_217907608.1, WP_136799818.1					
N8.HOG0000372	OG0000047	n19						WP_136809825.1						
N8.HOG0000373	OG0000047	n26						WP_136806956.1, WP_136808498.1	WP_136798300.1					
N8.HOG0000374	OG0000048	n10						WP_136808633.1	WP_136798807.1					
