HOG	OG	Gene Tree Parent Clade	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1
N1.HOG0000079	OG0000009	n4												WP_011072353.1
N1.HOG0000080	OG0000009	n16												WP_011071150.1, WP_011073726.1
N1.HOG0000081	OG0000009	n25												WP_164925773.1
N1.HOG0000082	OG0000009	n37												WP_011071594.1
N1.HOG0000083	OG0000010	n2	WP_009561151.1											
N1.HOG0000084	OG0000010	n41	WP_012536238.1											
N1.HOG0000085	OG0000010	n55	WP_009563479.1											WP_011073061.1
N1.HOG0000086	OG0000011	n0												WP_011073029.1
N1.HOG0000087	OG0000012	n2	WP_012537465.1											WP_011074100.1
N1.HOG0000088	OG0000012	n5												WP_011073115.1
N1.HOG0000089	OG0000012	n21	WP_233459585.1											WP_011074303.1
N1.HOG0000090	OG0000013	n3	WP_049756730.1											WP_011073862.1
N1.HOG0000091	OG0000013	n8												WP_011073853.1, WP_011071620.1
N1.HOG0000092	OG0000014	n6	WP_012607383.1, WP_009567373.1, WP_012535790.1											
N1.HOG0000093	OG0000014	n10												WP_011074106.1
N1.HOG0000094	OG0000014	n14												WP_011073413.1
N1.HOG0000095	OG0000014	n17	WP_009561490.1, WP_012607578.1											
N1.HOG0000096	OG0000014	n32												WP_011074069.1
N1.HOG0000097	OG0000014	n51												WP_011072169.1, WP_202950644.1
N1.HOG0000098	OG0000014	n53												WP_011070474.1
N1.HOG0000099	OG0000015	n1	WP_009564938.1											WP_011072514.1
N1.HOG0000100	OG0000015	n14	WP_012537015.1, WP_233459575.1											WP_011073534.1
N1.HOG0000101	OG0000015	n30												WP_011072017.1
N1.HOG0000102	OG0000015	n37												WP_011071264.1
N1.HOG0000103	OG0000015	n40												WP_011073837.1
N1.HOG0000104	OG0000015	n44												WP_011071537.1, WP_011071133.1, WP_011071304.1
N1.HOG0000105	OG0000015	n47	WP_012535757.1, WP_012537128.1											
N1.HOG0000106	OG0000015	n50	WP_012535969.1											WP_011071111.1
N1.HOG0000107	OG0000015	n51	WP_012536894.1											
N1.HOG0000108	OG0000016	n3												WP_011072504.1
N1.HOG0000109	OG0000016	n8												WP_007649667.1
N1.HOG0000110	OG0000016	n10												WP_164925774.1
N1.HOG0000111	OG0000016	n19												WP_011072313.1
N1.HOG0000112	OG0000016	n22												WP_011072183.1
N1.HOG0000113	OG0000016	n26												WP_011072497.1
N1.HOG0000114	OG0000017	n1	WP_012536473.1											WP_011071143.1
N1.HOG0000115	OG0000017	n21	WP_012536124.1											WP_011070777.1, WP_011071144.1, WP_011073357.1
N1.HOG0000116	OG0000017	n41												WP_011073454.1, WP_011073854.1, WP_011073556.1, WP_011073807.1, WP_011071407.1, WP_011073808.1
N1.HOG0000117	OG0000018	n0	WP_012536801.1											WP_011073068.1
N1.HOG0000118	OG0000019	n2	WP_012536513.1											WP_011071727.1
N1.HOG0000119	OG0000019	n13												WP_011074040.1
N1.HOG0000120	OG0000019	n23												WP_011074105.1
N1.HOG0000121	OG0000019	n29												WP_011072402.1, WP_011073412.1
N1.HOG0000122	OG0000019	n34	WP_012535791.1, WP_012537688.1											WP_011074227.1
N1.HOG0000123	OG0000019	n36	WP_009566809.1											WP_011071456.1, WP_007644695.1
N1.HOG0000124	OG0000020	n3												WP_011073773.1
N1.HOG0000125	OG0000020	n4	WP_012537033.1											WP_011070833.1
N1.HOG0000126	OG0000020	n27												WP_011071632.1, WP_011074012.1
N1.HOG0000127	OG0000020	n31												WP_011074129.1, WP_011074133.1
N1.HOG0000128	OG0000021	n1	WP_012537525.1											WP_011071922.1
N1.HOG0000129	OG0000021	n17	WP_012537526.1											WP_011071923.1
N1.HOG0000130	OG0000022	n2												WP_011071803.1, WP_011072720.1
N1.HOG0000131	OG0000022	n38												WP_011072576.1, WP_011071867.1, WP_011071042.1
N1.HOG0000132	OG0000023	n2	WP_012536407.1											WP_011072287.1
N1.HOG0000133	OG0000023	n6	WP_009569199.1											
N1.HOG0000134	OG0000023	n7	WP_009567699.1											
N1.HOG0000135	OG0000024	n2	WP_012536221.1											WP_011073749.1
N1.HOG0000136	OG0000024	n11												WP_011071179.1
N1.HOG0000137	OG0000024	n21												WP_011071227.1, WP_011072757.1
N1.HOG0000138	OG0000024	n23												WP_011073255.1, WP_011071592.1, WP_011071684.1, WP_011073021.1, WP_011071370.1, WP_011072523.1, WP_011073558.1
N1.HOG0000139	OG0000026	n8												WP_011070872.1
N1.HOG0000140	OG0000026	n12	WP_054608867.1											
N1.HOG0000141	OG0000026	n23	WP_012536917.1, WP_012537155.1											WP_006084975.1, WP_011070442.1
N1.HOG0000142	OG0000026	n33	WP_012537435.1, WP_226837036.1											WP_164925607.1
N1.HOG0000143	OG0000026	n36	WP_012537308.1, WP_054608741.1											
N1.HOG0000144	OG0000027	n4	WP_012536289.1, WP_012536670.1											
N1.HOG0000145	OG0000027	n14												WP_011074132.1, WP_011074128.1
N1.HOG0000146	OG0000027	n26												WP_011070509.1
N1.HOG0000147	OG0000027	n28												WP_011071257.1
N1.HOG0000148	OG0000029	n2												WP_011074043.1, WP_011073001.1
N1.HOG0000149	OG0000029	n6	WP_012537258.1											
N1.HOG0000150	OG0000029	n14	WP_009562958.1											WP_011070465.1
N1.HOG0000151	OG0000029	n15	WP_009564606.1											WP_011074263.1
N1.HOG0000152	OG0000029	n16	WP_012536184.1											
N1.HOG0000153	OG0000030	n0	WP_012536529.1											WP_011071301.1
N1.HOG0000154	OG0000031	n0	WP_054608952.1											
N1.HOG0000155	OG0000032	n3												WP_011072669.1
N1.HOG0000156	OG0000032	n10												WP_011071972.1
N1.HOG0000157	OG0000032	n16												WP_011073713.1, WP_011070716.1
N1.HOG0000158	OG0000032	n31												WP_011074076.1
N1.HOG0000159	OG0000033	n2	WP_009565875.1											
N1.HOG0000160	OG0000033	n10	WP_012537578.1, WP_012536825.1											WP_011070784.1
N1.HOG0000161	OG0000033	n20	WP_054609086.1, WP_012607441.1											
N1.HOG0000162	OG0000033	n22	WP_012536110.1											WP_011074290.1
N1.HOG0000163	OG0000034	n4	WP_012536817.1, WP_012535793.1											WP_011073987.1
N1.HOG0000164	OG0000034	n6												WP_011073327.1, WP_011071991.1
N1.HOG0000165	OG0000034	n10	WP_012536972.1, WP_009566515.1											
N1.HOG0000166	OG0000034	n14												WP_011073333.1
N1.HOG0000167	OG0000034	n25												WP_011074281.1
N1.HOG0000168	OG0000034	n32												WP_011072022.1
N1.HOG0000169	OG0000035	n2												WP_011071477.1
N1.HOG0000170	OG0000035	n3												WP_011074169.1, WP_011070429.1
N1.HOG0000171	OG0000036	n0												WP_011073027.1
N1.HOG0000172	OG0000037	n12	WP_225487349.1, WP_012536406.1, WP_225487644.1, WP_012606573.1											
N1.HOG0000173	OG0000037	n16	WP_009565786.1											
N1.HOG0000174	OG0000037	n18	WP_111122549.1											
N1.HOG0000175	OG0000037	n25	WP_009567088.1											
N1.HOG0000176	OG0000038	n2	WP_012537610.1, WP_009566921.1											WP_011073885.1
N1.HOG0000177	OG0000038	n4	WP_009566923.1											WP_011073886.1
N1.HOG0000178	OG0000039	n3	WP_051984662.1, WP_180830451.1											WP_011072119.1
N1.HOG0000179	OG0000039	n11												WP_011071747.1
N1.HOG0000180	OG0000039	n19	WP_180830449.1, WP_012536908.1											
N1.HOG0000181	OG0000039	n22	WP_012537038.1											
N1.HOG0000182	OG0000039	n25												WP_011072587.1, WP_011071252.1, WP_011073765.1
N1.HOG0000183	OG0000040	n2												WP_011073041.1
N1.HOG0000184	OG0000040	n3												WP_011071891.1, WP_011073960.1
N1.HOG0000185	OG0000040	n32												WP_011072056.1
N1.HOG0000186	OG0000041	n0	WP_009564623.1, WP_009565495.1											WP_011071116.1
N1.HOG0000187	OG0000042	n1	WP_012536408.1											
N1.HOG0000188	OG0000042	n24	WP_012536431.1											WP_011071918.1
N1.HOG0000189	OG0000043	n1												WP_011073456.1
N1.HOG0000190	OG0000043	n32												WP_011070871.1
N1.HOG0000191	OG0000044	n0												WP_011070883.1
N1.HOG0000192	OG0000045	n2	WP_225487636.1											WP_011070924.1
N1.HOG0000193	OG0000045	n14												WP_011071240.1
N1.HOG0000194	OG0000045	n25												WP_011073210.1
N1.HOG0000195	OG0000046	n0	WP_012537032.1											WP_011073774.1
N1.HOG0000196	OG0000047	n0	WP_257246645.1, WP_225487355.1, WP_252725196.1											WP_164925892.1
N1.HOG0000197	OG0000048	n1	WP_012536680.1											
N1.HOG0000198	OG0000048	n13	WP_009566815.1											WP_011072589.1
N1.HOG0000199	OG0000049	n1	WP_009567000.1, WP_009567335.1											
N1.HOG0000200	OG0000049	n8												WP_011073706.1
N1.HOG0000201	OG0000049	n15												WP_011073980.1, WP_164925751.1
N1.HOG0000202	OG0000049	n22												WP_011073209.1
N1.HOG0000203	OG0000049	n26												WP_011072693.1, WP_238560579.1, WP_011073580.1
N1.HOG0000204	OG0000049	n29												WP_011074421.1, WP_238560596.1
N1.HOG0000205	OG0000050	n2	WP_012536375.1											
N1.HOG0000206	OG0000050	n8	WP_012536348.1											WP_011072948.1
N1.HOG0000207	OG0000050	n17	WP_012536374.1											
N1.HOG0000208	OG0000050	n25	WP_012536347.1											
N1.HOG0000209	OG0000052	n0												WP_011074450.1, WP_011071675.1
N1.HOG0000210	OG0000053	n1	WP_009565974.1											WP_164925924.1
N1.HOG0000211	OG0000053	n12												WP_011073632.1
N1.HOG0000212	OG0000053	n20	WP_009564595.1											WP_011071230.1
N1.HOG0000213	OG0000054	n2												WP_011073962.1
N1.HOG0000214	OG0000054	n7	WP_009567105.1											
N1.HOG0000215	OG0000054	n11	WP_009566737.1, WP_054609109.1, WP_009567310.1											
N1.HOG0000216	OG0000054	n15	WP_012537181.1											
N1.HOG0000217	OG0000054	n19	WP_009566294.1											WP_011073937.1
N1.HOG0000218	OG0000055	n1	WP_012536534.1											
N1.HOG0000219	OG0000055	n10	WP_012536590.1											WP_011073153.1
N1.HOG0000220	OG0000056	n0												WP_011072681.1
N1.HOG0000221	OG0000058	n0	WP_009564125.1											WP_164925641.1
N1.HOG0000222	OG0000059	n1	WP_012536438.1											
N1.HOG0000223	OG0000059	n4	WP_012535998.1, WP_012535759.1											
N1.HOG0000224	OG0000059	n6	WP_012536962.1, WP_012607235.1, WP_012537141.1, WP_012537037.1											WP_011070866.1
N1.HOG0000225	OG0000060	n1	WP_012536005.1											WP_011070776.1
N1.HOG0000226	OG0000060	n7												WP_011073811.1
N1.HOG0000227	OG0000060	n8												WP_011070564.1
N1.HOG0000228	OG0000061	n1	WP_012536678.1											
N1.HOG0000229	OG0000061	n26												WP_011071699.1
N1.HOG0000230	OG0000062	n0	WP_012537528.1											WP_011071925.1
N1.HOG0000231	OG0000063	n1												WP_011071975.1
N1.HOG0000232	OG0000063	n8	WP_009560828.1, WP_151528215.1, WP_180830446.1, WP_151528213.1, WP_054608640.1, WP_257257267.1, WP_054608824.1, WP_012537288.1											WP_011072151.1
N1.HOG0000233	OG0000064	n1	WP_009566490.1											
N1.HOG0000234	OG0000064	n24												WP_011070635.1, WP_011071564.1
N1.HOG0000235	OG0000065	n4												WP_011071952.1
N1.HOG0000236	OG0000065	n7												WP_011070961.1
N1.HOG0000237	OG0000065	n16	WP_012536434.1											WP_011071919.1
N1.HOG0000238	OG0000066	n1												WP_011070781.1
N1.HOG0000239	OG0000066	n23	WP_012537102.1											WP_011070485.1, WP_011072796.1
N1.HOG0000240	OG0000067	n17												WP_011071924.1
N1.HOG0000241	OG0000067	n22	WP_012537527.1											
N1.HOG0000242	OG0000068	n1												WP_011074377.1, WP_011074378.1
N1.HOG0000243	OG0000068	n7	WP_229129785.1, WP_054608627.1, WP_012536413.1, WP_229129798.1, WP_061046414.1, WP_229129726.1, WP_031572380.1											
N1.HOG0000244	OG0000068	n21	WP_054608827.1											
N1.HOG0000245	OG0000068	n26	WP_009561902.1											
N1.HOG0000246	OG0000069	n1	WP_009567370.1											
N1.HOG0000247	OG0000069	n23	WP_012536062.1											WP_011072035.1
N1.HOG0000248	OG0000070	n1	WP_012535972.1											
N1.HOG0000249	OG0000070	n9	WP_012536036.1											WP_011074269.1
N1.HOG0000250	OG0000074	n0												WP_011072654.1
N1.HOG0000251	OG0000075	n0												WP_011071302.1
N1.HOG0000252	OG0000076	n1												WP_202950651.1
N1.HOG0000253	OG0000076	n10												WP_011072185.1
N1.HOG0000254	OG0000076	n15												WP_011073088.1
N1.HOG0000255	OG0000077	n5												WP_011073434.1
N1.HOG0000256	OG0000077	n12												WP_011071244.1
N1.HOG0000257	OG0000077	n15	WP_012536420.1											WP_011071152.1
N1.HOG0000258	OG0000077	n25												WP_011072969.1
N1.HOG0000259	OG0000078	n1	WP_009567307.1											
N1.HOG0000260	OG0000078	n3	WP_012536784.1											
N1.HOG0000261	OG0000079	n1	WP_012536378.1, WP_229129778.1, WP_012536377.1											
N1.HOG0000262	OG0000079	n22	WP_012537609.1											WP_011071515.1
N1.HOG0000263	OG0000080	n2												WP_011070637.1
N1.HOG0000264	OG0000080	n9												WP_011073977.1
N1.HOG0000265	OG0000080	n14												WP_011073844.1
N1.HOG0000266	OG0000080	n18	WP_012537336.1, WP_012537023.1											WP_011074382.1
N1.HOG0000267	OG0000080	n23	WP_012537522.1											WP_011073024.1
N1.HOG0000268	OG0000081	n0												WP_011073637.1
N1.HOG0000269	OG0000082	n0												WP_011071708.1, WP_011073949.1
N1.HOG0000270	OG0000083	n1												WP_011071956.1, WP_011073783.1
N1.HOG0000271	OG0000083	n6												WP_011071686.1
N1.HOG0000272	OG0000083	n14												WP_011071482.1, WP_011070470.1
N1.HOG0000273	OG0000083	n24												WP_164925748.1
N1.HOG0000274	OG0000084	n1												WP_011070711.1
N1.HOG0000275	OG0000084	n24												WP_011072770.1
N1.HOG0000276	OG0000085	n1												WP_011073685.1
N1.HOG0000277	OG0000085	n11	WP_054609046.1, WP_012537430.1, WP_230456338.1											WP_011073684.1
N1.HOG0000278	OG0000086	n2												WP_011071335.1
N1.HOG0000279	OG0000086	n12												WP_011073755.1
N1.HOG0000280	OG0000087	n1												WP_011071100.1
N1.HOG0000281	OG0000087	n3												WP_011071464.1
N1.HOG0000282	OG0000088	n2												WP_202950650.1
N1.HOG0000283	OG0000088	n8												WP_274544479.1
N1.HOG0000284	OG0000088	n13												WP_011073093.1
N1.HOG0000285	OG0000088	n24												WP_011072184.1
N1.HOG0000286	OG0000091	n1	WP_012536362.1, WP_012537064.1, WP_225487639.1											WP_011074036.1
N1.HOG0000287	OG0000091	n12	WP_009561353.1											WP_011072711.1
N1.HOG0000288	OG0000092	n1	WP_009562486.1											WP_011072485.1, WP_011071838.1
N1.HOG0000289	OG0000092	n8												WP_011071174.1
N1.HOG0000290	OG0000093	n0	WP_009564668.1											WP_011073475.1
N1.HOG0000291	OG0000094	n1	WP_012607230.1											WP_011074278.1
N1.HOG0000292	OG0000094	n15	WP_012536031.1											
N1.HOG0000293	OG0000095	n1	WP_226834132.1											WP_011071060.1
N1.HOG0000294	OG0000095	n12												WP_011073461.1
N1.HOG0000295	OG0000095	n13	WP_012536481.1											WP_011072735.1
N1.HOG0000296	OG0000096	n2	WP_012536996.1											WP_011073337.1, WP_011074108.1
N1.HOG0000297	OG0000096	n9												WP_011070949.1
N1.HOG0000298	OG0000096	n15												WP_011071828.1
N1.HOG0000299	OG0000096	n19	WP_012536595.1											WP_011071494.1
N1.HOG0000300	OG0000097	n0	WP_012607461.1											
N1.HOG0000301	OG0000099	n0												WP_011072500.1, WP_165443312.1
N1.HOG0000302	OG0000100	n1												WP_011073485.1, WP_011073486.1
N1.HOG0000303	OG0000100	n19												WP_011071115.1
N1.HOG0000304	OG0000101	n2	WP_009560846.1											WP_011072328.1, WP_011072538.1
N1.HOG0000305	OG0000101	n7	WP_012537491.1											
N1.HOG0000306	OG0000102	n3	WP_009564795.1											
N1.HOG0000307	OG0000102	n4	WP_009568931.1											
N1.HOG0000308	OG0000103	n2	WP_009566205.1											WP_011073353.1
N1.HOG0000309	OG0000103	n3	WP_054608900.1, WP_009567505.1											WP_011071066.1, WP_011073588.1
N1.HOG0000310	OG0000104	n3	WP_054608783.1, WP_012536624.1											
N1.HOG0000311	OG0000104	n21	WP_012536433.1											WP_011070888.1, WP_255211589.1
N1.HOG0000312	OG0000105	n3	WP_012536834.1											WP_011072710.1
N1.HOG0000313	OG0000105	n15												WP_011074037.1
N1.HOG0000314	OG0000105	n22												WP_164925736.1
N1.HOG0000315	OG0000106	n0	WP_012536953.1											WP_011074309.1, WP_011070542.1
N1.HOG0000316	OG0000107	n3	WP_012537062.1											WP_011070652.1
N1.HOG0000317	OG0000107	n6												WP_011073518.1
N1.HOG0000318	OG0000107	n8												WP_011070960.1
N1.HOG0000319	OG0000110	n1												WP_011072317.1, WP_164925686.1
N1.HOG0000320	OG0000110	n6												WP_164925741.1
N1.HOG0000321	OG0000112	n2												WP_011070877.1
N1.HOG0000322	OG0000112	n17												WP_011072334.1, WP_011071211.1
N1.HOG0000323	OG0000113	n2												WP_011070720.1
N1.HOG0000324	OG0000113	n4	WP_012536025.1											
N1.HOG0000325	OG0000113	n11												WP_011070488.1, WP_193378422.1
N1.HOG0000326	OG0000114	n1	WP_012536085.1											WP_011070614.1
N1.HOG0000327	OG0000114	n3												WP_011071132.1
N1.HOG0000328	OG0000115	n1	WP_012536267.1											WP_011070766.1
N1.HOG0000329	OG0000115	n11	WP_012536882.1, WP_012537429.1, WP_012537150.1											WP_011070806.1
N1.HOG0000330	OG0000116	n1	WP_012536314.1											WP_011071533.1
N1.HOG0000331	OG0000116	n8	WP_225487351.1											
N1.HOG0000332	OG0000117	n1	WP_012536516.1, WP_012536851.1											WP_238560518.1
N1.HOG0000333	OG0000117	n11												WP_011071862.1
N1.HOG0000334	OG0000118	n1	WP_012536852.1, WP_012536517.1											WP_164925923.1
N1.HOG0000335	OG0000118	n5												WP_011071863.1
N1.HOG0000336	OG0000119	n3												WP_011073622.1
N1.HOG0000337	OG0000119	n9												WP_011074079.1
N1.HOG0000338	OG0000119	n16												WP_011073418.1, WP_011074247.1
N1.HOG0000339	OG0000119	n18												WP_011073419.1, WP_011074248.1
N1.HOG0000340	OG0000119	n20	WP_012537040.1											
N1.HOG0000341	OG0000120	n0	WP_012537529.1, WP_012607593.1											WP_011071926.1
N1.HOG0000342	OG0000121	n1												WP_011072704.1
N1.HOG0000343	OG0000121	n2												WP_011073062.1
N1.HOG0000344	OG0000122	n0												WP_011073479.1
N1.HOG0000345	OG0000123	n3												WP_011073092.1
N1.HOG0000346	OG0000123	n6												WP_011072319.1
N1.HOG0000347	OG0000123	n10												WP_011072189.1
N1.HOG0000348	OG0000124	n0												WP_011072315.1
N1.HOG0000349	OG0000126	n1	WP_009561865.1											WP_011073889.1, WP_011071224.1, WP_011072559.1
N1.HOG0000350	OG0000126	n14	WP_009562220.1											WP_164925838.1
N1.HOG0000351	OG0000127	n3	WP_009562383.1											WP_011070937.1
N1.HOG0000352	OG0000127	n12	WP_012536821.1											WP_011070936.1
N1.HOG0000353	OG0000128	n3	WP_012537059.1											WP_011072719.1
N1.HOG0000354	OG0000128	n12	WP_009562675.1											WP_164925918.1
N1.HOG0000355	OG0000129	n1	WP_012537381.1											WP_011074177.1, WP_011072325.1, WP_011072531.1, WP_011072068.1
N1.HOG0000356	OG0000129	n17	WP_009563104.1											WP_011074222.1
N1.HOG0000357	OG0000129	n19												WP_011072440.1
N1.HOG0000358	OG0000130	n14												WP_011073813.1
N1.HOG0000359	OG0000130	n16	WP_012535980.1											
N1.HOG0000360	OG0000131	n1	WP_012536872.1, WP_012536232.1											WP_011074276.1
N1.HOG0000361	OG0000131	n13												WP_011073076.1
N1.HOG0000362	OG0000132	n0	WP_012536482.1											
N1.HOG0000363	OG0000133	n1												WP_011071864.1
N1.HOG0000364	OG0000133	n12	WP_012536518.1											WP_011073952.1
N1.HOG0000365	OG0000134	n1	WP_012536758.1											WP_011072921.1
N1.HOG0000366	OG0000134	n10	WP_012536689.1, WP_012537087.1											WP_011070453.1
N1.HOG0000367	OG0000135	n2												WP_011072682.1
N1.HOG0000368	OG0000135	n9												WP_011072007.1
N1.HOG0000369	OG0000136	n1												WP_011070754.1
N1.HOG0000370	OG0000136	n11	WP_226833862.1											WP_011072090.1, WP_011073658.1
N1.HOG0000371	OG0000137	n1												WP_011071729.1
N1.HOG0000372	OG0000137	n2												WP_011073955.1
N1.HOG0000373	OG0000138	n3												WP_011072530.1, WP_011073460.1
N1.HOG0000374	OG0000138	n6												WP_011072065.1
N1.HOG0000375	OG0000138	n18												WP_011074179.1
N1.HOG0000376	OG0000141	n2	WP_151528219.1, WP_012537095.1, WP_009564717.1, WP_009569278.1, WP_009566566.1, WP_012537108.1, WP_012536550.1											
N1.HOG0000377	OG0000141	n13	WP_012536164.1											
N1.HOG0000378	OG0000141	n16												WP_011071946.1
N1.HOG0000379	OG0000141	n17												WP_011071945.1
N1.HOG0000380	OG0000141	n19												WP_172966568.1
N1.HOG0000381	OG0000142	n3	WP_009565767.1											
N1.HOG0000382	OG0000142	n12	WP_012536038.1											WP_011074267.1
N1.HOG0000383	OG0000143	n1												WP_011070641.1
N1.HOG0000384	OG0000143	n5	WP_012535762.1											WP_011070643.1, WP_011070826.1, WP_011072164.1
N1.HOG0000385	OG0000144	n1	WP_012536261.1											
N1.HOG0000386	OG0000144	n10	WP_012535990.1											WP_011073693.1
