HOG	OG	Gene Tree Parent Clade	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1
N4.HOG0000095	OG0000006	n32									WP_172961773.1, WP_172961640.1, WP_232034929.1	WP_011792399.1		
N4.HOG0000096	OG0000006	n37										WP_011792511.1		
N4.HOG0000097	OG0000006	n38									WP_126379851.1	WP_011791840.1		
N4.HOG0000098	OG0000006	n40									WP_126375661.1	WP_011793189.1		
N4.HOG0000099	OG0000006	n59										WP_010937715.1		
N4.HOG0000100	OG0000006	n67									WP_126375547.1			
N4.HOG0000101	OG0000006	n71									WP_126375895.1			
N4.HOG0000102	OG0000006	n72									WP_126377248.1			
N4.HOG0000103	OG0000006	n83									WP_172961584.1	WP_011792901.1		
N4.HOG0000104	OG0000007	n1									WP_126381476.1	WP_011791331.1		
N4.HOG0000105	OG0000007	n23									WP_126375925.1	WP_010939647.1		
N4.HOG0000106	OG0000007	n35									WP_126381411.1			
N4.HOG0000107	OG0000007	n56										WP_043629999.1		
N4.HOG0000108	OG0000007	n67									WP_126375605.1	WP_011791362.1		
N4.HOG0000109	OG0000007	n70									WP_126379380.1	WP_223294679.1		
N4.HOG0000110	OG0000008	n4									WP_126380512.1, WP_126379377.1	WP_010939710.1		
N4.HOG0000111	OG0000008	n13									WP_126380866.1			
N4.HOG0000112	OG0000008	n36									WP_126376430.1	WP_011793161.1		
N4.HOG0000113	OG0000008	n49										WP_011791419.1		
N4.HOG0000114	OG0000008	n56										WP_011791653.1		
N4.HOG0000115	OG0000008	n63									WP_126378253.1	WP_010937371.1		
N4.HOG0000116	OG0000008	n65										WP_223294613.1		
N4.HOG0000117	OG0000009	n1									WP_126379941.1			
N4.HOG0000118	OG0000009	n4										WP_011791598.1, WP_223294598.1		
N4.HOG0000119	OG0000009	n8										WP_011792516.1, WP_011787365.1		
N4.HOG0000120	OG0000009	n25									WP_126376614.1			
N4.HOG0000121	OG0000009	n42									WP_126381017.1	WP_011791502.1		
N4.HOG0000122	OG0000009	n48									WP_126381118.1			
N4.HOG0000123	OG0000009	n54									WP_126380358.1			
N4.HOG0000124	OG0000009	n58									WP_197723449.1			
N4.HOG0000125	OG0000010	n4									WP_126380086.1, WP_172961677.1			
N4.HOG0000126	OG0000010	n13									WP_172961672.1			
N4.HOG0000127	OG0000010	n21									WP_126377455.1	WP_011792555.1		
N4.HOG0000128	OG0000010	n22									WP_126380060.1	WP_011787335.1		
N4.HOG0000129	OG0000010	n25										WP_011791455.1, WP_011787338.1		
N4.HOG0000130	OG0000010	n30									WP_232034795.1			
N4.HOG0000131	OG0000010	n36									WP_126380611.1			
N4.HOG0000132	OG0000010	n42										WP_011792212.1		
N4.HOG0000133	OG0000010	n47									WP_126377453.1	WP_011792554.1		
N4.HOG0000134	OG0000010	n49									WP_172961742.1	WP_011791544.1		
N4.HOG0000135	OG0000010	n53									WP_126375855.1			
N4.HOG0000136	OG0000010	n55										WP_010937635.1		
N4.HOG0000137	OG0000011	n16									WP_126381100.1, WP_126380384.1			
N4.HOG0000138	OG0000011	n29										WP_011791648.1		
N4.HOG0000139	OG0000011	n46									WP_126375556.1	WP_010937320.1		
N4.HOG0000140	OG0000011	n49									WP_126379898.1	WP_010938006.1		
N4.HOG0000141	OG0000011	n52									WP_126380793.1			
N4.HOG0000142	OG0000012	n6										WP_011791325.1		
N4.HOG0000143	OG0000012	n13									WP_126379475.1	WP_010938711.1		
N4.HOG0000144	OG0000012	n28									WP_232034787.1	WP_011791433.1		
N4.HOG0000145	OG0000012	n49										WP_011787301.1		
N4.HOG0000146	OG0000012	n55									WP_172961727.1	WP_011793127.1		
N4.HOG0000147	OG0000013	n20									WP_126381347.1	WP_010940496.1, WP_010940473.1		
N4.HOG0000148	OG0000013	n24									WP_232034900.1			
N4.HOG0000149	OG0000013	n28									WP_126378023.1			
N4.HOG0000150	OG0000013	n32									WP_126378033.1, WP_126379737.1	WP_010940225.1, WP_010940222.1		
N4.HOG0000151	OG0000013	n35									WP_126376569.1, WP_126379729.1	WP_010937451.1		
N4.HOG0000152	OG0000013	n45									WP_126376573.1			
N4.HOG0000153	OG0000014	n3										WP_010939857.1		
N4.HOG0000154	OG0000014	n10									WP_126377105.1			
N4.HOG0000155	OG0000014	n14									WP_126380551.1			
N4.HOG0000156	OG0000015	n17									WP_126376089.1	WP_011792453.1		
N4.HOG0000157	OG0000015	n30									WP_126377238.1			
N4.HOG0000158	OG0000015	n40									WP_172961650.1			
N4.HOG0000159	OG0000015	n44										WP_011792075.1		
N4.HOG0000160	OG0000015	n47									WP_126376871.1	WP_011791371.1		
N4.HOG0000161	OG0000016	n8									WP_126377698.1	WP_010940486.1		
N4.HOG0000162	OG0000016	n10									WP_126376616.1			
N4.HOG0000163	OG0000016	n19									WP_126376801.1	WP_010938884.1		
N4.HOG0000164	OG0000016	n22									WP_126376256.1	WP_010939351.1		
N4.HOG0000165	OG0000016	n32									WP_126376356.1			
N4.HOG0000166	OG0000016	n33									WP_172961559.1			
N4.HOG0000167	OG0000016	n40									WP_126378703.1			
N4.HOG0000168	OG0000017	n41									WP_126378688.1, WP_232034745.1			
N4.HOG0000169	OG0000018	n6									WP_232034885.1	WP_011791583.1		
N4.HOG0000170	OG0000018	n16										WP_011793148.1		
N4.HOG0000171	OG0000018	n18										WP_011787361.1		
N4.HOG0000172	OG0000018	n38									WP_126378455.1	WP_011793112.1		
N4.HOG0000173	OG0000018	n45									WP_126380143.1			
N4.HOG0000174	OG0000019	n2									WP_126380934.1	WP_010938382.1		
N4.HOG0000175	OG0000019	n23									WP_232034874.1			
N4.HOG0000176	OG0000019	n32									WP_126380549.1			
N4.HOG0000177	OG0000020	n20									WP_126375676.1	WP_010937483.1		
N4.HOG0000178	OG0000021	n5									WP_126379862.1	WP_010937476.1		
N4.HOG0000179	OG0000021	n8									WP_126379957.1, WP_126380735.1	WP_011791398.1		
N4.HOG0000180	OG0000021	n21										WP_011791863.1		
N4.HOG0000181	OG0000021	n35									WP_126379959.1, WP_126381453.1	WP_010937477.1		
N4.HOG0000182	OG0000021	n39									WP_126379546.1	WP_010939846.1		
N4.HOG0000183	OG0000022	n38										WP_011791894.1, WP_043629373.1		
N4.HOG0000184	OG0000023	n2									WP_172961785.1			
N4.HOG0000185	OG0000023	n17									WP_126379216.1	WP_010939713.1, WP_011792776.1		
N4.HOG0000186	OG0000023	n27									WP_126379217.1	WP_010939712.1, WP_010937960.1		
N4.HOG0000187	OG0000024	n2									WP_126375630.1	WP_011791375.1		
N4.HOG0000188	OG0000024	n11									WP_126381489.1	WP_010940347.1		
N4.HOG0000189	OG0000024	n24									WP_126380860.1	WP_011792124.1		
N4.HOG0000190	OG0000026	n8									WP_126380892.1			
N4.HOG0000191	OG0000026	n12									WP_126379565.1	WP_010940054.1		
N4.HOG0000192	OG0000026	n33									WP_126379060.1			
N4.HOG0000193	OG0000026	n36									WP_126380889.1	WP_010938934.1		
N4.HOG0000194	OG0000027	n8									WP_126376537.1	WP_011791819.1, WP_011792816.1		
N4.HOG0000195	OG0000027	n10									WP_126377878.1	WP_011791657.1		
N4.HOG0000196	OG0000028	n3										WP_011791856.1		
N4.HOG0000197	OG0000028	n12									WP_126381116.1	WP_043629613.1		
N4.HOG0000198	OG0000028	n24									WP_126376567.1	WP_010940221.1		
N4.HOG0000199	OG0000028	n38									WP_126378035.1, WP_126379735.1	WP_043629606.1		
N4.HOG0000200	OG0000028	n40									WP_126378025.1	WP_010940474.1		
N4.HOG0000201	OG0000029	n2									WP_126380700.1			
N4.HOG0000202	OG0000029	n6									WP_172961565.1	WP_011792424.1		
N4.HOG0000203	OG0000029	n23										WP_010940296.1		
N4.HOG0000204	OG0000029	n24									WP_126377624.1	WP_010939259.1		
N4.HOG0000205	OG0000030	n9									WP_126375863.1	WP_011792490.1		
N4.HOG0000206	OG0000030	n16									WP_126376853.1	WP_010938266.1		
N4.HOG0000207	OG0000030	n21									WP_232034763.1	WP_011792766.1		
N4.HOG0000208	OG0000030	n28									WP_126376783.1	WP_010937417.1		
N4.HOG0000209	OG0000030	n31									WP_126380627.1	WP_010937694.1		
N4.HOG0000210	OG0000031	n2									WP_126379174.1	WP_011792678.1		
N4.HOG0000211	OG0000031	n11									WP_126376771.1	WP_010939674.1		
N4.HOG0000212	OG0000031	n15									WP_126379993.1, WP_126380000.1			
N4.HOG0000213	OG0000032	n17									WP_232034896.1			
N4.HOG0000214	OG0000032	n26									WP_126380669.1	WP_011791761.1		
N4.HOG0000215	OG0000032	n27									WP_126380997.1	WP_014524547.1		
N4.HOG0000216	OG0000033	n2									WP_232034906.1	WP_011792395.1		
N4.HOG0000217	OG0000033	n22									WP_126380666.1	WP_011792568.1		
N4.HOG0000218	OG0000034	n15									WP_269471682.1	WP_010937372.1		
N4.HOG0000219	OG0000034	n17										WP_011791418.1		
N4.HOG0000220	OG0000034	n25										WP_011791654.1		
N4.HOG0000221	OG0000034	n34										WP_011792893.1		
N4.HOG0000222	OG0000035	n30									WP_232034774.1	WP_011792514.1		
N4.HOG0000223	OG0000035	n32									WP_126381133.1	WP_181409361.1		
N4.HOG0000224	OG0000035	n33									WP_172961635.1	WP_011791918.1		
N4.HOG0000225	OG0000035	n34										WP_010939346.1		
N4.HOG0000226	OG0000035	n35									WP_126376101.1	WP_011792644.1		
N4.HOG0000227	OG0000036	n6									WP_126375559.1	WP_011793195.1		
N4.HOG0000228	OG0000036	n11									WP_126379902.1			
N4.HOG0000229	OG0000036	n13										WP_011791649.1		
N4.HOG0000230	OG0000036	n22									WP_126380791.1			
N4.HOG0000231	OG0000036	n31										WP_043629516.1		
N4.HOG0000232	OG0000038	n7									WP_232034908.1	WP_010938341.1		
N4.HOG0000233	OG0000038	n17									WP_126376738.1	WP_010938662.1		
N4.HOG0000234	OG0000039	n3									WP_126378763.1	WP_010940169.1, WP_010940065.1		
N4.HOG0000235	OG0000039	n22									WP_126378255.1	WP_011793158.1		
N4.HOG0000236	OG0000039	n29									WP_126379639.1			
N4.HOG0000237	OG0000040	n5										WP_010937647.1		
N4.HOG0000238	OG0000040	n11									WP_126380168.1	WP_011787337.1		
N4.HOG0000239	OG0000040	n20									WP_172961731.1			
N4.HOG0000240	OG0000040	n22										WP_043629357.1		
N4.HOG0000241	OG0000041	n6										WP_011791655.1		
N4.HOG0000242	OG0000041	n12										WP_011793159.1		
N4.HOG0000243	OG0000041	n13										WP_011791420.1		
N4.HOG0000244	OG0000041	n21									WP_172961587.1			
N4.HOG0000245	OG0000042	n3									WP_126379529.1	WP_011792510.1		
N4.HOG0000246	OG0000042	n11										WP_011791387.1		
N4.HOG0000247	OG0000042	n24									WP_126377521.1	WP_011792450.1		
N4.HOG0000248	OG0000043	n8									WP_126380768.1			
N4.HOG0000249	OG0000043	n15									WP_126380936.1			
N4.HOG0000250	OG0000043	n25									WP_126378951.1			
N4.HOG0000251	OG0000043	n32									WP_126380012.1			
N4.HOG0000252	OG0000045	n2									WP_126378830.1	WP_011792363.1		
N4.HOG0000253	OG0000045	n14									WP_232034928.1			
N4.HOG0000254	OG0000045	n25									WP_126379890.1			
N4.HOG0000255	OG0000046	n7									WP_126380043.1			
N4.HOG0000256	OG0000046	n10									WP_126379445.1	WP_011792325.1		
N4.HOG0000257	OG0000046	n26									WP_126375663.1	WP_081428943.1		
N4.HOG0000258	OG0000047	n3									WP_172961739.1	WP_011793001.1, WP_011787324.1		
N4.HOG0000259	OG0000047	n9									WP_172961741.1	WP_223294624.1		
N4.HOG0000260	OG0000048	n1									WP_126381030.1	WP_010940286.1		
N4.HOG0000261	OG0000048	n18									WP_232034796.1	WP_011792918.1		
N4.HOG0000262	OG0000048	n24									WP_126379303.1	WP_011792687.1		
N4.HOG0000263	OG0000049	n23									WP_172961615.1	WP_011792396.1		
N4.HOG0000264	OG0000050	n27										WP_011792353.1		
N4.HOG0000265	OG0000051	n2									WP_126376773.1			
N4.HOG0000266	OG0000051	n4									WP_126379995.1			
N4.HOG0000267	OG0000052	n3										WP_010939677.1		
N4.HOG0000268	OG0000052	n12									WP_126380843.1	WP_011791785.1		
N4.HOG0000269	OG0000053	n1									WP_126381249.1	WP_011792107.1		
N4.HOG0000270	OG0000053	n12										WP_011787362.1		
N4.HOG0000271	OG0000053	n20									WP_126377151.1	WP_011792251.1		
N4.HOG0000272	OG0000054	n21										WP_011792972.1		
N4.HOG0000273	OG0000055	n1									WP_126379655.1			
N4.HOG0000274	OG0000055	n12										WP_011791568.1		
N4.HOG0000275	OG0000055	n21									WP_126380209.1	WP_011787329.1, WP_150100250.1		
N4.HOG0000276	OG0000055	n26										WP_011792995.1, WP_011791572.1, WP_010937659.1		
N4.HOG0000277	OG0000056	n3									WP_126375624.1, WP_126378175.1	WP_011791723.1		
N4.HOG0000278	OG0000056	n10									WP_126376520.1	WP_010937885.1		
N4.HOG0000279	OG0000056	n11									WP_126381184.1	WP_010937579.1		
N4.HOG0000280	OG0000056	n18									WP_126379928.1	WP_011792734.1		
N4.HOG0000281	OG0000056	n20									WP_126380518.1	WP_011791533.1		
N4.HOG0000282	OG0000056	n22									WP_172961756.1, WP_126375921.1, WP_126380842.1			
N4.HOG0000283	OG0000056	n25										WP_010937392.1, WP_011793187.1		
N4.HOG0000284	OG0000056	n26									WP_126379293.1	WP_011793138.1		
N4.HOG0000285	OG0000056	n27									WP_172961636.1	WP_043629981.1, WP_011791784.1		
N4.HOG0000286	OG0000057	n0									WP_172961733.1			
N4.HOG0000287	OG0000058	n3									WP_126375819.1	WP_010938574.1		
N4.HOG0000288	OG0000059	n11									WP_232034798.1	WP_010937832.1		
N4.HOG0000289	OG0000060	n19									WP_126379040.1, WP_232034744.1	WP_011792468.1		
N4.HOG0000290	OG0000061	n7									WP_126381032.1	WP_011791554.1		
N4.HOG0000291	OG0000061	n26										WP_010939071.1		
N4.HOG0000292	OG0000062	n4										WP_010939658.1		
N4.HOG0000293	OG0000062	n9									WP_126380870.1	WP_011791830.1		
N4.HOG0000294	OG0000062	n21									WP_126379963.1, WP_126379859.1	WP_010937479.1		
N4.HOG0000295	OG0000063	n8									WP_126380494.1	WP_010937703.1		
N4.HOG0000296	OG0000064	n2									WP_126377057.1	WP_011792376.1		
N4.HOG0000297	OG0000064	n24									WP_232034920.1	WP_010938346.1		
N4.HOG0000298	OG0000065	n4									WP_126379932.1	WP_010938763.1		
N4.HOG0000299	OG0000065	n16									WP_126379160.1	WP_010938364.1		
N4.HOG0000300	OG0000066	n19									WP_172961713.1	WP_014524570.1		
N4.HOG0000301	OG0000066	n23									WP_126377227.1	WP_011791664.1		
N4.HOG0000302	OG0000067	n5										WP_011791864.1		
N4.HOG0000303	OG0000067	n10									WP_126379961.1, WP_126379861.1	WP_010937478.1		
N4.HOG0000304	OG0000067	n27									WP_126380869.1	WP_010939732.1		
N4.HOG0000305	OG0000068	n15										WP_190275043.1, WP_150100246.1		
N4.HOG0000306	OG0000068	n17									WP_126378496.1	WP_011792000.1		
N4.HOG0000307	OG0000068	n21									WP_172961792.1			
N4.HOG0000308	OG0000069	n22									WP_126379705.1	WP_010940354.1		
N4.HOG0000309	OG0000069	n23									WP_126381140.1	WP_010938241.1		
N4.HOG0000310	OG0000070	n7									WP_126378422.1	WP_011792560.1		
N4.HOG0000311	OG0000070	n8									WP_232034886.1	WP_011792594.1		
N4.HOG0000312	OG0000070	n12									WP_126378424.1	WP_011792137.1		
N4.HOG0000313	OG0000070	n25									WP_126376492.1	WP_011792909.1		
N4.HOG0000314	OG0000071	n10									WP_126379791.1	WP_010940006.1		
N4.HOG0000315	OG0000071	n11									WP_126376680.1	WP_010938017.1		
N4.HOG0000316	OG0000071	n14									WP_126379188.1	WP_010937857.1		
N4.HOG0000317	OG0000071	n21									WP_126381068.1			
N4.HOG0000318	OG0000071	n26									WP_126378395.1			
N4.HOG0000319	OG0000072	n2									WP_126379789.1, WP_126376668.1	WP_010940007.1		
N4.HOG0000320	OG0000072	n10									WP_126378397.1	WP_010937856.1		
N4.HOG0000321	OG0000072	n17									WP_126379182.1	WP_010938016.1		
N4.HOG0000322	OG0000074	n4									WP_126380953.1	WP_011791681.1		
N4.HOG0000323	OG0000074	n8									WP_126379593.1	WP_010939694.1		
N4.HOG0000324	OG0000075	n7									WP_126375865.1	WP_010938534.1		
N4.HOG0000325	OG0000075	n12									WP_126380626.1	WP_010937693.1		
N4.HOG0000326	OG0000075	n18									WP_126376867.1			
N4.HOG0000327	OG0000075	n21									WP_172961694.1			
N4.HOG0000328	OG0000075	n22									WP_126376787.1, WP_126376781.1	WP_010937418.1		
N4.HOG0000329	OG0000076	n1									WP_126375693.1, WP_126381049.1	WP_011792812.1		
N4.HOG0000330	OG0000076	n10									WP_126377024.1	WP_010939190.1		
N4.HOG0000331	OG0000076	n15									WP_172961659.1	WP_223294670.1		
N4.HOG0000332	OG0000077	n5									WP_126379711.1	WP_010938705.1		
N4.HOG0000333	OG0000077	n15									WP_126377449.1	WP_011792992.1		
N4.HOG0000334	OG0000078	n5									WP_172961764.1	WP_011791625.1		
N4.HOG0000335	OG0000078	n12									WP_126376995.1, WP_126376997.1	WP_011792202.1		
N4.HOG0000336	OG0000079	n1									WP_232034839.1, WP_126380539.1	WP_011792883.1		
N4.HOG0000337	OG0000079	n22									WP_172961766.1			
N4.HOG0000338	OG0000080	n2									WP_126375851.1, WP_126375849.1	WP_011791635.1		
N4.HOG0000339	OG0000080	n9										WP_223294589.1		
N4.HOG0000340	OG0000080	n18									WP_172961669.1			
N4.HOG0000341	OG0000081	n3									WP_172961767.1			
N4.HOG0000342	OG0000081	n8									WP_126376632.1			
N4.HOG0000343	OG0000081	n11									WP_126380364.1			
N4.HOG0000344	OG0000081	n20									WP_126376897.1			
N4.HOG0000345	OG0000081	n23									WP_126375579.1, WP_126379190.1	WP_010940308.1		
N4.HOG0000346	OG0000081	n25									WP_126375794.1			
N4.HOG0000347	OG0000082	n5									WP_172961569.1			
N4.HOG0000348	OG0000082	n10										WP_011793183.1		
N4.HOG0000349	OG0000082	n19									WP_232034762.1	WP_010937942.1		
N4.HOG0000350	OG0000082	n20									WP_126379022.1	WP_010939878.1		
N4.HOG0000351	OG0000082	n23									WP_126377927.1	WP_010939503.1		
N4.HOG0000352	OG0000082	n24									WP_126380332.1	WP_011793168.1		
N4.HOG0000353	OG0000082	n25									WP_126380330.1	WP_010937359.1		
N4.HOG0000354	OG0000083	n1										WP_081428975.1		
N4.HOG0000355	OG0000083	n7									WP_126377578.1	WP_011791490.1		
N4.HOG0000356	OG0000083	n9									WP_172961574.1	WP_223294658.1, WP_011792935.1		
N4.HOG0000357	OG0000083	n17									WP_126378765.1, WP_126375658.1	WP_043629947.1		
N4.HOG0000358	OG0000083	n21									WP_232034921.1			
N4.HOG0000359	OG0000083	n22									WP_126380521.1	WP_010938152.1		
N4.HOG0000360	OG0000083	n24										WP_049758075.1		
N4.HOG0000361	OG0000084	n6									WP_172961782.1			
N4.HOG0000362	OG0000084	n12									WP_126379819.1	WP_011791721.1		
N4.HOG0000363	OG0000085	n1									WP_172961786.1	WP_011791400.1		
N4.HOG0000364	OG0000085	n11									WP_126381273.1	WP_011792371.1		
N4.HOG0000365	OG0000086	n2									WP_126375833.1	WP_011792617.1		
N4.HOG0000366	OG0000086	n13									WP_126376484.1	WP_011792094.1		
N4.HOG0000367	OG0000086	n18									WP_126375563.1	WP_011792911.1		
N4.HOG0000368	OG0000087	n1									WP_126377394.1	WP_010939136.1		
N4.HOG0000369	OG0000087	n10									WP_126376666.1			
N4.HOG0000370	OG0000087	n14									WP_126379228.1	WP_010940040.1		
N4.HOG0000371	OG0000088	n2									WP_126376803.1			
N4.HOG0000372	OG0000088	n6									WP_126376259.1	WP_011792102.1		
N4.HOG0000373	OG0000088	n24										WP_011792134.1		
N4.HOG0000374	OG0000091	n12									WP_126379497.1	WP_043629736.1		
N4.HOG0000375	OG0000092	n9									WP_126378232.1	WP_011791541.1		
