Orthogroup	Desulfosediminicola ganghwensis IMCC35004	Desulfosediminicola flagellatus IMCC35005
OG0000002	WP_167495633.1	WP_136806069.1
OG0000002	WP_136799606.1	WP_136807684.1
OG0000002	WP_136799805.1	WP_136805614.1
OG0000003	WP_136795949.1	WP_136806109.1
OG0000004	WP_136798650.1	WP_136809428.1
OG0000004	WP_167495840.1	WP_167505718.1
OG0000004	WP_136798338.1	WP_136808192.1
OG0000004	WP_136795716.1	WP_136805197.1, WP_136807033.1, WP_136806447.1
OG0000004	WP_136796342.1	WP_136809028.1
OG0000005	WP_136796309.1	WP_136810384.1
OG0000005	WP_136797383.1	WP_136805867.1
OG0000005	WP_167495701.1	WP_136806188.1
OG0000005	WP_167495890.1	WP_136810073.1
OG0000005	WP_136799321.1	WP_167505954.1
OG0000005	WP_136797798.1	WP_136806805.1
OG0000005	WP_136799362.1	WP_167505797.1, WP_167505775.1, WP_136808058.1, WP_136809942.1, WP_136807023.1, WP_228723321.1, WP_136810234.1, WP_136807296.1, WP_136805496.1, WP_136806590.1
OG0000005	WP_167495679.1	WP_136809159.1
OG0000005	WP_136797789.1	WP_136806794.1
OG0000006	WP_136797886.1	WP_136810272.1
OG0000007	WP_228721345.1	WP_228723385.1
OG0000007	WP_136796943.1	WP_176371586.1
OG0000007	WP_136796543.1	WP_136805469.1
OG0000007	WP_136795639.1	WP_136809767.1
OG0000007	WP_136795569.1	WP_136809687.1
OG0000007	WP_217907574.1	WP_136806719.1
OG0000007	WP_136796830.1	WP_136806549.1
OG0000007	WP_136798505.1	WP_136806986.1
OG0000007	WP_136796500.1	WP_136809210.1
OG0000008	WP_136796499.1	WP_136809211.1
OG0000008	WP_167495786.1	WP_136805538.1
OG0000008	WP_136795517.1	WP_217909514.1
OG0000008	WP_136796821.1	WP_136806594.1
OG0000008	WP_136798618.1	WP_136808272.1
OG0000008	WP_228721405.1	WP_136806200.1
OG0000009	WP_136799743.1	WP_136810250.1
OG0000009	WP_136796828.1	WP_136806688.1, WP_136809487.1, WP_167505902.1
OG0000009	WP_167495941.1	WP_136805233.1, WP_217909581.1
OG0000010	WP_136795772.1	WP_136807956.1, WP_136809828.1, WP_136805073.1
OG0000011	WP_136796707.1	WP_136808302.1
OG0000011	WP_228721445.1	WP_136808632.1
OG0000011	WP_136796520.1	WP_136806782.1
OG0000011	WP_136796063.1	WP_136810628.1
OG0000011	WP_136797104.1	WP_136808936.1
OG0000011	WP_167495681.1	WP_228723280.1
OG0000011	WP_136798851.1	WP_136805836.1
OG0000011	WP_136796266.1	WP_136809871.1
OG0000011	WP_136799595.1	WP_136809894.1
OG0000011	WP_136798603.1	WP_136810666.1, WP_136810070.1
OG0000011	WP_136798211.1, WP_217907688.1	WP_217909606.1
OG0000012	WP_136799858.1	WP_167506099.1
OG0000012	WP_228721381.1	WP_136805114.1
OG0000012	WP_136796722.1	WP_228723378.1
OG0000012	WP_136798832.1	WP_136806856.1
OG0000013	WP_228721392.1	WP_217909556.1
OG0000013	WP_136799928.1	WP_136810308.1
OG0000013	WP_136797029.1	WP_136810262.1
OG0000013	WP_136799932.1	WP_136810302.1
OG0000013	WP_136797031.1	WP_136810264.1
OG0000014	WP_136795319.1	WP_136808146.1
OG0000014	WP_167495771.1	WP_136808979.1
OG0000014	WP_136796661.1	WP_136808354.1
OG0000014	WP_136795451.1	WP_136808641.1
OG0000014	WP_136798954.1	WP_136809415.1
OG0000015	WP_136798539.1	WP_136806902.1
OG0000015	WP_228721502.1	WP_228723428.1
OG0000015	WP_136798430.1	WP_167506080.1
OG0000015	WP_136796070.1	WP_136810620.1
OG0000016	WP_136796187.1	WP_136809302.1
OG0000016	WP_136799049.1	WP_136807829.1
OG0000016	WP_136797826.1	WP_136807338.1
OG0000017	WP_167495642.1	WP_136808412.1
OG0000017	WP_136796609.1	WP_136808421.1, WP_136807419.1
OG0000017	WP_275942934.1	WP_136808425.1
OG0000018	WP_136795787.1	WP_136806347.1
OG0000018	WP_136798307.1	WP_136808506.1
OG0000018	WP_167495927.1	WP_167505931.1
OG0000019	WP_136796978.1	WP_136810058.1
OG0000019	WP_136795318.1	WP_136808145.1
OG0000019	WP_136797551.1	WP_217909488.1
OG0000020	WP_136796993.1	WP_136810213.1
OG0000020	WP_136798358.1	WP_136807644.1
OG0000020	WP_136797524.1, WP_136797303.1	WP_136809897.1
OG0000020	WP_136795588.1	WP_136809709.1
OG0000020	WP_267314022.1	WP_136809851.1
OG0000021	WP_136797283.1, WP_136799171.1	WP_136808857.1
OG0000021	WP_136796274.1, WP_136799340.1	WP_136809333.1
OG0000021	WP_136799193.1	WP_136807472.1
OG0000021	WP_136797562.1	WP_136806474.1
OG0000021	WP_136799341.1	WP_136809332.1
OG0000021	WP_136799170.1	WP_136808856.1
OG0000022	WP_136799291.1	WP_136806354.1
OG0000022	WP_136799316.1	WP_136808751.1
OG0000022	WP_136798856.1	WP_136806527.1
OG0000022	WP_136795837.1	WP_136806296.1
OG0000022	WP_136798804.1	WP_136806018.1
OG0000022	WP_136796834.1	WP_136805502.1
OG0000023	WP_136798831.1	WP_136809090.1, WP_136808183.1, WP_136806771.1
OG0000023	WP_136798830.1	WP_136808184.1, WP_136809091.1, WP_136806772.1
OG0000023	WP_073616346.1	WP_136808182.1, WP_136809089.1, WP_136808678.1
OG0000023	WP_136796827.1	WP_136806588.1
OG0000024	WP_136796326.1	WP_136810505.1
OG0000024	WP_136797387.1	WP_136810309.1
OG0000024	WP_136798855.1	WP_136806526.1
OG0000024	WP_136796891.1	WP_136810451.1
OG0000025	WP_136796934.1	WP_136810013.1
OG0000025	WP_136796878.1	WP_136808977.1
OG0000025	WP_136797803.1	WP_136806813.1
OG0000026	WP_136795497.1	WP_217909501.1
OG0000026	WP_136799106.1	WP_136806848.1
OG0000026	WP_136795158.1	WP_136807998.1
OG0000026	WP_136796894.1	WP_136810287.1
OG0000027	WP_136795589.1	WP_136809850.1, WP_136809710.1
OG0000027	WP_136795997.1	WP_136807355.1
OG0000027	WP_136797362.1	WP_136807372.1
OG0000028	WP_136798974.1	WP_136805931.1
OG0000028	WP_136799046.1	WP_136807826.1
OG0000028	WP_136798422.1	WP_136808657.1, WP_136809938.1
OG0000028	WP_136799929.1, WP_136797026.1	WP_136810259.1, WP_136810307.1
OG0000029	WP_136799144.1	WP_167505962.1
OG0000029	WP_136797658.1	WP_136805378.1
OG0000029	WP_136797424.1	WP_136805901.1
OG0000030	WP_136797137.1	WP_217909491.1
OG0000030	WP_228721452.1	WP_136805937.1
OG0000031	WP_136798099.1	WP_136810558.1
OG0000031	WP_136795993.1	WP_217909589.1
OG0000031	WP_228721468.1	WP_228723343.1
OG0000031	WP_153305575.1	WP_153307109.1
OG0000031	WP_153305538.1	WP_275942860.1
OG0000031	WP_136797822.1	WP_136807346.1
OG0000031	WP_228721326.1	WP_228723360.1
OG0000031	WP_136799053.1	WP_136807833.1
OG0000032	WP_136795138.1	WP_136807976.1
OG0000032	WP_136795593.1	WP_167506015.1
OG0000033	WP_167495906.1	WP_167505882.1
OG0000033	WP_136795667.1	WP_136809799.1
OG0000033	WP_136796864.1	WP_136806540.1
OG0000033	WP_228721439.1	WP_136809276.1
OG0000033	WP_136797800.1	WP_136809001.1
OG0000034	WP_136795518.1	WP_136810678.1
OG0000034	WP_136798619.1	WP_136808271.1
OG0000034	WP_136795709.1	WP_136806199.1
OG0000035	WP_136796974.1	WP_136810508.1, WP_136810054.1, WP_136808043.1, WP_136809230.1
OG0000036	WP_136796705.1	WP_136808304.1
OG0000036	WP_136796268.1	WP_136809873.1
OG0000036	WP_136796149.1	WP_228723279.1
OG0000036	WP_136798210.1	WP_136810664.1
OG0000036	WP_136799939.1, WP_136796285.1, WP_136798849.1	WP_136805838.1
OG0000036	WP_217907680.1	WP_217909530.1
OG0000036	WP_136799593.1	WP_217909458.1
OG0000038	WP_136796619.1	WP_136808396.1
OG0000038	WP_136797873.1	WP_136805514.1
OG0000038	WP_136797874.1	WP_136805513.1
OG0000039	WP_136795328.1	WP_136808159.1
OG0000039	WP_136797936.1, WP_217907698.1	WP_136806124.1
OG0000039	WP_136798188.1	WP_136805748.1
OG0000040	WP_136796808.1	WP_136808531.1
OG0000040	WP_136799761.1	WP_136805340.1
OG0000041	WP_136795710.1	WP_136806198.1
OG0000041	WP_136798488.1	WP_217909485.1
OG0000041	WP_167495619.1	WP_136808147.1
OG0000042	WP_217907590.1	WP_217909626.1
OG0000042	WP_136795372.1	WP_136808551.1
OG0000042	WP_136799831.1	WP_136809846.1
OG0000042	WP_275942936.1	WP_275942834.1
OG0000043	WP_136799174.1	WP_136808860.1
OG0000043	WP_136799625.1	WP_136807664.1
OG0000043	WP_136795665.1	WP_136809797.1
OG0000045	WP_136798364.1, WP_136797441.1	WP_136810787.1
OG0000045	WP_167495904.1, WP_267314012.1	WP_136805182.1
OG0000045	WP_136797412.1	WP_136806030.1
OG0000046	WP_136797522.1	WP_136809898.1
OG0000046	WP_136797836.1	WP_136805573.1
OG0000046	WP_136796683.1	WP_136808334.1
OG0000046	WP_136798359.1	WP_136807646.1
OG0000047	WP_167495646.1	WP_167505894.1
OG0000047	WP_136798300.1	WP_136808498.1
OG0000048	WP_136798807.1	WP_136808633.1
OG0000048	WP_136797116.1	WP_136808926.1, WP_136810226.1
OG0000048	WP_136795343.1	WP_228723239.1
OG0000048	WP_136795596.1	WP_136809719.1
OG0000049	WP_136797013.1	WP_136810189.1
OG0000049	WP_136798429.1, WP_136798433.1, WP_136795482.1	WP_136809400.1
OG0000049	WP_136799871.1	WP_167505764.1
OG0000050	WP_136798658.1	WP_136809490.1
OG0000050	WP_217907720.1	WP_136806561.1
OG0000050	WP_136798659.1	WP_136809492.1
OG0000051	WP_136799052.1	WP_136807832.1
OG0000051	WP_136798861.1	WP_136805575.1, WP_275942859.1
OG0000051	WP_228721506.1	WP_275942861.1
OG0000051	WP_176360047.1	WP_167505864.1
OG0000051	WP_153305574.1	WP_136810515.1, WP_153307106.1
OG0000051	WP_267313990.1	WP_267313722.1
OG0000052	WP_136798976.1	WP_136805929.1
OG0000052	WP_136799093.1	WP_136805660.1
OG0000053	WP_136797779.1	WP_136805444.1
OG0000053	WP_228721360.1	WP_136808276.1, WP_136808277.1
OG0000053	WP_136795598.1	WP_228723307.1
OG0000055	WP_136796674.1	WP_136808343.1
OG0000057	WP_136798992.1	WP_136809365.1, WP_136807233.1
OG0000057	WP_136798386.1	WP_136805669.1
OG0000057	WP_136799419.1	WP_167506003.1
OG0000058	WP_136796804.1	WP_136806611.1
OG0000058	WP_136799492.1	WP_136810256.1, WP_136806778.1
OG0000059	WP_136795559.1	WP_136809677.1
OG0000059	WP_136799176.1	WP_136808864.1
OG0000060	WP_136799403.1	WP_136809295.1
OG0000060	WP_136796475.1	WP_136806703.1
OG0000060	WP_228721336.1	WP_136806279.1
OG0000061	WP_136795968.1	WP_267313725.1
OG0000061	WP_136797118.1	WP_136810227.1, WP_136808925.1
OG0000061	WP_136798806.1	WP_136808634.1
OG0000061	WP_136798172.1	WP_136805763.1
OG0000062	WP_228721376.1	WP_228723330.1
OG0000062	WP_136799342.1	WP_136809331.1
OG0000062	WP_136797558.1	WP_136806476.1
OG0000062	WP_167495790.1, WP_136799168.1	WP_136808854.1
OG0000063	WP_136799120.1	WP_136806830.1
OG0000063	WP_136798008.1	WP_136805302.1
OG0000064	WP_136796630.1	WP_136808385.1
OG0000064	WP_136796784.1	WP_136806628.1
OG0000065	WP_136799671.1	WP_136805814.1
OG0000066	WP_167495902.1	WP_167505991.1
OG0000066	WP_136797369.1	WP_136808279.1
OG0000066	WP_136795403.1	WP_136808571.1
OG0000066	WP_136795280.1	WP_136808108.1
OG0000066	WP_136797085.1	WP_136808945.1
OG0000066	WP_136797211.1	WP_136808878.1
OG0000067	WP_136797988.1	WP_136805282.1
OG0000067	WP_217907645.1	WP_217909523.1
OG0000067	WP_136797906.1, WP_136799169.1	WP_136808855.1
OG0000067	WP_136797560.1	WP_136806475.1
OG0000068	WP_275942955.1	WP_136808734.1
OG0000068	WP_136796932.1	WP_136810010.1
OG0000068	WP_136798038.1	WP_167506095.1
OG0000069	WP_228721419.1	WP_167505940.1
OG0000069	WP_136796966.1	WP_136810048.1
OG0000071	WP_136799261.1	WP_136806381.1
OG0000072	WP_136799262.1	WP_136806380.1
OG0000072	WP_136796882.1	WP_136808347.1
OG0000074	WP_136800028.1	WP_136808322.1
OG0000074	WP_136796902.1	WP_136806244.1
OG0000074	WP_136795663.1	WP_136809795.1
OG0000074	WP_136799329.1	WP_136808776.1
OG0000074	WP_136799177.1	WP_136808865.1
OG0000075	WP_136799800.1	WP_136805613.1
OG0000077	WP_136799204.1	WP_136807493.1
OG0000077	WP_136797723.1	WP_136805418.1
OG0000078	WP_136797872.1	WP_136805515.1
OG0000078	WP_136795211.1	WP_136808055.1
OG0000079	WP_136798159.1	WP_228723251.1
OG0000079	WP_136798710.1	WP_136805063.1
OG0000081	WP_136797478.1	WP_136805237.1, WP_167505906.1, WP_136810207.1, WP_136805255.1, WP_136808827.1, WP_136809107.1, WP_136808928.1
OG0000083	WP_167495661.1	WP_167506038.1
OG0000084	WP_136798213.1	WP_136805833.1, WP_136805588.1, WP_136807676.1
OG0000084	WP_136798627.1	WP_136810442.1
OG0000084	WP_136798215.1, WP_136799479.1	WP_228723270.1
OG0000084	WP_136798998.1	WP_136810823.1
OG0000084	WP_167495810.1	WP_136808490.1
OG0000084	WP_136798854.1	WP_136808997.1
OG0000085	WP_136796338.1	WP_136810493.1
OG0000085	WP_136796087.1	WP_136809115.1
OG0000086	WP_136795286.1	WP_136810651.1, WP_136808115.1
OG0000086	WP_136798754.1	WP_136806960.1
OG0000086	WP_136799066.1	WP_136808581.1
OG0000087	WP_136796508.1	WP_136806724.1
OG0000087	WP_136798368.1	WP_136807110.1
OG0000088	WP_136795954.1	WP_136806105.1
OG0000089	WP_217907676.1	WP_153307134.1
OG0000089	WP_136797612.1	WP_136806975.1, WP_136810798.1, WP_167505835.1, WP_136809298.1
OG0000091	WP_136795688.1	WP_136809462.1
OG0000091	WP_267314029.1	WP_136805623.1
OG0000092	WP_136796869.1	WP_136806534.1
OG0000092	WP_136796868.1	WP_136806535.1
OG0000092	WP_136796490.1	WP_136806715.1
OG0000093	WP_136798682.1	WP_136808679.1
OG0000093	WP_136800036.1, WP_136799485.1	WP_136810770.1
OG0000093	WP_136796228.1	WP_136809320.1
OG0000093	WP_136798528.1	WP_136806918.1
OG0000094	WP_176360090.1	WP_136810866.1
OG0000094	WP_136798304.1	WP_136808502.1
OG0000095	WP_136795641.1	WP_136809769.1
OG0000095	WP_136799860.1	WP_136810701.1
OG0000096	WP_136798770.1	WP_136805987.1
OG0000096	WP_136797186.1	WP_136805676.1
OG0000097	WP_228721358.1	WP_136807108.1
OG0000097	WP_136798365.1	WP_136807121.1
OG0000098	WP_136799263.1	WP_176371599.1
OG0000099	WP_136798797.1	WP_136805999.1, WP_167506002.1, WP_136805946.1, WP_136805481.1, WP_136809865.1, WP_136808098.1, WP_136806950.1
OG0000100	WP_136798504.1	WP_136806987.1
OG0000100	WP_136795568.1	WP_136809686.1
OG0000100	WP_228721316.1	WP_136809209.1
OG0000100	WP_136796501.1	WP_136809208.1
OG0000101	WP_136796133.1	WP_275942865.1
OG0000101	WP_275942959.1	WP_275942866.1
OG0000102	WP_136799374.1	WP_136809955.1
OG0000102	WP_136795201.1, WP_136799936.1	WP_136808045.1
OG0000102	WP_136798740.1	WP_136805120.1
OG0000103	WP_136795741.1	WP_136807934.1
OG0000103	WP_136795457.1	WP_136809372.1
OG0000104	WP_136796697.1	WP_136808313.1
OG0000104	WP_136795137.1	WP_136807975.1
OG0000105	WP_167495799.1	WP_136805297.1
OG0000105	WP_136795700.1	WP_136809443.1
OG0000106	WP_136796871.1	WP_167506040.1
OG0000106	WP_136799199.1	WP_136807483.1
OG0000106	WP_136797460.1	WP_136809270.1
OG0000107	WP_136796997.1	WP_136810209.1
OG0000107	WP_136797882.1	WP_136805501.1
OG0000108	WP_136795272.1	WP_136808097.1
OG0000108	WP_136795821.1	WP_136806312.1
OG0000108	WP_136797888.1	WP_136805490.1
OG0000109	WP_217907575.1, WP_217907576.1	WP_136806493.1, WP_136810740.1, WP_136810741.1
OG0000110	WP_176359997.1	WP_136807030.1
OG0000111	WP_136798850.1	WP_136805837.1
OG0000111	WP_136798808.1	WP_228723290.1
OG0000112	WP_136795162.1	WP_136808002.1
OG0000112	WP_136799396.1	WP_136809976.1
OG0000112	WP_136798234.1	WP_275942837.1
OG0000113	WP_136797268.1	WP_167505858.1
OG0000113	WP_136798881.1	WP_136810325.1
OG0000113	WP_136797079.1	WP_136808953.1
OG0000113	WP_136795601.1	WP_136809724.1
OG0000114	WP_136798085.1	WP_136810572.1
OG0000114	WP_136796322.1	WP_136810511.1
OG0000115	WP_136795176.1	WP_136808017.1
OG0000116	WP_136796906.1	WP_136805779.1
OG0000116	WP_136799062.1	WP_136807842.1
OG0000117	WP_136796980.1	WP_136810060.1
OG0000118	WP_136796981.1	WP_136810061.1
OG0000119	WP_228721364.1	WP_136806532.1
OG0000120	WP_136796277.1, WP_136797907.1, WP_217907646.1	WP_217909522.1
OG0000120	WP_136799167.1	WP_136808853.1
OG0000121	WP_136799772.1	WP_136808693.1
OG0000122	WP_136797587.1	WP_136810246.1
OG0000125	WP_136799327.1	WP_136808761.1
OG0000125	WP_136799082.1	WP_217909486.1, WP_136809889.1, WP_228723249.1
OG0000125	WP_228721433.1	WP_136809223.1, WP_136809049.1
OG0000126	WP_228721374.1	WP_136805307.1
OG0000126	WP_136797840.1	WP_136805571.1
OG0000127	WP_136798114.1, WP_136799486.1	WP_136810542.1
OG0000127	WP_136798113.1	WP_136810543.1
OG0000128	WP_136796763.1	WP_136806650.1
OG0000128	WP_136795788.1	WP_136806346.1
OG0000129	WP_136797946.1	WP_136805236.1
OG0000130	WP_136795478.1	WP_228723300.1, WP_136809396.1
OG0000130	WP_136796463.1	WP_217909449.1
OG0000131	WP_136797768.1	WP_136805439.1
OG0000132	WP_228721466.1	WP_136809264.1
OG0000132	WP_136795253.1	WP_136808075.1
OG0000133	WP_228721521.1	WP_267313775.1
OG0000134	WP_136797419.1	WP_136805898.1
OG0000134	WP_136796679.1	WP_167505926.1
OG0000135	WP_136797121.1	WP_136808902.1
OG0000135	WP_136798501.1	WP_136806993.1
OG0000136	WP_136795808.1	WP_136806325.1
OG0000136	WP_136795820.1	WP_136806313.1
OG0000138	WP_136797829.1	WP_136807292.1
OG0000138	WP_136799645.1	WP_228723396.1
OG0000139	WP_176360069.1	WP_136805666.1, WP_136805160.1, WP_136808274.1, WP_217909541.1, WP_136808674.1, WP_228723381.1, WP_228723284.1, WP_136809269.1, WP_136808774.1, WP_136810434.1
OG0000142	WP_167495789.1	WP_267313776.1
OG0000142	WP_167495869.1	WP_167505871.1
OG0000143	WP_136796789.1	WP_136806623.1
OG0000144	WP_136797809.1	WP_136806979.1
OG0000144	WP_136797990.1	WP_136805284.1
OG0000145	WP_136795140.1	WP_136807978.1
OG0000146	WP_136795918.1	WP_136807750.1
OG0000146	WP_136795276.1	WP_136808101.1
OG0000147	WP_136798009.1	WP_136805303.1
OG0000147	WP_136796464.1	WP_136806691.1
OG0000148	WP_136797333.1, WP_136798997.1	WP_136808665.1
OG0000148	WP_176360048.1	WP_136807206.1
OG0000148	WP_136798781.1	WP_136805996.1
OG0000149	WP_136795704.1	WP_136809474.1
OG0000150	WP_136795891.1	WP_136806150.1
OG0000150	WP_136795197.1	WP_136808039.1
OG0000151	WP_167495648.1	WP_176371575.1
OG0000151	WP_228721372.1	WP_228723332.1
OG0000152	WP_136796510.1	WP_275942862.1
OG0000152	WP_136796511.1	WP_136806728.1
OG0000153	WP_136795927.1	WP_136806137.1
OG0000153	WP_136795650.1	WP_136809779.1
OG0000153	WP_136799344.1	WP_275942867.1
OG0000154	WP_136796369.1	WP_167506086.1
OG0000155	WP_136799056.1	WP_136807836.1
OG0000156	WP_136798439.1, WP_136799326.1	WP_167505956.1
OG0000156	WP_136796151.1	WP_136809224.1
OG0000156	WP_136799083.1	WP_136805651.1
OG0000158	WP_136797710.1	WP_136805409.1
OG0000158	WP_136798346.1	WP_136806037.1
OG0000159	WP_136799875.1	WP_136810252.1, WP_136808151.1, WP_136806232.1, WP_136808991.1, WP_136807294.1
OG0000160	WP_136795678.1, WP_136797909.1	WP_136809501.1
OG0000160	WP_136796341.1	WP_136810489.1
OG0000161	WP_136798218.1	WP_136809610.1
OG0000161	WP_136795491.1	WP_136808649.1
OG0000162	WP_136795728.1, WP_136796297.1	WP_136810357.1
OG0000163	WP_136796117.1	WP_136809154.1
OG0000163	WP_136796962.1	WP_136810044.1
OG0000164	WP_136795354.1	WP_136807039.1
OG0000164	WP_136798769.1	WP_136805985.1
OG0000165	WP_136796042.1	WP_136810648.1
OG0000166	WP_136796654.1	WP_136808362.1
OG0000166	WP_136796310.1	WP_136810385.1
OG0000167	WP_136799493.1	WP_228723319.1
OG0000169	WP_136799778.1	WP_136805317.1
OG0000169	WP_136799319.1	WP_136808753.1
OG0000170	WP_136795168.1	WP_136808008.1
OG0000171	WP_228721370.1	WP_136805395.1
OG0000172	WP_136796611.1	WP_136808406.1
OG0000173	WP_136798955.1	WP_136809414.1
OG0000173	WP_136795452.1	WP_136808642.1
OG0000174	WP_136796534.1	WP_136805459.1
OG0000175	WP_136799806.1	WP_136806436.1
OG0000175	WP_136795422.1	WP_136808432.1
OG0000176	WP_136795439.1	WP_136808623.1
OG0000178	WP_136799423.1, WP_167495794.1	WP_136809275.1
OG0000180	WP_136798149.1, WP_136799735.1	WP_136808735.1
OG0000181	WP_136799823.1	WP_136805363.1
OG0000181	WP_136795143.1	WP_136807981.1
OG0000182	WP_136799369.1	WP_136809951.1
OG0000182	WP_136797572.1	WP_136807531.1
OG0000182	WP_136798335.1	WP_136807774.1
OG0000182	WP_136796291.1	WP_136807316.1, WP_136810351.1
OG0000182	WP_136797999.1	WP_136805293.1
OG0000182	WP_136798329.1	WP_136807785.1
OG0000183	WP_136797010.1	WP_136810194.1
OG0000183	WP_228721515.1	WP_228723410.1
OG0000184	WP_136799103.1	WP_228723354.1
OG0000184	WP_136795383.1	WP_136808559.1
OG0000185	WP_136799282.1	WP_136806361.1
OG0000185	WP_167495634.1	WP_167506014.1
OG0000186	WP_136795139.1, WP_136796574.1	WP_136807977.1
OG0000187	WP_136798096.1	WP_136810561.1
OG0000187	WP_136798084.1	WP_136810573.1
OG0000188	WP_167495832.1, WP_136797034.1	WP_136810267.1, WP_167506113.1
OG0000189	WP_167495659.1	WP_136806173.1
OG0000190	WP_136799722.1	WP_136808190.1
OG0000190	WP_136795971.1	WP_136807401.1
OG0000191	WP_136799623.1	WP_136807662.1
OG0000191	WP_136798957.1	WP_136808229.1
OG0000192	WP_136797191.1	WP_136806034.1
OG0000193	WP_136799672.1	WP_136805815.1
OG0000194	WP_228721422.1	WP_136809374.1
OG0000194	WP_275942947.1	WP_136809138.1
OG0000195	WP_136798516.1	WP_136806931.1
OG0000195	WP_136797868.1	WP_136805518.1
OG0000196	WP_136798543.1	WP_136806898.1
OG0000196	WP_228721391.1	WP_136810195.1
OG0000197	WP_136798116.1	WP_136810539.1
OG0000197	WP_136795984.1	WP_136807376.1
OG0000197	WP_136795613.1	WP_228723264.1
OG0000198	WP_167495725.1	WP_136806413.1
OG0000198	WP_136796222.1	WP_136809313.1
OG0000199	WP_136795913.1	WP_136807135.1
OG0000199	WP_136799295.1	WP_136806350.1
OG0000200	WP_136796236.1	WP_136809135.1
OG0000201	WP_167495912.1	WP_136805810.1
OG0000202	WP_136796191.1	WP_136805949.1
OG0000203	WP_136799198.1	WP_136807482.1
OG0000203	WP_136795326.1	WP_136808157.1
OG0000204	WP_136798353.1	WP_136807636.1
OG0000205	WP_136796816.1	WP_136806602.1
OG0000205	WP_136799208.1	WP_136807533.1
OG0000206	WP_275942958.1	WP_275942864.1
OG0000206	WP_136795986.1	WP_136807368.1
OG0000206	WP_136799055.1	WP_136807835.1
OG0000206	WP_136798860.1	WP_136805576.1
OG0000206	WP_136799150.1	WP_136808838.1
OG0000207	WP_136795970.1	WP_167505868.1
OG0000207	WP_136798652.1	WP_136809059.1, WP_167506005.1
OG0000208	WP_136798653.1	WP_136809058.1, WP_136809431.1
OG0000208	WP_136795969.1	WP_136807405.1
OG0000209	WP_136795947.1	WP_136806115.1
OG0000210	WP_136796173.1	WP_136809249.1
OG0000210	WP_228721446.1	WP_228723260.1
OG0000211	WP_136795944.1	WP_136806117.1
OG0000212	WP_136795445.1	WP_136808629.1
OG0000213	WP_136799586.1	WP_136809857.1, WP_136808224.1
OG0000215	WP_136797669.1	WP_136805384.1
OG0000215	WP_136797400.1	WP_136805888.1
OG0000216	WP_136796319.1	WP_136810393.1
OG0000216	WP_136796305.1	WP_136810380.1
OG0000217	WP_136798268.1	WP_136808462.1
OG0000217	WP_217907651.1	WP_217909515.1
OG0000218	WP_136799185.1	WP_136807454.1
OG0000219	WP_136798902.1	WP_136810124.1
OG0000219	WP_136795256.1	WP_228723302.1
OG0000220	WP_136797207.1	WP_136808880.1
OG0000220	WP_136795649.1	WP_267313742.1
OG0000220	WP_136799610.1	WP_136806530.1, WP_136806203.1
OG0000221	WP_136796482.1	WP_136806708.1
OG0000222	WP_136799627.1	WP_136807668.1
OG0000222	WP_136796957.1	WP_136810039.1
OG0000223	WP_136797786.1	WP_136805449.1
