Orthogroup	Species	Geobacter sulfurreducens PCA	Orthologs
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010943974.1	WP_176360009.1, WP_228721410.1, WP_136799495.1, WP_136798255.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010943974.1	WP_015402874.1, WP_052326964.1
OG0000000	Desulfocapsa_06_corrosive	WP_010943974.1	Utg323262_120
OG0000000	Desulfocapsa_13_biocide	WP_010943974.1	Utg857076_7
OG0000000	Desulfovibrio ferrophilus IS5	WP_010943974.1	WP_126377909.1
OG0000000	Desulfovibrio vulgaris DP4	WP_010943974.1	WP_011792800.1, WP_011791917.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010943974.1	WP_275942845.1, WP_136808452.1
OG0000000	Shewanella oneidensis MR-1	WP_010942585.1	WP_011073114.1, WP_011073484.1
OG0000000	Desulfovibrio vulgaris DP4	WP_010942585.1	WP_011787340.1
OG0000000	Desulfocapsa_06_corrosive	WP_010941040.1, WP_010941138.1	Utg323152_412
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010941040.1, WP_010941138.1	WP_136798981.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010941040.1, WP_010941138.1	WP_136805922.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010941040.1, WP_010941138.1	WP_015404367.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_010941040.1, WP_010941138.1	WP_126377956.1
OG0000000	Desulfovibrio vulgaris DP4	WP_010941040.1, WP_010941138.1	WP_011792072.1
OG0000001	Acidithiobacillus ferrooxidans YNTRS-40	WP_010942201.1, WP_010942302.1, WP_010942515.1, WP_235044972.1, WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1, WP_010941474.1, WP_010941620.1, WP_010943599.1, WP_010942049.1, WP_238525143.1, WP_010941210.1	WP_049756718.1
OG0000001	Desulfocapsa_06_corrosive	WP_010942201.1	Utg323180_225
OG0000001	Desulfocapsa_13_biocide	WP_010942201.1	Utg863716_50
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_010942201.1	WP_136796374.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_010942201.1	WP_126376510.1, WP_172961810.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_010942201.1	WP_015402638.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_010942201.1	WP_205220029.1
OG0000001	Desulfovibrio vulgaris DP4	WP_010942201.1	WP_010937723.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_010942201.1	WP_136806607.1
OG0000001	Shewanella oneidensis MR-1	WP_010942201.1	WP_011074067.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_010942302.1, WP_010942515.1, WP_235044972.1, WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	WP_205217623.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_010942302.1	WP_136798799.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_010942302.1	WP_015402811.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_010942515.1, WP_235044972.1	WP_136807476.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_010942515.1, WP_235044972.1	WP_136799195.1
OG0000001	Desulfocapsa_06_corrosive	WP_010942515.1, WP_235044972.1	Utg323180_136
OG0000001	Desulfocapsa_13_biocide	WP_010942515.1, WP_235044972.1	Utg857152_206
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_010942515.1, WP_235044972.1	WP_167320702.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_010942515.1, WP_235044972.1	WP_126375573.1, WP_126379609.1
OG0000001	Shewanella oneidensis MR-1	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	WP_011072190.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	WP_136809287.1, WP_136810389.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	WP_136799410.1
OG0000001	Desulfocapsa_06_corrosive	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	Utg323300_105, Utg324810_63
OG0000001	Desulfocapsa_13_biocide	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	Utg857300_46
OG0000001	Desulfotalea psychrophila LSv54	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	WP_011187505.1
OG0000001	Desulfovibrio vulgaris DP4	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	WP_043629533.1, WP_010937422.1, WP_010939946.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1	WP_172961793.1, WP_126380918.1, WP_126377950.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_010941474.1	WP_126376869.1
OG0000001	Desulfotalea psychrophila LSv54	WP_010941620.1, WP_010943599.1, WP_010942049.1	WP_049785109.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_010941620.1, WP_010943599.1, WP_010942049.1	WP_015402480.1
OG0000001	Shewanella oneidensis MR-1	WP_010941620.1, WP_010943599.1, WP_010942049.1	WP_011071723.1
OG0000001	Desulfovibrio vulgaris DP4	WP_010941620.1, WP_010943599.1, WP_010942049.1	WP_011792933.1
OG0000001	Desulfocapsa_06_corrosive	WP_010941620.1	Utg323180_418, Utg323074_106
OG0000001	Desulfovibrio ferrophilus IS5	WP_010943599.1, WP_010942049.1	WP_197723432.1
OG0000001	Desulfocapsa_06_corrosive	WP_010943599.1, WP_010942049.1	Utg323180_183
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_238525143.1	WP_205217330.1
OG0000001	Shewanella oneidensis MR-1	WP_238525143.1	WP_011073536.1, WP_011072697.1
OG0000001	Desulfocapsa_13_biocide	WP_238525143.1	Utg857994_39
OG0000001	Desulfotalea psychrophila LSv54	WP_238525143.1	WP_011187493.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_238525143.1	WP_136796562.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_010941210.1	WP_172961701.1
OG0000001	Desulfotalea psychrophila LSv54	WP_010941210.1	WP_011189550.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_010941210.1	WP_205217806.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_010943324.1, WP_010943450.1, WP_010943451.1	WP_015403655.1
OG0000002	Shewanella oneidensis MR-1	WP_010943324.1, WP_010943450.1, WP_010943451.1	WP_011071850.1
OG0000002	Desulfocapsa_06_corrosive	WP_010943324.1, WP_010943450.1, WP_010943451.1	Utg323632_46
OG0000002	Desulfocapsa_13_biocide	WP_010943324.1, WP_010943450.1, WP_010943451.1	Utg862138_35
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_010943324.1, WP_010943450.1, WP_010943451.1	WP_012537438.1
OG0000002	Desulfotalea psychrophila LSv54	WP_010943324.1, WP_010943450.1, WP_010943451.1	WP_011188785.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_010943324.1	WP_205218052.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_010943450.1, WP_010943451.1	WP_205220147.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_010943450.1, WP_010943451.1	WP_136805222.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_010940689.1	WP_176371628.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_010940689.1	WP_136795378.1
OG0000002	Desulfocapsa_06_corrosive	WP_010940689.1	Utg323300_181
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_010940689.1	WP_012537671.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_010940689.1	WP_015404618.1
OG0000002	Shewanella oneidensis MR-1	WP_010942147.1	WP_011071977.1, WP_011070837.1
OG0000002	Desulfocapsa_13_biocide	WP_010942147.1	Utg860006_9
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_010942147.1	WP_136808433.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_010942147.1	WP_136799957.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_010942002.1	WP_197723458.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_010942002.1	WP_136798842.1
OG0000002	Shewanella oneidensis MR-1	WP_010942002.1	WP_011073420.1, WP_011074249.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_010943582.1	WP_136806489.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_010943582.1	WP_126377640.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_010943582.1	WP_136798935.1
OG0000002	Desulfotalea psychrophila LSv54	WP_010943582.1	WP_011188604.1
OG0000002	Shewanella oneidensis MR-1	WP_165443456.1	WP_011071300.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_165443456.1	WP_126376855.1
OG0000002	Desulfovibrio vulgaris DP4	WP_165443456.1	WP_181409382.1
OG0000002	Desulfotalea psychrophila LSv54	WP_165443456.1	WP_011188232.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_165443456.1	WP_275942839.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_165443456.1	WP_275942957.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_010941464.1	WP_136798598.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_010943290.1	WP_126378098.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_010943290.1	WP_136808992.1
OG0000002	Desulfovibrio vulgaris DP4	WP_010943290.1	WP_010939222.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_010943290.1	WP_015403778.1
OG0000003	Shewanella oneidensis MR-1	WP_010943291.1, WP_010941584.1, WP_010943573.1, WP_010943215.1, WP_010942023.1, WP_010941692.1, WP_010941415.1, WP_010941693.1, WP_010941068.1, WP_262421270.1, WP_010941696.1, WP_010941069.1, WP_010941695.1, WP_010941697.1, WP_010941408.1, WP_010941603.1, WP_010941245.1, WP_010943777.1	WP_274544340.1
OG0000003	Desulfovibrio vulgaris DP4	WP_010943291.1, WP_010941584.1, WP_010943573.1, WP_010943215.1, WP_010942023.1, WP_010941692.1, WP_010941415.1, WP_010941693.1, WP_010941068.1, WP_262421270.1, WP_010941696.1, WP_010941069.1, WP_010941695.1, WP_010941697.1, WP_010941408.1, WP_010941603.1, WP_010941245.1, WP_010943777.1	WP_011792407.1, WP_011791948.1, WP_011792936.1, WP_011792186.1, WP_011792805.1, WP_223294605.1, WP_011791943.1, WP_011792128.1, WP_011791758.1, WP_011793192.1, WP_011792991.1, WP_011791551.1, WP_011791517.1, WP_011791477.1, WP_011793099.1, WP_011792169.1, WP_011792750.1, WP_223294650.1, WP_011792521.1, WP_010939570.1, WP_011792180.1, WP_011792768.1, WP_011791461.1, WP_011792725.1, WP_011792622.1, WP_011793136.1, WP_010937493.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_010943291.1, WP_010941584.1, WP_010943573.1, WP_010943215.1, WP_010942023.1, WP_010941692.1, WP_010941415.1, WP_010941693.1, WP_010941068.1, WP_262421270.1, WP_010941696.1, WP_010941069.1, WP_010941695.1, WP_010941697.1, WP_010941408.1, WP_010941603.1, WP_010941245.1, WP_010943777.1	WP_126378962.1, WP_269471680.1, WP_126378451.1, WP_126375592.1, WP_232034903.1, WP_126377874.1, WP_126375919.1, WP_172961665.1, WP_126377852.1, WP_126380591.1, WP_172961734.1, WP_126378859.1, WP_126377940.1, WP_232034842.1, WP_126378861.1, WP_126380680.1, WP_172961561.1, WP_126379689.1, WP_126378840.1, WP_126380863.1
OG0000003	Desulfovibrio vulgaris DP4	WP_010941702.1	WP_011793047.1
OG0000003	Desulfocapsa_13_biocide	WP_010941702.1	Utg861744_3
OG0000003	Shewanella oneidensis MR-1	WP_010941702.1	WP_011073164.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_010941702.1	WP_126377796.1
OG0000003	Shewanella oneidensis MR-1	WP_010943007.1, WP_010941428.1, WP_010941246.1, WP_010942348.1, WP_010943814.1	WP_011072186.1, WP_011074229.1
OG0000003	Desulfosediminicola flagellatus IMCC35005	WP_010943007.1, WP_010941428.1, WP_010941246.1, WP_010942348.1, WP_010943814.1	WP_167506110.1, WP_167505749.1
OG0000004	Shewanella oneidensis MR-1	WP_010943442.1, WP_010941506.1, WP_010942299.1, WP_081461260.1, WP_235044997.1	WP_011073049.1, WP_011073640.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_010941506.1	WP_136810396.1
OG0000004	Desulfocapsa_06_corrosive	WP_010941506.1	Utg323316_191, Utg323152_14
OG0000004	Desulfocapsa_13_biocide	WP_010941506.1	Utg859098_372
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_010941506.1	WP_015404335.1
OG0000004	Desulfovibrio ferrophilus IS5	WP_010941506.1	WP_126379990.1
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_010942299.1, WP_081461260.1, WP_235044997.1	WP_015402970.1, WP_015403250.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_010942299.1, WP_081461260.1, WP_235044997.1	WP_136805197.1, WP_136807033.1, WP_136806447.1, WP_136808898.1
OG0000004	Desulfosediminicola ganghwensis IMCC35004	WP_010942299.1, WP_081461260.1, WP_235044997.1	WP_136795716.1
OG0000004	Desulfocapsa_06_corrosive	WP_010942299.1, WP_081461260.1, WP_235044997.1	Utg323300_14
OG0000004	Desulfocapsa_13_biocide	WP_010942299.1, WP_081461260.1, WP_235044997.1	Utg857994_124, Utg859982_119
OG0000005	Desulfovibrio vulgaris DP4	WP_235044884.1	WP_011792798.1
OG0000005	Desulfotalea psychrophila LSv54	WP_010941940.1, WP_010941379.1, WP_010941920.1	WP_011189533.1, WP_011188126.1
OG0000005	Desulfovibrio vulgaris DP4	WP_010941940.1	WP_223294600.1, WP_011791535.1
OG0000005	Desulfovibrio ferrophilus IS5	WP_010941379.1	WP_172961757.1, WP_126376141.1, WP_126378870.1, WP_126378672.1, WP_126380638.1, WP_126377858.1, WP_126379076.1, WP_126376307.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_010941379.1	WP_136805867.1, WP_136806188.1, WP_136810073.1, WP_167505954.1, WP_136805540.1
OG0000005	Desulfosediminicola ganghwensis IMCC35004	WP_010941379.1	WP_136797383.1, WP_167495701.1, WP_167495890.1, WP_136799321.1
OG0000005	Desulfovibrio vulgaris DP4	WP_010941379.1	WP_223294572.1, WP_011791961.1, WP_223294640.1, WP_011792884.1, WP_011791703.1, WP_011791404.1, WP_011791738.1
OG0000005	Desulfovibrio vulgaris DP4	WP_010941920.1	WP_011791849.1, WP_011792761.1
OG0000005	Desulfocapsa_06_corrosive	WP_010941920.1	Utg323300_198
OG0000005	Desulfocapsa sulfexigens DSM 10523	WP_010941920.1	WP_015403762.1
OG0000005	Desulfovibrio ferrophilus IS5	WP_010941920.1	WP_126379727.1, WP_172961688.1
OG0000005	Desulfovibrio ferrophilus IS5	WP_010943211.1, WP_010941570.1, WP_235044858.1, WP_235044992.1	WP_172961730.1
OG0000005	Desulfosediminicola ganghwensis IMCC35004	WP_010943211.1, WP_010941570.1	WP_136799362.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_010943211.1, WP_010941570.1	WP_167505797.1, WP_167505775.1, WP_136808058.1, WP_136809942.1, WP_136807023.1, WP_228723321.1, WP_136810234.1, WP_136807296.1, WP_136805496.1, WP_136806590.1
OG0000005	Shewanella oneidensis MR-1	WP_010943211.1, WP_010941570.1	WP_011073304.1, WP_011074077.1, WP_011071149.1, WP_164925775.1
OG0000005	Desulfocapsa_06_corrosive	WP_010943211.1, WP_010941570.1	Utg323140_36, Utg323632_133, Utg323262_94, Utg323392_93
OG0000005	Desulforhopalus vacuolatus DSM 9700	WP_010943211.1, WP_010941570.1	WP_205220331.1, WP_205219789.1, WP_275889005.1, WP_240192106.1
OG0000005	Desulfocapsa sulfexigens DSM 10523	WP_010943211.1, WP_010941570.1	WP_015405658.1, WP_015404343.1, WP_015403003.1
OG0000005	Desulfocapsa_13_biocide	WP_010943211.1, WP_010941570.1	Utg858432_84, Utg863716_116, Utg857076_41, Utg857994_89, Utg859388_141, Utg863716_9
OG0000005	Desulfovibrio vulgaris DP4	WP_010943211.1, WP_010941570.1	WP_011791532.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_235044858.1	WP_136810322.1
OG0000005	Desulfocapsa sulfexigens DSM 10523	WP_235044858.1	WP_015402641.1
OG0000005	Desulfocapsa_06_corrosive	WP_235044858.1	Utg323300_274, Utg323392_174
OG0000005	Desulfocapsa_13_biocide	WP_235044858.1	Utg857152_2, Utg859388_48
OG0000006	Desulfocapsa sulfexigens DSM 10523	WP_235044977.1, WP_010942572.1	WP_015403002.1
OG0000006	Desulfocapsa_13_biocide	WP_235044977.1, WP_010942572.1	Utg859388_140
OG0000006	Desulfocapsa_06_corrosive	WP_235044977.1, WP_010942572.1	Utg323392_94
OG0000006	Desulforhopalus vacuolatus DSM 9700	WP_235044977.1, WP_010942572.1	WP_205219511.1
OG0000006	Desulfosediminicola flagellatus IMCC35005	WP_235044977.1, WP_010942572.1	WP_136805497.1
OG0000006	Desulfocapsa_13_biocide	WP_010942659.1, WP_010942687.1, WP_010943149.1, WP_010941142.1, WP_010941614.1, WP_010941205.1	Utg863716_22
OG0000006	Desulfocapsa_06_corrosive	WP_010942659.1, WP_010942687.1, WP_010943149.1, WP_010941142.1, WP_010941614.1, WP_010941205.1	Utg323160_106
OG0000006	Desulfocapsa_13_biocide	WP_010943170.1	Utg858432_72
OG0000006	Desulfocapsa_06_corrosive	WP_010943170.1	Utg323392_72
OG0000007	Desulforhopalus vacuolatus DSM 9700	WP_010942419.1	WP_240192033.1
OG0000007	Desulfotalea psychrophila LSv54	WP_010942419.1	WP_011189794.1
OG0000007	Desulfocapsa_13_biocide	WP_010942419.1	Utg858432_132
OG0000007	Desulfocapsa_06_corrosive	WP_010942419.1	Utg323632_239
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_010942419.1	WP_015405611.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_010942419.1	WP_228723385.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_010942419.1	WP_228721345.1
OG0000007	Shewanella oneidensis MR-1	WP_010942419.1	WP_011074183.1
OG0000007	Acidithiobacillus ferrooxidans YNTRS-40	WP_010942419.1	WP_009568266.1
OG0000007	Desulfovibrio vulgaris DP4	WP_010942419.1	WP_011791331.1
OG0000007	Desulfovibrio ferrophilus IS5	WP_010942419.1	WP_126381476.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_010941916.1	WP_176371586.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_010941916.1	WP_136796943.1
OG0000007	Desulfocapsa_06_corrosive	WP_010941916.1	Utg323180_86
OG0000007	Desulfocapsa_13_biocide	WP_010941916.1	Utg859750_38
OG0000007	Acidithiobacillus ferrooxidans YNTRS-40	WP_010942909.1	WP_009566877.1
OG0000007	Shewanella oneidensis MR-1	WP_010942909.1	WP_164925702.1
OG0000007	Desulfocapsa_06_corrosive	WP_010942909.1	Utg323632_51
OG0000007	Desulfocapsa_13_biocide	WP_010942909.1	Utg862138_39
