Orthogroup	Species	Shewanella oneidensis MR-1	Orthologs
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_011071819.1, WP_011074107.1	WP_205217973.1
OG0000000	Desulfovibrio vulgaris DP4	WP_011071819.1	WP_043629547.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011071819.1	WP_136805595.1
OG0000000	Desulfovibrio vulgaris DP4	WP_011074107.1	WP_011787377.1
OG0000000	Desulfocapsa_13_biocide	WP_011074107.1	Utg861744_76
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_011074107.1	WP_012606622.1
OG0000000	Geobacter sulfurreducens PCA	WP_011072957.1, WP_011073458.1	WP_010943974.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011072957.1	WP_015402874.1
OG0000000	Desulfocapsa_06_corrosive	WP_011072957.1	Utg323262_120
OG0000000	Desulfocapsa_13_biocide	WP_011072957.1	Utg857076_7
OG0000000	Desulfovibrio ferrophilus IS5	WP_011072957.1	WP_126377909.1
OG0000000	Desulfovibrio vulgaris DP4	WP_011072957.1	WP_011792800.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011072957.1	WP_176360009.1, WP_228721410.1
OG0000000	Desulfovibrio vulgaris DP4	WP_011073458.1	WP_011791917.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011073458.1	WP_052326964.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011073458.1	WP_136799495.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011073458.1	WP_275942845.1
OG0000000	Desulfovibrio vulgaris DP4	WP_011073114.1, WP_011073484.1	WP_011787340.1
OG0000000	Geobacter sulfurreducens PCA	WP_011073114.1, WP_011073484.1	WP_010942585.1
OG0000001	Acidithiobacillus ferrooxidans YNTRS-40	WP_011074067.1, WP_011073330.1, WP_011071093.1, WP_011070909.1, WP_011071801.1, WP_011072190.1, WP_164925657.1, WP_011073617.1, WP_011071842.1, WP_011074055.1, WP_011071208.1, WP_011073204.1, WP_011073890.1, WP_011072229.1, WP_011072122.1, WP_011072210.1, WP_164925621.1, WP_011073495.1, WP_011071723.1, WP_011073385.1, WP_011073536.1, WP_011072697.1, WP_011071311.1	WP_049756718.1
OG0000001	Desulfocapsa_06_corrosive	WP_011074067.1, WP_011073330.1	Utg323180_225
OG0000001	Desulfocapsa_13_biocide	WP_011074067.1, WP_011073330.1	Utg863716_50
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_011074067.1, WP_011073330.1	WP_136796374.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011074067.1, WP_011073330.1	WP_126376510.1, WP_172961810.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_011074067.1	WP_015402638.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011074067.1	WP_205220029.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011074067.1	WP_010937723.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011074067.1	WP_136806607.1
OG0000001	Geobacter sulfurreducens PCA	WP_011074067.1	WP_010942201.1
OG0000001	Desulfotalea psychrophila LSv54	WP_011073330.1	WP_011187475.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011073330.1	WP_167505925.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011073330.1	WP_205218203.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011071093.1	WP_205220390.1
OG0000001	Desulfocapsa_13_biocide	WP_011071093.1	Utg861448_49
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011071093.1	WP_136805177.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_011071093.1	WP_136798931.1
OG0000001	Desulfotalea psychrophila LSv54	WP_011071093.1	WP_011189956.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011071093.1	WP_126376875.1, WP_126378261.1, WP_172961567.1, WP_126380896.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011071093.1	WP_011791528.1, WP_011791603.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_011071093.1	WP_015403644.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011070909.1, WP_011071801.1, WP_011072190.1	WP_205217623.1
OG0000001	Desulfocapsa_13_biocide	WP_011070909.1	Utg860814_100
OG0000001	Desulfocapsa_06_corrosive	WP_011070909.1	Utg323180_510
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_011070909.1	WP_015402385.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011070909.1	WP_010939092.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011070909.1	WP_126377423.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_011071801.1	WP_015405261.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011071801.1	WP_011792183.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011071801.1	WP_232034871.1, WP_126377178.1
OG0000001	Geobacter sulfurreducens PCA	WP_011072190.1	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011072190.1	WP_136809287.1, WP_136810389.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_011072190.1	WP_136799410.1
OG0000001	Desulfocapsa_06_corrosive	WP_011072190.1	Utg323300_105, Utg324810_63
OG0000001	Desulfocapsa_13_biocide	WP_011072190.1	Utg857300_46
OG0000001	Desulfotalea psychrophila LSv54	WP_011072190.1	WP_011187505.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011072190.1	WP_043629533.1, WP_010937422.1, WP_010939946.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011072190.1	WP_172961793.1, WP_126380918.1, WP_126377950.1
OG0000001	Desulfovibrio vulgaris DP4	WP_164925657.1, WP_011073617.1	WP_011791763.1
OG0000001	Desulfotalea psychrophila LSv54	WP_164925657.1, WP_011073617.1	WP_041277893.1, WP_011188215.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_164925657.1, WP_011073617.1	WP_015402591.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_164925657.1, WP_011073617.1	WP_205219167.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_164925657.1, WP_011073617.1	WP_136809108.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011071842.1, WP_011074055.1, WP_011071208.1, WP_011073204.1	WP_136809201.1, WP_136809645.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011071842.1, WP_011074055.1, WP_011071208.1, WP_011073204.1	WP_223294637.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011074055.1, WP_011071208.1	WP_172961606.1
OG0000001	Desulfotalea psychrophila LSv54	WP_011073204.1	WP_011189221.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011073890.1	WP_010939074.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011073890.1	WP_126380957.1
OG0000001	Desulfocapsa_06_corrosive	WP_011073890.1	Utg323316_129
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011073890.1	WP_136807061.1
OG0000001	Desulfocapsa_13_biocide	WP_011073890.1	Utg857300_26
OG0000001	Desulfovibrio ferrophilus IS5	WP_011072229.1, WP_011072122.1, WP_011072210.1, WP_164925621.1, WP_011073495.1	WP_172961695.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011072229.1, WP_011072122.1, WP_011072210.1, WP_164925621.1, WP_011073495.1	WP_136807017.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011072229.1, WP_011072122.1, WP_011072210.1, WP_164925621.1, WP_011073495.1	WP_010940213.1, WP_010938064.1
OG0000001	Desulfotalea psychrophila LSv54	WP_011071723.1	WP_049785109.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_011071723.1	WP_015402480.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011071723.1	WP_011792933.1
OG0000001	Desulfocapsa_06_corrosive	WP_011071723.1	Utg323180_418, Utg323074_106, Utg323180_183
OG0000001	Geobacter sulfurreducens PCA	WP_011071723.1	WP_010941620.1, WP_010943599.1, WP_010942049.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011071723.1	WP_197723432.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011073385.1, WP_011073536.1, WP_011072697.1	WP_205217330.1
OG0000001	Desulfotalea psychrophila LSv54	WP_011073385.1	WP_041277878.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011073385.1	WP_011793088.1
OG0000001	Desulfotalea psychrophila LSv54	WP_011073536.1, WP_011072697.1	WP_011187493.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_011073536.1, WP_011072697.1	WP_136796562.1
OG0000001	Geobacter sulfurreducens PCA	WP_011073536.1, WP_011072697.1	WP_238525143.1
OG0000001	Desulfocapsa_13_biocide	WP_011073536.1, WP_011072697.1	Utg857994_39
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_011071311.1	WP_136798261.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011071311.1	WP_136806467.1
OG0000001	Desulfovibrio vulgaris DP4	WP_011071311.1	WP_011792985.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011071311.1	WP_126375584.1, WP_172961715.1
OG0000002	Desulfovibrio vulgaris DP4	WP_011070486.1	WP_010939653.1
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_011070486.1	WP_225487194.1
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_011073574.1	WP_009563459.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011073574.1	WP_136806247.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_011073574.1	WP_205217333.1
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_011071850.1	WP_012537438.1
OG0000002	Desulfotalea psychrophila LSv54	WP_011071850.1	WP_011188785.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_011071850.1	WP_205218052.1, WP_205220147.1
OG0000002	Geobacter sulfurreducens PCA	WP_011071850.1	WP_010943324.1, WP_010943450.1, WP_010943451.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011071850.1	WP_136805222.1
OG0000002	Desulfocapsa_06_corrosive	WP_011071850.1	Utg323632_46
OG0000002	Desulfocapsa_13_biocide	WP_011071850.1	Utg862138_35
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_011071850.1	WP_015403655.1
OG0000002	Desulfocapsa_13_biocide	WP_011071977.1, WP_011070837.1	Utg860006_9
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011071977.1, WP_011070837.1	WP_136808433.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011071977.1, WP_011070837.1	WP_136799957.1
OG0000002	Geobacter sulfurreducens PCA	WP_011071977.1, WP_011070837.1	WP_010942147.1
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_011074078.1	WP_009567471.1
OG0000002	Desulfovibrio vulgaris DP4	WP_011074078.1	WP_011793091.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_011074078.1	WP_205220205.1
OG0000002	Desulfotalea psychrophila LSv54	WP_011074078.1	WP_041277525.1
OG0000002	Desulfovibrio vulgaris DP4	WP_011071490.1	WP_011791473.1, WP_010937409.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011071490.1	WP_136806603.1, WP_136807752.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011071490.1	WP_136796812.1, WP_136796360.1, WP_136796249.1
OG0000002	Desulfocapsa_13_biocide	WP_011071490.1	Utg859076_23
OG0000002	Desulfocapsa_06_corrosive	WP_011071490.1	Utg323316_94
OG0000002	Desulfovibrio ferrophilus IS5	WP_011071490.1	WP_126380045.1, WP_126380572.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_011073420.1, WP_011074249.1	WP_197723458.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011073420.1, WP_011074249.1	WP_136798842.1
OG0000002	Geobacter sulfurreducens PCA	WP_011073420.1, WP_011074249.1	WP_010942002.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011071049.1	WP_136795903.1, WP_136798151.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011071049.1	WP_136807288.1, WP_136805570.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_011071049.1	WP_205217673.1, WP_205219874.1
OG0000002	Desulfovibrio vulgaris DP4	WP_011071049.1	WP_011793015.1
OG0000002	Desulfotalea psychrophila LSv54	WP_011071049.1	WP_041277737.1
OG0000002	Desulfocapsa_13_biocide	WP_011071049.1	Utg862138_47
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011071300.1	WP_136798474.1, WP_275942957.1, WP_136796313.1, WP_275942949.1, WP_167495633.1, WP_136799606.1, WP_136799805.1
OG0000002	Geobacter sulfurreducens PCA	WP_011071300.1	WP_165443456.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_011071300.1	WP_126376855.1, WP_126379461.1, WP_126380920.1, WP_126375861.1, WP_126378796.1, WP_172961625.1
OG0000002	Desulfovibrio vulgaris DP4	WP_011071300.1	WP_181409382.1, WP_010938054.1, WP_181409370.1, WP_206215584.1, WP_181409380.1
OG0000002	Desulfotalea psychrophila LSv54	WP_011071300.1	WP_011188232.1, WP_011188476.1, WP_011188678.1, WP_011189225.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011071300.1	WP_275942839.1, WP_136810386.1, WP_217909654.1, WP_136806069.1, WP_136807684.1, WP_136810832.1, WP_136805614.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_011071300.1	WP_205217653.1, WP_205218384.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_011071300.1	WP_041916771.1, WP_153304957.1
OG0000002	Desulfocapsa_06_corrosive	WP_011071300.1	Utg323300_202, Utg323160_86
OG0000002	Desulfocapsa_13_biocide	WP_011071300.1	Utg861744_15, Utg857994_102
OG0000003	Desulfotalea psychrophila LSv54	WP_011073445.1, WP_011073402.1, WP_011071312.1, WP_011074163.1, WP_011071497.1, WP_011074086.1, WP_011072257.1, WP_011071256.1, WP_011073766.1	WP_011188221.1
OG0000003	Desulfovibrio vulgaris DP4	WP_274544340.1	WP_011792407.1, WP_011791948.1, WP_011792936.1, WP_011792186.1, WP_011792805.1, WP_223294605.1, WP_011791943.1, WP_011792128.1, WP_011791758.1, WP_011793192.1, WP_011792991.1, WP_011791551.1, WP_011791517.1, WP_011791477.1, WP_011793099.1, WP_011792169.1, WP_011792750.1, WP_223294650.1, WP_011792521.1, WP_010939570.1, WP_011792180.1, WP_011792768.1, WP_011791461.1, WP_011792725.1, WP_011792622.1, WP_011793136.1, WP_010937493.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_274544340.1	WP_126378962.1, WP_269471680.1, WP_126378451.1, WP_126375592.1, WP_232034903.1, WP_126377874.1, WP_126375919.1, WP_172961665.1, WP_126377852.1, WP_126380591.1, WP_172961734.1, WP_126378859.1, WP_126377940.1, WP_232034842.1, WP_126378861.1, WP_126380680.1, WP_172961561.1, WP_126379689.1, WP_126378840.1, WP_126380863.1
OG0000003	Geobacter sulfurreducens PCA	WP_274544340.1	WP_010943291.1, WP_010941584.1, WP_010943573.1, WP_010943215.1, WP_010942023.1, WP_010941692.1, WP_010941415.1, WP_010941693.1, WP_010941068.1, WP_262421270.1, WP_010941696.1, WP_010941069.1, WP_010941695.1, WP_010941697.1, WP_010941408.1, WP_010941603.1, WP_010941245.1, WP_010943777.1
OG0000003	Desulfovibrio vulgaris DP4	WP_011073164.1	WP_011793047.1
OG0000003	Desulfocapsa_13_biocide	WP_011073164.1	Utg861744_3
OG0000003	Geobacter sulfurreducens PCA	WP_011073164.1	WP_010941702.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011073164.1	WP_126377796.1, WP_126379081.1
OG0000003	Desulfotalea psychrophila LSv54	WP_011073164.1	WP_011188222.1
OG0000003	Desulfocapsa_06_corrosive	WP_011073164.1	Utg323632_206
OG0000003	Desulfosediminicola flagellatus IMCC35005	WP_011073164.1	WP_136810764.1
OG0000003	Desulfocapsa sulfexigens DSM 10523	WP_011074095.1	WP_015403648.1
OG0000003	Desulfocapsa_06_corrosive	WP_011074095.1	Utg323180_390
OG0000003	Geobacter sulfurreducens PCA	WP_011072186.1, WP_011074229.1	WP_010943007.1, WP_010941428.1, WP_010941246.1, WP_010942348.1, WP_010943814.1
OG0000003	Desulfosediminicola flagellatus IMCC35005	WP_011072186.1	WP_167506110.1
OG0000003	Desulfosediminicola flagellatus IMCC35005	WP_011074229.1	WP_167505749.1
OG0000004	Geobacter sulfurreducens PCA	WP_011073049.1, WP_011073640.1	WP_010943442.1, WP_010941506.1, WP_010942299.1, WP_081461260.1, WP_235044997.1
OG0000004	Desulfovibrio vulgaris DP4	WP_011073049.1, WP_011073640.1	WP_223294599.1, WP_223294664.1, WP_011791556.1
OG0000004	Desulfocapsa_06_corrosive	WP_011073049.1, WP_011073640.1	Utg323266_65, Utg323316_191, Utg323152_14, Utg323152_471, Utg323074_85, Utg323180_529, Utg323300_52, Utg323152_27, Utg323300_412, Utg323266_76, Utg323266_66, Utg323180_453, Utg323152_588, Utg323180_502, Utg323180_462, Utg323152_104, Utg323180_416, Utg323632_135, Utg323180_613, Utg323180_419, Utg323262_186, Utg323300_14
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_011073049.1, WP_011073640.1	WP_153307136.1, WP_136810858.1, WP_136808193.1, WP_136810396.1, WP_136809328.1, WP_136805168.1, WP_167505721.1, WP_136809428.1, WP_167506073.1, WP_136810348.1, WP_136808197.1, WP_136805692.1, WP_176371583.1, WP_136806049.1, WP_136810154.1, WP_267313779.1, WP_136805478.1, WP_167505723.1, WP_136810487.1, WP_136805944.1, WP_136808745.1, WP_136807867.1, WP_167505718.1, WP_136808192.1, WP_136805197.1, WP_136807033.1, WP_136806447.1, WP_136808898.1, WP_136809028.1
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_011073049.1, WP_011073640.1	WP_015402639.1, WP_015405091.1, WP_015404335.1, WP_015403645.1, WP_015403269.1, WP_015403586.1, WP_015402402.1, WP_015403270.1, WP_015405428.1, WP_015403551.1, WP_015403268.1, WP_015405656.1, WP_015405739.1, WP_015402401.1, WP_015402421.1, WP_052326944.1, WP_015403175.1, WP_015402868.1, WP_015402970.1, WP_015403250.1
OG0000004	Desulfocapsa_13_biocide	WP_011073049.1, WP_011073640.1	Utg859236_110, Utg859098_372, Utg857682_27, Utg861744_9, Utg860814_122, Utg857152_136, Utg857682_26, Utg860814_35, Utg860814_38, Utg858494_71, Utg857994_41, Utg858432_88, Utg860814_202, Utg859236_73, Utg857994_124, Utg859982_119
OG0000004	Desulfotalea psychrophila LSv54	WP_011073049.1, WP_011073640.1	WP_162096622.1, WP_011188268.1, WP_011189167.1, WP_011189166.1, WP_011189165.1, WP_162096658.1, WP_162096636.1, WP_011190354.1, WP_162096666.1
OG0000004	Desulfosediminicola ganghwensis IMCC35004	WP_011073049.1, WP_011073640.1	WP_136796385.1, WP_136798650.1, WP_167495700.1, WP_167495840.1, WP_136798338.1, WP_136795716.1, WP_136796342.1
OG0000004	Desulfovibrio ferrophilus IS5	WP_011073049.1, WP_011073640.1	WP_172961808.1, WP_172961663.1, WP_126379990.1, WP_126381022.1
OG0000004	Desulforhopalus vacuolatus DSM 9700	WP_011073049.1, WP_011073640.1	WP_205220089.1, WP_240192173.1, WP_240192101.1, WP_205218090.1, WP_205220090.1, WP_205217587.1, WP_205217538.1, WP_240192123.1, WP_205219499.1, WP_205217688.1
OG0000005	Desulfotalea psychrophila LSv54	WP_011072501.1, WP_011071458.1	WP_011189533.1, WP_011188126.1
OG0000005	Desulfocapsa_13_biocide	WP_011072501.1	Utg857152_208
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_011072501.1	WP_136806805.1
OG0000005	Desulfovibrio vulgaris DP4	WP_011072501.1	WP_011791751.1, WP_011791759.1
OG0000005	Desulfosediminicola ganghwensis IMCC35004	WP_011072501.1	WP_136797798.1
OG0000005	Desulfocapsa sulfexigens DSM 10523	WP_011071458.1	WP_015404965.1
OG0000005	Desulfocapsa_13_biocide	WP_011071458.1	Utg859982_207
OG0000005	Desulfocapsa_06_corrosive	WP_011071458.1	Utg323152_391
OG0000005	Desulfovibrio ferrophilus IS5	WP_011073304.1, WP_011074077.1, WP_011071149.1, WP_164925775.1	WP_172961730.1
OG0000005	Geobacter sulfurreducens PCA	WP_011073304.1, WP_011074077.1, WP_011071149.1, WP_164925775.1	WP_010943211.1, WP_010941570.1
OG0000005	Desulfovibrio vulgaris DP4	WP_011073304.1, WP_011074077.1, WP_011071149.1, WP_164925775.1	WP_011791532.1
OG0000005	Desulfosediminicola ganghwensis IMCC35004	WP_011073304.1, WP_011074077.1, WP_011071149.1, WP_164925775.1	WP_136799362.1
OG0000005	Desulforhopalus vacuolatus DSM 9700	WP_011071149.1	WP_205219789.1, WP_275889005.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_164925775.1	WP_136807023.1
OG0000005	Desulfocapsa sulfexigens DSM 10523	WP_164925775.1	WP_015405658.1
OG0000005	Desulfocapsa_06_corrosive	WP_164925775.1	Utg323632_133
OG0000005	Desulfocapsa_13_biocide	WP_164925775.1	Utg858432_84
OG0000006	Acidithiobacillus ferrooxidans YNTRS-40	WP_011070957.1, WP_011070793.1	WP_229129724.1, WP_230456343.1
OG0000006	Desulforhopalus vacuolatus DSM 9700	WP_011070957.1, WP_011070793.1	WP_205219109.1
OG0000006	Desulfocapsa_13_biocide	WP_011071478.1	Utg860006_155
OG0000006	Desulfocapsa_06_corrosive	WP_011071478.1	Utg323990_58
OG0000006	Desulfosediminicola flagellatus IMCC35005	WP_011074159.1, WP_274544485.1	WP_167506063.1
OG0000006	Desulforhopalus vacuolatus DSM 9700	WP_011072463.1, WP_011072496.1, WP_011073589.1, WP_011073842.1, WP_238560533.1, WP_011070885.1	WP_205218839.1
OG0000006	Desulfosediminicola flagellatus IMCC35005	WP_011072463.1, WP_011072496.1, WP_011073589.1, WP_011073842.1, WP_238560533.1, WP_011070885.1	WP_136810272.1
OG0000006	Desulfosediminicola ganghwensis IMCC35004	WP_011072463.1, WP_011072496.1, WP_011073589.1, WP_011073842.1, WP_238560533.1	WP_136797886.1
OG0000006	Desulfocapsa_13_biocide	WP_011072496.1, WP_011073589.1, WP_011073842.1, WP_238560533.1	Utg863716_8
OG0000006	Desulfocapsa_06_corrosive	WP_238560533.1	Utg323632_356
OG0000006	Desulfovibrio vulgaris DP4	WP_011073983.1	WP_011792511.1
OG0000006	Desulfovibrio vulgaris DP4	WP_011071438.1	WP_010937715.1
OG0000006	Desulfocapsa_06_corrosive	WP_011072409.1	Utg323180_218, Utg323180_148
OG0000006	Desulfosediminicola flagellatus IMCC35005	WP_011072409.1	WP_136806566.1
OG0000006	Desulfocapsa sulfexigens DSM 10523	WP_011072409.1	WP_015403820.1
OG0000006	Desulfocapsa_13_biocide	WP_011072409.1	Utg863716_120
OG0000006	Desulfocapsa sulfexigens DSM 10523	WP_011070785.1, WP_011070706.1, WP_011072981.1	WP_015404882.1
OG0000006	Desulfosediminicola flagellatus IMCC35005	WP_011070785.1, WP_011070706.1, WP_011072981.1	WP_167505808.1
OG0000006	Desulfocapsa_13_biocide	WP_011070785.1, WP_011070706.1, WP_011072981.1	Utg858494_73
OG0000006	Desulfovibrio ferrophilus IS5	WP_011073256.1	WP_172961584.1
OG0000006	Desulfocapsa sulfexigens DSM 10523	WP_011073256.1	WP_015405458.1
OG0000006	Desulfovibrio vulgaris DP4	WP_011073256.1	WP_011792901.1
OG0000006	Desulfosediminicola flagellatus IMCC35005	WP_011073256.1	WP_136807043.1
OG0000006	Desulfocapsa sulfexigens DSM 10523	WP_011072240.1, WP_011071683.1, WP_011070544.1	WP_015403650.1
OG0000007	Desulforhopalus vacuolatus DSM 9700	WP_011074183.1	WP_240192033.1
OG0000007	Desulfotalea psychrophila LSv54	WP_011074183.1	WP_011189794.1
OG0000007	Desulfocapsa_13_biocide	WP_011074183.1	Utg858432_132
OG0000007	Desulfocapsa_06_corrosive	WP_011074183.1	Utg323632_239
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_011074183.1	WP_015405611.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_011074183.1	WP_228723385.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_011074183.1	WP_228721345.1
OG0000007	Desulfovibrio vulgaris DP4	WP_011074183.1	WP_011791331.1
OG0000007	Desulfovibrio ferrophilus IS5	WP_011074183.1	WP_126381476.1
OG0000007	Geobacter sulfurreducens PCA	WP_011074183.1	WP_010942419.1
OG0000007	Acidithiobacillus ferrooxidans YNTRS-40	WP_011074183.1	WP_009568266.1
OG0000007	Desulfocapsa_06_corrosive	WP_164925702.1	Utg323632_51
OG0000007	Desulfocapsa_13_biocide	WP_164925702.1	Utg862138_39
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_164925702.1	WP_015405734.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_164925702.1	WP_136805469.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_164925702.1	WP_136796543.1
OG0000007	Desulfotalea psychrophila LSv54	WP_164925702.1	WP_011188868.1
OG0000007	Desulforhopalus vacuolatus DSM 9700	WP_164925702.1	WP_205217665.1
OG0000007	Desulfovibrio vulgaris DP4	WP_164925702.1	WP_010939647.1
