Orthogroup	Species	Desulfovibrio vulgaris DP4	Orthologs
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010938712.1, WP_011791434.1	WP_136806271.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010938712.1, WP_011791434.1	WP_136795862.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_010938712.1, WP_011791434.1	WP_205218170.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_010938712.1	WP_126379473.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011791434.1	WP_126380421.1
OG0000000	Shewanella oneidensis MR-1	WP_010940154.1	WP_011073116.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_010940154.1	WP_126381323.1
OG0000000	Desulfocapsa_06_corrosive	WP_043629113.1	Utg323152_233
OG0000000	Desulfocapsa_13_biocide	WP_043629113.1	Utg859098_179
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_043629113.1	WP_015405012.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_043629113.1	WP_126375654.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_010938045.1	WP_172961679.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010938045.1	WP_015405247.1, WP_015404443.1, WP_015405235.1
OG0000000	Desulfocapsa_13_biocide	WP_010938045.1	Utg859098_130, Utg866558_41, Utg859098_137
OG0000000	Desulfocapsa_06_corrosive	WP_010938045.1	Utg323152_286, Utg323632_278, Utg323152_278
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010938045.1	WP_136807046.1, WP_136810243.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010938045.1	WP_136798339.1, WP_136796441.1
OG0000000	Geobacter sulfurreducens PCA	WP_010938045.1	WP_010943144.1, WP_010941701.1
OG0000000	Geobacter sulfurreducens PCA	WP_010940219.1, WP_011792079.1	WP_010941027.1
OG0000000	Desulfocapsa_06_corrosive	WP_010940219.1	Utg323140_222
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010940219.1	WP_015404190.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_010940219.1	WP_205218473.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010940219.1	WP_136797028.1, WP_136799931.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010940219.1	WP_136810261.1, WP_136810305.1, WP_136810299.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_010940219.1	WP_126377754.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011792079.1	WP_126380558.1
OG0000000	Desulfotalea psychrophila LSv54	WP_011792079.1	WP_011187582.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011792079.1	WP_136809765.1, WP_167506066.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011792079.1	WP_136795637.1, WP_136796984.1
OG0000000	Desulfocapsa_13_biocide	WP_011792079.1	Utg859098_426
OG0000000	Desulfocapsa_06_corrosive	WP_011792079.1	Utg323392_13
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_011792079.1	WP_240192009.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_011791966.1, WP_011793108.1	WP_012537338.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011791966.1, WP_011793108.1	WP_136808675.1, WP_136810094.1, WP_136807718.1, WP_136805463.1
OG0000000	Desulfocapsa_13_biocide	WP_011791966.1, WP_011793108.1	Utg859750_35
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011791966.1, WP_011793108.1	WP_228130058.1
OG0000000	Desulfocapsa_06_corrosive	WP_011791966.1, WP_011793108.1	Utg323180_69
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011791966.1, WP_011793108.1	WP_136796539.1
OG0000000	Desulfotalea psychrophila LSv54	WP_011791966.1, WP_011793108.1	WP_011188526.1
OG0000000	Geobacter sulfurreducens PCA	WP_011791966.1, WP_011793108.1	WP_010943112.1, WP_232008971.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011791966.1, WP_011793108.1	WP_172961667.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_010940215.1	WP_009560941.1, WP_009567366.1
OG0000000	Desulfocapsa_06_corrosive	WP_010940215.1	Utg323180_151
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010940215.1	WP_136806758.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010940215.1	WP_217907626.1
OG0000000	Desulfotalea psychrophila LSv54	WP_011791645.1	WP_049785130.1, WP_011187784.1
OG0000000	Desulfocapsa_13_biocide	WP_011791645.1	Utg860006_108, Utg857046_247, Utg859982_65
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011791645.1	WP_167495805.1, WP_136799754.1, WP_136799532.1, WP_136796349.1, WP_136796152.1
OG0000000	Desulfocapsa_06_corrosive	WP_011791645.1	Utg323152_529
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011791645.1	WP_217909594.1, WP_167505720.1, WP_136809225.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_011791645.1	WP_205220096.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_043629547.1, WP_011787377.1	WP_205217973.1
OG0000000	Shewanella oneidensis MR-1	WP_043629547.1	WP_011071819.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_043629547.1	WP_136805595.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_011787377.1	WP_012606622.1
OG0000000	Shewanella oneidensis MR-1	WP_011787377.1	WP_011074107.1
OG0000000	Desulfocapsa_13_biocide	WP_011787377.1	Utg861744_76
OG0000000	Geobacter sulfurreducens PCA	WP_011792800.1, WP_011791917.1	WP_010943974.1
OG0000000	Shewanella oneidensis MR-1	WP_011792800.1	WP_011072957.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011792800.1	WP_176360009.1, WP_228721410.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011792800.1	WP_015402874.1
OG0000000	Desulfocapsa_06_corrosive	WP_011792800.1	Utg323262_120
OG0000000	Desulfocapsa_13_biocide	WP_011792800.1	Utg857076_7
OG0000000	Desulfovibrio ferrophilus IS5	WP_011792800.1	WP_126377909.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011791917.1	WP_052326964.1
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011791917.1	WP_136799495.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011791917.1	WP_275942845.1
OG0000000	Shewanella oneidensis MR-1	WP_011791917.1	WP_011073458.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011792552.1	WP_126379194.1
OG0000000	Shewanella oneidensis MR-1	WP_011787340.1	WP_011073114.1, WP_011073484.1
OG0000000	Geobacter sulfurreducens PCA	WP_011787340.1	WP_010942585.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_010937429.1	WP_136808658.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_010937429.1	WP_015405199.1, WP_015404515.1
OG0000000	Desulfocapsa_06_corrosive	WP_010937429.1	Utg323990_174
OG0000000	Desulfocapsa_13_biocide	WP_010937429.1	Utg860006_29
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_010937429.1	WP_136798421.1
OG0000000	Desulfocapsa_06_corrosive	WP_011792072.1	Utg323152_412
OG0000000	Desulfosediminicola ganghwensis IMCC35004	WP_011792072.1	WP_136798981.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_011792072.1	WP_136805922.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_011792072.1	WP_015404367.1
OG0000000	Geobacter sulfurreducens PCA	WP_011792072.1	WP_010941040.1, WP_010941138.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_011792072.1	WP_126377956.1
OG0000001	Acidithiobacillus ferrooxidans YNTRS-40	WP_010937723.1, WP_010938239.1, WP_011791528.1, WP_011791603.1, WP_010939092.1, WP_011792183.1, WP_043629533.1, WP_010937422.1, WP_010939946.1, WP_011791763.1, WP_223294637.1, WP_010939074.1, WP_010940213.1, WP_010938064.1, WP_011792933.1, WP_011793088.1, WP_011792985.1	WP_049756718.1
OG0000001	Desulfocapsa_06_corrosive	WP_010937723.1	Utg323180_225
OG0000001	Desulfocapsa_13_biocide	WP_010937723.1	Utg863716_50
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_010937723.1	WP_136796374.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_010937723.1	WP_126376510.1, WP_172961810.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_010937723.1	WP_015402638.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_010937723.1	WP_205220029.1
OG0000001	Shewanella oneidensis MR-1	WP_010937723.1	WP_011074067.1
OG0000001	Geobacter sulfurreducens PCA	WP_010937723.1	WP_010942201.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_010937723.1	WP_136806607.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_010938239.1, WP_011791528.1, WP_011791603.1	WP_205220390.1
OG0000001	Desulfocapsa_13_biocide	WP_010938239.1, WP_011791528.1, WP_011791603.1	Utg861448_49
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_010938239.1, WP_011791528.1, WP_011791603.1	WP_136805177.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_010938239.1, WP_011791528.1, WP_011791603.1	WP_136798931.1
OG0000001	Shewanella oneidensis MR-1	WP_011791528.1, WP_011791603.1	WP_011071093.1
OG0000001	Desulfotalea psychrophila LSv54	WP_011791528.1, WP_011791603.1	WP_011189956.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011791528.1	WP_126376875.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_010939092.1, WP_011792183.1, WP_043629533.1, WP_010937422.1, WP_010939946.1	WP_205217623.1
OG0000001	Desulfocapsa_13_biocide	WP_010939092.1	Utg860814_100
OG0000001	Desulfocapsa_06_corrosive	WP_010939092.1	Utg323180_510
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_010939092.1	WP_015402385.1
OG0000001	Shewanella oneidensis MR-1	WP_010939092.1	WP_011070909.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_010939092.1	WP_126377423.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_011792183.1	WP_015405261.1
OG0000001	Shewanella oneidensis MR-1	WP_011792183.1	WP_011071801.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011792183.1	WP_232034871.1, WP_126377178.1
OG0000001	Geobacter sulfurreducens PCA	WP_043629533.1, WP_010937422.1, WP_010939946.1	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1
OG0000001	Shewanella oneidensis MR-1	WP_043629533.1, WP_010937422.1, WP_010939946.1	WP_011072190.1
OG0000001	Desulfocapsa_06_corrosive	WP_043629533.1, WP_010937422.1, WP_010939946.1	Utg324810_63
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_043629533.1, WP_010937422.1, WP_010939946.1	WP_136810389.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_010937422.1	WP_126380918.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_010939946.1	WP_126377950.1
OG0000001	Desulfotalea psychrophila LSv54	WP_011791763.1	WP_041277893.1, WP_011188215.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_011791763.1	WP_015402591.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011791763.1	WP_205219167.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011791763.1	WP_136809108.1
OG0000001	Shewanella oneidensis MR-1	WP_011791763.1	WP_164925657.1, WP_011073617.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_223294637.1	WP_136809201.1, WP_136809645.1
OG0000001	Shewanella oneidensis MR-1	WP_223294637.1	WP_011071842.1, WP_011074055.1, WP_011071208.1, WP_011073204.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_223294637.1	WP_172961606.1, WP_126379817.1, WP_172961763.1
OG0000001	Desulfotalea psychrophila LSv54	WP_223294637.1	WP_011189761.1, WP_011189031.1, WP_011187559.1, WP_011189221.1
OG0000001	Desulfocapsa_13_biocide	WP_223294637.1	Utg859236_118, Utg859432_61
OG0000001	Desulfocapsa_06_corrosive	WP_223294637.1	Utg325220_101
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_223294637.1	WP_205219701.1
OG0000001	Shewanella oneidensis MR-1	WP_010939074.1	WP_011073890.1
OG0000001	Desulfocapsa_06_corrosive	WP_010939074.1	Utg323316_129
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_010939074.1	WP_136807061.1
OG0000001	Desulfocapsa_13_biocide	WP_010939074.1	Utg857300_26
OG0000001	Desulfovibrio ferrophilus IS5	WP_010939074.1	WP_126380957.1
OG0000001	Shewanella oneidensis MR-1	WP_010940213.1, WP_010938064.1	WP_011072229.1, WP_011072122.1, WP_011072210.1, WP_164925621.1, WP_011073495.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_010940213.1, WP_010938064.1	WP_172961695.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_010940213.1, WP_010938064.1	WP_136807017.1
OG0000001	Desulfotalea psychrophila LSv54	WP_011792933.1	WP_049785109.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_011792933.1	WP_015402480.1
OG0000001	Shewanella oneidensis MR-1	WP_011792933.1	WP_011071723.1
OG0000001	Desulfocapsa_06_corrosive	WP_011792933.1	Utg323180_418, Utg323074_106, Utg323180_183
OG0000001	Geobacter sulfurreducens PCA	WP_011792933.1	WP_010941620.1, WP_010943599.1, WP_010942049.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011792933.1	WP_197723432.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011793088.1	WP_205217330.1
OG0000001	Desulfotalea psychrophila LSv54	WP_011793088.1	WP_041277878.1
OG0000001	Shewanella oneidensis MR-1	WP_011793088.1	WP_011073385.1
OG0000001	Shewanella oneidensis MR-1	WP_011792985.1	WP_011071311.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_011792985.1	WP_136798261.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_011792985.1	WP_136806467.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011792985.1	WP_126375584.1, WP_172961715.1
OG0000002	Shewanella oneidensis MR-1	WP_010939653.1	WP_011070486.1
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_010939653.1	WP_225487194.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011792861.1	WP_217907664.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_011792861.1	WP_126380848.1
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_011793091.1	WP_009567471.1
OG0000002	Shewanella oneidensis MR-1	WP_011793091.1	WP_011074078.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_011793091.1	WP_205220205.1
OG0000002	Desulfotalea psychrophila LSv54	WP_011793091.1	WP_041277525.1
OG0000002	Shewanella oneidensis MR-1	WP_011791473.1, WP_010937409.1	WP_011071490.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011791473.1	WP_136806603.1, WP_136807752.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011791473.1	WP_136796812.1, WP_136796360.1
OG0000002	Desulfocapsa_13_biocide	WP_011791473.1	Utg859076_23
OG0000002	Desulfocapsa_06_corrosive	WP_011791473.1	Utg323316_94
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_010937409.1	WP_136796249.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_010937409.1	WP_126380045.1, WP_126380572.1
OG0000002	Shewanella oneidensis MR-1	WP_011793015.1	WP_011071049.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011793015.1	WP_136805570.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011793015.1	WP_136798151.1
OG0000002	Desulfotalea psychrophila LSv54	WP_011793015.1	WP_041277737.1
OG0000002	Desulfocapsa_13_biocide	WP_011793015.1	Utg862138_47
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_011793015.1	WP_205219874.1
OG0000002	Shewanella oneidensis MR-1	WP_181409382.1, WP_010938054.1, WP_181409370.1, WP_206215584.1, WP_181409380.1	WP_011071300.1
OG0000002	Geobacter sulfurreducens PCA	WP_181409382.1	WP_165443456.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_181409382.1	WP_275942839.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_181409382.1	WP_275942957.1
OG0000002	Desulfotalea psychrophila LSv54	WP_181409382.1	WP_011188232.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_181409382.1	WP_126376855.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_010938054.1	WP_126380920.1
OG0000002	Desulfotalea psychrophila LSv54	WP_010938054.1	WP_011188476.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_010938054.1	WP_136810386.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_010938054.1	WP_136796313.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_181409370.1	WP_205217653.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_181409370.1	WP_041916771.1
OG0000002	Desulfocapsa_06_corrosive	WP_181409370.1	Utg323300_202
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_181409370.1	WP_217909654.1, WP_136806069.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_181409370.1	WP_275942949.1, WP_167495633.1
OG0000002	Desulfotalea psychrophila LSv54	WP_181409370.1	WP_011188678.1
OG0000002	Desulfocapsa_13_biocide	WP_206215584.1	Utg861744_15
OG0000002	Desulfocapsa_06_corrosive	WP_206215584.1	Utg323160_86
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_206215584.1	WP_153304957.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_206215584.1	WP_126375861.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_181409380.1	WP_205218384.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_181409380.1	WP_136799606.1, WP_136799805.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_181409380.1	WP_136807684.1, WP_136810832.1, WP_136805614.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_181409380.1	WP_126378796.1, WP_172961625.1
OG0000002	Desulfocapsa_13_biocide	WP_181409380.1	Utg857994_102
OG0000002	Desulfotalea psychrophila LSv54	WP_181409380.1	WP_011189225.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011792919.1	WP_136796899.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_011792919.1	WP_205217849.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_011792919.1	WP_126380628.1
OG0000002	Desulfotalea psychrophila LSv54	WP_011792919.1	WP_041277652.1
OG0000002	Desulfocapsa_13_biocide	WP_011792919.1	Utg857152_238
OG0000002	Geobacter sulfurreducens PCA	WP_010939222.1	WP_010943290.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_010939222.1	WP_015403778.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_010939222.1	WP_126378098.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_010939222.1	WP_136808992.1
OG0000003	Shewanella oneidensis MR-1	WP_011792407.1, WP_011791948.1, WP_011792936.1, WP_011792186.1, WP_011792805.1, WP_223294605.1, WP_011791943.1, WP_011792128.1, WP_011791758.1, WP_011793192.1, WP_011792991.1, WP_011791551.1, WP_011791517.1, WP_011791477.1, WP_011793099.1, WP_011792169.1, WP_011792750.1, WP_223294650.1, WP_011792521.1, WP_010939570.1, WP_011792180.1, WP_011792768.1, WP_011791461.1, WP_011792725.1, WP_011792622.1, WP_011793136.1, WP_010937493.1	WP_274544340.1
OG0000003	Geobacter sulfurreducens PCA	WP_011792407.1, WP_011791948.1, WP_011792936.1, WP_011792186.1, WP_011792805.1, WP_223294605.1, WP_011791943.1, WP_011792128.1, WP_011791758.1, WP_011793192.1, WP_011792991.1, WP_011791551.1, WP_011791517.1, WP_011791477.1, WP_011793099.1, WP_011792169.1, WP_011792750.1, WP_223294650.1, WP_011792521.1, WP_010939570.1, WP_011792180.1, WP_011792768.1, WP_011791461.1, WP_011792725.1, WP_011792622.1, WP_011793136.1, WP_010937493.1	WP_010943291.1, WP_010941584.1, WP_010943573.1, WP_010943215.1, WP_010942023.1, WP_010941692.1, WP_010941415.1, WP_010941693.1, WP_010941068.1, WP_262421270.1, WP_010941696.1, WP_010941069.1, WP_010941695.1, WP_010941697.1, WP_010941408.1, WP_010941603.1, WP_010941245.1, WP_010943777.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011791948.1, WP_011792936.1, WP_011792186.1	WP_126378962.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011792805.1, WP_223294605.1	WP_269471680.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011791758.1, WP_011793192.1	WP_126378451.1, WP_126375592.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011792991.1, WP_011791551.1	WP_232034903.1, WP_126377874.1, WP_126375919.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011791517.1, WP_011791477.1, WP_011793099.1	WP_126377852.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011792169.1	WP_126380591.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011792750.1	WP_172961734.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_223294650.1, WP_011792521.1, WP_010939570.1, WP_011792180.1	WP_126378859.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011792768.1	WP_126377940.1, WP_232034842.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011791461.1	WP_126378861.1, WP_126380680.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011792622.1	WP_172961561.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011793136.1, WP_010937493.1	WP_126379689.1, WP_126378840.1, WP_126380863.1
OG0000003	Shewanella oneidensis MR-1	WP_011793047.1	WP_011073164.1
OG0000003	Geobacter sulfurreducens PCA	WP_011793047.1	WP_010941702.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011793047.1	WP_126377796.1, WP_126379081.1
OG0000003	Desulfotalea psychrophila LSv54	WP_011793047.1	WP_011188222.1
OG0000003	Desulfocapsa_06_corrosive	WP_011793047.1	Utg323632_206
OG0000003	Desulfosediminicola flagellatus IMCC35005	WP_011793047.1	WP_136810764.1
OG0000003	Desulfocapsa_13_biocide	WP_011793047.1	Utg861744_3
OG0000004	Shewanella oneidensis MR-1	WP_223294599.1, WP_223294664.1, WP_011791556.1	WP_011073049.1, WP_011073640.1
OG0000004	Desulfovibrio ferrophilus IS5	WP_223294664.1	WP_172961663.1
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_011791556.1	WP_015402402.1
OG0000004	Desulfovibrio ferrophilus IS5	WP_011791556.1	WP_126381022.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_011791556.1	WP_136809328.1, WP_136805168.1, WP_167505721.1, WP_136809428.1
OG0000004	Desulfosediminicola ganghwensis IMCC35004	WP_011791556.1	WP_136798650.1
OG0000004	Desulfotalea psychrophila LSv54	WP_011791556.1	WP_011188268.1
OG0000005	Geobacter sulfurreducens PCA	WP_011792798.1	WP_235044884.1
OG0000005	Desulfotalea psychrophila LSv54	WP_223294600.1, WP_011791535.1, WP_223294572.1, WP_011791961.1, WP_223294640.1, WP_011792884.1, WP_011791703.1, WP_011791404.1, WP_011791738.1, WP_011791849.1, WP_011792761.1, WP_011791751.1, WP_011791759.1	WP_011189533.1, WP_011188126.1
