Orthogroup	Species	Desulforhopalus vacuolatus DSM 9700	Orthologs
OG0000006	Geobacter sulfurreducens PCA	WP_205219511.1	WP_235044977.1, WP_010942572.1
OG0000006	Desulfocapsa sulfexigens DSM 10523	WP_205219511.1	WP_015403002.1
OG0000006	Desulfocapsa_13_biocide	WP_205219511.1	Utg859388_140
OG0000006	Desulfocapsa_06_corrosive	WP_205219511.1	Utg323392_94
OG0000006	Desulfosediminicola flagellatus IMCC35005	WP_205219511.1	WP_136805497.1
OG0000006	Desulfocapsa_06_corrosive	WP_205218504.1	Utg323180_218, Utg323180_148
OG0000006	Desulfovibrio ferrophilus IS5	WP_205218504.1	WP_126377248.1
OG0000007	Shewanella oneidensis MR-1	WP_240192033.1	WP_011074183.1
OG0000007	Acidithiobacillus ferrooxidans YNTRS-40	WP_240192033.1	WP_009568266.1
OG0000007	Desulfovibrio vulgaris DP4	WP_240192033.1	WP_011791331.1
OG0000007	Desulfovibrio ferrophilus IS5	WP_240192033.1	WP_126381476.1
OG0000007	Geobacter sulfurreducens PCA	WP_240192033.1	WP_010942419.1
OG0000007	Desulfotalea psychrophila LSv54	WP_240192033.1	WP_011189794.1
OG0000007	Desulfocapsa_13_biocide	WP_240192033.1	Utg858432_132
OG0000007	Desulfocapsa_06_corrosive	WP_240192033.1	Utg323632_239
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_240192033.1	WP_015405611.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_240192033.1	WP_228723385.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_240192033.1	WP_228721345.1
OG0000007	Acidithiobacillus ferrooxidans YNTRS-40	WP_205217665.1	WP_009566877.1
OG0000007	Shewanella oneidensis MR-1	WP_205217665.1	WP_164925702.1
OG0000007	Geobacter sulfurreducens PCA	WP_205217665.1	WP_010942909.1
OG0000007	Desulfovibrio vulgaris DP4	WP_205217665.1	WP_010939647.1
OG0000007	Desulfovibrio ferrophilus IS5	WP_205217665.1	WP_126375925.1
OG0000007	Desulfocapsa_06_corrosive	WP_205217665.1	Utg323632_51
OG0000007	Desulfocapsa_13_biocide	WP_205217665.1	Utg862138_39
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_205217665.1	WP_015405734.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_205217665.1	WP_136805469.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_205217665.1	WP_136796543.1
OG0000007	Desulfotalea psychrophila LSv54	WP_205217665.1	WP_011188868.1
OG0000007	Desulfovibrio ferrophilus IS5	WP_205219793.1	WP_126381411.1
OG0000007	Shewanella oneidensis MR-1	WP_205219793.1	WP_011072831.1
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_205219793.1	WP_041916547.1
OG0000007	Desulfocapsa_06_corrosive	WP_205219793.1	Utg323152_106
OG0000007	Geobacter sulfurreducens PCA	WP_205219793.1	WP_010943050.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_205219793.1	WP_136795639.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_205219793.1	WP_136809767.1
OG0000007	Acidithiobacillus ferrooxidans YNTRS-40	WP_205219899.1	WP_012606613.1
OG0000007	Shewanella oneidensis MR-1	WP_205219899.1	WP_011071147.1
OG0000007	Geobacter sulfurreducens PCA	WP_205219899.1	WP_010941823.1, WP_010942828.1
OG0000007	Desulfocapsa_13_biocide	WP_205219899.1	Utg857076_16
OG0000007	Desulfocapsa_06_corrosive	WP_205219899.1	Utg323262_116
OG0000007	Desulfovibrio vulgaris DP4	WP_205218938.1	WP_043629999.1
OG0000007	Acidithiobacillus ferrooxidans YNTRS-40	WP_205218938.1	WP_012535788.1
OG0000007	Geobacter sulfurreducens PCA	WP_205218938.1	WP_010941615.1
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_205218938.1	WP_015403055.1
OG0000008	Desulfosediminicola flagellatus IMCC35005	WP_205218335.1	WP_136809211.1
OG0000008	Desulfosediminicola ganghwensis IMCC35004	WP_205218335.1	WP_136796499.1
OG0000008	Desulfovibrio ferrophilus IS5	WP_205218335.1	WP_126379377.1
OG0000008	Desulfovibrio vulgaris DP4	WP_205218335.1	WP_010939710.1
OG0000008	Geobacter sulfurreducens PCA	WP_205218335.1	WP_010941163.1
OG0000008	Desulfocapsa_06_corrosive	WP_205218335.1	Utg323632_80
OG0000008	Shewanella oneidensis MR-1	WP_205218335.1	WP_011071114.1
OG0000008	Shewanella oneidensis MR-1	WP_205219114.1	WP_011072998.1
OG0000008	Desulfovibrio ferrophilus IS5	WP_205219114.1	WP_126380866.1
OG0000008	Geobacter sulfurreducens PCA	WP_205219114.1	WP_010941060.1
OG0000008	Desulfosediminicola flagellatus IMCC35005	WP_205219114.1	WP_136805538.1
OG0000008	Desulfosediminicola ganghwensis IMCC35004	WP_205219114.1	WP_167495786.1
OG0000008	Desulfocapsa_13_biocide	WP_205219114.1	Utg861744_12, Utg857076_45
OG0000008	Desulfocapsa_06_corrosive	WP_205219114.1	Utg323160_91, Utg323262_89
OG0000008	Desulfocapsa sulfexigens DSM 10523	WP_205219114.1	WP_015403337.1
OG0000008	Acidithiobacillus ferrooxidans YNTRS-40	WP_205219114.1	WP_012537153.1
OG0000008	Acidithiobacillus ferrooxidans YNTRS-40	WP_205218972.1	WP_012536928.1
OG0000008	Acidithiobacillus ferrooxidans YNTRS-40	WP_205218627.1	WP_012536971.1, WP_009566514.1
OG0000008	Desulfosediminicola ganghwensis IMCC35004	WP_205218627.1	WP_228721405.1
OG0000008	Shewanella oneidensis MR-1	WP_205218627.1	WP_011074282.1
OG0000008	Desulfovibrio vulgaris DP4	WP_205218627.1	WP_011791653.1
OG0000008	Geobacter sulfurreducens PCA	WP_205218627.1	WP_010943335.1
OG0000008	Desulfocapsa_13_biocide	WP_205218627.1	Utg859098_370
OG0000008	Desulfosediminicola flagellatus IMCC35005	WP_205218627.1	WP_136806200.1
OG0000008	Desulfotalea psychrophila LSv54	WP_205218627.1	WP_049785046.1
OG0000009	Geobacter sulfurreducens PCA	WP_240192111.1, WP_205217584.1, WP_240192132.1	WP_010943210.1
OG0000009	Desulfosediminicola ganghwensis IMCC35004	WP_240192111.1	WP_136799743.1
OG0000009	Desulfosediminicola flagellatus IMCC35005	WP_240192111.1	WP_136810250.1
