Orthogroup	Species	Acidithiobacillus ferrooxidans YNTRS-40	Orthologs
OG0000001	Desulfocapsa_13_biocide	WP_049756718.1	Utg863716_50, Utg863716_105, Utg861448_49, Utg860814_100, Utg857152_206, Utg857300_46, Utg859236_118, Utg859432_61, Utg857300_26, Utg857994_39
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_049756718.1	WP_136796374.1, WP_136798931.1, WP_136798799.1, WP_136799195.1, WP_136799410.1, WP_136796562.1, WP_136798261.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_049756718.1	WP_126376510.1, WP_172961810.1, WP_126375555.1, WP_126376875.1, WP_126378261.1, WP_172961567.1, WP_126380896.1, WP_126377423.1, WP_232034871.1, WP_126377178.1, WP_126375573.1, WP_126379609.1, WP_172961793.1, WP_126380918.1, WP_126377950.1, WP_126376869.1, WP_172961606.1, WP_126379817.1, WP_172961763.1, WP_126380957.1, WP_172961695.1, WP_197723432.1, WP_172961701.1, WP_126375584.1, WP_172961715.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_049756718.1	WP_015402638.1, WP_015402457.1, WP_015402486.1, WP_015403644.1, WP_015402385.1, WP_015405261.1, WP_015402811.1, WP_167320702.1, WP_015402591.1, WP_015402480.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_049756718.1	WP_205220029.1, WP_205218534.1, WP_205218203.1, WP_205220038.1, WP_205220390.1, WP_205217623.1, WP_205219167.1, WP_205219701.1, WP_205217330.1, WP_205217806.1
OG0000001	Desulfovibrio vulgaris DP4	WP_049756718.1	WP_010937723.1, WP_010938239.1, WP_011791528.1, WP_011791603.1, WP_010939092.1, WP_011792183.1, WP_043629533.1, WP_010937422.1, WP_010939946.1, WP_011791763.1, WP_223294637.1, WP_010939074.1, WP_010940213.1, WP_010938064.1, WP_011792933.1, WP_011793088.1, WP_011792985.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_049756718.1	WP_136806607.1, WP_167505925.1, WP_136808786.1, WP_136805177.1, WP_136807476.1, WP_136809287.1, WP_136810389.1, WP_136809108.1, WP_136809201.1, WP_136809645.1, WP_136807061.1, WP_136807017.1, WP_136806467.1
OG0000001	Shewanella oneidensis MR-1	WP_049756718.1	WP_011074067.1, WP_011073330.1, WP_011071093.1, WP_011070909.1, WP_011071801.1, WP_011072190.1, WP_164925657.1, WP_011073617.1, WP_011071842.1, WP_011074055.1, WP_011071208.1, WP_011073204.1, WP_011073890.1, WP_011072229.1, WP_011072122.1, WP_011072210.1, WP_164925621.1, WP_011073495.1, WP_011071723.1, WP_011073385.1, WP_011073536.1, WP_011072697.1, WP_011071311.1
OG0000001	Geobacter sulfurreducens PCA	WP_049756718.1	WP_010942201.1, WP_010942302.1, WP_010942515.1, WP_235044972.1, WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1, WP_010941474.1, WP_010941620.1, WP_010943599.1, WP_010942049.1, WP_238525143.1, WP_010941210.1
OG0000001	Desulfotalea psychrophila LSv54	WP_049756718.1	WP_011188793.1, WP_011187475.1, WP_011189956.1, WP_011187505.1, WP_041277893.1, WP_011188215.1, WP_011189761.1, WP_011189031.1, WP_011187559.1, WP_011189221.1, WP_049785109.1, WP_041277878.1, WP_011187493.1, WP_011189550.1
OG0000002	Desulfovibrio vulgaris DP4	WP_225487194.1	WP_010939653.1
OG0000002	Shewanella oneidensis MR-1	WP_225487194.1	WP_011070486.1
OG0000002	Shewanella oneidensis MR-1	WP_009563459.1	WP_011073574.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_009563459.1	WP_136806247.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_009563459.1	WP_205217333.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_012537438.1	WP_015403655.1
OG0000002	Shewanella oneidensis MR-1	WP_012537438.1	WP_011071850.1
OG0000002	Desulfocapsa_06_corrosive	WP_012537438.1	Utg323632_46
OG0000002	Desulfocapsa_13_biocide	WP_012537438.1	Utg862138_35
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_012537438.1	WP_205218052.1, WP_205220147.1
OG0000002	Geobacter sulfurreducens PCA	WP_012537438.1	WP_010943324.1, WP_010943450.1, WP_010943451.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_012537438.1	WP_136805222.1
OG0000002	Desulfotalea psychrophila LSv54	WP_012537438.1	WP_011188785.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_012537671.1	WP_176371628.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_012537671.1	WP_136795378.1
OG0000002	Desulfocapsa_06_corrosive	WP_012537671.1	Utg323300_181
OG0000002	Geobacter sulfurreducens PCA	WP_012537671.1	WP_010940689.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_012537671.1	WP_015404618.1
OG0000002	Desulfovibrio vulgaris DP4	WP_009567471.1	WP_011793091.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_009567471.1	WP_205220205.1
OG0000002	Desulfotalea psychrophila LSv54	WP_009567471.1	WP_041277525.1
OG0000002	Shewanella oneidensis MR-1	WP_009567471.1	WP_011074078.1
OG0000006	Shewanella oneidensis MR-1	WP_229129724.1, WP_230456343.1	WP_011070957.1, WP_011070793.1
OG0000006	Desulforhopalus vacuolatus DSM 9700	WP_229129724.1, WP_230456343.1	WP_205219109.1
OG0000007	Desulforhopalus vacuolatus DSM 9700	WP_009568266.1	WP_240192033.1
OG0000007	Desulfotalea psychrophila LSv54	WP_009568266.1	WP_011189794.1
OG0000007	Desulfocapsa_13_biocide	WP_009568266.1	Utg858432_132
OG0000007	Desulfocapsa_06_corrosive	WP_009568266.1	Utg323632_239
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_009568266.1	WP_015405611.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_009568266.1	WP_228723385.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_009568266.1	WP_228721345.1
OG0000007	Desulfovibrio vulgaris DP4	WP_009568266.1	WP_011791331.1
OG0000007	Desulfovibrio ferrophilus IS5	WP_009568266.1	WP_126381476.1
OG0000007	Geobacter sulfurreducens PCA	WP_009568266.1	WP_010942419.1
OG0000007	Shewanella oneidensis MR-1	WP_009568266.1	WP_011074183.1
OG0000007	Desulfocapsa_06_corrosive	WP_009566877.1	Utg323632_51
OG0000007	Desulfocapsa_13_biocide	WP_009566877.1	Utg862138_39
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_009566877.1	WP_015405734.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_009566877.1	WP_136805469.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_009566877.1	WP_136796543.1
OG0000007	Desulfotalea psychrophila LSv54	WP_009566877.1	WP_011188868.1
OG0000007	Desulforhopalus vacuolatus DSM 9700	WP_009566877.1	WP_205217665.1
OG0000007	Desulfovibrio vulgaris DP4	WP_009566877.1	WP_010939647.1
OG0000007	Desulfovibrio ferrophilus IS5	WP_009566877.1	WP_126375925.1
OG0000007	Geobacter sulfurreducens PCA	WP_009566877.1	WP_010942909.1
OG0000007	Shewanella oneidensis MR-1	WP_009566877.1	WP_164925702.1
OG0000007	Desulfocapsa_13_biocide	WP_012606613.1	Utg857076_16
OG0000007	Desulfocapsa_06_corrosive	WP_012606613.1	Utg323262_116
OG0000007	Desulforhopalus vacuolatus DSM 9700	WP_012606613.1	WP_205219899.1
OG0000007	Geobacter sulfurreducens PCA	WP_012606613.1	WP_010941823.1, WP_010942828.1
OG0000007	Shewanella oneidensis MR-1	WP_012606613.1	WP_011071147.1
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_012535788.1	WP_015403055.1
OG0000007	Desulforhopalus vacuolatus DSM 9700	WP_012535788.1	WP_205218938.1
OG0000007	Geobacter sulfurreducens PCA	WP_012535788.1	WP_010941615.1
OG0000007	Desulfovibrio vulgaris DP4	WP_012535788.1	WP_043629999.1
OG0000008	Shewanella oneidensis MR-1	WP_012537153.1	WP_011072998.1
OG0000008	Desulforhopalus vacuolatus DSM 9700	WP_012537153.1	WP_205219114.1
OG0000008	Desulfovibrio ferrophilus IS5	WP_012537153.1	WP_126380866.1
OG0000008	Geobacter sulfurreducens PCA	WP_012537153.1	WP_010941060.1
OG0000008	Desulfocapsa_13_biocide	WP_012537153.1	Utg857076_45
OG0000008	Desulfocapsa_06_corrosive	WP_012537153.1	Utg323262_89
OG0000008	Desulforhopalus vacuolatus DSM 9700	WP_012536928.1	WP_205218972.1
OG0000008	Geobacter sulfurreducens PCA	WP_012536818.1, WP_012535792.1	WP_010943408.1
OG0000008	Desulfotalea psychrophila LSv54	WP_012536818.1, WP_012535792.1	WP_049785079.1
OG0000008	Shewanella oneidensis MR-1	WP_012536818.1, WP_012535792.1	WP_011073986.1
OG0000008	Geobacter sulfurreducens PCA	WP_009566498.1	WP_010943303.1
OG0000008	Shewanella oneidensis MR-1	WP_009566498.1	WP_011072024.1
OG0000008	Desulfovibrio vulgaris DP4	WP_009566498.1	WP_011793161.1
OG0000008	Desulfosediminicola flagellatus IMCC35005	WP_009566498.1	WP_136806594.1
OG0000008	Desulfosediminicola ganghwensis IMCC35004	WP_009566498.1	WP_136796821.1
OG0000008	Desulfocapsa sulfexigens DSM 10523	WP_009566498.1	WP_015403510.1
OG0000008	Desulfocapsa_13_biocide	WP_009566498.1	Utg857152_123
OG0000008	Desulfocapsa_06_corrosive	WP_009566498.1	Utg323300_399
OG0000008	Desulfovibrio ferrophilus IS5	WP_009566498.1	WP_126376430.1
OG0000008	Desulfosediminicola ganghwensis IMCC35004	WP_012536971.1, WP_009566514.1	WP_136798618.1, WP_228721405.1, WP_136797473.1
OG0000008	Desulfosediminicola flagellatus IMCC35005	WP_012536971.1, WP_009566514.1	WP_136808272.1, WP_136806200.1
OG0000008	Desulfocapsa_06_corrosive	WP_012536971.1, WP_009566514.1	Utg323392_185
OG0000008	Desulfocapsa_13_biocide	WP_012536971.1, WP_009566514.1	Utg859388_41, Utg859098_370
OG0000008	Desulfovibrio vulgaris DP4	WP_012536971.1, WP_009566514.1	WP_011791419.1, WP_011791653.1, WP_010937371.1, WP_223294613.1
OG0000008	Desulfocapsa sulfexigens DSM 10523	WP_012536971.1, WP_009566514.1	WP_015404768.1
OG0000008	Shewanella oneidensis MR-1	WP_012536971.1, WP_009566514.1	WP_011073334.1, WP_011074282.1
OG0000008	Geobacter sulfurreducens PCA	WP_012536971.1, WP_009566514.1	WP_010943335.1, WP_010942255.1
OG0000008	Desulfotalea psychrophila LSv54	WP_012536971.1, WP_009566514.1	WP_049785046.1
OG0000008	Desulforhopalus vacuolatus DSM 9700	WP_012536971.1, WP_009566514.1	WP_205218627.1
OG0000008	Desulfovibrio ferrophilus IS5	WP_012536971.1, WP_009566514.1	WP_126378253.1
OG0000010	Desulforhopalus vacuolatus DSM 9700	WP_009561151.1, WP_012536238.1, WP_009563479.1	WP_205219586.1
OG0000010	Geobacter sulfurreducens PCA	WP_009561151.1	WP_010942493.1
OG0000010	Desulfocapsa sulfexigens DSM 10523	WP_009561151.1	WP_015404239.1
OG0000010	Desulfosediminicola flagellatus IMCC35005	WP_009561151.1	WP_136809831.1
OG0000010	Desulfocapsa_06_corrosive	WP_009561151.1	Utg323316_272, Utg323316_267, Utg323316_264
OG0000010	Desulfovibrio ferrophilus IS5	WP_009561151.1	WP_126380086.1, WP_172961677.1
OG0000010	Desulfocapsa_13_biocide	WP_009561151.1	Utg857046_180
OG0000010	Desulfosediminicola flagellatus IMCC35005	WP_012536238.1	WP_136810734.1
OG0000010	Desulfocapsa_06_corrosive	WP_012536238.1	Utg323316_270
OG0000010	Desulfovibrio vulgaris DP4	WP_012536238.1	WP_011791544.1
OG0000010	Geobacter sulfurreducens PCA	WP_012536238.1	WP_235044891.1
OG0000010	Desulfocapsa sulfexigens DSM 10523	WP_012536238.1	WP_015404682.1
OG0000010	Desulfovibrio ferrophilus IS5	WP_012536238.1	WP_172961742.1
OG0000010	Desulfosediminicola flagellatus IMCC35005	WP_009563479.1	WP_136810733.1, WP_167506104.1, WP_217909528.1
OG0000010	Desulfotalea psychrophila LSv54	WP_009563479.1	WP_011187276.1
OG0000010	Desulfovibrio vulgaris DP4	WP_009563479.1	WP_010937635.1
OG0000010	Shewanella oneidensis MR-1	WP_009563479.1	WP_011073061.1
OG0000012	Desulfosediminicola ganghwensis IMCC35004	WP_012537465.1	WP_228721473.1
OG0000012	Geobacter sulfurreducens PCA	WP_012537465.1	WP_010941669.1
OG0000012	Shewanella oneidensis MR-1	WP_012537465.1	WP_011074100.1
OG0000012	Desulfovibrio ferrophilus IS5	WP_233459585.1	WP_126380912.1
OG0000012	Desulfocapsa sulfexigens DSM 10523	WP_233459585.1	WP_015403471.1
OG0000012	Desulfosediminicola ganghwensis IMCC35004	WP_233459585.1	WP_136796722.1
OG0000012	Desulfotalea psychrophila LSv54	WP_233459585.1	WP_011188284.1
OG0000012	Shewanella oneidensis MR-1	WP_233459585.1	WP_011074303.1
OG0000012	Desulfocapsa_13_biocide	WP_233459585.1	Utg857046_150
OG0000012	Geobacter sulfurreducens PCA	WP_233459585.1	WP_010941439.1, WP_010941262.1, WP_010941254.1, WP_144011898.1, WP_010941041.1, WP_010941630.1, WP_010943129.1, WP_010943547.1
OG0000012	Desulfosediminicola flagellatus IMCC35005	WP_233459585.1	WP_228723378.1
OG0000012	Desulfovibrio vulgaris DP4	WP_233459585.1	WP_011787301.1
OG0000012	Desulforhopalus vacuolatus DSM 9700	WP_233459585.1	WP_205218774.1
OG0000012	Desulfocapsa_06_corrosive	WP_233459585.1	Utg323160_104
OG0000013	Desulfovibrio ferrophilus IS5	WP_049756730.1	WP_126376628.1
OG0000013	Shewanella oneidensis MR-1	WP_049756730.1	WP_011073862.1
OG0000013	Desulfocapsa_06_corrosive	WP_049756730.1	Utg323180_152, Utg323140_78
OG0000013	Desulfocapsa sulfexigens DSM 10523	WP_049756730.1	WP_015402979.1
OG0000013	Desulfocapsa_13_biocide	WP_049756730.1	Utg864866_75
OG0000014	Desulfocapsa_06_corrosive	WP_012607383.1, WP_009567373.1, WP_012535790.1	Utg323392_110
OG0000014	Desulfovibrio vulgaris DP4	WP_012607383.1, WP_009567373.1, WP_012535790.1	WP_010939857.1
OG0000014	Desulforhopalus vacuolatus DSM 9700	WP_012607383.1, WP_009567373.1, WP_012535790.1	WP_205219172.1
OG0000014	Shewanella oneidensis MR-1	WP_012607383.1, WP_009567373.1, WP_012535790.1	WP_011074106.1, WP_011073413.1, WP_011074228.1
OG0000014	Desulfosediminicola ganghwensis IMCC35004	WP_012607383.1, WP_009567373.1, WP_012535790.1	WP_176360024.1, WP_136795895.1
OG0000014	Desulfovibrio ferrophilus IS5	WP_012607383.1, WP_009567373.1, WP_012535790.1	WP_126377105.1, WP_126380551.1
OG0000014	Desulfocapsa_13_biocide	WP_012607383.1, WP_009567373.1, WP_012535790.1	Utg859076_41, Utg857994_28
OG0000014	Desulfocapsa sulfexigens DSM 10523	WP_012607383.1, WP_009567373.1, WP_012535790.1	WP_015403048.1
OG0000014	Geobacter sulfurreducens PCA	WP_009561490.1, WP_012607578.1	WP_010943740.1, WP_010942788.1
OG0000014	Desulforhopalus vacuolatus DSM 9700	WP_009561490.1, WP_012607578.1	WP_205218288.1
OG0000014	Desulfosediminicola ganghwensis IMCC35004	WP_009561490.1, WP_012607578.1	WP_136795319.1, WP_167495771.1, WP_136796661.1
OG0000014	Desulfosediminicola flagellatus IMCC35005	WP_009561490.1, WP_012607578.1	WP_136808146.1, WP_136808979.1, WP_136809185.1, WP_136808354.1
OG0000014	Desulfocapsa_06_corrosive	WP_009561490.1, WP_012607578.1	Utg323262_128
OG0000014	Desulfocapsa_13_biocide	WP_009561490.1, WP_012607578.1	Utg857682_136
OG0000014	Desulforhopalus vacuolatus DSM 9700	WP_012536921.1	WP_205219411.1
OG0000014	Desulfotalea psychrophila LSv54	WP_012536921.1	WP_083818925.1
OG0000014	Desulfosediminicola flagellatus IMCC35005	WP_012536921.1	WP_136808641.1, WP_167505806.1, WP_136809415.1, WP_136810371.1, WP_136810514.1
OG0000014	Desulfosediminicola ganghwensis IMCC35004	WP_012536921.1	WP_136795451.1, WP_136798954.1
OG0000014	Desulfocapsa_06_corrosive	WP_012536921.1	Utg324810_58
OG0000014	Desulfocapsa_13_biocide	WP_012536921.1	Utg861744_121, Utg861744_120
OG0000014	Desulfocapsa sulfexigens DSM 10523	WP_012536921.1	WP_015403432.1, WP_015403237.1, WP_015405413.1, WP_015403639.1
OG0000014	Shewanella oneidensis MR-1	WP_012536921.1	WP_011074069.1, WP_011072169.1, WP_202950644.1, WP_011070474.1
OG0000014	Geobacter sulfurreducens PCA	WP_012536921.1	WP_010941119.1, WP_010943578.1, WP_010940825.1, WP_193360255.1
OG0000015	Geobacter sulfurreducens PCA	WP_009564938.1	WP_010943443.1
OG0000015	Shewanella oneidensis MR-1	WP_009564938.1	WP_011072514.1
OG0000015	Desulforhopalus vacuolatus DSM 9700	WP_009564938.1	WP_205217767.1
OG0000015	Desulfotalea psychrophila LSv54	WP_009564938.1	WP_041277718.1
OG0000015	Desulfosediminicola flagellatus IMCC35005	WP_009564938.1	WP_136806902.1
OG0000015	Desulfosediminicola ganghwensis IMCC35004	WP_009564938.1	WP_136798539.1
OG0000015	Desulfocapsa sulfexigens DSM 10523	WP_009564938.1	WP_015404994.1, WP_015405754.1
OG0000015	Desulfocapsa_13_biocide	WP_009564938.1	Utg859388_25, Utg862138_18
OG0000015	Desulfocapsa_06_corrosive	WP_009564938.1	Utg323392_212, Utg323632_27
OG0000015	Shewanella oneidensis MR-1	WP_012537015.1, WP_233459575.1	WP_011073534.1
OG0000015	Geobacter sulfurreducens PCA	WP_012535757.1, WP_012537128.1	WP_010941995.1
OG0000015	Desulfovibrio vulgaris DP4	WP_012535757.1, WP_012537128.1	WP_011791371.1
OG0000015	Desulfovibrio ferrophilus IS5	WP_012535757.1, WP_012537128.1	WP_126376871.1
OG0000015	Shewanella oneidensis MR-1	WP_012535969.1	WP_011071111.1
OG0000015	Desulfosediminicola flagellatus IMCC35005	WP_012536894.1	WP_136805164.1
OG0000017	Shewanella oneidensis MR-1	WP_012536473.1	WP_011071143.1
OG0000017	Geobacter sulfurreducens PCA	WP_012536473.1	WP_010942680.1
OG0000017	Desulfocapsa sulfexigens DSM 10523	WP_012536473.1	WP_015404508.1
OG0000017	Desulfosediminicola ganghwensis IMCC35004	WP_012536473.1	WP_136796602.1, WP_167495642.1, WP_136796609.1
OG0000017	Desulfotalea psychrophila LSv54	WP_012536473.1	WP_011188709.1, WP_011188698.1
OG0000017	Desulforhopalus vacuolatus DSM 9700	WP_012536473.1	WP_205220326.1, WP_205219770.1
OG0000017	Desulfosediminicola flagellatus IMCC35005	WP_012536473.1	WP_136808412.1, WP_176371602.1, WP_136808421.1, WP_136807419.1, WP_136809354.1, WP_136808420.1
OG0000017	Desulfocapsa_06_corrosive	WP_012536473.1	Utg323990_184
OG0000017	Desulfocapsa_13_biocide	WP_012536473.1	Utg860006_13, Utg860006_18
OG0000017	Shewanella oneidensis MR-1	WP_012536124.1	WP_011070777.1, WP_011071144.1, WP_011073357.1
OG0000017	Desulfosediminicola flagellatus IMCC35005	WP_012536124.1	WP_136808428.1
OG0000017	Desulfotalea psychrophila LSv54	WP_012536124.1	WP_011188693.1
OG0000017	Desulforhopalus vacuolatus DSM 9700	WP_012536124.1	WP_275888990.1
OG0000018	Shewanella oneidensis MR-1	WP_012536801.1	WP_011073068.1
OG0000018	Desulfovibrio vulgaris DP4	WP_012536801.1	WP_011793148.1, WP_011787361.1
OG0000018	Desulfosediminicola ganghwensis IMCC35004	WP_012536801.1	WP_136799912.1, WP_136795787.1, WP_136799915.1, WP_136798307.1
OG0000018	Geobacter sulfurreducens PCA	WP_012536801.1	WP_010942606.1, WP_010942605.1, WP_235045001.1, WP_235044879.1, WP_010942157.1
OG0000018	Desulfotalea psychrophila LSv54	WP_012536801.1	WP_011189821.1
OG0000018	Desulfosediminicola flagellatus IMCC35005	WP_012536801.1	WP_136806347.1, WP_136808506.1, WP_136810861.1
OG0000018	Desulforhopalus vacuolatus DSM 9700	WP_012536801.1	WP_205218117.1, WP_205219840.1
OG0000018	Desulfocapsa_13_biocide	WP_012536801.1	Utg859098_213, Utg860006_167, Utg859098_43, Utg860006_169
OG0000018	Desulfocapsa_06_corrosive	WP_012536801.1	Utg323152_201
OG0000018	Desulfocapsa sulfexigens DSM 10523	WP_012536801.1	WP_015405040.1, WP_015405587.1, WP_015404684.1
OG0000019	Desulfovibrio ferrophilus IS5	WP_012536513.1	WP_126380934.1
OG0000019	Desulfovibrio vulgaris DP4	WP_012536513.1	WP_010938382.1
OG0000019	Geobacter sulfurreducens PCA	WP_012536513.1	WP_010941763.1
OG0000019	Desulforhopalus vacuolatus DSM 9700	WP_012536513.1	WP_205217874.1
OG0000019	Desulfotalea psychrophila LSv54	WP_012536513.1	WP_011189126.1
OG0000019	Desulfosediminicola ganghwensis IMCC35004	WP_012536513.1	WP_136796978.1
OG0000019	Desulfosediminicola flagellatus IMCC35005	WP_012536513.1	WP_136810058.1
OG0000019	Desulfocapsa sulfexigens DSM 10523	WP_012536513.1	WP_015403161.1
OG0000019	Desulfocapsa_13_biocide	WP_012536513.1	Utg864866_31
OG0000019	Desulfocapsa_06_corrosive	WP_012536513.1	Utg323140_131
OG0000019	Shewanella oneidensis MR-1	WP_012536513.1	WP_011071727.1
OG0000019	Desulfovibrio ferrophilus IS5	WP_012535791.1, WP_012537688.1, WP_009566809.1	WP_126380549.1
OG0000019	Shewanella oneidensis MR-1	WP_012535791.1, WP_012537688.1	WP_011074227.1
OG0000019	Shewanella oneidensis MR-1	WP_009566809.1	WP_011071456.1, WP_007644695.1
OG0000019	Desulforhopalus vacuolatus DSM 9700	WP_009566809.1	WP_205219173.1
OG0000020	Desulfovibrio ferrophilus IS5	WP_012537033.1	WP_126375608.1
OG0000020	Shewanella oneidensis MR-1	WP_012537033.1	WP_011070833.1
OG0000020	Desulforhopalus vacuolatus DSM 9700	WP_012537033.1	WP_205217884.1
OG0000020	Desulfosediminicola ganghwensis IMCC35004	WP_012537033.1	WP_136796993.1
OG0000020	Desulfosediminicola flagellatus IMCC35005	WP_012537033.1	WP_136810213.1
OG0000020	Desulfocapsa sulfexigens DSM 10523	WP_012537033.1	WP_015405231.1, WP_015404437.1, WP_015405244.1
OG0000020	Desulfocapsa_06_corrosive	WP_012537033.1	Utg323152_283, Utg323632_271, Utg323152_268
OG0000020	Desulfocapsa_13_biocide	WP_012537033.1	Utg859098_133, Utg866558_48, Utg859098_147
OG0000021	Shewanella oneidensis MR-1	WP_012537525.1	WP_011071922.1
OG0000021	Desulfosediminicola flagellatus IMCC35005	WP_012537525.1	WP_136809333.1
OG0000021	Desulfosediminicola ganghwensis IMCC35004	WP_012537525.1	WP_136796274.1, WP_136799340.1
OG0000021	Shewanella oneidensis MR-1	WP_012537526.1	WP_011071923.1
OG0000021	Desulfosediminicola ganghwensis IMCC35004	WP_012537526.1	WP_136799341.1, WP_136799170.1
OG0000021	Desulfosediminicola flagellatus IMCC35005	WP_012537526.1	WP_136809332.1, WP_136808856.1
OG0000021	Desulforhopalus vacuolatus DSM 9700	WP_012537526.1	WP_205218098.1
OG0000021	Desulfotalea psychrophila LSv54	WP_012537526.1	WP_011188419.1
OG0000022	Shewanella oneidensis MR-1	WP_009564993.1	WP_011071803.1, WP_011072720.1, WP_011072576.1, WP_011071867.1, WP_011071042.1
OG0000022	Geobacter sulfurreducens PCA	WP_009564993.1	WP_010942550.1, WP_010941573.1, WP_010941244.1, WP_010940866.1, WP_010940882.1
OG0000022	Desulfosediminicola flagellatus IMCC35005	WP_009564993.1	WP_136806354.1, WP_136808751.1, WP_136806527.1, WP_136810853.1, WP_136806296.1, WP_136806018.1, WP_136805502.1, WP_136810453.1
