Orthogroup	Species	Desulfosediminicola ganghwensis IMCC35004	Orthologs
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_136798351.1	WP_205218029.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136798351.1	WP_015404870.1, WP_015402904.1
OG0000000	Desulfocapsa_06_corrosive	WP_136798351.1	Utg323180_138
OG0000000	Desulfocapsa_13_biocide	WP_136798351.1	Utg857152_211
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136798351.1	WP_136807632.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_136798833.1	WP_205219382.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136798833.1	WP_015403470.1
OG0000000	Geobacter sulfurreducens PCA	WP_136798833.1	WP_010941668.1, WP_010942297.1
OG0000000	Desulfovibrio vulgaris DP4	WP_136798833.1	WP_011793126.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_136798833.1	WP_126379731.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136798833.1	WP_136806855.1
OG0000000	Geobacter sulfurreducens PCA	WP_217907585.1	WP_010942684.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_217907585.1	WP_205220319.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_217907585.1	WP_015404602.1
OG0000000	Desulfocapsa_06_corrosive	WP_217907585.1	Utg323990_62
OG0000000	Desulfocapsa_13_biocide	WP_217907585.1	Utg860006_151
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_217907585.1	WP_136808413.1
OG0000000	Geobacter sulfurreducens PCA	WP_136797758.1	WP_010942141.1
OG0000000	Desulfotalea psychrophila LSv54	WP_136797758.1	WP_011189962.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_136797758.1	WP_205219819.1
OG0000000	Desulfocapsa_13_biocide	WP_136797758.1	Utg857994_144
OG0000000	Desulfocapsa_06_corrosive	WP_136797758.1	Utg323074_126
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136797758.1	WP_015404730.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136797758.1	WP_136805435.1
OG0000000	Desulfovibrio vulgaris DP4	WP_136799830.1	WP_011791385.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136799830.1	WP_015403104.1, WP_015404836.1
OG0000000	Desulfocapsa_13_biocide	WP_136799830.1	Utg859236_100
OG0000000	Desulfocapsa_06_corrosive	WP_136799830.1	Utg323262_146
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136799830.1	WP_136809847.1
OG0000000	Desulfotalea psychrophila LSv54	WP_136795330.1	WP_156792258.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_136795330.1	WP_205219336.1, WP_205220180.1
OG0000000	Desulfocapsa_06_corrosive	WP_136795330.1	Utg323152_90
OG0000000	Desulfocapsa_13_biocide	WP_136795330.1	Utg859098_309
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136795330.1	WP_136808161.1
OG0000000	Geobacter sulfurreducens PCA	WP_136796388.1	WP_010941261.1
OG0000000	Geobacter sulfurreducens PCA	WP_136796659.1	WP_164930426.1
OG0000000	Desulfocapsa_06_corrosive	WP_136796659.1	Utg323180_238, Utg323316_173
OG0000000	Desulfocapsa_13_biocide	WP_136796659.1	Utg863716_60, Utg857046_66
OG0000000	Shewanella oneidensis MR-1	WP_136796659.1	WP_011074101.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_136796659.1	WP_229129755.1, WP_012537464.1, WP_012536007.1, WP_012536141.1, WP_012537498.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136796659.1	WP_136808356.1
OG0000000	Desulfocapsa_06_corrosive	WP_136797600.1, WP_136796723.1	Utg323140_46
OG0000000	Desulfocapsa_13_biocide	WP_136797600.1, WP_136796723.1	Utg864866_108
OG0000000	Geobacter sulfurreducens PCA	WP_136797600.1, WP_136796723.1	WP_010942633.1
OG0000000	Desulfotalea psychrophila LSv54	WP_136797600.1, WP_136796723.1	WP_011188283.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136797600.1, WP_136796723.1	WP_136809937.1
OG0000000	Desulfovibrio vulgaris DP4	WP_275942930.1	WP_011791326.1
OG0000000	Desulfotalea psychrophila LSv54	WP_275942930.1	WP_041277753.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_275942930.1	WP_275888939.1
OG0000000	Desulfocapsa_13_biocide	WP_275942930.1	Utg858432_5
OG0000000	Desulfocapsa_06_corrosive	WP_275942930.1	Utg323632_66
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_275942930.1	WP_015405714.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_275942930.1	WP_217909566.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_136795862.1	WP_126379473.1, WP_126380421.1
OG0000000	Desulfovibrio vulgaris DP4	WP_136795862.1	WP_010938712.1, WP_011791434.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_136795862.1	WP_205218170.1
OG0000000	Desulfotalea psychrophila LSv54	WP_136795862.1	WP_041278710.1
OG0000000	Desulfocapsa_06_corrosive	WP_136795862.1	Utg323990_84
OG0000000	Desulfocapsa_13_biocide	WP_136795862.1	Utg860006_129
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136795862.1	WP_015404574.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136795862.1	WP_136806271.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_136798339.1, WP_136796441.1	WP_172961679.1
OG0000000	Desulfovibrio vulgaris DP4	WP_136798339.1, WP_136796441.1	WP_010938045.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136798339.1, WP_136796441.1	WP_015405247.1, WP_015404443.1, WP_015405235.1
OG0000000	Desulfocapsa_13_biocide	WP_136798339.1, WP_136796441.1	Utg859098_130, Utg866558_41, Utg859098_137
OG0000000	Desulfocapsa_06_corrosive	WP_136798339.1, WP_136796441.1	Utg323152_286, Utg323632_278, Utg323152_278
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136798339.1, WP_136796441.1	WP_136807046.1, WP_136810243.1
OG0000000	Geobacter sulfurreducens PCA	WP_136798339.1, WP_136796441.1	WP_010943144.1, WP_010941701.1
OG0000000	Geobacter sulfurreducens PCA	WP_136797028.1, WP_136799931.1, WP_136795637.1, WP_136796984.1	WP_010941027.1
OG0000000	Desulfovibrio vulgaris DP4	WP_136797028.1, WP_136799931.1	WP_010940219.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_136797028.1, WP_136799931.1	WP_126377754.1
OG0000000	Desulfocapsa_06_corrosive	WP_136797028.1, WP_136799931.1	Utg323140_222
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136797028.1, WP_136799931.1	WP_015404190.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_136797028.1, WP_136799931.1	WP_205218473.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136797028.1	WP_136810261.1, WP_136810305.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136799931.1	WP_136810299.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_136795637.1, WP_136796984.1	WP_126380558.1
OG0000000	Desulfotalea psychrophila LSv54	WP_136795637.1, WP_136796984.1	WP_011187582.1
OG0000000	Desulfovibrio vulgaris DP4	WP_136795637.1, WP_136796984.1	WP_011792079.1
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_136795637.1	WP_240192009.1
OG0000000	Desulfocapsa_13_biocide	WP_136795637.1	Utg859098_426
OG0000000	Desulfocapsa_06_corrosive	WP_136795637.1	Utg323392_13
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136795637.1	WP_136809765.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136796984.1	WP_167506066.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_136796539.1	WP_012537338.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_136796539.1	WP_172961667.1
OG0000000	Desulfovibrio vulgaris DP4	WP_136796539.1	WP_011791966.1, WP_011793108.1
OG0000000	Geobacter sulfurreducens PCA	WP_136796539.1	WP_010943112.1, WP_232008971.1
OG0000000	Desulfocapsa_13_biocide	WP_136796539.1	Utg859750_35
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136796539.1	WP_228130058.1
OG0000000	Desulfotalea psychrophila LSv54	WP_136796539.1	WP_011188526.1
OG0000000	Desulfocapsa_06_corrosive	WP_136796539.1	Utg323180_69
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136796539.1	WP_136805463.1
OG0000000	Acidithiobacillus ferrooxidans YNTRS-40	WP_217907626.1	WP_009560941.1, WP_009567366.1
OG0000000	Desulfovibrio vulgaris DP4	WP_217907626.1	WP_010940215.1
OG0000000	Desulfocapsa_06_corrosive	WP_217907626.1	Utg323180_151
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_217907626.1	WP_136806758.1
OG0000000	Desulfotalea psychrophila LSv54	WP_167495805.1, WP_136799754.1, WP_136799532.1, WP_136796349.1, WP_136796152.1	WP_049785130.1, WP_011187784.1
OG0000000	Desulfovibrio vulgaris DP4	WP_167495805.1, WP_136799754.1, WP_136799532.1, WP_136796349.1, WP_136796152.1	WP_011791645.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136799754.1, WP_136799532.1	WP_217909594.1, WP_167505720.1
OG0000000	Desulfocapsa_13_biocide	WP_136799754.1, WP_136799532.1	Utg857046_247
OG0000000	Desulfocapsa_06_corrosive	WP_136799754.1, WP_136799532.1	Utg323152_529
OG0000000	Desulforhopalus vacuolatus DSM 9700	WP_136796349.1, WP_136796152.1	WP_205220096.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136796152.1	WP_136809225.1
OG0000000	Desulfocapsa_13_biocide	WP_136796152.1	Utg859982_65
OG0000000	Geobacter sulfurreducens PCA	WP_176360009.1, WP_228721410.1, WP_136799495.1, WP_136798255.1	WP_010943974.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_176360009.1, WP_228721410.1	WP_015402874.1
OG0000000	Desulfocapsa_06_corrosive	WP_176360009.1, WP_228721410.1	Utg323262_120
OG0000000	Desulfocapsa_13_biocide	WP_176360009.1, WP_228721410.1	Utg857076_7
OG0000000	Desulfovibrio ferrophilus IS5	WP_176360009.1, WP_228721410.1	WP_126377909.1
OG0000000	Desulfovibrio vulgaris DP4	WP_176360009.1, WP_228721410.1	WP_011792800.1
OG0000000	Shewanella oneidensis MR-1	WP_176360009.1, WP_228721410.1	WP_011072957.1
OG0000000	Desulfovibrio vulgaris DP4	WP_136799495.1	WP_011791917.1
OG0000000	Shewanella oneidensis MR-1	WP_136799495.1	WP_011073458.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136799495.1	WP_052326964.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136799495.1	WP_275942845.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136798255.1	WP_136808452.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136798421.1	WP_136808658.1
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136798421.1	WP_015405199.1, WP_015404515.1
OG0000000	Desulfocapsa_06_corrosive	WP_136798421.1	Utg323990_174
OG0000000	Desulfocapsa_13_biocide	WP_136798421.1	Utg860006_29
OG0000000	Desulfovibrio vulgaris DP4	WP_136798421.1	WP_010937429.1
OG0000000	Desulfovibrio ferrophilus IS5	WP_136798981.1	WP_126377956.1
OG0000000	Desulfovibrio vulgaris DP4	WP_136798981.1	WP_011792072.1
OG0000000	Geobacter sulfurreducens PCA	WP_136798981.1	WP_010941040.1, WP_010941138.1
OG0000000	Desulfocapsa_06_corrosive	WP_136798981.1	Utg323152_412
OG0000000	Desulfocapsa sulfexigens DSM 10523	WP_136798981.1	WP_015404367.1
OG0000000	Desulfosediminicola flagellatus IMCC35005	WP_136798981.1	WP_136805922.1
OG0000001	Acidithiobacillus ferrooxidans YNTRS-40	WP_136796374.1, WP_136798931.1, WP_136798799.1, WP_136799195.1, WP_136799410.1, WP_136796562.1, WP_136798261.1	WP_049756718.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_136796374.1	WP_126376510.1, WP_172961810.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_136796374.1	WP_015402638.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_136796374.1	WP_205220029.1, WP_205218534.1, WP_205218203.1
OG0000001	Desulfovibrio vulgaris DP4	WP_136796374.1	WP_010937723.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_136796374.1	WP_136806607.1, WP_167505925.1
OG0000001	Shewanella oneidensis MR-1	WP_136796374.1	WP_011074067.1, WP_011073330.1
OG0000001	Geobacter sulfurreducens PCA	WP_136796374.1	WP_010942201.1
OG0000001	Desulfotalea psychrophila LSv54	WP_136796374.1	WP_011188793.1, WP_011187475.1
OG0000001	Desulfocapsa_06_corrosive	WP_136796374.1	Utg323180_225
OG0000001	Desulfocapsa_13_biocide	WP_136796374.1	Utg863716_50
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_136798931.1	WP_205220390.1
OG0000001	Desulfovibrio vulgaris DP4	WP_136798931.1	WP_010938239.1, WP_011791528.1, WP_011791603.1
OG0000001	Shewanella oneidensis MR-1	WP_136798931.1	WP_011071093.1
OG0000001	Desulfotalea psychrophila LSv54	WP_136798931.1	WP_011189956.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_136798931.1	WP_126376875.1, WP_126378261.1, WP_172961567.1, WP_126380896.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_136798931.1	WP_015403644.1
OG0000001	Desulfocapsa_13_biocide	WP_136798931.1	Utg861448_49
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_136798931.1	WP_136805177.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_136798799.1, WP_136799195.1, WP_136799410.1	WP_205217623.1
OG0000001	Geobacter sulfurreducens PCA	WP_136798799.1	WP_010942302.1
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_136798799.1	WP_015402811.1
OG0000001	Geobacter sulfurreducens PCA	WP_136799195.1	WP_010942515.1, WP_235044972.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_136799195.1	WP_126375573.1
OG0000001	Desulfocapsa_06_corrosive	WP_136799195.1	Utg323180_136
OG0000001	Desulfocapsa_13_biocide	WP_136799195.1	Utg857152_206
OG0000001	Desulfocapsa sulfexigens DSM 10523	WP_136799195.1	WP_167320702.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_136799195.1	WP_136807476.1
OG0000001	Geobacter sulfurreducens PCA	WP_136799410.1	WP_010943962.1, WP_010943987.1, WP_010942950.1, WP_010942288.1, WP_010942315.1
OG0000001	Shewanella oneidensis MR-1	WP_136799410.1	WP_011072190.1
OG0000001	Desulfocapsa_06_corrosive	WP_136799410.1	Utg323300_105
OG0000001	Desulfocapsa_13_biocide	WP_136799410.1	Utg857300_46
OG0000001	Desulfotalea psychrophila LSv54	WP_136799410.1	WP_011187505.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_136799410.1	WP_136809287.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_136796562.1	WP_205217330.1
OG0000001	Shewanella oneidensis MR-1	WP_136796562.1	WP_011073536.1, WP_011072697.1
OG0000001	Desulfocapsa_13_biocide	WP_136796562.1	Utg857994_39
OG0000001	Geobacter sulfurreducens PCA	WP_136796562.1	WP_238525143.1
OG0000001	Desulfotalea psychrophila LSv54	WP_136796562.1	WP_011187493.1
OG0000001	Shewanella oneidensis MR-1	WP_136798261.1	WP_011071311.1
OG0000001	Desulfovibrio vulgaris DP4	WP_136798261.1	WP_011792985.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_136798261.1	WP_126375584.1, WP_172961715.1
OG0000001	Desulfosediminicola flagellatus IMCC35005	WP_136798261.1	WP_136806467.1
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_136795378.1	WP_012537671.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_136795378.1	WP_015404618.1
OG0000002	Geobacter sulfurreducens PCA	WP_136795378.1	WP_010940689.1
OG0000002	Desulfocapsa_06_corrosive	WP_136795378.1	Utg323300_181
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_136795378.1	WP_176371628.1
OG0000002	Shewanella oneidensis MR-1	WP_136799957.1	WP_011071977.1, WP_011070837.1
OG0000002	Geobacter sulfurreducens PCA	WP_136799957.1	WP_010942147.1
OG0000002	Desulfocapsa_13_biocide	WP_136799957.1	Utg860006_9
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_136799957.1	WP_136808433.1
OG0000002	Desulfovibrio vulgaris DP4	WP_217907664.1	WP_011792861.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_217907664.1	WP_126380848.1
OG0000002	Shewanella oneidensis MR-1	WP_136796812.1, WP_136796360.1, WP_136796249.1	WP_011071490.1
OG0000002	Desulfovibrio vulgaris DP4	WP_136796812.1, WP_136796360.1	WP_011791473.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_136796812.1	WP_136806603.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_136796360.1	WP_136807752.1
OG0000002	Desulfocapsa_06_corrosive	WP_136796360.1	Utg323316_94
OG0000002	Desulfocapsa_13_biocide	WP_136796360.1	Utg859076_23
OG0000002	Desulfovibrio vulgaris DP4	WP_136796249.1	WP_010937409.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_136796249.1	WP_126380045.1, WP_126380572.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_136798842.1	WP_197723458.1
OG0000002	Geobacter sulfurreducens PCA	WP_136798842.1	WP_010942002.1
OG0000002	Shewanella oneidensis MR-1	WP_136798842.1	WP_011073420.1, WP_011074249.1
OG0000002	Shewanella oneidensis MR-1	WP_136795903.1, WP_136798151.1	WP_011071049.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_136795903.1	WP_205217673.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_136795903.1	WP_136807288.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_136798151.1	WP_205219874.1
OG0000002	Desulfovibrio vulgaris DP4	WP_136798151.1	WP_011793015.1
OG0000002	Desulfocapsa_13_biocide	WP_136798151.1	Utg862138_47
OG0000002	Desulfotalea psychrophila LSv54	WP_136798151.1	WP_041277737.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_136798151.1	WP_136805570.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_136798935.1	WP_136806489.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_136798935.1	WP_126377640.1
OG0000002	Geobacter sulfurreducens PCA	WP_136798935.1	WP_010943582.1
OG0000002	Desulfotalea psychrophila LSv54	WP_136798935.1	WP_011188604.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_136795245.1	WP_205220297.1
OG0000002	Desulfocapsa_13_biocide	WP_136795245.1	Utg857994_111
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_136795245.1	WP_136808067.1
OG0000002	Shewanella oneidensis MR-1	WP_136798474.1, WP_275942957.1, WP_136796313.1, WP_275942949.1, WP_167495633.1, WP_136799606.1, WP_136799805.1	WP_011071300.1
OG0000002	Geobacter sulfurreducens PCA	WP_275942957.1	WP_165443456.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_275942957.1	WP_126376855.1
OG0000002	Desulfovibrio vulgaris DP4	WP_275942957.1	WP_181409382.1
OG0000002	Desulfotalea psychrophila LSv54	WP_275942957.1	WP_011188232.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_275942957.1	WP_275942839.1
OG0000002	Desulfovibrio vulgaris DP4	WP_136796313.1	WP_010938054.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_136796313.1	WP_126380920.1
OG0000002	Desulfotalea psychrophila LSv54	WP_136796313.1	WP_011188476.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_136796313.1	WP_136810386.1
OG0000002	Desulfovibrio vulgaris DP4	WP_275942949.1, WP_167495633.1	WP_181409370.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_275942949.1, WP_167495633.1	WP_205217653.1
OG0000002	Desulfotalea psychrophila LSv54	WP_275942949.1, WP_167495633.1	WP_011188678.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_275942949.1, WP_167495633.1	WP_041916771.1
OG0000002	Desulfocapsa_06_corrosive	WP_275942949.1, WP_167495633.1	Utg323300_202
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_167495633.1	WP_136806069.1
OG0000002	Desulfovibrio vulgaris DP4	WP_136799606.1, WP_136799805.1	WP_181409380.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_136799606.1, WP_136799805.1	WP_126378796.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_136799606.1, WP_136799805.1	WP_205218384.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_136799606.1	WP_136807684.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_136799805.1	WP_136805614.1
OG0000002	Geobacter sulfurreducens PCA	WP_136798598.1	WP_010941464.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_136796899.1	WP_126380628.1
OG0000002	Desulfovibrio vulgaris DP4	WP_136796899.1	WP_011792919.1
OG0000002	Desulfotalea psychrophila LSv54	WP_136796899.1	WP_041277652.1
OG0000002	Desulfocapsa_13_biocide	WP_136796899.1	Utg857152_238
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_136796899.1	WP_205217849.1
OG0000003	Desulfocapsa_13_biocide	WP_136795949.1	Utg859236_111
OG0000003	Desulfocapsa_06_corrosive	WP_136795949.1	Utg325220_107
OG0000003	Desulfosediminicola flagellatus IMCC35005	WP_136795949.1	WP_136806109.1
OG0000004	Shewanella oneidensis MR-1	WP_136796385.1, WP_136798650.1, WP_167495700.1, WP_167495840.1, WP_136798338.1, WP_136795716.1, WP_136796342.1	WP_011073049.1, WP_011073640.1
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_136796385.1	WP_015405091.1
OG0000004	Desulfovibrio ferrophilus IS5	WP_136796385.1	WP_172961808.1
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_136798650.1, WP_167495700.1	WP_015402402.1
OG0000004	Desulfovibrio ferrophilus IS5	WP_136798650.1	WP_126381022.1
OG0000004	Desulfovibrio vulgaris DP4	WP_136798650.1	WP_011791556.1
OG0000004	Desulfotalea psychrophila LSv54	WP_136798650.1	WP_011188268.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_136798650.1	WP_136809428.1
OG0000004	Desulforhopalus vacuolatus DSM 9700	WP_167495700.1	WP_240192173.1
OG0000004	Desulfotalea psychrophila LSv54	WP_167495700.1	WP_011189167.1, WP_011189166.1, WP_011189165.1
OG0000004	Desulfocapsa_13_biocide	WP_167495840.1	Utg858432_88
OG0000004	Desulfocapsa_06_corrosive	WP_167495840.1	Utg323632_135
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_167495840.1	WP_015405656.1
OG0000004	Desulfotalea psychrophila LSv54	WP_167495840.1	WP_162096666.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_167495840.1	WP_167505718.1
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_136798338.1	WP_015405739.1, WP_015402401.1, WP_015402421.1, WP_052326944.1, WP_015403175.1, WP_015402868.1
OG0000004	Desulfocapsa_06_corrosive	WP_136798338.1	Utg323180_613, Utg323180_419, Utg323262_186
OG0000004	Desulfocapsa_13_biocide	WP_136798338.1	Utg860814_202, Utg859236_73
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_136798338.1	WP_136808192.1
OG0000004	Geobacter sulfurreducens PCA	WP_136795716.1	WP_010942299.1, WP_081461260.1, WP_235044997.1
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_136795716.1	WP_015402970.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_136795716.1	WP_136805197.1, WP_136807033.1, WP_136806447.1
OG0000004	Desulfocapsa_06_corrosive	WP_136795716.1	Utg323300_14
OG0000004	Desulfocapsa_13_biocide	WP_136795716.1	Utg857994_124, Utg859982_119
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_136796342.1	WP_136809028.1
OG0000005	Desulfotalea psychrophila LSv54	WP_136796309.1, WP_136797383.1, WP_167495701.1, WP_167495890.1, WP_136799321.1, WP_136797798.1	WP_011189533.1, WP_011188126.1
OG0000005	Desulfovibrio ferrophilus IS5	WP_136796309.1	WP_126375692.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_136796309.1	WP_136810384.1
OG0000005	Geobacter sulfurreducens PCA	WP_136797383.1, WP_167495701.1, WP_167495890.1, WP_136799321.1	WP_010941379.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_136797383.1	WP_136805867.1
OG0000005	Desulfovibrio ferrophilus IS5	WP_136797383.1	WP_126376141.1
OG0000005	Desulfovibrio ferrophilus IS5	WP_167495701.1, WP_167495890.1	WP_126378870.1
OG0000005	Desulfovibrio vulgaris DP4	WP_167495701.1, WP_167495890.1	WP_223294572.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_167495701.1	WP_136806188.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_167495890.1	WP_136810073.1
OG0000005	Desulfovibrio ferrophilus IS5	WP_136799321.1	WP_126380638.1
