Orthogroup	Species	Desulfotalea psychrophila LSv54	Orthologs
OG0000001	Desulfocapsa_13_biocide	WP_011187493.1	Utg857994_39
OG0000001	Geobacter sulfurreducens PCA	WP_011187493.1	WP_238525143.1
OG0000001	Desulfosediminicola ganghwensis IMCC35004	WP_011187493.1	WP_136796562.1
OG0000001	Geobacter sulfurreducens PCA	WP_011189550.1	WP_010941210.1
OG0000001	Desulforhopalus vacuolatus DSM 9700	WP_011189550.1	WP_205217806.1
OG0000001	Desulfovibrio ferrophilus IS5	WP_011189550.1	WP_172961701.1
OG0000002	Desulfocapsa_13_biocide	WP_041277844.1	Utg857046_190
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_041277844.1	WP_015403812.1, WP_015404031.1
OG0000002	Desulfocapsa_06_corrosive	WP_041277844.1	Utg323300_31
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_011188785.1	WP_015403655.1
OG0000002	Shewanella oneidensis MR-1	WP_011188785.1	WP_011071850.1
OG0000002	Desulfocapsa_06_corrosive	WP_011188785.1	Utg323632_46
OG0000002	Desulfocapsa_13_biocide	WP_011188785.1	Utg862138_35
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_011188785.1	WP_205218052.1, WP_205220147.1
OG0000002	Geobacter sulfurreducens PCA	WP_011188785.1	WP_010943324.1, WP_010943450.1, WP_010943451.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011188785.1	WP_136805222.1
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_011188785.1	WP_012537438.1
OG0000002	Acidithiobacillus ferrooxidans YNTRS-40	WP_041277525.1	WP_009567471.1
OG0000002	Shewanella oneidensis MR-1	WP_041277525.1	WP_011074078.1
OG0000002	Desulfovibrio vulgaris DP4	WP_041277525.1	WP_011793091.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_041277525.1	WP_205220205.1
OG0000002	Shewanella oneidensis MR-1	WP_041277737.1	WP_011071049.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_041277737.1	WP_205219874.1
OG0000002	Desulfovibrio vulgaris DP4	WP_041277737.1	WP_011793015.1
OG0000002	Desulfocapsa_13_biocide	WP_041277737.1	Utg862138_47
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_041277737.1	WP_136805570.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_041277737.1	WP_136798151.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011188604.1	WP_136806489.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_011188604.1	WP_126377640.1
OG0000002	Geobacter sulfurreducens PCA	WP_011188604.1	WP_010943582.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011188604.1	WP_136798935.1
OG0000002	Shewanella oneidensis MR-1	WP_011188232.1, WP_011188476.1, WP_011188678.1, WP_011189225.1	WP_011071300.1
OG0000002	Geobacter sulfurreducens PCA	WP_011188232.1	WP_165443456.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011188232.1	WP_275942839.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011188232.1	WP_275942957.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_011188232.1	WP_126376855.1
OG0000002	Desulfovibrio vulgaris DP4	WP_011188232.1	WP_181409382.1
OG0000002	Desulfovibrio vulgaris DP4	WP_011188476.1	WP_010938054.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_011188476.1	WP_126380920.1
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011188476.1	WP_136810386.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011188476.1	WP_136796313.1
OG0000002	Desulfovibrio vulgaris DP4	WP_011188678.1	WP_181409370.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_011188678.1	WP_205217653.1
OG0000002	Desulfocapsa sulfexigens DSM 10523	WP_011188678.1	WP_041916771.1
OG0000002	Desulfocapsa_06_corrosive	WP_011188678.1	Utg323300_202
OG0000002	Desulfosediminicola flagellatus IMCC35005	WP_011188678.1	WP_217909654.1, WP_136806069.1
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_011188678.1	WP_275942949.1, WP_167495633.1
OG0000002	Desulfovibrio vulgaris DP4	WP_011189225.1	WP_181409380.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_011189225.1	WP_172961625.1
OG0000002	Desulfocapsa_13_biocide	WP_011189225.1	Utg857994_102
OG0000002	Desulfosediminicola ganghwensis IMCC35004	WP_041277652.1	WP_136796899.1
OG0000002	Desulforhopalus vacuolatus DSM 9700	WP_041277652.1	WP_205217849.1
OG0000002	Desulfovibrio ferrophilus IS5	WP_041277652.1	WP_126380628.1
OG0000002	Desulfovibrio vulgaris DP4	WP_041277652.1	WP_011792919.1
OG0000002	Desulfocapsa_13_biocide	WP_041277652.1	Utg857152_238
OG0000003	Shewanella oneidensis MR-1	WP_011188221.1	WP_011073445.1, WP_011073402.1, WP_011071312.1, WP_011074163.1, WP_011071497.1, WP_011074086.1, WP_011072257.1, WP_011071256.1, WP_011073766.1
OG0000003	Desulfovibrio vulgaris DP4	WP_011188222.1	WP_011793047.1
OG0000003	Desulfocapsa_13_biocide	WP_011188222.1	Utg861744_3
OG0000003	Shewanella oneidensis MR-1	WP_011188222.1	WP_011073164.1
OG0000003	Desulfovibrio ferrophilus IS5	WP_011188222.1	WP_126379081.1
OG0000003	Desulfocapsa_06_corrosive	WP_011188222.1	Utg323632_206
OG0000003	Desulfosediminicola flagellatus IMCC35005	WP_011188222.1	WP_136810764.1
OG0000004	Shewanella oneidensis MR-1	WP_162096622.1, WP_011188268.1, WP_011189167.1, WP_011189166.1, WP_011189165.1, WP_162096658.1, WP_162096636.1, WP_011190354.1, WP_162096666.1	WP_011073049.1, WP_011073640.1
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_162096622.1	WP_015402639.1
OG0000004	Desulfocapsa_13_biocide	WP_162096622.1	Utg859236_110
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_162096622.1	WP_136810858.1, WP_136808193.1
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_011188268.1, WP_011189167.1, WP_011189166.1, WP_011189165.1, WP_162096658.1	WP_015402402.1
OG0000004	Desulfovibrio ferrophilus IS5	WP_011188268.1	WP_126381022.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_011188268.1	WP_136809328.1, WP_136805168.1, WP_167505721.1, WP_136809428.1
OG0000004	Desulfosediminicola ganghwensis IMCC35004	WP_011188268.1	WP_136798650.1
OG0000004	Desulfovibrio vulgaris DP4	WP_011188268.1	WP_011791556.1
OG0000004	Desulfosediminicola ganghwensis IMCC35004	WP_011189167.1, WP_011189166.1, WP_011189165.1	WP_167495700.1
OG0000004	Desulforhopalus vacuolatus DSM 9700	WP_011189167.1, WP_011189166.1, WP_011189165.1	WP_240192173.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_162096658.1	WP_167506073.1
OG0000004	Desulfocapsa_06_corrosive	WP_162096636.1	Utg323152_588
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_011190354.1	WP_015403551.1
OG0000004	Desulfocapsa_06_corrosive	WP_011190354.1	Utg323180_502
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_011190354.1	WP_136810487.1
OG0000004	Desulfocapsa_13_biocide	WP_162096666.1	Utg858432_88
OG0000004	Desulfocapsa_06_corrosive	WP_162096666.1	Utg323632_135
OG0000004	Desulfocapsa sulfexigens DSM 10523	WP_162096666.1	WP_015405656.1
OG0000004	Desulfosediminicola ganghwensis IMCC35004	WP_162096666.1	WP_167495840.1
OG0000004	Desulfosediminicola flagellatus IMCC35005	WP_162096666.1	WP_167505718.1
OG0000005	Desulfocapsa_13_biocide	WP_011189533.1, WP_011188126.1	Utg860814_182, Utg864866_21, Utg864866_22, Utg857152_208, Utg859982_207
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_011189533.1, WP_011188126.1	WP_136810384.1, WP_136805867.1, WP_136806188.1, WP_136810073.1, WP_167505954.1, WP_136805540.1, WP_136806687.1, WP_136809485.1, WP_136810251.1, WP_136806805.1
OG0000005	Desulfosediminicola ganghwensis IMCC35004	WP_011189533.1, WP_011188126.1	WP_136796309.1, WP_136797383.1, WP_167495701.1, WP_167495890.1, WP_136799321.1, WP_136797798.1
OG0000005	Desulfovibrio ferrophilus IS5	WP_011189533.1, WP_011188126.1	WP_126375692.1, WP_172961757.1, WP_126376141.1, WP_126378870.1, WP_126378672.1, WP_126380638.1, WP_126377858.1, WP_126379076.1, WP_126376307.1, WP_126379727.1, WP_172961688.1
OG0000005	Desulfovibrio vulgaris DP4	WP_011189533.1, WP_011188126.1	WP_223294600.1, WP_011791535.1, WP_223294572.1, WP_011791961.1, WP_223294640.1, WP_011792884.1, WP_011791703.1, WP_011791404.1, WP_011791738.1, WP_011791849.1, WP_011792761.1, WP_011791751.1, WP_011791759.1
OG0000005	Geobacter sulfurreducens PCA	WP_011189533.1, WP_011188126.1	WP_010941940.1, WP_010941379.1, WP_010941920.1
OG0000005	Desulfocapsa_06_corrosive	WP_011189533.1, WP_011188126.1	Utg323300_198, Utg323152_472, Utg323392_2, Utg323140_137, Utg323152_391
OG0000005	Desulfocapsa sulfexigens DSM 10523	WP_011189533.1, WP_011188126.1	WP_015403762.1, WP_015404965.1
OG0000005	Desulforhopalus vacuolatus DSM 9700	WP_011189533.1, WP_011188126.1	WP_205217585.1
OG0000005	Shewanella oneidensis MR-1	WP_011189533.1, WP_011188126.1	WP_011072501.1, WP_011071458.1
OG0000005	Desulfovibrio ferrophilus IS5	WP_011187985.1, WP_011187604.1	WP_172961730.1
OG0000005	Desulfocapsa_06_corrosive	WP_011187985.1	Utg323316_116
OG0000005	Desulfocapsa sulfexigens DSM 10523	WP_011187985.1	WP_167320730.1
OG0000005	Desulfosediminicola ganghwensis IMCC35004	WP_011187985.1	WP_167495679.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_011187985.1	WP_136809159.1
OG0000005	Desulfosediminicola flagellatus IMCC35005	WP_011187604.1	WP_136806794.1
OG0000005	Desulfosediminicola ganghwensis IMCC35004	WP_011187604.1	WP_136797789.1
OG0000006	Desulfovibrio vulgaris DP4	WP_011190351.1	WP_011791840.1
OG0000006	Desulfovibrio ferrophilus IS5	WP_011190351.1	WP_126379851.1
OG0000006	Desulfovibrio ferrophilus IS5	WP_156792195.1	WP_126375661.1
OG0000006	Desulfovibrio vulgaris DP4	WP_156792195.1	WP_011793189.1
OG0000006	Desulfocapsa_06_corrosive	WP_156792195.1	Utg323262_137
OG0000007	Shewanella oneidensis MR-1	WP_011189794.1	WP_011074183.1
OG0000007	Acidithiobacillus ferrooxidans YNTRS-40	WP_011189794.1	WP_009568266.1
OG0000007	Desulfovibrio vulgaris DP4	WP_011189794.1	WP_011791331.1
OG0000007	Desulfovibrio ferrophilus IS5	WP_011189794.1	WP_126381476.1
OG0000007	Geobacter sulfurreducens PCA	WP_011189794.1	WP_010942419.1
OG0000007	Desulforhopalus vacuolatus DSM 9700	WP_011189794.1	WP_240192033.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_011189794.1	WP_228723385.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_011189794.1	WP_228721345.1
OG0000007	Desulfocapsa_13_biocide	WP_011189794.1	Utg858432_132
OG0000007	Desulfocapsa_06_corrosive	WP_011189794.1	Utg323632_239
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_011189794.1	WP_015405611.1
OG0000007	Acidithiobacillus ferrooxidans YNTRS-40	WP_011188868.1	WP_009566877.1
OG0000007	Shewanella oneidensis MR-1	WP_011188868.1	WP_164925702.1
OG0000007	Geobacter sulfurreducens PCA	WP_011188868.1	WP_010942909.1
OG0000007	Desulfovibrio vulgaris DP4	WP_011188868.1	WP_010939647.1
OG0000007	Desulfovibrio ferrophilus IS5	WP_011188868.1	WP_126375925.1
OG0000007	Desulforhopalus vacuolatus DSM 9700	WP_011188868.1	WP_205217665.1
OG0000007	Desulfocapsa_06_corrosive	WP_011188868.1	Utg323632_51
OG0000007	Desulfocapsa_13_biocide	WP_011188868.1	Utg862138_39
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_011188868.1	WP_015405734.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_011188868.1	WP_136805469.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_011188868.1	WP_136796543.1
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_011189025.1	WP_015402821.1
OG0000007	Desulfocapsa_13_biocide	WP_011189025.1	Utg859432_67
OG0000007	Geobacter sulfurreducens PCA	WP_011188995.1	WP_010941338.1
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_011188995.1	WP_015404120.1
OG0000007	Desulfocapsa_06_corrosive	WP_011188995.1	Utg323316_118
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_011188995.1	WP_136795569.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_011188995.1	WP_136809687.1
OG0000007	Geobacter sulfurreducens PCA	WP_011187745.1	WP_010941994.1
OG0000007	Desulfocapsa_13_biocide	WP_011187745.1	Utg857152_200
OG0000007	Desulfocapsa_06_corrosive	WP_011187745.1	Utg323180_130
OG0000007	Desulfocapsa sulfexigens DSM 10523	WP_011187745.1	WP_015403101.1
OG0000007	Desulfovibrio vulgaris DP4	WP_011187745.1	WP_223294679.1
OG0000007	Desulfovibrio ferrophilus IS5	WP_011187745.1	WP_126379380.1
OG0000007	Desulfosediminicola ganghwensis IMCC35004	WP_011187745.1	WP_136796830.1
OG0000007	Desulfosediminicola flagellatus IMCC35005	WP_011187745.1	WP_136806549.1
OG0000008	Geobacter sulfurreducens PCA	WP_049785079.1	WP_010943408.1
OG0000008	Shewanella oneidensis MR-1	WP_049785079.1	WP_011073986.1, WP_011073326.1, WP_011071990.1
OG0000008	Acidithiobacillus ferrooxidans YNTRS-40	WP_049785079.1	WP_012536818.1, WP_012535792.1
OG0000008	Desulfosediminicola ganghwensis IMCC35004	WP_049785079.1	WP_136795517.1
OG0000008	Desulfosediminicola flagellatus IMCC35005	WP_049785079.1	WP_217909514.1
OG0000008	Acidithiobacillus ferrooxidans YNTRS-40	WP_049785046.1	WP_012536971.1, WP_009566514.1
OG0000008	Desulfosediminicola ganghwensis IMCC35004	WP_049785046.1	WP_228721405.1
OG0000008	Desulforhopalus vacuolatus DSM 9700	WP_049785046.1	WP_205218627.1
OG0000008	Shewanella oneidensis MR-1	WP_049785046.1	WP_011074282.1
OG0000008	Desulfovibrio vulgaris DP4	WP_049785046.1	WP_011791653.1
OG0000008	Geobacter sulfurreducens PCA	WP_049785046.1	WP_010943335.1
OG0000008	Desulfocapsa_13_biocide	WP_049785046.1	Utg859098_370
OG0000008	Desulfosediminicola flagellatus IMCC35005	WP_049785046.1	WP_136806200.1
OG0000009	Geobacter sulfurreducens PCA	WP_011188127.1, WP_049785091.1	WP_010943210.1
OG0000009	Desulfosediminicola ganghwensis IMCC35004	WP_011188127.1	WP_136799743.1
OG0000009	Desulfosediminicola flagellatus IMCC35005	WP_011188127.1	WP_136810250.1
OG0000009	Shewanella oneidensis MR-1	WP_011188127.1	WP_011071150.1, WP_011073726.1
OG0000009	Desulfocapsa sulfexigens DSM 10523	WP_011188127.1	WP_015405657.1
OG0000009	Desulforhopalus vacuolatus DSM 9700	WP_011188127.1	WP_240192111.1
OG0000009	Desulfocapsa_13_biocide	WP_011188127.1	Utg860814_183
OG0000009	Desulforhopalus vacuolatus DSM 9700	WP_049785091.1	WP_205217584.1, WP_240192132.1
OG0000009	Desulfosediminicola flagellatus IMCC35005	WP_049785091.1	WP_136806688.1, WP_136809487.1, WP_167505902.1
OG0000009	Desulfocapsa_06_corrosive	WP_049785091.1	Utg323140_138, Utg323392_3
OG0000009	Desulfocapsa_13_biocide	WP_049785091.1	Utg864866_20
OG0000009	Desulfovibrio ferrophilus IS5	WP_049785091.1	WP_126376614.1
OG0000009	Shewanella oneidensis MR-1	WP_049785091.1	WP_164925773.1
OG0000009	Desulfosediminicola ganghwensis IMCC35004	WP_049785091.1	WP_136796828.1
OG0000009	Desulfocapsa sulfexigens DSM 10523	WP_156792224.1, WP_011189354.1, WP_011189261.1	WP_015405427.1
OG0000009	Desulfovibrio ferrophilus IS5	WP_156792224.1	WP_126381118.1
OG0000009	Geobacter sulfurreducens PCA	WP_156792224.1	WP_010943260.1, WP_010942584.1
OG0000009	Desulfosediminicola ganghwensis IMCC35004	WP_156792224.1	WP_167495941.1
